	Saccharomyces_cerevisiae	yHMPu5000035687_Cyberlindnera_suaveolens
OG0001808	YHL036W	augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_16_length_212368_cov_14.7714_ID_5420-processed-gene-1.114&CDS=1-1614
OG0001809	YHL040C	maker-NODE_57_length_73191_cov_15.9093_ID_8023-augustus-gene-0.86-mRNA-1_1&gene=maker-NODE_57_length_73191_cov_15.9093_ID_8023-augustus-gene-0.86&CDS=1-3285
OG0001810	YHR001W-A	augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.216&CDS=1-234
OG0001811	YHR002W	maker-NODE_9_length_273348_cov_15.8038_ID_12161-augustus-gene-1.0-mRNA-1_1&gene=maker-NODE_9_length_273348_cov_15.8038_ID_12161-augustus-gene-1.0&CDS=1-2835
OG0001812	YHR004C	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-1.98&CDS=1-1032
OG0001813	YHR005C	maker-NODE_4_length_384378_cov_15.8714_ID_4871-augustus-gene-1.106-mRNA-1_1&gene=maker-NODE_4_length_384378_cov_15.8714_ID_4871-augustus-gene-1.106&CDS=1-2739
OG0001814	YHR005C-A	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.0&CDS=1-276
OG0001815	YHR007C	augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.106&CDS=1-1575
OG0001816	YHR009C	augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.43&CDS=1-1335
OG0001817	YHR011W	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.125&CDS=1-1392
OG0001818	YHR012W	maker-NODE_4_length_384378_cov_15.8714_ID_4871-snap-gene-2.13-mRNA-1_1&gene=maker-NODE_4_length_384378_cov_15.8714_ID_4871-snap-gene-2.13&CDS=1-702
OG0001819	YHR013C	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.139&CDS=1-615
OG0001820	YHR017W	augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.120&CDS=1-1134
OG0001821	YHR018C	augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.48&CDS=1-1383
OG0001822	YHR019C	augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.47&CDS=1-1641
OG0001823	YHR020W	augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.62&CDS=1-2022
OG0001824	YHR023W	maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.71-mRNA-1_1&gene=maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.71&CDS=1-5595
OG0001825	YHR024C	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.8&CDS=1-1455
OG0001826	YHR025W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.31&CDS=1-1071
OG0001827	YHR026W	maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.70-mRNA-1_1&gene=maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.70&CDS=1-621
OG0001828	YHR027C	maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.65-mRNA-1_1&gene=maker-NODE_12_length_229447_cov_15.6454_ID_14397-augustus-gene-1.65&CDS=1-5187
OG0001829	YHR029C	augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-2.99&CDS=1-867
OG0001830	YHR034C	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.167&CDS=1-936
OG0001831	YHR037W	augustus_masked-NODE_98_length_20910_cov_20.4959_ID_10991-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_98_length_20910_cov_20.4959_ID_10991-processed-gene-0.21&CDS=1-1803
OG0001832	YHR038W	augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.67&CDS=1-732
OG0001833	YHR039C	augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.54&CDS=1-1887
OG0001834	YHR039C-A	augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.51&CDS=1-339
OG0001835	YHR040W	genemark-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.30&CDS=1-963
OG0001836	YHR041C	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.101&CDS=1-609
OG0001837	YHR042W	augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.132&CDS=1-2010
OG0001838	YHR045W	genemark-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.147-mRNA-1_1&gene=genemark-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.147&CDS=1-1533
OG0001839	YHR048W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.47&CDS=1-1515
OG0001840	YHR049W	augustus_masked-NODE_83_length_38867_cov_15.8673_ID_9783-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_83_length_38867_cov_15.8673_ID_9783-processed-gene-0.56&CDS=1-720
OG0001841	YHR051W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.46&CDS=1-441
OG0001842	YHR052W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.45&CDS=1-1119
OG0001843	YHR059W	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.194-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.194&CDS=1-387
OG0001844	YHR062C	augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.78&CDS=1-837
OG0001845	YHR063C	augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-1.118&CDS=1-1044
OG0001846	YHR064C	augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.112&CDS=1-1611
OG0001847	YHR065C	maker-NODE_55_length_74264_cov_15.6684_ID_7608-augustus-gene-0.136-mRNA-1_1&gene=maker-NODE_55_length_74264_cov_15.6684_ID_7608-augustus-gene-0.136&CDS=1-2550
OG0001848	YHR067W	augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.114&CDS=1-825
OG0001849	YHR068W	augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.11&CDS=1-1131
OG0001850	YHR069C	augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.19&CDS=1-975
OG0001851	YHR070W	augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.14&CDS=1-1326
OG0001852	YHR071W	augustus_masked-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_44_length_90996_cov_16.3586_ID_7160-processed-gene-0.69&CDS=1-615
OG0001853	YHR072W	augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_105_length_17156_cov_15.2907_ID_11143-processed-gene-0.12&CDS=1-2151
OG0001854	YHR072W-A	snap_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.88&CDS=1-192
OG0001855	YHR073W	augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.11&CDS=1-2508
OG0001856	YHR074W	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.166&CDS=1-2136
OG0001857	YHR075C	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.126&CDS=1-1101
OG0001858	YHR076W	augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.78&CDS=1-975
OG0001859	YHR077C	augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.67&CDS=1-2859
OG0001860	YHR078W	augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.35&CDS=1-1503
OG0001861	YHR079C	augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.103&CDS=1-3246
OG0001862	YHR079C-A	augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.34&CDS=1-288
OG0001863	YHR081W	augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.76&CDS=1-531
OG0001864	YHR083W	augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.60&CDS=1-948
OG0001865	YHR084W	augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_25_length_148322_cov_17.6261_ID_5648-processed-gene-0.59&CDS=1-1653
OG0001866	YHR085W	augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.206&CDS=1-1020
OG0001867	YHR087W	augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_76_length_49070_cov_15.5713_ID_8853-processed-gene-0.50&CDS=1-342
OG0001868	YHR088W	augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.115&CDS=1-882
OG0001869	YHR089C	augustus_masked-NODE_58_length_70823_cov_17.6654_ID_7793-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_58_length_70823_cov_17.6654_ID_7793-processed-gene-0.47&CDS=1-684
OG0001870	YHR090C	augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.213-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.213&CDS=1-876
OG0001871	YHR097C	augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.34&CDS=1-1080
OG0001872	YHR098C	augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.38&CDS=1-2637
OG0001873	YHR099W	augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.34&CDS=1-11304
OG0001874	YHR100C	augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-0.121&CDS=1-588
OG0001875	YHR101C	maker-NODE_1_length_509996_cov_15.7131_ID_4924-augustus-gene-4.69-mRNA-1_1&gene=maker-NODE_1_length_509996_cov_15.7131_ID_4924-augustus-gene-4.69&CDS=1-1455
OG0001876	YHR102W	augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.207&CDS=1-2460
OG0001877	YHR104W	augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.187&CDS=1-957
OG0001878	YHR105W	augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-1.100&CDS=1-414
OG0001879	YHR108W	augustus_masked-NODE_9_length_273348_cov_15.8038_ID_12161-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NODE_9_length_273348_cov_15.8038_ID_12161-processed-gene-1.83&CDS=1-1596
OG0001880	YHR109W	augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.4&CDS=1-1884
OG0001881	YHR111W	augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.12&CDS=1-1269
OG0001882	YHR112C	maker-NODE_14_length_221288_cov_16.0768_ID_5705-augustus-gene-1.138-mRNA-1_1&gene=maker-NODE_14_length_221288_cov_16.0768_ID_5705-augustus-gene-1.138&CDS=1-1131
OG0001883	YHR113W	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.61&CDS=1-1473
OG0001884	YHR114W	augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_14_length_221288_cov_16.0768_ID_5705-processed-gene-0.142&CDS=1-1830
OG0001885	YHR116W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.45&CDS=1-345
OG0001886	YHR120W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.18&CDS=1-6195
OG0001887	YHR121W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.51&CDS=1-564
OG0001888	YHR122W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.20&CDS=1-567
OG0001889	YHR124W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-1.48&CDS=1-1701
OG0001890	YHR127W	augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.148&CDS=1-657
OG0001891	YHR128W	augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.142&CDS=1-645
OG0001892	YHR132C	genemark-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.172-mRNA-1_1&gene=genemark-NODE_7_length_296361_cov_15.7858_ID_5257-processed-gene-1.172&CDS=1-1380
OG0001893	YHR132W-A	augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.2&CDS=1-291
OG0001894	YHR134W	augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.113&CDS=1-798
OG0001895	YHR140W	augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.26&CDS=1-684
OG0001896	YHR142W	augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-0.115&CDS=1-909
OG0001897	YHR143W-A	snap_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.131&CDS=1-210
OG0001898	YHR144C	augustus_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.28&CDS=1-993
OG0001899	YHR147C	snap_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.17&CDS=1-657
OG0001900	YHR148W	augustus_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.186&CDS=1-549
OG0001901	YHR150W	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.52&CDS=1-1470
OG0001902	YHR151C	augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.151&CDS=1-1548
OG0001903	YHR154W	augustus_masked-NODE_48_length_81500_cov_15.6023_ID_7418-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_48_length_81500_cov_15.6023_ID_7418-processed-gene-0.46&CDS=1-2538
OG0001904	YHR158C	augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.80&CDS=1-3456
OG0001905	YHR159W	augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_45_length_86963_cov_16.0383_ID_9261-processed-gene-0.67&CDS=1-1029
OG0001906	YHR164C	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.13&CDS=1-4350
OG0001907	YHR165C	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.80&CDS=1-7152
OG0001908	YHR166C	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.29&CDS=1-1650
OG0001909	YHR168W	augustus_masked-NODE_49_length_79320_cov_15.7312_ID_7492-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_49_length_79320_cov_15.7312_ID_7492-processed-gene-0.63&CDS=1-1545
OG0001910	YHR170W	augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.1&CDS=1-1524
OG0001911	YHR171W	maker-NODE_32_length_114752_cov_15.8803_ID_7121-augustus-gene-0.52-mRNA-1_1&gene=maker-NODE_32_length_114752_cov_15.8803_ID_7121-augustus-gene-0.52&CDS=1-1854
OG0001912	YHR172W	augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.4&CDS=1-2283
OG0001913	YHR175W	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.20&CDS=1-441
OG0001914	YHR177W	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.90&CDS=1-1323
OG0001915	YHR178W	genemark-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.59&CDS=1-2088
OG0001916	YHR181W	augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_15_length_212952_cov_15.8836_ID_5602-processed-gene-0.114&CDS=1-642
OG0001917	YHR183W	augustus_masked-NODE_30_length_117543_cov_16.5253_ID_10017-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_30_length_117543_cov_16.5253_ID_10017-processed-gene-0.97&CDS=1-1521
OG0001918	YHR186C	augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.61&CDS=1-4035
OG0001919	YHR187W	augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.20&CDS=1-864
OG0001920	YHR188C	augustus_masked-NODE_98_length_20910_cov_20.4959_ID_10991-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_98_length_20910_cov_20.4959_ID_10991-processed-gene-0.19&CDS=1-1863
OG0001921	YHR189W	augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.23&CDS=1-555
OG0001922	YHR190W	snap_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.15&CDS=1-1332
OG0001923	YHR191C	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.48&CDS=1-396
OG0001924	YHR192W	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.54&CDS=1-801
OG0001925	YHR193C	augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.58&CDS=1-516
OG0001926	YHR194W	augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.14&CDS=1-1530
OG0001927	YHR196W	augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.17&CDS=1-1572
