	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0001561	YGL178W	-processed-gene-11.1-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.1&CDS=1-2559
OG0001562	YGL180W	-processed-gene-7.82-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.82&CDS=1-2562
OG0001563	YGL181W	-processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-8.10&CDS=1-1416
OG0001564	YGL184C	-processed-gene-1.13-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.13&CDS=1-1212
OG0001565	YGL187C	-processed-gene-22.71-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.71&CDS=1-471
OG0001566	YGL190C	-processed-gene-22.6-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.6&CDS=1-1527
OG0001567	YGL191W	-processed-gene-22.26-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.26&CDS=1-414
OG0001568	YGL192W	-processed-gene-22.1-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.1&CDS=1-1701
OG0001569	YGL194C	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.62&CDS=1-1356
OG0001570	YGL195W	-processed-gene-20.45-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-20.45&CDS=1-8190
OG0001571	YGL198W	-processed-gene-3.7-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.7&CDS=1-963
OG0001572	YGL200C	-processed-gene-9.46-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.46&CDS=1-600
OG0001573	YGL201C	-processed-gene-3.94-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.94&CDS=1-2829
OG0001574	YGL202W	-processed-gene-1.89-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.89&CDS=1-1476
OG0001575	YGL203C	-processed-gene-3.23-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-3.23&CDS=1-2142
OG0001576	YGL206C	-processed-gene-9.10-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.10&CDS=1-5001
OG0001577	YGL207W	-processed-gene-2.65-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.65&CDS=1-3087
OG0001578	YGL211W	-processed-gene-14.50-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.50&CDS=1-1134
OG0001579	YGL212W	-processed-gene-15.41-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.41&CDS=1-1026
OG0001580	YGL213C	-processed-gene-20.0-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.0&CDS=1-1152
OG0001581	YGL215W	-processed-gene-5.35-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.35&CDS=1-1260
OG0001582	YGL216W	-processed-gene-1.54-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.54&CDS=1-2754
OG0001583	YGL220W	-processed-gene-6.78-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.78&CDS=1-258
OG0001584	YGL221C	-processed-gene-7.103-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.103&CDS=1-822
OG0001585	YGL225W	-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.31&CDS=1-1074
OG0001586	YGL231C	-processed-gene-14.33-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.33&CDS=1-552
OG0001587	YGL232W	-processed-gene-14.4-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.4&CDS=1-930
OG0001588	YGL233W	-processed-gene-8.128-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.128&CDS=1-2601
OG0001589	YGL234W	-processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.45&CDS=1-2394
OG0001590	YGL236C	-processed-gene-2.66-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.66&CDS=1-2082
OG0001591	YGL237C	-processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.53&CDS=1-753
OG0001592	YGL238W	-processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.68&CDS=1-2967
OG0001593	YGL240W	-processed-gene-2.48-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.48&CDS=1-1308
OG0001594	YGL241W	-processed-gene-30.180-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.180&CDS=1-3120
OG0001595	YGL242C	-processed-gene-30.181-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.181&CDS=1-576
OG0001596	YGL243W	-processed-gene-30.144-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.144&CDS=1-1194
OG0001597	YGL244W	-processed-gene-4.54-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.54&CDS=1-1710
OG0001598	YGL245W	-processed-gene-4.64-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.64&CDS=1-2172
OG0001599	YGL246C	-processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.63&CDS=1-1191
OG0001600	YGL247W	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-0.84&CDS=1-1386
OG0001601	YGL248W	-processed-gene-16.120-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.120&CDS=1-1209
OG0001602	YGL253W	-processed-gene-17.74-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.74&CDS=1-1446
OG0001603	YGR001C	-processed-gene-7.98-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.98&CDS=1-735
OG0001604	YGR002C	-processed-gene-6.4-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.4&CDS=1-1785
OG0001605	YGR005C	-processed-gene-2.8-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.8&CDS=1-1239
OG0001606	YGR006W	-processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.28&CDS=1-1053
OG0001607	YGR007W	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.3&CDS=1-1152
OG0001608	YGR012W	-processed-gene-21.62-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-21.62&CDS=1-1176
OG0001609	YGR013W	-processed-gene-21.51-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-21.51&CDS=1-1911
OG0001610	YGR014W	-processed-gene-21.67-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-21.67&CDS=1-3813
OG0001611	YGR017W	-processed-gene-0.7-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.7&CDS=1-936
OG0001612	YGR019W	-processed-gene-10.43-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.43&CDS=1-1413
OG0001613	YGR020C	-processed-gene-10.39-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.39&CDS=1-375
OG0001614	YGR021W	-processed-gene-10.65-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-10.65&CDS=1-825
OG0001615	YGR024C	-processed-gene-4.52-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.52&CDS=1-807
OG0001616	YGR026W	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.19&CDS=1-810
OG0001617	YGR028W	-processed-gene-19.12-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.12&CDS=1-1089
OG0001618	YGR029W	-snap-gene-1.9-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-1.9&CDS=1-570
OG0001619	YGR031W	-processed-gene-6.8-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.8&CDS=1-1038
OG0001620	YGR032W	-processed-gene-17.39-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.39&CDS=1-5685
OG0001621	YGR033C	-processed-gene-17.20-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.20&CDS=1-867
OG0001622	YGR036C	-processed-gene-17.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.17&CDS=1-708
OG0001623	YGR037C	-processed-gene-5.2-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.2&CDS=1-258
OG0001624	YGR044C	-processed-gene-23.71-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.71&CDS=1-1737
OG0001625	YGR046W	-processed-gene-16.109-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.109&CDS=1-1287
OG0001626	YGR047C	-processed-gene-4.86-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.86&CDS=1-2946
OG0001627	YGR048W	-processed-gene-17.49-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-17.49&CDS=1-1077
OG0001628	YGR052W	-processed-gene-6.87-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-6.87&CDS=1-1590
OG0001629	YGR053C	-processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-6.100&CDS=1-1008
OG0001630	YGR054W	-processed-gene-18.66-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-18.66&CDS=1-2904
OG0001631	YGR055W	-processed-gene-7.88-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.88&CDS=1-1653
OG0001632	YGR057C	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.56&CDS=1-675
OG0001633	YGR058W	-processed-gene-15.72-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.72&CDS=1-1254
OG0001634	YGR060W	-processed-gene-14.63-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.63&CDS=1-990
OG0001635	YGR061C	-processed-gene-16.2-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.2&CDS=1-4038
OG0001636	YGR062C	-processed-gene-6.89-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.89&CDS=1-909
OG0001637	YGR063C	-processed-gene-6.102-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.102&CDS=1-336
OG0001638	YGR074W	-processed-gene-1.171-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.171&CDS=1-381
OG0001639	YGR076C	-processed-gene-1.135-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.135&CDS=1-468
OG0001640	YGR080W	-processed-gene-6.44-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-6.44&CDS=1-1095
OG0001641	YGR082W	-processed-gene-18.13-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-18.13&CDS=1-510
OG0001642	YGR083C	-processed-gene-2.84-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.84&CDS=1-1614
OG0001643	YGR086C	-processed-gene-6.42-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-6.42&CDS=1-933
OG0001644	YGR090W	-processed-gene-13.80-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.80&CDS=1-3570
OG0001645	YGR091W	-processed-gene-6.49-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-6.49&CDS=1-1668
OG0001646	YGR093W	-processed-gene-19.7-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.7&CDS=1-1536
OG0001647	YGR094W	-processed-gene-6.50-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-6.50&CDS=1-3153
OG0001648	YGR095C	-processed-gene-6.68-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-6.68&CDS=1-672
OG0001649	YGR096W	-processed-gene-7.1-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.1&CDS=1-912
OG0001650	YGR098C	-processed-gene-26.86-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-26.86&CDS=1-4830
OG0001651	YGR099W	-processed-gene-30.185-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.185&CDS=1-2523
OG0001652	YGR100W	-processed-gene-8.27-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-8.27&CDS=1-2850
OG0001653	YGR103W	-processed-gene-12.13-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.13&CDS=1-1797
OG0001654	YGR104C	-processed-gene-12.35-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.35&CDS=1-1131
OG0001655	YGR105W	-processed-gene-12.36-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.36&CDS=1-240
OG0001656	YGR110W	-processed-gene-5.56-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.56&CDS=1-1416
OG0001657	YGR112W	-processed-gene-3.98-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.98&CDS=1-1197
OG0001658	YGR116W	-processed-gene-11.19-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.19&CDS=1-4332
OG0001659	YGR117C	-processed-gene-15.76-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.76&CDS=1-1332
OG0001660	YGR119C	-processed-gene-2.50-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-2.50&CDS=1-1911
OG0001661	YGR123C	-processed-gene-29.32-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.32&CDS=1-1851
OG0001662	YGR124W	-processed-gene-14.44-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.44&CDS=1-1728
OG0001663	YGR125W	-processed-gene-19.111-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-19.111&CDS=1-3219
OG0001664	YGR127W	-snap-gene-0.29-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-0.29&CDS=1-1062
OG0001665	YGR128C	-processed-gene-16.66-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.66&CDS=1-2244
OG0001666	YGR129W	-processed-gene-11.20-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.20&CDS=1-660
OG0001667	YGR132C	-processed-gene-2.11-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.11&CDS=1-846
OG0001668	YGR135W	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.13&CDS=1-759
OG0001669	YGR140W	-processed-gene-5.46-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-5.46&CDS=1-1848
OG0001670	YGR144W	-snap-gene-3.59-mRNA-1_1&gene=maker-gi|1002316366|dbj|BCGS01000007.1|-snap-gene-3.59&CDS=1-1614
OG0001671	YGR145W	-processed-gene-10.27-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.27&CDS=1-2085
OG0001672	YGR147C	-processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.12&CDS=1-711
OG0001673	YGR149W	-snap-gene-5.0-mRNA-1_1&gene=maker-gi|1002316366|dbj|BCGS01000007.1|-snap-gene-5.0&CDS=1-2421
OG0001674	YGR150C	-processed-gene-20.44-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.44&CDS=1-2259
OG0001675	YGR152C	-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.101&CDS=1-774
OG0001676	YGR155W	-processed-gene-19.6-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.6&CDS=1-1485
OG0001677	YGR157W	-processed-gene-1.76-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.76&CDS=1-2688
OG0001678	YGR158C	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.65&CDS=1-894
OG0001679	YGR159C	-processed-gene-16.124-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.124&CDS=1-1407
OG0001680	YGR163W	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.50&CDS=1-1197
OG0001681	YGR165W	-processed-gene-13.87-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.87&CDS=1-972
OG0001682	YGR166W	-processed-gene-1.14-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.14&CDS=1-2070
OG0001683	YGR167W	-processed-gene-13.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.81&CDS=1-654
OG0001684	YGR170W	-processed-gene-6.100-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.100&CDS=1-3453
OG0001685	YGR172C	-processed-gene-6.86-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.86&CDS=1-747
OG0001686	YGR173W	-processed-gene-6.79-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-6.79&CDS=1-1101
OG0001687	YGR174C	-processed-gene-14.77-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.77&CDS=1-444
OG0001688	YGR175C	-snap-gene-15.47-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-15.47&CDS=1-3657
OG0001689	YGR177C, YOR377W	
OG0001690	YGR178C	-processed-gene-16.58-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.58&CDS=1-2688
OG0001691	YGR181W	-processed-gene-10.30-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.30&CDS=1-303
OG0001692	YGR184C	-processed-gene-11.4-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.4&CDS=1-5517
OG0001693	YGR185C	-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.49&CDS=1-1218
OG0001694	YGR186W	-processed-gene-10.18-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.18&CDS=1-1839
OG0001695	YGR187C	-processed-gene-10.36-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.36&CDS=1-1095
OG0001696	YGR188C	-processed-gene-10.8-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.8&CDS=1-2763
OG0001697	YGR189C	-processed-gene-11.7-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-11.7&CDS=1-1413
OG0001698	YGR193C	-processed-gene-11.24-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.24&CDS=1-1296
OG0001699	YGR194C	-processed-gene-9.87-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-9.87&CDS=1-1869
OG0001700	YGR195W	-processed-gene-10.33-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.33&CDS=1-735
OG0001701	YGR198W	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-0.15&CDS=1-3060
OG0001702	YGR200C	-processed-gene-13.80-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.80&CDS=1-2442
OG0001703	YGR202C	-processed-gene-1.16-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.16&CDS=1-1425
OG0001704	YGR203W	-processed-gene-1.5-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.5&CDS=1-453
OG0001705	YGR205W	-processed-gene-5.63-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-5.63&CDS=1-882
OG0001706	YGR207C	-processed-gene-5.20-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-5.20&CDS=1-765
OG0001707	YGR208W	-processed-gene-17.47-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-17.47&CDS=1-918
OG0001708	YGR210C	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.87&CDS=1-1239
OG0001709	YGR211W	-processed-gene-25.18-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.18&CDS=1-1503
OG0001710	YGR215W	-processed-gene-25.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.17&CDS=1-312
OG0001711	YGR216C	-processed-gene-4.99-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.99&CDS=1-1926
OG0001712	YGR217W	-processed-gene-25.4-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.4&CDS=1-7248
OG0001713	YGR218W	-processed-gene-6.25-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.25&CDS=1-3237
OG0001714	YGR220C	-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.39&CDS=1-849
OG0001715	YGR222W	-processed-gene-9.9-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-9.9&CDS=1-1104
OG0001716	YGR223C	-processed-gene-9.17-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-9.17&CDS=1-1479
OG0001717	YGR225W	-processed-gene-4.30-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.30&CDS=1-1497
OG0001718	YGR227W	-processed-gene-4.83-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.83&CDS=1-1392
OG0001719	YGR229C	-processed-gene-4.96-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.96&CDS=1-1509
OG0001720	YGR231C	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.82&CDS=1-906
OG0001721	YGR233C	-processed-gene-6.11-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.11&CDS=1-3945
OG0001722	YGR234W	-processed-gene-10.130-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.130&CDS=1-1230
OG0001723	YGR235C	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-1.97&CDS=1-1977
OG0001724	YGR240C	-processed-gene-5.18-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.18&CDS=1-2949
OG0001725	YGR244C	-processed-gene-13.110-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.110&CDS=1-1242
OG0001726	YGR245C	-processed-gene-14.90-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.90&CDS=1-2292
OG0001727	YGR246C	-processed-gene-14.91-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.91&CDS=1-1797
OG0001728	YGR247W	-processed-gene-13.32-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.32&CDS=1-804
OG0001729	YGR251W	-processed-gene-5.35-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.35&CDS=1-630
OG0001730	YGR252W	-processed-gene-13.108-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.108&CDS=1-1380
OG0001731	YGR253C	-processed-gene-13.109-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-13.109&CDS=1-768
OG0001732	YGR255C	-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.12&CDS=1-2376
OG0001733	YGR256W	-processed-gene-11.25-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-11.25&CDS=1-1482
