	Kazachstania_naganishii	Saccharomyces_cerevisiae
OG0002223	augustus_masked-HE978318-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-4.67&CDS=1-762	YMR117C
OG0002224	genemark-HE978318-processed-gene-4.118-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.118&CDS=1-957	YMR116C
OG0002225	genemark-HE978318-processed-gene-4.146-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.146&CDS=1-1422	YMR115W
OG0002226	genemark-HE978318-processed-gene-4.119-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.119&CDS=1-876	YMR114C
OG0002227	genemark-HE978318-processed-gene-4.120-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.120&CDS=1-363	YMR112C
OG0002228	genemark-HE978318-processed-gene-4.121-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.121&CDS=1-1596	YMR110C
OG0002229	genemark-HE978318-processed-gene-4.148-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.148&CDS=1-312	YMR107W
OG0002230	snap_masked-HE978318-processed-gene-4.26-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-4.26&CDS=1-1785	YMR106C
OG0002231	genemark-HE978318-processed-gene-4.149-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.149&CDS=1-1872	YMR100W
OG0002232	genemark-HE978318-processed-gene-4.126-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.126&CDS=1-687	YMR090W
OG0002233	genemark-HE978318-processed-gene-5.3-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.3&CDS=1-1470	YMR091C
OG0002234	genemark-HE978318-processed-gene-5.4-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.4&CDS=1-1815	YMR092C
OG0002235	genemark-HE978318-processed-gene-5.0-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.0&CDS=1-1527	YMR093W
OG0002236	snap_masked-HE978318-processed-gene-5.88-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.88&CDS=1-1479	YMR094W
OG0002237	genemark-HE978318-processed-gene-5.5-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.5&CDS=1-1113	YMR097C
OG0002238	augustus_masked-HE978318-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-5.54&CDS=1-1701	YMR098C
OG0002239	maker-HE978318-snap-gene-5.47-mRNA-1_1&gene=maker-HE978318-snap-gene-5.47&CDS=1-1746	YKL112W
OG0002240	genemark-HE978318-processed-gene-5.2-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.2&CDS=1-1140	YKL113C
OG0002241	genemark-HE978318-processed-gene-5.8-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.8&CDS=1-888	YMR099C
OG0002242	genemark-HE978318-processed-gene-5.30-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.30&CDS=1-870	YMR087W
OG0002243	snap_masked-HE978318-processed-gene-5.117-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.117&CDS=1-3441	YMR086W
OG0002244	genemark-HE978318-processed-gene-5.32-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.32&CDS=1-1122	YMR083W
OG0002245	snap_masked-HE978318-processed-gene-5.119-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.119&CDS=1-1785	YKL100C
OG0002246	snap_masked-HE978318-processed-gene-5.120-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.120&CDS=1-2142	YJL056C
OG0002247	genemark-HE978318-processed-gene-5.11-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.11&CDS=1-684	YJL055W
OG0002248	genemark-HE978318-processed-gene-5.12-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.12&CDS=1-1401	YJL054W
OG0002249	genemark-HE978318-processed-gene-5.13-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.13&CDS=1-1053	YJL053W
OG0002250	augustus_masked-HE978318-processed-gene-5.61-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-5.61&CDS=1-2637	YJL051W
OG0002251	maker-HE978318-augustus-gene-5.135-mRNA-1_1&gene=maker-HE978318-augustus-gene-5.135&CDS=1-4488	YJL050W
OG0002252	genemark-HE978318-processed-gene-5.34-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.34&CDS=1-1296	YBR273C
OG0002253	snap_masked-HE978318-processed-gene-5.122-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.122&CDS=1-2406	YJL047C
OG0002254	genemark-HE978318-processed-gene-5.36-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.36&CDS=1-837	YBR257W
OG0002255	genemark-HE978318-processed-gene-5.17-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.17&CDS=1-1269	YJL046W
OG0002256	genemark-HE978318-processed-gene-5.18-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.18&CDS=1-855	YLR262C
OG0002257	snap_masked-HE978318-processed-gene-5.125-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.125&CDS=1-1668	YOL013C
OG0002258	genemark-HE978318-processed-gene-5.19-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.19&CDS=1-1494	YPL262W
OG0002259	genemark-HE978318-processed-gene-5.22-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.22&CDS=1-1524	YPL272C
OG0002260	genemark-HE978318-processed-gene-5.40-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.40&CDS=1-1950	YPL263C
OG0002261	maker-HE978318-augustus-gene-5.136-mRNA-1_1&gene=maker-HE978318-augustus-gene-5.136&CDS=1-2445	YPL270W
OG0002262	snap_masked-HE978318-processed-gene-5.110-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.110&CDS=1-1929	YPL269W
OG0002263	genemark-HE978318-processed-gene-5.25-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.25&CDS=1-2682	YPL268W
OG0002264	snap_masked-HE978318-processed-gene-5.112-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.112&CDS=1-1374	YDL227C
OG0002265	genemark-HE978318-processed-gene-5.41-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.41&CDS=1-999	YDL230W
OG0002266	snap_masked-HE978318-processed-gene-5.113-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.113&CDS=1-3174	YDL231C
OG0002267	genemark-HE978318-processed-gene-5.42-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.42&CDS=1-1440	YDL233W
OG0002268	snap_masked-HE978318-processed-gene-5.130-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-5.130&CDS=1-708	YNL215W
OG0002269	genemark-HE978318-processed-gene-5.28-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.28&CDS=1-2157	YDL234C
OG0002270	genemark-HE978318-processed-gene-5.29-mRNA-1_1&gene=genemark-HE978318-processed-gene-5.29&CDS=1-504	YDL235C
OG0002271	augustus_masked-HE978318-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-5.86&CDS=1-1995	YNL220W
OG0002272	genemark-HE978318-processed-gene-6.6-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.6&CDS=1-1374	YDL238C
OG0002273	snap_masked-HE978318-processed-gene-6.104-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.104&CDS=1-1674	YNL225C
OG0002274	genemark-HE978318-processed-gene-6.12-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.12&CDS=1-3102	YDL240W
OG0002275	snap_masked-HE978318-processed-gene-6.107-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.107&CDS=1-429	YLL050C
OG0002276	genemark-HE978318-processed-gene-6.11-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.11&CDS=1-1647	YFL049W
OG0002277	genemark-HE978318-processed-gene-6.33-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.33&CDS=1-1299	YFL048C
OG0002278	augustus_masked-HE978318-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.62&CDS=1-2802	YFL047W
OG0002279	genemark-HE978318-processed-gene-6.34-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.34&CDS=1-765	YFL045C
OG0002280	genemark-HE978318-processed-gene-6.15-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.15&CDS=1-597	YLR073C
OG0002281	genemark-HE978318-processed-gene-6.35-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.35&CDS=1-1968	YFL042C
OG0002282	genemark-HE978318-processed-gene-6.16-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.16&CDS=1-1884	YFL041W
OG0002283	genemark-HE978318-processed-gene-6.36-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.36&CDS=1-600	YLR066W
OG0002284	augustus_masked-HE978318-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.67&CDS=1-1500	YFL040W
OG0002285	genemark-HE978318-processed-gene-6.37-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.37&CDS=1-636	YFL038C
OG0002286	genemark-HE978318-processed-gene-6.20-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.20&CDS=1-1401	YFL037W
OG0002287	genemark-HE978318-processed-gene-6.21-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.21&CDS=1-3828	YFL036W
OG0002288	genemark-HE978318-processed-gene-6.38-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.38&CDS=1-834	YFL034C-B
OG0002289	genemark-HE978318-processed-gene-6.22-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.22&CDS=1-972	YGR144W
OG0002290	genemark-HE978318-processed-gene-6.23-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.23&CDS=1-3183	YFL034W
OG0002291	maker-HE978318-augustus-gene-6.2-mRNA-1_1&gene=maker-HE978318-augustus-gene-6.2&CDS=1-6135	YLR060W
OG0002292	snap_masked-HE978318-processed-gene-6.140-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.140&CDS=1-369	YGL080W
OG0002293	genemark-HE978318-processed-gene-6.25-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.25&CDS=1-1110	YFL030W
OG0002294	genemark-HE978318-processed-gene-6.26-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.26&CDS=1-1407	YLR058C
OG0002295	genemark-HE978318-processed-gene-6.44-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.44&CDS=1-1110	YFL029C
OG0002296	genemark-HE978318-processed-gene-6.45-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.45&CDS=1-840	YFL028C
OG0002297	augustus_masked-HE978318-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.95&CDS=1-1287	YFL027C
OG0002298	genemark-HE978318-processed-gene-6.27-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.27&CDS=1-1353	YFL026W
OG0002299	snap_masked-HE978318-processed-gene-6.145-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.145&CDS=1-3078	YFL025C
OG0002300	snap_masked-HE978318-processed-gene-6.146-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.146&CDS=1-2481	YFL024C
OG0002301	snap_masked-HE978318-processed-gene-6.124-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.124&CDS=1-2280	YFL023W
OG0002302	genemark-HE978318-processed-gene-6.48-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.48&CDS=1-1494	YFL022C
OG0002303	augustus_masked-HE978318-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.99&CDS=1-729	YLR052W
OG0002304	snap_masked-HE978318-processed-gene-6.127-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-6.127&CDS=1-231	YFL017W-A
OG0002305	genemark-HE978318-processed-gene-6.50-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.50&CDS=1-477	YFL017C
OG0002306	genemark-HE978318-processed-gene-6.31-mRNA-1_1&gene=genemark-HE978318-processed-gene-6.31&CDS=1-2856	YGL167C
OG0002307	augustus_masked-HE978318-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.101&CDS=1-1260	YGL169W
OG0002308	augustus_masked-HE978318-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-6.81&CDS=1-900	YGL161C
OG0002309	genemark-HE978318-processed-gene-7.158-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.158&CDS=1-2706	YGL163C
OG0002310	genemark-HE978318-processed-gene-7.159-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.159&CDS=1-1284	YGL164C
OG0002311	genemark-HE978318-processed-gene-7.161-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.161&CDS=1-789	YGL166W
OG0002312	genemark-HE978318-processed-gene-7.199-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.199&CDS=1-864	YKL095W
OG0002313	genemark-HE978318-processed-gene-7.200-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.200&CDS=1-516	YIR005W
OG0002314	augustus_masked-HE978318-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-7.124&CDS=1-2352	YIR003W
OG0002315	genemark-HE978318-processed-gene-7.162-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.162&CDS=1-2937	YIR002C
OG0002316	genemark-HE978318-processed-gene-7.202-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.202&CDS=1-672	YIL007C
OG0002317	genemark-HE978318-processed-gene-7.163-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.163&CDS=1-1128	YIL006W
OG0002318	genemark-HE978318-processed-gene-7.164-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.164&CDS=1-2094	YIL005W
OG0002319	genemark-HE978318-processed-gene-7.203-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.203&CDS=1-417	YIL004C
OG0002320	genemark-HE978318-processed-gene-7.204-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.204&CDS=1-2832	YIL002C
OG0002321	snap_masked-HE978318-processed-gene-7.18-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.18&CDS=1-2265	YIR007W
OG0002322	genemark-HE978318-processed-gene-7.205-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.205&CDS=1-1197	YIR008C
OG0002323	snap_masked-HE978318-processed-gene-7.19-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.19&CDS=1-600	YER012W
OG0002324	augustus_masked-HE978318-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-7.98&CDS=1-279	YIR009W
OG0002325	genemark-HE978318-processed-gene-7.206-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.206&CDS=1-1128	YGR173W
OG0002326	genemark-HE978318-processed-gene-7.168-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.168&CDS=1-750	YGR172C
OG0002327	genemark-HE978318-processed-gene-7.169-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.169&CDS=1-1644	YGR171C
OG0002328	genemark-HE978318-processed-gene-7.207-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.207&CDS=1-3267	YGR170W
OG0002329	genemark-HE978318-processed-gene-7.170-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.170&CDS=1-1311	YGR169C
OG0002330	genemark-HE978318-processed-gene-7.208-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.208&CDS=1-603	YGR167W
OG0002331	snap_masked-HE978318-processed-gene-7.65-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.65&CDS=1-1506	YGR166W
OG0002332	genemark-HE978318-processed-gene-7.210-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.210&CDS=1-1026	YGR165W
OG0002333	genemark-HE978318-processed-gene-7.171-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.171&CDS=1-1578	YJL014W
OG0002334	genemark-HE978318-processed-gene-7.211-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.211&CDS=1-2649	YGR188C
OG0002335	genemark-HE978318-processed-gene-7.212-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.212&CDS=1-1650	YKL191W
OG0002336	maker-HE978318-augustus-gene-7.6-mRNA-1_1&gene=maker-HE978318-augustus-gene-7.6&CDS=1-2385	YKL194C
OG0002337	genemark-HE978318-processed-gene-7.177-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.177&CDS=1-600	YKL196C
OG0002338	genemark-HE978318-processed-gene-7.214-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.214&CDS=1-537	YMR009W
OG0002339	genemark-HE978318-processed-gene-7.215-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.215&CDS=1-513	YML055W
OG0002340	genemark-HE978318-processed-gene-7.216-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.216&CDS=1-1671	YML057W
OG0002341	snap_masked-HE978318-processed-gene-7.72-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.72&CDS=1-333	YML058W
OG0002342	genemark-HE978318-processed-gene-7.182-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.182&CDS=1-4434	YML059C
OG0002343	genemark-HE978318-processed-gene-7.218-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.218&CDS=1-1122	YML060W
OG0002344	augustus_masked-HE978318-processed-gene-7.111-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-7.111&CDS=1-3441	YML061C
OG0002345	genemark-HE978318-processed-gene-7.185-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.185&CDS=1-702	YML064C
OG0002346	snap_masked-HE978318-processed-gene-7.41-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.41&CDS=1-1029	YML066C
OG0002347	snap_masked-HE978318-processed-gene-7.42-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.42&CDS=1-1068	YML067C
OG0002348	genemark-HE978318-processed-gene-7.221-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.221&CDS=1-1377	YML068W
OG0002349	maker-HE978318-augustus-gene-7.8-mRNA-1_1&gene=maker-HE978318-augustus-gene-7.8&CDS=1-3384	YML070W
OG0002350	genemark-HE978318-processed-gene-7.188-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.188&CDS=1-1392	YML071C
OG0002351	snap_masked-HE978318-processed-gene-7.44-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.44&CDS=1-4620	YML072C
OG0002352	genemark-HE978318-processed-gene-7.191-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.191&CDS=1-2709	YML076C
OG0002353	genemark-HE978318-processed-gene-7.224-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.224&CDS=1-477	YML077W
OG0002354	genemark-HE978318-processed-gene-7.192-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.192&CDS=1-360	YAL046C
OG0002355	snap_masked-HE978318-processed-gene-7.49-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.49&CDS=1-2031	YAL047C
OG0002356	genemark-HE978318-processed-gene-7.194-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.194&CDS=1-2019	YAL048C
OG0002357	genemark-HE978318-processed-gene-7.225-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.225&CDS=1-3408	YAL051W
OG0002358	genemark-HE978318-processed-gene-7.226-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.226&CDS=1-2484	YAL053W
OG0002359	genemark-HE978318-processed-gene-7.195-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.195&CDS=1-2145	YAL054C
OG0002360	genemark-HE978318-processed-gene-7.228-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.228&CDS=1-582	YAL059W
OG0002361	genemark-HE978319-processed-gene-0.63-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.63&CDS=1-384	YDR529C
OG0002362	genemark-HE978319-processed-gene-0.64-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.64&CDS=1-963	YDR530C
OG0002363	genemark-HE978319-processed-gene-0.43-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.43&CDS=1-1104	YDR531W
OG0002364	augustus_masked-HE978319-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-0.100&CDS=1-1089	YDR532C
OG0002365	genemark-HE978319-processed-gene-0.66-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.66&CDS=1-1329	YDR527W
OG0002366	snap_masked-HE978319-processed-gene-0.28-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-0.28&CDS=1-255	YDR525W-A
OG0002367	genemark-HE978319-processed-gene-0.44-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.44&CDS=1-1035	YDR524C
OG0002368	genemark-HE978319-processed-gene-0.45-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.45&CDS=1-1629	YDR523C
OG0002369	genemark-HE978319-processed-gene-0.46-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.46&CDS=1-3321	YDR520C
OG0002370	genemark-HE978319-processed-gene-0.70-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.70&CDS=1-1104	YDR517W
OG0002371	genemark-HE978319-processed-gene-0.48-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.48&CDS=1-1512	YDR514C
OG0002372	genemark-HE978319-processed-gene-0.49-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.49&CDS=1-354	YDR512C
OG0002373	genemark-HE978319-processed-gene-0.50-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.50&CDS=1-315	YDR510W
OG0002374	genemark-HE978319-processed-gene-0.51-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.51&CDS=1-3375	YDR507C
OG0002375	genemark-HE978319-processed-gene-0.74-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.74&CDS=1-1692	YDR501W
OG0002376	genemark-HE978319-processed-gene-0.75-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.75&CDS=1-2238	YDR499W
OG0002377	genemark-HE978319-processed-gene-0.54-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.54&CDS=1-762	YLR186W
OG0002378	genemark-HE978319-processed-gene-0.55-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.55&CDS=1-1974	YNL279W
OG0002379	genemark-HE978319-processed-gene-0.57-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.57&CDS=1-1521	YNL277W
OG0002380	genemark-HE978319-processed-gene-0.58-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.58&CDS=1-1902	YNL275W
OG0002381	genemark-HE978319-processed-gene-0.76-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.76&CDS=1-1035	YNL274C
OG0002382	genemark-HE978319-processed-gene-0.59-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.59&CDS=1-3720	YNL273W
OG0002383	snap_masked-HE978319-processed-gene-0.38-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-0.38&CDS=1-1962	YNL272C
OG0002384	snap_masked-HE978319-processed-gene-0.39-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-0.39&CDS=1-5811	YNL271C
OG0002385	genemark-HE978319-processed-gene-0.61-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.61&CDS=1-3183	YNL267W
OG0002386	genemark-HE978319-processed-gene-0.78-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.78&CDS=1-846	YNL265C
OG0002387	augustus_masked-HE978319-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-0.115&CDS=1-1917	YNL264C
OG0002388	genemark-HE978319-processed-gene-1.2-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.2&CDS=1-6639	YNL262W
OG0002389	genemark-HE978319-processed-gene-1.4-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.4&CDS=1-510	YNL260C
OG0002390	snap_masked-HE978319-processed-gene-1.88-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.88&CDS=1-228	YNL259C
OG0002391	snap_masked-HE978319-processed-gene-1.89-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.89&CDS=1-2355	YNL258C
OG0002392	genemark-HE978319-processed-gene-1.6-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.6&CDS=1-3849	YNL257C
OG0002393	genemark-HE978319-processed-gene-1.3-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.3&CDS=1-2394	YNL256W
OG0002394	genemark-HE978319-processed-gene-1.29-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.29&CDS=1-471	YNL255C
OG0002395	snap_masked-HE978319-processed-gene-1.113-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.113&CDS=1-1140	YNL254C
OG0002396	snap_masked-HE978319-processed-gene-1.91-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.91&CDS=1-1386	YNL253W
OG0002397	genemark-HE978319-processed-gene-1.31-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.31&CDS=1-762	YNL252C
OG0002398	genemark-HE978319-processed-gene-1.32-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.32&CDS=1-1836	YNL251C
OG0002399	genemark-HE978319-processed-gene-1.8-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.8&CDS=1-3918	YNL250W
OG0002400	maker-HE978319-augustus-gene-1.133-mRNA-1_1&gene=maker-HE978319-augustus-gene-1.133&CDS=1-2868	YNL248C
OG0002401	maker-HE978319-snap-gene-1.0-mRNA-1_1&gene=maker-HE978319-snap-gene-1.0&CDS=1-3054	YNL247W
OG0002402	genemark-HE978319-processed-gene-1.35-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.35&CDS=1-459	YNL245C
OG0002403	genemark-HE978319-processed-gene-1.36-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.36&CDS=1-324	YNL244C
OG0002404	snap_masked-HE978319-processed-gene-1.94-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.94&CDS=1-2931	YNL243W
OG0002405	snap_masked-HE978319-processed-gene-1.95-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.95&CDS=1-4827	YNL242W
OG0002406	genemark-HE978319-processed-gene-1.38-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.38&CDS=1-1422	YNL240C
OG0002407	genemark-HE978319-processed-gene-1.12-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.12&CDS=1-1347	YNL239W
OG0002408	maker-HE978319-augustus-gene-1.132-mRNA-1_1&gene=maker-HE978319-augustus-gene-1.132&CDS=1-5277	YNL236W
OG0002409	genemark-HE978319-processed-gene-1.16-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.16&CDS=1-1254	YNL234W
OG0002410	snap_masked-HE978319-processed-gene-1.100-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.100&CDS=1-2769	YNL233W
OG0002411	genemark-HE978319-processed-gene-1.18-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.18&CDS=1-744	YNL232W
OG0002412	genemark-HE978319-processed-gene-1.39-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.39&CDS=1-1056	YNL231C
OG0002413	snap_masked-HE978319-processed-gene-1.123-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.123&CDS=1-1248	YNL230C
OG0002414	genemark-HE978319-processed-gene-1.41-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.41&CDS=1-990	YNL229C
OG0002415	genemark-HE978319-processed-gene-1.42-mRNA-1_1&gene=genemark-HE978319-processed-gene-1.42&CDS=1-1878	YNL227C
OG0002416	snap_masked-HE978319-processed-gene-1.126-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-1.126&CDS=1-1620	YDL239C
