	Saccharomyces_cerevisiae	yHMPu5000034904_Ogataea_nonfermentans
OG0001651	YGL097W	snap_masked-flattened_line_1-processed-gene-9.94-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-9.94&CDS=1-1473
OG0001652	YGL099W	genemark-flattened_line_13-processed-gene-2.16-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.16&CDS=1-2025
OG0001653	YGL100W	snap_masked-flattened_line_19-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.144&CDS=1-948
OG0001654	YGL103W	augustus_masked-flattened_line_19-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.13&CDS=1-1728
OG0001655	YGL105W	snap_masked-flattened_line_19-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.115&CDS=1-1065
OG0001656	YGL106W	genemark-flattened_line_19-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.61&CDS=1-435
OG0001657	YGL108C	snap_masked-flattened_line_25-processed-gene-0.197-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.197&CDS=1-318
OG0001658	YGL110C	snap_masked-flattened_line_19-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.120&CDS=1-1707
OG0001659	YGL111W	snap_masked-flattened_line_19-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.143&CDS=1-1119
OG0001660	YGL112C	snap_masked-flattened_line_13-processed-gene-2.65-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.65&CDS=1-1485
OG0001661	YGL114W	maker-flattened_line_7-augustus-gene-2.3-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-2.3&CDS=1-3117
OG0001662	YGL119W	augustus_masked-flattened_line_17-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.17&CDS=1-5562
OG0001663	YGL120C	snap_masked-flattened_line_17-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.93&CDS=1-2265
OG0001664	YGL122C	maker-flattened_line_9-snap-gene-5.2-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-5.2&CDS=1-3105
OG0001665	YGL123W	snap_masked-flattened_line_9-processed-gene-5.304-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.304&CDS=1-741
OG0001666	YGL124C	snap_masked-flattened_line_11-processed-gene-4.226-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.226&CDS=1-1785
OG0001667	YGL125W	snap_masked-flattened_line_1-processed-gene-4.146-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.146&CDS=1-1794
OG0001668	YGL126W	snap_masked-flattened_line_1-processed-gene-12.36-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.36&CDS=1-912
OG0001669	YGL127C	maker-flattened_line_1-snap-gene-12.216-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-12.216&CDS=1-420
OG0001670	YGL129C	snap_masked-flattened_line_17-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.57&CDS=1-1365
OG0001671	YGL130W	snap_masked-flattened_line_17-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.31&CDS=1-1395
OG0001672	YGL131C	snap_masked-flattened_line_17-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.56&CDS=1-3750
OG0001673	YGL136C	snap_masked-flattened_line_13-processed-gene-2.74-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.74&CDS=1-999
OG0001674	YGL137W	snap_masked-flattened_line_13-processed-gene-2.55-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.55&CDS=1-2469
OG0001675	YGL141W	snap_masked-flattened_line_7-processed-gene-2.107-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.107&CDS=1-2970
OG0001676	YGL142C	genemark-flattened_line_17-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.115&CDS=1-1410
OG0001677	YGL143C	snap_masked-flattened_line_11-processed-gene-2.73-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.73&CDS=1-1203
OG0001678	YGL144C	snap_masked-flattened_line_5-processed-gene-4.102-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.102&CDS=1-2169
OG0001679	YGL148W	snap_masked-flattened_line_11-processed-gene-4.178-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.178&CDS=1-1122
OG0001680	YGL153W	snap_masked-flattened_line_7-processed-gene-2.137-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.137&CDS=1-1065
OG0001681	YGL155W	snap_masked-flattened_line_13-processed-gene-3.334-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.334&CDS=1-1017
OG0001682	YGL156W	snap_masked-flattened_line_13-processed-gene-3.335-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.335&CDS=1-3198
OG0001683	YGL159W	snap_masked-flattened_line_3-processed-gene-4.109-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.109&CDS=1-1650
OG0001684	YGL160W	snap_masked-flattened_line_9-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.113&CDS=1-1539
OG0001685	YGL163C	snap_masked-flattened_line_11-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.95&CDS=1-2472
OG0001686	YGL167C	snap_masked-flattened_line_3-processed-gene-2.118-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.118&CDS=1-2754
OG0001687	YGL169W	snap_masked-flattened_line_1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.98&CDS=1-1140
OG0001688	YGL171W	snap_masked-flattened_line_9-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.42&CDS=1-1635
OG0001689	YGL178W	snap_masked-flattened_line_5-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.55&CDS=1-1734
OG0001690	YGL179C	snap_masked-flattened_line_19-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.103&CDS=1-3015
OG0001691	YGL180W	snap_masked-flattened_line_11-processed-gene-4.224-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.224&CDS=1-2430
OG0001692	YGL181W	snap_masked-flattened_line_11-processed-gene-4.225-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.225&CDS=1-1047
OG0001693	YGL184C	snap_masked-flattened_line_5-processed-gene-5.72-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.72&CDS=1-1152
OG0001694	YGL185C	snap_masked-flattened_line_5-processed-gene-5.71-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.71&CDS=1-1098
OG0001695	YGL187C	augustus_masked-flattened_line_5-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.122&CDS=1-459
OG0001696	YGL190C	snap_masked-flattened_line_5-processed-gene-5.91-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.91&CDS=1-1374
OG0001697	YGL192W	maker-flattened_line_5-snap-gene-5.158-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-5.158&CDS=1-2094
OG0001698	YGL194C	snap_masked-flattened_line_7-processed-gene-3.108-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.108&CDS=1-1398
OG0001699	YGL195W	snap_masked-flattened_line_7-processed-gene-5.76-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.76&CDS=1-7971
OG0001700	YGL198W	snap_masked-flattened_line_13-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.71&CDS=1-1089
OG0001701	YGL200C	maker-flattened_line_3-augustus-gene-6.176-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-6.176&CDS=1-1059
OG0001702	YGL201C	snap_masked-flattened_line_3-processed-gene-8.176-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.176&CDS=1-2808
OG0001703	YGL202W	snap_masked-flattened_line_7-processed-gene-1.87-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.87&CDS=1-1419
OG0001704	YGL203C	maker-flattened_line_3-augustus-gene-6.175-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-6.175&CDS=1-2178
OG0001705	YGL205W	snap_masked-flattened_line_19-processed-gene-1.99-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.99&CDS=1-2082
OG0001706	YGL206C	genemark-flattened_line_3-processed-gene-12.11-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-12.11&CDS=1-5979
OG0001707	YGL207W	snap_masked-flattened_line_1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.52&CDS=1-3012
OG0001708	YGL211W	snap_masked-flattened_line_5-processed-gene-2.94-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.94&CDS=1-1089
OG0001709	YGL212W	augustus_masked-flattened_line_21-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_21-processed-gene-1.96&CDS=1-906
OG0001710	YGL213C	snap_masked-flattened_line_21-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.45&CDS=1-1095
OG0001711	YGL216W	snap_masked-flattened_line_9-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.80&CDS=1-2604
OG0001712	YGL220W	snap_masked-flattened_line_11-processed-gene-1.120-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.120&CDS=1-303
OG0001713	YGL221C	maker-flattened_line_11-snap-gene-1.61-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-1.61&CDS=1-2811
OG0001714	YGL224C	snap_masked-flattened_line_3-processed-gene-8.177-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.177&CDS=1-909
OG0001715	YGL225W	genemark-flattened_line_3-processed-gene-9.137-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-9.137&CDS=1-1017
OG0001716	YGL227W	snap_masked-flattened_line_1-processed-gene-5.132-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.132&CDS=1-1698
OG0001717	YGL231C	snap_masked-flattened_line_1-processed-gene-5.102-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.102&CDS=1-501
OG0001718	YGL232W	snap_masked-flattened_line_1-processed-gene-12.29-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.29&CDS=1-867
OG0001719	YGL233W	snap_masked-flattened_line_1-processed-gene-5.131-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.131&CDS=1-2481
OG0001720	YGL234W	augustus_masked-flattened_line_5-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-0.10&CDS=1-9846
OG0001721	YGL236C	maker-flattened_line_3-snap-gene-9.57-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-9.57&CDS=1-2445
OG0001722	YGL238W	snap_masked-flattened_line_3-processed-gene-9.10-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-9.10&CDS=1-2913
OG0001723	YGL242C	snap_masked-flattened_line_9-processed-gene-5.283-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.283&CDS=1-492
OG0001724	YGL243W	snap_masked-flattened_line_1-processed-gene-8.141-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-8.141&CDS=1-1176
OG0001725	YGL251C	snap_masked-flattened_line_7-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.78&CDS=1-2451
OG0001726	YGL252C	snap_masked-flattened_line_5-processed-gene-5.106-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.106&CDS=1-1839
OG0001727	YGR001C	maker-flattened_line_7-snap-gene-5.104-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-5.104&CDS=1-729
OG0001728	YGR002C	snap_masked-flattened_line_5-processed-gene-5.75-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.75&CDS=1-1386
OG0001729	YGR003W	snap_masked-flattened_line_5-processed-gene-5.95-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.95&CDS=1-2388
OG0001730	YGR005C	snap_masked-flattened_line_7-processed-gene-1.91-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.91&CDS=1-1224
OG0001731	YGR006W	genemark-flattened_line_7-processed-gene-1.191-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.191&CDS=1-801
OG0001732	YGR007W	maker-flattened_line_1-snap-gene-12.211-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-12.211&CDS=1-1161
OG0001733	YGR012W	genemark-flattened_line_25-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-0.132&CDS=1-1194
OG0001734	YGR014W	genemark-flattened_line_1-processed-gene-3.191-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.191&CDS=1-2721
OG0001735	YGR017W	snap_masked-flattened_line_11-processed-gene-2.79-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.79&CDS=1-861
OG0001736	YGR019W	snap_masked-flattened_line_11-processed-gene-2.80-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.80&CDS=1-1413
OG0001737	YGR020C	genemark-flattened_line_11-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-2.162&CDS=1-357
OG0001738	YGR021W	augustus_masked-flattened_line_11-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_11-processed-gene-2.20&CDS=1-813
OG0001739	YGR024C	genemark-flattened_line_1-processed-gene-4.97-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.97&CDS=1-789
OG0001740	YGR026W	snap_masked-flattened_line_1-processed-gene-12.38-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.38&CDS=1-756
OG0001741	YGR028W	snap_masked-flattened_line_15-processed-gene-2.147-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.147&CDS=1-1071
OG0001742	YGR029W	snap_masked-flattened_line_11-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.110&CDS=1-504
OG0001743	YGR032W	snap_masked-flattened_line_17-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.60&CDS=1-5646
OG0001744	YGR037C	snap_masked-flattened_line_1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.26&CDS=1-258
OG0001745	YGR040W	genemark-flattened_line_1-processed-gene-5.207-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-5.207&CDS=1-1068
OG0001746	YGR042W	genemark-flattened_line_13-processed-gene-3.27-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.27&CDS=1-1011
OG0001747	YGR044C	genemark-flattened_line_1-processed-gene-11.177-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-11.177&CDS=1-1083
OG0001748	YGR046W	snap_masked-flattened_line_1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.32&CDS=1-1584
OG0001749	YGR054W	augustus_masked-flattened_line_1-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-10.139&CDS=1-2934
OG0001750	YGR055W	genemark-flattened_line_1-processed-gene-12.201-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-12.201&CDS=1-1620
OG0001751	YGR057C	snap_masked-flattened_line_1-processed-gene-5.74-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.74&CDS=1-666
OG0001752	YGR060W	snap_masked-flattened_line_5-processed-gene-4.60-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.60&CDS=1-903
OG0001753	YGR061C	snap_masked-flattened_line_1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.135&CDS=1-4077
OG0001754	YGR062C	snap_masked-flattened_line_1-processed-gene-5.105-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.105&CDS=1-957
OG0001755	YGR063C	maker-flattened_line_1-snap-gene-5.6-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-5.6&CDS=1-351
OG0001756	YGR074W	snap_masked-flattened_line_17-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.80&CDS=1-348
OG0001757	YGR076C	snap_masked-flattened_line_17-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.105&CDS=1-489
OG0001758	YGR078C	snap_masked-flattened_line_3-processed-gene-8.149-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.149&CDS=1-591
OG0001759	YGR080W	augustus_masked-flattened_line_1-processed-gene-9.171-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-9.171&CDS=1-951
OG0001760	YGR081C	snap_masked-flattened_line_13-processed-gene-3.257-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.257&CDS=1-375
OG0001761	YGR082W	snap_masked-flattened_line_13-processed-gene-3.304-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.304&CDS=1-498
OG0001762	YGR083C	snap_masked-flattened_line_3-processed-gene-8.160-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.160&CDS=1-1404
OG0001763	YGR086C	snap_masked-flattened_line_3-processed-gene-9.0-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-9.0&CDS=1-933
OG0001764	YGR089W	snap_masked-flattened_line_3-processed-gene-12.100-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.100&CDS=1-2166
OG0001765	YGR090W	genemark-flattened_line_19-processed-gene-1.225-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.225&CDS=1-3402
OG0001766	YGR091W	snap_masked-flattened_line_7-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.101&CDS=1-1389
OG0001767	YGR094W	snap_masked-flattened_line_7-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.130&CDS=1-3147
OG0001768	YGR095C	snap_masked-flattened_line_7-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.100&CDS=1-672
OG0001769	YGR096W	snap_masked-flattened_line_7-processed-gene-1.99-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.99&CDS=1-867
OG0001770	YGR098C	snap_masked-flattened_line_3-processed-gene-12.146-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.146&CDS=1-4773
OG0001771	YGR099W	snap_masked-flattened_line_1-processed-gene-12.46-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.46&CDS=1-2304
OG0001772	YGR100W	snap_masked-flattened_line_1-processed-gene-6.163-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.163&CDS=1-2733
OG0001773	YGR102C	snap_masked-flattened_line_11-processed-gene-4.153-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.153&CDS=1-492
OG0001774	YGR103W	snap_masked-flattened_line_11-processed-gene-4.200-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.200&CDS=1-1782
OG0001775	YGR104C	snap_masked-flattened_line_3-processed-gene-12.141-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.141&CDS=1-657
OG0001776	YGR105W	snap_masked-flattened_line_3-processed-gene-1.145-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.145&CDS=1-222
OG0001777	YGR110W	genemark-flattened_line_1-processed-gene-6.31-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.31&CDS=1-1230
OG0001778	YGR111W	snap_masked-flattened_line_1-processed-gene-12.27-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.27&CDS=1-1047
OG0001779	YGR112W	maker-flattened_line_1-snap-gene-7.7-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-7.7&CDS=1-3687
OG0001780	YGR113W	snap_masked-flattened_line_1-processed-gene-7.148-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.148&CDS=1-855
OG0001781	YGR116W	snap_masked-flattened_line_25-processed-gene-0.150-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.150&CDS=1-4311
OG0001782	YGR117C	snap_masked-flattened_line_5-processed-gene-6.97-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.97&CDS=1-1326
OG0001783	YGR119C	snap_masked-flattened_line_7-processed-gene-4.128-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.128&CDS=1-1494
OG0001784	YGR129W	snap_masked-flattened_line_25-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.149&CDS=1-654
OG0001785	YGR132C	snap_masked-flattened_line_3-processed-gene-8.168-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.168&CDS=1-843
OG0001786	YGR133W	snap_masked-flattened_line_5-processed-gene-2.81-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.81&CDS=1-564
OG0001787	YGR134W	maker-flattened_line_5-snap-gene-2.13-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-2.13&CDS=1-3246
OG0001788	YGR135W	snap_masked-flattened_line_3-processed-gene-8.169-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-8.169&CDS=1-756
OG0001789	YGR144W	augustus_masked-flattened_line_9-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-5.20&CDS=1-975
OG0001790	YGR145W	snap_masked-flattened_line_3-processed-gene-1.170-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.170&CDS=1-2016
OG0001791	YGR147C	snap_masked-flattened_line_1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-9.62&CDS=1-624
OG0001792	YGR149W	snap_masked-flattened_line_3-processed-gene-2.87-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.87&CDS=1-1374
OG0001793	YGR150C	snap_masked-flattened_line_3-processed-gene-11.124-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-11.124&CDS=1-2169
OG0001794	YGR152C	genemark-flattened_line_1-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.146&CDS=1-1971
OG0001795	YGR158C	snap_masked-flattened_line_15-processed-gene-2.202-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.202&CDS=1-717
OG0001796	YGR159C	snap_masked-flattened_line_5-processed-gene-6.107-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.107&CDS=1-1392
OG0001797	YGR161C	snap_masked-flattened_line_21-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.128&CDS=1-822
OG0001798	YGR163W	maker-flattened_line_3-augustus-gene-4.194-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-4.194&CDS=1-3147
OG0001799	YGR165W	snap_masked-flattened_line_19-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.101&CDS=1-1002
OG0001800	YGR166W	snap_masked-flattened_line_3-processed-gene-6.47-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.47&CDS=1-1326
OG0001801	YGR170W	snap_masked-flattened_line_1-processed-gene-3.86-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.86&CDS=1-3159
OG0001802	YGR172C	snap_masked-flattened_line_1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.114&CDS=1-720
OG0001803	YGR175C	snap_masked-flattened_line_3-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.136&CDS=1-1446
OG0001804	YGR178C	snap_masked-flattened_line_11-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.77&CDS=1-2316
OG0001805	YGR184C	genemark-flattened_line_23-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.58&CDS=1-5544
OG0001806	YGR185C	snap_masked-flattened_line_7-processed-gene-5.60-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.60&CDS=1-1203
OG0001807	YGR187C	augustus_masked-flattened_line_23-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.195&CDS=1-2712
OG0001808	YGR188C	snap_masked-flattened_line_15-processed-gene-1.143-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.143&CDS=1-2484
OG0001809	YGR192C	snap_masked-flattened_line_3-processed-gene-4.113-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-4.113&CDS=1-1005
OG0001810	YGR193C	maker-flattened_line_23-snap-gene-0.277-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-0.277&CDS=1-1158
OG0001811	YGR194C	snap_masked-flattened_line_19-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.136&CDS=1-1794
OG0001812	YGR195W	snap_masked-flattened_line_21-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.73&CDS=1-738
OG0001813	YGR199W	genemark-flattened_line_21-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.69&CDS=1-2196
OG0001814	YGR202C	genemark-flattened_line_23-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.67&CDS=1-1155
OG0001815	YGR203W	snap_masked-flattened_line_23-processed-gene-0.170-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.170&CDS=1-414
OG0001816	YGR208W	snap_masked-flattened_line_5-processed-gene-4.109-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.109&CDS=1-909
OG0001817	YGR210C	snap_masked-flattened_line_15-processed-gene-2.228-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.228&CDS=1-1242
OG0001818	YGR218W	snap_masked-flattened_line_3-processed-gene-6.37-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.37&CDS=1-3222
OG0001819	YGR220C	snap_masked-flattened_line_7-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.87&CDS=1-816
OG0001820	YGR223C	snap_masked-flattened_line_15-processed-gene-2.176-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.176&CDS=1-1083
OG0001821	YGR233C	snap_masked-flattened_line_15-processed-gene-2.216-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.216&CDS=1-3411
OG0001822	YGR235C	snap_masked-flattened_line_1-processed-gene-10.110-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-10.110&CDS=1-711
OG0001823	YGR240C	snap_masked-flattened_line_3-processed-gene-11.81-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-11.81&CDS=1-2913
OG0001824	YGR245C	snap_masked-flattened_line_1-processed-gene-12.62-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.62&CDS=1-2211
