	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
OG0001415	YFL007W	augustus_masked-flattened_line_89-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.61&CDS=1-6510
OG0001416	YFL008W	augustus_masked-flattened_line_42-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.243&CDS=1-5211
OG0001417	YFL010C	snap_masked-flattened_line_32-processed-gene-1.43-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.43&CDS=1-771
OG0001418	YFL013C	augustus_masked-flattened_line_28-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.16&CDS=1-1938
OG0001419	YFL016C	augustus_masked-flattened_line_87-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.48&CDS=1-1551
OG0001420	YFL017C	augustus_masked-flattened_line_28-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.12&CDS=1-450
OG0001421	YFL017W-A	augustus_masked-flattened_line_28-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.15&CDS=1-222
OG0001422	YFL018C	augustus_masked-flattened_line_34-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.236&CDS=1-1464
OG0001423	YFL022C	augustus_masked-flattened_line_10-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.130&CDS=1-1488
OG0001424	YFL024C	augustus_masked-flattened_line_28-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.74&CDS=1-2748
OG0001425	YFL025C	augustus_masked-flattened_line_6-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.149&CDS=1-3024
OG0001426	YFL026W	augustus_masked-flattened_line_40-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.182&CDS=1-1146
OG0001427	YFL027C	genemark-flattened_line_78-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.123&CDS=1-1566
OG0001428	YFL028C	augustus_masked-flattened_line_6-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.79&CDS=1-957
OG0001429	YFL029C	augustus_masked-flattened_line_26-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.214&CDS=1-1005
OG0001430	YFL031W	snap_masked-flattened_line_14-processed-gene-2.216-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.216&CDS=1-804
OG0001431	YFL033C	augustus_masked-flattened_line_36-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.13&CDS=1-5031
OG0001432	YFL034C-B	augustus_masked-flattened_line_72-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.88&CDS=1-915
OG0001433	YFL036W	augustus_masked-flattened_line_72-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.70&CDS=1-3912
OG0001434	YFL037W	augustus_masked-flattened_line_72-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.87&CDS=1-1344
OG0001435	YFL038C	maker-flattened_line_10-augustus-gene-1.1-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.1&CDS=1-1521
OG0001436	YFL039C	augustus_masked-flattened_line_46-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.124&CDS=1-1125
OG0001437	YFL045C	augustus_masked-flattened_line_10-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.158&CDS=1-759
OG0001438	YFL046W	genemark-flattened_line_10-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.113&CDS=1-606
OG0001439	YFL047W	snap_masked-flattened_line_34-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.37&CDS=1-2724
OG0001440	YFL053W	genemark-flattened_line_32-processed-gene-1.173-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.173&CDS=1-1767
OG0001441	YFL055W	genemark-flattened_line_14-processed-gene-2.171-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.171&CDS=1-1581
OG0001442	YFR001W	augustus_masked-flattened_line_4-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.127&CDS=1-606
OG0001443	YFR002W	maker-flattened_line_1-augustus-gene-3.60-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-3.60&CDS=1-3555
OG0001444	YFR004W	augustus_masked-flattened_line_99-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.47&CDS=1-936
OG0001445	YFR005C	augustus_masked-flattened_line_99-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.46&CDS=1-1464
OG0001446	YFR006W	augustus_masked-flattened_line_99-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.35&CDS=1-1377
OG0001447	YFR009W	augustus_masked-flattened_line_52-processed-gene-0.250-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.250&CDS=1-2253
OG0001448	YFR010W	augustus_masked-flattened_line_52-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.209&CDS=1-1440
OG0001449	YFR011C	augustus_masked-flattened_line_52-processed-gene-0.248-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.248&CDS=1-450
OG0001450	YFR016C	maker-flattened_line_1-snap-gene-1.144-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-1.144&CDS=1-2361
OG0001451	YFR019W	augustus_masked-flattened_line_22-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.231&CDS=1-7053
OG0001452	YFR021W	augustus_masked-flattened_line_52-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.208&CDS=1-1764
OG0001453	YFR024C-A	augustus_masked-flattened_line_22-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.239&CDS=1-1272
OG0001454	YFR025C	augustus_masked-flattened_line_80-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.97&CDS=1-954
OG0001455	YFR027W	augustus_masked-flattened_line_62-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.95&CDS=1-741
OG0001456	YFR028C	augustus_masked-flattened_line_1-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-0.95&CDS=1-1617
OG0001457	YFR029W	augustus_masked-flattened_line_10-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.144&CDS=1-2037
OG0001458	YFR030W	augustus_masked-flattened_line_36-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.185&CDS=1-3315
OG0001459	YFR032C	maker-flattened_line_14-augustus-gene-2.287-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-2.287&CDS=1-1002
OG0001460	YFR033C	maker-flattened_line_24-augustus-gene-1.260-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.260&CDS=1-396
OG0001461	YFR034C	augustus_masked-flattened_line_4-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.98&CDS=1-1617
OG0001462	YFR037C	augustus_masked-flattened_line_20-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.151&CDS=1-1692
OG0001463	YFR041C	augustus_masked-flattened_line_38-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.55&CDS=1-909
OG0001464	YFR044C	augustus_masked-flattened_line_54-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.113&CDS=1-1446
OG0001465	YFR047C	augustus_masked-flattened_line_62-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.123&CDS=1-885
OG0001466	YFR048W	augustus_masked-flattened_line_36-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.35&CDS=1-2991
OG0001467	YFR050C	snap_masked-flattened_line_74-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.26&CDS=1-1008
OG0001468	YFR051C	augustus_masked-flattened_line_87-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.63&CDS=1-1656
OG0001469	YFR052W	augustus_masked-flattened_line_36-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.220&CDS=1-819
OG0001470	YGL003C	genemark-flattened_line_1-processed-gene-4.8-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.8&CDS=1-1677
OG0001471	YGL005C	augustus_masked-flattened_line_38-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.59&CDS=1-696
OG0001472	YGL006W	genemark-flattened_line_38-processed-gene-1.38-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.38&CDS=1-3651
OG0001473	YGL008C	augustus_masked-flattened_line_38-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.68&CDS=1-2688
OG0001474	YGL009C	augustus_masked-flattened_line_28-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.30&CDS=1-2313
OG0001475	YGL010W	augustus_masked-flattened_line_28-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.58&CDS=1-567
OG0001476	YGL011C	augustus_masked-flattened_line_38-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.88&CDS=1-741
OG0001477	YGL012W	maker-flattened_line_38-snap-gene-1.44-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-1.44&CDS=1-6069
OG0001478	YGL016W	augustus_masked-flattened_line_1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-4.53&CDS=1-3027
OG0001479	YGL017W	augustus_masked-flattened_line_1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.88&CDS=1-1437
OG0001480	YGL018C	augustus_masked-flattened_line_1-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.90&CDS=1-657
OG0001481	YGL019W	augustus_masked-flattened_line_1-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.113&CDS=1-825
OG0001482	YGL020C	augustus_masked-flattened_line_1-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.91&CDS=1-624
OG0001483	YGL022W	augustus_masked-flattened_line_28-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.57&CDS=1-2232
OG0001484	YGL023C	augustus_masked-flattened_line_28-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.56&CDS=1-2073
OG0001485	YGL026C	augustus_masked-flattened_line_46-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.104&CDS=1-2106
OG0001486	YGL027C	augustus_masked-flattened_line_46-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.135&CDS=1-2466
OG0001487	YGL028C	augustus_masked-flattened_line_74-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.111&CDS=1-1449
OG0001488	YGL030W	augustus_masked-flattened_line_28-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.26&CDS=1-318
OG0001489	YGL037C	augustus_masked-flattened_line_80-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.73&CDS=1-681
OG0001490	YGL038C	augustus_masked-flattened_line_12-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.50&CDS=1-1137
OG0001491	YGL040C	augustus_masked-flattened_line_1-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-1.137&CDS=1-1020
OG0001492	YGL043W	augustus_masked-flattened_line_10-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.126&CDS=1-864
OG0001493	YGL044C	augustus_masked-flattened_line_10-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.142&CDS=1-1146
OG0001494	YGL045W	augustus_masked-flattened_line_32-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.111&CDS=1-2394
OG0001495	YGL048C	augustus_masked-flattened_line_89-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.44&CDS=1-1200
OG0001496	YGL050W	augustus_masked-flattened_line_10-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.115&CDS=1-825
OG0001497	YGL054C	maker-flattened_line_12-augustus-gene-0.78-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-0.78&CDS=1-411
OG0001498	YGL055W	augustus_masked-flattened_line_6-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.67&CDS=1-1452
OG0001499	YGL058W	maker-flattened_line_78-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_78-augustus-gene-0.4&CDS=1-528
OG0001500	YGL059W	augustus_masked-flattened_line_95-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.35&CDS=1-1398
OG0001501	YGL064C	snap_masked-flattened_line_48-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.86&CDS=1-1713
OG0001502	YGL065C	augustus_masked-flattened_line_48-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.132&CDS=1-1371
OG0001503	YGL066W	augustus_masked-flattened_line_48-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.175&CDS=1-1404
OG0001504	YGL067W	snap_masked-flattened_line_48-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.85&CDS=1-1308
OG0001505	YGL068W	augustus_masked-flattened_line_17-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.63&CDS=1-498
OG0001506	YGL070C	augustus_masked-flattened_line_17-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.90&CDS=1-336
OG0001507	YGL073W	genemark-flattened_line_32-processed-gene-1.209-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.209&CDS=1-1791
OG0001508	YGL077C	genemark-flattened_line_1-processed-gene-3.147-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-3.147&CDS=1-1587
OG0001509	YGL078C	augustus_masked-flattened_line_32-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.94&CDS=1-1593
OG0001510	YGL079W	augustus_masked-flattened_line_4-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.3&CDS=1-534
OG0001511	YGL080W	genemark-flattened_line_4-processed-gene-4.70-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.70&CDS=1-342
OG0001512	YGL083W	augustus_masked-flattened_line_14-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.68&CDS=1-2571
OG0001513	YGL084C	augustus_masked-flattened_line_34-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.44&CDS=1-2025
OG0001514	YGL085W	augustus_masked-flattened_line_34-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.40&CDS=1-687
OG0001515	YGL086W	augustus_masked-flattened_line_34-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.43&CDS=1-1983
OG0001516	YGL087C	augustus_masked-flattened_line_34-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.24&CDS=1-411
OG0001517	YGL091C	augustus_masked-flattened_line_4-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.52&CDS=1-987
OG0001518	YGL093W	genemark-flattened_line_48-processed-gene-0.275-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.275&CDS=1-2306
OG0001519	YGL094C	augustus_masked-flattened_line_32-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.96&CDS=1-3585
OG0001520	YGL099W	augustus_masked-flattened_line_48-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.134&CDS=1-1977
OG0001521	YGL100W	augustus_masked-flattened_line_17-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.22&CDS=1-1029
OG0001522	YGL103W	maker-flattened_line_10-augustus-gene-3.54-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-3.54&CDS=1-447
OG0001523	YGL106W	augustus_masked-flattened_line_10-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.93&CDS=1-429
OG0001524	YGL110C	augustus_masked-flattened_line_17-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.17&CDS=1-1881
OG0001525	YGL111W	augustus_masked-flattened_line_17-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-1.40&CDS=1-1266
OG0001526	YGL112C	augustus_masked-flattened_line_12-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.65&CDS=1-1464
OG0001527	YGL114W	augustus_masked-flattened_line_10-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.17&CDS=1-1992
OG0001528	YGL115W	augustus_masked-flattened_line_10-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.16&CDS=1-1014
OG0001529	YGL116W	augustus_masked-flattened_line_1-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-1.136&CDS=1-1830
OG0001530	YGL119W	augustus_masked-flattened_line_105-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.17&CDS=1-1701
OG0001531	YGL120C	augustus_masked-flattened_line_38-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.54&CDS=1-2799
OG0001532	YGL122C	augustus_masked-flattened_line_105-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.15&CDS=1-1377
OG0001533	YGL123W	augustus_masked-flattened_line_105-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_105-processed-gene-0.0&CDS=1-756
OG0001534	YGL125W	augustus_masked-flattened_line_4-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.31&CDS=1-1839
OG0001535	YGL126W	augustus_masked-flattened_line_66-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.35&CDS=1-1347
OG0001536	YGL129C	augustus_masked-flattened_line_48-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.127&CDS=1-1425
OG0001537	YGL130W	augustus_masked-flattened_line_109-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_109-processed-gene-0.17&CDS=1-1332
OG0001538	YGL131C	augustus_masked-flattened_line_109-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_109-processed-gene-0.24&CDS=1-4518
OG0001539	YGL136C	augustus_masked-flattened_line_1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.80&CDS=1-732
OG0001540	YGL137W	augustus_masked-flattened_line_48-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.180&CDS=1-4551
OG0001541	YGL141W	augustus_masked-flattened_line_6-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.77&CDS=1-2868
OG0001542	YGL142C	genemark-flattened_line_103-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_103-processed-gene-0.26&CDS=1-1578
OG0001543	YGL144C	augustus_masked-flattened_line_103-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_103-processed-gene-0.55&CDS=1-2043
OG0001544	YGL148W	augustus_masked-flattened_line_34-processed-gene-1.228-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.228&CDS=1-1128
OG0001545	YGL150C	genemark-flattened_line_76-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.94&CDS=1-3924
OG0001546	YGL151W	augustus_masked-flattened_line_76-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.26&CDS=1-3000
OG0001547	YGL153W	augustus_masked-flattened_line_76-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.28&CDS=1-1248
OG0001548	YGL154C	augustus_masked-flattened_line_76-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.31&CDS=1-876
OG0001549	YGL155W	augustus_masked-flattened_line_76-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.30&CDS=1-1107
OG0001550	YGL156W	maker-flattened_line_44-snap-gene-0.98-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.98&CDS=1-3498
OG0001551	YGL159W	genemark-flattened_line_91-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_91-processed-gene-0.61&CDS=1-942
OG0001552	YGL160W	augustus_masked-flattened_line_1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-2.68&CDS=1-1482
OG0001553	YGL161C	snap_masked-flattened_line_50-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.175&CDS=1-4122
OG0001554	YGL163C	maker-flattened_line_46-snap-gene-0.143-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.143&CDS=1-2421
OG0001555	YGL164C	augustus_masked-flattened_line_46-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.95&CDS=1-1236
OG0001556	YGL166W	augustus_masked-flattened_line_46-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.127&CDS=1-1866
OG0001557	YGL167C	augustus_masked-flattened_line_40-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.162&CDS=1-2751
OG0001558	YGL169W	augustus_masked-flattened_line_40-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.163&CDS=1-1116
OG0001559	YGL171W	augustus_masked-flattened_line_76-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.19&CDS=1-1635
OG0001560	YGL172W	augustus_masked-flattened_line_95-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.58&CDS=1-1458
OG0001561	YGL173C	augustus_masked-flattened_line_95-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.40&CDS=1-4407
OG0001562	YGL174W	augustus_masked-flattened_line_95-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.57&CDS=1-693
OG0001563	YGL178W	augustus_masked-flattened_line_95-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_95-processed-gene-0.43&CDS=1-2595
OG0001564	YGL179C	genemark-flattened_line_46-processed-gene-0.176-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.176&CDS=1-3798
OG0001565	YGL180W	genemark-flattened_line_46-processed-gene-0.185-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.185&CDS=1-2556
OG0001566	YGL181W	augustus_masked-flattened_line_34-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.199&CDS=1-1449
OG0001567	YGL186C	augustus_masked-flattened_line_52-processed-gene-0.260-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.260&CDS=1-1629
OG0001568	YGL187C	genemark-flattened_line_28-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.40&CDS=1-462
OG0001569	YGL190C	augustus_masked-flattened_line_28-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.60&CDS=1-1500
OG0001570	YGL191W	augustus_masked-flattened_line_28-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.85&CDS=1-411
OG0001571	YGL192W	augustus_masked-flattened_line_28-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.81&CDS=1-1503
OG0001572	YGL194C	augustus_masked-flattened_line_38-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.72&CDS=1-1302
OG0001573	YGL195W	genemark-flattened_line_56-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.120&CDS=1-8088
OG0001574	YGL198W	augustus_masked-flattened_line_26-processed-gene-1.287-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.287&CDS=1-975
OG0001575	YGL200C	augustus_masked-flattened_line_34-processed-gene-1.227-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.227&CDS=1-606
OG0001576	YGL201C	augustus_masked-flattened_line_87-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.73&CDS=1-2754
OG0001577	YGL202W	augustus_masked-flattened_line_1-processed-gene-3.115-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.115&CDS=1-1467
OG0001578	YGL205W	augustus_masked-flattened_line_4-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.125&CDS=1-2130
OG0001579	YGL206C	genemark-flattened_line_48-processed-gene-0.247-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.247&CDS=1-5001
OG0001580	YGL207W	augustus_masked-flattened_line_44-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.178&CDS=1-3021
OG0001581	YGL211W	augustus_masked-flattened_line_30-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.1&CDS=1-1119
OG0001582	YGL215W	augustus_masked-flattened_line_40-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.117&CDS=1-1236
OG0001583	YGL216W	genemark-flattened_line_12-processed-gene-2.39-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.39&CDS=1-3744
OG0001584	YGL225W	augustus_masked-flattened_line_62-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.128&CDS=1-987
OG0001585	YGL227W	augustus_masked-flattened_line_54-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.152&CDS=1-2454
