	Fusarium_graminearum	Saccharomyces_cerevisiae
OG0000897	XP_011316976.1	YGL001C
OG0000898	XP_011316977.1	YDL240W
OG0000899	XP_011316978.1	YNL115C
OG0000900	XP_011316982.1	YJR068W
OG0000901	XP_011316984.1	YER172C
OG0000902	XP_011316989.1	YBR171W
OG0000903	XP_011316990.1	YBR170C
OG0000904	XP_011316991.1	YJR109C
OG0000905	XP_011316993.1	YGL010W
OG0000906	XP_011316994.1	YDR404C
OG0000907	XP_011316999.1	YCL038C
OG0000908	XP_011317001.1	YIL034C
OG0000909	XP_011317005.1	YER053C
OG0000910	XP_011317007.1	YER074W-A
OG0000911	XP_011317008.1	YNR030W
OG0000912	XP_011317009.1	YJL005W
OG0000913	XP_011317011.1	YER094C
OG0000914	XP_011317019.1	YML046W
OG0000915	XP_011317022.1	YCL043C
OG0000916	XP_011317025.1	YIL078W
OG0000917	XP_011317028.1	YMR287C
OG0000918	XP_011317029.1	YDR028C
OG0000919	XP_011317033.1	YHR070W
OG0000920	XP_011317035.1	YDL193W
OG0000921	XP_011317036.1	YLR166C
OG0000922	XP_011317037.1	YLR405W
OG0000923	XP_011317047.1	YHR087W
OG0000924	XP_011317051.1	YMR001C
OG0000925	XP_011317052.1	YBR023C
OG0000926	XP_011317053.1	YBL061C
OG0000927	XP_011317056.1	YAL019W
OG0000928	XP_011317057.1	YGR105W
OG0000929	XP_011317060.1	YNL241C
OG0000930	XP_011317061.1	YLR071C
OG0000931	XP_011317062.1	YER014W
OG0000932	XP_011317066.1	YGL202W
OG0000933	XP_011317070.1	YOR039W
OG0000934	XP_011317072.1	YEL050C
OG0000935	XP_011317084.1	YGR091W
OG0000936	XP_011317085.1	YLR117C
OG0000937	XP_011317090.1	YBL102W
OG0000938	XP_011317092.1	YHL023C
OG0000939	XP_011317098.1	YFL033C
OG0000940	XP_011317102.1	YCR088W
OG0000941	XP_011317106.1	YLL001W
OG0000942	XP_011317108.1	YDR510W
OG0000943	XP_011317109.1	YMR194C-B
OG0000944	XP_011317110.1	YDL116W
OG0000945	XP_011317115.1	YKL080W
OG0000946	XP_011317116.1	YKL001C
OG0000947	XP_011317119.1	YDR060W
OG0000948	XP_011317120.1	YER087W
OG0000949	XP_011317121.1	YML094W
OG0000950	XP_011317123.1	YML065W
OG0000951	XP_011317124.1	YPL151C
OG0000952	XP_011317131.1	YNL027W
OG0000953	XP_011317134.1	YHR194W
OG0000954	XP_011317135.1	YOR145C
OG0000955	XP_011317137.1	YGR254W
OG0000956	XP_011317138.1	YGR188C
OG0000957	XP_011317139.1	YKL114C
OG0000958	XP_011317140.1	YOR245C
OG0000959	XP_011317144.1	YGL194C
OG0000960	XP_011317145.1	YOR064C
OG0000961	XP_011317146.1	YIL110W
OG0000962	XP_011317147.1	YDR511W
OG0000963	XP_011317148.1	YKL078W
OG0000964	XP_011317149.1	YGR009C
OG0000965	XP_011317151.1	YLL014W
OG0000966	XP_011317152.1	YDR047W
OG0000967	XP_011317156.1	YER055C
OG0000968	XP_011317159.1	YGR217W
OG0000969	XP_011317163.1	YDL154W
OG0000970	XP_011317166.1	YGL190C
OG0000971	XP_011317167.1	YEL004W
OG0000972	XP_011317168.1	YML035C
OG0000973	XP_011317169.1	YBL007C
OG0000974	XP_011317170.1	YJR116W
OG0000975	XP_011317172.1	YDL119C
OG0000976	XP_011317182.1	YNR053C
OG0000977	XP_011317184.1	YCR011C
OG0000978	XP_011317187.1	YLR069C
OG0000979	XP_011317188.1	YIL094C
OG0000980	XP_011317190.1	YMR158W
OG0000981	XP_011317191.1	YBL098W
OG0000982	XP_011317193.1	YLR244C
OG0000983	XP_011317194.1	YGL054C
OG0000984	XP_011317195.1	YDR364C
OG0000985	XP_011317200.1	YDR032C
OG0000986	XP_011317205.1	YDR519W
OG0000987	XP_011317208.1	YMR109W
OG0000988	XP_011317209.1	YOL003C
OG0000989	XP_011317215.1	YFL010C
OG0000990	XP_011317217.1	YLR303W
OG0000991	XP_011317221.1	YER015W
OG0000992	XP_011317223.1	YMR241W
OG0000993	XP_011317224.1	YNR001C
OG0000994	XP_011317225.1	YNL251C
OG0000995	XP_011317228.1	YGL008C
OG0000996	XP_011317233.1	YFR002W
OG0000997	XP_011317234.1	YDR109C
OG0000998	XP_011317237.1	YDL171C
OG0000999	XP_011317240.1	YIL004C
OG0001000	XP_011317243.1	YOL001W
OG0001001	XP_011317249.1	YMR234W
OG0001002	XP_011317250.1	YLR316C
OG0001003	XP_011317251.1	YIL107C
OG0001004	XP_011317252.1	YLL011W
OG0001005	XP_011317253.1	YIL021W
OG0001006	XP_011317254.1	YLR348C
OG0001007	XP_011317255.1	YPR047W
OG0001008	XP_011317258.1	YNL213C
OG0001009	XP_011317263.1	YPL128C
OG0001010	XP_011317269.1	YGR072W
OG0001011	XP_011317270.1	YDL047W
OG0001012	XP_011317271.1	YML005W
OG0001013	XP_011317272.1	YLR250W
OG0001014	XP_011317276.1	YGR211W
OG0001015	XP_011317278.1	YCR090C
OG0001016	XP_011317280.1	YPL110C
OG0001017	XP_011317284.1	YPR024W
OG0001018	XP_011317289.1	YPL083C
OG0001019	XP_011317294.1	YMR099C
OG0001020	XP_011317299.1	YHR062C
OG0001021	XP_011317304.1	YBR193C
OG0001022	XP_011317307.1	YFR048W
OG0001023	XP_011317312.1	YOR301W
OG0001024	XP_011317314.1	YOR339C
OG0001025	XP_011317315.1	YBR274W
OG0001026	XP_011317317.1	YOR251C
OG0001027	XP_011317318.1	YGL123W
OG0001028	XP_011317328.1	YJR084W
OG0001029	XP_011317331.1	YKL193C
OG0001030	XP_011317332.1	YHR104W
OG0001031	XP_011317337.1	YLR019W
OG0001032	XP_011317338.1	YER019C-A
OG0001033	XP_011317345.1	YAL023C
OG0001034	XP_011317351.1	YGR220C
OG0001035	XP_011317352.1	YIL157C
OG0001036	XP_011317354.1	YGR233C
OG0001037	XP_011317363.1	YHR012W
OG0001038	XP_011317364.1	YPL012W
OG0001039	XP_011317370.1	YER169W
OG0001040	XP_011317372.1	YJL060W
OG0001041	XP_011317374.1	YPL133C
OG0001042	XP_011317379.1	YNL141W
OG0001043	XP_011317380.1	YDL190C
OG0001044	XP_011317385.1	YMR250W
OG0001045	XP_011317386.1	YOL140W
OG0001046	XP_011317391.1	YOR260W
OG0001047	XP_011317408.1	YJR077C
OG0001048	XP_011317410.1	YGR245C
OG0001049	XP_011317421.1	YNL062C
OG0001050	XP_011317422.1	YLR370C
OG0001051	XP_011317427.1	YER075C
OG0001052	XP_011317428.1	YGL048C
OG0001053	XP_011317429.1	YNL321W
OG0001054	XP_011317434.1	YCL047C
OG0001055	XP_011317435.1	YMR231W
OG0001056	XP_011317437.1	YPL164C
OG0001057	XP_011317445.1	YMR161W
OG0001058	XP_011317447.1	YNR037C
OG0001059	XP_011317448.1	YDR167W
OG0001060	XP_011317449.1	YBL040C
OG0001061	XP_011317451.1	YOL012C
OG0001062	XP_011317453.1	YBL051C
OG0001063	XP_011317465.1	YGL065C
OG0001064	XP_011317467.1	YJL046W
OG0001065	XP_011317468.1	YGL148W
OG0001066	XP_011317470.1	YOR373W
OG0001067	XP_011317472.1	YDR017C
OG0001068	XP_011317477.1	YBR070C
OG0001069	XP_011317478.1	YIL093C
OG0001070	XP_011317481.1	YJL050W
OG0001071	XP_011317486.1	YLL057C
OG0001072	XP_011317487.1	YIL166C
OG0001073	XP_011317491.1	YMR201C
OG0001074	XP_011317492.1	YBR106W
OG0001075	XP_011317496.1	YNL032W
OG0001076	XP_011317501.1	YPL265W
OG0001077	XP_011317521.1	YOR283W
OG0001078	XP_011317528.1	YIL164C
OG0001079	XP_011317529.1	YMR224C
OG0001080	XP_011317533.1	YOR275C
OG0001081	XP_011317542.1	YDL054C
OG0001082	XP_011317683.1	YKL045W
OG0001083	XP_011317687.1	YKL116C
OG0001084	XP_011317692.1	YLR361C
OG0001085	XP_011317700.1	YBR017C
OG0001086	XP_011317702.1	YNL092W
OG0001087	XP_011317714.1	YNL169C
OG0001088	XP_011317719.1	YDL014W
OG0001089	XP_011317723.1	YKL179C
OG0001090	XP_011317724.1	YDR495C
OG0001091	XP_011317729.1	YJR111C
OG0001092	XP_011317730.1	YOL013C
OG0001093	XP_011317733.1	YKL094W
OG0001094	XP_011317734.1	YLR188W
OG0001095	XP_011317735.1	YDR289C
OG0001096	XP_011317736.1	YGR167W
OG0001097	XP_011317739.1	YOL018C
OG0001098	XP_011317740.1	YBR109C
OG0001099	XP_011317742.1	YPR029C
OG0001100	XP_011317747.1	YHR132C
OG0001101	XP_011317748.1	YPR095C
OG0001102	XP_011317749.1	YPL210C
OG0001103	XP_011317752.1	YKL028W
OG0001104	XP_011317755.1	YPR131C
OG0001105	XP_011317758.1	YGR149W
OG0001106	XP_011317759.1	YFL008W
OG0001107	XP_011317768.1	YPR181C
OG0001108	XP_011317770.1	YJL085W
OG0001109	XP_011317771.1	YEL032W
OG0001110	XP_011317772.1	YCR019W
OG0001111	XP_011317774.1	YNL138W
OG0001112	XP_011317775.1	YML042W
OG0001113	XP_011317776.1	YFR037C
OG0001114	XP_011317777.1	YPR004C
OG0001115	XP_011317778.1	YDR376W
OG0001116	XP_011317780.1	YNL082W
OG0001117	XP_011317781.1	YFL025C
OG0001118	XP_011317782.1	YMR155W
OG0001119	XP_011317783.1	YDR105C
OG0001120	XP_011317784.1	YGL184C
OG0001121	XP_011317785.1	YGR028W
OG0001122	XP_011317787.1	YKL165C
OG0001123	XP_011317790.1	YLR242C
OG0001124	XP_011317792.1	YJL071W
OG0001125	XP_011317793.1	YIL041W
OG0001126	XP_011317798.1	YGL198W
OG0001127	XP_011317800.1	YDR291W
OG0001128	XP_011317803.1	YHR077C
OG0001129	XP_011317806.1	YAL035W
OG0001130	XP_011317808.1	YFL027C
OG0001131	XP_011317809.1	YDR484W
OG0001132	XP_011317813.1	YGL161C
OG0001133	XP_011317814.1	YOR286W
OG0001134	XP_011317823.1	YKL014C
OG0001135	XP_011317827.1	YDR287W
OG0001136	XP_011317828.1	YDL051W
OG0001137	XP_011317830.1	YMR024W
OG0001138	XP_011317876.1	YNL237W
OG0001139	XP_011317878.1	YBR198C
OG0001140	XP_011317879.1	YOR069W
OG0001141	XP_011317882.1	YMR186W
OG0001142	XP_011317894.1	YMR307W
OG0001143	XP_011317897.1	YER036C
OG0001144	XP_011317898.1	YGL150C
OG0001145	XP_011317900.1	YDL007W
OG0001146	XP_011317901.1	YDR177W
OG0001147	XP_011317902.1	YOR142W
OG0001148	XP_011317913.1	YPL086C
OG0001149	XP_011317916.1	YAL021C
OG0001150	XP_011317927.1	YPR141C
OG0001151	XP_011317929.1	YJR016C
OG0001152	XP_011317934.1	YMR027W
OG0001153	XP_011317946.1	YBR042C
OG0001154	XP_011317947.1	YPL188W
OG0001155	XP_011317954.1	YBR074W
OG0001156	XP_011317967.1	YCR009C
OG0001157	XP_011317970.1	YJR090C
OG0001158	XP_011317974.1	YIL133C
OG0001159	XP_011318004.1	YPR025C
OG0001160	XP_011318078.1	YHR188C
OG0001161	XP_011318079.1	YDL087C
OG0001162	XP_011318093.1	YHL026C
OG0001163	XP_011318127.1	YER140W
OG0001164	XP_011318128.1	YER110C
OG0001165	XP_011318142.1	YBR281C
OG0001166	XP_011318195.1	YGL205W
OG0001167	XP_011318248.1	YIL162W
OG0001168	XP_011318341.1	YBR261C
OG0001169	XP_011318365.1	YIR042C
OG0001170	XP_011318375.1	YLR078C
OG0001171	XP_011318376.1	YOR143C
OG0001172	XP_011318377.1	YKL195W
OG0001173	XP_011318379.1	YGL196W
OG0001174	XP_011318384.1	YEL031W
OG0001175	XP_011318385.1	YKL085W
OG0001176	XP_011318386.1	YKR023W
OG0001177	XP_011318395.1	YGR144W
OG0001178	XP_011318396.1	YGL201C
OG0001179	XP_011318401.1	YDR377W
OG0001180	XP_011318404.1	YNR012W
OG0001181	XP_011318406.1	YPL146C
OG0001182	XP_011318407.1	YLR262C
OG0001183	XP_011318408.1	YOR095C
OG0001184	XP_011318409.1	YDR367W
OG0001185	XP_011318410.1	YJR137C
OG0001186	XP_011318412.1	YJL213W
OG0001187	XP_011318422.1	YEL038W
OG0001188	XP_011318423.1	YBR141C
OG0001189	XP_011318424.1	YOL127W
OG0001190	XP_011318425.1	YJR135W-A
OG0001191	XP_011318427.1	YJR010C-A
OG0001192	XP_011318428.1	YOL133W
OG0001193	XP_011318430.1	YJR001W
OG0001194	XP_011318432.1	YCR084C
OG0001195	XP_011318434.1	YLR056W
OG0001196	XP_011318435.1	YCL012C
OG0001197	XP_011318438.1	YOR115C
OG0001198	XP_011318439.1	YGL234W
OG0001199	XP_011318442.1	YJL062W
OG0001200	XP_011318443.1	YDR325W
OG0001201	XP_011318444.1	YPL043W
OG0001202	XP_011318452.1	YML069W
OG0001203	XP_011318453.1	YCR068W
OG0001204	XP_011318456.1	YDR297W
OG0001205	XP_011318457.1	YKL056C
OG0001206	XP_011318459.1	YAL034W-A
OG0001207	XP_011318461.1	YIR038C
OG0001208	XP_011318463.1	YOR067C
OG0001209	XP_011318466.1	YIL130W
OG0001210	XP_011318469.1	YGR006W
OG0001211	XP_011318471.1	YHR165C
OG0001212	XP_011318476.1	YHR063C
OG0001213	XP_011318477.1	YJR035W
OG0001214	XP_011318478.1	YCR031C
OG0001215	XP_011318480.1	YPR067W
OG0001216	XP_011318481.1	YMR309C
OG0001217	XP_011318490.1	YOR058C
OG0001218	XP_011318493.1	YOR168W
OG0001219	XP_011318499.1	YMR229C
OG0001220	XP_011318500.1	YML020W
OG0001221	XP_011318501.1	YHR024C
OG0001222	XP_011318503.1	YPL045W
OG0001223	XP_011318504.1	YMR159C
OG0001224	XP_011318505.1	YDR440W
OG0001225	XP_011318508.1	YNL163C
OG0001226	XP_011318515.1	YLR454W
OG0001227	XP_011318531.1	YLR130C
OG0001228	XP_011318532.1	YAL010C
OG0001229	XP_011318536.1	YDL142C
OG0001230	XP_011318537.1	YGL236C
OG0001231	XP_011318538.1	YGL095C
OG0001232	XP_011318539.1	YLL006W
OG0001233	XP_011318540.1	YMR274C
OG0001234	XP_011318545.1	YMR009W
OG0001235	XP_011318546.1	YBR201W
OG0001236	XP_011318548.1	YLL029W
OG0001237	XP_011318550.1	YDR268W
OG0001238	XP_011318551.1	YDR041W
OG0001239	XP_011318552.1	YLR051C
OG0001240	XP_011318554.1	YGL233W
OG0001241	XP_011318556.1	YOR154W
OG0001242	XP_011318568.1	YBL023C
OG0001243	XP_011318570.1	YOR226C
OG0001244	XP_011318574.1	YMR315W
OG0001245	XP_011318586.1	YBL020W
OG0001246	XP_011318587.1	YGL078C
OG0001247	XP_011318589.1	YJL030W
OG0001248	XP_011318590.1	YBR058C
OG0001249	XP_011318600.1	YKR068C
OG0001250	XP_011318607.1	YCL008C
OG0001251	XP_011318610.1	YOR151C
OG0001252	XP_011318614.1	YLR289W
OG0001253	XP_011318626.1	YNR055C
OG0001254	XP_011318653.1	YMR131C
OG0001255	XP_011318656.1	YNL001W
OG0001256	XP_011318660.1	YLL036C
OG0001257	XP_011318667.1	YGL187C
OG0001258	XP_011318671.1	YNL284C
OG0001259	XP_011318672.1	YMR004W
OG0001260	XP_011318676.1	YEL040W
OG0001261	XP_011318682.1	YLR032W
OG0001262	XP_011318684.1	YKL003C
OG0001263	XP_011318685.1	YLR128W
OG0001264	XP_011318687.1	YHR154W
OG0001265	XP_011318690.1	YHR142W
OG0001266	XP_011318694.1	YOR144C
OG0001267	XP_011318698.1	YLR438C-A
OG0001268	XP_011318711.1	YOR159C
OG0001269	XP_011318718.1	YLR276C
OG0001270	XP_011318722.1	YJL154C
OG0001271	XP_011318724.1	YPL170W
OG0001272	XP_011318727.1	YIL022W
OG0001273	XP_011318728.1	YNL306W
OG0001274	XP_011318730.1	YBR025C
OG0001275	XP_011318732.1	YML002W
OG0001276	XP_011318734.1	YFL055W
OG0001277	XP_011318736.1	YDR375C
OG0001278	XP_011318737.1	YKL060C
OG0001279	XP_011318741.1	YDL040C
OG0001280	XP_011318748.1	YDR238C
OG0001281	XP_011318750.1	YBR105C
OG0001282	XP_011318751.1	YOL124C
OG0001283	XP_011318753.1	YCR051W
OG0001284	XP_011318754.1	YJL087C
OG0001285	XP_011318757.1	YOR117W
OG0001286	XP_011318758.1	YML128C
OG0001287	XP_011318759.1	YMR049C
OG0001288	XP_011318761.1	YOR116C
OG0001289	XP_011318762.1	YOR022C
OG0001290	XP_011318764.1	YDR129C
OG0001291	XP_011318767.1	YPR011C
OG0001292	XP_011318769.1	YGL136C
OG0001293	XP_011318771.1	YOR085W
OG0001294	XP_011318772.1	YMR116C
OG0001295	XP_011318773.1	YML114C
OG0001296	XP_011318777.1	YGL195W
OG0001297	XP_011318780.1	YMR268C
OG0001298	XP_011318782.1	YNL177C
OG0001299	XP_011318783.1	YDL067C
OG0001300	XP_011318794.1	YLR427W
OG0001301	XP_011318797.1	YDL100C
OG0001302	XP_011318798.1	YKL059C
OG0001303	XP_011318799.1	YFR044C
OG0001304	XP_011318801.1	YDR001C
OG0001305	XP_011318803.1	YDR477W
OG0001306	XP_011318805.1	YPR175W
OG0001307	XP_011318808.1	YOR131C
OG0001308	XP_011318810.1	YGR116W
OG0001309	XP_011318814.1	YIL033C
OG0001310	XP_011318815.1	YPL254W
OG0001311	XP_011318816.1	YNL126W
OG0001312	XP_011318823.1	YKR031C
OG0001313	XP_011318824.1	YOR125C
OG0001314	XP_011318825.1	YGL244W
OG0001315	XP_011318826.1	YPL206C
OG0001316	XP_011318831.1	YGR210C
OG0001317	XP_011318836.1	YNL075W
OG0001318	XP_011318837.1	YMR080C
OG0001319	XP_011318841.1	YGR124W
OG0001320	XP_011318842.1	YDL064W
OG0001321	XP_011318845.1	YLR253W
OG0001322	XP_011318846.1	YCL061C
OG0001323	XP_011318847.1	YJL153C
OG0001324	XP_011318848.1	YKR090W
OG0001325	XP_011318861.1	YER072W
OG0001326	XP_011318863.1	YOR023C
OG0001327	XP_011318865.1	YMR092C
OG0001328	XP_011318866.1	YGL047W
OG0001329	XP_011318867.1	YDR175C
OG0001330	XP_011318869.1	YMR110C
OG0001331	XP_011318870.1	YHR069C
OG0001332	XP_011318876.1	YKR082W
OG0001333	XP_011318877.1	YPL237W
OG0001334	XP_011318878.1	YLR099W-A
OG0001335	XP_011318881.1	YGR147C
OG0001336	XP_011318890.1	YDR079C-A
OG0001337	XP_011318893.1	YHR073W
OG0001338	XP_011318896.1	YBR248C
OG0001339	XP_011318901.1	YER156C
OG0001340	XP_011318904.1	YJL101C
OG0001341	XP_011318919.1	YPR074C
OG0001342	XP_011318922.1	YEL026W
OG0001343	XP_011318924.1	YGL012W
OG0001344	XP_011318927.1	YGR202C
OG0001345	XP_011318930.1	YGR170W
OG0001346	XP_011318934.1	YPL131W
OG0001347	XP_011318944.1	YDR058C
OG0001348	XP_011318959.1	YJR002W
OG0001349	XP_011318962.1	YDR005C
OG0001350	XP_011318964.1	YGR262C
OG0001351	XP_011318967.1	YGL207W
OG0001352	XP_011318969.1	YIL147C
OG0001353	XP_011318976.1	YDR388W
OG0001354	XP_011318977.1	YCL017C
OG0001355	XP_011318989.1	YMR093W
OG0001356	XP_011318990.1	YNL152W
OG0001357	XP_011318992.1	YKL069W
OG0001358	XP_011318996.1	YNL154C
OG0001359	XP_011318999.1	YGR002C
OG0001360	XP_011319006.1	YDL189W
OG0001361	XP_011319008.1	YIL091C
OG0001362	XP_011319009.1	YJL063C
OG0001363	XP_011319012.1	YGL040C
OG0001364	XP_011319020.1	YOR046C
OG0001365	XP_011319024.1	YER142C
OG0001366	XP_011319026.1	YLR025W
OG0001367	XP_011319032.1	YDR479C
OG0001368	XP_011319046.1	YHL013C
OG0001369	XP_011319055.1	YLR306W
OG0001370	XP_011319056.1	YLR355C
OG0001371	XP_011319058.1	YBR043C
OG0001372	XP_011319059.1	YOR323C
OG0001373	XP_011319060.1	YAR007C
OG0001374	XP_011319067.1	YKL043W
OG0001375	XP_011319076.1	YLR298C
OG0001376	XP_011319077.1	YML012W
OG0001377	XP_011319078.1	YOL097C
OG0001378	XP_011319079.1	YOL071W
OG0001379	XP_011319083.1	YKR071C
OG0001380	XP_011319084.1	YGL203C
OG0001381	XP_011319085.1	YOR021C
OG0001382	XP_011319086.1	YBL013W
OG0001383	XP_011319096.1	YNL175C
OG0001384	XP_011319097.1	YIR011C
OG0001385	XP_011319098.1	YML032C
OG0001386	XP_011319111.1	YLR414C
OG0001387	XP_011319116.1	YOR201C
OG0001388	XP_011319121.1	YOR298C-A
OG0001389	XP_011319125.1	YIR032C
OG0001390	XP_011319130.1	YMR039C
OG0001391	XP_011319133.1	YNL045W
OG0001392	XP_011319139.1	YML079W
OG0001393	XP_011319140.1	YKR087C
OG0001394	XP_011319145.1	YJL200C
OG0001395	XP_011319147.1	YDL168W
OG0001396	XP_011319149.1	YOR052C
OG0001397	XP_011319150.1	YKL215C
OG0001398	XP_011319156.1	YBR096W
OG0001399	XP_011319158.1	YHR025W
OG0001400	XP_011319165.1	YER050C
OG0001401	XP_011319166.1	YHR148W
OG0001402	XP_011319169.1	YDR276C
OG0001403	XP_011319170.1	YDR302W
OG0001404	XP_011319173.1	YHR171W
OG0001405	XP_011319174.1	YHR144C
OG0001406	XP_011319176.1	YJL187C
OG0001407	XP_011319185.1	YNL024C
OG0001408	XP_011319186.1	YIL140W
OG0001409	XP_011319192.1	YBR055C
OG0001410	XP_011319195.1	YGL030W
OG0001411	XP_011319196.1	YLR075W
OG0001412	XP_011319200.1	YPR069C
OG0001413	XP_011319202.1	YLR351C
OG0001414	XP_011319207.1	YGL011C
OG0001415	XP_011319214.1	YCL031C
OG0001416	XP_011319217.1	YPR035W
OG0001417	XP_011319220.1	YBR084W
OG0001418	XP_011319221.1	YMR146C
OG0001419	XP_011319222.1	YOR304W
OG0001420	XP_011319224.1	YIR001C
OG0001421	XP_011319225.1	YER125W
OG0001422	XP_011319226.1	YOL123W
OG0001423	XP_011319229.1	YOR070C
OG0001424	XP_011319236.1	YER107C
OG0001425	XP_011319240.1	YNL242W
OG0001426	XP_011319251.1	YER151C
OG0001427	XP_011319252.1	YDR529C
OG0001428	XP_011319255.1	YIL010W
OG0001429	XP_011319259.1	YHR013C
OG0001430	XP_011319261.1	YLR291C
OG0001431	XP_011319262.1	YHR004C
OG0001432	XP_011319264.1	YDL208W
OG0001433	XP_011319265.1	YJL166W
OG0001434	XP_011319266.1	YGR132C
OG0001435	XP_011319267.1	YLR107W
OG0001436	XP_011319268.1	YOR059C
OG0001437	XP_011319272.1	YPR073C
OG0001438	XP_011319273.1	YHR030C
OG0001439	XP_011319277.1	YCR028C
OG0001440	XP_011319282.1	YFR007W
OG0001441	XP_011319311.1	YDR189W
OG0001442	XP_011319313.1	YLR174W
OG0001443	XP_011319317.1	YIL038C
OG0001444	XP_011319318.1	YDL219W
OG0001445	XP_011319320.1	YKL092C
OG0001446	XP_011319322.1	YKR085C
OG0001447	XP_011319327.1	YMR217W
OG0001448	XP_011319330.1	YHR114W
OG0001449	XP_011319331.1	YBR222C
OG0001450	XP_011319336.1	YPL260W
OG0001451	XP_011319337.1	YDL081C
OG0001452	XP_011319345.1	YIL090W
OG0001453	XP_011319358.1	YML067C
OG0001454	XP_011319360.1	YMR214W
OG0001455	XP_011319372.1	YDL076C
OG0001456	XP_011319373.1	YBR269C
OG0001457	XP_011319384.1	YDL045C
OG0001458	XP_011319393.1	YJL059W
OG0001459	XP_011319396.1	YKL087C
OG0001460	XP_011319398.1	YNR043W
OG0001461	XP_011319445.1	YOL122C
OG0001462	XP_011319493.1	YDR486C
OG0001463	XP_011319503.1	YAL041W
OG0001464	XP_011319504.1	YDL045W-A
OG0001465	XP_011319506.1	YNL206C
OG0001466	XP_011319509.1	YIR026C
OG0001467	XP_011319522.1	YLR045C
OG0001468	XP_011319524.1	YLL040C
OG0001469	XP_011319678.1	YOR128C
OG0001470	XP_011319739.1	YJL035C
OG0001471	XP_011319741.1	YGR042W
OG0001472	XP_011319745.1	YGR165W
OG0001473	XP_011319746.1	YLR006C
OG0001474	XP_011319754.1	YLR026C
OG0001475	XP_011319759.1	YNL272C
OG0001476	XP_011319760.1	YDL095W
OG0001477	XP_011319762.1	YJL203W
OG0001478	XP_011319763.1	YOR357C
OG0001479	XP_011319764.1	YBR192W
OG0001480	XP_011319767.1	YKL025C
OG0001481	XP_011319769.1	YDL091C
OG0001482	XP_011319778.1	YKR043C
OG0001483	XP_011319780.1	YFR010W
OG0001484	XP_011319781.1	YKL013C
OG0001485	XP_011319783.1	YJL145W
OG0001486	XP_011319786.1	YDR459C
OG0001487	XP_011319787.1	YDR419W
OG0001488	XP_011319792.1	YJR132W
OG0001489	XP_011319794.1	YOR155C
OG0001490	XP_011319800.1	YPR091C
OG0001491	XP_011319801.1	YDR150W
OG0001492	XP_011319805.1	YLR323C
OG0001493	XP_011319806.1	YNR007C
OG0001494	XP_011319808.1	YPL167C
OG0001495	XP_011319809.1	YDR088C
OG0001496	XP_011319810.1	YBR189W
OG0001497	XP_011319812.1	YNL243W
OG0001498	XP_011319818.1	YBL019W
OG0001499	XP_011319819.1	YGL191W
OG0001500	XP_011319828.1	YNL244C
OG0001501	XP_011319829.1	YPL030W
OG0001502	XP_011319833.1	YJR010W
OG0001503	XP_011319835.1	YBR187W
OG0001504	XP_011319837.1	YDR086C
OG0001505	XP_011319843.1	YDR204W
OG0001506	XP_011319844.1	YMR074C
OG0001507	XP_011319847.1	YHR019C
OG0001508	XP_011319848.1	YMR002W
OG0001509	XP_011319850.1	YDR198C
OG0001510	XP_011319852.1	YGR112W
OG0001511	XP_011319856.1	YDL213C
OG0001512	XP_011319861.1	YPR002W
OG0001513	XP_011319863.1	YLR003C
OG0001514	XP_011319867.1	YDR049W
OG0001515	XP_011319871.1	YJL180C
OG0001516	XP_011319872.1	YNL287W
OG0001517	XP_011319897.1	YMR212C
OG0001518	XP_011319915.1	YBR220C
OG0001519	XP_011319917.1	YIL083C
OG0001520	XP_011319938.1	YDR292C
OG0001521	XP_011319939.1	YNL263C
OG0001522	XP_011319945.1	YKL100C
OG0001523	XP_011319950.1	YDL055C
OG0001524	XP_011319952.1	YDL090C
OG0001525	XP_011319955.1	YLL039C
OG0001526	XP_011319956.1	YHL010C
OG0001527	XP_011319957.1	YBL011W
OG0001528	XP_011319966.1	YER141W
OG0001529	XP_011319967.1	YML093W
OG0001530	XP_011319968.1	YDL128W
OG0001531	XP_011319969.1	YLR144C
OG0001532	XP_011319980.1	YBR282W
OG0001533	XP_011319982.1	YLR435W
OG0001534	XP_011319990.1	YPL009C
OG0001535	XP_011319992.1	YNL239W
OG0001536	XP_011320000.1	YPL204W
OG0001537	XP_011320003.1	YGR100W
OG0001538	XP_011320007.1	YJR034W
OG0001539	XP_011320009.1	YLR354C
OG0001540	XP_011320011.1	YJR104C
OG0001541	XP_011320013.1	YHR023W
OG0001542	XP_011320020.1	YPL262W
OG0001543	XP_011320025.1	YMR063W
OG0001544	XP_011320030.1	YHR186C
OG0001545	XP_011320032.1	YOL034W
OG0001546	XP_011320040.1	YMR043W
OG0001547	XP_011320044.1	YML086C
OG0001548	XP_011320045.1	YLR239C
OG0001549	XP_011320047.1	YJL128C
OG0001550	XP_011320048.1	YBR287W
OG0001551	XP_011320055.1	YBR136W
OG0001552	XP_011320059.1	YDR531W
OG0001553	XP_011320062.1	YLR109W
OG0001554	XP_011320064.1	YGL243W
OG0001555	XP_011320066.1	YGR174C
OG0001556	XP_011320077.1	YDL084W
OG0001557	XP_011320080.1	YHR071W
OG0001558	XP_011320082.1	YPL060W
OG0001559	XP_011320084.1	YPL022W
OG0001560	XP_011320086.1	YOR181W
OG0001561	XP_011320087.1	YMR260C
OG0001562	XP_011320089.1	YLR330W
