	Eremothecium_coryli	Saccharomyces_cerevisiae
OG0001891	snap_masked-AZAH01000004.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-0.32&CDS=1-2691	YOL063C
OG0001892	maker-AZAH01000004.1-snap-gene-0.38-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-0.38&CDS=1-9075	YHR165C
OG0001893	snap_masked-AZAH01000004.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.7&CDS=1-768	YHR167W
OG0001894	maker-AZAH01000004.1-snap-gene-1.1-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-1.1&CDS=1-2889	YHR169W
OG0001895	snap_masked-AZAH01000004.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.10&CDS=1-555	YGR251W
OG0001896	snap_masked-AZAH01000004.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.11&CDS=1-1539	YHR170W
OG0001897	snap_masked-AZAH01000004.1-processed-gene-1.12-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.12&CDS=1-1869	YHR171W
OG0001898	snap_masked-AZAH01000004.1-processed-gene-1.13-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.13&CDS=1-1413	YGR252W
OG0001899	snap_masked-AZAH01000004.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.14&CDS=1-783	YGR253C
OG0001900	snap_masked-AZAH01000004.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.15&CDS=1-2466	YHR172W
OG0001901	snap_masked-AZAH01000004.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.17&CDS=1-429	YHR175W
OG0001902	snap_masked-AZAH01000004.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.18&CDS=1-1260	YHR176W
OG0001903	snap_masked-AZAH01000004.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.38&CDS=1-408	YEL048C
OG0001904	snap_masked-AZAH01000004.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.40&CDS=1-1146	YEL046C
OG0001905	snap_masked-AZAH01000004.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.21&CDS=1-405	YEL044W
OG0001906	snap_masked-AZAH01000004.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.22&CDS=1-2295	YEL043W
OG0001907	snap_masked-AZAH01000004.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.41&CDS=1-720	YJR050W
OG0001908	augustus_masked-AZAH01000004.1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-1.70&CDS=1-1479	YEL042W
OG0001909	snap_masked-AZAH01000004.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.25&CDS=1-687	YEL038W
OG0001910	snap_masked-AZAH01000004.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.43&CDS=1-1191	YEL037C
OG0001911	augustus_masked-AZAH01000004.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-1.74&CDS=1-6357	YEL031W
OG0001912	snap_masked-AZAH01000004.1-processed-gene-1.46-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.46&CDS=1-1686	YJR046W
OG0001913	snap_masked-AZAH01000004.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.30&CDS=1-417	YJR044C
OG0001914	snap_masked-AZAH01000004.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.48&CDS=1-942	YEL029C
OG0001915	snap_masked-AZAH01000004.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.31&CDS=1-1122	YJR043C
OG0001916	snap_masked-AZAH01000004.1-processed-gene-1.32-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.32&CDS=1-480	YEL027W
OG0001917	snap_masked-AZAH01000004.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.49&CDS=1-2148	YJR042W
OG0001918	snap_masked-AZAH01000004.1-processed-gene-1.33-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.33&CDS=1-3396	YJR041C
OG0001919	augustus_masked-AZAH01000004.1-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-1.93&CDS=1-2265	YJR040W
OG0001920	snap_masked-AZAH01000004.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.34&CDS=1-381	YEL026W
OG0001921	snap_masked-AZAH01000004.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.52&CDS=1-3207	YJR039W
OG0001922	snap_masked-AZAH01000004.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.35&CDS=1-2511	YJR036C
OG0001923	snap_masked-AZAH01000004.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.36&CDS=1-639	YEL024W
OG0001924	maker-AZAH01000004.1-snap-gene-1.2-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-1.2&CDS=1-1866	YEL023C
OG0001925	snap_masked-AZAH01000004.1-processed-gene-1.54-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.54&CDS=1-3102	YJR035W
OG0001926	snap_masked-AZAH01000004.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.55&CDS=1-324	YJR034W
OG0001927	snap_masked-AZAH01000004.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.37&CDS=1-3867	YJR033C
OG0001928	snap_masked-AZAH01000004.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-1.56&CDS=1-1170	YJR032W
OG0001929	snap_masked-AZAH01000004.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.94&CDS=1-4215	YEL022W
OG0001930	maker-AZAH01000004.1-augustus-gene-2.92-mRNA-1_1&gene=maker-AZAH01000004.1-augustus-gene-2.92&CDS=1-1008	YEL021W
OG0001931	snap_masked-AZAH01000004.1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.99&CDS=1-1671	YCR023C
OG0001932	snap_masked-AZAH01000004.1-processed-gene-2.122-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.122&CDS=1-1635	YEL020C
OG0001933	snap_masked-AZAH01000004.1-processed-gene-2.123-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.123&CDS=1-1413	YCR024C
OG0001934	snap_masked-AZAH01000004.1-processed-gene-2.124-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.124&CDS=1-783	YEL019C
OG0001935	snap_masked-AZAH01000004.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.100&CDS=1-732	YEL018W
OG0001936	snap_masked-AZAH01000004.1-processed-gene-2.101-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.101&CDS=1-888	YEL017W
OG0001937	snap_masked-AZAH01000004.1-processed-gene-2.102-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.102&CDS=1-1707	YEL015W
OG0001938	snap_masked-AZAH01000004.1-processed-gene-2.103-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.103&CDS=1-1695	YEL013W
OG0001939	snap_masked-AZAH01000004.1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.126&CDS=1-258	YCR020C-A
OG0001940	snap_masked-AZAH01000004.1-processed-gene-2.104-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.104&CDS=1-204	YCR020W-B
OG0001941	augustus_masked-AZAH01000004.1-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-2.54&CDS=1-630	YEL012W
OG0001942	snap_masked-AZAH01000004.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.106&CDS=1-2109	YEL011W
OG0001943	snap_masked-AZAH01000004.1-processed-gene-2.107-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.107&CDS=1-2880	YCR017C
OG0001944	snap_masked-AZAH01000004.1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.129&CDS=1-795	YCR016W
OG0001945	snap_masked-AZAH01000004.1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.108&CDS=1-810	YCR015C
OG0001946	snap_masked-AZAH01000004.1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.109&CDS=1-1584	YCR014C
OG0001947	snap_masked-AZAH01000004.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.130&CDS=1-1248	YCR012W
OG0001948	snap_masked-AZAH01000004.1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.112&CDS=1-2019	YOL023W
OG0001949	snap_masked-AZAH01000004.1-processed-gene-2.131-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.131&CDS=1-1236	YOL022C
OG0001950	snap_masked-AZAH01000004.1-processed-gene-2.113-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.113&CDS=1-2256	YFR009W
OG0001951	snap_masked-AZAH01000004.1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.132&CDS=1-2964	YOL021C
OG0001952	snap_masked-AZAH01000004.1-processed-gene-2.133-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.133&CDS=1-453	YFR011C
OG0001953	snap_masked-AZAH01000004.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.115&CDS=1-2148	YOL019W
OG0001954	snap_masked-AZAH01000004.1-processed-gene-2.134-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.134&CDS=1-1050	YOL018C
OG0001955	snap_masked-AZAH01000004.1-processed-gene-2.116-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.116&CDS=1-1650	YFR028C
OG0001956	snap_masked-AZAH01000004.1-processed-gene-2.137-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.137&CDS=1-819	YFR027W
OG0001957	snap_masked-AZAH01000004.1-processed-gene-2.117-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.117&CDS=1-996	YFR025C
OG0001958	snap_masked-AZAH01000004.1-processed-gene-2.139-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.139&CDS=1-2007	YHR020W
OG0001959	snap_masked-AZAH01000004.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.118&CDS=1-1656	YHR019C
OG0001960	snap_masked-AZAH01000004.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.119&CDS=1-1386	YHR018C
OG0001961	snap_masked-AZAH01000004.1-processed-gene-2.140-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.140&CDS=1-1167	YHR017W
OG0001962	snap_masked-AZAH01000004.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.120&CDS=1-1305	YFR024C-A
OG0001963	snap_masked-AZAH01000004.1-processed-gene-2.141-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.141&CDS=1-2064	YFR023W
OG0001964	snap_masked-AZAH01000004.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.121&CDS=1-1737	YCR008W
OG0001965	snap_masked-AZAH01000004.1-processed-gene-2.143-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-2.143&CDS=1-795	YCR009C
OG0001966	snap_masked-AZAH01000004.1-processed-gene-3.95-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.95&CDS=1-936	YNR003C
OG0001967	snap_masked-AZAH01000004.1-processed-gene-3.96-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.96&CDS=1-3051	YCR011C
OG0001968	snap_masked-AZAH01000004.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.97&CDS=1-969	YFR018C
OG0001969	snap_masked-AZAH01000004.1-processed-gene-3.93-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.93&CDS=1-6543	YFR019W
OG0001970	snap_masked-AZAH01000004.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.98&CDS=1-1647	YFR021W
OG0001971	snap_masked-AZAH01000004.1-processed-gene-3.119-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.119&CDS=1-468	YLR170C
OG0001972	snap_masked-AZAH01000004.1-processed-gene-3.120-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.120&CDS=1-903	YLR172C
OG0001973	snap_masked-AZAH01000004.1-processed-gene-3.100-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.100&CDS=1-1818	YLR173W
OG0001974	snap_masked-AZAH01000004.1-processed-gene-3.101-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.101&CDS=1-597	YLR251W
OG0001975	snap_masked-AZAH01000004.1-processed-gene-3.102-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.102&CDS=1-1740	YLR253W
OG0001976	genemark-AZAH01000004.1-processed-gene-3.55-mRNA-1_1&gene=genemark-AZAH01000004.1-processed-gene-3.55&CDS=1-3576	YLR256W
OG0001977	augustus_masked-AZAH01000004.1-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-3.28&CDS=1-1560	YGL160W
OG0001978	snap_masked-AZAH01000004.1-processed-gene-3.124-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.124&CDS=1-888	YAR008W
OG0001979	snap_masked-AZAH01000004.1-processed-gene-3.105-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.105&CDS=1-3717	YGL006W
OG0001980	snap_masked-AZAH01000004.1-processed-gene-3.125-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.125&CDS=1-1245	YGL004C
OG0001981	snap_masked-AZAH01000004.1-processed-gene-3.106-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.106&CDS=1-1833	YAR007C
OG0001982	snap_masked-AZAH01000004.1-processed-gene-3.126-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.126&CDS=1-1647	YGL003C
OG0001983	snap_masked-AZAH01000004.1-processed-gene-3.127-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.127&CDS=1-1305	YAR003W
OG0001984	augustus_masked-AZAH01000004.1-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-3.33&CDS=1-1632	YAR002W
OG0001985	snap_masked-AZAH01000004.1-processed-gene-3.130-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.130&CDS=1-3504	YAL001C
OG0001986	snap_masked-AZAH01000004.1-processed-gene-3.111-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.111&CDS=1-747	YGR001C
OG0001987	snap_masked-AZAH01000004.1-processed-gene-3.112-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.112&CDS=1-1056	YGL001C
OG0001988	snap_masked-AZAH01000004.1-processed-gene-3.131-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.131&CDS=1-3690	YAL002W
OG0001989	maker-AZAH01000004.1-snap-gene-3.92-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-3.92&CDS=1-606	YAL003W
OG0001990	snap_masked-AZAH01000004.1-processed-gene-3.113-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.113&CDS=1-1143	YLR321C
OG0001991	snap_masked-AZAH01000004.1-processed-gene-3.134-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.134&CDS=1-639	YGL020C
OG0001992	snap_masked-AZAH01000004.1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.114&CDS=1-2583	YDR069C
OG0001993	snap_masked-AZAH01000004.1-processed-gene-3.135-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.135&CDS=1-885	YDR068W
OG0001994	snap_masked-AZAH01000004.1-processed-gene-3.115-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.115&CDS=1-600	YDR067C
OG0001995	snap_masked-AZAH01000004.1-processed-gene-3.136-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.136&CDS=1-1224	YER143W
OG0001996	snap_masked-AZAH01000004.1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.116&CDS=1-819	YER142C
OG0001997	genemark-AZAH01000004.1-processed-gene-3.89-mRNA-1_1&gene=genemark-AZAH01000004.1-processed-gene-3.89&CDS=1-1299	YER141W
OG0001998	snap_masked-AZAH01000004.1-processed-gene-3.138-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.138&CDS=1-3147	YBL022C
OG0001999	snap_masked-AZAH01000004.1-processed-gene-3.139-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.139&CDS=1-624	YBL021C
OG0002000	snap_masked-AZAH01000004.1-processed-gene-3.117-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.117&CDS=1-1689	YBL020W
OG0002001	snap_masked-AZAH01000004.1-processed-gene-3.118-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.118&CDS=1-1575	YBL019W
OG0002002	genemark-AZAH01000004.1-processed-gene-4.55-mRNA-1_1&gene=genemark-AZAH01000004.1-processed-gene-4.55&CDS=1-315	YBL018C
OG0002003	snap_masked-AZAH01000004.1-processed-gene-4.106-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.106&CDS=1-1569	YBL015W
OG0002004	snap_masked-AZAH01000004.1-processed-gene-4.108-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.108&CDS=1-1242	YGR159C
OG0002005	snap_masked-AZAH01000004.1-processed-gene-4.113-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.113&CDS=1-1638	YGL045W
OG0002006	snap_masked-AZAH01000004.1-processed-gene-4.114-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.114&CDS=1-717	YGR158C
OG0002007	snap_masked-AZAH01000004.1-processed-gene-4.140-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.140&CDS=1-2538	YGR157W
OG0002008	snap_masked-AZAH01000004.1-processed-gene-4.141-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.141&CDS=1-1554	YLR314C
OG0002009	maker-AZAH01000004.1-snap-gene-4.102-mRNA-1_1&gene=maker-AZAH01000004.1-snap-gene-4.102&CDS=1-861	YLL023C
OG0002010	snap_masked-AZAH01000004.1-processed-gene-4.142-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.142&CDS=1-5985	YGR217W
OG0002011	snap_masked-AZAH01000004.1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.118&CDS=1-1845	YGR216C
OG0002012	snap_masked-AZAH01000004.1-processed-gene-4.143-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.143&CDS=1-318	YGR215W
OG0002013	snap_masked-AZAH01000004.1-processed-gene-4.119-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.119&CDS=1-2103	YLR047C
OG0002014	snap_masked-AZAH01000004.1-processed-gene-4.145-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.145&CDS=1-1515	YGR211W
OG0002015	snap_masked-AZAH01000004.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.120&CDS=1-1230	YGR210C
OG0002016	augustus_masked-AZAH01000004.1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.17&CDS=1-1758	YPL265W
OG0002017	augustus_masked-AZAH01000004.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.41&CDS=1-2745	YLR045C
OG0002018	snap_masked-AZAH01000004.1-processed-gene-4.148-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.148&CDS=1-948	YGR208W
OG0002019	snap_masked-AZAH01000004.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.122&CDS=1-774	YGR207C
OG0002020	snap_masked-AZAH01000004.1-processed-gene-4.149-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.149&CDS=1-282	YGR206W
OG0002021	snap_masked-AZAH01000004.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.123&CDS=1-528	YJR025C
OG0002022	snap_masked-AZAH01000004.1-processed-gene-4.124-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.124&CDS=1-777	YJR024C
OG0002023	snap_masked-AZAH01000004.1-processed-gene-4.150-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.150&CDS=1-327	YJR022W
OG0002024	snap_masked-AZAH01000004.1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.125&CDS=1-777	YJR021C
OG0002025	augustus_masked-AZAH01000004.1-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.44&CDS=1-909	YGR205W
OG0002026	augustus_masked-AZAH01000004.1-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.23&CDS=1-990	YJR019C
OG0002027	snap_masked-AZAH01000004.1-processed-gene-4.127-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.127&CDS=1-489	YJR017C
OG0002028	snap_masked-AZAH01000004.1-processed-gene-4.152-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.152&CDS=1-480	YGR203W
OG0002029	snap_masked-AZAH01000004.1-processed-gene-4.153-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.153&CDS=1-1215	YGR202C
OG0002030	augustus_masked-AZAH01000004.1-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.25&CDS=1-4002	YJR016C
OG0002031	augustus_masked-AZAH01000004.1-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-4.49&CDS=1-2796	YGR198W
OG0002032	snap_masked-AZAH01000004.1-processed-gene-4.134-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.134&CDS=1-606	YKL159C
OG0002033	snap_masked-AZAH01000004.1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.135&CDS=1-453	YHR051W
OG0002034	snap_masked-AZAH01000004.1-processed-gene-4.157-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.157&CDS=1-450	YKL160W
OG0002035	snap_masked-AZAH01000004.1-processed-gene-4.136-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.136&CDS=1-1203	YHR052W
OG0002036	snap_masked-AZAH01000004.1-processed-gene-4.139-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.139&CDS=1-1440	YHR030C
OG0002037	snap_masked-AZAH01000004.1-processed-gene-5.1-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.1&CDS=1-1398	YLR015W
OG0002038	snap_masked-AZAH01000004.1-processed-gene-5.2-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.2&CDS=1-4185	YAL024C
OG0002039	snap_masked-AZAH01000004.1-processed-gene-5.0-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.0&CDS=1-2184	YOR322C
OG0002040	snap_masked-AZAH01000004.1-processed-gene-5.31-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.31&CDS=1-1272	YAL022C
OG0002041	snap_masked-AZAH01000004.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.32&CDS=1-2223	YAL021C
OG0002042	snap_masked-AZAH01000004.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.33&CDS=1-954	YAL020C
OG0002043	snap_masked-AZAH01000004.1-processed-gene-5.4-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.4&CDS=1-3267	YAL019W
OG0002044	snap_masked-AZAH01000004.1-processed-gene-5.5-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.5&CDS=1-3381	YOL051W
OG0002045	snap_masked-AZAH01000004.1-processed-gene-5.6-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.6&CDS=1-1452	YOL049W
OG0002046	snap_masked-AZAH01000004.1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.8&CDS=1-3960	YOL045W
OG0002047	snap_masked-AZAH01000004.1-processed-gene-5.9-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.9&CDS=1-1050	YOL044W
OG0002048	snap_masked-AZAH01000004.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.10&CDS=1-1809	YAL016W
OG0002049	snap_masked-AZAH01000004.1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.35&CDS=1-1062	YOL043C
OG0002050	augustus_masked-AZAH01000004.1-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-AZAH01000004.1-processed-gene-5.115&CDS=1-1107	YOL042W
OG0002051	snap_masked-AZAH01000004.1-processed-gene-5.36-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.36&CDS=1-798	YAL014C
OG0002052	snap_masked-AZAH01000004.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.37&CDS=1-1425	YOL041C
OG0002053	snap_masked-AZAH01000004.1-processed-gene-5.12-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.12&CDS=1-1473	YAL013W
OG0002054	snap_masked-AZAH01000004.1-processed-gene-5.38-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.38&CDS=1-426	YOL040C
OG0002055	snap_masked-AZAH01000004.1-processed-gene-5.13-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-5.13&CDS=1-318	YOL039W
