	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
OG0001252	snap_masked-scaffold_11-processed-gene-0.94-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.94&CDS=1-2649	YDR150W
OG0001253	snap_masked-scaffold_11-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.120&CDS=1-1041	YLR420W
OG0001254	snap_masked-scaffold_11-processed-gene-0.121-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.121&CDS=1-2034	YIL046W
OG0001255	snap_masked-scaffold_11-processed-gene-0.122-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.122&CDS=1-2124	YOR205C
OG0001256	augustus_masked-scaffold_11-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.58&CDS=1-2838	YLR207W
OG0001257	snap_masked-scaffold_11-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.99&CDS=1-915	YLR208W
OG0001258	snap_masked-scaffold_11-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.102&CDS=1-2175	YOR206W
OG0001259	snap_masked-scaffold_11-processed-gene-0.123-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.123&CDS=1-2436	YOR168W
OG0001260	maker-scaffold_11-snap-gene-0.52-mRNA-1_1&gene=maker-scaffold_11-snap-gene-0.52&CDS=1-891	YER055C
OG0001261	snap_masked-scaffold_11-processed-gene-0.105-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.105&CDS=1-324	YER058W
OG0001262	maker-scaffold_11-snap-gene-0.50-mRNA-1_1&gene=maker-scaffold_11-snap-gene-0.50&CDS=1-483	YPR062W
OG0001263	snap_masked-scaffold_11-processed-gene-0.133-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.133&CDS=1-1497	YBR029C
OG0001264	snap_masked-scaffold_11-processed-gene-0.134-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.134&CDS=1-774	YGL123W
OG0001265	snap_masked-scaffold_11-processed-gene-0.135-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.135&CDS=1-1158	YCL055W
OG0001266	snap_masked-scaffold_11-processed-gene-0.117-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.117&CDS=1-2715	YBR017C
OG0001267	snap_masked-scaffold_11-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.118&CDS=1-285	YJL166W
OG0001268	snap_masked-scaffold_11-processed-gene-0.137-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.137&CDS=1-1758	YKL189W
OG0001269	maker-scaffold_11-snap-gene-1.2-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.2&CDS=1-840	YPR103W
OG0001270	snap_masked-scaffold_11-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.94&CDS=1-4377	YGR281W
OG0001271	maker-scaffold_11-snap-gene-1.0-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.0&CDS=1-7821	YBL004W
OG0001272	snap_masked-scaffold_11-processed-gene-1.87-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.87&CDS=1-2031	YMR013C
OG0001273	maker-scaffold_11-snap-gene-1.3-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.3&CDS=1-3690	YJL101C
OG0001274	snap_masked-scaffold_11-processed-gene-1.98-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.98&CDS=1-963	YDL051W
OG0001275	snap_masked-scaffold_11-processed-gene-1.101-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.101&CDS=1-1101	YJR107W
OG0001276	snap_masked-scaffold_11-processed-gene-1.105-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.105&CDS=1-3531	YFR031C
OG0001277	maker-scaffold_11-snap-gene-1.4-mRNA-1_1&gene=maker-scaffold_11-snap-gene-1.4&CDS=1-381	YFR033C
OG0001278	snap_masked-scaffold_11-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.90&CDS=1-2109	YGL026C
OG0001279	snap_masked-scaffold_11-processed-gene-2.7-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.7&CDS=1-10212	YLL040C
OG0001280	augustus_masked-scaffold_11-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.95&CDS=1-2547	YCR028C
OG0001281	snap_masked-scaffold_11-processed-gene-2.33-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.33&CDS=1-4518	YBR235W
OG0001282	snap_masked-scaffold_11-processed-gene-2.34-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.34&CDS=1-2037	YEL011W
OG0001283	snap_masked-scaffold_11-processed-gene-2.12-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.12&CDS=1-2847	YER169W
OG0001284	snap_masked-scaffold_11-processed-gene-2.37-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.37&CDS=1-4878	YDR464W
OG0001285	augustus_masked-scaffold_11-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.101&CDS=1-564	YKL069W
OG0001286	augustus_masked-scaffold_11-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.122&CDS=1-426	YIL004C
OG0001287	snap_masked-scaffold_11-processed-gene-2.15-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.15&CDS=1-699	YOL147C
OG0001288	snap_masked-scaffold_11-processed-gene-2.39-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.39&CDS=1-1404	YOR166C
OG0001289	snap_masked-scaffold_11-processed-gene-2.22-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.22&CDS=1-1077	YPL121C
OG0001290	snap_masked-scaffold_11-processed-gene-2.44-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.44&CDS=1-3477	YOR207C
OG0001291	snap_masked-scaffold_11-processed-gene-2.23-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.23&CDS=1-891	YLR209C
OG0001292	snap_masked-scaffold_11-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.24&CDS=1-1527	YPL122C
OG0001293	snap_masked-scaffold_11-processed-gene-2.45-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.45&CDS=1-3621	YLR032W
OG0001294	maker-scaffold_11-snap-gene-2.137-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.137&CDS=1-1977	YOL148C
OG0001295	maker-scaffold_11-snap-gene-2.136-mRNA-1_1&gene=maker-scaffold_11-snap-gene-2.136&CDS=1-753	YLR022C
OG0001296	augustus_masked-scaffold_11-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.113&CDS=1-909	YOR251C
OG0001297	maker-scaffold_11-augustus-gene-2.146-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-2.146&CDS=1-486	YOL114C
OG0001298	augustus_masked-scaffold_2-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.62&CDS=1-1752	YEL065W
OG0001299	augustus_masked-scaffold_2-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.64&CDS=1-993	YOL154W
OG0001300	snap_masked-scaffold_2-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.89&CDS=1-1941	YHL020C
OG0001301	snap_masked-scaffold_2-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.111&CDS=1-996	YMR010W
OG0001302	snap_masked-scaffold_2-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.91&CDS=1-2529	YCL030C
OG0001303	snap_masked-scaffold_2-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.92&CDS=1-990	YML004C
OG0001304	snap_masked-scaffold_2-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.116&CDS=1-444	YCL033C
OG0001305	genemark-scaffold_2-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.8&CDS=1-585	YDR512C
OG0001306	augustus_masked-scaffold_2-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.75&CDS=1-3951	YBR081C
OG0001307	snap_masked-scaffold_2-processed-gene-0.121-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.121&CDS=1-654	YMR202W
OG0001308	snap_masked-scaffold_2-processed-gene-0.122-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.122&CDS=1-2883	YMR036C
OG0001309	snap_masked-scaffold_2-processed-gene-0.124-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.124&CDS=1-2754	YNL127W
OG0001310	snap_masked-scaffold_2-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.97&CDS=1-588	YHR121W
OG0001311	snap_masked-scaffold_2-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.125&CDS=1-471	YNL131W
OG0001312	snap_masked-scaffold_2-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.92&CDS=1-2226	YJL012C
OG0001313	snap_masked-scaffold_2-processed-gene-1.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.95&CDS=1-1902	YHR188C
OG0001314	maker-scaffold_2-snap-gene-1.7-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.7&CDS=1-3513	YMR288W
OG0001315	genemark-scaffold_2-processed-gene-1.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.57&CDS=1-2562	YGR261C
OG0001316	snap_masked-scaffold_2-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.97&CDS=1-423	YGR203W
OG0001317	snap_masked-scaffold_2-processed-gene-1.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.100&CDS=1-1230	YNL175C
OG0001318	maker-scaffold_2-snap-gene-1.9-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.9&CDS=1-4560	YEL043W
OG0001319	snap_masked-scaffold_2-processed-gene-1.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.101&CDS=1-1128	YEL046C
OG0001320	snap_masked-scaffold_2-processed-gene-1.112-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.112&CDS=1-429	YPR082C
OG0001321	snap_masked-scaffold_2-processed-gene-1.113-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.113&CDS=1-552	YBR122C
OG0001322	snap_masked-scaffold_2-processed-gene-1.114-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.114&CDS=1-1869	YBR123C
OG0001323	snap_masked-scaffold_2-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.102&CDS=1-1407	YBR126C
OG0001324	snap_masked-scaffold_2-processed-gene-1.115-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.115&CDS=1-1569	YER090W
OG0001325	snap_masked-scaffold_2-processed-gene-1.103-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.103&CDS=1-1299	YBL058W
OG0001326	snap_masked-scaffold_2-processed-gene-1.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.118&CDS=1-1005	YBL055C
OG0001327	snap_masked-scaffold_2-processed-gene-1.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.120&CDS=1-789	YNL234W
OG0001328	snap_masked-scaffold_2-processed-gene-1.122-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.122&CDS=1-1416	YGL190C
OG0001329	snap_masked-scaffold_2-processed-gene-1.105-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.105&CDS=1-1416	YDL150W
OG0001330	augustus_masked-scaffold_2-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.28&CDS=1-2973	YDL149W
OG0001331	snap_masked-scaffold_2-processed-gene-1.124-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.124&CDS=1-2517	YDL148C
OG0001332	snap_masked-scaffold_2-processed-gene-1.126-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.126&CDS=1-501	YER050C
OG0001333	snap_masked-scaffold_2-processed-gene-1.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.107&CDS=1-1503	YER051W
OG0001334	snap_masked-scaffold_2-processed-gene-1.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.127&CDS=1-3708	YDL145C
OG0001335	maker-scaffold_2-snap-gene-1.13-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.13&CDS=1-1191	YIL042C
OG0001336	maker-scaffold_2-snap-gene-1.12-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.12&CDS=1-1467	YDL146W
OG0001337	snap_masked-scaffold_2-processed-gene-1.131-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.131&CDS=1-1335	YDL147W
OG0001338	snap_masked-scaffold_2-processed-gene-2.2-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.2&CDS=1-1410	YBL098W
OG0001339	snap_masked-scaffold_2-processed-gene-2.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.1&CDS=1-972	YPR023C
OG0001340	augustus_masked-scaffold_2-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.58&CDS=1-2991	YLR318W
OG0001341	snap_masked-scaffold_2-processed-gene-2.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.7&CDS=1-330	YBL001C
OG0001342	maker-scaffold_2-snap-gene-2.107-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.107&CDS=1-882	YHR062C
OG0001343	snap_masked-scaffold_2-processed-gene-2.13-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.13&CDS=1-3063	YLR319C
OG0001344	snap_masked-scaffold_2-processed-gene-2.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.36&CDS=1-828	YGR262C
OG0001345	maker-scaffold_2-snap-gene-2.108-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.108&CDS=1-510	YJR025C
OG0001346	snap_masked-scaffold_2-processed-gene-2.39-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.39&CDS=1-2028	YJL201W
OG0001347	snap_masked-scaffold_2-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.21&CDS=1-2919	YJL204C
OG0001348	maker-scaffold_2-snap-gene-2.110-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.110&CDS=1-1143	YPR056W
OG0001349	genemark-scaffold_2-processed-gene-2.142-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-2.142&CDS=1-1629	YBR028C
OG0001350	snap_masked-scaffold_2-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.46&CDS=1-948	YLR239C
OG0001351	maker-scaffold_2-snap-gene-2.106-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.106&CDS=1-1422	YDR198C
OG0001352	snap_masked-scaffold_2-processed-gene-2.48-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.48&CDS=1-2229	YGR264C
OG0001353	snap_masked-scaffold_2-processed-gene-3.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.95&CDS=1-441	YOR224C
OG0001354	maker-scaffold_2-augustus-gene-3.2-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-3.2&CDS=1-588	YHR026W
OG0001355	snap_masked-scaffold_2-processed-gene-3.97-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.97&CDS=1-756	YBL064C
OG0001356	snap_masked-scaffold_2-processed-gene-3.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.102&CDS=1-522	YDL166C
OG0001357	snap_masked-scaffold_2-processed-gene-3.103-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.103&CDS=1-1137	YDL165W
OG0001358	maker-scaffold_2-snap-gene-3.47-mRNA-1_1&gene=maker-scaffold_2-snap-gene-3.47&CDS=1-423	YBR254C
OG0001359	augustus_masked-scaffold_2-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.13&CDS=1-2520	YBR255W
OG0001360	augustus_masked-scaffold_2-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.30&CDS=1-1557	YPL260W
OG0001361	snap_masked-scaffold_2-processed-gene-3.126-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.126&CDS=1-1176	YNL001W
OG0001362	snap_masked-scaffold_2-processed-gene-3.108-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.108&CDS=1-2931	YBL066C
OG0001363	maker-scaffold_2-snap-gene-3.43-mRNA-1_1&gene=maker-scaffold_2-snap-gene-3.43&CDS=1-6927	YJL208C
OG0001364	maker-scaffold_2-snap-gene-3.49-mRNA-1_1&gene=maker-scaffold_2-snap-gene-3.49&CDS=1-615	YER094C
OG0001365	snap_masked-scaffold_2-processed-gene-3.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.129&CDS=1-2436	YDL164C
OG0001366	snap_masked-scaffold_2-processed-gene-3.130-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.130&CDS=1-1137	YER095W
OG0001367	snap_masked-scaffold_2-processed-gene-3.113-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.113&CDS=1-870	YJL068C
OG0001368	maker-scaffold_2-augustus-gene-3.5-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-3.5&CDS=1-549	YJR069C
OG0001369	snap_masked-scaffold_2-processed-gene-3.134-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.134&CDS=1-3615	YBR023C
OG0001370	snap_masked-scaffold_2-processed-gene-3.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.117&CDS=1-378	YLR242C
OG0001371	snap_masked-scaffold_2-processed-gene-3.135-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.135&CDS=1-774	YLR192C
OG0001372	snap_masked-scaffold_2-processed-gene-3.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.118&CDS=1-1359	YHR109W
OG0001373	snap_masked-scaffold_2-processed-gene-4.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.14&CDS=1-1935	YBR200W
OG0001374	snap_masked-scaffold_2-processed-gene-4.10-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.10&CDS=1-1014	YOL064C
OG0001375	snap_masked-scaffold_2-processed-gene-4.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.16&CDS=1-1212	YNL292W
OG0001376	snap_masked-scaffold_2-processed-gene-4.17-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.17&CDS=1-1386	YOR250C
OG0001377	snap_masked-scaffold_2-processed-gene-4.35-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.35&CDS=1-537	YLR074C
OG0001378	snap_masked-scaffold_2-processed-gene-4.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.36&CDS=1-870	YOR281C
OG0001379	snap_masked-scaffold_2-processed-gene-4.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.19&CDS=1-660	YLR075W
OG0001380	snap_masked-scaffold_2-processed-gene-4.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.20&CDS=1-759	YFL045C
OG0001381	snap_masked-scaffold_2-processed-gene-4.37-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.37&CDS=1-1653	YMR307W
OG0001382	snap_masked-scaffold_2-processed-gene-4.21-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.21&CDS=1-5784	YGR032W
OG0001383	augustus_masked-scaffold_2-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.70&CDS=1-1089	YFL044C
OG0001384	maker-scaffold_2-snap-gene-4.56-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.56&CDS=1-741	YLR078C
OG0001385	snap_masked-scaffold_2-processed-gene-4.40-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.40&CDS=1-1314	YKL021C
OG0001386	snap_masked-scaffold_2-processed-gene-4.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.22&CDS=1-333	YLR147C
OG0001387	snap_masked-scaffold_2-processed-gene-4.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.41&CDS=1-4701	YDR127W
OG0001388	snap_masked-scaffold_2-processed-gene-4.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.42&CDS=1-2151	YGL203C
OG0001389	snap_masked-scaffold_2-processed-gene-4.45-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.45&CDS=1-1095	YGL001C
OG0001390	maker-scaffold_2-snap-gene-4.53-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.53&CDS=1-4773	YAL001C
OG0001391	snap_masked-scaffold_2-processed-gene-4.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.28&CDS=1-1344	YMR020W
OG0001392	snap_masked-scaffold_2-processed-gene-4.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.29&CDS=1-849	YGR001C
OG0001393	snap_masked-scaffold_2-processed-gene-4.31-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.31&CDS=1-1428	YLR283W
OG0001394	snap_masked-scaffold_2-processed-gene-5.97-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.97&CDS=1-4452	YBR097W
OG0001395	maker-scaffold_2-snap-gene-5.70-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.70&CDS=1-3120	YPR055W
OG0001396	snap_masked-scaffold_2-processed-gene-5.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.111&CDS=1-2064	YDR049W
OG0001397	maker-scaffold_2-snap-gene-5.74-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.74&CDS=1-1119	YDR047W
OG0001398	snap_masked-scaffold_2-processed-gene-5.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.102&CDS=1-693	YBR256C
OG0001399	snap_masked-scaffold_2-processed-gene-5.114-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.114&CDS=1-2493	YKL134C
OG0001400	snap_masked-scaffold_2-processed-gene-5.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.117&CDS=1-8409	YIL129C
OG0001401	maker-scaffold_2-snap-gene-5.77-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.77&CDS=1-2670	YMR078C
OG0001402	maker-scaffold_2-snap-gene-5.71-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.71&CDS=1-3066	YIL128W
OG0001403	snap_masked-scaffold_2-processed-gene-5.120-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.120&CDS=1-4794	YNL088W
OG0001404	snap_masked-scaffold_2-processed-gene-5.123-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.123&CDS=1-3051	YMR080C
OG0001405	genemark-scaffold_2-processed-gene-5.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.9&CDS=1-849	YNL075W
OG0001406	snap_masked-scaffold_2-processed-gene-5.125-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.125&CDS=1-1410	YNL071W
OG0001407	maker-scaffold_2-snap-gene-5.81-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.81&CDS=1-939	YNL072W
OG0001408	maker-scaffold_2-snap-gene-5.73-mRNA-1_1&gene=maker-scaffold_2-snap-gene-5.73&CDS=1-861	YLL023C
OG0001409	snap_masked-scaffold_2-processed-gene-5.128-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.128&CDS=1-1491	YLR314C
OG0001410	snap_masked-scaffold_2-processed-gene-5.108-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.108&CDS=1-492	YLR221C
OG0001411	snap_masked-scaffold_2-processed-gene-5.110-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.110&CDS=1-2625	YDR074W
OG0001412	snap_masked-scaffold_2-processed-gene-6.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.95&CDS=1-1452	YFR010W
OG0001413	snap_masked-scaffold_2-processed-gene-6.98-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.98&CDS=1-900	YDR090C
OG0001414	maker-scaffold_2-snap-gene-6.51-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.51&CDS=1-6291	YCL014W
OG0001415	snap_masked-scaffold_2-processed-gene-6.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.100&CDS=1-1059	YCL016C
OG0001416	snap_masked-scaffold_2-processed-gene-6.119-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.119&CDS=1-831	YNL003C
OG0001417	snap_masked-scaffold_2-processed-gene-6.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.101&CDS=1-1377	YCL017C
OG0001418	maker-scaffold_2-snap-gene-6.45-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.45&CDS=1-3552	YDR421W
OG0001419	snap_masked-scaffold_2-processed-gene-6.104-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.104&CDS=1-1374	YBR003W
OG0001420	snap_masked-scaffold_2-processed-gene-6.121-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.121&CDS=1-1092	YCL018W
OG0001421	snap_masked-scaffold_2-processed-gene-6.123-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.123&CDS=1-786	YCR009C
OG0001422	maker-scaffold_2-snap-gene-6.47-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.47&CDS=1-714	YJR024C
OG0001423	maker-scaffold_2-snap-gene-6.48-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.48&CDS=1-4137	YNL273W
OG0001424	snap_masked-scaffold_2-processed-gene-6.125-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.125&CDS=1-1560	YEL064C
OG0001425	genemark-scaffold_2-processed-gene-6.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.33&CDS=1-318	YGL030W
OG0001426	maker-scaffold_2-snap-gene-6.49-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.49&CDS=1-1308	YGR254W
OG0001427	snap_masked-scaffold_2-processed-gene-6.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.118&CDS=1-2082	YDR137W
OG0001428	snap_masked-scaffold_2-processed-gene-7.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.100&CDS=1-3393	YLR114C
OG0001429	snap_masked-scaffold_2-processed-gene-7.102-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.102&CDS=1-3057	YER151C
OG0001430	snap_masked-scaffold_2-processed-gene-7.118-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.118&CDS=1-2433	YPL184C
OG0001431	maker-scaffold_2-augustus-gene-7.52-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.52&CDS=1-2148	YGL099W
