	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0000950	XP_011118687.1	YAL032C
OG0000951	XP_011118689.1	YMR304W
OG0000952	XP_011118693.1	YHR176W
OG0000953	XP_011118697.1	YDL117W
OG0000954	XP_011118700.1	YDR116C
OG0000955	XP_011118701.1	YPR088C
OG0000956	XP_011118708.1	YLR066W
OG0000957	XP_011118710.1	YGL173C
OG0000958	XP_011118711.1	YEL056W
OG0000959	XP_011118712.1	YBL058W
OG0000960	XP_011118713.1	YOL026C
OG0000961	XP_011118715.1	YML015C
OG0000962	XP_011118716.1	YER154W
OG0000963	XP_011118718.1	YOL052C
OG0000964	XP_011118719.1	YGR267C
OG0000965	XP_011118724.1	YGR215W
OG0000966	XP_011118727.1	YMR239C
OG0000967	XP_011118730.1	YMR240C
OG0000968	XP_011118734.1	YMR241W
OG0000969	XP_011118736.1	YDR044W
OG0000970	XP_011118737.1	YBL078C
OG0000971	XP_011118738.1	YOR261C
OG0000972	XP_011118739.1	YNL251C
OG0000973	XP_011118741.1	YGL008C
OG0000974	XP_011118744.1	YDR226W
OG0000975	XP_011118745.1	YDR228C
OG0000976	XP_011118746.1	YDL198C
OG0000977	XP_011118747.1	YKL211C
OG0000978	XP_011118748.1	YML103C
OG0000979	XP_011118752.1	YNL075W
OG0000980	XP_011118753.1	YPL131W
OG0000981	XP_011118754.1	YKL113C
OG0000982	XP_011118757.1	YPL196W
OG0000983	XP_011118760.1	YDR145W
OG0000984	XP_011118762.1	YMR265C
OG0000985	XP_011118765.1	YER021W
OG0000986	XP_011118766.1	YKL119C
OG0000987	XP_011118772.1	YLR383W
OG0000988	XP_011118773.1	YLR330W
OG0000989	XP_011118774.1	YIL070C
OG0000990	XP_011118775.1	YDL160C
OG0000991	XP_011118778.1	YGR090W
OG0000992	XP_011118780.1	YMR129W
OG0000993	XP_011118784.1	YNL212W
OG0000994	XP_011118790.1	YNL273W
OG0000995	XP_011118792.1	YDL141W
OG0000996	XP_011118793.1	YJL141C
OG0000997	XP_011118795.1	YGR127W
OG0000998	XP_011118799.1	YMR309C
OG0000999	XP_011118801.1	YKL203C
OG0001000	XP_011118802.1	YPL122C
OG0001001	XP_011118805.1	YKR035W-A
OG0001002	XP_011118808.1	YBR026C
OG0001003	XP_011118809.1	YMR293C
OG0001004	XP_011118810.1	YJL035C
OG0001005	XP_011118811.1	YMR205C
OG0001006	XP_011118812.1	YBR221C
OG0001007	XP_011118813.1	YDR493W
OG0001008	XP_011118814.1	YBR065C
OG0001009	XP_011118815.1	YML008C
OG0001010	XP_011118816.1	YGR285C
OG0001011	XP_011118820.1	YBR136W
OG0001012	XP_011118821.1	YOR155C
OG0001013	XP_011118822.1	YMR048W
OG0001014	XP_011118824.1	YGR186W
OG0001015	XP_011118825.1	YER022W
OG0001016	XP_011118827.1	YLR398C
OG0001017	XP_011118828.1	YJR132W
OG0001018	XP_011118831.1	YJR133W
OG0001019	XP_011118833.1	YGR187C
OG0001020	XP_011118834.1	YGR244C
OG0001021	XP_011118839.1	YBR247C
OG0001022	XP_011118840.1	YLR015W
OG0001023	XP_011118843.1	YOR122C
OG0001024	XP_011118845.1	YGR271W
OG0001025	XP_011118847.1	YGL174W
OG0001026	XP_011118850.1	YDR109C
OG0001027	XP_011118854.1	YJL003W
OG0001028	XP_011118859.1	YGL247W
OG0001029	XP_011118862.1	YPR155C
OG0001030	XP_011118868.1	YNL321W
OG0001031	XP_011118870.1	YMR216C
OG0001032	XP_011118874.1	YBR086C
OG0001033	XP_011118876.1	YFR002W
OG0001034	XP_011118880.1	YLR287C
OG0001035	XP_011118884.1	YGL048C
OG0001036	XP_011118885.1	YLR309C
OG0001037	XP_011118886.1	YFL005W
OG0001038	XP_011118888.1	YLR409C
OG0001039	XP_011118889.1	YLR410W
OG0001040	XP_011118891.1	YDR320C-A
OG0001041	XP_011118892.1	YNL059C
OG0001042	XP_011118893.1	YBL036C
OG0001043	XP_011118894.1	YKL181W
OG0001044	XP_011118905.1	YDR120C
OG0001045	XP_011118906.1	YPL231W
OG0001046	XP_011118907.1	YKL182W
OG0001047	XP_011118908.1	YGR060W
OG0001048	XP_011118921.1	YMR033W
OG0001049	XP_011118926.1	YDR140W
OG0001050	XP_011118932.1	YML059C
OG0001051	XP_011118935.1	YDL238C
OG0001052	XP_011118943.1	YPR026W
OG0001053	XP_011118948.1	YMR189W
OG0001054	XP_011118961.1	YJR144W
OG0001055	XP_011119146.1	YFL055W
OG0001056	XP_011119180.1	YGR234W
OG0001057	XP_011119184.1	YDL168W
OG0001058	XP_011119196.1	YBR289W
OG0001059	XP_011119199.1	YMR076C
OG0001060	XP_011119204.1	YDL164C
OG0001061	XP_011119212.1	YNL045W
OG0001062	XP_011119217.1	YMR075W
OG0001063	XP_011119218.1	YDR101C
OG0001064	XP_011119244.1	YHR019C
OG0001065	XP_011119247.1	YPR094W
OG0001066	XP_011119251.1	YPL184C
OG0001067	XP_011119257.1	YER023W
OG0001068	XP_011119258.1	YOR236W
OG0001069	XP_011119260.1	YGL070C
OG0001070	XP_011119261.1	YGL068W
OG0001071	XP_011119263.1	YPR095C
OG0001072	XP_011119266.1	YHR132C
OG0001073	XP_011119267.1	YKL170W
OG0001074	XP_011119268.1	YPL203W
OG0001075	XP_011119270.1	YKL033W
OG0001076	XP_011119277.1	YGL130W
OG0001077	XP_011119280.1	YDR410C
OG0001078	XP_011119281.1	YKL175W
OG0001079	XP_011119282.1	YKR044W
OG0001080	XP_011119292.1	YJR092W
OG0001081	XP_011119293.1	YGL064C
OG0001082	XP_011119295.1	YNR020C
OG0001083	XP_011119303.1	YER061C
OG0001084	XP_011119306.1	YGL066W
OG0001085	XP_011119307.1	YJR095W
OG0001086	XP_011119308.1	YGR080W
OG0001087	XP_011119309.1	YNL252C
OG0001088	XP_011119310.1	YAL026C
OG0001089	XP_011119311.1	YPR040W
OG0001090	XP_011119312.1	YPL215W
OG0001091	XP_011119313.1	YLR002C
OG0001092	XP_011119320.1	YPL210C
OG0001093	XP_011119321.1	YPL211W
OG0001094	XP_011119322.1	YPL212C
OG0001095	XP_011119324.1	YKL154W
OG0001096	XP_011119328.1	YOL078W
OG0001097	XP_011119329.1	YLR106C
OG0001098	XP_011119330.1	YPR041W
OG0001099	XP_011119338.1	YIR011C
OG0001100	XP_011119343.1	YNL317W
OG0001101	XP_011119344.1	YER178W
OG0001102	XP_011119345.1	YDL001W
OG0001103	XP_011119349.1	YER155C
OG0001104	XP_011119352.1	YOR067C
OG0001105	XP_011119353.1	YJL008C
OG0001106	XP_011119354.1	YOR079C
OG0001107	XP_011119358.1	YBL039C
OG0001108	XP_011119359.1	YPL001W
OG0001109	XP_011119360.1	YLR429W
OG0001110	XP_011119362.1	YLR290C
OG0001111	XP_011119363.1	YLR423C
OG0001112	XP_011119365.1	YIL046W
OG0001113	XP_011119366.1	YNL107W
OG0001114	XP_011119367.1	YLR276C
OG0001115	XP_011119368.1	YAL046C
OG0001116	XP_011119370.1	YPR140W
OG0001117	XP_011119371.1	YPR139C
OG0001118	XP_011119380.1	YNL267W
OG0001119	XP_011119381.1	YAL022C
OG0001120	XP_011119382.1	YDR168W
OG0001121	XP_011119383.1	YLR188W
OG0001122	XP_011119384.1	YOL018C
OG0001123	XP_011119386.1	YGR167W
OG0001124	XP_011119387.1	YDR289C
OG0001125	XP_011119388.1	YKL116C
OG0001126	XP_011119390.1	YER159C
OG0001127	XP_011119392.1	YPR141C
OG0001128	XP_011119397.1	YKR087C
OG0001129	XP_011119399.1	YJL074C
OG0001130	XP_011119400.1	YOR119C
OG0001131	XP_011119401.1	YNR016C
OG0001132	XP_011119404.1	YPL067C
OG0001133	XP_011119405.1	YIL043C
OG0001134	XP_011119407.1	YDL052C
OG0001135	XP_011119414.1	YPL178W
OG0001136	XP_011119416.1	YML126C
OG0001137	XP_011119417.1	YML128C
OG0001138	XP_011119429.1	YGR159C
OG0001139	XP_011119430.1	YBR268W
OG0001140	XP_011119431.1	YBL026W
OG0001141	XP_011119432.1	YMR137C
OG0001142	XP_011119435.1	YAR015W
OG0001143	XP_011119446.1	YIL030C
OG0001144	XP_011119449.1	YER049W
OG0001145	XP_011119450.1	YEL046C
OG0001146	XP_011119456.1	YBR018C
OG0001147	XP_011119459.1	YDR244W
OG0001148	XP_011119462.1	YJL121C
OG0001149	XP_011119463.1	YPL153C
OG0001150	XP_011119465.1	YLR359W
OG0001151	XP_011119466.1	YGR058W
OG0001152	XP_011119469.1	YER163C
OG0001153	XP_011119471.1	YDR084C
OG0001154	XP_011119477.1	YLR084C
OG0001155	XP_011119478.1	YLR166C
OG0001156	XP_011119479.1	YHR070W
OG0001157	XP_011119480.1	YML060W
OG0001158	XP_011119481.1	YHR175W
OG0001159	XP_011119482.1	YJR025C
OG0001160	XP_011119483.1	YGL001C
OG0001161	XP_011119485.1	YNL329C
OG0001162	XP_011119489.1	YOR188W
OG0001163	XP_011119491.1	YBR088C
OG0001164	XP_011119494.1	YMR055C
OG0001165	XP_011119495.1	YJR082C
OG0001166	XP_011119499.1	YDR064W
OG0001167	XP_011119505.1	YAL042W
OG0001168	XP_011119506.1	YNL026W
OG0001169	XP_011119521.1	YHR085W
OG0001170	XP_011119523.1	YIL041W
OG0001171	XP_011119525.1	YHR045W
OG0001172	XP_011119529.1	YPR169W
OG0001173	XP_011119533.1	YKL191W
OG0001174	XP_011119536.1	YGR227W
OG0001175	XP_011119539.1	YDR489W
OG0001176	XP_011119548.1	YLR143W
OG0001177	XP_011119549.1	YNL001W
OG0001178	XP_011119567.1	YFR033C
OG0001179	XP_011119569.1	YHR204W
OG0001180	XP_011119573.1	YMR201C
OG0001181	XP_011119574.1	YOR238W
OG0001182	XP_011119583.1	YML022W
OG0001183	XP_011119584.1	YFL022C
OG0001184	XP_011119595.1	YLL056C
OG0001185	XP_011119608.1	YMR034C
OG0001186	XP_011119619.1	YNL110C
OG0001187	XP_011119620.1	YGR202C
OG0001188	XP_011119623.1	YNL055C
OG0001189	XP_011119628.1	YGR124W
OG0001190	XP_011119631.1	YPL091W
OG0001191	XP_011119632.1	YDL081C
OG0001192	XP_011119634.1	YPL260W
OG0001193	XP_011119635.1	YFR007W
OG0001194	XP_011119636.1	YKL165C
OG0001195	XP_011119638.1	YDR448W
OG0001196	XP_011119644.1	YPL118W
OG0001197	XP_011119647.1	YKR009C
OG0001198	XP_011119650.1	YJL020C
OG0001199	XP_011119651.1	YDL165W
OG0001200	XP_011119653.1	YGL035C
OG0001201	XP_011119654.1	YDR076W
OG0001202	XP_011119655.1	YOR160W
OG0001203	XP_011119656.1	YOR159C
OG0001204	XP_011119657.1	YER183C
OG0001205	XP_011119658.1	YMR200W
OG0001206	XP_011119663.1	YGR020C
OG0001207	XP_011119664.1	YDL046W
OG0001208	XP_011119666.1	YOR317W
OG0001209	XP_011119667.1	YLR137W
OG0001210	XP_011119671.1	YNL155W
OG0001211	XP_011119672.1	YGL184C
OG0001212	XP_011119675.1	YGL100W
OG0001213	XP_011119678.1	YGL009C
OG0001214	XP_011119682.1	YDR429C
OG0001215	XP_011119683.1	YNL256W
OG0001216	XP_011119686.1	YER122C
OG0001217	XP_011119689.1	YOR075W
OG0001218	XP_011119691.1	YBR200W
OG0001219	XP_011119693.1	YJR140C
OG0001220	XP_011119695.1	YJR045C
OG0001221	XP_011119697.1	YPR045C
OG0001222	XP_011119698.1	YHR205W
OG0001223	XP_011119704.1	YCR044C
OG0001224	XP_011119705.1	YEL058W
OG0001225	XP_011119706.1	YDL144C
OG0001226	XP_011119714.1	YGR246C
OG0001227	XP_011119726.1	YOR117W
OG0001228	XP_011119727.1	YDR386W
OG0001229	XP_011119735.1	YLR389C
OG0001230	XP_011119760.1	YML121W
OG0001231	XP_011119763.1	YGL112C
OG0001232	XP_011119782.1	YBR110W
OG0001233	XP_011119787.1	YIL143C
OG0001234	XP_011119792.1	YGL221C
OG0001235	XP_011119808.1	YLL002W
OG0001236	XP_011119810.1	YLR312W-A
OG0001237	XP_011119813.1	YHR072W
OG0001238	XP_011119820.1	YIL047C
OG0001239	XP_011119821.1	YPL239W
OG0001240	XP_011119832.1	YOR057W
OG0001241	XP_011119834.1	YHL020C
OG0001242	XP_011119842.1	YLR433C
OG0001243	XP_011119862.1	YNL247W
OG0001244	XP_011119863.1	YJL125C
OG0001245	XP_011119867.1	YLR105C
OG0001246	XP_011119869.1	YNL005C
OG0001247	XP_011119871.1	YOR056C
OG0001248	XP_011119872.1	YHR072W-A
OG0001249	XP_011119874.1	YDR320C
OG0001250	XP_011119916.1	YMR218C
OG0001251	XP_011119921.1	YIL064W
OG0001252	XP_011119926.1	YMR212C
OG0001253	XP_011119928.1	YAL016W
OG0001254	XP_011119930.1	YLR060W
OG0001255	XP_011119932.1	YPL244C
OG0001256	XP_011119935.1	YIL112W
OG0001257	XP_011119936.1	YOR369C
OG0001258	XP_011119940.1	YDR400W
OG0001259	XP_011119942.1	YBL104C
OG0001260	XP_011119945.1	YDR179W-A
OG0001261	XP_011119949.1	YPR168W
OG0001262	XP_011119952.1	YNL020C
OG0001263	XP_011119953.1	YPL082C
OG0001264	XP_011119956.1	YJR090C
OG0001265	XP_011119958.1	YLR234W
OG0001266	XP_011119960.1	YMR089C
OG0001267	XP_011119961.1	YLR009W
OG0001268	XP_011119962.1	YPL138C
OG0001269	XP_011119963.1	YLR008C
OG0001270	XP_011119965.1	YBL086C
OG0001271	XP_011119969.1	YCR094W
OG0001272	XP_011119970.1	YNL041C
OG0001273	XP_011119971.1	YEL011W
OG0001274	XP_011119972.1	YJR121W
OG0001275	XP_011119974.1	YML014W
OG0001276	XP_011119975.1	YNL148C
OG0001277	XP_011119976.1	YKL089W
OG0001278	XP_011119977.1	YNL072W
OG0001279	XP_011119980.1	YBR227C
OG0001280	XP_011119983.1	YLR303W
OG0001281	XP_011119984.1	YPR051W
OG0001282	XP_011119985.1	YLR272C
OG0001283	XP_011119986.1	YDL017W
OG0001284	XP_011119987.1	YGL103W
OG0001285	XP_011119989.1	YDL149W
OG0001286	XP_011119990.1	YDL086W
OG0001287	XP_011119992.1	YNL261W
OG0001288	XP_011119993.1	YOR207C
OG0001289	XP_011119997.1	YJR053W
OG0001290	XP_011119998.1	YBL040C
OG0001291	XP_011119999.1	YPL222W
OG0001292	XP_011120001.1	YDL124W
OG0001293	XP_011120004.1	YLR005W
OG0001294	XP_011120011.1	YCL057C-A
OG0001295	XP_011120012.1	YJR041C
OG0001296	XP_011120021.1	YAR014C
OG0001297	XP_011120024.1	YNL163C
OG0001298	XP_011120030.1	YKL002W
OG0001299	XP_011120031.1	YBR179C
OG0001300	XP_011120033.1	YLR275W
OG0001301	XP_011120034.1	YMR179W
OG0001302	XP_011120037.1	YMR150C
OG0001303	XP_011120038.1	YDR322W
OG0001304	XP_011120039.1	YML025C
OG0001305	XP_011120041.1	YKR062W
OG0001306	XP_011120042.1	YMR100W
OG0001307	XP_011120043.1	YMR162C
OG0001308	XP_011120045.1	YHR100C
OG0001309	XP_011120049.1	YJL026W
OG0001310	XP_011120051.1	YOR187W
OG0001311	XP_011120053.1	YDR036C
OG0001312	XP_011120054.1	YKL018W
OG0001313	XP_011120055.1	YKL120W
OG0001314	XP_011120057.1	YNL085W
OG0001315	XP_011120061.1	YMR229C
OG0001316	XP_011120062.1	YML018C
OG0001317	XP_011120064.1	YML001W
OG0001318	XP_011120065.1	YMR159C
OG0001319	XP_011120066.1	YDR440W
OG0001320	XP_011120070.1	YOL033W
OG0001321	XP_011120073.1	YCL054W
OG0001322	XP_011120076.1	YOR058C
OG0001323	XP_011120077.1	YOR005C
OG0001324	XP_011120079.1	YDR080W
OG0001325	XP_011120080.1	YNL172W
OG0001326	XP_011120083.1	YMR278W
OG0001327	XP_011120096.1	YPL154C
OG0001328	XP_011120097.1	YPR189W
OG0001329	XP_011120102.1	YJR074W
OG0001330	XP_011120103.1	YLR189C
OG0001331	XP_011120104.1	YBR081C
OG0001332	XP_011120105.1	YJR124C
OG0001333	XP_011120109.1	YGR032W
OG0001334	XP_011120110.1	YMR307W
OG0001335	XP_011120111.1	YLR221C
OG0001336	XP_011120115.1	YLR074C
OG0001337	XP_011120116.1	YLR088W
OG0001338	XP_011120119.1	YMR277W
OG0001339	XP_011120121.1	YLL035W
OG0001340	XP_011120123.1	YLR200W
OG0001341	XP_011120124.1	YPR173C
OG0001342	XP_011120128.1	YMR308C
OG0001343	XP_011120134.1	YMR228W
OG0001344	XP_011120136.1	YDL146W
OG0001345	XP_011120137.1	YOL090W
OG0001346	XP_011120138.1	YGR054W
OG0001347	XP_011120143.1	YLR191W
OG0001348	XP_011120145.1	YEL003W
OG0001349	XP_011120147.1	YBL021C
OG0001350	XP_011120176.1	YOL022C
OG0001351	XP_011120177.1	YNR030W
OG0001352	XP_011120178.1	YER074W-A
OG0001353	XP_011120182.1	YGL202W
OG0001354	XP_011120185.1	YNL115C
OG0001355	XP_011120190.1	YBR011C
OG0001356	XP_011120191.1	YNR015W
OG0001357	XP_011120193.1	YMR301C
OG0001358	XP_011120196.1	YDR427W
OG0001359	XP_011120199.1	YLR386W
OG0001360	XP_011120200.1	YOL023W
OG0001361	XP_011120202.1	YOR006C
OG0001362	XP_011120208.1	YMR223W
OG0001363	XP_011120209.1	YDL230W
OG0001364	XP_011120210.1	YKR030W
OG0001365	XP_011120212.1	YLR086W
OG0001366	XP_011120213.1	YGR001C
OG0001367	XP_011120214.1	YCR061W
OG0001368	XP_011120217.1	YFL044C
OG0001369	XP_011120218.1	YGR113W
OG0001370	XP_011120228.1	YNL262W
OG0001371	XP_011120229.1	YJL111W
OG0001372	XP_011120234.1	YFL018C
OG0001373	XP_011120235.1	YLR336C
OG0001374	XP_011120238.1	YER157W
OG0001375	XP_011120239.1	YLR077W
OG0001376	XP_011120240.1	YMR061W
OG0001377	XP_011120246.1	YJL115W
OG0001378	XP_011120248.1	YLR197W
OG0001379	XP_011120249.1	YDR188W
OG0001380	XP_011120258.1	YDR182W
OG0001381	XP_011120266.1	YBR295W
OG0001382	XP_011120284.1	YBL011W
OG0001383	XP_011120285.1	YGL092W
OG0001384	XP_011120287.1	YOR257W
OG0001385	XP_011120292.1	YBR135W
OG0001386	XP_011120293.1	YOL004W
OG0001387	XP_011120296.1	YDR487C
OG0001388	XP_011120302.1	YNL036W
OG0001389	XP_011120304.1	YOL146W
OG0001390	XP_011120307.1	YDR486C
OG0001391	XP_011120308.1	YOL073C
OG0001392	XP_011120309.1	YLR424W
OG0001393	XP_011120320.1	YOL096C
OG0001394	XP_011120325.1	YGL251C
OG0001395	XP_011120326.1	YDR336W
OG0001396	XP_011120355.1	YLL041C
OG0001397	XP_011120369.1	YPR184W
OG0001398	XP_011120373.1	YBR022W
OG0001399	XP_011120377.1	YOR065W
OG0001400	XP_011120379.1	YMR296C
OG0001401	XP_011120380.1	YHR111W
OG0001402	XP_011120387.1	YBR202W
OG0001403	XP_011120389.1	YKL197C
OG0001404	XP_011120392.1	YCR092C
OG0001405	XP_011120398.1	YLR318W
OG0001406	XP_011120402.1	YGL129C
OG0001407	XP_011120403.1	YOR294W
OG0001408	XP_011120404.1	YPR176C
OG0001409	XP_011120408.1	YPR037C
OG0001410	XP_011120409.1	YCR072C
OG0001411	XP_011120411.1	YHR079C
OG0001412	XP_011120412.1	YIL142W
OG0001413	XP_011120413.1	YLR241W
OG0001414	XP_011120415.1	YNL315C
OG0001415	XP_011120420.1	YER055C
OG0001416	XP_011120422.1	YNL023C
OG0001417	XP_011120423.1	YNL320W
OG0001418	XP_011120425.1	YJL001W
OG0001419	XP_011120428.1	YFL003C
OG0001420	XP_011120432.1	YOR361C
OG0001421	XP_011120436.1	YDR266C
OG0001422	XP_011120437.1	YDR412W
OG0001423	XP_011120438.1	YDR414C
OG0001424	XP_011120439.1	YHR101C
OG0001425	XP_011120440.1	YJL204C
OG0001426	XP_011120452.1	YPR137W
OG0001427	XP_011120453.1	YER012W
OG0001428	XP_011120456.1	YNR046W
OG0001429	XP_011120459.1	YER146W
OG0001430	XP_011120462.1	YDR339C
OG0001431	XP_011120474.1	YGL080W
OG0001432	XP_011120475.1	YKL024C
OG0001433	XP_011120479.1	YDR265W
OG0001434	XP_011120483.1	YDL206W
OG0001435	XP_011120484.1	YBL097W
OG0001436	XP_011120486.1	YKR065C
OG0001437	XP_011120487.1	YOL005C
OG0001438	XP_011120489.1	YER156C
OG0001439	XP_011120502.1	YIR006C
OG0001440	XP_011120504.1	YMR120C
OG0001441	XP_011120505.1	YHR119W
OG0001442	XP_011120515.1	YJR107W
OG0001443	XP_011120516.1	YOR259C
OG0001444	XP_011120517.1	YGR254W
OG0001445	XP_011120531.1	YGL206C
OG0001446	XP_011120538.1	YER029C
OG0001447	XP_011120542.1	YPL115C
OG0001448	XP_011120545.1	YOR204W
OG0001449	XP_011120552.1	YCR047C
OG0001450	XP_011120555.1	YFL013C
OG0001451	XP_011120556.1	YER025W
OG0001452	XP_011120559.1	YNL037C
OG0001453	XP_011120563.1	YHR181W
OG0001454	XP_011120564.1	YNL081C
OG0001455	XP_011120570.1	YNL044W
OG0001456	XP_011120581.1	YOR362C
OG0001457	XP_011120582.1	YDR359C
OG0001458	XP_011120583.1	YKL021C
OG0001459	XP_011120609.1	YLR011W
OG0001460	XP_011120624.1	YOR059C
OG0001461	XP_011120629.1	YMR020W
OG0001462	XP_011120630.1	YLR063W
OG0001463	XP_011120633.1	YJL166W
OG0001464	XP_011120637.1	YEL026W
OG0001465	XP_011120638.1	YEL027W
OG0001466	XP_011120652.1	YLR107W
OG0001467	XP_011120663.1	YBL093C
OG0001468	XP_011120670.1	YML096W
OG0001469	XP_011120674.1	YBR004C
OG0001470	XP_011120696.1	YDR001C
OG0001471	XP_011120697.1	YIL033C
OG0001472	XP_011120707.1	YNL152W
OG0001473	XP_011120708.1	YOR116C
OG0001474	XP_011120711.1	YGL011C
OG0001475	XP_011120712.1	YDL100C
OG0001476	XP_011120718.1	YGR116W
OG0001477	XP_011120727.1	YGR204W
OG0001478	XP_011120734.1	YKR085C
OG0001479	XP_011120735.1	YFR044C
OG0001480	XP_011120746.1	YER046W
OG0001481	XP_011120750.1	YJL030W
OG0001482	XP_011120751.1	YLR289W
OG0001483	XP_011120752.1	YMR093W
OG0001484	XP_011120754.1	YLR174W
OG0001485	XP_011120761.1	YOR298C-A
OG0001486	XP_011120763.1	YMR268C
OG0001487	XP_011120764.1	YNL177C
OG0001488	XP_011120765.1	YPR073C
OG0001489	XP_011120769.1	YLR355C
OG0001490	XP_011120770.1	YLR306W
OG0001491	XP_011120772.1	YOR046C
OG0001492	XP_011120773.1	YHR114W
OG0001493	XP_011120777.1	YMR290C
OG0001494	XP_011120778.1	YAL053W
OG0001495	XP_011120783.1	YDL219W
OG0001496	XP_011120784.1	YIL038C
OG0001497	XP_011120795.1	YKL069W
OG0001498	XP_011120796.1	YIL023C
OG0001499	XP_011120801.1	YPL199C
OG0001500	XP_011120802.1	YKL110C
OG0001501	XP_011120804.1	YLR285W
OG0001502	XP_011120807.1	YOR134W
OG0001503	XP_011120809.1	YEL020W-A
OG0001504	XP_011120810.1	YCL017C
OG0001505	XP_011120811.1	YDR388W
OG0001506	XP_011120826.1	YJL101C
OG0001507	XP_011120829.1	YPL206C
OG0001508	XP_011120831.1	YDR302W
OG0001509	XP_011120832.1	YML067C
OG0001510	XP_011120836.1	YFL026W
OG0001511	XP_011120837.1	YCL010C
OG0001512	XP_011120838.1	YDL029W
OG0001513	XP_011120839.1	YBL033C
OG0001514	XP_011120842.1	YPL042C
OG0001515	XP_011120844.1	YJL153C
OG0001516	XP_011120845.1	YMR080C
OG0001517	XP_011120847.1	YKL017C
OG0001518	XP_011120848.1	YDR005C
OG0001519	XP_011120852.1	YPL127C
OG0001520	XP_011120872.1	YGL183C
OG0001521	XP_011120873.1	YGL045W
OG0001522	XP_011120890.1	YFL045C
OG0001523	XP_011120892.1	YGR280C
OG0001524	XP_011120895.1	YFL046W
OG0001525	XP_011120902.1	YDR071C
OG0001526	XP_011120905.1	YOR239W
OG0001527	XP_011120924.1	YJR101W
OG0001528	XP_011120925.1	YPL149W
OG0001529	XP_011120929.1	YMR208W
OG0001530	XP_011120930.1	YOR272W
OG0001531	XP_011120934.1	YKL019W
OG0001532	XP_011120937.1	YOR148C
OG0001533	XP_011120942.1	YDR243C
OG0001534	XP_011120943.1	YLR438W
OG0001535	XP_011120946.1	YML046W
OG0001536	XP_011120954.1	YKL104C
OG0001537	XP_011120963.1	YPR118W
OG0001538	XP_011120964.1	YOL143C
OG0001539	XP_011120969.1	YGR076C
OG0001540	XP_011120973.1	YKL146W
OG0001541	XP_011120980.1	YBR235W
OG0001542	XP_011120981.1	YKL051W
OG0001543	XP_011120986.1	YGL142C
OG0001544	XP_011120997.1	YJR052W
OG0001545	XP_011121004.1	YBR234C
OG0001546	XP_011121005.1	YFR005C
OG0001547	XP_011121014.1	YER094C
OG0001548	XP_011121015.1	YLR222C
OG0001549	XP_011121022.1	YFL047W
OG0001550	XP_011121026.1	YOL098C
OG0001551	XP_011121029.1	YJR006W
OG0001552	XP_011121030.1	YLR247C
OG0001553	XP_011121033.1	YOL008W
OG0001554	XP_011121044.1	YDR430C
OG0001555	XP_011121051.1	YDR408C
OG0001556	XP_011121053.1	YLR325C
OG0001557	XP_011121060.1	YKL184W
OG0001558	XP_011121066.1	YLR305C
OG0001559	XP_011121071.1	YER130C
OG0001560	XP_011121079.1	YDR115W
OG0001561	XP_011121081.1	YJR117W
OG0001562	XP_011121084.1	YGR171C
OG0001563	XP_011121089.1	YGL180W
OG0001564	XP_011121102.1	YMR013C
OG0001565	XP_011121103.1	YKR066C
OG0001566	XP_011121119.1	YPL093W
OG0001567	XP_011121122.1	YBR159W
OG0001568	XP_011121126.1	YDR083W
OG0001569	XP_011121136.1	YKL160W
OG0001570	XP_011121137.1	YHR128W
OG0001571	XP_011121143.1	YLR441C
OG0001572	XP_011121144.1	YOL133W
OG0001573	XP_011121146.1	YHR067W
OG0001574	XP_011121148.1	YJL062W
OG0001575	XP_011121150.1	YJR001W
OG0001576	XP_011121152.1	YOR074C
OG0001577	XP_011121153.1	YMR023C
OG0001578	XP_011121154.1	YOR319W
OG0001579	XP_011121156.1	YGL238W
OG0001580	XP_011121160.1	YLL031C
OG0001581	XP_011121163.1	YGR021W
OG0001582	XP_011121164.1	YJL207C
OG0001583	XP_011121165.1	YNL271C
OG0001584	XP_011121168.1	YLL006W
OG0001585	XP_011121169.1	YKL001C
OG0001586	XP_011121170.1	YOL129W
OG0001587	XP_011121173.1	YGL027C
OG0001588	XP_011121176.1	YMR125W
OG0001589	XP_011121177.1	YIL008W
OG0001590	XP_011121179.1	YMR203W
OG0001591	XP_011121180.1	YMR139W
OG0001592	XP_011121185.1	YOR113W
OG0001593	XP_011121186.1	YCR084C
OG0001594	XP_011121187.1	YLR345W
OG0001595	XP_011121188.1	YGR200C
OG0001596	XP_011121189.1	YFL028C
OG0001597	XP_011121193.1	YLR056W
OG0001598	XP_011121200.1	YFR001W
OG0001599	XP_011121205.1	YLR268W
OG0001600	XP_011121206.1	YGR036C
OG0001601	XP_011121209.1	YOR274W
OG0001602	XP_011121213.1	YNL127W
OG0001603	XP_011121215.1	YDR234W
OG0001604	XP_011121219.1	YDR407C
OG0001605	XP_011121220.1	YMR314W
OG0001606	XP_011121222.1	YJR044C
OG0001607	XP_011121223.1	YNR033W
OG0001608	XP_011121225.1	YOR037W
OG0001609	XP_011121228.1	YOR184W
OG0001610	XP_011121238.1	YDL234C
OG0001611	XP_011121239.1	YAL025C
OG0001612	XP_011121242.1	YLR382C
OG0001613	XP_011121243.1	YNL063W
OG0001614	XP_011121253.1	YPL085W
OG0001615	XP_011121287.1	YIL048W
