	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0001626	genemark-scaffold_15-processed-gene-2.27-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.27&CDS=1-1452	YEL007W
OG0001627	genemark-scaffold_15-processed-gene-2.28-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.28&CDS=1-945	YMR010W
OG0001628	genemark-scaffold_15-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.54&CDS=1-1194	YJR076C
OG0001629	genemark-scaffold_15-processed-gene-2.55-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.55&CDS=1-1815	YJL163C
OG0001630	genemark-scaffold_15-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.56&CDS=1-1392	YKL175W
OG0001631	genemark-scaffold_15-processed-gene-2.30-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.30&CDS=1-306	YIL008W
OG0001632	genemark-scaffold_15-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.58&CDS=1-657	YIL007C
OG0001633	genemark-scaffold_15-processed-gene-2.59-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.59&CDS=1-801	YEL001C
OG0001634	genemark-scaffold_15-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.31&CDS=1-1725	YIL001W
OG0001635	maker-scaffold_15-snap-gene-2.6-mRNA-1_1&gene=maker-scaffold_15-snap-gene-2.6&CDS=1-2169	YEL004W
OG0001636	genemark-scaffold_15-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.32&CDS=1-1827	YPR199C
OG0001637	genemark-scaffold_15-processed-gene-2.35-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.35&CDS=1-969	YML004C
OG0001638	genemark-scaffold_15-processed-gene-2.65-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.65&CDS=1-1878	YBR203W
OG0001639	genemark-scaffold_16-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.2&CDS=1-1281	YOL022C
OG0001640	genemark-scaffold_16-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.3&CDS=1-321	YBR091C
OG0001641	genemark-scaffold_16-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.18&CDS=1-1437	YOL049W
OG0001642	genemark-scaffold_16-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.4&CDS=1-846	YJL174W
OG0001643	genemark-scaffold_16-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.5&CDS=1-3018	YKL165C
OG0001644	genemark-scaffold_16-processed-gene-0.9-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.9&CDS=1-954	YGR086C
OG0001645	snap_masked-scaffold_16-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.60&CDS=1-1872	YOR014W
OG0001646	snap_masked-scaffold_16-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.61&CDS=1-1476	YGR083C
OG0001647	augustus_masked-scaffold_16-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.98&CDS=1-1509	YPR106W
OG0001648	genemark-scaffold_16-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.13&CDS=1-5424	YPR104C
OG0001649	genemark-scaffold_16-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.14&CDS=1-837	YPR103W
OG0001650	genemark-scaffold_16-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.31&CDS=1-1314	YOR323C
OG0001651	genemark-scaffold_16-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.32&CDS=1-3858	YAL026C
OG0001652	genemark-scaffold_16-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.33&CDS=1-1836	YKL125W
OG0001653	genemark-scaffold_16-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.15&CDS=1-912	YAL025C
OG0001654	genemark-scaffold_16-processed-gene-1.73-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.73&CDS=1-2694	YKR009C
OG0001655	genemark-scaffold_16-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.76&CDS=1-534	YGR081C
OG0001656	genemark-scaffold_16-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.78&CDS=1-4608	YAL024C
OG0001657	genemark-scaffold_16-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.79&CDS=1-534	YGR082W
OG0001658	genemark-scaffold_16-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.95&CDS=1-330	YPR094W
OG0001659	genemark-scaffold_16-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.81&CDS=1-2634	YPR095C
OG0001660	genemark-scaffold_16-processed-gene-1.82-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.82&CDS=1-501	YPR098C
OG0001661	genemark-scaffold_16-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.84&CDS=1-1515	YAL038W
OG0001662	genemark-scaffold_16-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.85&CDS=1-1881	YPL263C
OG0001663	genemark-scaffold_16-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.97&CDS=1-957	YPL266W
OG0001664	genemark-scaffold_16-processed-gene-1.98-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.98&CDS=1-1020	YGR080W
OG0001665	genemark-scaffold_16-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.99&CDS=1-189	YPL271W
OG0001666	snap_masked-scaffold_16-processed-gene-1.28-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-1.28&CDS=1-3288	YGL115W
OG0001667	genemark-scaffold_16-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.87&CDS=1-1875	YOR370C
OG0001668	genemark-scaffold_16-processed-gene-1.88-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.88&CDS=1-429	YOR369C
OG0001669	augustus_masked-scaffold_16-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-1.63&CDS=1-4215	YLR425W
OG0001670	genemark-scaffold_16-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.89&CDS=1-1719	YKL191W
OG0001671	genemark-scaffold_16-processed-gene-1.90-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.90&CDS=1-522	YKL190W
OG0001672	genemark-scaffold_16-processed-gene-1.102-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.102&CDS=1-6309	YLR430W
OG0001673	genemark-scaffold_16-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.104&CDS=1-1842	YLR429W
OG0001674	genemark-scaffold_16-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.92&CDS=1-1716	YGL084C
OG0001675	genemark-scaffold_16-processed-gene-1.93-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.93&CDS=1-1713	YMR290C
OG0001676	genemark-scaffold_16-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.131&CDS=1-1083	YBR233W
OG0001677	genemark-scaffold_16-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.132&CDS=1-2070	YGL114W
OG0001678	genemark-scaffold_16-processed-gene-2.159-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.159&CDS=1-426	YPR100W
OG0001679	genemark-scaffold_16-processed-gene-2.160-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.160&CDS=1-2130	YLR127C
OG0001680	augustus_masked-scaffold_16-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.71&CDS=1-738	YLR128W
OG0001681	snap_masked-scaffold_16-processed-gene-2.15-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.15&CDS=1-1806	YDR145W
OG0001682	genemark-scaffold_16-processed-gene-2.162-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.162&CDS=1-1932	YGL086W
OG0001683	genemark-scaffold_16-processed-gene-2.137-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.137&CDS=1-414	YGL087C
OG0001684	genemark-scaffold_16-processed-gene-2.138-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.138&CDS=1-3165	YEL055C
OG0001685	augustus_masked-scaffold_16-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.78&CDS=1-3627	YOR346W
OG0001686	augustus_masked-scaffold_16-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.79&CDS=1-13203	YDR150W
OG0001687	genemark-scaffold_16-processed-gene-2.167-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.167&CDS=1-1095	YLR420W
OG0001688	genemark-scaffold_16-processed-gene-2.143-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.143&CDS=1-516	YML055W
OG0001689	augustus_masked-scaffold_16-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.84&CDS=1-630	YPR067W
OG0001690	genemark-scaffold_16-processed-gene-2.148-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.148&CDS=1-972	YKL128C
OG0001691	genemark-scaffold_16-processed-gene-2.151-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.151&CDS=1-1659	YPL243W
OG0001692	genemark-scaffold_16-processed-gene-2.170-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.170&CDS=1-1584	YEL058W
OG0001693	genemark-scaffold_16-processed-gene-2.171-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.171&CDS=1-2085	YMR186W
OG0001694	genemark-scaffold_16-processed-gene-2.173-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.173&CDS=1-3255	YNL329C
OG0001695	genemark-scaffold_16-processed-gene-2.174-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.174&CDS=1-414	YNL328C
OG0001696	genemark-scaffold_16-processed-gene-2.153-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.153&CDS=1-999	YPL244C
OG0001697	genemark-scaffold_16-processed-gene-2.154-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.154&CDS=1-1425	YMR283C
OG0001698	maker-scaffold_16-snap-gene-2.6-mRNA-1_1&gene=maker-scaffold_16-snap-gene-2.6&CDS=1-1419	YAL049C
OG0001699	genemark-scaffold_16-processed-gene-2.156-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.156&CDS=1-1290	YBR236C
OG0001700	genemark-scaffold_16-processed-gene-2.181-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.181&CDS=1-351	YGR215W
OG0001701	genemark-scaffold_16-processed-gene-2.157-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.157&CDS=1-1509	YGR211W
OG0001702	snap_masked-scaffold_16-processed-gene-2.37-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.37&CDS=1-1629	YNL330C
OG0001703	maker-scaffold_16-snap-gene-2.7-mRNA-1_1&gene=maker-scaffold_16-snap-gene-2.7&CDS=1-1509	YNL326C
OG0001704	genemark-scaffold_17-processed-gene-0.71-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.71&CDS=1-1281	YAL022C
OG0001705	genemark-scaffold_17-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.72&CDS=1-4617	YOR326W
OG0001706	augustus_masked-scaffold_17-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.23&CDS=1-339	YAL044W-A
OG0001707	genemark-scaffold_17-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.73&CDS=1-318	YOR327C
OG0001708	augustus_masked-scaffold_17-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.24&CDS=1-1458	YGL113W
OG0001709	genemark-scaffold_17-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.75&CDS=1-519	YAL044C
OG0001710	maker-scaffold_17-snap-gene-0.70-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.70&CDS=1-1419	YML066C
OG0001711	genemark-scaffold_17-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.96&CDS=1-1314	YLR443W
OG0001712	genemark-scaffold_17-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.97&CDS=1-1710	YKL185W
OG0001713	genemark-scaffold_17-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.80&CDS=1-1041	YBR176W
OG0001714	genemark-scaffold_17-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.82&CDS=1-1560	YLR004C
OG0001715	genemark-scaffold_17-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.99&CDS=1-1422	YDR257C
OG0001716	genemark-scaffold_17-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.84&CDS=1-1692	YOR027W
OG0001717	genemark-scaffold_17-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.85&CDS=1-720	YPL213W
OG0001718	snap_masked-scaffold_17-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.65&CDS=1-606	YKR035W-A
OG0001719	genemark-scaffold_17-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.86&CDS=1-726	YKR037C
OG0001720	maker-scaffold_17-snap-gene-0.69-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.69&CDS=1-1899	YDL035C
OG0001721	genemark-scaffold_17-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.89&CDS=1-1299	YBR029C
OG0001722	genemark-scaffold_17-processed-gene-0.102-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.102&CDS=1-1110	YKR038C
OG0001723	snap_masked-scaffold_17-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.53&CDS=1-1098	YOL110W
OG0001724	genemark-scaffold_17-processed-gene-1.0-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.0&CDS=1-1665	YJL111W
OG0001725	genemark-scaffold_17-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.4&CDS=1-1410	YOL065C
OG0001726	genemark-scaffold_17-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.19&CDS=1-1131	YHL009C
OG0001727	genemark-scaffold_17-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.5&CDS=1-318	YGL030W
OG0001728	snap_masked-scaffold_17-processed-gene-1.70-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.70&CDS=1-2946	YMR287C
OG0001729	genemark-scaffold_17-processed-gene-1.23-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.23&CDS=1-1335	YIL153W
OG0001730	genemark-scaffold_17-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.7&CDS=1-2091	YHR031C
OG0001731	genemark-scaffold_17-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.8&CDS=1-1398	YHR030C
OG0001732	genemark-scaffold_17-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.24&CDS=1-4644	YMR247C
OG0001733	genemark-scaffold_17-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.9&CDS=1-1188	YDR460W
OG0001734	genemark-scaffold_17-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.10&CDS=1-1092	YDR459C
OG0001735	genemark-scaffold_17-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.11&CDS=1-1029	YLR100W
OG0001736	genemark-scaffold_17-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.25&CDS=1-1920	YGL125W
OG0001737	genemark-scaffold_17-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.26&CDS=1-2154	YJR042W
OG0001738	genemark-scaffold_17-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.13&CDS=1-1674	YDR026C
OG0001739	genemark-scaffold_17-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.15&CDS=1-252	YKR095W-A
OG0001740	genemark-scaffold_17-processed-gene-1.32-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.32&CDS=1-1332	YJL155C
OG0001741	snap_masked-scaffold_17-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.65&CDS=1-3732	YJL042W
OG0001742	snap_masked-scaffold_17-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.66&CDS=1-2835	YOR048C
OG0001743	genemark-scaffold_17-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.18&CDS=1-1842	YKL162C
OG0001744	genemark-scaffold_17-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.33&CDS=1-444	YHR051W
OG0001745	genemark-scaffold_17-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.89&CDS=1-744	YKL152C
OG0001746	snap_masked-scaffold_17-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.24&CDS=1-2574	YDR074W
OG0001747	genemark-scaffold_17-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.109&CDS=1-1878	YDR129C
OG0001748	genemark-scaffold_17-processed-gene-2.112-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.112&CDS=1-1188	YKR004C
OG0001749	genemark-scaffold_17-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.115&CDS=1-1758	YKR002W
OG0001750	genemark-scaffold_17-processed-gene-2.116-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.116&CDS=1-2085	YKR001C
OG0001751	genemark-scaffold_17-processed-gene-2.95-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.95&CDS=1-2988	YLR148W
OG0001752	genemark-scaffold_17-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.96&CDS=1-705	YOR125C
OG0001753	genemark-scaffold_17-processed-gene-2.118-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.118&CDS=1-3213	YDL102W
OG0001754	genemark-scaffold_17-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.98&CDS=1-2028	YJL034W
OG0001755	genemark-scaffold_17-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.99&CDS=1-2142	YHR074W
OG0001756	genemark-scaffold_17-processed-gene-2.100-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.100&CDS=1-1917	YMR032W
OG0001757	genemark-scaffold_17-processed-gene-2.101-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.101&CDS=1-681	YPR037C
OG0001758	maker-scaffold_17-snap-gene-2.80-mRNA-1_1&gene=maker-scaffold_17-snap-gene-2.80&CDS=1-306	YJR086W
OG0001759	genemark-scaffold_17-processed-gene-2.120-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.120&CDS=1-972	YMR161W
OG0001760	genemark-scaffold_18-processed-gene-0.80-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.80&CDS=1-1431	YKL088W
OG0001761	genemark-scaffold_18-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.100&CDS=1-570	YDR373W
OG0001762	genemark-scaffold_18-processed-gene-0.81-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.81&CDS=1-1638	YOR002W
OG0001763	genemark-scaffold_18-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.103&CDS=1-1677	YBR200W
OG0001764	genemark-scaffold_18-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.84&CDS=1-1062	YOL064C
OG0001765	snap_masked-scaffold_18-processed-gene-0.60-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.60&CDS=1-1500	YOL125W
OG0001766	genemark-scaffold_18-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.106&CDS=1-501	YKL056C
OG0001767	snap_masked-scaffold_18-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.45&CDS=1-738	YOR319W
OG0001768	maker-scaffold_18-snap-gene-0.120-mRNA-1_1&gene=maker-scaffold_18-snap-gene-0.120&CDS=1-1929	YDL200C
OG0001769	genemark-scaffold_18-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.89&CDS=1-726	YKL055C
OG0001770	maker-scaffold_18-snap-gene-0.121-mRNA-1_1&gene=maker-scaffold_18-snap-gene-0.121&CDS=1-2154	YOL052C
OG0001771	genemark-scaffold_18-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.92&CDS=1-2367	YML035C
OG0001772	snap_masked-scaffold_18-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.66&CDS=1-1365	YOL124C
OG0001773	genemark-scaffold_18-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.94&CDS=1-522	YKL069W
OG0001774	genemark-scaffold_18-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.115&CDS=1-1038	YPL069C
OG0001775	genemark-scaffold_18-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.96&CDS=1-723	YBR201W
OG0001776	genemark-scaffold_18-processed-gene-0.116-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.116&CDS=1-498	YDR462W
OG0001777	genemark-scaffold_18-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.97&CDS=1-1518	YOL123W
OG0001778	snap_masked-scaffold_18-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-0.71&CDS=1-273	YDL045W-A
OG0001779	genemark-scaffold_18-processed-gene-1.14-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.14&CDS=1-756	YDL045C
OG0001780	genemark-scaffold_18-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.16&CDS=1-2343	YDL040C
OG0001781	genemark-scaffold_18-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.18&CDS=1-1533	YDL030W
OG0001782	genemark-scaffold_18-processed-gene-1.57-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.57&CDS=1-6150	YNL297C
OG0001783	snap_masked-scaffold_18-processed-gene-1.157-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.157&CDS=1-3594	YBR023C
OG0001784	genemark-scaffold_18-processed-gene-1.58-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.58&CDS=1-438	YOL071W
OG0001785	genemark-scaffold_18-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.20&CDS=1-1407	YOL069W
OG0001786	genemark-scaffold_18-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.60&CDS=1-1041	YNL289W
OG0001787	genemark-scaffold_18-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.21&CDS=1-630	YOL111C
OG0001788	genemark-scaffold_18-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.22&CDS=1-717	YDL043C
OG0001789	genemark-scaffold_18-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.61&CDS=1-765	YOL067C
OG0001790	snap_masked-scaffold_18-processed-gene-1.204-mRNA-1_1&gene=snap_masked-scaffold_18-processed-gene-1.204&CDS=1-1683	YOL070C
OG0001791	genemark-scaffold_18-processed-gene-1.23-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.23&CDS=1-1920	YOL066C
OG0001792	genemark-scaffold_18-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.24&CDS=1-1338	YBR028C
OG0001793	genemark-scaffold_18-processed-gene-1.25-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.25&CDS=1-525	YBR022W
OG0001794	genemark-scaffold_18-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.26&CDS=1-1002	YNL290W
OG0001795	genemark-scaffold_18-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.27&CDS=1-564	YML036W
OG0001796	genemark-scaffold_18-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.64&CDS=1-1431	YGL028C
OG0001797	genemark-scaffold_18-processed-gene-1.29-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.29&CDS=1-1329	YHR052W
OG0001798	augustus_masked-scaffold_18-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.101&CDS=1-339	YKL160W
OG0001799	genemark-scaffold_18-processed-gene-1.65-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.65&CDS=1-1281	YPL063W
OG0001800	genemark-scaffold_18-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.66&CDS=1-1476	YER041W
OG0001801	genemark-scaffold_18-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.67&CDS=1-2394	YBR142W
OG0001802	genemark-scaffold_18-processed-gene-1.34-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.34&CDS=1-5532	YHR023W
OG0001803	genemark-scaffold_18-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.35&CDS=1-585	YHR026W
OG0001804	genemark-scaffold_18-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.36&CDS=1-2700	YHR027C
OG0001805	genemark-scaffold_18-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.68&CDS=1-708	YKL159C
OG0001806	genemark-scaffold_18-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.69&CDS=1-3273	YMR308C
OG0001807	genemark-scaffold_18-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.70&CDS=1-1068	YHR025W
OG0001808	maker-scaffold_18-snap-gene-1.1-mRNA-1_1&gene=maker-scaffold_18-snap-gene-1.1&CDS=1-3741	YIL147C
OG0001809	genemark-scaffold_18-processed-gene-1.38-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.38&CDS=1-2376	YOL006C
OG0001810	genemark-scaffold_18-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.71&CDS=1-1791	YIL150C
