	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0001345	snap_masked-ipo_s164-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-0.36&CDS=1-1272	YBL091C
OG0001346	snap_masked-ipo_s164-processed-gene-1.106-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.106&CDS=1-1794	YNL048W
OG0001347	snap_masked-ipo_s164-processed-gene-1.107-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.107&CDS=1-2703	YGL137W
OG0001348	snap_masked-ipo_s164-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.112&CDS=1-1482	YKR072C
OG0001349	maker-ipo_s164-augustus-gene-1.1-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.1&CDS=1-1227	YPL048W
OG0001350	maker-ipo_s164-augustus-gene-1.2-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.2&CDS=1-3027	YPL093W
OG0001351	snap_masked-ipo_s164-processed-gene-1.118-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.118&CDS=1-312	YGL080W
OG0001352	snap_masked-ipo_s164-processed-gene-1.119-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.119&CDS=1-699	YIR030C
OG0001353	snap_masked-ipo_s164-processed-gene-1.120-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.120&CDS=1-879	YPL196W
OG0001354	snap_masked-ipo_s164-processed-gene-1.141-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.141&CDS=1-1818	YGL125W
OG0001355	snap_masked-ipo_s164-processed-gene-1.121-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.121&CDS=1-2913	YGR047C
OG0001356	augustus_masked-ipo_s164-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.20&CDS=1-519	YAL033W
OG0001357	snap_masked-ipo_s164-processed-gene-1.124-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.124&CDS=1-1410	YMR283C
OG0001358	snap_masked-ipo_s164-processed-gene-1.125-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.125&CDS=1-762	YHR049W
OG0001359	snap_masked-ipo_s164-processed-gene-1.126-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.126&CDS=1-1611	YBR236C
OG0001360	snap_masked-ipo_s164-processed-gene-1.144-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.144&CDS=1-1275	YOL065C
OG0001361	snap_masked-ipo_s164-processed-gene-1.127-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.127&CDS=1-1551	YDL030W
OG0001362	augustus_masked-ipo_s164-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.26&CDS=1-1776	YOL066C
OG0001363	snap_masked-ipo_s164-processed-gene-1.145-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.145&CDS=1-1554	YNL294C
OG0001364	maker-ipo_s164-augustus-gene-1.3-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-1.3&CDS=1-234	YJL205C
OG0001365	snap_masked-ipo_s164-processed-gene-1.148-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.148&CDS=1-2277	YDL040C
OG0001366	snap_masked-ipo_s164-processed-gene-1.149-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.149&CDS=1-1734	YOR027W
OG0001367	snap_masked-ipo_s164-processed-gene-1.150-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.150&CDS=1-1008	YHL009C
OG0001368	snap_masked-ipo_s164-processed-gene-1.132-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.132&CDS=1-1182	YIL044C
OG0001369	snap_masked-ipo_s164-processed-gene-1.152-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.152&CDS=1-915	YER053C
OG0001370	snap_masked-ipo_s164-processed-gene-1.153-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.153&CDS=1-1434	YLR004C
OG0001371	snap_masked-ipo_s164-processed-gene-1.154-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.154&CDS=1-318	YBL001C
OG0001372	snap_masked-ipo_s164-processed-gene-1.155-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.155&CDS=1-1095	YCR002C
OG0001373	augustus_masked-ipo_s164-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-1.34&CDS=1-2382	YBR035C
OG0001374	snap_masked-ipo_s164-processed-gene-1.159-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-1.159&CDS=1-1365	YPL011C
OG0001375	snap_masked-ipo_s164-processed-gene-2.1-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.1&CDS=1-573	YPL010W
OG0001376	augustus_masked-ipo_s164-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-2.33&CDS=1-1551	YPL020C
OG0001377	snap_masked-ipo_s164-processed-gene-2.3-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.3&CDS=1-2586	YMR302C
OG0001378	snap_masked-ipo_s164-processed-gene-2.4-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.4&CDS=1-1077	YGR028W
OG0001379	snap_masked-ipo_s164-processed-gene-2.5-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.5&CDS=1-2946	YLR336C
OG0001380	snap_masked-ipo_s164-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.20&CDS=1-3693	YFL008W
OG0001381	snap_masked-ipo_s164-processed-gene-2.6-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.6&CDS=1-948	YEL037C
OG0001382	snap_masked-ipo_s164-processed-gene-2.22-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.22&CDS=1-690	YEL038W
OG0001383	snap_masked-ipo_s164-processed-gene-2.8-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.8&CDS=1-1170	YBL010C
OG0001384	snap_masked-ipo_s164-processed-gene-2.9-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.9&CDS=1-1176	YGR012W
OG0001385	snap_masked-ipo_s164-processed-gene-2.25-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.25&CDS=1-1356	YPL112C
OG0001386	snap_masked-ipo_s164-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.26&CDS=1-1296	YDR531W
OG0001387	snap_masked-ipo_s164-processed-gene-2.28-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.28&CDS=1-2490	YJL087C
OG0001388	snap_masked-ipo_s164-processed-gene-2.10-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.10&CDS=1-1812	YJL085W
OG0001389	snap_masked-ipo_s164-processed-gene-2.11-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.11&CDS=1-591	YGL096W
OG0001390	snap_masked-ipo_s164-processed-gene-2.30-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.30&CDS=1-2619	YFL047W
OG0001391	snap_masked-ipo_s164-processed-gene-2.14-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.14&CDS=1-825	YLR284C
OG0001392	snap_masked-ipo_s164-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.15&CDS=1-2265	YHL023C
OG0001393	snap_masked-ipo_s164-processed-gene-2.32-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.32&CDS=1-7296	YHR165C
OG0001394	snap_masked-ipo_s164-processed-gene-2.18-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-2.18&CDS=1-1692	YMR296C
OG0001395	snap_masked-ipo_s164-processed-gene-3.57-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.57&CDS=1-2337	YLR304C
OG0001396	maker-ipo_s164-augustus-gene-3.0-mRNA-1_1&gene=maker-ipo_s164-augustus-gene-3.0&CDS=1-1944	YPR069C
OG0001397	snap_masked-ipo_s164-processed-gene-3.60-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.60&CDS=1-2100	YMR186W
OG0001398	snap_masked-ipo_s164-processed-gene-3.73-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.73&CDS=1-3021	YMR185W
OG0001399	snap_masked-ipo_s164-processed-gene-3.61-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.61&CDS=1-618	YPL239W
OG0001400	snap_masked-ipo_s164-processed-gene-3.62-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.62&CDS=1-819	YPL237W
OG0001401	snap_masked-ipo_s164-processed-gene-3.75-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.75&CDS=1-1062	YPL236C
OG0001402	augustus_masked-ipo_s164-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-ipo_s164-processed-gene-3.39&CDS=1-810	YPL246C
OG0001403	snap_masked-ipo_s164-processed-gene-3.77-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.77&CDS=1-1155	YMR203W
OG0001404	snap_masked-ipo_s164-processed-gene-3.66-mRNA-1_1&gene=snap_masked-ipo_s164-processed-gene-3.66&CDS=1-2832	YMR205C
OG0001405	snap_masked-ipo_s165-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s165-processed-gene-0.5&CDS=1-2496	YHR073W
OG0001406	augustus_masked-ipo_s165-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ipo_s165-processed-gene-0.22&CDS=1-1722	YBR293W
OG0001407	snap_masked-ipo_s166-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.6&CDS=1-1407	YIL096C
OG0001408	snap_masked-ipo_s166-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.17&CDS=1-1425	YIL097W
OG0001409	augustus_masked-ipo_s166-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.56&CDS=1-1551	YOL003C
OG0001410	augustus_masked-ipo_s166-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.46&CDS=1-768	YOR362C
OG0001411	snap_masked-ipo_s166-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.10&CDS=1-2181	YOR361C
OG0001412	snap_masked-ipo_s166-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.19&CDS=1-360	YAL046C
OG0001413	snap_masked-ipo_s166-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.11&CDS=1-1938	YAL048C
OG0001414	snap_masked-ipo_s166-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ipo_s166-processed-gene-0.12&CDS=1-621	YOR294W
OG0001415	augustus_masked-ipo_s166-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ipo_s166-processed-gene-0.51&CDS=1-3819	YOR296W
OG0001416	snap_masked-ipo_s168-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.55&CDS=1-3141	YGR094W
OG0001417	snap_masked-ipo_s168-processed-gene-0.57-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.57&CDS=1-1647	YGR091W
OG0001418	snap_masked-ipo_s168-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.42&CDS=1-711	YGR095C
OG0001419	snap_masked-ipo_s168-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.47&CDS=1-3291	YJR035W
OG0001420	augustus_masked-ipo_s168-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ipo_s168-processed-gene-0.8&CDS=1-987	YML050W
OG0001421	snap_masked-ipo_s168-processed-gene-0.49-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.49&CDS=1-1506	YKL043W
OG0001422	snap_masked-ipo_s168-processed-gene-0.61-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.61&CDS=1-2517	YKL064W
OG0001423	snap_masked-ipo_s169-processed-gene-0.161-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.161&CDS=1-1470	YPL262W
OG0001424	snap_masked-ipo_s169-processed-gene-0.162-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.162&CDS=1-1530	YPL214C
OG0001425	snap_masked-ipo_s169-processed-gene-0.163-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.163&CDS=1-936	YHR134W
OG0001426	snap_masked-ipo_s169-processed-gene-0.167-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.167&CDS=1-1383	YHR111W
OG0001427	snap_masked-ipo_s169-processed-gene-0.168-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.168&CDS=1-1200	YDR363W
OG0001428	snap_masked-ipo_s169-processed-gene-0.204-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.204&CDS=1-624	YBL102W
OG0001429	snap_masked-ipo_s169-processed-gene-0.205-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.205&CDS=1-441	YDL125C
OG0001430	snap_masked-ipo_s169-processed-gene-0.169-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.169&CDS=1-2478	YDL126C
OG0001431	snap_masked-ipo_s169-processed-gene-0.208-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.208&CDS=1-378	YOR122C
OG0001432	snap_masked-ipo_s169-processed-gene-0.210-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.210&CDS=1-714	YPR183W
OG0001433	snap_masked-ipo_s169-processed-gene-0.211-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.211&CDS=1-1983	YDL167C
OG0001434	snap_masked-ipo_s169-processed-gene-0.175-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.175&CDS=1-708	YJR099W
OG0001435	snap_masked-ipo_s169-processed-gene-0.214-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.214&CDS=1-1533	YPR045C
OG0001436	snap_masked-ipo_s169-processed-gene-0.215-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.215&CDS=1-1635	YBR007C
OG0001437	snap_masked-ipo_s169-processed-gene-0.177-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.177&CDS=1-1857	YNL045W
OG0001438	snap_masked-ipo_s169-processed-gene-0.178-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.178&CDS=1-684	YNL044W
OG0001439	genemark-ipo_s169-processed-gene-0.64-mRNA-1_1&gene=genemark-ipo_s169-processed-gene-0.64&CDS=1-186	YJL189W
OG0001440	augustus_masked-ipo_s169-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-ipo_s169-processed-gene-0.104&CDS=1-396	YCR031C
OG0001441	maker-ipo_s169-augustus-gene-0.7-mRNA-1_1&gene=maker-ipo_s169-augustus-gene-0.7&CDS=1-8277	YCR032W
OG0001442	snap_masked-ipo_s169-processed-gene-0.219-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.219&CDS=1-1056	YCR035C
OG0001443	snap_masked-ipo_s169-processed-gene-0.182-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.182&CDS=1-6363	YDL171C
OG0001444	snap_masked-ipo_s169-processed-gene-0.184-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.184&CDS=1-699	YDR262W
OG0001445	maker-ipo_s169-augustus-gene-0.8-mRNA-1_1&gene=maker-ipo_s169-augustus-gene-0.8&CDS=1-1746	YHR108W
OG0001446	snap_masked-ipo_s169-processed-gene-0.185-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.185&CDS=1-324	YDR357C
OG0001447	augustus_masked-ipo_s169-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-ipo_s169-processed-gene-0.143&CDS=1-3138	YDR204W
OG0001448	snap_masked-ipo_s169-processed-gene-0.186-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.186&CDS=1-495	YDR201W
OG0001449	snap_masked-ipo_s169-processed-gene-0.224-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.224&CDS=1-897	YLR239C
OG0001450	snap_masked-ipo_s169-processed-gene-0.189-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.189&CDS=1-1074	YLR246W
OG0001451	snap_masked-ipo_s169-processed-gene-0.190-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.190&CDS=1-4488	YDR180W
OG0001452	snap_masked-ipo_s169-processed-gene-0.227-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.227&CDS=1-801	YDR181C
OG0001453	snap_masked-ipo_s169-processed-gene-0.191-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.191&CDS=1-1314	YDR182W
OG0001454	snap_masked-ipo_s169-processed-gene-0.228-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.228&CDS=1-2481	YLR166C
OG0001455	genemark-ipo_s169-processed-gene-0.75-mRNA-1_1&gene=genemark-ipo_s169-processed-gene-0.75&CDS=1-450	YLR167W
OG0001456	snap_masked-ipo_s169-processed-gene-0.229-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.229&CDS=1-654	YDR183W
OG0001457	snap_masked-ipo_s169-processed-gene-0.193-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.193&CDS=1-1413	YLR163C
OG0001458	snap_masked-ipo_s169-processed-gene-0.233-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.233&CDS=1-1887	YDR176W
OG0001459	snap_masked-ipo_s169-processed-gene-0.234-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.234&CDS=1-918	YDR175C
OG0001460	snap_masked-ipo_s169-processed-gene-0.238-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.238&CDS=1-2349	YBR080C
OG0001461	maker-ipo_s169-augustus-gene-0.6-mRNA-1_1&gene=maker-ipo_s169-augustus-gene-0.6&CDS=1-1368	YDR305C
OG0001462	snap_masked-ipo_s169-processed-gene-0.240-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.240&CDS=1-471	YHR059W
OG0001463	snap_masked-ipo_s169-processed-gene-0.241-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.241&CDS=1-972	YOR142W
OG0001464	snap_masked-ipo_s169-processed-gene-0.242-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.242&CDS=1-2451	YOR141C
OG0001465	snap_masked-ipo_s169-processed-gene-0.197-mRNA-1_1&gene=snap_masked-ipo_s169-processed-gene-0.197&CDS=1-1128	YDR346C
OG0001466	snap_masked-ipo_s17-processed-gene-0.65-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.65&CDS=1-525	YOL129W
OG0001467	snap_masked-ipo_s17-processed-gene-0.83-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.83&CDS=1-1116	YNL307C
OG0001468	snap_masked-ipo_s17-processed-gene-0.66-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.66&CDS=1-654	YNL306W
OG0001469	maker-ipo_s17-snap-gene-0.60-mRNA-1_1&gene=maker-ipo_s17-snap-gene-0.60&CDS=1-420	YOL127W
OG0001470	snap_masked-ipo_s17-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.68&CDS=1-2430	YKR090W
OG0001471	snap_masked-ipo_s17-processed-gene-0.85-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.85&CDS=1-891	YKR088C
OG0001472	augustus_masked-ipo_s17-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ipo_s17-processed-gene-0.9&CDS=1-864	YJL068C
OG0001473	maker-ipo_s17-snap-gene-0.62-mRNA-1_1&gene=maker-ipo_s17-snap-gene-0.62&CDS=1-1017	YLR287C
OG0001474	maker-ipo_s17-snap-gene-0.61-mRNA-1_1&gene=maker-ipo_s17-snap-gene-0.61&CDS=1-1296	YOR181W
OG0001475	snap_masked-ipo_s17-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.89&CDS=1-735	YJL063C
OG0001476	snap_masked-ipo_s17-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.90&CDS=1-192	YLR262C-A
OG0001477	augustus_masked-ipo_s17-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s17-processed-gene-0.15&CDS=1-1047	YBR265W
OG0001478	snap_masked-ipo_s17-processed-gene-0.92-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.92&CDS=1-864	YLR439W
OG0001479	snap_masked-ipo_s17-processed-gene-0.80-mRNA-1_1&gene=snap_masked-ipo_s17-processed-gene-0.80&CDS=1-261	YLR438C-A
OG0001480	augustus_masked-ipo_s17-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ipo_s17-processed-gene-0.18&CDS=1-3042	YML061C
OG0001481	snap_masked-ipo_s170-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s170-processed-gene-0.22&CDS=1-1596	YPR040W
OG0001482	snap_masked-ipo_s170-processed-gene-0.23-mRNA-1_1&gene=snap_masked-ipo_s170-processed-gene-0.23&CDS=1-774	YJR101W
OG0001483	snap_masked-ipo_s170-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s170-processed-gene-0.25&CDS=1-927	YJR088C
OG0001484	snap_masked-ipo_s170-processed-gene-0.34-mRNA-1_1&gene=snap_masked-ipo_s170-processed-gene-0.34&CDS=1-621	YJR102C
OG0001485	maker-ipo_s172-augustus-gene-0.0-mRNA-1_1&gene=maker-ipo_s172-augustus-gene-0.0&CDS=1-4596	YBR097W
OG0001486	snap_masked-ipo_s176-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s176-processed-gene-0.1&CDS=1-1824	YFR051C
OG0001487	snap_masked-ipo_s176-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_s176-processed-gene-0.2&CDS=1-1086	YGL248W
OG0001488	snap_masked-ipo_s176-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s176-processed-gene-0.3&CDS=1-831	YFR050C
OG0001489	snap_masked-ipo_s179-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_s179-processed-gene-0.0&CDS=1-1263	YDR473C
OG0001490	maker-ipo_s18-augustus-gene-0.6-mRNA-1_1&gene=maker-ipo_s18-augustus-gene-0.6&CDS=1-468	YOR357C
OG0001491	snap_masked-ipo_s180-processed-gene-0.51-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.51&CDS=1-2094	YPL072W
OG0001492	snap_masked-ipo_s180-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.42&CDS=1-540	YLR065C
OG0001493	snap_masked-ipo_s180-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.43&CDS=1-192	YAL044W-A
OG0001494	augustus_masked-ipo_s180-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ipo_s180-processed-gene-0.10&CDS=1-4641	YOR326W
OG0001495	snap_masked-ipo_s180-processed-gene-0.54-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.54&CDS=1-1326	YGL164C
OG0001496	snap_masked-ipo_s180-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.46&CDS=1-2523	YGL163C
OG0001497	snap_masked-ipo_s180-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.55&CDS=1-1335	YCR028C
OG0001498	snap_masked-ipo_s180-processed-gene-0.56-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.56&CDS=1-2139	YLR144C
OG0001499	snap_masked-ipo_s180-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.59&CDS=1-1635	YNL189W
OG0001500	snap_masked-ipo_s181-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s181-processed-gene-0.36&CDS=1-897	YLL027W
OG0001501	snap_masked-ipo_s181-processed-gene-0.37-mRNA-1_1&gene=snap_masked-ipo_s181-processed-gene-0.37&CDS=1-2100	YLL029W
OG0001502	snap_masked-ipo_s181-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ipo_s181-processed-gene-0.38&CDS=1-1851	YAR007C
OG0001503	snap_masked-ipo_s181-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ipo_s181-processed-gene-0.39&CDS=1-1203	YGL184C
OG0001504	snap_masked-ipo_s181-processed-gene-0.43-mRNA-1_1&gene=snap_masked-ipo_s181-processed-gene-0.43&CDS=1-933	YNL025C
OG0001505	snap_masked-ipo_s183-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.29&CDS=1-1035	YMR315W
OG0001506	snap_masked-ipo_s183-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.25&CDS=1-2493	YPL190C
OG0001507	snap_masked-ipo_s183-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.30&CDS=1-1647	YDR168W
OG0001508	snap_masked-ipo_s183-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.32&CDS=1-2607	YML097C
OG0001509	snap_masked-ipo_s183-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.33&CDS=1-4623	YCR042C
OG0001510	snap_masked-ipo_s183-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.27&CDS=1-3240	YBL076C
OG0001511	snap_masked-ipo_s183-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ipo_s183-processed-gene-0.36&CDS=1-3039	YPL183C
OG0001512	snap_masked-ipo_s184-processed-gene-0.24-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.24&CDS=1-1125	YFL039C
OG0001513	maker-ipo_s184-augustus-gene-0.43-mRNA-1_1&gene=maker-ipo_s184-augustus-gene-0.43&CDS=1-333	YOR327C
OG0001514	snap_masked-ipo_s184-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.25&CDS=1-507	YAL044C
OG0001515	snap_masked-ipo_s184-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.26&CDS=1-1944	YDL206W
OG0001516	snap_masked-ipo_s184-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.4&CDS=1-1731	YGL084C
OG0001517	augustus_masked-ipo_s184-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-0.110&CDS=1-411	YGL087C
OG0001518	snap_masked-ipo_s184-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.6&CDS=1-2010	YGL086W
OG0001519	snap_masked-ipo_s184-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.29&CDS=1-2604	YBR055C
OG0001520	augustus_masked-ipo_s184-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-0.90&CDS=1-1491	YMR131C
OG0001521	snap_masked-ipo_s184-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.8&CDS=1-1872	YPL263C
