	Saccharomyces_cerevisiae	yHMPu5000035242_Zygoascus_ofunaensis
OG0001394	YGL111W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.95-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.95&CDS=1-1107
OG0001395	YGL112C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.85-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.85&CDS=1-1362
OG0001396	YGL113W	augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-6.110&CDS=1-2013
OG0001397	YGL114W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-10.105-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-10.105&CDS=1-2091
OG0001398	YGL115W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-0.65&CDS=1-987
OG0001399	YGL119W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.73-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.73&CDS=1-1500
OG0001400	YGL122C	genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_15_length_126285_cov_15.6988_ID_15684-processed-gene-0.91&CDS=1-1503
OG0001401	YGL123W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-1.55-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-1.55&CDS=1-756
OG0001402	YGL124C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.117-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.117&CDS=1-1725
OG0001403	YGL125W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-1.73&CDS=1-1854
OG0001404	YGL126W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.6-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.6&CDS=1-900
OG0001405	YGL127C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.3-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.3&CDS=1-441
OG0001406	YGL129C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.254-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.254&CDS=1-1377
OG0001407	YGL130W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.213-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-11.213&CDS=1-1218
OG0001408	YGL131C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.81-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.81&CDS=1-4143
OG0001409	YGL136C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.52-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-11.52&CDS=1-1089
OG0001410	YGL137W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.61-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.61&CDS=1-2679
OG0001411	YGL140C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.24&CDS=1-3393
OG0001412	YGL141W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.96&CDS=1-3231
OG0001413	YGL142C	genemark-NODE_21_length_61256_cov_15.1426_ID_4849-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_21_length_61256_cov_15.1426_ID_4849-processed-gene-0.97&CDS=1-1506
OG0001414	YGL143C	genemark-NODE_21_length_61256_cov_15.1426_ID_4849-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_21_length_61256_cov_15.1426_ID_4849-processed-gene-0.81&CDS=1-1215
OG0001415	YGL148W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.65-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.65&CDS=1-1131
OG0001416	YGL150C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.24-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.24&CDS=1-4299
OG0001417	YGL151W	augustus_masked-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.55&CDS=1-2928
OG0001418	YGL153W	genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.68&CDS=1-1008
OG0001419	YGL154C	augustus_masked-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-0.50&CDS=1-786
OG0001420	YGL155W	augustus_masked-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.49&CDS=1-1119
OG0001421	YGL161C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.99-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.99&CDS=1-951
OG0001422	YGL164C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.45-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.45&CDS=1-1896
OG0001423	YGL166W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.10-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.10&CDS=1-1503
OG0001424	YGL167C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.23&CDS=1-2886
OG0001425	YGL169W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.26&CDS=1-1173
OG0001426	YGL171W	genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.136&CDS=1-1680
OG0001427	YGL173C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.20&CDS=1-4476
OG0001428	YGL174W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.2&CDS=1-939
OG0001429	YGL180W	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.34&CDS=1-2535
OG0001430	YGL184C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.19-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.19&CDS=1-1242
OG0001431	YGL187C	maker-NODE_4_length_1142970_cov_18.2532_ID_14703-snap-gene-7.6-mRNA-1_1&gene=maker-NODE_4_length_1142970_cov_18.2532_ID_14703-snap-gene-7.6&CDS=1-912
OG0001432	YGL190C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.105-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.105&CDS=1-1449
OG0001433	YGL191W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.130-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.130&CDS=1-423
OG0001434	YGL192W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-7.9-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-7.9&CDS=1-1572
OG0001435	YGL194C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.123-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.123&CDS=1-1317
OG0001436	YGL195W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.43-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-3.43&CDS=1-7776
OG0001437	YGL196W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.12-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-7.12&CDS=1-1218
OG0001438	YGL198W	genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.62-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-5.62&CDS=1-762
OG0001439	YGL200C	augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.37-mRNA-1_1&gene=augustus_masked-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.37&CDS=1-615
OG0001440	YGL201C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.41&CDS=1-2826
OG0001441	YGL202W	maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-10.9-mRNA-1_1&gene=maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-10.9&CDS=1-1278
OG0001442	YGL203C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.37-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.37&CDS=1-1851
OG0001443	YGL205W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.62-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.62&CDS=1-2160
OG0001444	YGL206C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.107-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-6.107&CDS=1-4986
OG0001445	YGL207W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.66-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.66&CDS=1-3051
OG0001446	YGL211W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.28-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.28&CDS=1-1053
OG0001447	YGL212W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-5.139-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-5.139&CDS=1-975
OG0001448	YGL213C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-5.122-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-5.122&CDS=1-978
OG0001449	YGL215W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.68-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.68&CDS=1-1671
OG0001450	YGL216W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.91-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.91&CDS=1-2082
OG0001451	YGL220W	maker-NODE_9_length_628899_cov_14.4483_ID_3702-augustus-gene-4.93-mRNA-1_1&gene=maker-NODE_9_length_628899_cov_14.4483_ID_3702-augustus-gene-4.93&CDS=1-288
OG0001452	YGL221C	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.73-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.73&CDS=1-873
OG0001453	YGL224C	augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-3.56&CDS=1-729
OG0001454	YGL225W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.52-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.52&CDS=1-984
OG0001455	YGL231C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.72-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.72&CDS=1-543
OG0001456	YGL232W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.96-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-12.96&CDS=1-891
OG0001457	YGL233W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.33-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.33&CDS=1-2457
OG0001458	YGL234W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.69-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.69&CDS=1-2382
OG0001459	YGL236C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.25-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.25&CDS=1-2016
OG0001460	YGL237C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.53&CDS=1-558
OG0001461	YGL238W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.14&CDS=1-2874
OG0001462	YGL240W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.13&CDS=1-651
OG0001463	YGL241W	augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.77&CDS=1-3012
OG0001464	YGL242C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.40-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.40&CDS=1-582
OG0001465	YGL243W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.25-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.25&CDS=1-1203
OG0001466	YGL244W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.41-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.41&CDS=1-1737
OG0001467	YGL245W	maker-NODE_3_length_1287627_cov_16.8742_ID_4528-augustus-gene-5.139-mRNA-1_1&gene=maker-NODE_3_length_1287627_cov_16.8742_ID_4528-augustus-gene-5.139&CDS=1-2892
OG0001468	YGL246C	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.127-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.127&CDS=1-1140
OG0001469	YGL247W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.113-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-7.113&CDS=1-1875
OG0001470	YGL248W	maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-3.157-mRNA-1_1&gene=maker-NODE_3_length_1287627_cov_16.8742_ID_4528-snap-gene-3.157&CDS=1-1056
OG0001471	YGL253W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.65&CDS=1-1461
OG0001472	YGL255W	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-0.7&CDS=1-1191
OG0001473	YGL256W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-0.57&CDS=1-1467
OG0001474	YGR001C	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.31-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.31&CDS=1-756
OG0001475	YGR002C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.35-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.35&CDS=1-1548
OG0001476	YGR003W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-7.10-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-7.10&CDS=1-2361
OG0001477	YGR005C	augustus_masked-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.48&CDS=1-1266
OG0001478	YGR006W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.58-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.58&CDS=1-1071
OG0001479	YGR007W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.61-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.61&CDS=1-1206
OG0001480	YGR009C	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.68-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.68&CDS=1-1350
OG0001481	YGR012W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.75&CDS=1-1179
OG0001482	YGR014W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.72&CDS=1-3930
OG0001483	YGR017W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.10-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.10&CDS=1-672
OG0001484	YGR019W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.12-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.12&CDS=1-1488
OG0001485	YGR020C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.110-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.110&CDS=1-363
OG0001486	YGR024C	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.5-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-2.5&CDS=1-801
OG0001487	YGR028W	augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.38&CDS=1-1701
OG0001488	YGR031W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.117-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-3.117&CDS=1-1020
OG0001489	YGR033C	genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.18-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-2.18&CDS=1-801
OG0001490	YGR036C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.69-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.69&CDS=1-663
OG0001491	YGR037C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.54-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.54&CDS=1-261
OG0001492	YGR046W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.29-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.29&CDS=1-1272
OG0001493	YGR047C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.23&CDS=1-2946
OG0001494	YGR048W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.7-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-2.7&CDS=1-1146
OG0001495	YGR053C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-0.48&CDS=1-741
OG0001496	YGR054W	augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-4.56&CDS=1-3483
OG0001497	YGR055W	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.79-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.79&CDS=1-1569
OG0001498	YGR057C	augustus_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-0.63&CDS=1-849
OG0001499	YGR061C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.14-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.14&CDS=1-4008
OG0001500	YGR062C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.31-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.31&CDS=1-969
OG0001501	YGR063C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.8-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-3.8&CDS=1-330
OG0001502	YGR066C	genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.114-mRNA-1_1&gene=genemark-NODE_12_length_359950_cov_18.0805_ID_3893-processed-gene-2.114&CDS=1-882
OG0001503	YGR074W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.14-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.14&CDS=1-351
OG0001504	YGR076C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.17-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.17&CDS=1-537
OG0001505	YGR078C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-14.136-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-14.136&CDS=1-555
OG0001506	YGR080W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.31-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.31&CDS=1-1089
OG0001507	YGR081C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.26-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-3.26&CDS=1-522
OG0001508	YGR082W	genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.5-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-2.5&CDS=1-513
OG0001509	YGR083C	genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.91-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-5.91&CDS=1-1389
OG0001510	YGR086C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.26&CDS=1-900
OG0001511	YGR089W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.86-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-7.86&CDS=1-2574
OG0001512	YGR090W	genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.18-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-2.18&CDS=1-3465
OG0001513	YGR091W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.20-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-8.20&CDS=1-1659
OG0001514	YGR093W	augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.2&CDS=1-1512
OG0001515	YGR094W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.53-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.53&CDS=1-3177
OG0001516	YGR095C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.72-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.72&CDS=1-675
OG0001517	YGR096W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.54-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-8.54&CDS=1-954
