	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
OG0002178	maker-NABA0S25-augustus-gene-0.1-mRNA-1_1&gene=maker-NABA0S25-augustus-gene-0.1&CDS=1-4257	YOL139C
OG0002179	augustus_masked-NABA0S25-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.80&CDS=1-1464	YOL137W
OG0002180	augustus_masked-NABA0S25-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.92&CDS=1-1107	YOL136C
OG0002181	genemark-NABA0S25-processed-gene-0.26-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-0.26&CDS=1-630	YOL135C
OG0002182	genemark-NABA0S25-processed-gene-0.12-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-0.12&CDS=1-354	YOL133W
OG0002183	augustus_masked-NABA0S25-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.93&CDS=1-2706	YNL313C
OG0002184	augustus_masked-NABA0S25-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.96&CDS=1-1374	YOL132W
OG0002185	augustus_masked-NABA0S25-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.82&CDS=1-534	YOL129W
OG0002186	augustus_masked-NABA0S25-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.98&CDS=1-1116	YOL126C
OG0002187	augustus_masked-NABA0S25-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.83&CDS=1-1401	YOL125W
OG0002188	augustus_masked-NABA0S25-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.99&CDS=1-1299	YOL124C
OG0002189	augustus_masked-NABA0S25-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.100&CDS=1-1641	YOL122C
OG0002190	augustus_masked-NABA0S25-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.102&CDS=1-1545	YOL119C
OG0002191	augustus_masked-NABA0S25-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.103&CDS=1-552	YOL114C
OG0002192	augustus_masked-NABA0S25-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.81&CDS=1-630	YOL111C
OG0002193	augustus_masked-NABA0S25-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.80&CDS=1-876	YOL110W
OG0002194	genemark-NABA0S25-processed-gene-1.42-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-1.42&CDS=1-453	YNL052W
OG0002195	maker-NABA0S25-augustus-gene-1.2-mRNA-1_1&gene=maker-NABA0S25-augustus-gene-1.2&CDS=1-3351	YIL112W
OG0002196	augustus_masked-NABA0S25-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.83&CDS=1-3963	YIL115C
OG0002197	snap_masked-NABA0S25-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-1.24&CDS=1-699	YIL118W
OG0002198	augustus_masked-NABA0S25-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.94&CDS=1-882	YIL124W
OG0002199	augustus_masked-NABA0S25-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.95&CDS=1-3072	YIL125W
OG0002200	augustus_masked-NABA0S25-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.84&CDS=1-639	YIL127C
OG0002201	genemark-NABA0S25-processed-gene-1.63-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-1.63&CDS=1-3069	YIL128W
OG0002202	augustus_masked-NABA0S25-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.85&CDS=1-7362	YIL129C
OG0002203	augustus_masked-NABA0S25-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.99&CDS=1-2505	YIL130W
OG0002204	snap_masked-NABA0S25-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-1.15&CDS=1-642	YIL132C
OG0002205	genemark-NABA0S25-processed-gene-1.65-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-1.65&CDS=1-948	YIL134W
OG0002206	snap_masked-NABA0S25-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-1.16&CDS=1-1239	YIL135C
OG0002207	augustus_masked-NABA0S25-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.100&CDS=1-1359	YIL136W
OG0002208	augustus_masked-NABA0S25-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.87&CDS=1-5958	YEL061C
OG0002209	augustus_masked-NABA0S25-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.101&CDS=1-1971	YEL062W
OG0002210	augustus_masked-NABA0S25-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.102&CDS=1-1896	YEL065W
OG0002211	augustus_masked-NABA0S25-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.88&CDS=1-2100	YML006C
OG0002212	augustus_masked-NABA0S25-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.104&CDS=1-1713	YML007W
OG0002213	augustus_masked-NABA0S25-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.89&CDS=1-1167	YML008C
OG0002214	augustus_masked-NABA0S25-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.105&CDS=1-858	YDR429C
OG0002215	snap_masked-NABA0S25-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-1.21&CDS=1-210	YML009C
OG0002216	augustus_masked-NABA0S25-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.106&CDS=1-3075	YML010W
OG0002217	genemark-NABA0S25-processed-gene-1.54-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-1.54&CDS=1-558	YML011C
OG0002218	augustus_masked-NABA0S25-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.91&CDS=1-1230	YDR432W
OG0002219	snap_masked-NABA0S25-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.49&CDS=1-1974	YML013W
OG0002220	genemark-NABA0S25-processed-gene-2.6-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.6&CDS=1-825	YML014W
OG0002221	genemark-NABA0S25-processed-gene-2.2-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.2&CDS=1-1062	YML015C
OG0002222	augustus_masked-NABA0S25-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.95&CDS=1-1158	YML018C
OG0002223	augustus_masked-NABA0S25-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.97&CDS=1-978	YML019W
OG0002224	augustus_masked-NABA0S25-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.98&CDS=1-2031	YML020W
OG0002225	augustus_masked-NABA0S25-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.99&CDS=1-1032	YML021C
OG0002226	augustus_masked-NABA0S25-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.118&CDS=1-561	YML022W
OG0002227	augustus_masked-NABA0S25-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.100&CDS=1-1713	YML023C
OG0002228	augustus_masked-NABA0S25-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.101&CDS=1-861	YML025C
OG0002229	snap_masked-NABA0S25-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.77&CDS=1-3258	YML029W
OG0002230	snap_masked-NABA0S25-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.78&CDS=1-441	YML030W
OG0002231	augustus_masked-NABA0S25-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.103&CDS=1-1890	YDR456W
OG0002232	augustus_masked-NABA0S25-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.122&CDS=1-1938	YML031W
OG0002233	augustus_masked-NABA0S25-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.104&CDS=1-1545	YML032C
OG0002234	snap_masked-NABA0S25-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.80&CDS=1-2493	YML034W
OG0002235	augustus_masked-NABA0S25-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.105&CDS=1-2205	YML035C
OG0002236	augustus_masked-NABA0S25-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.124&CDS=1-552	YML036W
OG0002237	augustus_masked-NABA0S25-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.106&CDS=1-1287	YML037C
OG0002238	maker-NABA0S25-snap-gene-2.135-mRNA-1_1&gene=maker-NABA0S25-snap-gene-2.135&CDS=1-1557	YML038C
OG0002239	augustus_masked-NABA0S25-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.125&CDS=1-1593	YHR007C
OG0002240	augustus_masked-NABA0S25-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.126&CDS=1-693	YHR008C
OG0002241	augustus_masked-NABA0S25-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.127&CDS=1-1458	YHR009C
OG0002242	augustus_masked-NABA0S25-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.109&CDS=1-1725	YHR011W
OG0002243	augustus_masked-NABA0S25-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.110&CDS=1-921	YHR012W
OG0002244	augustus_masked-NABA0S25-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.128&CDS=1-708	YHR013C
OG0002245	augustus_masked-NABA0S25-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.112&CDS=1-1236	YOL052C
OG0002246	snap_masked-NABA0S25-processed-gene-2.67-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.67&CDS=1-1776	YMR250W
OG0002247	genemark-NABA0S25-processed-gene-2.38-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.38&CDS=1-507	YMR252C
OG0002248	snap_masked-NABA0S25-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.87&CDS=1-186	YMR256C
OG0002249	snap_masked-NABA0S25-processed-gene-2.88-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-2.88&CDS=1-2460	YMR257C
OG0002250	genemark-NABA0S25-processed-gene-2.41-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.41&CDS=1-1647	YMR258C
OG0002251	augustus_masked-NABA0S25-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.131&CDS=1-4233	YMR259C
OG0002252	augustus_masked-NABA0S25-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.132&CDS=1-459	YMR260C
OG0002253	augustus_masked-NABA0S25-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.115&CDS=1-1008	YMR262W
OG0002254	augustus_masked-NABA0S25-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.116&CDS=1-564	YMR263W
OG0002255	augustus_masked-NABA0S25-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-2.117&CDS=1-606	YMR264W
OG0002256	augustus_masked-NABA0S25-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.3&CDS=1-2373	YNL161W
OG0002257	augustus_masked-NABA0S25-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.0&CDS=1-3357	YNL163C
OG0002258	augustus_masked-NABA0S25-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.1&CDS=1-900	YNL164C
OG0002259	augustus_masked-NABA0S25-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.4&CDS=1-1215	YNL165W
OG0002260	augustus_masked-NABA0S25-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.2&CDS=1-1401	YNL166C
OG0002261	augustus_masked-NABA0S25-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.5&CDS=1-1809	YNL167C
OG0002262	augustus_masked-NABA0S25-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.6&CDS=1-789	YNL168C
OG0002263	augustus_masked-NABA0S25-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.7&CDS=1-1488	YNL169C
OG0002264	augustus_masked-NABA0S25-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.32&CDS=1-5037	YNL172W
OG0002265	augustus_masked-NABA0S25-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.8&CDS=1-3660	YPR026W
OG0002266	augustus_masked-NABA0S25-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.11&CDS=1-543	YPR028W
OG0002267	augustus_masked-NABA0S25-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.33&CDS=1-2460	YPR029C
OG0002268	augustus_masked-NABA0S25-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.13&CDS=1-2253	YPR031W
OG0002269	augustus_masked-NABA0S25-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.14&CDS=1-3027	YBL106C
OG0002270	augustus_masked-NABA0S25-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.34&CDS=1-1563	YPR033C
OG0002271	augustus_masked-NABA0S25-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.15&CDS=1-1545	YPR034W
OG0002272	augustus_masked-NABA0S25-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.16&CDS=1-1110	YPR035W
OG0002273	augustus_masked-NABA0S25-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.17&CDS=1-1437	YPR036W
OG0002274	augustus_masked-NABA0S25-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.35&CDS=1-729	YPR037C
OG0002275	augustus_masked-NABA0S25-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.19&CDS=1-1203	YPR040W
OG0002276	augustus_masked-NABA0S25-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.20&CDS=1-1221	YPR041W
OG0002277	augustus_masked-NABA0S25-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.37&CDS=1-1155	YPR045C
OG0002278	augustus_masked-NABA0S25-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.23&CDS=1-540	YPR046W
OG0002279	maker-NABA0S25-augustus-gene-3.45-mRNA-1_1&gene=maker-NABA0S25-augustus-gene-3.45&CDS=1-3303	YPR048W
OG0002280	augustus_masked-NABA0S25-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.38&CDS=1-3630	YPR049C
OG0002281	genemark-NABA0S25-processed-gene-3.116-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-3.116&CDS=1-516	YPR051W
OG0002282	augustus_masked-NABA0S25-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.26&CDS=1-2301	YBR094W
OG0002283	augustus_masked-NABA0S25-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.40&CDS=1-1176	YBR095C
OG0002284	augustus_masked-NABA0S25-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.27&CDS=1-699	YBR096W
OG0002285	augustus_masked-NABA0S25-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.28&CDS=1-4278	YBR097W
OG0002286	augustus_masked-NABA0S25-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.29&CDS=1-1959	YBR098W
OG0002287	augustus_masked-NABA0S25-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.41&CDS=1-867	YBR101C
OG0002288	augustus_masked-NABA0S25-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.42&CDS=1-2184	YBR102C
OG0002289	augustus_masked-NABA0S25-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-3.30&CDS=1-1710	YBR103W
OG0002290	maker-NABA0S25-snap-gene-4.1-mRNA-1_1&gene=maker-NABA0S25-snap-gene-4.1&CDS=1-1200	YBR105C
OG0002291	augustus_masked-NABA0S25-processed-gene-4.2-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.2&CDS=1-561	YBR106W
OG0002292	snap_masked-NABA0S25-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-4.40&CDS=1-819	YBR107C
OG0002293	maker-NABA0S25-snap-gene-4.0-mRNA-1_1&gene=maker-NABA0S25-snap-gene-4.0&CDS=1-2559	YBR108W
OG0002294	augustus_masked-NABA0S25-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.7&CDS=1-441	YBR109C
OG0002295	augustus_masked-NABA0S25-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.4&CDS=1-1278	YBR110W
OG0002296	augustus_masked-NABA0S25-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.24&CDS=1-636	YBR111C
OG0002297	augustus_masked-NABA0S25-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.8&CDS=1-285	YBR111W-A
OG0002298	augustus_masked-NABA0S25-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.9&CDS=1-2391	YBR114W
OG0002299	augustus_masked-NABA0S25-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.26&CDS=1-4167	YBR115C
OG0002300	augustus_masked-NABA0S25-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.27&CDS=1-474	YBR120C
OG0002301	augustus_masked-NABA0S25-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.28&CDS=1-1977	YBR121C
OG0002302	genemark-NABA0S25-processed-gene-4.104-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.104&CDS=1-618	YBR122C
OG0002303	genemark-NABA0S25-processed-gene-4.105-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.105&CDS=1-1854	YBR123C
OG0002304	genemark-NABA0S25-processed-gene-4.106-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.106&CDS=1-1341	YBR125C
OG0002305	genemark-NABA0S25-processed-gene-4.107-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.107&CDS=1-1548	YBR127C
OG0002306	snap_masked-NABA0S25-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-4.68&CDS=1-1005	YBR128C
OG0002307	genemark-NABA0S25-processed-gene-4.109-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.109&CDS=1-936	YBR129C
OG0002308	augustus_masked-NABA0S25-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.10&CDS=1-2187	YBR131W
OG0002309	augustus_masked-NABA0S25-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.30&CDS=1-1818	YBR132C
OG0002310	augustus_masked-NABA0S25-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.31&CDS=1-2508	YBR133C
OG0002311	augustus_masked-NABA0S25-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.11&CDS=1-423	YBR135W
OG0002312	genemark-NABA0S25-processed-gene-4.87-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-4.87&CDS=1-7842	YBR136W
OG0002313	augustus_masked-NABA0S25-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.32&CDS=1-1527	YBR138C
OG0002314	augustus_masked-NABA0S25-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.13&CDS=1-894	YOL077C
OG0002315	augustus_masked-NABA0S25-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.14&CDS=1-1461	YBR139W
OG0002316	snap_masked-NABA0S25-processed-gene-4.75-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-4.75&CDS=1-1026	YBR141C
OG0002317	augustus_masked-NABA0S25-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.15&CDS=1-2274	YBR142W
OG0002318	augustus_masked-NABA0S25-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.34&CDS=1-1314	YBR143C
OG0002319	augustus_masked-NABA0S25-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.17&CDS=1-876	YBR146W
OG0002320	augustus_masked-NABA0S25-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.19&CDS=1-903	YBR151W
OG0002321	augustus_masked-NABA0S25-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.21&CDS=1-747	YBR153W
OG0002322	augustus_masked-NABA0S25-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.22&CDS=1-1866	YDR484W
OG0002323	augustus_masked-NABA0S25-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.35&CDS=1-2172	YDR485C
OG0002324	augustus_masked-NABA0S25-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.36&CDS=1-693	YDR486C
OG0002325	augustus_masked-NABA0S25-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.23&CDS=1-912	YDR489W
OG0002326	snap_masked-NABA0S25-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.43&CDS=1-1002	YDR492W
OG0002327	genemark-NABA0S25-processed-gene-5.86-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-5.86&CDS=1-342	YDR493W
OG0002328	snap_masked-NABA0S25-processed-gene-5.45-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.45&CDS=1-1098	YDR494W
OG0002329	snap_masked-NABA0S25-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.47&CDS=1-2730	YDR495C
OG0002330	augustus_masked-NABA0S25-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.24&CDS=1-1977	YDR496C
OG0002331	snap_masked-NABA0S25-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.69&CDS=1-1143	YDR498C
OG0002332	augustus_masked-NABA0S25-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.5&CDS=1-1311	YNL280C
OG0002333	augustus_masked-NABA0S25-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.27&CDS=1-438	YNL281W
OG0002334	augustus_masked-NABA0S25-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.28&CDS=1-639	YNL282W
OG0002335	augustus_masked-NABA0S25-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.7&CDS=1-870	YNL284C
OG0002336	augustus_masked-NABA0S25-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.29&CDS=1-1551	YGR123C
OG0002337	augustus_masked-NABA0S25-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.8&CDS=1-1722	YPR145W
OG0002338	augustus_masked-NABA0S25-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.9&CDS=1-3165	YGR125W
OG0002339	augustus_masked-NABA0S25-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.10&CDS=1-705	YGR126W
OG0002340	augustus_masked-NABA0S25-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.11&CDS=1-942	YGR127W
OG0002341	augustus_masked-NABA0S25-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.30&CDS=1-1971	YGR128C
OG0002342	snap_masked-NABA0S25-processed-gene-5.54-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.54&CDS=1-582	YGR129W
OG0002343	augustus_masked-NABA0S25-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.31&CDS=1-2169	YGR130C
OG0002344	augustus_masked-NABA0S25-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.32&CDS=1-906	YGR132C
OG0002345	augustus_masked-NABA0S25-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.14&CDS=1-513	YGR133W
OG0002346	snap_masked-NABA0S25-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.57&CDS=1-3390	YGR134W
OG0002347	augustus_masked-NABA0S25-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.16&CDS=1-771	YGR135W
OG0002348	snap_masked-NABA0S25-processed-gene-5.60-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-5.60&CDS=1-2769	YGR140W
OG0002349	genemark-NABA0S25-processed-gene-5.104-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-5.104&CDS=1-1359	YGR141W
OG0002350	augustus_masked-NABA0S25-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.21&CDS=1-2991	YGL201C
OG0002351	augustus_masked-NABA0S25-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.34&CDS=1-1506	YGL202W
OG0002352	augustus_masked-NABA0S25-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-5.22&CDS=1-2238	YGL203C
