	Saccharomyces_arboricola	Saccharomyces_cerevisiae
OG0002379	genemark-NC_026181.1-processed-gene-1.80-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.80&CDS=1-639	YKL144C
OG0002380	genemark-NC_026181.1-processed-gene-1.61-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.61&CDS=1-1386	YKL143W
OG0002381	genemark-NC_026181.1-processed-gene-1.62-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.62&CDS=1-657	YKL142W
OG0002382	genemark-NC_026181.1-processed-gene-1.63-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.63&CDS=1-594	YKL141W
OG0002383	genemark-NC_026181.1-processed-gene-1.64-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.64&CDS=1-1536	YKL140W
OG0002384	genemark-NC_026181.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.65&CDS=1-1551	YKL139W
OG0002385	snap_masked-NC_026181.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-1.36&CDS=1-204	YKL138C-A
OG0002386	genemark-NC_026181.1-processed-gene-1.81-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.81&CDS=1-393	YKL138C
OG0002387	genemark-NC_026181.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.66&CDS=1-333	YKL137W
OG0002388	genemark-NC_026181.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.82&CDS=1-2178	YKL135C
OG0002389	maker-NC_026181.1-augustus-gene-1.110-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-1.110&CDS=1-3519	YKL134C
OG0002390	snap_masked-NC_026181.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-1.40&CDS=1-1284	YKL132C
OG0002391	genemark-NC_026181.1-processed-gene-1.85-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.85&CDS=1-738	YKL130C
OG0002392	genemark-NC_026181.1-processed-gene-1.87-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-1.87&CDS=1-885	YKL128C
OG0002393	genemark-NC_026181.1-processed-gene-2.1-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.1&CDS=1-2040	YKL126W
OG0002394	genemark-NC_026181.1-processed-gene-2.2-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.2&CDS=1-1878	YKL125W
OG0002395	genemark-NC_026181.1-processed-gene-2.3-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.3&CDS=1-1776	YKL124W
OG0002396	genemark-NC_026181.1-processed-gene-2.4-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.4&CDS=1-555	YKL122C
OG0002397	genemark-NC_026181.1-processed-gene-2.5-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.5&CDS=1-2556	YKL121W
OG0002398	genemark-NC_026181.1-processed-gene-2.6-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.6&CDS=1-972	YKL120W
OG0002399	genemark-NC_026181.1-processed-gene-2.30-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.30&CDS=1-645	YKL119C
OG0002400	snap_masked-NC_026181.1-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.94&CDS=1-786	YKL117W
OG0002401	genemark-NC_026181.1-processed-gene-2.31-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.31&CDS=1-1551	YKL116C
OG0002402	genemark-NC_026181.1-processed-gene-2.32-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.32&CDS=1-1095	YKL114C
OG0002403	genemark-NC_026181.1-processed-gene-2.33-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.33&CDS=1-1146	YKL113C
OG0002404	genemark-NC_026181.1-processed-gene-2.8-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.8&CDS=1-2229	YKL112W
OG0002405	genemark-NC_026181.1-processed-gene-2.34-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.34&CDS=1-939	YKL110C
OG0002406	snap_masked-NC_026181.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.97&CDS=1-3006	YKL108W
OG0002407	genemark-NC_026181.1-processed-gene-2.10-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.10&CDS=1-930	YKL107W
OG0002408	genemark-NC_026181.1-processed-gene-2.11-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.11&CDS=1-1353	YKL106W
OG0002409	genemark-NC_026181.1-processed-gene-2.35-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.35&CDS=1-3285	YKL105C
OG0002410	genemark-NC_026181.1-processed-gene-2.37-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.37&CDS=1-1542	YKL103C
OG0002411	genemark-NC_026181.1-processed-gene-2.12-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.12&CDS=1-4560	YKL101W
OG0002412	augustus_masked-NC_026181.1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-2.82&CDS=1-2484	YKL100C
OG0002413	genemark-NC_026181.1-processed-gene-2.13-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.13&CDS=1-1053	YKL098W
OG0002414	snap_masked-NC_026181.1-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.103&CDS=1-294	YKL096W-A
OG0002415	genemark-NC_026181.1-processed-gene-2.15-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.15&CDS=1-726	YKL096W
OG0002416	genemark-NC_026181.1-processed-gene-2.16-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.16&CDS=1-837	YKL095W
OG0002417	genemark-NC_026181.1-processed-gene-2.17-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.17&CDS=1-1056	YKL094W
OG0002418	genemark-NC_026181.1-processed-gene-2.18-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.18&CDS=1-1014	YKL093W
OG0002419	maker-NC_026181.1-augustus-gene-2.51-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-2.51&CDS=1-4266	YKL092C
OG0002420	snap_masked-NC_026181.1-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.108&CDS=1-3012	YKL089W
OG0002421	genemark-NC_026181.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.20&CDS=1-1722	YKL088W
OG0002422	genemark-NC_026181.1-processed-gene-2.42-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.42&CDS=1-678	YKL087C
OG0002423	genemark-NC_026181.1-processed-gene-2.21-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.21&CDS=1-381	YKL086W
OG0002424	genemark-NC_026181.1-processed-gene-2.22-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.22&CDS=1-1002	YKL085W
OG0002425	snap_masked-NC_026181.1-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.112&CDS=1-348	YKL084W
OG0002426	genemark-NC_026181.1-processed-gene-2.43-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.43&CDS=1-1338	YKL082C
OG0002427	snap_masked-NC_026181.1-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.114&CDS=1-3156	YKL079W
OG0002428	augustus_masked-NC_026181.1-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-2.72&CDS=1-3342	YKL078W
OG0002429	snap_masked-NC_026181.1-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-2.130&CDS=1-2871	YKL075C
OG0002430	genemark-NC_026181.1-processed-gene-2.29-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-2.29&CDS=1-2643	YKL073W
OG0002431	genemark-NC_026181.1-processed-gene-3.86-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.86&CDS=1-2322	YKL072W
OG0002432	snap_masked-NC_026181.1-processed-gene-3.1-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-3.1&CDS=1-549	YKL069W
OG0002433	snap_masked-NC_026181.1-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-3.2&CDS=1-240	YKL068W-A
OG0002434	genemark-NC_026181.1-processed-gene-3.88-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.88&CDS=1-2967	YKL068W
OG0002435	genemark-NC_026181.1-processed-gene-3.89-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.89&CDS=1-459	YKL067W
OG0002436	snap_masked-NC_026181.1-processed-gene-3.5-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-3.5&CDS=1-219	YKL065W-A
OG0002437	genemark-NC_026181.1-processed-gene-3.111-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.111&CDS=1-621	YKL065C
OG0002438	maker-NC_026181.1-snap-gene-3.138-mRNA-1_1&gene=maker-NC_026181.1-snap-gene-3.138&CDS=1-2904	YKL064W
OG0002439	genemark-NC_026181.1-processed-gene-3.112-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.112&CDS=1-507	YKL063C
OG0002440	genemark-NC_026181.1-processed-gene-3.92-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.92&CDS=1-1941	YKL062W
OG0002441	genemark-NC_026181.1-processed-gene-3.93-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.93&CDS=1-339	YKL061W
OG0002442	genemark-NC_026181.1-processed-gene-3.113-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.113&CDS=1-1077	YKL060C
OG0002443	genemark-NC_026181.1-processed-gene-3.114-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.114&CDS=1-1323	YKL059C
OG0002444	genemark-NC_026181.1-processed-gene-3.94-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.94&CDS=1-366	YKL058W
OG0002445	genemark-NC_026181.1-processed-gene-3.115-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.115&CDS=1-3111	YKL057C
OG0002446	genemark-NC_026181.1-processed-gene-3.116-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.116&CDS=1-501	YKL056C
OG0002447	genemark-NC_026181.1-processed-gene-3.117-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.117&CDS=1-825	YKL055C
OG0002448	snap_masked-NC_026181.1-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-3.31&CDS=1-2241	YKL054C
OG0002449	maker-NC_026181.1-augustus-gene-3.146-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-3.146&CDS=1-1131	YKL053C-A
OG0002450	genemark-NC_026181.1-processed-gene-3.95-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.95&CDS=1-1059	YKL051W
OG0002451	genemark-NC_026181.1-processed-gene-3.120-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.120&CDS=1-2769	YKL050C
OG0002452	genemark-NC_026181.1-processed-gene-3.121-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.121&CDS=1-678	YKL049C
OG0002453	genemark-NC_026181.1-processed-gene-3.122-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.122&CDS=1-1920	YKL048C
OG0002454	genemark-NC_026181.1-processed-gene-3.96-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.96&CDS=1-1548	YKL047W
OG0002455	genemark-NC_026181.1-processed-gene-3.123-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.123&CDS=1-1347	YKL046C
OG0002456	genemark-NC_026181.1-processed-gene-3.97-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.97&CDS=1-1584	YKL045W
OG0002457	genemark-NC_026181.1-processed-gene-3.98-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.98&CDS=1-1107	YKL043W
OG0002458	genemark-NC_026181.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.99&CDS=1-1086	YKL042W
OG0002459	genemark-NC_026181.1-processed-gene-3.100-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.100&CDS=1-672	YKL041W
OG0002460	genemark-NC_026181.1-processed-gene-3.124-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.124&CDS=1-768	YKL040C
OG0002461	genemark-NC_026181.1-processed-gene-3.102-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.102&CDS=1-3504	YKL038W
OG0002462	genemark-NC_026181.1-processed-gene-3.103-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.103&CDS=1-1497	YKL035W
OG0002463	genemark-NC_026181.1-processed-gene-3.104-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.104&CDS=1-2274	YKL034W
OG0002464	genemark-NC_026181.1-processed-gene-3.105-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.105&CDS=1-708	YKL033W-A
OG0002465	genemark-NC_026181.1-processed-gene-3.106-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.106&CDS=1-3138	YKL033W
OG0002466	genemark-NC_026181.1-processed-gene-3.125-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.125&CDS=1-1839	YKL032C
OG0002467	genemark-NC_026181.1-processed-gene-3.126-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.126&CDS=1-2013	YKL029C
OG0002468	genemark-NC_026181.1-processed-gene-3.107-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.107&CDS=1-1401	YKL028W
OG0002469	genemark-NC_026181.1-processed-gene-3.108-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.108&CDS=1-1338	YKL027W
OG0002470	genemark-NC_026181.1-processed-gene-3.128-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.128&CDS=1-501	YKL026C
OG0002471	maker-NC_026181.1-augustus-gene-3.148-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-3.148&CDS=1-2703	YKL025C
OG0002472	maker-NC_026181.1-snap-gene-3.140-mRNA-1_1&gene=maker-NC_026181.1-snap-gene-3.140&CDS=1-786	YKL023W
OG0002473	maker-NC_026181.1-augustus-gene-3.149-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-3.149&CDS=1-6876	YKL022C
OG0002474	genemark-NC_026181.1-processed-gene-3.110-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-3.110&CDS=1-948	YKL019W
OG0002475	snap_masked-NC_026181.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-3.47&CDS=1-252	YKL018C-A
OG0002476	genemark-NC_026181.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.57&CDS=1-987	YKL018W
OG0002477	maker-NC_026181.1-augustus-gene-4.44-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-4.44&CDS=1-2583	YKL017C
OG0002478	genemark-NC_026181.1-processed-gene-4.58-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.58&CDS=1-2946	YKL015W
OG0002479	genemark-NC_026181.1-processed-gene-4.61-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.61&CDS=1-5298	YKL014C
OG0002480	snap_masked-NC_026181.1-processed-gene-4.125-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-4.125&CDS=1-513	YKL013C
OG0002481	genemark-NC_026181.1-processed-gene-4.62-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.62&CDS=1-1749	YKL012W
OG0002482	snap_masked-NC_026181.1-processed-gene-4.126-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-4.126&CDS=1-5460	YKL010C
OG0002483	genemark-NC_026181.1-processed-gene-4.63-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.63&CDS=1-708	YKL009W
OG0002484	genemark-NC_026181.1-processed-gene-4.64-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.64&CDS=1-804	YKL007W
OG0002485	genemark-NC_026181.1-processed-gene-4.85-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.85&CDS=1-1746	YKL005C
OG0002486	genemark-NC_026181.1-processed-gene-4.66-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.66&CDS=1-1203	YKL004W
OG0002487	genemark-NC_026181.1-processed-gene-4.86-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.86&CDS=1-393	YKL003C
OG0002488	maker-NC_026181.1-snap-gene-4.49-mRNA-1_1&gene=maker-NC_026181.1-snap-gene-4.49&CDS=1-696	YKL002W
OG0002489	genemark-NC_026181.1-processed-gene-4.87-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.87&CDS=1-606	YKL001C
OG0002490	genemark-NC_026181.1-processed-gene-4.88-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.88&CDS=1-2109	YKR001C
OG0002491	genemark-NC_026181.1-processed-gene-4.68-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.68&CDS=1-1707	YKR002W
OG0002492	maker-NC_026181.1-augustus-gene-4.46-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-4.46&CDS=1-2625	YKR004C
OG0002493	genemark-NC_026181.1-processed-gene-4.90-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.90&CDS=1-792	YKR006C
OG0002494	augustus_masked-NC_026181.1-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-4.12&CDS=1-2382	YKR008W
OG0002495	genemark-NC_026181.1-processed-gene-4.91-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.91&CDS=1-2700	YKR009C
OG0002496	genemark-NC_026181.1-processed-gene-4.92-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.92&CDS=1-2268	YKR010C
OG0002497	genemark-NC_026181.1-processed-gene-4.93-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.93&CDS=1-1062	YKR011C
OG0002498	genemark-NC_026181.1-processed-gene-4.72-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.72&CDS=1-951	YKR013W
OG0002499	genemark-NC_026181.1-processed-gene-4.94-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.94&CDS=1-708	YKR014C
OG0002500	genemark-NC_026181.1-processed-gene-4.95-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.95&CDS=1-1689	YKR015C
OG0002501	genemark-NC_026181.1-processed-gene-4.73-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.73&CDS=1-1617	YKR016W
OG0002502	genemark-NC_026181.1-processed-gene-4.98-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.98&CDS=1-1842	YKR019C
OG0002503	genemark-NC_026181.1-processed-gene-4.74-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.74&CDS=1-492	YKR020W
OG0002504	genemark-NC_026181.1-processed-gene-4.75-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.75&CDS=1-2739	YKR021W
OG0002505	genemark-NC_026181.1-processed-gene-4.99-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.99&CDS=1-966	YKR022C
OG0002506	maker-NC_026181.1-augustus-gene-4.43-mRNA-1_1&gene=maker-NC_026181.1-augustus-gene-4.43&CDS=1-1533	YKR023W
OG0002507	genemark-NC_026181.1-processed-gene-4.100-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.100&CDS=1-2223	YKR024C
OG0002508	genemark-NC_026181.1-processed-gene-4.77-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.77&CDS=1-930	YKR025W
OG0002509	genemark-NC_026181.1-processed-gene-4.101-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.101&CDS=1-915	YKR026C
OG0002510	genemark-NC_026181.1-processed-gene-4.78-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.78&CDS=1-2301	YKR027W
OG0002511	genemark-NC_026181.1-processed-gene-4.102-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.102&CDS=1-2247	YKR029C
OG0002512	genemark-NC_026181.1-processed-gene-4.80-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-4.80&CDS=1-816	YKR030W
OG0002513	genemark-NC_026181.1-processed-gene-5.145-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.145&CDS=1-5058	YKR031C
OG0002514	genemark-NC_026181.1-processed-gene-5.142-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.142&CDS=1-810	YKR034W
OG0002515	genemark-NC_026181.1-processed-gene-5.143-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.143&CDS=1-612	YKR035W-A
OG0002516	genemark-NC_026181.1-processed-gene-5.146-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.146&CDS=1-1938	YKR036C
OG0002517	augustus_masked-NC_026181.1-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.71&CDS=1-2055	YKR038C
OG0002518	genemark-NC_026181.1-processed-gene-5.144-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.144&CDS=1-1806	YKR039W
OG0002519	genemark-NC_026181.1-processed-gene-5.149-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.149&CDS=1-768	YKR041W
OG0002520	genemark-NC_026181.1-processed-gene-5.150-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.150&CDS=1-1083	YKR042W
OG0002521	genemark-NC_026181.1-processed-gene-5.181-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.181&CDS=1-813	YKR043C
OG0002522	genemark-NC_026181.1-processed-gene-5.151-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.151&CDS=1-1329	YKR044W
OG0002523	augustus_masked-NC_026181.1-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.104&CDS=1-1380	YKR046C
OG0002524	genemark-NC_026181.1-processed-gene-5.184-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.184&CDS=1-1278	YKR048C
OG0002525	genemark-NC_026181.1-processed-gene-5.185-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.185&CDS=1-399	YKR049C
OG0002526	snap_masked-NC_026181.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-5.10&CDS=1-2682	YKR050W
OG0002527	augustus_masked-NC_026181.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.76&CDS=1-1260	YKR051W
OG0002528	genemark-NC_026181.1-processed-gene-5.186-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.186&CDS=1-912	YKR052C
OG0002529	genemark-NC_026181.1-processed-gene-5.187-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.187&CDS=1-1209	YKR053C
OG0002530	augustus_masked-NC_026181.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.109&CDS=1-12285	YKR054C
OG0002531	snap_masked-NC_026181.1-processed-gene-5.12-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-5.12&CDS=1-2613	YKR056W
OG0002532	genemark-NC_026181.1-processed-gene-5.155-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.155&CDS=1-1812	YKR058W
OG0002533	genemark-NC_026181.1-processed-gene-5.157-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.157&CDS=1-984	YKR062W
OG0002534	augustus_masked-NC_026181.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.110&CDS=1-1503	YKR063C
OG0002535	genemark-NC_026181.1-processed-gene-5.158-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.158&CDS=1-2598	YKR064W
OG0002536	genemark-NC_026181.1-processed-gene-5.190-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.190&CDS=1-591	YKR065C
OG0002537	genemark-NC_026181.1-processed-gene-5.191-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.191&CDS=1-1077	YKR066C
OG0002538	genemark-NC_026181.1-processed-gene-5.159-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.159&CDS=1-2220	YKR067W
OG0002539	genemark-NC_026181.1-processed-gene-5.192-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.192&CDS=1-579	YKR068C
OG0002540	genemark-NC_026181.1-processed-gene-5.160-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.160&CDS=1-1779	YKR069W
OG0002541	genemark-NC_026181.1-processed-gene-5.161-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.161&CDS=1-1056	YKR070W
OG0002542	genemark-NC_026181.1-processed-gene-5.193-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.193&CDS=1-1047	YKR071C
OG0002543	genemark-NC_026181.1-processed-gene-5.194-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.194&CDS=1-1662	YKR072C
OG0002544	genemark-NC_026181.1-processed-gene-5.162-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.162&CDS=1-441	YKR074W
OG0002545	genemark-NC_026181.1-processed-gene-5.195-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.195&CDS=1-912	YKR075C
OG0002546	snap_masked-NC_026181.1-processed-gene-5.24-mRNA-1_1&gene=snap_masked-NC_026181.1-processed-gene-5.24&CDS=1-1713	YKR078W
OG0002547	genemark-NC_026181.1-processed-gene-5.196-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.196&CDS=1-2514	YKR079C
OG0002548	genemark-NC_026181.1-processed-gene-5.166-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.166&CDS=1-960	YKR080W
OG0002549	genemark-NC_026181.1-processed-gene-5.197-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.197&CDS=1-1032	YKR081C
OG0002550	genemark-NC_026181.1-processed-gene-5.167-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.167&CDS=1-3477	YKR082W
OG0002551	augustus_masked-NC_026181.1-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.119&CDS=1-2187	YKR084C
OG0002552	genemark-NC_026181.1-processed-gene-5.200-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.200&CDS=1-585	YKR085C
OG0002553	genemark-NC_026181.1-processed-gene-5.168-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.168&CDS=1-3216	YKR086W
OG0002554	augustus_masked-NC_026181.1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-NC_026181.1-processed-gene-5.121&CDS=1-4842	YKR089C
OG0002555	genemark-NC_026181.1-processed-gene-5.169-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.169&CDS=1-2178	YKR090W
OG0002556	genemark-NC_026181.1-processed-gene-5.170-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.170&CDS=1-780	YKR091W
OG0002557	genemark-NC_026181.1-processed-gene-5.204-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.204&CDS=1-1095	YKR092C
OG0002558	genemark-NC_026181.1-processed-gene-5.171-mRNA-1_1&gene=genemark-NC_026181.1-processed-gene-5.171&CDS=1-1803	YKR093W
