	Saccharomyces_cerevisiae	yHMPu5000034918_Nakazawaea_holstii
OG0001875	YIL072W	snap_masked-flattened_line_20-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.12&CDS=1-1905
OG0001876	YIL073C	snap_masked-flattened_line_76-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.76&CDS=1-2745
OG0001877	YIL075C	snap_masked-flattened_line_62-processed-gene-0.161-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.161&CDS=1-2877
OG0001878	YIL076W	snap_masked-flattened_line_62-processed-gene-0.166-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.166&CDS=1-852
OG0001879	YIL078W	snap_masked-flattened_line_62-processed-gene-0.231-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.231&CDS=1-2145
OG0001880	YIL083C	snap_masked-flattened_line_62-processed-gene-0.207-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.207&CDS=1-1017
OG0001881	YIL084C	maker-flattened_line_62-augustus-gene-0.241-mRNA-1_1&gene=maker-flattened_line_62-augustus-gene-0.241&CDS=1-1167
OG0001882	YIL087C	snap_masked-flattened_line_62-processed-gene-0.226-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.226&CDS=1-495
OG0001883	YIL090W	maker-flattened_line_62-snap-gene-0.81-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.81&CDS=1-1563
OG0001884	YIL091C	snap_masked-flattened_line_62-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.180&CDS=1-2346
OG0001885	YIL093C	maker-flattened_line_22-augustus-gene-1.50-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.50&CDS=1-1650
OG0001886	YIL094C	snap_masked-flattened_line_22-processed-gene-1.103-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.103&CDS=1-1107
OG0001887	YIL096C	snap_masked-flattened_line_151-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.40&CDS=1-915
OG0001888	YIL097W	snap_masked-flattened_line_151-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.53&CDS=1-1929
OG0001889	YIL098C	snap_masked-flattened_line_24-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.36&CDS=1-426
OG0001890	YIL099W	snap_masked-flattened_line_72-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.77&CDS=1-1878
OG0001891	YIL101C	genemark-flattened_line_127-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_127-processed-gene-0.73&CDS=1-1629
OG0001892	YIL103W	snap_masked-flattened_line_30-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.52&CDS=1-1263
OG0001893	YIL104C	snap_masked-flattened_line_30-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.88&CDS=1-1584
OG0001894	YIL106W	augustus_masked-flattened_line_78-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.54&CDS=1-744
OG0001895	YIL107C	snap_masked-flattened_line_32-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.113&CDS=1-2343
OG0001896	YIL108W	snap_masked-flattened_line_32-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.114&CDS=1-2049
OG0001897	YIL110W	snap_masked-flattened_line_32-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.118&CDS=1-1107
OG0001898	YIL112W	snap_masked-flattened_line_32-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.124&CDS=1-3027
OG0001899	YIL113W	snap_masked-flattened_line_32-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.123&CDS=1-1128
OG0001900	YIL115C	snap_masked-flattened_line_117-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.44&CDS=1-4305
OG0001901	YIL116W	snap_masked-flattened_line_0-processed-gene-2.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.119&CDS=1-1191
OG0001902	YIL118W	snap_masked-flattened_line_95-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.20&CDS=1-669
OG0001903	YIL119C	augustus_masked-flattened_line_288-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.17&CDS=1-2007
OG0001904	YIL124W	snap_masked-flattened_line_224-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_224-processed-gene-0.17&CDS=1-867
OG0001905	YIL125W	snap_masked-flattened_line_38-processed-gene-0.205-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.205&CDS=1-3039
OG0001906	YIL126W	snap_masked-flattened_line_38-processed-gene-0.203-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.203&CDS=1-3759
OG0001907	YIL127C	snap_masked-flattened_line_264-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_264-processed-gene-0.23&CDS=1-582
OG0001908	YIL128W	snap_masked-flattened_line_264-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_264-processed-gene-0.27&CDS=1-3174
OG0001909	YIL129C	snap_masked-flattened_line_264-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_264-processed-gene-0.24&CDS=1-7929
OG0001910	YIL130W	snap_masked-flattened_line_2-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.1&CDS=1-2637
OG0001911	YIL131C	snap_masked-flattened_line_2-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.22&CDS=1-1740
OG0001912	YIL137C	snap_masked-flattened_line_264-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_264-processed-gene-0.26&CDS=1-2841
OG0001913	YIL139C	augustus_masked-flattened_line_185-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_185-processed-gene-0.9&CDS=1-447
OG0001914	YIL140W	snap_masked-flattened_line_44-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.38&CDS=1-2625
OG0001915	YIL142W	snap_masked-flattened_line_22-processed-gene-1.107-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.107&CDS=1-1575
OG0001916	YIL143C	augustus_masked-flattened_line_56-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.202&CDS=1-3609
OG0001917	YIL145C	snap_masked-flattened_line_12-processed-gene-1.183-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.183&CDS=1-975
OG0001918	YIL147C	snap_masked-flattened_line_183-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_183-processed-gene-0.15&CDS=1-3648
OG0001919	YIL150C	genemark-flattened_line_183-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_183-processed-gene-0.51&CDS=1-1296
OG0001920	YIL153W	genemark-flattened_line_36-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.105&CDS=1-1269
OG0001921	YIL154C	snap_masked-flattened_line_40-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.139&CDS=1-1407
OG0001922	YIL155C	snap_masked-flattened_line_40-processed-gene-0.141-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.141&CDS=1-1953
OG0001923	YIL156W-B	genemark-flattened_line_40-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.179&CDS=1-222
OG0001924	YIL157C	snap_masked-flattened_line_36-processed-gene-0.211-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.211&CDS=1-570
OG0001925	YIL160C	snap_masked-flattened_line_310-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_310-processed-gene-0.2&CDS=1-1242
OG0001926	YIL164C	snap_masked-flattened_line_2-processed-gene-2.11-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.11&CDS=1-918
OG0001927	YIL166C	snap_masked-flattened_line_141-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_141-processed-gene-0.36&CDS=1-1629
OG0001928	YIL167W	snap_masked-flattened_line_167-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.45&CDS=1-999
OG0001929	YIR002C	augustus_masked-flattened_line_193-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_193-processed-gene-0.52&CDS=1-3687
OG0001930	YIR003W	augustus_masked-flattened_line_58-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.77&CDS=1-2769
OG0001931	YIR004W	snap_masked-flattened_line_97-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.5&CDS=1-1356
OG0001932	YIR005W	snap_masked-flattened_line_193-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.29&CDS=1-675
OG0001933	YIR006C	snap_masked-flattened_line_153-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.89&CDS=1-4320
OG0001934	YIR007W	snap_masked-flattened_line_80-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.45&CDS=1-2334
OG0001935	YIR008C	snap_masked-flattened_line_222-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.8&CDS=1-1335
OG0001936	YIR009W	snap_masked-flattened_line_252-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_252-processed-gene-0.23&CDS=1-357
OG0001937	YIR011C	snap_masked-flattened_line_157-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_157-processed-gene-0.47&CDS=1-1047
OG0001938	YIR012W	snap_masked-flattened_line_46-processed-gene-0.201-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.201&CDS=1-1269
OG0001939	YIR015W	snap_masked-flattened_line_36-processed-gene-0.220-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.220&CDS=1-498
OG0001940	YIR022W	maker-flattened_line_149-augustus-gene-0.90-mRNA-1_1&gene=maker-flattened_line_149-augustus-gene-0.90&CDS=1-1503
OG0001941	YIR023W	snap_masked-flattened_line_149-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_149-processed-gene-0.38&CDS=1-2973
OG0001942	YIR025W	augustus_masked-flattened_line_155-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_155-processed-gene-0.13&CDS=1-834
OG0001943	YIR026C	snap_masked-flattened_line_155-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.61&CDS=1-987
OG0001944	YIR027C	snap_masked-flattened_line_119-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_119-processed-gene-0.17&CDS=1-1821
OG0001945	YIR029W	maker-flattened_line_40-augustus-gene-0.68-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.68&CDS=1-1824
OG0001946	YIR030C	snap_masked-flattened_line_40-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.86&CDS=1-705
OG0001947	YIR032C	snap_masked-flattened_line_316-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_316-processed-gene-0.13&CDS=1-597
OG0001948	YIR034C	snap_masked-flattened_line_52-processed-gene-0.147-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.147&CDS=1-1122
OG0001949	YIR037W	snap_masked-flattened_line_6-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.40&CDS=1-483
OG0001950	YJL001W	genemark-flattened_line_80-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.111&CDS=1-648
OG0001951	YJL002C	snap_masked-flattened_line_0-processed-gene-2.186-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.186&CDS=1-1434
OG0001952	YJL003W	maker-flattened_line_167-snap-gene-0.57-mRNA-1_1&gene=maker-flattened_line_167-snap-gene-0.57&CDS=1-816
OG0001953	YJL004C	snap_masked-flattened_line_80-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.40&CDS=1-642
OG0001954	YJL005W	snap_masked-flattened_line_80-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.14&CDS=1-5454
OG0001955	YJL006C	genemark-flattened_line_214-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.42&CDS=1-972
OG0001956	YJL008C	snap_masked-flattened_line_18-processed-gene-1.80-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.80&CDS=1-1677
OG0001957	YJL010C	snap_masked-flattened_line_32-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.104&CDS=1-1938
OG0001958	YJL011C	snap_masked-flattened_line_135-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_135-processed-gene-0.84&CDS=1-528
OG0001959	YJL012C	maker-flattened_line_22-augustus-gene-0.96-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-0.96&CDS=1-3159
OG0001960	YJL014W	maker-flattened_line_135-snap-gene-0.39-mRNA-1_1&gene=maker-flattened_line_135-snap-gene-0.39&CDS=1-1587
OG0001961	YJL020C	snap_masked-flattened_line_52-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.97&CDS=1-3111
OG0001962	YJL024C	snap_masked-flattened_line_70-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.101&CDS=1-597
OG0001963	YJL025W	snap_masked-flattened_line_14-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.58&CDS=1-1251
OG0001964	YJL026W	genemark-flattened_line_155-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_155-processed-gene-0.85&CDS=1-1239
OG0001965	YJL029C	snap_masked-flattened_line_157-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_157-processed-gene-0.43&CDS=1-2541
OG0001966	YJL031C	genemark-flattened_line_214-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.49&CDS=1-813
OG0001967	YJL033W	snap_masked-flattened_line_87-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.78&CDS=1-2322
OG0001968	YJL034W	snap_masked-flattened_line_4-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.55&CDS=1-1995
OG0001969	YJL035C	genemark-flattened_line_18-processed-gene-1.20-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.20&CDS=1-720
OG0001970	YJL036W	snap_masked-flattened_line_18-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.113&CDS=1-1761
OG0001971	YJL039C	augustus_masked-flattened_line_36-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.58&CDS=1-5127
OG0001972	YJL041W	snap_masked-flattened_line_248-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_248-processed-gene-0.5&CDS=1-2016
OG0001973	YJL042W	snap_masked-flattened_line_268-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_268-processed-gene-0.12&CDS=1-3906
OG0001974	YJL046W	snap_masked-flattened_line_12-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.41&CDS=1-1578
OG0001975	YJL049W	snap_masked-flattened_line_147-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.39&CDS=1-1569
OG0001976	YJL050W	snap_masked-flattened_line_216-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_216-processed-gene-0.34&CDS=1-3210
OG0001977	YJL053W	snap_masked-flattened_line_28-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.104&CDS=1-915
OG0001978	YJL054W	snap_masked-flattened_line_60-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.13&CDS=1-1362
OG0001979	YJL055W	genemark-flattened_line_60-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.120&CDS=1-669
OG0001980	YJL056C	snap_masked-flattened_line_16-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.133&CDS=1-2094
OG0001981	YJL057C	maker-flattened_line_216-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_216-snap-gene-0.1&CDS=1-1833
OG0001982	YJL060W	snap_masked-flattened_line_50-processed-gene-0.133-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.133&CDS=1-1278
OG0001983	YJL061W	snap_masked-flattened_line_10-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.96&CDS=1-2313
OG0001984	YJL062W	snap_masked-flattened_line_10-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.95&CDS=1-2583
OG0001985	YJL062W-A	snap_masked-flattened_line_4-processed-gene-2.93-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.93&CDS=1-285
OG0001986	YJL063C	snap_masked-flattened_line_2-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.37&CDS=1-618
OG0001987	YJL066C	snap_masked-flattened_line_123-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_123-processed-gene-0.42&CDS=1-1014
OG0001988	YJL068C	snap_masked-flattened_line_4-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.42&CDS=1-852
OG0001989	YJL069C	snap_masked-flattened_line_4-processed-gene-2.123-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.123&CDS=1-1605
OG0001990	YJL071W	maker-flattened_line_46-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.4&CDS=1-1749
OG0001991	YJL072C	maker-flattened_line_46-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.3&CDS=1-612
OG0001992	YJL074C	maker-flattened_line_238-snap-gene-0.19-mRNA-1_1&gene=maker-flattened_line_238-snap-gene-0.19&CDS=1-4293
OG0001993	YJL076W	augustus_masked-flattened_line_238-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.43&CDS=1-2982
OG0001994	YJL084C	snap_masked-flattened_line_12-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.39&CDS=1-2982
OG0001995	YJL085W	snap_masked-flattened_line_12-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.14&CDS=1-1812
OG0001996	YJL087C	snap_masked-flattened_line_12-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.38&CDS=1-2475
OG0001997	YJL088W	augustus_masked-flattened_line_12-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.85&CDS=1-1044
OG0001998	YJL090C	snap_masked-flattened_line_10-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.77&CDS=1-1875
OG0001999	YJL091C	snap_masked-flattened_line_294-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_294-processed-gene-0.15&CDS=1-1533
OG0002000	YJL092W	genemark-flattened_line_123-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_123-processed-gene-0.98&CDS=1-2583
OG0002001	YJL093C	snap_masked-flattened_line_133-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.58&CDS=1-1914
OG0002002	YJL094C	snap_masked-flattened_line_101-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_101-processed-gene-0.12&CDS=1-2352
OG0002003	YJL095W	augustus_masked-flattened_line_123-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.33&CDS=1-4869
OG0002004	YJL096W	augustus_masked-flattened_line_123-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.34&CDS=1-501
OG0002005	YJL097W	snap_masked-flattened_line_123-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_123-processed-gene-0.72&CDS=1-648
OG0002006	YJL100W	snap_masked-flattened_line_18-processed-gene-1.114-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.114&CDS=1-1896
OG0002007	YJL101C	snap_masked-flattened_line_195-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_195-processed-gene-0.31&CDS=1-1968
OG0002008	YJL102W	snap_masked-flattened_line_58-processed-gene-0.176-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.176&CDS=1-2439
OG0002009	YJL104W	genemark-flattened_line_129-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.2&CDS=1-405
OG0002010	YJL106W	genemark-flattened_line_129-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.24&CDS=1-1710
OG0002011	YJL108C	snap_masked-flattened_line_157-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_157-processed-gene-0.36&CDS=1-2307
OG0002012	YJL109C	snap_masked-flattened_line_24-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.15&CDS=1-5250
OG0002013	YJL111W	snap_masked-flattened_line_52-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.126&CDS=1-1662
OG0002014	YJL112W	snap_masked-flattened_line_52-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.127&CDS=1-1803
OG0002015	YJL115W	snap_masked-flattened_line_30-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.87&CDS=1-744
OG0002016	YJL117W	snap_masked-flattened_line_151-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.55&CDS=1-963
OG0002017	YJL121C	genemark-flattened_line_197-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_197-processed-gene-0.43&CDS=1-723
OG0002018	YJL122W	genemark-flattened_line_197-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_197-processed-gene-0.56&CDS=1-447
OG0002019	YJL123C	snap_masked-flattened_line_38-processed-gene-0.236-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.236&CDS=1-1281
OG0002020	YJL124C	maker-flattened_line_197-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_197-snap-gene-0.0&CDS=1-507
OG0002021	YJL125C	snap_masked-flattened_line_266-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_266-processed-gene-0.23&CDS=1-996
OG0002022	YJL126W	snap_masked-flattened_line_38-processed-gene-0.199-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.199&CDS=1-900
OG0002023	YJL127C	snap_masked-flattened_line_151-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.47&CDS=1-2226
OG0002024	YJL127C-B	maker-flattened_line_60-snap-gene-0.165-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.165&CDS=1-204
OG0002025	YJL128C	snap_masked-flattened_line_60-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.30&CDS=1-1800
OG0002026	YJL130C	snap_masked-flattened_line_151-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.34&CDS=1-6663
OG0002027	YJL131C	augustus_masked-flattened_line_60-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.91&CDS=1-1056
OG0002028	YJL132W	snap_masked-flattened_line_60-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.17&CDS=1-2232
OG0002029	YJL140W	snap_masked-flattened_line_10-processed-gene-1.192-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.192&CDS=1-576
OG0002030	YJL141C	snap_masked-flattened_line_10-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.157&CDS=1-2304
OG0002031	YJL143W	snap_masked-flattened_line_10-processed-gene-1.193-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.193&CDS=1-462
OG0002032	YJL145W	snap_masked-flattened_line_97-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.1&CDS=1-870
OG0002033	YJL148W	snap_masked-flattened_line_97-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_97-processed-gene-0.25&CDS=1-645
OG0002034	YJL153C	snap_masked-flattened_line_80-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.10&CDS=1-1572
OG0002035	YJL154C	snap_masked-flattened_line_175-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.73&CDS=1-2535
OG0002036	YJL155C	genemark-flattened_line_109-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.114&CDS=1-1332
OG0002037	YJL156C	snap_masked-flattened_line_4-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.70&CDS=1-2331
OG0002038	YJL157C	snap_masked-flattened_line_38-processed-gene-0.239-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.239&CDS=1-2895
OG0002039	YJL166W	snap_masked-flattened_line_159-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_159-processed-gene-0.86&CDS=1-279
OG0002040	YJL167W	snap_masked-flattened_line_159-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_159-processed-gene-0.72&CDS=1-1053
OG0002041	YJL168C	snap_masked-flattened_line_145-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.23&CDS=1-2304
OG0002042	YJL171C	maker-flattened_line_36-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-0.7&CDS=1-1344
OG0002043	YJL174W	snap_masked-flattened_line_22-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.139&CDS=1-834
OG0002044	YJL176C	augustus_masked-flattened_line_506-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_506-processed-gene-0.1&CDS=1-1416
OG0002045	YJL179W	genemark-flattened_line_10-processed-gene-1.9-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.9&CDS=1-348
OG0002046	YJL180C	augustus_masked-flattened_line_4-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.159&CDS=1-1011
OG0002047	YJL183W	augustus_masked-flattened_line_10-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.115&CDS=1-1284
OG0002048	YJL187C	snap_masked-flattened_line_32-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.121&CDS=1-2961
