	Candida_sojae	Saccharomyces_cerevisiae
OG0001741	augustus_masked-LMTL01000098.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.96&CDS=1-1293	YJL183W
OG0001742	augustus_masked-LMTL01000098.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.97&CDS=1-1068	YOL107W
OG0001743	augustus_masked-LMTL01000098.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.100&CDS=1-699	YLR078C
OG0001744	augustus_masked-LMTL01000098.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.101&CDS=1-615	YFL046W
OG0001745	augustus_masked-LMTL01000098.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.82&CDS=1-1944	YLR077W
OG0001746	augustus_masked-LMTL01000098.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.102&CDS=1-753	YFL045C
OG0001747	augustus_masked-LMTL01000098.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.104&CDS=1-660	YLR075W
OG0001748	augustus_masked-LMTL01000098.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.83&CDS=1-504	YLR074C
OG0001749	augustus_masked-LMTL01000098.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.84&CDS=1-996	YFL044C
OG0001750	augustus_masked-LMTL01000098.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.85&CDS=1-1878	YGR054W
OG0001751	augustus_masked-LMTL01000098.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-LMTL01000098.1-processed-gene-0.105&CDS=1-756	YNL200C
OG0001752	augustus_masked-LMTL01000099.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.31&CDS=1-2763	YKL171W
OG0001753	snap_masked-LMTL01000099.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LMTL01000099.1-processed-gene-0.100&CDS=1-2472	YLR362W
OG0001754	augustus_masked-LMTL01000099.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.33&CDS=1-2229	YLR361C
OG0001755	augustus_masked-LMTL01000099.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.35&CDS=1-2091	YKL179C
OG0001756	augustus_masked-LMTL01000099.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.2&CDS=1-1872	YLR143W
OG0001757	augustus_masked-LMTL01000099.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.38&CDS=1-387	YOL108C
OG0001758	augustus_masked-LMTL01000099.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.4&CDS=1-2928	YDR028C
OG0001759	augustus_masked-LMTL01000099.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.5&CDS=1-987	YPL162C
OG0001760	augustus_masked-LMTL01000099.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.6&CDS=1-3684	YDR027C
OG0001761	augustus_masked-LMTL01000099.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.39&CDS=1-1224	YPR118W
OG0001762	augustus_masked-LMTL01000099.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.40&CDS=1-1383	YMR026C
OG0001763	augustus_masked-LMTL01000099.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.42&CDS=1-2058	YJL034W
OG0001764	augustus_masked-LMTL01000099.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.8&CDS=1-1362	YIL033C
OG0001765	augustus_masked-LMTL01000099.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.9&CDS=1-414	YER044C
OG0001766	augustus_masked-LMTL01000099.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.10&CDS=1-621	YOR021C
OG0001767	augustus_masked-LMTL01000099.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.45&CDS=1-1350	YDR473C
OG0001768	augustus_masked-LMTL01000099.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.12&CDS=1-9858	YDR457W
OG0001769	augustus_masked-LMTL01000099.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.46&CDS=1-708	YBR096W
OG0001770	augustus_masked-LMTL01000099.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.13&CDS=1-2592	YER070W
OG0001771	augustus_masked-LMTL01000099.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.14&CDS=1-2205	YIL067C
OG0001772	augustus_masked-LMTL01000099.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.16&CDS=1-666	YDR408C
OG0001773	augustus_masked-LMTL01000099.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.50&CDS=1-1107	YOR136W
OG0001774	augustus_masked-LMTL01000099.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.17&CDS=1-1506	YOR149C
OG0001775	augustus_masked-LMTL01000099.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.51&CDS=1-1233	YDR394W
OG0001776	snap_masked-LMTL01000099.1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-LMTL01000099.1-processed-gene-0.125&CDS=1-2814	YOR005C
OG0001777	augustus_masked-LMTL01000099.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.19&CDS=1-1239	YJL026W
OG0001778	augustus_masked-LMTL01000099.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.20&CDS=1-1044	YOR006C
OG0001779	augustus_masked-LMTL01000099.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.21&CDS=1-1434	YER073W
OG0001780	augustus_masked-LMTL01000099.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.23&CDS=1-1101	YNL231C
OG0001781	augustus_masked-LMTL01000099.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.24&CDS=1-906	YGR208W
OG0001782	augustus_masked-LMTL01000099.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.57&CDS=1-891	YMR289W
OG0001783	augustus_masked-LMTL01000099.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.58&CDS=1-3903	YKL215C
OG0001784	augustus_masked-LMTL01000099.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.59&CDS=1-1314	YJL025W
OG0001785	augustus_masked-LMTL01000099.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.61&CDS=1-843	YCL031C
OG0001786	augustus_masked-LMTL01000099.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.26&CDS=1-3012	YDR395W
OG0001787	augustus_masked-LMTL01000099.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.27&CDS=1-1080	YGR048W
OG0001788	augustus_masked-LMTL01000099.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.62&CDS=1-639	YDR399W
OG0001789	augustus_masked-LMTL01000099.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.28&CDS=1-2871	YKL073W
OG0001790	augustus_masked-LMTL01000099.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.29&CDS=1-2151	YKL074C
OG0001791	augustus_masked-LMTL01000099.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LMTL01000099.1-processed-gene-0.64&CDS=1-948	YMR055C
OG0001792	augustus_masked-LMTL01000100.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.56&CDS=1-732	YDR054C
OG0001793	augustus_masked-LMTL01000100.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.67&CDS=1-3261	YJL108C
OG0001794	maker-LMTL01000100.1-snap-gene-0.27-mRNA-1_1&gene=maker-LMTL01000100.1-snap-gene-0.27&CDS=1-4809	YNL243W
OG0001795	augustus_masked-LMTL01000100.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.72&CDS=1-489	YBR137W
OG0001796	augustus_masked-LMTL01000100.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.73&CDS=1-2061	YHR020W
OG0001797	augustus_masked-LMTL01000100.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.59&CDS=1-1656	YHR019C
OG0001798	augustus_masked-LMTL01000100.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.74&CDS=1-888	YMR314W
OG0001799	augustus_masked-LMTL01000100.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.75&CDS=1-2940	YPL125W
OG0001800	augustus_masked-LMTL01000100.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.76&CDS=1-1275	YOR209C
OG0001801	snap_masked-LMTL01000100.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LMTL01000100.1-processed-gene-0.34&CDS=1-993	YMR161W
OG0001802	genemark-LMTL01000100.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LMTL01000100.1-processed-gene-0.9&CDS=1-516	YGL037C
OG0001803	augustus_masked-LMTL01000100.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.78&CDS=1-765	YJR050W
OG0001804	augustus_masked-LMTL01000100.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.63&CDS=1-1812	YHR032W
OG0001805	augustus_masked-LMTL01000100.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.79&CDS=1-1431	YBR247C
OG0001806	augustus_masked-LMTL01000100.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LMTL01000100.1-processed-gene-0.64&CDS=1-1407	YHR018C
OG0001807	augustus_masked-LMTL01000101.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.28&CDS=1-1518	YMR075W
OG0001808	augustus_masked-LMTL01000101.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.29&CDS=1-975	YDL114W
OG0001809	augustus_masked-LMTL01000101.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.42&CDS=1-1317	YMR062C
OG0001810	augustus_masked-LMTL01000101.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.31&CDS=1-3633	YFL036W
OG0001811	augustus_masked-LMTL01000101.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.43&CDS=1-1152	YDL115C
OG0001812	augustus_masked-LMTL01000101.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.44&CDS=1-636	YOR115C
OG0001813	snap_masked-LMTL01000101.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LMTL01000101.1-processed-gene-0.17&CDS=1-1104	YGR052W
OG0001814	snap_masked-LMTL01000101.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LMTL01000101.1-processed-gene-0.18&CDS=1-2406	YOR168W
OG0001815	snap_masked-LMTL01000101.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-LMTL01000101.1-processed-gene-0.19&CDS=1-804	YGR024C
OG0001816	augustus_masked-LMTL01000101.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.35&CDS=1-3498	YPR010C
OG0001817	augustus_masked-LMTL01000101.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.47&CDS=1-678	YFR007W
OG0001818	augustus_masked-LMTL01000101.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.48&CDS=1-537	YGR057C
OG0001819	augustus_masked-LMTL01000101.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.37&CDS=1-273	YJR086W
OG0001820	maker-LMTL01000101.1-augustus-gene-0.0-mRNA-1_1&gene=maker-LMTL01000101.1-augustus-gene-0.0&CDS=1-1890	YPR037C
OG0001821	augustus_masked-LMTL01000101.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.50&CDS=1-576	YOR220W
OG0001822	augustus_masked-LMTL01000101.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.51&CDS=1-357	YKL084W
OG0001823	augustus_masked-LMTL01000101.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.53&CDS=1-1422	YNL071W
OG0001824	augustus_masked-LMTL01000101.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.54&CDS=1-1068	YNL072W
OG0001825	augustus_masked-LMTL01000102.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.28&CDS=1-2595	YPR105C
OG0001826	augustus_masked-LMTL01000102.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.40&CDS=1-621	YPR107C
OG0001827	augustus_masked-LMTL01000102.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.43&CDS=1-1437	YJL091C
OG0001828	maker-LMTL01000102.1-snap-gene-0.78-mRNA-1_1&gene=maker-LMTL01000102.1-snap-gene-0.78&CDS=1-1404	YAL009W
OG0001829	augustus_masked-LMTL01000102.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.31&CDS=1-1251	YPL146C
OG0001830	maker-LMTL01000102.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LMTL01000102.1-augustus-gene-0.1&CDS=1-2691	YOR217W
OG0001831	augustus_masked-LMTL01000102.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.47&CDS=1-1386	YOR216C
OG0001832	augustus_masked-LMTL01000102.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.33&CDS=1-1662	YNL042W
OG0001833	augustus_masked-LMTL01000102.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.48&CDS=1-1527	YIL104C
OG0001834	augustus_masked-LMTL01000102.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.35&CDS=1-1281	YIL103W
OG0001835	augustus_masked-LMTL01000102.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.49&CDS=1-2313	YNL041C
OG0001836	augustus_masked-LMTL01000102.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.50&CDS=1-1887	YIL101C
OG0001837	augustus_masked-LMTL01000102.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LMTL01000102.1-processed-gene-0.51&CDS=1-1290	YDL066W
OG0001838	augustus_masked-LMTL01000103.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.2&CDS=1-555	YCR027C
OG0001839	augustus_masked-LMTL01000103.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.5&CDS=1-1413	YOR197W
OG0001840	augustus_masked-LMTL01000103.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000103.1-processed-gene-0.6&CDS=1-12510	YKR054C
OG0001841	augustus_masked-LMTL01000104.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000104.1-processed-gene-0.1&CDS=1-735	YEL038W
OG0001842	maker-LMTL01000104.1-augustus-gene-0.18-mRNA-1_1&gene=maker-LMTL01000104.1-augustus-gene-0.18&CDS=1-1236	YEL037C
OG0001843	augustus_masked-LMTL01000104.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000104.1-processed-gene-0.2&CDS=1-1944	YJR052W
OG0001844	snap_masked-LMTL01000104.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LMTL01000104.1-processed-gene-0.16&CDS=1-2274	YML046W
OG0001845	augustus_masked-LMTL01000104.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000104.1-processed-gene-0.3&CDS=1-1944	YGR013W
OG0001846	snap_masked-LMTL01000104.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-LMTL01000104.1-processed-gene-0.17&CDS=1-3453	YGR014W
OG0001847	augustus_masked-LMTL01000105.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.21&CDS=1-2412	YBR198C
OG0001848	augustus_masked-LMTL01000105.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.15&CDS=1-1449	YGL253W
OG0001849	augustus_masked-LMTL01000105.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.16&CDS=1-387	YOL026C
OG0001850	snap_masked-LMTL01000105.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LMTL01000105.1-processed-gene-0.38&CDS=1-399	YIR015W
OG0001851	maker-LMTL01000105.1-augustus-gene-0.42-mRNA-1_1&gene=maker-LMTL01000105.1-augustus-gene-0.42&CDS=1-750	YOL038W
OG0001852	augustus_masked-LMTL01000105.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.24&CDS=1-1122	YKL113C
OG0001853	augustus_masked-LMTL01000105.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.25&CDS=1-1098	YCR002C
OG0001854	augustus_masked-LMTL01000105.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.18&CDS=1-624	YCR003W
OG0001855	augustus_masked-LMTL01000105.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-LMTL01000105.1-processed-gene-0.26&CDS=1-828	YBR035C
OG0001856	augustus_masked-LMTL01000106.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.0&CDS=1-963	YHR101C
OG0001857	augustus_masked-LMTL01000106.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.10&CDS=1-1485	YHR009C
OG0001858	snap_masked-LMTL01000106.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-LMTL01000106.1-processed-gene-0.18&CDS=1-756	YDR446W
OG0001859	augustus_masked-LMTL01000106.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.11&CDS=1-1320	YDR448W
OG0001860	augustus_masked-LMTL01000106.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.3&CDS=1-1308	YDR449C
OG0001861	augustus_masked-LMTL01000106.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.4&CDS=1-1467	YHR113W
OG0001862	augustus_masked-LMTL01000106.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.13&CDS=1-1446	YDR363W
OG0001863	augustus_masked-LMTL01000106.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.14&CDS=1-1335	YHR111W
OG0001864	maker-LMTL01000106.1-augustus-gene-0.33-mRNA-1_1&gene=maker-LMTL01000106.1-augustus-gene-0.33&CDS=1-654	YHR110W
OG0001865	augustus_masked-LMTL01000106.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.16&CDS=1-1515	YOR119C
OG0001866	augustus_masked-LMTL01000106.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.6&CDS=1-681	YDR367W
OG0001867	augustus_masked-LMTL01000106.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.7&CDS=1-1887	YOR118W
OG0001868	augustus_masked-LMTL01000106.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000106.1-processed-gene-0.8&CDS=1-2073	YDR365C
OG0001869	augustus_masked-LMTL01000107.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000107.1-processed-gene-0.9&CDS=1-762	YPL067C
OG0001870	augustus_masked-LMTL01000107.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000107.1-processed-gene-0.7&CDS=1-1554	YDL020C
OG0001871	augustus_masked-LMTL01000107.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000107.1-processed-gene-0.11&CDS=1-1095	YMR010W
OG0001872	snap_masked-LMTL01000108.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LMTL01000108.1-processed-gene-0.14&CDS=1-3045	YOR113W
OG0001873	augustus_masked-LMTL01000108.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.27&CDS=1-414	YNL113W
OG0001874	maker-LMTL01000108.1-augustus-gene-0.39-mRNA-1_1&gene=maker-LMTL01000108.1-augustus-gene-0.39&CDS=1-1674	YNL112W
OG0001875	augustus_masked-LMTL01000108.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.29&CDS=1-2622	YGR157W
OG0001876	augustus_masked-LMTL01000108.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.37&CDS=1-873	YGR158C
OG0001877	augustus_masked-LMTL01000108.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.30&CDS=1-843	YML105C
OG0001878	augustus_masked-LMTL01000108.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.32&CDS=1-2301	YER091C
OG0001879	augustus_masked-LMTL01000108.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.33&CDS=1-1134	YBL058W
OG0001880	snap_masked-LMTL01000109.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LMTL01000109.1-processed-gene-0.1&CDS=1-3294	YMR287C
OG0001881	augustus_masked-LMTL01000109.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.23&CDS=1-1950	YML096W
OG0001882	augustus_masked-LMTL01000109.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.32&CDS=1-2418	YER125W
OG0001883	augustus_masked-LMTL01000109.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.34&CDS=1-1197	YDR083W
OG0001884	augustus_masked-LMTL01000109.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.36&CDS=1-999	YER142C
OG0001885	augustus_masked-LMTL01000109.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LMTL01000109.1-processed-gene-0.28&CDS=1-2196	YJL090C
OG0001886	augustus_masked-LMTL01000110.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.55&CDS=1-1056	YOR262W
OG0001887	augustus_masked-LMTL01000110.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.42&CDS=1-2136	YOR261C
OG0001888	augustus_masked-LMTL01000110.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.43&CDS=1-4974	YDR141C
OG0001889	snap_masked-LMTL01000110.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LMTL01000110.1-processed-gene-0.37&CDS=1-1038	YNR054C
OG0001890	augustus_masked-LMTL01000110.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.46&CDS=1-1260	YCR047C
OG0001891	augustus_masked-LMTL01000110.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.47&CDS=1-258	YCR020C-A
OG0001892	augustus_masked-LMTL01000110.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.49&CDS=1-1422	YHR207C
OG0001893	augustus_masked-LMTL01000110.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.50&CDS=1-1188	YOR358W
OG0001894	augustus_masked-LMTL01000110.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.51&CDS=1-771	YLR178C
OG0001895	augustus_masked-LMTL01000110.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.59&CDS=1-444	YPR082C
OG0001896	augustus_masked-LMTL01000110.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LMTL01000110.1-processed-gene-0.53&CDS=1-1074	YLR420W
OG0001897	augustus_masked-LMTL01000112.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.12&CDS=1-1713	YBR158W
OG0001898	augustus_masked-LMTL01000112.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.1&CDS=1-450	YFL017C
OG0001899	augustus_masked-LMTL01000112.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.14&CDS=1-222	YFL017W-A
OG0001900	maker-LMTL01000112.1-snap-gene-0.90-mRNA-1_1&gene=maker-LMTL01000112.1-snap-gene-0.90&CDS=1-2193	YFL013C
OG0001901	augustus_masked-LMTL01000112.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.16&CDS=1-5400	YLL031C
OG0001902	augustus_masked-LMTL01000112.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.18&CDS=1-1113	YLR291C
