	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0001563	maker-loc-_s285-snap-gene-0.66-mRNA-1_1&gene=maker-loc-_s285-snap-gene-0.66&CDS=1-1026	YBR039W
OG0001564	snap_masked-loc-_s285-processed-gene-0.175-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.175&CDS=1-2088	YBL084C
OG0001565	snap_masked-loc-_s285-processed-gene-0.176-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.176&CDS=1-2679	YER114C
OG0001566	augustus_masked-loc-_s285-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-loc-_s285-processed-gene-0.119&CDS=1-690	YHR116W
OG0001567	snap_masked-loc-_s285-processed-gene-0.147-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.147&CDS=1-1272	YNL119W
OG0001568	maker-loc-_s285-augustus-gene-0.3-mRNA-1_1&gene=maker-loc-_s285-augustus-gene-0.3&CDS=1-2658	YIR026C
OG0001569	snap_masked-loc-_s285-processed-gene-0.182-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.182&CDS=1-738	YOR258W
OG0001570	snap_masked-loc-_s285-processed-gene-0.183-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.183&CDS=1-369	YMR123W
OG0001571	augustus_masked-loc-_s285-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-loc-_s285-processed-gene-0.94&CDS=1-1860	YER068W
OG0001572	snap_masked-loc-_s285-processed-gene-0.185-mRNA-1_1&gene=snap_masked-loc-_s285-processed-gene-0.185&CDS=1-2895	YPL040C
OG0001573	maker-loc-_s285-snap-gene-0.71-mRNA-1_1&gene=maker-loc-_s285-snap-gene-0.71&CDS=1-1386	YNR001C
OG0001574	maker-loc-_s285-snap-gene-0.73-mRNA-1_1&gene=maker-loc-_s285-snap-gene-0.73&CDS=1-1773	YBR163W
OG0001575	maker-loc-_s287-snap-gene-0.27-mRNA-1_1&gene=maker-loc-_s287-snap-gene-0.27&CDS=1-1251	YJL123C
OG0001576	genemark-loc-_s287-processed-gene-0.36-mRNA-1_1&gene=genemark-loc-_s287-processed-gene-0.36&CDS=1-1116	YJL126W
OG0001577	snap_masked-loc-_s287-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s287-processed-gene-0.16&CDS=1-1323	YLR191W
OG0001578	snap_masked-loc-_s287-processed-gene-0.24-mRNA-1_1&gene=snap_masked-loc-_s287-processed-gene-0.24&CDS=1-1356	YLL002W
OG0001579	genemark-loc-_s287-processed-gene-0.34-mRNA-1_1&gene=genemark-loc-_s287-processed-gene-0.34&CDS=1-936	YGR017W
OG0001580	snap_masked-loc-_s288-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s288-processed-gene-0.10&CDS=1-2022	YPR074C
OG0001581	snap_masked-loc-_s29-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s29-processed-gene-0.6&CDS=1-2997	YOR048C
OG0001582	genemark-loc-_s290-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s290-processed-gene-0.3&CDS=1-3900	YOR330C
OG0001583	snap_masked-loc-_s293-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s293-processed-gene-0.2&CDS=1-465	YLR074C
OG0001584	snap_masked-loc-_s294-processed-gene-0.52-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.52&CDS=1-294	YHR087W
OG0001585	snap_masked-loc-_s294-processed-gene-0.53-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.53&CDS=1-2058	YDR333C
OG0001586	snap_masked-loc-_s294-processed-gene-0.54-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.54&CDS=1-1842	YHR039C
OG0001587	snap_masked-loc-_s294-processed-gene-0.74-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.74&CDS=1-333	YHR039C-A
OG0001588	snap_masked-loc-_s294-processed-gene-0.75-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.75&CDS=1-4602	YDR334W
OG0001589	snap_masked-loc-_s294-processed-gene-0.55-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.55&CDS=1-1593	YHR086W
OG0001590	augustus_masked-loc-_s294-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-loc-_s294-processed-gene-0.124&CDS=1-804	YLR271W
OG0001591	genemark-loc-_s294-processed-gene-0.7-mRNA-1_1&gene=genemark-loc-_s294-processed-gene-0.7&CDS=1-927	YOR174W
OG0001592	genemark-loc-_s294-processed-gene-0.29-mRNA-1_1&gene=genemark-loc-_s294-processed-gene-0.29&CDS=1-1149	YOR176W
OG0001593	snap_masked-loc-_s294-processed-gene-0.80-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.80&CDS=1-1779	YOR175C
OG0001594	snap_masked-loc-_s294-processed-gene-0.81-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.81&CDS=1-3492	YLR272C
OG0001595	snap_masked-loc-_s294-processed-gene-0.82-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.82&CDS=1-1617	YMR005W
OG0001596	snap_masked-loc-_s294-processed-gene-0.57-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.57&CDS=1-1101	YOL010W
OG0001597	snap_masked-loc-_s294-processed-gene-0.83-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.83&CDS=1-7389	YKL203C
OG0001598	snap_masked-loc-_s294-processed-gene-0.84-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.84&CDS=1-1260	YJR065C
OG0001599	snap_masked-loc-_s294-processed-gene-0.85-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.85&CDS=1-1647	YJR064W
OG0001600	snap_masked-loc-_s294-processed-gene-0.58-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.58&CDS=1-951	YJR070C
OG0001601	snap_masked-loc-_s294-processed-gene-0.86-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.86&CDS=1-369	YJR063W
OG0001602	snap_masked-loc-_s294-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.59&CDS=1-891	YOR004W
OG0001603	snap_masked-loc-_s294-processed-gene-0.60-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.60&CDS=1-3792	YMR076C
OG0001604	snap_masked-loc-_s294-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.89&CDS=1-1461	YDL207W
OG0001605	snap_masked-loc-_s294-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.61&CDS=1-858	YDR237W
OG0001606	snap_masked-loc-_s294-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.62&CDS=1-663	YGR042W
OG0001607	snap_masked-loc-_s294-processed-gene-0.63-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.63&CDS=1-1107	YOL001W
OG0001608	snap_masked-loc-_s294-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.64&CDS=1-861	YMR178W
OG0001609	snap_masked-loc-_s294-processed-gene-0.91-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.91&CDS=1-2859	YOR335C
OG0001610	augustus_masked-loc-_s294-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-loc-_s294-processed-gene-0.113&CDS=1-2928	YGL073W
OG0001611	maker-loc-_s294-augustus-gene-0.2-mRNA-1_1&gene=maker-loc-_s294-augustus-gene-0.2&CDS=1-1065	YHR052W
OG0001612	snap_masked-loc-_s294-processed-gene-0.95-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.95&CDS=1-1335	YMR065W
OG0001613	genemark-loc-_s294-processed-gene-0.44-mRNA-1_1&gene=genemark-loc-_s294-processed-gene-0.44&CDS=1-966	YMR063W
OG0001614	augustus_masked-loc-_s294-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-loc-_s294-processed-gene-0.115&CDS=1-1077	YOL064C
OG0001615	maker-loc-_s294-snap-gene-0.51-mRNA-1_1&gene=maker-loc-_s294-snap-gene-0.51&CDS=1-1680	YPL097W
OG0001616	snap_masked-loc-_s294-processed-gene-0.97-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.97&CDS=1-1113	YPL096W
OG0001617	augustus_masked-loc-_s294-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-loc-_s294-processed-gene-0.117&CDS=1-1662	YOR002W
OG0001618	snap_masked-loc-_s294-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s294-processed-gene-0.72&CDS=1-1389	YPL120W
OG0001619	snap_masked-loc-_s295-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s295-processed-gene-0.1&CDS=1-2592	YGR157W
OG0001620	snap_masked-loc-_s295-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s295-processed-gene-0.6&CDS=1-909	YGR158C
OG0001621	genemark-loc-_s296-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_s296-processed-gene-0.0&CDS=1-828	YFR052W
OG0001622	genemark-loc-_s296-processed-gene-0.1-mRNA-1_1&gene=genemark-loc-_s296-processed-gene-0.1&CDS=1-813	YPL065W
OG0001623	maker-loc-_s296-snap-gene-0.5-mRNA-1_1&gene=maker-loc-_s296-snap-gene-0.5&CDS=1-1347	YPL066W
OG0001624	snap_masked-loc-_s298-processed-gene-0.51-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.51&CDS=1-5535	YER155C
OG0001625	snap_masked-loc-_s298-processed-gene-0.65-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.65&CDS=1-1236	YER154W
OG0001626	snap_masked-loc-_s298-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.67&CDS=1-3312	YLR383W
OG0001627	genemark-loc-_s298-processed-gene-0.21-mRNA-1_1&gene=genemark-loc-_s298-processed-gene-0.21&CDS=1-504	YBR137W
OG0001628	snap_masked-loc-_s298-processed-gene-0.56-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.56&CDS=1-252	YPR170W-B
OG0001629	snap_masked-loc-_s298-processed-gene-0.71-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.71&CDS=1-1011	YJR111C
OG0001630	maker-loc-_s298-snap-gene-0.3-mRNA-1_1&gene=maker-loc-_s298-snap-gene-0.3&CDS=1-2256	YJR110W
OG0001631	genemark-loc-_s298-processed-gene-0.26-mRNA-1_1&gene=genemark-loc-_s298-processed-gene-0.26&CDS=1-1578	YPR169W
OG0001632	snap_masked-loc-_s298-processed-gene-0.77-mRNA-1_1&gene=snap_masked-loc-_s298-processed-gene-0.77&CDS=1-3462	YAR042W
OG0001633	snap_masked-loc-_s299-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s299-processed-gene-0.8&CDS=1-609	YLR435W
OG0001634	snap_masked-loc-_s299-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s299-processed-gene-0.9&CDS=1-2628	YML065W
OG0001635	augustus_masked-loc-_s299-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-loc-_s299-processed-gene-0.4&CDS=1-681	YML064C
OG0001636	maker-loc-_s30-snap-gene-0.16-mRNA-1_1&gene=maker-loc-_s30-snap-gene-0.16&CDS=1-756	YOL143C
OG0001637	snap_masked-loc-_s30-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s30-processed-gene-0.28&CDS=1-2253	YJL057C
OG0001638	snap_masked-loc-_s30-processed-gene-0.32-mRNA-1_1&gene=snap_masked-loc-_s30-processed-gene-0.32&CDS=1-633	YOL114C
OG0001639	snap_masked-loc-_s30-processed-gene-0.24-mRNA-1_1&gene=snap_masked-loc-_s30-processed-gene-0.24&CDS=1-507	YOL149W
OG0001640	snap_masked-loc-_s301-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.64&CDS=1-504	YGL242C
OG0001641	snap_masked-loc-_s301-processed-gene-0.49-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.49&CDS=1-696	YJL121C
OG0001642	snap_masked-loc-_s301-processed-gene-0.65-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.65&CDS=1-471	YJL122W
OG0001643	genemark-loc-_s301-processed-gene-0.26-mRNA-1_1&gene=genemark-loc-_s301-processed-gene-0.26&CDS=1-636	YOL032W
OG0001644	snap_masked-loc-_s301-processed-gene-0.67-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.67&CDS=1-1089	YAL020C
OG0001645	augustus_masked-loc-_s301-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-loc-_s301-processed-gene-0.94&CDS=1-3879	YAL019W
OG0001646	snap_masked-loc-_s301-processed-gene-0.54-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.54&CDS=1-1155	YPL146C
OG0001647	snap_masked-loc-_s301-processed-gene-0.71-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.71&CDS=1-2832	YOR217W
OG0001648	snap_masked-loc-_s301-processed-gene-0.72-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.72&CDS=1-2505	YOR216C
OG0001649	snap_masked-loc-_s301-processed-gene-0.75-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.75&CDS=1-1431	YJL091C
OG0001650	maker-loc-_s301-augustus-gene-0.1-mRNA-1_1&gene=maker-loc-_s301-augustus-gene-0.1&CDS=1-1872	YPR107C
OG0001651	snap_masked-loc-_s301-processed-gene-0.76-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.76&CDS=1-2583	YPR105C
OG0001652	snap_masked-loc-_s301-processed-gene-0.77-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.77&CDS=1-1530	YNL239W
OG0001653	snap_masked-loc-_s301-processed-gene-0.78-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.78&CDS=1-1332	YOL041C
OG0001654	snap_masked-loc-_s301-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.59&CDS=1-1515	YLR330W
OG0001655	snap_masked-loc-_s301-processed-gene-0.79-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.79&CDS=1-372	YGR020C
OG0001656	snap_masked-loc-_s301-processed-gene-0.60-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.60&CDS=1-822	YGR021W
OG0001657	genemark-loc-_s301-processed-gene-0.39-mRNA-1_1&gene=genemark-loc-_s301-processed-gene-0.39&CDS=1-1227	YPR011C
OG0001658	snap_masked-loc-_s301-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.61&CDS=1-2295	YPL128C
OG0001659	snap_masked-loc-_s301-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.62&CDS=1-1167	YOR212W
OG0001660	snap_masked-loc-_s301-processed-gene-0.84-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.84&CDS=1-720	YPL129W
OG0001661	maker-loc-_s301-augustus-gene-0.3-mRNA-1_1&gene=maker-loc-_s301-augustus-gene-0.3&CDS=1-1134	YOR236W
OG0001662	maker-loc-_s301-augustus-gene-0.4-mRNA-1_1&gene=maker-loc-_s301-augustus-gene-0.4&CDS=1-720	YPL127C
OG0001663	snap_masked-loc-_s301-processed-gene-0.63-mRNA-1_1&gene=snap_masked-loc-_s301-processed-gene-0.63&CDS=1-255	YER058W
OG0001664	snap_masked-loc-_s304-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s304-processed-gene-0.7&CDS=1-771	YIL070C
OG0001665	snap_masked-loc-_s304-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s304-processed-gene-0.9&CDS=1-2577	YPR112C
OG0001666	snap_masked-loc-_s304-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s304-processed-gene-0.10&CDS=1-3930	YNL250W
OG0001667	genemark-loc-_s305-processed-gene-0.23-mRNA-1_1&gene=genemark-loc-_s305-processed-gene-0.23&CDS=1-933	YDR337W
OG0001668	snap_masked-loc-_s305-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s305-processed-gene-0.18&CDS=1-576	YJR112W
OG0001669	snap_masked-loc-_s305-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s305-processed-gene-0.11&CDS=1-876	YBL050W
OG0001670	snap_masked-loc-_s305-processed-gene-0.22-mRNA-1_1&gene=snap_masked-loc-_s305-processed-gene-0.22&CDS=1-2037	YAR014C
OG0001671	genemark-loc-_s306-processed-gene-0.2-mRNA-1_1&gene=genemark-loc-_s306-processed-gene-0.2&CDS=1-1107	YLR113W
OG0001672	snap_masked-loc-_s306-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s306-processed-gene-0.6&CDS=1-783	YMR077C
OG0001673	snap_masked-loc-_s306-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s306-processed-gene-0.11&CDS=1-1020	YGL040C
OG0001674	snap_masked-loc-_s308-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s308-processed-gene-0.4&CDS=1-180	YML081C-A
OG0001675	snap_masked-loc-_s309-processed-gene-0.33-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.33&CDS=1-1554	YOR310C
OG0001676	snap_masked-loc-_s309-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.28&CDS=1-4341	YHR164C
OG0001677	snap_masked-loc-_s309-processed-gene-0.34-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.34&CDS=1-2244	YLR207W
OG0001678	snap_masked-loc-_s309-processed-gene-0.38-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.38&CDS=1-1950	YPR175W
OG0001679	snap_masked-loc-_s309-processed-gene-0.31-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.31&CDS=1-498	YIR022W
OG0001680	maker-loc-_s314-augustus-gene-0.89-mRNA-1_1&gene=maker-loc-_s314-augustus-gene-0.89&CDS=1-2013	YPL172C
OG0001681	genemark-loc-_s314-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s314-processed-gene-0.3&CDS=1-912	YOR262W
OG0001682	snap_masked-loc-_s314-processed-gene-0.114-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.114&CDS=1-288	YOR265W
OG0001683	maker-loc-_s314-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s314-snap-gene-0.0&CDS=1-2988	YBL015W
OG0001684	snap_masked-loc-_s314-processed-gene-0.121-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.121&CDS=1-1410	YKL143W
OG0001685	snap_masked-loc-_s314-processed-gene-0.97-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.97&CDS=1-2118	YDL141W
OG0001686	snap_masked-loc-_s314-processed-gene-0.98-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.98&CDS=1-465	YDL008W
OG0001687	snap_masked-loc-_s314-processed-gene-0.99-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.99&CDS=1-1014	YNR041C
OG0001688	augustus_masked-loc-_s314-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-loc-_s314-processed-gene-0.75&CDS=1-4026	YDR495C
OG0001689	snap_masked-loc-_s314-processed-gene-0.124-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.124&CDS=1-861	YGL050W
OG0001690	augustus_masked-loc-_s314-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-loc-_s314-processed-gene-0.77&CDS=1-3777	YLR309C
OG0001691	snap_masked-loc-_s314-processed-gene-0.103-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.103&CDS=1-1098	YJL053W
OG0001692	snap_masked-loc-_s314-processed-gene-0.127-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.127&CDS=1-789	YEL021W
OG0001693	snap_masked-loc-_s314-processed-gene-0.106-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.106&CDS=1-2331	YMR075W
OG0001694	snap_masked-loc-_s314-processed-gene-0.107-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.107&CDS=1-1290	YMR062C
OG0001695	snap_masked-loc-_s314-processed-gene-0.130-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.130&CDS=1-825	YDL114W
OG0001696	snap_masked-loc-_s314-processed-gene-0.132-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.132&CDS=1-639	YOR115C
OG0001697	snap_masked-loc-_s315-processed-gene-0.24-mRNA-1_1&gene=snap_masked-loc-_s315-processed-gene-0.24&CDS=1-1542	YJR152W
OG0001698	snap_masked-loc-_s315-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s315-processed-gene-0.25&CDS=1-570	YLR066W
OG0001699	augustus_masked-loc-_s315-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-loc-_s315-processed-gene-0.16&CDS=1-2274	YNL247W
OG0001700	genemark-loc-_s315-processed-gene-0.9-mRNA-1_1&gene=genemark-loc-_s315-processed-gene-0.9&CDS=1-2292	YLR069C
OG0001701	snap_masked-loc-_s316-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s316-processed-gene-0.20&CDS=1-1431	YDL103C
OG0001702	snap_masked-loc-_s316-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s316-processed-gene-0.17&CDS=1-966	YJR093C
OG0001703	genemark-loc-_s316-processed-gene-0.10-mRNA-1_1&gene=genemark-loc-_s316-processed-gene-0.10&CDS=1-1191	YPR041W
OG0001704	snap_masked-loc-_s316-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s316-processed-gene-0.25&CDS=1-1344	YJR084W
OG0001705	genemark-loc-_s318-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_s318-processed-gene-0.0&CDS=1-1158	YHR002W
OG0001706	snap_masked-loc-_s318-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.25&CDS=1-747	YGR147C
OG0001707	snap_masked-loc-_s318-processed-gene-0.26-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.26&CDS=1-1296	YKL027W
OG0001708	snap_masked-loc-_s318-processed-gene-0.27-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.27&CDS=1-732	YBR261C
OG0001709	snap_masked-loc-_s318-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.18&CDS=1-522	YOL146W
OG0001710	snap_masked-loc-_s318-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.28&CDS=1-3150	YOL145C
OG0001711	snap_masked-loc-_s318-processed-gene-0.19-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.19&CDS=1-1305	YBR143C
OG0001712	snap_masked-loc-_s318-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.30&CDS=1-2604	YBR142W
OG0001713	snap_masked-loc-_s318-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s318-processed-gene-0.20&CDS=1-960	YBR141C
OG0001714	maker-loc-_s323-snap-gene-0.5-mRNA-1_1&gene=maker-loc-_s323-snap-gene-0.5&CDS=1-1557	YDR145W
OG0001715	augustus_masked-loc-_s324-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-loc-_s324-processed-gene-0.111&CDS=1-2352	YGR171C
OG0001716	snap_masked-loc-_s324-processed-gene-0.58-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.58&CDS=1-3939	YGR270W
OG0001717	snap_masked-loc-_s324-processed-gene-0.80-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.80&CDS=1-336	YGR063C
OG0001718	snap_masked-loc-_s324-processed-gene-0.59-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.59&CDS=1-870	YGR062C
OG0001719	snap_masked-loc-_s324-processed-gene-0.82-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.82&CDS=1-2556	YGL227W
OG0001720	snap_masked-loc-_s324-processed-gene-0.60-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.60&CDS=1-759	YGR262C
OG0001721	snap_masked-loc-_s324-processed-gene-0.83-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.83&CDS=1-1251	YLL006W
OG0001722	snap_masked-loc-_s324-processed-gene-0.84-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.84&CDS=1-1287	YGR202C
OG0001723	snap_masked-loc-_s324-processed-gene-0.61-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.61&CDS=1-423	YGR203W
OG0001724	snap_masked-loc-_s324-processed-gene-0.86-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.86&CDS=1-462	YLR008C
OG0001725	genemark-loc-_s324-processed-gene-0.7-mRNA-1_1&gene=genemark-loc-_s324-processed-gene-0.7&CDS=1-591	YLR009W
OG0001726	genemark-loc-_s324-processed-gene-0.8-mRNA-1_1&gene=genemark-loc-_s324-processed-gene-0.8&CDS=1-426	YBR167C
OG0001727	snap_masked-loc-_s324-processed-gene-0.88-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.88&CDS=1-609	YJR014W
OG0001728	snap_masked-loc-_s324-processed-gene-0.89-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.89&CDS=1-2820	YGR198W
OG0001729	snap_masked-loc-_s324-processed-gene-0.90-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.90&CDS=1-2121	YMR167W
OG0001730	snap_masked-loc-_s324-processed-gene-0.69-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.69&CDS=1-1029	YDL105W
OG0001731	snap_masked-loc-_s324-processed-gene-0.91-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.91&CDS=1-1248	YDL104C
OG0001732	snap_masked-loc-_s324-processed-gene-0.70-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.70&CDS=1-1059	YMR166C
OG0001733	snap_masked-loc-_s324-processed-gene-0.93-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.93&CDS=1-1608	YHL036W
OG0001734	snap_masked-loc-_s324-processed-gene-0.94-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.94&CDS=1-4899	YLL048C
OG0001735	snap_masked-loc-_s324-processed-gene-0.97-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.97&CDS=1-447	YFR033C
OG0001736	snap_masked-loc-_s324-processed-gene-0.102-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.102&CDS=1-2625	YLL032C
OG0001737	snap_masked-loc-_s324-processed-gene-0.103-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.103&CDS=1-1131	YDR142C
OG0001738	genemark-loc-_s324-processed-gene-0.47-mRNA-1_1&gene=genemark-loc-_s324-processed-gene-0.47&CDS=1-1626	YLR133W
OG0001739	snap_masked-loc-_s324-processed-gene-0.105-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.105&CDS=1-1149	YLR403W
OG0001740	snap_masked-loc-_s324-processed-gene-0.106-mRNA-1_1&gene=snap_masked-loc-_s324-processed-gene-0.106&CDS=1-1674	YOR386W
OG0001741	snap_masked-loc-_s325-processed-gene-0.14-mRNA-1_1&gene=snap_masked-loc-_s325-processed-gene-0.14&CDS=1-3747	YOL051W
