	Lachancea_cidri	Saccharomyces_cerevisiae
OG0002114	snap_masked-LACI0F-processed-gene-13.69-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.69&CDS=1-807	YGL154C
OG0002115	snap_masked-LACI0F-processed-gene-13.70-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.70&CDS=1-891	YDL119C
OG0002116	snap_masked-LACI0F-processed-gene-13.96-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.96&CDS=1-1107	YGL155W
OG0002117	maker-LACI0F-augustus-gene-13.57-mRNA-1_1&gene=maker-LACI0F-augustus-gene-13.57&CDS=1-4005	YGL156W
OG0002118	snap_masked-LACI0F-processed-gene-13.71-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.71&CDS=1-432	YDL121C
OG0002119	snap_masked-LACI0F-processed-gene-13.100-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.100&CDS=1-2259	YDL122W
OG0002120	snap_masked-LACI0F-processed-gene-13.101-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.101&CDS=1-1242	YNL016W
OG0002121	snap_masked-LACI0F-processed-gene-13.72-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.72&CDS=1-1047	YIL083C
OG0002122	maker-LACI0F-augustus-gene-13.58-mRNA-1_1&gene=maker-LACI0F-augustus-gene-13.58&CDS=1-3015	YNL026W
OG0002123	genemark-LACI0F-processed-gene-13.42-mRNA-1_1&gene=genemark-LACI0F-processed-gene-13.42&CDS=1-1242	YML005W
OG0002124	snap_masked-LACI0F-processed-gene-13.105-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.105&CDS=1-801	YNL032W
OG0002125	snap_masked-LACI0F-processed-gene-13.77-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.77&CDS=1-1398	YIL088C
OG0002126	snap_masked-LACI0F-processed-gene-13.107-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.107&CDS=1-894	YNL025C
OG0002127	snap_masked-LACI0F-processed-gene-13.108-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.108&CDS=1-1206	YIL090W
OG0002128	snap_masked-LACI0F-processed-gene-13.78-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.78&CDS=1-2151	YIL091C
OG0002129	snap_masked-LACI0F-processed-gene-13.79-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.79&CDS=1-783	YIL093C
OG0002130	snap_masked-LACI0F-processed-gene-13.109-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.109&CDS=1-756	YNL024C
OG0002131	snap_masked-LACI0F-processed-gene-13.110-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.110&CDS=1-2886	YNL023C
OG0002132	augustus_masked-LACI0F-processed-gene-13.133-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-13.133&CDS=1-1104	YIL094C
OG0002133	augustus_masked-LACI0F-processed-gene-13.158-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-13.158&CDS=1-1431	YNL022C
OG0002134	snap_masked-LACI0F-processed-gene-13.81-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.81&CDS=1-2130	YNL021W
OG0002135	snap_masked-LACI0F-processed-gene-13.82-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.82&CDS=1-1161	YNL035C
OG0002136	snap_masked-LACI0F-processed-gene-13.83-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.83&CDS=1-1680	YNL039W
OG0002137	snap_masked-LACI0F-processed-gene-13.84-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.84&CDS=1-249	YNL038W
OG0002138	snap_masked-LACI0F-processed-gene-13.85-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.85&CDS=1-993	YIL096C
OG0002139	snap_masked-LACI0F-processed-gene-13.112-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.112&CDS=1-1533	YIL097W
OG0002140	snap_masked-LACI0F-processed-gene-13.113-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.113&CDS=1-1083	YNL037C
OG0002141	augustus_masked-LACI0F-processed-gene-13.138-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-13.138&CDS=1-492	YIL098C
OG0002142	snap_masked-LACI0F-processed-gene-13.114-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.114&CDS=1-1851	YIL099W
OG0002143	snap_masked-LACI0F-processed-gene-13.87-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.87&CDS=1-654	YNL036W
OG0002144	snap_masked-LACI0F-processed-gene-13.88-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.88&CDS=1-1953	YIL101C
OG0002145	snap_masked-LACI0F-processed-gene-13.89-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.89&CDS=1-2436	YNL041C
OG0002146	snap_masked-LACI0F-processed-gene-13.115-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.115&CDS=1-1275	YIL103W
OG0002147	snap_masked-LACI0F-processed-gene-13.90-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.90&CDS=1-1464	YIL104C
OG0002148	snap_masked-LACI0F-processed-gene-14.1-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.1&CDS=1-927	YNL042W
OG0002149	maker-LACI0F-snap-gene-14.126-mRNA-1_1&gene=maker-LACI0F-snap-gene-14.126&CDS=1-2433	YNL045W
OG0002150	genemark-LACI0F-processed-gene-14.48-mRNA-1_1&gene=genemark-LACI0F-processed-gene-14.48&CDS=1-1974	YIL105C
OG0002151	snap_masked-LACI0F-processed-gene-14.4-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.4&CDS=1-1743	YNL048W
OG0002152	snap_masked-LACI0F-processed-gene-14.5-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.5&CDS=1-804	YIL106W
OG0002153	snap_masked-LACI0F-processed-gene-14.6-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.6&CDS=1-2208	YIL107C
OG0002154	snap_masked-LACI0F-processed-gene-14.22-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.22&CDS=1-2064	YIL108W
OG0002155	snap_masked-LACI0F-processed-gene-14.7-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.7&CDS=1-2685	YIL109C
OG0002156	snap_masked-LACI0F-processed-gene-14.8-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.8&CDS=1-726	YNL050C
OG0002157	snap_masked-LACI0F-processed-gene-14.23-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.23&CDS=1-1164	YNL051W
OG0002158	augustus_masked-LACI0F-processed-gene-14.110-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-14.110&CDS=1-4641	YIL110W
OG0002159	genemark-LACI0F-processed-gene-14.74-mRNA-1_1&gene=genemark-LACI0F-processed-gene-14.74&CDS=1-1374	YIL113W
OG0002160	snap_masked-LACI0F-processed-gene-14.27-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.27&CDS=1-2031	YNL054W
OG0002161	snap_masked-LACI0F-processed-gene-14.9-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.9&CDS=1-843	YNL055C
OG0002162	snap_masked-LACI0F-processed-gene-14.10-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.10&CDS=1-4626	YIL115C
OG0002163	maker-LACI0F-augustus-gene-14.46-mRNA-1_1&gene=maker-LACI0F-augustus-gene-14.46&CDS=1-1554	YIL116W
OG0002164	snap_masked-LACI0F-processed-gene-14.30-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.30&CDS=1-699	YIL118W
OG0002165	snap_masked-LACI0F-processed-gene-14.31-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.31&CDS=1-1857	YNL061W
OG0002166	snap_masked-LACI0F-processed-gene-14.14-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.14&CDS=1-1395	YNL062C
OG0002167	snap_masked-LACI0F-processed-gene-14.32-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.32&CDS=1-879	YNL063W
OG0002168	snap_masked-LACI0F-processed-gene-14.15-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.15&CDS=1-1224	YNL064C
OG0002169	maker-LACI0F-augustus-gene-14.47-mRNA-1_1&gene=maker-LACI0F-augustus-gene-14.47&CDS=1-3474	YNL065W
OG0002170	snap_masked-LACI0F-processed-gene-14.36-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.36&CDS=1-861	YIL124W
OG0002171	snap_masked-LACI0F-processed-gene-14.37-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.37&CDS=1-3036	YIL125W
OG0002172	snap_masked-LACI0F-processed-gene-14.17-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.17&CDS=1-606	YIL127C
OG0002173	snap_masked-LACI0F-processed-gene-14.40-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.40&CDS=1-3057	YIL128W
OG0002174	snap_masked-LACI0F-processed-gene-14.18-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.18&CDS=1-7746	YIL129C
OG0002175	augustus_masked-LACI0F-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-14.105&CDS=1-2007	YNL068C
OG0002176	snap_masked-LACI0F-processed-gene-14.20-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.20&CDS=1-627	YIL132C
OG0002177	augustus_masked-LACI0F-processed-gene-15.111-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.111&CDS=1-3525	YNL071W
OG0002178	augustus_masked-LACI0F-processed-gene-15.112-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.112&CDS=1-1602	YNL073W
OG0002179	augustus_masked-LACI0F-processed-gene-15.110-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.110&CDS=1-1356	YIL135C
OG0002180	snap_masked-LACI0F-processed-gene-15.60-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.60&CDS=1-849	YNL075W
OG0002181	snap_masked-LACI0F-processed-gene-15.61-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.61&CDS=1-1836	YNL076W
OG0002182	snap_masked-LACI0F-processed-gene-15.80-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.80&CDS=1-1650	YIL136W
OG0002183	snap_masked-LACI0F-processed-gene-15.81-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.81&CDS=1-1314	YNL077W
OG0002184	snap_masked-LACI0F-processed-gene-15.62-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.62&CDS=1-2697	YIL137C
OG0002185	augustus_masked-LACI0F-processed-gene-15.133-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.133&CDS=1-1578	YNL078W
OG0002186	snap_masked-LACI0F-processed-gene-15.63-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.63&CDS=1-483	YNL079C
OG0002187	snap_masked-LACI0F-processed-gene-15.64-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.64&CDS=1-927	YNL080C
OG0002188	snap_masked-LACI0F-processed-gene-15.65-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.65&CDS=1-435	YNL081C
OG0002189	snap_masked-LACI0F-processed-gene-15.83-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.83&CDS=1-2550	YNL082W
OG0002190	augustus_masked-LACI0F-processed-gene-15.118-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.118&CDS=1-735	YIL139C
OG0002191	snap_masked-LACI0F-processed-gene-15.84-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.84&CDS=1-1548	YNL083W
OG0002192	augustus_masked-LACI0F-processed-gene-15.119-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.119&CDS=1-1581	YIL142W
OG0002193	snap_masked-LACI0F-processed-gene-15.85-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.85&CDS=1-1149	YNL084C
OG0002194	augustus_masked-LACI0F-processed-gene-15.120-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.120&CDS=1-2454	YIL140W
OG0002195	augustus_masked-LACI0F-processed-gene-15.138-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.138&CDS=1-2403	YNL085W
OG0002196	snap_masked-LACI0F-processed-gene-15.70-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.70&CDS=1-1044	YOR085W
OG0002197	snap_masked-LACI0F-processed-gene-15.88-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.88&CDS=1-300	YNL086W
OG0002198	snap_masked-LACI0F-processed-gene-15.89-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.89&CDS=1-3507	YOR086C
OG0002199	snap_masked-LACI0F-processed-gene-15.90-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.90&CDS=1-4245	YNL088W
OG0002200	augustus_masked-LACI0F-processed-gene-15.141-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.141&CDS=1-561	YNL090W
OG0002201	augustus_masked-LACI0F-processed-gene-15.142-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.142&CDS=1-3639	YNL091W
OG0002202	snap_masked-LACI0F-processed-gene-15.71-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.71&CDS=1-2016	YOR087W
OG0002203	snap_masked-LACI0F-processed-gene-15.95-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.95&CDS=1-1524	YOR090C
OG0002204	snap_masked-LACI0F-processed-gene-15.72-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.72&CDS=1-1023	YOR091W
OG0002205	snap_masked-LACI0F-processed-gene-15.96-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.96&CDS=1-1776	YNL094W
OG0002206	snap_masked-LACI0F-processed-gene-15.98-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.98&CDS=1-4827	YOR093C
OG0002207	snap_masked-LACI0F-processed-gene-15.73-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.73&CDS=1-543	YOR094W
OG0002208	augustus_masked-LACI0F-processed-gene-15.148-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.148&CDS=1-825	YOR095C
OG0002209	maker-LACI0F-snap-gene-15.153-mRNA-1_1&gene=maker-LACI0F-snap-gene-15.153&CDS=1-567	YOR096W
OG0002210	augustus_masked-LACI0F-processed-gene-15.149-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.149&CDS=1-2709	YOR098C
OG0002211	snap_masked-LACI0F-processed-gene-15.101-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.101&CDS=1-972	YOR100C
OG0002212	snap_masked-LACI0F-processed-gene-15.102-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.102&CDS=1-1104	YGR173W
OG0002213	maker-LACI0F-augustus-gene-15.1-mRNA-1_1&gene=maker-LACI0F-augustus-gene-15.1&CDS=1-2235	YGR171C
OG0002214	maker-LACI0F-augustus-gene-15.4-mRNA-1_1&gene=maker-LACI0F-augustus-gene-15.4&CDS=1-4497	YGR170W
OG0002215	augustus_masked-LACI0F-processed-gene-15.152-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-15.152&CDS=1-1029	YJL023C
OG0002216	snap_masked-LACI0F-processed-gene-15.79-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-15.79&CDS=1-1239	YGR169C
OG0002217	snap_masked-LACI0F-processed-gene-16.149-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.149&CDS=1-3492	YJL020C
OG0002218	snap_masked-LACI0F-processed-gene-16.150-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.150&CDS=1-651	YGR167W
OG0002219	snap_masked-LACI0F-processed-gene-16.151-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.151&CDS=1-1485	YGR166W
OG0002220	snap_masked-LACI0F-processed-gene-16.152-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.152&CDS=1-1029	YGR165W
OG0002221	snap_masked-LACI0F-processed-gene-16.147-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.147&CDS=1-1854	YJL019W
OG0002222	snap_masked-LACI0F-processed-gene-16.148-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.148&CDS=1-1524	YJL016W
OG0002223	snap_masked-LACI0F-processed-gene-16.153-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.153&CDS=1-1602	YJL014W
OG0002224	augustus_masked-LACI0F-processed-gene-16.108-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.108&CDS=1-5469	YJL012C
OG0002225	snap_masked-LACI0F-processed-gene-16.186-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.186&CDS=1-1371	YGR189C
OG0002226	snap_masked-LACI0F-processed-gene-16.187-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.187&CDS=1-4563	YHR186C
OG0002227	snap_masked-LACI0F-processed-gene-16.154-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.154&CDS=1-882	YHR187W
OG0002228	genemark-LACI0F-processed-gene-16.50-mRNA-1_1&gene=genemark-LACI0F-processed-gene-16.50&CDS=1-1956	YHR188C
OG0002229	augustus_masked-LACI0F-processed-gene-16.86-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.86&CDS=1-2910	YMR288W
OG0002230	genemark-LACI0F-processed-gene-16.51-mRNA-1_1&gene=genemark-LACI0F-processed-gene-16.51&CDS=1-2364	YGR261C
OG0002231	augustus_masked-LACI0F-processed-gene-16.87-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.87&CDS=1-1158	YMR289W
OG0002232	snap_masked-LACI0F-processed-gene-16.190-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.190&CDS=1-789	YGR262C
OG0002233	maker-LACI0F-snap-gene-16.140-mRNA-1_1&gene=maker-LACI0F-snap-gene-16.140&CDS=1-3768	YGR264C
OG0002234	snap_masked-LACI0F-processed-gene-16.155-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.155&CDS=1-2067	YGR266W
OG0002235	genemark-LACI0F-processed-gene-16.20-mRNA-1_1&gene=genemark-LACI0F-processed-gene-16.20&CDS=1-1614	YMR291W
OG0002236	maker-LACI0F-augustus-gene-16.3-mRNA-1_1&gene=maker-LACI0F-augustus-gene-16.3&CDS=1-1332	YGR267C
OG0002237	snap_masked-LACI0F-processed-gene-16.156-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.156&CDS=1-408	YMR292W
OG0002238	snap_masked-LACI0F-processed-gene-16.157-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.157&CDS=1-4101	YGR270W
OG0002239	snap_masked-LACI0F-processed-gene-16.195-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.195&CDS=1-1389	YMR293C
OG0002240	snap_masked-LACI0F-processed-gene-16.158-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.158&CDS=1-1092	YMR294W
OG0002241	maker-LACI0F-augustus-gene-16.4-mRNA-1_1&gene=maker-LACI0F-augustus-gene-16.4&CDS=1-2841	YMR296C
OG0002242	snap_masked-LACI0F-processed-gene-16.161-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.161&CDS=1-420	YMR298W
OG0002243	snap_masked-LACI0F-processed-gene-16.199-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.199&CDS=1-3006	YGR274C
OG0002244	snap_masked-LACI0F-processed-gene-16.162-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.162&CDS=1-534	YGR275W
OG0002245	snap_masked-LACI0F-processed-gene-16.200-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.200&CDS=1-2001	YGR276C
OG0002246	snap_masked-LACI0F-processed-gene-16.201-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.201&CDS=1-1089	YMR299C
OG0002247	snap_masked-LACI0F-processed-gene-16.202-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.202&CDS=1-1530	YMR300C
OG0002248	maker-LACI0F-snap-gene-16.142-mRNA-1_1&gene=maker-LACI0F-snap-gene-16.142&CDS=1-2823	YMR301C
OG0002249	snap_masked-LACI0F-processed-gene-16.164-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.164&CDS=1-1626	YMR313C
OG0002250	snap_masked-LACI0F-processed-gene-16.204-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.204&CDS=1-819	YMR312W
OG0002251	genemark-LACI0F-processed-gene-16.29-mRNA-1_1&gene=genemark-LACI0F-processed-gene-16.29&CDS=1-1299	YGR285C
OG0002252	snap_masked-LACI0F-processed-gene-16.166-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.166&CDS=1-915	YGR284C
OG0002253	snap_masked-LACI0F-processed-gene-16.167-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.167&CDS=1-624	YMR311C
OG0002254	snap_masked-LACI0F-processed-gene-16.168-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.168&CDS=1-1263	YMR310C
OG0002255	snap_masked-LACI0F-processed-gene-16.169-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.169&CDS=1-927	YGR282C
OG0002256	snap_masked-LACI0F-processed-gene-16.170-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.170&CDS=1-2514	YMR309C
OG0002257	augustus_masked-LACI0F-processed-gene-16.102-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.102&CDS=1-4185	YMR308C
OG0002258	snap_masked-LACI0F-processed-gene-16.176-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.176&CDS=1-1167	YGR279C
OG0002259	snap_masked-LACI0F-processed-gene-16.210-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.210&CDS=1-1752	YGR278W
OG0002260	snap_masked-LACI0F-processed-gene-16.177-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.177&CDS=1-879	YGR277C
OG0002261	snap_masked-LACI0F-processed-gene-16.211-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.211&CDS=1-3570	YMR304W
OG0002262	augustus_masked-LACI0F-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.105&CDS=1-4110	YMR302C
OG0002263	snap_masked-LACI0G-processed-gene-0.97-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.97&CDS=1-702	YIR038C
OG0002264	snap_masked-LACI0G-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.98&CDS=1-1722	YBR293W
OG0002265	snap_masked-LACI0G-processed-gene-0.89-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.89&CDS=1-1947	YFL054C
OG0002266	snap_masked-LACI0G-processed-gene-0.110-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.110&CDS=1-1191	YHR208W
OG0002267	snap_masked-LACI0G-processed-gene-0.90-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.90&CDS=1-669	YER183C
OG0002268	snap_masked-LACI0G-processed-gene-0.111-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.111&CDS=1-711	YER182W
OG0002269	snap_masked-LACI0G-processed-gene-0.91-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.91&CDS=1-1455	YHR207C
OG0002270	snap_masked-LACI0G-processed-gene-0.112-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.112&CDS=1-1380	YHR206W
OG0002271	genemark-LACI0G-processed-gene-0.32-mRNA-1_1&gene=genemark-LACI0G-processed-gene-0.32&CDS=1-2142	YHR205W
OG0002272	snap_masked-LACI0G-processed-gene-0.114-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.114&CDS=1-2370	YHR204W
OG0002273	augustus_masked-LACI0G-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-0.77&CDS=1-1779	YHR202W
OG0002274	snap_masked-LACI0G-processed-gene-0.115-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.115&CDS=1-783	YJR144W
OG0002275	snap_masked-LACI0G-processed-gene-1.48-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.48&CDS=1-2268	YJR143C
OG0002276	snap_masked-LACI0G-processed-gene-1.51-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.51&CDS=1-1026	YJR142W
OG0002277	snap_masked-LACI0G-processed-gene-1.49-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.49&CDS=1-1149	YHR201C
OG0002278	snap_masked-LACI0G-processed-gene-1.50-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.50&CDS=1-5958	YJR140C
OG0002279	snap_masked-LACI0G-processed-gene-1.73-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.73&CDS=1-4746	YJR138W
OG0002280	snap_masked-LACI0G-processed-gene-1.74-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.74&CDS=1-780	YHR200W
OG0002281	augustus_masked-LACI0G-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-1.8&CDS=1-5151	YJR137C
OG0002282	snap_masked-LACI0G-processed-gene-1.54-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.54&CDS=1-1266	YJR136C
OG0002283	snap_masked-LACI0G-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.76&CDS=1-261	YJR135W-A
OG0002284	snap_masked-LACI0G-processed-gene-1.55-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.55&CDS=1-687	YJR135C
OG0002285	snap_masked-LACI0G-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.77&CDS=1-2286	YHR197W
OG0002286	snap_masked-LACI0G-processed-gene-1.56-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.56&CDS=1-1962	YJR134C
OG0002287	snap_masked-LACI0G-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.78&CDS=1-639	YJR133W
OG0002288	snap_masked-LACI0G-processed-gene-1.79-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.79&CDS=1-1623	YHR196W
OG0002289	snap_masked-LACI0G-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.80&CDS=1-3144	YJR132W
OG0002290	augustus_masked-LACI0G-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-1.34&CDS=1-1725	YHR194W
OG0002291	snap_masked-LACI0G-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.57&CDS=1-540	YHR193C
OG0002292	snap_masked-LACI0G-processed-gene-1.83-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.83&CDS=1-786	YHR192W
OG0002293	snap_masked-LACI0G-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.84&CDS=1-1641	YJR131W
OG0002294	snap_masked-LACI0G-processed-gene-1.58-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-1.58&CDS=1-1947	YJR130C
OG0002295	maker-LACI0G-augustus-gene-1.95-mRNA-1_1&gene=maker-LACI0G-augustus-gene-1.95&CDS=1-1965	YIR029W
