	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0002007	YHR186C	snap_masked-scf7180000020166-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000020166-processed-gene-0.55&CDS=1-4509
OG0002008	YHR187W	genemark-scf7180000020166-processed-gene-0.103-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.103&CDS=1-942
OG0002009	YHR188C	genemark-scf7180000020166-processed-gene-0.132-mRNA-1_1&gene=genemark-scf7180000020166-processed-gene-0.132&CDS=1-2007
OG0002010	YHR190W	augustus_masked-scf7180000020127-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scf7180000020127-processed-gene-0.101&CDS=1-1470
OG0002011	YHR191C	genemark-scf7180000020169-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.80&CDS=1-387
OG0002012	YHR192W	augustus_masked-scf7180000020169-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-scf7180000020169-processed-gene-0.190&CDS=1-675
OG0002013	YHR193C	genemark-scf7180000020169-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.79&CDS=1-510
OG0002014	YHR194W	genemark-scf7180000020169-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.117&CDS=1-1164
OG0002015	YHR195W	augustus_masked-scf7180000020169-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-scf7180000020169-processed-gene-0.188&CDS=1-1053
OG0002016	YHR196W	genemark-scf7180000020062-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000020062-processed-gene-0.29&CDS=1-1755
OG0002017	YHR197W	genemark-scf7180000020169-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.115&CDS=1-2340
OG0002018	YHR200W	genemark-scf7180000020169-processed-gene-0.114-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.114&CDS=1-867
OG0002019	YHR201C	genemark-scf7180000020169-processed-gene-0.75-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.75&CDS=1-1200
OG0002020	YHR202W	genemark-scf7180000020169-processed-gene-0.112-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.112&CDS=1-1851
OG0002021	YHR204W	maker-scf7180000019978-snap-gene-0.18-mRNA-1_1&gene=maker-scf7180000019978-snap-gene-0.18&CDS=1-2424
OG0002022	YHR205W	genemark-scf7180000019978-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000019978-processed-gene-0.21&CDS=1-2352
OG0002023	YHR206W	genemark-scf7180000019978-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000019978-processed-gene-0.22&CDS=1-2127
OG0002024	YHR207C	genemark-scf7180000019978-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000019978-processed-gene-0.26&CDS=1-1521
OG0002025	YHR209W	genemark-scf7180000020187-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020187-processed-gene-0.47&CDS=1-876
OG0002026	YIL001W	genemark-scf7180000020094-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020094-processed-gene-0.15&CDS=1-1626
OG0002027	YIL002C	genemark-scf7180000020078-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000020078-processed-gene-0.47&CDS=1-2904
OG0002028	YIL003W	genemark-scf7180000020234-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.74&CDS=1-897
OG0002029	YIL004C	genemark-scf7180000020078-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020078-processed-gene-0.46&CDS=1-438
OG0002030	YIL005W	snap_masked-scf7180000020078-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000020078-processed-gene-0.1&CDS=1-3288
OG0002031	YIL008W	maker-scf7180000020226-snap-gene-0.44-mRNA-1_1&gene=maker-scf7180000020226-snap-gene-0.44&CDS=1-1410
OG0002032	YIL010W	maker-scf7180000020145-snap-gene-0.15-mRNA-1_1&gene=maker-scf7180000020145-snap-gene-0.15&CDS=1-633
OG0002033	YIL011W	genemark-scf7180000020145-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020145-processed-gene-0.3&CDS=1-696
OG0002034	YIL013C	genemark-scf7180000020145-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000020145-processed-gene-0.13&CDS=1-4164
OG0002035	YIL014W	snap_masked-scf7180000020145-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000020145-processed-gene-0.19&CDS=1-2028
OG0002036	YIL015W	genemark-scf7180000020198-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.60&CDS=1-1521
OG0002037	YIL016W	genemark-scf7180000020198-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.59&CDS=1-441
OG0002038	YIL017C	genemark-scf7180000020198-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.67&CDS=1-2856
OG0002039	YIL019W	genemark-scf7180000020234-processed-gene-0.94-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.94&CDS=1-1122
OG0002040	YIL020C	genemark-scf7180000020198-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.66&CDS=1-783
OG0002041	YIL021W	genemark-scf7180000020198-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.57&CDS=1-951
OG0002042	YIL022W	genemark-scf7180000020198-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.56&CDS=1-1374
OG0002043	YIL023C	genemark-scf7180000020198-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.64&CDS=1-1200
OG0002044	YIL026C	genemark-scf7180000020234-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000020234-processed-gene-0.95&CDS=1-3471
OG0002045	YIL027C	genemark-scf7180000020198-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.54&CDS=1-414
OG0002046	YIL030C	genemark-scf7180000020198-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.55&CDS=1-3837
OG0002047	YIL031W	genemark-scf7180000020198-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.65&CDS=1-3414
OG0002048	YIL034C	genemark-scf7180000020198-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.63&CDS=1-852
OG0002049	YIL035C	genemark-scf7180000020198-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.62&CDS=1-1218
OG0002050	YIL038C	genemark-scf7180000020091-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.18&CDS=1-2616
OG0002051	YIL039W	snap_masked-scf7180000020091-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000020091-processed-gene-0.34&CDS=1-1440
OG0002052	YIL040W	snap_masked-scf7180000020091-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000020091-processed-gene-0.33&CDS=1-405
OG0002053	YIL041W	genemark-scf7180000020091-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.9&CDS=1-1050
OG0002054	YIL042C	snap_masked-scf7180000020091-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000020091-processed-gene-0.41&CDS=1-1266
OG0002055	YIL043C	genemark-scf7180000020091-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.16&CDS=1-864
OG0002056	YIL044C	genemark-scf7180000020091-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.15&CDS=1-861
OG0002057	YIL046W	genemark-scf7180000020091-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.7&CDS=1-2058
OG0002058	YIL047C	genemark-scf7180000020091-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.14&CDS=1-2700
OG0002059	YIL048W	genemark-scf7180000020091-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.6&CDS=1-3465
OG0002060	YIL055C	augustus_masked-scf7180000019975-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000019975-processed-gene-0.8&CDS=1-1935
OG0002061	YIL057C	genemark-scf7180000020150-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020150-processed-gene-0.43&CDS=1-528
OG0002062	YIL061C	maker-scf7180000019974-augustus-gene-0.47-mRNA-1_1&gene=maker-scf7180000019974-augustus-gene-0.47&CDS=1-900
OG0002063	YIL062C	genemark-scf7180000020106-processed-gene-0.156-mRNA-1_1&gene=genemark-scf7180000020106-processed-gene-0.156&CDS=1-456
OG0002064	YIL063C	genemark-scf7180000020150-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000020150-processed-gene-0.44&CDS=1-1026
OG0002065	YIL064W	genemark-scf7180000020150-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000020150-processed-gene-0.64&CDS=1-690
OG0002066	YIL065C	genemark-scf7180000020150-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020150-processed-gene-0.45&CDS=1-465
OG0002067	YIL068C	genemark-scf7180000020210-processed-gene-1.16-mRNA-1_1&gene=genemark-scf7180000020210-processed-gene-1.16&CDS=1-2427
OG0002068	YIL070C	genemark-scf7180000020124-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000020124-processed-gene-0.5&CDS=1-807
OG0002069	YIL071C	augustus_masked-scf7180000020124-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000020124-processed-gene-0.2&CDS=1-1299
OG0002070	YIL072W	genemark-scf7180000020124-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000020124-processed-gene-0.8&CDS=1-2022
OG0002071	YIL073C	augustus_masked-scf7180000020168-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-scf7180000020168-processed-gene-0.137&CDS=1-3066
OG0002072	YIL075C	genemark-scf7180000020168-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.72&CDS=1-2781
OG0002073	YIL076W	genemark-scf7180000020168-processed-gene-0.98-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.98&CDS=1-888
OG0002074	YIL077C	snap_masked-scf7180000020168-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000020168-processed-gene-0.3&CDS=1-984
OG0002075	YIL078W	snap_masked-scf7180000020168-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000020168-processed-gene-0.29&CDS=1-2175
OG0002076	YIL083C	genemark-scf7180000020093-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.46&CDS=1-1092
OG0002077	YIL088C	maker-scf7180000020093-augustus-gene-0.54-mRNA-1_1&gene=maker-scf7180000020093-augustus-gene-0.54&CDS=1-2040
OG0002078	YIL090W	genemark-scf7180000020093-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.30&CDS=1-1437
OG0002079	YIL091C	genemark-scf7180000020093-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.41&CDS=1-2160
OG0002080	YIL093C	genemark-scf7180000020093-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.40&CDS=1-804
OG0002081	YIL094C	genemark-scf7180000020093-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.39&CDS=1-1113
OG0002082	YIL096C	genemark-scf7180000020093-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000020093-processed-gene-0.38&CDS=1-987
OG0002083	YIL097W	augustus_masked-scf7180000020093-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000020093-processed-gene-0.55&CDS=1-813
OG0002084	YIL099W	genemark-scf7180000020105-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000020105-processed-gene-0.40&CDS=1-1644
OG0002085	YIL101C	augustus_masked-scf7180000020105-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000020105-processed-gene-0.6&CDS=1-2316
OG0002086	YIL103W	genemark-scf7180000020105-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000020105-processed-gene-0.41&CDS=1-1287
OG0002087	YIL104C	genemark-scf7180000020212-processed-gene-0.9-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.9&CDS=1-1545
OG0002088	YIL105C	augustus_masked-scf7180000020105-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000020105-processed-gene-0.9&CDS=1-1935
OG0002089	YIL106W	augustus_masked-scf7180000020212-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-scf7180000020212-processed-gene-0.126&CDS=1-927
OG0002090	YIL108W	genemark-scf7180000020212-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.29&CDS=1-2076
OG0002091	YIL109C	genemark-scf7180000020105-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000020105-processed-gene-0.35&CDS=1-2739
OG0002092	YIL110W	maker-scf7180000020212-snap-gene-0.49-mRNA-1_1&gene=maker-scf7180000020212-snap-gene-0.49&CDS=1-1029
OG0002093	YIL112W	genemark-scf7180000020212-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.32&CDS=1-3630
OG0002094	YIL115C	augustus_masked-scf7180000020212-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000020212-processed-gene-0.114&CDS=1-4164
OG0002095	YIL116W	genemark-scf7180000020212-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.33&CDS=1-1146
OG0002096	YIL117C	snap_masked-scf7180000020130-processed-gene-0.54-mRNA-1_1&gene=snap_masked-scf7180000020130-processed-gene-0.54&CDS=1-903
OG0002097	YIL118W	genemark-scf7180000020212-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.34&CDS=1-726
OG0002098	YIL119C	snap_masked-scf7180000020212-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scf7180000020212-processed-gene-0.67&CDS=1-1506
OG0002099	YIL122W	augustus_masked-scf7180000020212-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-scf7180000020212-processed-gene-0.132&CDS=1-1275
OG0002100	YIL124W	genemark-scf7180000020212-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000020212-processed-gene-0.37&CDS=1-885
OG0002101	YIL125W	augustus_masked-scf7180000020212-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-scf7180000020212-processed-gene-0.135&CDS=1-3084
OG0002102	YIL127C	genemark-scf7180000020130-processed-gene-0.140-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.140&CDS=1-627
OG0002103	YIL128W	genemark-scf7180000020130-processed-gene-0.104-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.104&CDS=1-3156
OG0002104	YIL129C	genemark-scf7180000020216-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.85&CDS=1-7257
OG0002105	YIL130W	genemark-scf7180000020216-processed-gene-0.126-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.126&CDS=1-2988
OG0002106	YIL132C	snap_masked-scf7180000020216-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000020216-processed-gene-0.10&CDS=1-558
OG0002107	YIL134W	snap_masked-scf7180000020216-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000020216-processed-gene-0.48&CDS=1-921
OG0002108	YIL137C	snap_masked-scf7180000020216-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000020216-processed-gene-0.12&CDS=1-1377
OG0002109	YIL139C	maker-scf7180000020216-snap-gene-0.74-mRNA-1_1&gene=maker-scf7180000020216-snap-gene-0.74&CDS=1-693
OG0002110	YIL140W	augustus_masked-scf7180000020216-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-scf7180000020216-processed-gene-0.204&CDS=1-2562
OG0002111	YIL142W	genemark-scf7180000020216-processed-gene-0.130-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.130&CDS=1-1569
OG0002112	YIL143C	genemark-scf7180000020098-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000020098-processed-gene-0.28&CDS=1-2538
OG0002113	YIL144W	augustus_masked-scf7180000020098-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000020098-processed-gene-0.57&CDS=1-2181
OG0002114	YIL145C	snap_masked-scf7180000020098-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000020098-processed-gene-0.9&CDS=1-1053
OG0002115	YIL146C	snap_masked-scf7180000020098-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000020098-processed-gene-0.10&CDS=1-1656
OG0002116	YIL147C	genemark-scf7180000020098-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000020098-processed-gene-0.30&CDS=1-3495
OG0002117	YIL150C	genemark-scf7180000020098-processed-gene-0.32-mRNA-1_1&gene=genemark-scf7180000020098-processed-gene-0.32&CDS=1-1881
OG0002118	YIL153W	augustus_masked-scf7180000019834-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019834-processed-gene-0.2&CDS=1-705
OG0002119	YIL155C	genemark-scf7180000019712-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000019712-processed-gene-0.11&CDS=1-3084
OG0002120	YIL156W	genemark-scf7180000019712-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000019712-processed-gene-0.14&CDS=1-3420
OG0002121	YIL156W-B	maker-scf7180000019712-augustus-gene-0.17-mRNA-1_1&gene=maker-scf7180000019712-augustus-gene-0.17&CDS=1-252
OG0002122	YIL157C	genemark-scf7180000019712-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000019712-processed-gene-0.12&CDS=1-591
OG0002123	YIL159W	genemark-scf7180000019967-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000019967-processed-gene-0.46&CDS=1-4329
OG0002124	YIL160C	genemark-scf7180000020152-processed-gene-0.70-mRNA-1_1&gene=genemark-scf7180000020152-processed-gene-0.70&CDS=1-1254
OG0002125	YIL161W	augustus_masked-scf7180000019967-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000019967-processed-gene-0.8&CDS=1-582
OG0002126	YIR001C	genemark-scf7180000020094-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000020094-processed-gene-0.14&CDS=1-384
OG0002127	YIR002C	genemark-scf7180000020230-processed-gene-0.197-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.197&CDS=1-3102
OG0002128	YIR003W	genemark-scf7180000020230-processed-gene-0.163-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.163&CDS=1-2340
OG0002129	YIR004W	genemark-scf7180000020211-processed-gene-0.69-mRNA-1_1&gene=genemark-scf7180000020211-processed-gene-0.69&CDS=1-3315
OG0002130	YIR005W	genemark-scf7180000020230-processed-gene-0.164-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.164&CDS=1-516
OG0002131	YIR006C	augustus_masked-scf7180000020226-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.14&CDS=1-4305
OG0002132	YIR007W	genemark-scf7180000020226-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.43&CDS=1-2235
OG0002133	YIR008C	genemark-scf7180000020226-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.31&CDS=1-1248
OG0002134	YIR009W	snap_masked-scf7180000020226-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scf7180000020226-processed-gene-0.67&CDS=1-216
OG0002135	YIR010W	augustus_masked-scf7180000020198-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000020198-processed-gene-0.17&CDS=1-1887
OG0002136	YIR011C	augustus_masked-scf7180000020234-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000020234-processed-gene-0.19&CDS=1-1281
OG0002137	YIR012W	genemark-scf7180000020198-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000020198-processed-gene-0.68&CDS=1-1308
OG0002138	YIR015W	genemark-scf7180000020109-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020109-processed-gene-0.46&CDS=1-462
OG0002139	YIR022W	genemark-scf7180000020144-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000020144-processed-gene-0.6&CDS=1-507
OG0002140	YIR023W	snap_masked-scf7180000020204-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000020204-processed-gene-0.99&CDS=1-3129
OG0002141	YIR024C	snap_masked-scf7180000020204-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scf7180000020204-processed-gene-0.74&CDS=1-729
OG0002142	YIR026C	augustus_masked-scf7180000020204-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scf7180000020204-processed-gene-0.124&CDS=1-1062
OG0002143	YIR033W	genemark-scf7180000020204-processed-gene-0.45-mRNA-1_1&gene=genemark-scf7180000020204-processed-gene-0.45&CDS=1-3666
OG0002144	YIR034C	genemark-scf7180000020204-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020204-processed-gene-0.18&CDS=1-1116
OG0002145	YIR035C	genemark-scf7180000020144-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000020144-processed-gene-0.13&CDS=1-765
OG0002146	YJL001W	genemark-scf7180000019715-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000019715-processed-gene-0.4&CDS=1-648
OG0002147	YJL002C	genemark-scf7180000019715-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000019715-processed-gene-0.3&CDS=1-1422
OG0002148	YJL003W	genemark-scf7180000020130-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.115&CDS=1-354
OG0002149	YJL004C	genemark-scf7180000020130-processed-gene-0.147-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.147&CDS=1-588
OG0002150	YJL005W	snap_masked-scf7180000020130-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scf7180000020130-processed-gene-0.36&CDS=1-6339
OG0002151	YJL006C	snap_masked-scf7180000020130-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000020130-processed-gene-0.38&CDS=1-618
OG0002152	YJL010C	genemark-scf7180000020105-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000020105-processed-gene-0.48&CDS=1-2058
OG0002153	YJL011C	genemark-scf7180000020178-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.64&CDS=1-477
OG0002154	YJL012C	genemark-scf7180000020178-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.63&CDS=1-4341
OG0002155	YJL013C	augustus_masked-scf7180000020118-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000020118-processed-gene-0.44&CDS=1-1200
OG0002156	YJL014W	genemark-scf7180000019976-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000019976-processed-gene-0.33&CDS=1-1575
OG0002157	YJL016W	augustus_masked-scf7180000020118-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000020118-processed-gene-0.52&CDS=1-1434
OG0002158	YJL019W	augustus_masked-scf7180000020118-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000020118-processed-gene-0.53&CDS=1-2268
OG0002159	YJL020C	genemark-scf7180000020118-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000020118-processed-gene-0.24&CDS=1-3072
OG0002160	YJL023C	augustus_masked-scf7180000020118-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000020118-processed-gene-0.46&CDS=1-597
OG0002161	YJL024C	augustus_masked-scf7180000020188-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000020188-processed-gene-0.63&CDS=1-561
OG0002162	YJL025W	snap_masked-scf7180000020188-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000020188-processed-gene-0.21&CDS=1-1557
OG0002163	YJL026W	genemark-scf7180000020156-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020156-processed-gene-0.22&CDS=1-1119
OG0002164	YJL029C	genemark-scf7180000020176-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020176-processed-gene-0.18&CDS=1-2346
OG0002165	YJL030W	genemark-scf7180000020130-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.117&CDS=1-597
OG0002166	YJL031C	genemark-scf7180000020130-processed-gene-0.149-mRNA-1_1&gene=genemark-scf7180000020130-processed-gene-0.149&CDS=1-987
OG0002167	YJL033W	genemark-scf7180000020176-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020176-processed-gene-0.22&CDS=1-2283
OG0002168	YJL034W	augustus_masked-scf7180000020176-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000020176-processed-gene-0.7&CDS=1-2046
OG0002169	YJL035C	genemark-scf7180000020176-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000020176-processed-gene-0.19&CDS=1-801
OG0002170	YJL036W	genemark-scf7180000020176-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000020176-processed-gene-0.24&CDS=1-1383
OG0002171	YJL039C	augustus_masked-scf7180000020140-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000020140-processed-gene-0.11&CDS=1-5055
OG0002172	YJL042W	genemark-scf7180000020131-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020131-processed-gene-0.22&CDS=1-4332
OG0002173	YJL044C	snap_masked-scf7180000020131-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000020131-processed-gene-0.1&CDS=1-1221
OG0002174	YJL046W	maker-scf7180000020187-snap-gene-0.61-mRNA-1_1&gene=maker-scf7180000020187-snap-gene-0.61&CDS=1-1212
OG0002175	YJL047C	augustus_masked-scf7180000020187-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-scf7180000020187-processed-gene-0.136&CDS=1-4995
OG0002176	YJL049W	snap_masked-scf7180000020187-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000020187-processed-gene-0.101&CDS=1-1359
OG0002177	YJL050W	genemark-scf7180000020187-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000020187-processed-gene-0.39&CDS=1-3195
OG0002178	YJL051W	snap_masked-scf7180000020187-processed-gene-0.103-mRNA-1_1&gene=snap_masked-scf7180000020187-processed-gene-0.103&CDS=1-2745
OG0002179	YJL053W	snap_masked-scf7180000020187-processed-gene-0.104-mRNA-1_1&gene=snap_masked-scf7180000020187-processed-gene-0.104&CDS=1-1005
OG0002180	YJL054W	maker-scf7180000020187-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000020187-augustus-gene-0.2&CDS=1-2109
OG0002181	YJL056C	genemark-scf7180000020187-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020187-processed-gene-0.15&CDS=1-2472
OG0002182	YJL057C	genemark-scf7180000020136-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020136-processed-gene-0.3&CDS=1-2316
OG0002183	YJL059W	augustus_masked-scf7180000020136-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000020136-processed-gene-0.35&CDS=1-1140
OG0002184	YJL060W	genemark-scf7180000020136-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020136-processed-gene-0.12&CDS=1-1332
