	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0001905	genemark-BBIL01000005.1-processed-gene-9.120-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.120&CDS=1-804	YPL162C
OG0001906	snap_masked-BBIL01000005.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-9.71&CDS=1-2124	YPL164C
OG0001907	maker-BBIL01000005.1-snap-gene-9.51-mRNA-1_1&gene=maker-BBIL01000005.1-snap-gene-9.51&CDS=1-2241	YOR250C
OG0001908	snap_masked-BBIL01000005.1-processed-gene-9.72-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-9.72&CDS=1-1119	YPL165C
OG0001909	genemark-BBIL01000005.1-processed-gene-9.152-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.152&CDS=1-486	YPL166W
OG0001910	genemark-BBIL01000005.1-processed-gene-9.124-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.124&CDS=1-4059	YPL167C
OG0001911	genemark-BBIL01000005.1-processed-gene-9.125-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.125&CDS=1-573	YOR252W
OG0001912	snap_masked-BBIL01000005.1-processed-gene-9.101-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-9.101&CDS=1-1152	YPL168W
OG0001913	genemark-BBIL01000005.1-processed-gene-9.126-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.126&CDS=1-489	YOR253W
OG0001914	genemark-BBIL01000005.1-processed-gene-9.154-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.154&CDS=1-2019	YOR254C
OG0001915	genemark-BBIL01000005.1-processed-gene-9.127-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.127&CDS=1-1770	YPL169C
OG0001916	snap_masked-BBIL01000005.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-9.77&CDS=1-567	YOR255W
OG0001917	genemark-BBIL01000005.1-processed-gene-9.155-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.155&CDS=1-456	YPL170W
OG0001918	genemark-BBIL01000005.1-processed-gene-9.129-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.129&CDS=1-1347	YPL175W
OG0001919	snap_masked-BBIL01000005.1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-9.105&CDS=1-2487	YPL174C
OG0001920	genemark-BBIL01000005.1-processed-gene-9.130-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.130&CDS=1-501	YOR257W
OG0001921	genemark-BBIL01000005.1-processed-gene-9.131-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.131&CDS=1-888	YPL173W
OG0001922	genemark-BBIL01000005.1-processed-gene-9.132-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-9.132&CDS=1-924	YOR258W
OG0001923	genemark-BBIL01000005.1-processed-gene-10.106-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.106&CDS=1-1311	YOR259C
OG0001924	genemark-BBIL01000005.1-processed-gene-10.102-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.102&CDS=1-1530	YOR260W
OG0001925	genemark-BBIL01000005.1-processed-gene-10.107-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.107&CDS=1-1350	YPL172C
OG0001926	genemark-BBIL01000005.1-processed-gene-10.108-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.108&CDS=1-1005	YOR261C
OG0001927	genemark-BBIL01000005.1-processed-gene-10.103-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.103&CDS=1-1041	YOR262W
OG0001928	snap_masked-BBIL01000005.1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-10.56&CDS=1-1320	YOR264W
OG0001929	genemark-BBIL01000005.1-processed-gene-10.105-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.105&CDS=1-315	YOR265W
OG0001930	snap_masked-BBIL01000005.1-processed-gene-10.85-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-10.85&CDS=1-3639	YJL076W
OG0001931	snap_masked-BBIL01000005.1-processed-gene-10.86-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-10.86&CDS=1-903	YKR011C
OG0001932	snap_masked-BBIL01000005.1-processed-gene-10.62-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-10.62&CDS=1-2868	YIL073C
OG0001933	genemark-BBIL01000005.1-processed-gene-10.112-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.112&CDS=1-2802	YIL075C
OG0001934	genemark-BBIL01000005.1-processed-gene-10.136-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.136&CDS=1-1674	YER082C
OG0001935	genemark-BBIL01000005.1-processed-gene-10.137-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.137&CDS=1-1017	YER083C
OG0001936	genemark-BBIL01000005.1-processed-gene-10.138-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.138&CDS=1-879	YIL076W
OG0001937	genemark-BBIL01000005.1-processed-gene-10.116-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.116&CDS=1-1803	YNR019W
OG0001938	genemark-BBIL01000005.1-processed-gene-10.139-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.139&CDS=1-744	YNR020C
OG0001939	genemark-BBIL01000005.1-processed-gene-10.117-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.117&CDS=1-630	YCR051W
OG0001940	genemark-BBIL01000005.1-processed-gene-10.118-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.118&CDS=1-1224	YNR021W
OG0001941	genemark-BBIL01000005.1-processed-gene-10.140-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.140&CDS=1-402	YNR022C
OG0001942	genemark-BBIL01000005.1-processed-gene-10.119-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.119&CDS=1-1389	YNR023W
OG0001943	genemark-BBIL01000005.1-processed-gene-10.120-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.120&CDS=1-1530	YCR053W
OG0001944	genemark-BBIL01000005.1-processed-gene-10.141-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.141&CDS=1-1608	YCR054C
OG0001945	genemark-BBIL01000005.1-processed-gene-10.142-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.142&CDS=1-2739	YCR057C
OG0001946	genemark-BBIL01000005.1-processed-gene-10.121-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.121&CDS=1-504	YNR024W
OG0001947	genemark-BBIL01000005.1-processed-gene-10.143-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.143&CDS=1-828	YCR059C
OG0001948	genemark-BBIL01000005.1-processed-gene-10.122-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.122&CDS=1-345	YCR060W
OG0001949	genemark-BBIL01000005.1-processed-gene-10.123-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.123&CDS=1-1986	YCR061W
OG0001950	genemark-BBIL01000005.1-processed-gene-10.124-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.124&CDS=1-471	YCR063W
OG0001951	genemark-BBIL01000005.1-processed-gene-10.125-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.125&CDS=1-1695	YCR065W
OG0001952	genemark-BBIL01000005.1-processed-gene-10.126-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.126&CDS=1-1176	YCR066W
OG0001953	genemark-BBIL01000005.1-processed-gene-10.145-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.145&CDS=1-3021	YNR026C
OG0001954	maker-BBIL01000005.1-snap-gene-10.151-mRNA-1_1&gene=maker-BBIL01000005.1-snap-gene-10.151&CDS=1-2544	YCR068W
OG0001955	genemark-BBIL01000005.1-processed-gene-10.129-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.129&CDS=1-582	YGR081C
OG0001956	genemark-BBIL01000005.1-processed-gene-10.147-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.147&CDS=1-2985	YPR097W
OG0001957	genemark-BBIL01000005.1-processed-gene-10.130-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.130&CDS=1-1659	YGL077C
OG0001958	genemark-BBIL01000005.1-processed-gene-10.131-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.131&CDS=1-1566	YGL078C
OG0001959	genemark-BBIL01000005.1-processed-gene-10.148-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.148&CDS=1-993	YDR245W
OG0001960	genemark-BBIL01000005.1-processed-gene-10.149-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.149&CDS=1-1704	YDR244W
OG0001961	genemark-BBIL01000005.1-processed-gene-10.132-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.132&CDS=1-1620	YDR243C
OG0001962	genemark-BBIL01000005.1-processed-gene-10.150-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.150&CDS=1-1026	YDL209C
OG0001963	genemark-BBIL01000005.1-processed-gene-10.133-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-10.133&CDS=1-447	YDL208W
OG0001964	snap_masked-BBIL01000005.1-processed-gene-11.103-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.103&CDS=1-1425	YDR240C
OG0001965	augustus_masked-BBIL01000005.1-processed-gene-11.1-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-11.1&CDS=1-2217	YDR239C
OG0001966	genemark-BBIL01000005.1-processed-gene-11.55-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.55&CDS=1-2916	YDR238C
OG0001967	genemark-BBIL01000005.1-processed-gene-11.59-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.59&CDS=1-870	YDR237W
OG0001968	maker-BBIL01000005.1-snap-gene-11.49-mRNA-1_1&gene=maker-BBIL01000005.1-snap-gene-11.49&CDS=1-2142	YDL207W
OG0001969	augustus_masked-BBIL01000005.1-processed-gene-11.4-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-11.4&CDS=1-1860	YDL206W
OG0001970	genemark-BBIL01000005.1-processed-gene-11.60-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.60&CDS=1-1638	YDR235W
OG0001971	genemark-BBIL01000005.1-processed-gene-11.76-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.76&CDS=1-981	YDL205C
OG0001972	genemark-BBIL01000005.1-processed-gene-11.77-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.77&CDS=1-2115	YDR234W
OG0001973	genemark-BBIL01000005.1-processed-gene-11.61-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.61&CDS=1-861	YDR233C
OG0001974	genemark-BBIL01000005.1-processed-gene-11.78-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.78&CDS=1-1713	YDR232W
OG0001975	snap_masked-BBIL01000005.1-processed-gene-11.129-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.129&CDS=1-1560	YDL203C
OG0001976	genemark-BBIL01000005.1-processed-gene-11.62-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.62&CDS=1-582	YDR231C
OG0001977	genemark-BBIL01000005.1-processed-gene-11.80-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.80&CDS=1-1419	YDR229W
OG0001978	genemark-BBIL01000005.1-processed-gene-11.64-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.64&CDS=1-1764	YOL137W
OG0001979	genemark-BBIL01000005.1-processed-gene-11.81-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.81&CDS=1-441	YDR462W
OG0001980	genemark-BBIL01000005.1-processed-gene-11.66-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.66&CDS=1-468	YML036W
OG0001981	genemark-BBIL01000005.1-processed-gene-11.83-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.83&CDS=1-954	YDR460W
OG0001982	snap_masked-BBIL01000005.1-processed-gene-11.115-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.115&CDS=1-1935	YDR307W
OG0001983	genemark-BBIL01000005.1-processed-gene-11.85-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.85&CDS=1-432	YDR308C
OG0001984	genemark-BBIL01000005.1-processed-gene-11.68-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.68&CDS=1-504	YHR060W
OG0001985	snap_masked-BBIL01000005.1-processed-gene-11.136-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.136&CDS=1-1119	YDR309C
OG0001986	genemark-BBIL01000005.1-processed-gene-11.88-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.88&CDS=1-855	YHR062C
OG0001987	genemark-BBIL01000005.1-processed-gene-11.89-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.89&CDS=1-2817	YDR310C
OG0001988	genemark-BBIL01000005.1-processed-gene-11.90-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.90&CDS=1-1113	YHR063C
OG0001989	genemark-BBIL01000005.1-processed-gene-11.91-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.91&CDS=1-1632	YHR064C
OG0001990	genemark-BBIL01000005.1-processed-gene-11.69-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.69&CDS=1-1854	YDR311W
OG0001991	genemark-BBIL01000005.1-processed-gene-11.92-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.92&CDS=1-1461	YHR065C
OG0001992	genemark-BBIL01000005.1-processed-gene-11.93-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.93&CDS=1-462	YJR055W
OG0001993	genemark-BBIL01000005.1-processed-gene-11.94-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.94&CDS=1-984	YDR313C
OG0001994	genemark-BBIL01000005.1-processed-gene-11.71-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.71&CDS=1-2292	YBR080C
OG0001995	augustus_masked-BBIL01000005.1-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-11.18&CDS=1-3321	YBR079C
OG0001996	snap_masked-BBIL01000005.1-processed-gene-11.145-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.145&CDS=1-1260	YBR078W
OG0001997	genemark-BBIL01000005.1-processed-gene-11.96-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.96&CDS=1-1701	YMR250W
OG0001998	genemark-BBIL01000005.1-processed-gene-11.97-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.97&CDS=1-1089	YOL052C
OG0001999	genemark-BBIL01000005.1-processed-gene-11.74-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.74&CDS=1-615	YOR319W
OG0002000	snap_masked-BBIL01000005.1-processed-gene-11.149-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-11.149&CDS=1-4560	YMR247C
OG0002001	genemark-BBIL01000005.1-processed-gene-11.75-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.75&CDS=1-546	YKL117W
OG0002002	genemark-BBIL01000005.1-processed-gene-11.99-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.99&CDS=1-888	YMR099C
OG0002003	genemark-BBIL01000005.1-processed-gene-11.100-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.100&CDS=1-1659	YKL116C
OG0002004	genemark-BBIL01000005.1-processed-gene-11.101-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.101&CDS=1-1071	YKL114C
OG0002005	genemark-BBIL01000005.1-processed-gene-11.102-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-11.102&CDS=1-1143	YKL113C
OG0002006	genemark-BBIL01000005.1-processed-gene-12.89-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.89&CDS=1-1458	YKL112W
OG0002007	genemark-BBIL01000005.1-processed-gene-12.90-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.90&CDS=1-1701	YMR098C
OG0002008	genemark-BBIL01000005.1-processed-gene-12.92-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.92&CDS=1-936	YKL110C
OG0002009	snap_masked-BBIL01000005.1-processed-gene-12.47-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-12.47&CDS=1-1146	YMR097C
OG0002010	genemark-BBIL01000005.1-processed-gene-12.93-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.93&CDS=1-2361	YKR029C
OG0002011	genemark-BBIL01000005.1-processed-gene-12.95-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.95&CDS=1-2355	YJL106W
OG0002012	genemark-BBIL01000005.1-processed-gene-12.96-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.96&CDS=1-2907	YJL108C
OG0002013	snap_masked-BBIL01000005.1-processed-gene-12.53-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-12.53&CDS=1-867	YOL088C
OG0002014	genemark-BBIL01000005.1-processed-gene-12.115-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.115&CDS=1-921	YBR151W
OG0002015	genemark-BBIL01000005.1-processed-gene-12.116-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.116&CDS=1-987	YBR149W
OG0002016	genemark-BBIL01000005.1-processed-gene-12.117-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.117&CDS=1-2868	YOL090W
OG0002017	augustus_masked-BBIL01000005.1-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.29&CDS=1-1497	YDR476C
OG0002018	genemark-BBIL01000005.1-processed-gene-12.99-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.99&CDS=1-1818	YDR477W
OG0002019	genemark-BBIL01000005.1-processed-gene-12.100-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.100&CDS=1-1800	YOL122C
OG0002020	genemark-BBIL01000005.1-processed-gene-12.119-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.119&CDS=1-492	YOR357C
OG0002021	genemark-BBIL01000005.1-processed-gene-12.101-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.101&CDS=1-474	YOR358W
OG0002022	augustus_masked-BBIL01000005.1-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.12&CDS=1-2487	YAL043C
OG0002023	augustus_masked-BBIL01000005.1-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.13&CDS=1-1392	YOR359W
OG0002024	snap_masked-BBIL01000005.1-processed-gene-12.79-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-12.79&CDS=1-1755	YOR360C
OG0002025	genemark-BBIL01000005.1-processed-gene-12.104-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.104&CDS=1-525	YAL044C
OG0002026	genemark-BBIL01000005.1-processed-gene-12.121-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.121&CDS=1-330	YAL044W-A
OG0002027	snap_masked-BBIL01000005.1-processed-gene-12.61-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-12.61&CDS=1-273	YAL046C
OG0002028	genemark-BBIL01000005.1-processed-gene-12.122-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.122&CDS=1-2208	YOR361C
OG0002029	augustus_masked-BBIL01000005.1-processed-gene-12.16-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.16&CDS=1-2187	YAL047C
OG0002030	augustus_masked-BBIL01000005.1-processed-gene-12.34-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.34&CDS=1-828	YOR362C
OG0002031	genemark-BBIL01000005.1-processed-gene-12.107-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.107&CDS=1-1983	YAL048C
OG0002032	genemark-BBIL01000005.1-processed-gene-12.108-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.108&CDS=1-759	YAL049C
OG0002033	genemark-BBIL01000005.1-processed-gene-12.127-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.127&CDS=1-2349	YAL053W
OG0002034	genemark-BBIL01000005.1-processed-gene-12.109-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.109&CDS=1-2121	YAL054C
OG0002035	augustus_masked-BBIL01000005.1-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-12.20&CDS=1-1083	YJR149W
OG0002036	genemark-BBIL01000005.1-processed-gene-12.111-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.111&CDS=1-726	YDL202W
OG0002037	genemark-BBIL01000005.1-processed-gene-12.112-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-12.112&CDS=1-840	YDL201W
OG0002038	genemark-BBIL01000005.1-processed-gene-13.49-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.49&CDS=1-2811	YGL167C
OG0002039	genemark-BBIL01000005.1-processed-gene-13.52-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.52&CDS=1-1191	YGL169W
OG0002040	augustus_masked-BBIL01000005.1-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.3&CDS=1-807	YGL161C
OG0002041	genemark-BBIL01000005.1-processed-gene-13.51-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.51&CDS=1-2748	YGL163C
OG0002042	genemark-BBIL01000005.1-processed-gene-13.71-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.71&CDS=1-1197	YER145C
OG0002043	augustus_masked-BBIL01000005.1-processed-gene-13.26-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.26&CDS=1-648	YFR008W
OG0002044	augustus_masked-BBIL01000005.1-processed-gene-13.7-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.7&CDS=1-1893	YPR007C
OG0002045	genemark-BBIL01000005.1-processed-gene-13.73-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.73&CDS=1-1671	YKR008W
OG0002046	augustus_masked-BBIL01000005.1-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.28&CDS=1-453	YKR007W
OG0002047	augustus_masked-BBIL01000005.1-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.8&CDS=1-768	YKR006C
OG0002048	genemark-BBIL01000005.1-processed-gene-13.76-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.76&CDS=1-1356	YHR001W
OG0002049	genemark-BBIL01000005.1-processed-gene-13.77-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.77&CDS=1-1776	YGR054W
OG0002050	augustus_masked-BBIL01000005.1-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.10&CDS=1-624	YGR053C
OG0002051	genemark-BBIL01000005.1-processed-gene-13.78-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.78&CDS=1-1251	YGR052W
OG0002052	genemark-BBIL01000005.1-processed-gene-13.58-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.58&CDS=1-1203	YLR355C
OG0002053	augustus_masked-BBIL01000005.1-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.13&CDS=1-1614	YGR044C
OG0002054	genemark-BBIL01000005.1-processed-gene-13.61-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.61&CDS=1-1002	YLR354C
OG0002055	augustus_masked-BBIL01000005.1-processed-gene-13.34-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.34&CDS=1-2313	YGR042W
OG0002056	augustus_masked-BBIL01000005.1-processed-gene-13.35-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.35&CDS=1-2316	YLR352W
OG0002057	genemark-BBIL01000005.1-processed-gene-13.83-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.83&CDS=1-1086	YGR040W
OG0002058	genemark-BBIL01000005.1-processed-gene-13.64-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.64&CDS=1-870	YLR351C
OG0002059	genemark-BBIL01000005.1-processed-gene-13.85-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.85&CDS=1-1266	YOR155C
OG0002060	genemark-BBIL01000005.1-processed-gene-13.65-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.65&CDS=1-1617	YOR161C
OG0002061	genemark-BBIL01000005.1-processed-gene-13.86-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.86&CDS=1-2883	YOR160W
OG0002062	snap_masked-BBIL01000005.1-processed-gene-13.114-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-13.114&CDS=1-279	YOR159C
OG0002063	genemark-BBIL01000005.1-processed-gene-13.87-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.87&CDS=1-912	YOR158W
OG0002064	augustus_masked-BBIL01000005.1-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.40&CDS=1-3669	YDR407C
OG0002065	genemark-BBIL01000005.1-processed-gene-13.66-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.66&CDS=1-855	YOR157C
OG0002066	genemark-BBIL01000005.1-processed-gene-13.89-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.89&CDS=1-645	YDR408C
OG0002067	genemark-BBIL01000005.1-processed-gene-13.67-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.67&CDS=1-2412	YDR409W
OG0002068	genemark-BBIL01000005.1-processed-gene-13.90-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.90&CDS=1-741	YDR410C
OG0002069	genemark-BBIL01000005.1-processed-gene-13.91-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.91&CDS=1-750	YML041C
OG0002070	genemark-BBIL01000005.1-processed-gene-13.92-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.92&CDS=1-1998	YML042W
OG0002071	augustus_masked-BBIL01000005.1-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-13.43&CDS=1-855	YDR411C
OG0002072	genemark-BBIL01000005.1-processed-gene-13.68-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.68&CDS=1-759	YDR412W
OG0002073	genemark-BBIL01000005.1-processed-gene-13.94-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.94&CDS=1-1131	YDR414C
OG0002074	genemark-BBIL01000005.1-processed-gene-13.69-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.69&CDS=1-1194	YEL050C
