	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
OG0001749	genemark-scaffold_2-processed-gene-19.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.20&CDS=1-1410	YNL277W
OG0001750	snap_masked-scaffold_2-processed-gene-19.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.55&CDS=1-4554	YLR189C
OG0001751	genemark-scaffold_2-processed-gene-19.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.7&CDS=1-990	YOR075W
OG0001752	snap_masked-scaffold_2-processed-gene-19.46-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.46&CDS=1-1431	YPR036W
OG0001753	genemark-scaffold_2-processed-gene-19.27-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.27&CDS=1-951	YFR041C
OG0001754	genemark-scaffold_2-processed-gene-19.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.12&CDS=1-852	YEL072W
OG0001755	augustus_masked-scaffold_2-processed-gene-19.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.79&CDS=1-285	YMR225C
OG0001756	genemark-scaffold_2-processed-gene-19.15-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.15&CDS=1-780	YLL041C
OG0001757	genemark-scaffold_2-processed-gene-19.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.16&CDS=1-1131	YOR388C
OG0001758	genemark-scaffold_2-processed-gene-20.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.63&CDS=1-3126	YDR430C
OG0001759	snap_masked-scaffold_2-processed-gene-20.15-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.15&CDS=1-213	YML009C
OG0001760	genemark-scaffold_2-processed-gene-20.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.64&CDS=1-636	YML012W
OG0001761	snap_masked-scaffold_2-processed-gene-20.7-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.7&CDS=1-3183	YDR440W
OG0001762	genemark-scaffold_2-processed-gene-20.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.80&CDS=1-1212	YML021C
OG0001763	genemark-scaffold_2-processed-gene-20.81-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.81&CDS=1-1068	YML019W
OG0001764	snap_masked-scaffold_2-processed-gene-20.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.22&CDS=1-1224	YML018C
OG0001765	genemark-scaffold_2-processed-gene-20.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.83&CDS=1-1032	YCR019W
OG0001766	genemark-scaffold_2-processed-gene-20.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.84&CDS=1-2742	YDR517W
OG0001767	maker-scaffold_2-augustus-gene-20.89-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-20.89&CDS=1-1116	YBR282W
OG0001768	snap_masked-scaffold_2-processed-gene-20.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.26&CDS=1-3522	YKL033W
OG0001769	augustus_masked-scaffold_2-processed-gene-20.57-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.57&CDS=1-1578	YOR037W
OG0001770	genemark-scaffold_2-processed-gene-20.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.74&CDS=1-564	YMR150C
OG0001771	snap_masked-scaffold_2-processed-gene-20.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.28&CDS=1-810	YMR149W
OG0001772	genemark-scaffold_2-processed-gene-20.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-20.75&CDS=1-501	YJR118C
OG0001773	genemark-scaffold_2-processed-gene-21.5-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.5&CDS=1-1737	YER022W
OG0001774	genemark-scaffold_2-processed-gene-21.6-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.6&CDS=1-1458	YER021W
OG0001775	genemark-scaffold_2-processed-gene-21.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.7&CDS=1-618	YFL038C
OG0001776	genemark-scaffold_2-processed-gene-21.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.8&CDS=1-849	YJR116W
OG0001777	genemark-scaffold_2-processed-gene-21.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.9&CDS=1-1038	YJR105W
OG0001778	genemark-scaffold_2-processed-gene-21.10-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.10&CDS=1-3162	YEL055C
OG0001779	snap_masked-scaffold_2-processed-gene-21.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-21.91&CDS=1-2085	YOL057W
OG0001780	genemark-scaffold_2-processed-gene-21.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.12&CDS=1-1071	YBR231C
OG0001781	genemark-scaffold_2-processed-gene-21.13-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.13&CDS=1-1587	YBR233W
OG0001782	genemark-scaffold_2-processed-gene-21.25-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.25&CDS=1-2079	YGL114W
OG0001783	genemark-scaffold_2-processed-gene-21.26-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.26&CDS=1-1014	YGL115W
OG0001784	maker-scaffold_2-snap-gene-21.37-mRNA-1_1&gene=maker-scaffold_2-snap-gene-21.37&CDS=1-2205	YLR130C
OG0001785	genemark-scaffold_2-processed-gene-21.29-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.29&CDS=1-468	YMR158W
OG0001786	genemark-scaffold_2-processed-gene-21.30-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.30&CDS=1-636	YMR156C
OG0001787	genemark-scaffold_2-processed-gene-21.16-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.16&CDS=1-666	YDL098C
OG0001788	genemark-scaffold_2-processed-gene-21.32-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.32&CDS=1-4980	YDR159W
OG0001789	genemark-scaffold_2-processed-gene-21.33-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.33&CDS=1-930	YLR137W
OG0001790	genemark-scaffold_2-processed-gene-21.34-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.34&CDS=1-1098	YDR158W
OG0001791	genemark-scaffold_2-processed-gene-21.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.19&CDS=1-1620	YML069W
OG0001792	genemark-scaffold_2-processed-gene-21.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.21&CDS=1-1722	YLR152C
OG0001793	genemark-scaffold_2-processed-gene-21.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.22&CDS=1-561	YDL072C
OG0001794	genemark-scaffold_2-processed-gene-21.35-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-21.35&CDS=1-1830	YLR401C
OG0001795	genemark-scaffold_2-processed-gene-22.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.57&CDS=1-2787	YLR409C
OG0001796	snap_masked-scaffold_2-processed-gene-22.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.29&CDS=1-3180	YDL077C
OG0001797	snap_masked-scaffold_2-processed-gene-22.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.30&CDS=1-1527	YDL076C
OG0001798	genemark-scaffold_2-processed-gene-22.59-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.59&CDS=1-840	YLR407W
OG0001799	genemark-scaffold_2-processed-gene-22.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.62&CDS=1-3540	YNL329C
OG0001800	genemark-scaffold_2-processed-gene-22.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.74&CDS=1-426	YNL328C
OG0001801	genemark-scaffold_2-processed-gene-22.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.63&CDS=1-1512	YAL038W
OG0001802	genemark-scaffold_2-processed-gene-22.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.64&CDS=1-939	YML110C
OG0001803	genemark-scaffold_2-processed-gene-22.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.65&CDS=1-1086	YLR291C
OG0001804	genemark-scaffold_2-processed-gene-22.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.77&CDS=1-1122	YKL193C
OG0001805	genemark-scaffold_2-processed-gene-22.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.78&CDS=1-321	YKL192C
OG0001806	genemark-scaffold_2-processed-gene-22.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.79&CDS=1-5544	YLR422W
OG0001807	genemark-scaffold_2-processed-gene-22.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.80&CDS=1-2604	YDR160W
OG0001808	snap_masked-scaffold_2-processed-gene-22.41-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.41&CDS=1-2913	YLR129W
OG0001809	snap_masked-scaffold_2-processed-gene-22.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-22.42&CDS=1-3363	YOL051W
OG0001810	genemark-scaffold_2-processed-gene-22.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.69&CDS=1-423	YPR073C
OG0001811	genemark-scaffold_2-processed-gene-22.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.70&CDS=1-1695	YPR072W
OG0001812	genemark-scaffold_2-processed-gene-22.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.72&CDS=1-2031	YPR074C
OG0001813	genemark-scaffold_2-processed-gene-22.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.82&CDS=1-462	YOR357C
OG0001814	genemark-scaffold_2-processed-gene-23.2-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.2&CDS=1-1452	YGL055W
OG0001815	genemark-scaffold_2-processed-gene-23.4-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.4&CDS=1-3141	YMR189W
OG0001816	genemark-scaffold_2-processed-gene-23.5-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.5&CDS=1-1425	YPL247C
OG0001817	genemark-scaffold_2-processed-gene-23.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.7&CDS=1-429	YNL185C
OG0001818	snap_masked-scaffold_2-processed-gene-23.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.38&CDS=1-1377	YNL181W
OG0001819	genemark-scaffold_2-processed-gene-23.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.8&CDS=1-1413	YNL182C
OG0001820	genemark-scaffold_2-processed-gene-23.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.9&CDS=1-681	YDL213C
OG0001821	snap_masked-scaffold_2-processed-gene-23.34-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.34&CDS=1-612	YDL212W
OG0001822	maker-scaffold_2-snap-gene-23.47-mRNA-1_1&gene=maker-scaffold_2-snap-gene-23.47&CDS=1-1098	YNL177C
OG0001823	genemark-scaffold_2-processed-gene-23.12-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.12&CDS=1-660	YBL049W
OG0001824	genemark-scaffold_2-processed-gene-23.19-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.19&CDS=1-2076	YNL186W
OG0001825	genemark-scaffold_2-processed-gene-23.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.21&CDS=1-1263	YHL024W
OG0001826	genemark-scaffold_2-processed-gene-23.22-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-23.22&CDS=1-8220	YGL195W
OG0001827	snap_masked-scaffold_2-processed-gene-24.54-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.54&CDS=1-4173	YMR190C
OG0001828	snap_masked-scaffold_2-processed-gene-24.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.56&CDS=1-942	YPL248C
OG0001829	maker-scaffold_2-snap-gene-24.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-24.0&CDS=1-1719	YPL249C
OG0001830	snap_masked-scaffold_2-processed-gene-24.90-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.90&CDS=1-567	YKL186C
OG0001831	genemark-scaffold_2-processed-gene-24.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.125&CDS=1-1404	YKL185W
OG0001832	genemark-scaffold_2-processed-gene-24.126-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.126&CDS=1-1140	YMR276W
OG0001833	snap_masked-scaffold_2-processed-gene-24.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.67&CDS=1-1851	YML114C
OG0001834	genemark-scaffold_2-processed-gene-24.128-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.128&CDS=1-2391	YMR277W
OG0001835	genemark-scaffold_2-processed-gene-24.130-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.130&CDS=1-1686	YLL036C
OG0001836	maker-scaffold_2-snap-gene-24.4-mRNA-1_1&gene=maker-scaffold_2-snap-gene-24.4&CDS=1-1893	YMR278W
OG0001837	genemark-scaffold_2-processed-gene-24.132-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.132&CDS=1-1416	YML115C
OG0001838	genemark-scaffold_2-processed-gene-24.148-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.148&CDS=1-864	YGL198W
OG0001839	genemark-scaffold_2-processed-gene-24.150-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.150&CDS=1-690	YJL218W
OG0001840	genemark-scaffold_2-processed-gene-24.154-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.154&CDS=1-1260	YNL175C
OG0001841	genemark-scaffold_2-processed-gene-24.134-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.134&CDS=1-1446	YGR149W
OG0001842	genemark-scaffold_2-processed-gene-24.135-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.135&CDS=1-1005	YBR251W
OG0001843	genemark-scaffold_2-processed-gene-24.136-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.136&CDS=1-1503	YIR004W
OG0001844	genemark-scaffold_2-processed-gene-24.137-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.137&CDS=1-1350	YDL209C
OG0001845	genemark-scaffold_2-processed-gene-24.157-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.157&CDS=1-1707	YDR243C
OG0001846	genemark-scaffold_2-processed-gene-24.159-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.159&CDS=1-1611	YMR300C
OG0001847	genemark-scaffold_2-processed-gene-24.160-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.160&CDS=1-1629	YDL160C
OG0001848	genemark-scaffold_2-processed-gene-24.140-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.140&CDS=1-3135	YNL163C
OG0001849	genemark-scaffold_2-processed-gene-24.162-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.162&CDS=1-1977	YGR276C
OG0001850	genemark-scaffold_2-processed-gene-24.143-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-24.143&CDS=1-3438	YGR274C
OG0001851	genemark-scaffold_3-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.1&CDS=1-1905	YKL029C
OG0001852	genemark-scaffold_3-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.2&CDS=1-747	YDR226W
OG0001853	genemark-scaffold_3-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.16&CDS=1-1530	YDR228C
OG0001854	genemark-scaffold_3-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.3&CDS=1-900	YDL198C
OG0001855	snap_masked-scaffold_3-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.34&CDS=1-429	YOR104W
OG0001856	snap_masked-scaffold_3-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.48&CDS=1-636	YEL024W
OG0001857	genemark-scaffold_3-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.19&CDS=1-2631	YJR036C
OG0001858	snap_masked-scaffold_3-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.36&CDS=1-2211	YJR042W
OG0001859	genemark-scaffold_3-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.20&CDS=1-498	YEL027W
OG0001860	genemark-scaffold_3-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.7&CDS=1-375	YEL026W
OG0001861	snap_masked-scaffold_3-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.38&CDS=1-3420	YJR041C
OG0001862	genemark-scaffold_3-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.21&CDS=1-2265	YJR040W
OG0001863	snap_masked-scaffold_3-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.39&CDS=1-4377	YNL102W
OG0001864	genemark-scaffold_3-processed-gene-0.10-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.10&CDS=1-2868	YBR289W
OG0001865	genemark-scaffold_3-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.12&CDS=1-3564	YMR287C
OG0001866	genemark-scaffold_3-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.3&CDS=1-4881	YML103C
OG0001867	genemark-scaffold_3-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.4&CDS=1-1275	YMR208W
OG0001868	genemark-scaffold_3-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.6&CDS=1-984	YOR271C
OG0001869	genemark-scaffold_3-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.7&CDS=1-1599	YMR217W
OG0001870	snap_masked-scaffold_3-processed-gene-1.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.64&CDS=1-1398	YOR272W
OG0001871	genemark-scaffold_3-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.18&CDS=1-1446	YMR209C
OG0001872	snap_masked-scaffold_3-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.66&CDS=1-861	YKL019W
OG0001873	genemark-scaffold_3-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.19&CDS=1-1359	YMR210W
OG0001874	genemark-scaffold_3-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.13&CDS=1-2385	YJR126C
OG0001875	genemark-scaffold_3-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.24&CDS=1-2463	YGR099W
OG0001876	snap_masked-scaffold_3-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.75&CDS=1-1116	YKL114C
OG0001877	genemark-scaffold_3-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.16&CDS=1-4101	YKL113C
OG0001878	snap_masked-scaffold_3-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.89&CDS=1-696	YOL038W
OG0001879	snap_masked-scaffold_3-processed-gene-1.78-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.78&CDS=1-390	YIR015W
OG0001880	genemark-scaffold_3-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.26&CDS=1-465	YOL026C
OG0001881	genemark-scaffold_3-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.27&CDS=1-1452	YGL253W
OG0001882	genemark-scaffold_3-processed-gene-2.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.0&CDS=1-903	YPL076W
OG0001883	genemark-scaffold_3-processed-gene-2.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.1&CDS=1-2337	YBR198C
OG0001884	genemark-scaffold_3-processed-gene-2.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.3&CDS=1-744	YGR057C
OG0001885	genemark-scaffold_3-processed-gene-2.18-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.18&CDS=1-534	YMR035W
OG0001886	genemark-scaffold_3-processed-gene-2.19-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.19&CDS=1-852	YNL155W
OG0001887	genemark-scaffold_3-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.5&CDS=1-954	YHR062C
OG0001888	genemark-scaffold_3-processed-gene-2.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.9&CDS=1-1101	YDR083W
OG0001889	genemark-scaffold_3-processed-gene-2.11-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.11&CDS=1-2286	YER125W
OG0001890	augustus_masked-scaffold_3-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.87&CDS=1-2883	YPR023C
OG0001891	genemark-scaffold_3-processed-gene-2.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.14&CDS=1-549	YDL217C
OG0001892	genemark-scaffold_3-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.15&CDS=1-1065	YNL141W
OG0001893	genemark-scaffold_3-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.31&CDS=1-378	YBL078C
OG0001894	genemark-scaffold_3-processed-gene-2.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.17&CDS=1-1518	YBL080C
OG0001895	genemark-scaffold_3-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.32&CDS=1-1107	YKL178C
OG0001896	genemark-scaffold_3-processed-gene-3.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.3&CDS=1-3318	YER110C
OG0001897	genemark-scaffold_3-processed-gene-3.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.4&CDS=1-1293	YDR021W
OG0001898	genemark-scaffold_3-processed-gene-3.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.2&CDS=1-717	YDR020C
OG0001899	genemark-scaffold_3-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.5&CDS=1-1203	YDR415C
OG0001900	snap_masked-scaffold_3-processed-gene-3.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.67&CDS=1-786	YPR037C
OG0001901	genemark-scaffold_3-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.22&CDS=1-672	YHL031C
OG0001902	genemark-scaffold_3-processed-gene-3.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.24&CDS=1-894	YPL131W
OG0001903	genemark-scaffold_3-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.12&CDS=1-678	YPR067W
OG0001904	genemark-scaffold_3-processed-gene-3.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.25&CDS=1-1884	YAL016W
OG0001905	genemark-scaffold_3-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.28&CDS=1-2118	YMR284W
OG0001906	genemark-scaffold_3-processed-gene-3.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.15&CDS=1-435	YJR058C
OG0001907	genemark-scaffold_3-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.29&CDS=1-624	YJR057W
OG0001908	augustus_masked-scaffold_3-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.48&CDS=1-624	YOL139C
OG0001909	augustus_masked-scaffold_3-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.61&CDS=1-909	YNL320W
OG0001910	maker-scaffold_3-snap-gene-4.65-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.65&CDS=1-3174	YOL138C
OG0001911	genemark-scaffold_3-processed-gene-4.2-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.2&CDS=1-699	YDR489W
OG0001912	genemark-scaffold_3-processed-gene-4.3-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.3&CDS=1-1581	YDL003W
OG0001913	maker-scaffold_3-augustus-gene-4.102-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.102&CDS=1-963	YDL004W
OG0001914	genemark-scaffold_3-processed-gene-4.20-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.20&CDS=1-345	YGR074W
OG0001915	snap_masked-scaffold_3-processed-gene-4.39-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.39&CDS=1-3027	YNL321W
OG0001916	maker-scaffold_3-augustus-gene-4.103-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-4.103&CDS=1-5649	YDL140C
OG0001917	genemark-scaffold_3-processed-gene-4.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.12&CDS=1-975	YOL094C
OG0001918	genemark-scaffold_3-processed-gene-4.23-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.23&CDS=1-1893	YDR484W
OG0001919	augustus_masked-scaffold_3-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.82&CDS=1-2664	YOL095C
OG0001920	genemark-scaffold_3-processed-gene-4.24-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.24&CDS=1-1407	YDR289C
OG0001921	genemark-scaffold_3-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.14&CDS=1-1029	YCR086W
OG0001922	genemark-scaffold_3-processed-gene-4.25-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.25&CDS=1-561	YCR087C-A
OG0001923	genemark-scaffold_3-processed-gene-4.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.26&CDS=1-375	YJL003W
OG0001924	genemark-scaffold_3-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.15&CDS=1-1962	YCR084C
OG0001925	maker-scaffold_3-snap-gene-4.67-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.67&CDS=1-1155	YNR043W
OG0001926	genemark-scaffold_3-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.17&CDS=1-588	YDL142C
OG0001927	augustus_masked-scaffold_3-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.96&CDS=1-1302	YER046W
OG0001928	maker-scaffold_3-snap-gene-4.68-mRNA-1_1&gene=maker-scaffold_3-snap-gene-4.68&CDS=1-2055	YJL008C
OG0001929	genemark-scaffold_3-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.28&CDS=1-753	YDR007W
OG0001930	genemark-scaffold_3-processed-gene-4.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.29&CDS=1-2397	YJL029C
OG0001931	genemark-scaffold_3-processed-gene-4.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.30&CDS=1-2190	YGL045W
OG0001932	genemark-scaffold_3-processed-gene-4.31-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.31&CDS=1-1314	YGR159C
OG0001933	genemark-scaffold_3-processed-gene-5.61-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.61&CDS=1-1080	YDR058C
