	Dekkera_bruxellensis	Saccharomyces_cerevisiae
OG0001902	genemark-scaffold_2-processed-gene-17.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.62&CDS=1-2592	YPR160W
OG0001903	maker-scaffold_2-augustus-gene-17.1-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.1&CDS=1-2649	YDL103C
OG0001904	genemark-scaffold_2-processed-gene-17.47-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.47&CDS=1-1035	YGR267C
OG0001905	genemark-scaffold_2-processed-gene-17.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.65&CDS=1-1683	YMR290C
OG0001906	genemark-scaffold_2-processed-gene-17.50-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.50&CDS=1-1266	YDL033C
OG0001907	snap_masked-scaffold_2-processed-gene-17.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.100&CDS=1-420	YLL050C
OG0001908	genemark-scaffold_2-processed-gene-17.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.68&CDS=1-1170	YNR043W
OG0001909	genemark-scaffold_2-processed-gene-17.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.69&CDS=1-1194	YLR113W
OG0001910	genemark-scaffold_2-processed-gene-17.70-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.70&CDS=1-891	YLR239C
OG0001911	genemark-scaffold_2-processed-gene-17.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.53&CDS=1-1878	YLR234W
OG0001912	genemark-scaffold_2-processed-gene-17.54-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.54&CDS=1-1089	YLR242C
OG0001913	augustus_masked-scaffold_2-processed-gene-17.30-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.30&CDS=1-2634	YLR241W
OG0001914	genemark-scaffold_2-processed-gene-17.73-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.73&CDS=1-1401	YDR207C
OG0001915	genemark-scaffold_2-processed-gene-17.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.75&CDS=1-1458	YDR198C
OG0001916	augustus_masked-scaffold_2-processed-gene-17.18-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.18&CDS=1-1098	YDR196C
OG0001917	genemark-scaffold_2-processed-gene-17.77-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.77&CDS=1-441	YLR167W
OG0001918	genemark-scaffold_2-processed-gene-17.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.58&CDS=1-996	YDR204W
OG0001919	genemark-scaffold_2-processed-gene-17.59-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.59&CDS=1-1107	YPR035W
OG0001920	augustus_masked-scaffold_2-processed-gene-17.34-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.34&CDS=1-306	YJR086W
OG0001921	genemark-scaffold_2-processed-gene-17.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.80&CDS=1-2574	YJR090C
OG0001922	genemark-scaffold_2-processed-gene-17.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.82&CDS=1-1215	YPR041W
OG0001923	augustus_masked-scaffold_2-processed-gene-17.39-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.39&CDS=1-2400	YPR036W
OG0001924	genemark-scaffold_2-processed-gene-17.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.85&CDS=1-426	YJR044C
OG0001925	genemark-scaffold_2-processed-gene-17.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.86&CDS=1-1959	YJR045C
OG0001926	augustus_masked-scaffold_2-processed-gene-17.41-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.41&CDS=1-2919	YOL094C
OG0001927	genemark-scaffold_2-processed-gene-18.45-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.45&CDS=1-1515	YLR314C
OG0001928	genemark-scaffold_2-processed-gene-18.46-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.46&CDS=1-1446	YLR090W
OG0001929	genemark-scaffold_2-processed-gene-18.48-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.48&CDS=1-1794	YDR117C
OG0001930	genemark-scaffold_2-processed-gene-18.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.72&CDS=1-435	YLR281C
OG0001931	augustus_masked-scaffold_2-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.14&CDS=1-900	YLR439W
OG0001932	maker-scaffold_2-augustus-gene-18.90-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.90&CDS=1-1704	YNL290W
OG0001933	genemark-scaffold_2-processed-gene-18.54-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.54&CDS=1-4812	YPL167C
OG0001934	maker-scaffold_2-augustus-gene-18.91-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-18.91&CDS=1-4035	YGL003C
OG0001935	augustus_masked-scaffold_2-processed-gene-18.17-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.17&CDS=1-1224	YMR201C
OG0001936	genemark-scaffold_2-processed-gene-18.56-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.56&CDS=1-1608	YJR003C
OG0001937	genemark-scaffold_2-processed-gene-18.57-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.57&CDS=1-594	YKL001C
OG0001938	genemark-scaffold_2-processed-gene-18.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.79&CDS=1-1245	YBR042C
OG0001939	genemark-scaffold_2-processed-gene-18.80-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.80&CDS=1-810	YJL079C
OG0001940	maker-scaffold_2-snap-gene-18.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.2&CDS=1-1551	YNL316C
OG0001941	genemark-scaffold_2-processed-gene-18.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.82&CDS=1-678	YIL118W
OG0001942	augustus_masked-scaffold_2-processed-gene-18.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.22&CDS=1-1713	YNL284C
OG0001943	genemark-scaffold_2-processed-gene-18.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.84&CDS=1-1506	YDR289C
OG0001944	genemark-scaffold_2-processed-gene-18.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.63&CDS=1-699	YGR167W
OG0001945	genemark-scaffold_2-processed-gene-18.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.64&CDS=1-3573	YOL051W
OG0001946	genemark-scaffold_2-processed-gene-18.65-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.65&CDS=1-2526	YBR114W
OG0001947	genemark-scaffold_2-processed-gene-18.66-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.66&CDS=1-2571	YCL030C
OG0001948	genemark-scaffold_2-processed-gene-18.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.68&CDS=1-492	YPR098C
OG0001949	genemark-scaffold_2-processed-gene-18.69-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-18.69&CDS=1-423	YPR100W
OG0001950	snap_masked-scaffold_2-processed-gene-18.134-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.134&CDS=1-1467	YCL029C
OG0001951	genemark-scaffold_2-processed-gene-19.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.78&CDS=1-3066	YGL201C
OG0001952	genemark-scaffold_2-processed-gene-19.79-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.79&CDS=1-927	YOL073C
OG0001953	genemark-scaffold_2-processed-gene-19.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.82&CDS=1-585	YGR078C
OG0001954	maker-scaffold_2-snap-gene-19.224-mRNA-1_1&gene=maker-scaffold_2-snap-gene-19.224&CDS=1-1428	YOL124C
OG0001955	genemark-scaffold_2-processed-gene-19.83-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.83&CDS=1-1506	YOL123W
OG0001956	genemark-scaffold_2-processed-gene-19.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.84&CDS=1-2859	YDL031W
OG0001957	genemark-scaffold_2-processed-gene-19.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.116&CDS=1-348	YGL070C
OG0001958	genemark-scaffold_2-processed-gene-19.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.86&CDS=1-579	YGL068W
OG0001959	genemark-scaffold_2-processed-gene-19.119-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.119&CDS=1-675	YJL063C
OG0001960	genemark-scaffold_2-processed-gene-19.120-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.120&CDS=1-1047	YBR265W
OG0001961	genemark-scaffold_2-processed-gene-19.121-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.121&CDS=1-459	YGL010W
OG0001962	genemark-scaffold_2-processed-gene-19.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.89&CDS=1-657	YKL142W
OG0001963	genemark-scaffold_2-processed-gene-19.122-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.122&CDS=1-1023	YKL151C
OG0001964	genemark-scaffold_2-processed-gene-19.90-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.90&CDS=1-864	YKL150W
OG0001965	genemark-scaffold_2-processed-gene-19.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.123&CDS=1-2931	YMR185W
OG0001966	genemark-scaffold_2-processed-gene-19.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.92&CDS=1-618	YPL239W
OG0001967	genemark-scaffold_2-processed-gene-19.93-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.93&CDS=1-825	YPL237W
OG0001968	augustus_masked-scaffold_2-processed-gene-19.196-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.196&CDS=1-1752	YPL243W
OG0001969	augustus_masked-scaffold_2-processed-gene-19.197-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.197&CDS=1-3270	YNL329C
OG0001970	augustus_masked-scaffold_2-processed-gene-19.168-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.168&CDS=1-1302	YMR073C
OG0001971	genemark-scaffold_2-processed-gene-19.130-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.130&CDS=1-402	YMR074C
OG0001972	genemark-scaffold_2-processed-gene-19.131-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.131&CDS=1-1257	YDL205C
OG0001973	genemark-scaffold_2-processed-gene-19.98-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.98&CDS=1-669	YLR412W
OG0001974	genemark-scaffold_2-processed-gene-19.132-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.132&CDS=1-1074	YBR141C
OG0001975	genemark-scaffold_2-processed-gene-19.99-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.99&CDS=1-2367	YBR142W
OG0001976	genemark-scaffold_2-processed-gene-19.133-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.133&CDS=1-1308	YBR143C
OG0001977	genemark-scaffold_2-processed-gene-19.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.100&CDS=1-1476	YGR083C
OG0001978	genemark-scaffold_2-processed-gene-19.134-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.134&CDS=1-2007	YOR014W
OG0001979	genemark-scaffold_2-processed-gene-19.135-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.135&CDS=1-603	YLR251W
OG0001980	genemark-scaffold_2-processed-gene-19.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.101&CDS=1-963	YGR086C
OG0001981	genemark-scaffold_2-processed-gene-19.102-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.102&CDS=1-2184	YEL062W
OG0001982	genemark-scaffold_2-processed-gene-19.103-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.103&CDS=1-2724	YEL061C
OG0001983	genemark-scaffold_2-processed-gene-19.105-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.105&CDS=1-1953	YML016C
OG0001984	genemark-scaffold_2-processed-gene-19.139-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.139&CDS=1-831	YML014W
OG0001985	augustus_masked-scaffold_2-processed-gene-19.179-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.179&CDS=1-1131	YBR120C
OG0001986	genemark-scaffold_2-processed-gene-19.141-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.141&CDS=1-2043	YCL057W
OG0001987	augustus_masked-scaffold_2-processed-gene-19.180-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.180&CDS=1-480	YLR008C
OG0001988	genemark-scaffold_2-processed-gene-19.110-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.110&CDS=1-1785	YGL084C
OG0001989	genemark-scaffold_2-processed-gene-19.143-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.143&CDS=1-714	YGL085W
OG0001990	snap_masked-scaffold_2-processed-gene-19.34-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.34&CDS=1-1098	YKR087C
OG0001991	genemark-scaffold_2-processed-gene-19.144-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.144&CDS=1-1479	YBR056W
OG0001992	genemark-scaffold_2-processed-gene-19.145-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.145&CDS=1-3078	YOL098C
OG0001993	genemark-scaffold_2-processed-gene-19.146-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.146&CDS=1-1227	YGR257C
OG0001994	augustus_masked-scaffold_2-processed-gene-19.218-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.218&CDS=1-4227	YHR186C
OG0001995	augustus_masked-scaffold_2-processed-gene-19.219-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.219&CDS=1-4323	YLR371W
OG0001996	genemark-scaffold_2-processed-gene-19.114-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.114&CDS=1-525	YLR370C
OG0001997	genemark-scaffold_2-processed-gene-19.149-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-19.149&CDS=1-1401	YDR306C
OG0001998	genemark-scaffold_20-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.39&CDS=1-1305	YLL063C
OG0001999	maker-scaffold_20-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.0&CDS=1-1548	YEL023C
OG0002000	augustus_masked-scaffold_20-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.6&CDS=1-1740	YNL308C
OG0002001	genemark-scaffold_20-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.45&CDS=1-1053	YGL224C
OG0002002	maker-scaffold_20-snap-gene-0.54-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.54&CDS=1-1761	YOL019W
OG0002003	augustus_masked-scaffold_20-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.20&CDS=1-7020	YFR019W
OG0002004	augustus_masked-scaffold_20-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-0.10&CDS=1-2892	YDR115W
OG0002005	augustus_masked-scaffold_21-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.2&CDS=1-4272	YER008C
OG0002006	augustus_masked-scaffold_21-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.3&CDS=1-1131	YKL140W
OG0002007	snap_masked-scaffold_21-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scaffold_21-processed-gene-0.43&CDS=1-864	YLR348C
OG0002008	genemark-scaffold_21-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.29&CDS=1-3126	YNL243W
OG0002009	genemark-scaffold_21-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.23&CDS=1-327	YNL244C
OG0002010	genemark-scaffold_21-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.24&CDS=1-579	YNL245C
OG0002011	genemark-scaffold_21-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.30&CDS=1-678	YMR134W
OG0002012	genemark-scaffold_21-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.25&CDS=1-1209	YGR012W
OG0002013	genemark-scaffold_21-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.31&CDS=1-1842	YFL002C
OG0002014	genemark-scaffold_21-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.26&CDS=1-1317	YFL001W
OG0002015	genemark-scaffold_21-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.27&CDS=1-1839	YGL164C
OG0002016	augustus_masked-scaffold_27-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scaffold_27-processed-gene-0.8&CDS=1-285	YLL018C-A
OG0002017	snap_masked-scaffold_28-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_28-processed-gene-0.4&CDS=1-249	YFL017W-A
OG0002018	genemark-scaffold_3-processed-gene-0.30-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.30&CDS=1-345	YBR067C
OG0002019	genemark-scaffold_3-processed-gene-0.52-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.52&CDS=1-600	YOL008W
OG0002020	genemark-scaffold_3-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.37&CDS=1-1869	YOR175C
OG0002021	genemark-scaffold_3-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.53&CDS=1-855	YOR174W
OG0002022	genemark-scaffold_3-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.38&CDS=1-1896	YMR004W
OG0002023	snap_masked-scaffold_3-processed-gene-0.90-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.90&CDS=1-1023	YOL010W
OG0002024	augustus_masked-scaffold_3-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.13&CDS=1-711	YMR005W
OG0002025	genemark-scaffold_3-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.55&CDS=1-861	YKL095W
OG0002026	genemark-scaffold_3-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.56&CDS=1-1755	YLR272C
OG0002027	augustus_masked-scaffold_3-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.19&CDS=1-1191	YOR176W
OG0002028	maker-scaffold_3-snap-gene-1.6-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.6&CDS=1-1323	YOL009C
OG0002029	genemark-scaffold_3-processed-gene-1.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.73&CDS=1-510	YJR025C
OG0002030	augustus_masked-scaffold_3-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.21&CDS=1-1008	YKR080W
OG0002031	genemark-scaffold_3-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.62&CDS=1-936	YIL145C
OG0002032	genemark-scaffold_3-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.64&CDS=1-1671	YDR120C
OG0002033	genemark-scaffold_3-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.75&CDS=1-357	YLR099W-A
OG0002034	genemark-scaffold_3-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.67&CDS=1-2559	YLR115W
OG0002035	genemark-scaffold_3-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.79&CDS=1-681	YLR268W
OG0002036	genemark-scaffold_3-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.80&CDS=1-1800	YGR119C
OG0002037	maker-scaffold_3-snap-gene-1.12-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.12&CDS=1-3177	YBL047C
OG0002038	genemark-scaffold_3-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.86&CDS=1-1539	YDR330W
OG0002039	snap_masked-scaffold_3-processed-gene-1.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.111&CDS=1-450	YLR170C
OG0002040	genemark-scaffold_3-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.70&CDS=1-816	YPL078C
OG0002041	genemark-scaffold_3-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.71&CDS=1-666	YBR193C
OG0002042	genemark-scaffold_3-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.89&CDS=1-1194	YBR192W
OG0002043	genemark-scaffold_3-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.92&CDS=1-3351	YDR495C
OG0002044	maker-scaffold_3-snap-gene-1.14-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.14&CDS=1-2799	YDR299W
OG0002045	genemark-scaffold_3-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.42&CDS=1-1839	YER140W
OG0002046	genemark-scaffold_3-processed-gene-2.44-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.44&CDS=1-1203	YGL246C
OG0002047	genemark-scaffold_3-processed-gene-2.45-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.45&CDS=1-2139	YGL245W
OG0002048	genemark-scaffold_3-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.54&CDS=1-2061	YFR048W
OG0002049	genemark-scaffold_3-processed-gene-2.46-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.46&CDS=1-1527	YGL244W
OG0002050	genemark-scaffold_3-processed-gene-2.55-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.55&CDS=1-3156	YGL241W
OG0002051	genemark-scaffold_3-processed-gene-2.47-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.47&CDS=1-1734	YER068W
OG0002052	genemark-scaffold_3-processed-gene-2.57-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.57&CDS=1-1650	YGL186C
OG0002053	genemark-scaffold_3-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.58&CDS=1-2289	YPL184C
OG0002054	maker-scaffold_3-snap-gene-2.36-mRNA-1_1&gene=maker-scaffold_3-snap-gene-2.36&CDS=1-2130	YOL148C
OG0002055	genemark-scaffold_3-processed-gene-2.59-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.59&CDS=1-567	YOL149W
OG0002056	genemark-scaffold_3-processed-gene-2.60-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.60&CDS=1-3615	YBL022C
OG0002057	genemark-scaffold_3-processed-gene-2.61-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.61&CDS=1-1434	YPL262W
OG0002058	genemark-scaffold_3-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.62&CDS=1-1638	YFR051C
OG0002059	genemark-scaffold_3-processed-gene-2.50-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.50&CDS=1-1767	YNL227C
OG0002060	augustus_masked-scaffold_3-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.95&CDS=1-6468	YOL021C
OG0002061	genemark-scaffold_3-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.66&CDS=1-3609	YJR041C
OG0002062	snap_masked-scaffold_3-processed-gene-2.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.13&CDS=1-1791	YJR042W
OG0002063	genemark-scaffold_3-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.67&CDS=1-1797	YCR065W
OG0002064	genemark-scaffold_3-processed-gene-2.52-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.52&CDS=1-2772	YJR036C
OG0002065	genemark-scaffold_3-processed-gene-2.69-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.69&CDS=1-1047	YOR043W
OG0002066	genemark-scaffold_3-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.70&CDS=1-7350	YKL203C
OG0002067	genemark-scaffold_3-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.71&CDS=1-972	YLR354C
OG0002068	augustus_masked-scaffold_3-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.47&CDS=1-2193	YJR065C
OG0002069	genemark-scaffold_3-processed-gene-3.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.81&CDS=1-1083	YGR042W
OG0002070	genemark-scaffold_3-processed-gene-3.82-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.82&CDS=1-1005	YPR004C
OG0002071	genemark-scaffold_3-processed-gene-3.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.83&CDS=1-1812	YHR206W
OG0002072	genemark-scaffold_3-processed-gene-3.85-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.85&CDS=1-510	YPL059W
OG0002073	genemark-scaffold_3-processed-gene-3.86-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.86&CDS=1-1098	YKL018W
OG0002074	genemark-scaffold_3-processed-gene-3.100-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.100&CDS=1-2295	YKL017C
OG0002075	genemark-scaffold_3-processed-gene-3.101-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.101&CDS=1-525	YKL016C
OG0002076	genemark-scaffold_3-processed-gene-3.102-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.102&CDS=1-1194	YOL105C
OG0002077	genemark-scaffold_3-processed-gene-3.103-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.103&CDS=1-1092	YCL018W
OG0002078	genemark-scaffold_3-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.104&CDS=1-1386	YCL017C
OG0002079	genemark-scaffold_3-processed-gene-3.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.87&CDS=1-852	YNL003C
OG0002080	augustus_masked-scaffold_3-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.69&CDS=1-2247	YCR003W
OG0002081	genemark-scaffold_3-processed-gene-3.88-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.88&CDS=1-1092	YCR002C
OG0002082	genemark-scaffold_3-processed-gene-3.109-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.109&CDS=1-1731	YHR194W
OG0002083	genemark-scaffold_3-processed-gene-3.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.89&CDS=1-1566	YMR319C
OG0002084	augustus_masked-scaffold_3-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-3.72&CDS=1-1872	YOL001W
OG0002085	genemark-scaffold_3-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.113&CDS=1-780	YOR077W
