	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0002369	augustus_masked-LAME0F-processed-gene-10.129-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.129&CDS=1-1788	YDR389W
OG0002370	augustus_masked-LAME0F-processed-gene-10.130-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.130&CDS=1-1329	YDR388W
OG0002371	augustus_masked-LAME0F-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.111&CDS=1-1602	YDR387C
OG0002372	augustus_masked-LAME0F-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.131&CDS=1-1851	YDR386W
OG0002373	augustus_masked-LAME0F-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.133&CDS=1-1578	YOR132W
OG0002374	maker-LAME0F-augustus-gene-10.146-mRNA-1_1&gene=maker-LAME0F-augustus-gene-10.146&CDS=1-660	YOR131C
OG0002375	genemark-LAME0F-processed-gene-10.67-mRNA-1_1&gene=genemark-LAME0F-processed-gene-10.67&CDS=1-849	YDR384C
OG0002376	snap_masked-LAME0F-processed-gene-10.14-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-10.14&CDS=1-705	YDR383C
OG0002377	augustus_masked-LAME0F-processed-gene-10.134-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.134&CDS=1-333	YDR382W
OG0002378	augustus_masked-LAME0F-processed-gene-10.115-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.115&CDS=1-846	YOR130C
OG0002379	snap_masked-LAME0F-processed-gene-10.16-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-10.16&CDS=1-318	YDR381C-A
OG0002380	maker-LAME0F-augustus-gene-10.148-mRNA-1_1&gene=maker-LAME0F-augustus-gene-10.148&CDS=1-648	YDR381W
OG0002381	snap_masked-LAME0F-processed-gene-10.17-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-10.17&CDS=1-2652	YOR129C
OG0002382	genemark-LAME0F-processed-gene-10.90-mRNA-1_1&gene=genemark-LAME0F-processed-gene-10.90&CDS=1-1497	YDR380W
OG0002383	augustus_masked-LAME0F-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.118&CDS=1-1737	YOR128C
OG0002384	snap_masked-LAME0F-processed-gene-10.19-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-10.19&CDS=1-237	YDR379C-A
OG0002385	augustus_masked-LAME0F-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.139&CDS=1-2919	YOR127W
OG0002386	augustus_masked-LAME0F-processed-gene-10.119-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.119&CDS=1-249	YDR378C
OG0002387	augustus_masked-LAME0F-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.140&CDS=1-303	YDR377W
OG0002388	maker-LAME0F-augustus-gene-10.147-mRNA-1_1&gene=maker-LAME0F-augustus-gene-10.147&CDS=1-2181	YER090W
OG0002389	augustus_masked-LAME0F-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.141&CDS=1-1170	YBL058W
OG0002390	augustus_masked-LAME0F-processed-gene-10.142-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.142&CDS=1-2301	YER091C
OG0002391	augustus_masked-LAME0F-processed-gene-10.121-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.121&CDS=1-345	YER092W
OG0002392	maker-LAME0F-augustus-gene-10.149-mRNA-1_1&gene=maker-LAME0F-augustus-gene-10.149&CDS=1-4521	YER093C
OG0002393	augustus_masked-LAME0F-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.122&CDS=1-324	YBL059C-A
OG0002394	maker-LAME0F-augustus-gene-10.150-mRNA-1_1&gene=maker-LAME0F-augustus-gene-10.150&CDS=1-615	YER094C
OG0002395	augustus_masked-LAME0F-processed-gene-10.145-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.145&CDS=1-1902	YBL060W
OG0002396	augustus_masked-LAME0F-processed-gene-10.123-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.123&CDS=1-1149	YER095W
OG0002397	augustus_masked-LAME0F-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.124&CDS=1-2016	YBL061C
OG0002398	augustus_masked-LAME0F-processed-gene-10.125-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.125&CDS=1-744	YBL064C
OG0002399	augustus_masked-LAME0F-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.126&CDS=1-3138	YBL066C
OG0002400	augustus_masked-LAME0F-processed-gene-11.0-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.0&CDS=1-2127	YBL067C
OG0002401	augustus_masked-LAME0F-processed-gene-11.4-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.4&CDS=1-954	YER099C
OG0002402	augustus_masked-LAME0F-processed-gene-11.1-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.1&CDS=1-735	YER100W
OG0002403	augustus_masked-LAME0F-processed-gene-11.6-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.6&CDS=1-246	YBL071W-A
OG0002404	augustus_masked-LAME0F-processed-gene-11.3-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.3&CDS=1-1095	YBL074C
OG0002405	augustus_masked-LAME0F-processed-gene-11.8-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.8&CDS=1-3216	YBL076C
OG0002406	augustus_masked-LAME0F-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.10&CDS=1-357	YBL078C
OG0002407	augustus_masked-LAME0F-processed-gene-11.21-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.21&CDS=1-4377	YBL079W
OG0002408	augustus_masked-LAME0F-processed-gene-11.11-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.11&CDS=1-1602	YBL080C
OG0002409	augustus_masked-LAME0F-processed-gene-11.22-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.22&CDS=1-1125	YBL081W
OG0002410	augustus_masked-LAME0F-processed-gene-11.23-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.23&CDS=1-1101	YER107C
OG0002411	augustus_masked-LAME0F-processed-gene-11.24-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.24&CDS=1-2964	YER109C
OG0002412	augustus_masked-LAME0F-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.25&CDS=1-1374	YBL082C
OG0002413	augustus_masked-LAME0F-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.26&CDS=1-3333	YER110C
OG0002414	augustus_masked-LAME0F-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.27&CDS=1-2715	YER111C
OG0002415	augustus_masked-LAME0F-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.12&CDS=1-576	YER112W
OG0002416	augustus_masked-LAME0F-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.28&CDS=1-2121	YER113C
OG0002417	augustus_masked-LAME0F-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.13&CDS=1-1911	YBL084C
OG0002418	augustus_masked-LAME0F-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.29&CDS=1-3078	YER114C
OG0002419	augustus_masked-LAME0F-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.14&CDS=1-1242	YBL086C
OG0002420	augustus_masked-LAME0F-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.32&CDS=1-723	YER116C
OG0002421	augustus_masked-LAME0F-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.16&CDS=1-8154	YBL088C
OG0002422	augustus_masked-LAME0F-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.33&CDS=1-1026	YER118C
OG0002423	augustus_masked-LAME0F-processed-gene-11.34-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.34&CDS=1-1338	YER119C
OG0002424	augustus_masked-LAME0F-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.35&CDS=1-486	YBL090W
OG0002425	augustus_masked-LAME0F-processed-gene-11.17-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.17&CDS=1-1269	YBL091C
OG0002426	maker-LAME0F-augustus-gene-11.79-mRNA-1_1&gene=maker-LAME0F-augustus-gene-11.79&CDS=1-714	YER120W
OG0002427	augustus_masked-LAME0F-processed-gene-11.36-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.36&CDS=1-393	YBL092W
OG0002428	augustus_masked-LAME0F-processed-gene-11.19-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.19&CDS=1-609	YBL093C
OG0002429	augustus_masked-LAME0F-processed-gene-11.37-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.37&CDS=1-2019	YER122C
OG0002430	augustus_masked-LAME0F-processed-gene-12.46-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.46&CDS=1-1383	YBL098W
OG0002431	augustus_masked-LAME0F-processed-gene-12.47-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.47&CDS=1-2418	YBL097W
OG0002432	snap_masked-LAME0F-processed-gene-12.93-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-12.93&CDS=1-2169	YPR024W
OG0002433	augustus_masked-LAME0F-processed-gene-12.49-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.49&CDS=1-1089	YPR025C
OG0002434	augustus_masked-LAME0F-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.50&CDS=1-1647	YBL099W
OG0002435	augustus_masked-LAME0F-processed-gene-12.51-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.51&CDS=1-1893	YOR249C
OG0002436	augustus_masked-LAME0F-processed-gene-12.64-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.64&CDS=1-1260	YPL164C
OG0002437	augustus_masked-LAME0F-processed-gene-12.66-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.66&CDS=1-846	YPL162C
OG0002438	augustus_masked-LAME0F-processed-gene-12.67-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.67&CDS=1-1782	YPL161C
OG0002439	augustus_masked-LAME0F-processed-gene-12.52-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.52&CDS=1-969	YOR246C
OG0002440	augustus_masked-LAME0F-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.53&CDS=1-3288	YPL160W
OG0002441	augustus_masked-LAME0F-processed-gene-12.68-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.68&CDS=1-678	YPL159C
OG0002442	augustus_masked-LAME0F-processed-gene-12.54-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.54&CDS=1-1332	YMR210W
OG0002443	augustus_masked-LAME0F-processed-gene-12.69-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.69&CDS=1-1818	YPL158C
OG0002444	augustus_masked-LAME0F-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.55&CDS=1-879	YPL157W
OG0002445	augustus_masked-LAME0F-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.70&CDS=1-834	YPL156C
OG0002446	genemark-LAME0F-processed-gene-12.26-mRNA-1_1&gene=genemark-LAME0F-processed-gene-12.26&CDS=1-1911	YPL155C
OG0002447	augustus_masked-LAME0F-processed-gene-12.72-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.72&CDS=1-1254	YPL154C
OG0002448	augustus_masked-LAME0F-processed-gene-12.73-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.73&CDS=1-2412	YPL153C
OG0002449	augustus_masked-LAME0F-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.56&CDS=1-2394	YPL152W
OG0002450	augustus_masked-LAME0F-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.75&CDS=1-1314	YPL151C
OG0002451	augustus_masked-LAME0F-processed-gene-12.57-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.57&CDS=1-2088	YOR243C
OG0002452	snap_masked-LAME0F-processed-gene-12.104-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-12.104&CDS=1-1230	YOR242C
OG0002453	augustus_masked-LAME0F-processed-gene-12.76-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.76&CDS=1-1455	YOR241W
OG0002454	augustus_masked-LAME0F-processed-gene-12.59-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.59&CDS=1-2568	YPL150W
OG0002455	augustus_masked-LAME0F-processed-gene-12.60-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.60&CDS=1-966	YPL149W
OG0002456	genemark-LAME0F-processed-gene-12.33-mRNA-1_1&gene=genemark-LAME0F-processed-gene-12.33&CDS=1-1659	YOR239W
OG0002457	augustus_masked-LAME0F-processed-gene-12.79-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.79&CDS=1-516	YPL148C
OG0002458	augustus_masked-LAME0F-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.61&CDS=1-2490	YPL147W
OG0002459	augustus_masked-LAME0F-processed-gene-12.82-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.82&CDS=1-1647	YPL146C
OG0002460	augustus_masked-LAME0F-processed-gene-12.83-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.83&CDS=1-1251	YPL145C
OG0002461	augustus_masked-LAME0F-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.84&CDS=1-630	YOR236W
OG0002462	augustus_masked-LAME0F-processed-gene-12.62-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.62&CDS=1-387	YPL144W
OG0002463	augustus_masked-LAME0F-processed-gene-12.88-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-12.88&CDS=1-1047	YPL138C
OG0002464	genemark-LAME0F-processed-gene-13.0-mRNA-1_1&gene=genemark-LAME0F-processed-gene-13.0&CDS=1-846	YOR228C
OG0002465	augustus_masked-LAME0F-processed-gene-13.101-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.101&CDS=1-3357	YOR227W
OG0002466	augustus_masked-LAME0F-processed-gene-13.98-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.98&CDS=1-483	YOR226C
OG0002467	augustus_masked-LAME0F-processed-gene-13.99-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.99&CDS=1-432	YOR224C
OG0002468	augustus_masked-LAME0F-processed-gene-13.102-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.102&CDS=1-762	YOR223W
OG0002469	augustus_masked-LAME0F-processed-gene-13.114-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.114&CDS=1-891	YOR222W
OG0002470	augustus_masked-LAME0F-processed-gene-13.103-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.103&CDS=1-1662	YER082C
OG0002471	augustus_masked-LAME0F-processed-gene-13.115-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.115&CDS=1-2829	YIL075C
OG0002472	augustus_masked-LAME0F-processed-gene-13.117-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.117&CDS=1-1863	YER080W
OG0002473	augustus_masked-LAME0F-processed-gene-13.118-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.118&CDS=1-690	YER079W
OG0002474	augustus_masked-LAME0F-processed-gene-13.104-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.104&CDS=1-3177	YER078C
OG0002475	snap_masked-LAME0F-processed-gene-13.71-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-13.71&CDS=1-1233	YIL071C
OG0002476	snap_masked-LAME0F-processed-gene-13.57-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-13.57&CDS=1-1908	YER077C
OG0002477	augustus_masked-LAME0F-processed-gene-13.120-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.120&CDS=1-786	YIL070C
OG0002478	snap_masked-LAME0F-processed-gene-13.58-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-13.58&CDS=1-2571	YER075C
OG0002479	maker-LAME0F-augustus-gene-13.141-mRNA-1_1&gene=maker-LAME0F-augustus-gene-13.141&CDS=1-198	YER074W-A
OG0002480	augustus_masked-LAME0F-processed-gene-13.123-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.123&CDS=1-369	YER072W
OG0002481	augustus_masked-LAME0F-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.107&CDS=1-351	YER071C
OG0002482	augustus_masked-LAME0F-processed-gene-13.124-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.124&CDS=1-2394	YIL068C
OG0002483	augustus_masked-LAME0F-processed-gene-13.125-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.125&CDS=1-2031	YIL067C
OG0002484	augustus_masked-LAME0F-processed-gene-13.127-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.127&CDS=1-462	YIL065C
OG0002485	augustus_masked-LAME0F-processed-gene-13.108-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.108&CDS=1-687	YIL064W
OG0002486	genemark-LAME0F-processed-gene-13.32-mRNA-1_1&gene=genemark-LAME0F-processed-gene-13.32&CDS=1-1164	YIL063C
OG0002487	genemark-LAME0F-processed-gene-13.33-mRNA-1_1&gene=genemark-LAME0F-processed-gene-13.33&CDS=1-459	YIL062C
OG0002488	augustus_masked-LAME0F-processed-gene-13.130-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.130&CDS=1-2565	YER069W
OG0002489	augustus_masked-LAME0F-processed-gene-13.131-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.131&CDS=1-876	YIL061C
OG0002490	augustus_masked-LAME0F-processed-gene-13.132-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.132&CDS=1-1881	YER068W
OG0002491	augustus_masked-LAME0F-processed-gene-13.133-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.133&CDS=1-495	YIL057C
OG0002492	augustus_masked-LAME0F-processed-gene-13.109-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.109&CDS=1-1653	YER065C
OG0002493	augustus_masked-LAME0F-processed-gene-13.110-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.110&CDS=1-1902	YIL056W
OG0002494	snap_masked-LAME0F-processed-gene-13.87-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-13.87&CDS=1-1164	YIL055C
OG0002495	augustus_masked-LAME0F-processed-gene-13.112-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.112&CDS=1-1275	YER061C
OG0002496	snap_masked-LAME0F-processed-gene-13.89-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-13.89&CDS=1-759	YIL049W
OG0002497	augustus_masked-LAME0F-processed-gene-13.139-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.139&CDS=1-309	YHR087W
OG0002498	augustus_masked-LAME0F-processed-gene-14.7-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.7&CDS=1-1575	YHR086W
OG0002499	augustus_masked-LAME0F-processed-gene-14.8-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.8&CDS=1-1074	YHR085W
OG0002500	augustus_masked-LAME0F-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.5&CDS=1-2160	YDR333C
OG0002501	augustus_masked-LAME0F-processed-gene-14.9-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.9&CDS=1-2085	YHR084W
OG0002502	snap_masked-LAME0F-processed-gene-14.128-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.128&CDS=1-978	YHR083W
OG0002503	augustus_masked-LAME0F-processed-gene-14.34-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.34&CDS=1-2010	YDR332W
OG0002504	augustus_masked-LAME0F-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.10&CDS=1-2451	YHR082C
OG0002505	genemark-LAME0F-processed-gene-14.81-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.81&CDS=1-1071	YDR331W
OG0002506	augustus_masked-LAME0F-processed-gene-14.36-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.36&CDS=1-1440	YDR330W
OG0002507	augustus_masked-LAME0F-processed-gene-14.37-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.37&CDS=1-510	YHR081W
OG0002508	augustus_masked-LAME0F-processed-gene-14.11-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.11&CDS=1-1404	YDR329C
OG0002509	augustus_masked-LAME0F-processed-gene-14.12-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.12&CDS=1-549	YDR328C
OG0002510	augustus_masked-LAME0F-processed-gene-14.14-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.14&CDS=1-201	YHR079C-A
OG0002511	augustus_masked-LAME0F-processed-gene-14.15-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.15&CDS=1-3213	YHR079C
OG0002512	genemark-LAME0F-processed-gene-14.84-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.84&CDS=1-3081	YDR325W
OG0002513	augustus_masked-LAME0F-processed-gene-14.16-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.16&CDS=1-2238	YDR324C
OG0002514	augustus_masked-LAME0F-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.39&CDS=1-1590	YHR078W
OG0002515	augustus_masked-LAME0F-processed-gene-14.17-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.17&CDS=1-4209	YHR077C
OG0002516	augustus_masked-LAME0F-processed-gene-14.40-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.40&CDS=1-972	YHR076W
OG0002517	augustus_masked-LAME0F-processed-gene-14.18-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.18&CDS=1-276	YDR322C-A
OG0002518	genemark-LAME0F-processed-gene-14.87-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.87&CDS=1-1074	YDR322W
OG0002519	augustus_masked-LAME0F-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.42&CDS=1-426	YMR236W
OG0002520	maker-LAME0F-augustus-gene-14.1-mRNA-1_1&gene=maker-LAME0F-augustus-gene-14.1&CDS=1-318	YDL130W
OG0002521	snap_masked-LAME0F-processed-gene-14.115-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.115&CDS=1-642	YDL129W
OG0002522	snap_masked-LAME0F-processed-gene-14.116-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.116&CDS=1-1374	YDL180W
OG0002523	genemark-LAME0F-processed-gene-14.68-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.68&CDS=1-1215	YDL128W
OG0002524	augustus_masked-LAME0F-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.23&CDS=1-891	YDL179W
OG0002525	maker-LAME0F-snap-gene-14.151-mRNA-1_1&gene=maker-LAME0F-snap-gene-14.151&CDS=1-2874	YDL126C
OG0002526	augustus_masked-LAME0F-processed-gene-14.24-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.24&CDS=1-1623	YDL178W
OG0002527	genemark-LAME0F-processed-gene-14.93-mRNA-1_1&gene=genemark-LAME0F-processed-gene-14.93&CDS=1-495	YDL177C
OG0002528	snap_masked-LAME0F-processed-gene-14.120-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.120&CDS=1-2160	YDL176W
OG0002529	augustus_masked-LAME0F-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.45&CDS=1-996	YIL077C
OG0002530	augustus_masked-LAME0F-processed-gene-14.27-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.27&CDS=1-876	YIL076W
OG0002531	augustus_masked-LAME0F-processed-gene-14.28-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.28&CDS=1-906	YER083C
OG0002532	snap_masked-LAME0F-processed-gene-14.125-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.125&CDS=1-627	YPR165W
OG0002533	augustus_masked-LAME0F-processed-gene-14.47-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.47&CDS=1-345	YPR166C
OG0002534	augustus_masked-LAME0F-processed-gene-14.48-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.48&CDS=1-798	YPR167C
OG0002535	snap_masked-LAME0F-processed-gene-14.126-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.126&CDS=1-441	YPR168W
OG0002536	snap_masked-LAME0F-processed-gene-14.127-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-14.127&CDS=1-1557	YPR169W
OG0002537	augustus_masked-LAME0F-processed-gene-15.47-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.47&CDS=1-1779	YOL123W
OG0002538	augustus_masked-LAME0F-processed-gene-15.46-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.46&CDS=1-1311	YOL124C
OG0002539	augustus_masked-LAME0F-processed-gene-15.48-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.48&CDS=1-1260	YNL304W
OG0002540	augustus_masked-LAME0F-processed-gene-15.49-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.49&CDS=1-1374	YOL125W
OG0002541	augustus_masked-LAME0F-processed-gene-15.50-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.50&CDS=1-1110	YOL126C
OG0002542	augustus_masked-LAME0F-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.51&CDS=1-942	YNL305C
OG0002543	augustus_masked-LAME0F-processed-gene-15.70-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.70&CDS=1-1053	YOL127W
OG0002544	augustus_masked-LAME0F-processed-gene-15.52-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.52&CDS=1-1095	YNL307C
OG0002545	augustus_masked-LAME0F-processed-gene-15.71-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.71&CDS=1-528	YOL129W
OG0002546	augustus_masked-LAME0F-processed-gene-15.53-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.53&CDS=1-1701	YNL308C
OG0002547	augustus_masked-LAME0F-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.73&CDS=1-897	YNL309W
OG0002548	genemark-LAME0F-processed-gene-15.11-mRNA-1_1&gene=genemark-LAME0F-processed-gene-15.11&CDS=1-513	YNL310C
