	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
OG0001254	YDR488C	genemark-flattened_line_36-processed-gene-0.218-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.218&CDS=1-1548
OG0001255	YDR489W	genemark-flattened_line_36-processed-gene-0.270-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.270&CDS=1-684
OG0001256	YDR493W	genemark-flattened_line_16-processed-gene-3.204-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.204&CDS=1-375
OG0001257	YDR495C	genemark-flattened_line_10-processed-gene-3.96-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.96&CDS=1-2538
OG0001258	YDR496C	maker-flattened_line_2-augustus-gene-4.1-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.1&CDS=1-5007
OG0001259	YDR498C	genemark-flattened_line_14-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.146&CDS=1-1002
OG0001260	YDR499W	genemark-flattened_line_10-processed-gene-1.97-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.97&CDS=1-2073
OG0001261	YDR510W	genemark-flattened_line_10-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.112&CDS=1-297
OG0001262	YDR511W	genemark-flattened_line_24-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.50&CDS=1-396
OG0001263	YDR512C	maker-flattened_line_24-snap-gene-0.84-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.84&CDS=1-1143
OG0001264	YDR517W	genemark-flattened_line_79-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.8&CDS=1-1071
OG0001265	YDR519W	maker-flattened_line_22-snap-gene-1.200-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.200&CDS=1-474
OG0001266	YDR520C	genemark-flattened_line_12-processed-gene-2.87-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.87&CDS=1-1719
OG0001267	YDR524C	snap_masked-flattened_line_12-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.143&CDS=1-2697
OG0001268	YDR525W-A	maker-flattened_line_12-snap-gene-2.60-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.60&CDS=1-267
OG0001269	YDR527W	augustus_masked-flattened_line_2-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.74&CDS=1-4797
OG0001270	YDR529C	genemark-flattened_line_12-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.98&CDS=1-378
OG0001271	YDR531W	genemark-flattened_line_14-processed-gene-1.184-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.184&CDS=1-1320
OG0001272	YEL001C	genemark-flattened_line_2-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.58&CDS=1-726
OG0001273	YEL002C	genemark-flattened_line_2-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.60&CDS=1-1287
OG0001274	YEL003W	genemark-flattened_line_2-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.87&CDS=1-336
OG0001275	YEL004W	genemark-flattened_line_2-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.97&CDS=1-1122
OG0001276	YEL007W	genemark-flattened_line_2-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.68&CDS=1-1599
OG0001277	YEL009C	genemark-flattened_line_0-processed-gene-5.10-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.10&CDS=1-795
OG0001278	YEL011W	genemark-flattened_line_10-processed-gene-2.171-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.171&CDS=1-2049
OG0001279	YEL012W	genemark-flattened_line_6-processed-gene-3.116-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.116&CDS=1-585
OG0001280	YEL013W	snap_masked-flattened_line_8-processed-gene-3.158-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.158&CDS=1-1671
OG0001281	YEL015W	maker-flattened_line_8-snap-gene-3.59-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-3.59&CDS=1-1533
OG0001282	YEL019C	genemark-flattened_line_20-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.113&CDS=1-810
OG0001283	YEL020C	genemark-flattened_line_20-processed-gene-1.111-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.111&CDS=1-1695
OG0001284	YEL020W-A	snap_masked-flattened_line_20-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.54&CDS=1-261
OG0001285	YEL021W	maker-flattened_line_20-augustus-gene-1.123-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.123&CDS=1-1884
OG0001286	YEL022W	genemark-flattened_line_34-processed-gene-0.241-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.241&CDS=1-4176
OG0001287	YEL023C	genemark-flattened_line_0-processed-gene-8.111-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.111&CDS=1-1836
OG0001288	YEL024W	genemark-flattened_line_0-processed-gene-8.114-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.114&CDS=1-648
OG0001289	YEL026W	genemark-flattened_line_0-processed-gene-8.116-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.116&CDS=1-378
OG0001290	YEL027W	genemark-flattened_line_0-processed-gene-8.113-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.113&CDS=1-480
OG0001291	YEL031W	genemark-flattened_line_22-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.101&CDS=1-3624
OG0001292	YEL032W	genemark-flattened_line_10-processed-gene-2.166-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.166&CDS=1-2616
OG0001293	YEL037C	genemark-flattened_line_0-processed-gene-2.142-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.142&CDS=1-1065
OG0001294	YEL040W	genemark-flattened_line_10-processed-gene-5.209-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.209&CDS=1-1344
OG0001295	YEL042W	genemark-flattened_line_8-processed-gene-3.115-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.115&CDS=1-1827
OG0001296	YEL043W	genemark-flattened_line_14-processed-gene-4.41-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.41&CDS=1-3072
OG0001297	YEL044W	genemark-flattened_line_14-processed-gene-4.42-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.42&CDS=1-375
OG0001298	YEL048C	genemark-flattened_line_14-processed-gene-4.90-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.90&CDS=1-549
OG0001299	YEL050C	genemark-flattened_line_10-processed-gene-2.133-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.133&CDS=1-1158
OG0001300	YEL051W	genemark-flattened_line_10-processed-gene-2.161-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.161&CDS=1-786
OG0001301	YEL052W	genemark-flattened_line_10-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.162&CDS=1-1407
OG0001302	YEL053C	genemark-flattened_line_10-processed-gene-2.135-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.135&CDS=1-2160
OG0001303	YEL055C	genemark-flattened_line_44-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.3&CDS=1-2973
OG0001304	YEL056W	genemark-flattened_line_14-processed-gene-2.107-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.107&CDS=1-1254
OG0001305	YEL058W	genemark-flattened_line_44-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.44&CDS=1-1617
OG0001306	YEL060C	genemark-flattened_line_20-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.54&CDS=1-1617
OG0001307	YEL062W	genemark-flattened_line_20-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.86&CDS=1-1704
OG0001308	YEL064C	genemark-flattened_line_34-processed-gene-0.231-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.231&CDS=1-1398
OG0001309	YER002W	genemark-flattened_line_2-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.62&CDS=1-630
OG0001310	YER003C	genemark-flattened_line_2-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.93&CDS=1-1284
OG0001311	YER004W	genemark-flattened_line_6-processed-gene-3.142-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.142&CDS=1-666
OG0001312	YER005W	genemark-flattened_line_32-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.127&CDS=1-1917
OG0001313	YER006W	genemark-flattened_line_32-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.128&CDS=1-1530
OG0001314	YER007C-A	genemark-flattened_line_32-processed-gene-0.178-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.178&CDS=1-543
OG0001315	YER007W	genemark-flattened_line_32-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.129&CDS=1-1428
OG0001316	YER008C	genemark-flattened_line_32-processed-gene-0.180-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.180&CDS=1-4080
OG0001317	YER009W	genemark-flattened_line_2-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.64&CDS=1-375
OG0001318	YER010C	genemark-flattened_line_32-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.136&CDS=1-702
OG0001319	YER012W	genemark-flattened_line_24-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.98&CDS=1-582
OG0001320	YER014W	genemark-flattened_line_10-processed-gene-5.173-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.173&CDS=1-1527
OG0001321	YER016W	genemark-flattened_line_16-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.117&CDS=1-777
OG0001322	YER019W	genemark-flattened_line_48-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.53&CDS=1-1257
OG0001323	YER020W	genemark-flattened_line_12-processed-gene-4.130-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.130&CDS=1-1257
OG0001324	YER022W	genemark-flattened_line_20-processed-gene-3.198-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.198&CDS=1-1641
OG0001325	YER023W	genemark-flattened_line_20-processed-gene-2.10-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.10&CDS=1-840
OG0001326	YER025W	genemark-flattened_line_14-processed-gene-4.95-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.95&CDS=1-1572
OG0001327	YER026C	snap_masked-flattened_line_2-processed-gene-8.324-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.324&CDS=1-849
OG0001328	YER027C	genemark-flattened_line_0-processed-gene-9.129-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.129&CDS=1-1233
OG0001329	YER029C	genemark-flattened_line_4-processed-gene-3.125-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.125&CDS=1-474
OG0001330	YER030W	genemark-flattened_line_4-processed-gene-3.142-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.142&CDS=1-507
OG0001331	YER036C	genemark-flattened_line_4-processed-gene-4.71-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.71&CDS=1-1773
OG0001332	YER041W	genemark-flattened_line_20-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.52&CDS=1-2622
OG0001333	YER042W	genemark-flattened_line_4-processed-gene-4.69-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.69&CDS=1-540
OG0001334	YER043C	genemark-flattened_line_0-processed-gene-10.20-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.20&CDS=1-1350
OG0001335	YER044C	genemark-flattened_line_0-processed-gene-11.94-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.94&CDS=1-426
OG0001336	YER046W	genemark-flattened_line_48-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.33&CDS=1-513
OG0001337	YER048C	genemark-flattened_line_38-processed-gene-0.212-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.212&CDS=1-1182
OG0001338	YER049W	maker-flattened_line_38-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.0&CDS=1-2082
OG0001339	YER050C	genemark-flattened_line_0-processed-gene-5.9-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.9&CDS=1-465
OG0001340	YER051W	genemark-flattened_line_0-processed-gene-5.5-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.5&CDS=1-1455
OG0001341	YER052C	genemark-flattened_line_32-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.175&CDS=1-1563
OG0001342	YER053C	genemark-flattened_line_0-processed-gene-5.12-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.12&CDS=1-1050
OG0001343	YER055C	genemark-flattened_line_14-processed-gene-1.148-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.148&CDS=1-891
OG0001344	YER056C-A	genemark-flattened_line_14-processed-gene-1.171-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.171&CDS=1-372
OG0001345	YER061C	genemark-flattened_line_14-processed-gene-1.169-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.169&CDS=1-1284
OG0001346	YER063W	genemark-flattened_line_0-processed-gene-4.42-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.42&CDS=1-609
OG0001347	YER068W	genemark-flattened_line_0-processed-gene-7.129-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.129&CDS=1-1758
OG0001348	YER069W	genemark-flattened_line_0-processed-gene-7.159-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.159&CDS=1-2700
OG0001349	YER072W	genemark-flattened_line_8-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.82&CDS=1-369
OG0001350	YER074W-A	genemark-flattened_line_8-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.86&CDS=1-243
OG0001351	YER077C	genemark-flattened_line_0-processed-gene-5.57-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.57&CDS=1-1743
OG0001352	YER078C	snap_masked-flattened_line_0-processed-gene-5.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.114&CDS=1-1503
OG0001353	YER079W	genemark-flattened_line_0-processed-gene-5.35-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.35&CDS=1-513
OG0001354	YER080W	augustus_masked-flattened_line_0-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.146&CDS=1-1857
OG0001355	YER082C	genemark-flattened_line_12-processed-gene-4.153-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.153&CDS=1-1584
OG0001356	YER083C	genemark-flattened_line_2-processed-gene-1.153-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.153&CDS=1-828
OG0001357	YER086W	genemark-flattened_line_30-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.138&CDS=1-1668
OG0001358	YER087W	genemark-flattened_line_18-processed-gene-2.62-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.62&CDS=1-1716
OG0001359	YER090W	genemark-flattened_line_16-processed-gene-1.129-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.129&CDS=1-1551
OG0001360	YER091C	snap_masked-flattened_line_2-processed-gene-4.94-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.94&CDS=1-2307
OG0001361	YER093C	genemark-flattened_line_2-processed-gene-4.165-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.165&CDS=1-3204
OG0001362	YER093C-A	maker-flattened_line_2-snap-gene-4.64-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.64&CDS=1-477
OG0001363	YER094C	genemark-flattened_line_2-processed-gene-4.146-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.146&CDS=1-615
OG0001364	YER095W	genemark-flattened_line_2-processed-gene-4.163-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.163&CDS=1-1038
OG0001365	YER099C	genemark-flattened_line_0-processed-gene-6.74-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.74&CDS=1-963
OG0001366	YER100W	maker-flattened_line_0-snap-gene-6.52-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.52&CDS=1-1575
OG0001367	YER112W	genemark-flattened_line_28-processed-gene-0.174-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.174&CDS=1-414
OG0001368	YER113C	snap_masked-flattened_line_28-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.20&CDS=1-1890
OG0001369	YER114C	genemark-flattened_line_8-processed-gene-2.37-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.37&CDS=1-2727
OG0001370	YER118C	genemark-flattened_line_28-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.118&CDS=1-900
OG0001371	YER120W	genemark-flattened_line_28-processed-gene-0.169-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.169&CDS=1-666
OG0001372	YER122C	genemark-flattened_line_50-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.63&CDS=1-1311
OG0001373	YER125W	genemark-flattened_line_4-processed-gene-6.144-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.144&CDS=1-2313
OG0001374	YER126C	augustus_masked-flattened_line_0-processed-gene-3.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.146&CDS=1-783
OG0001375	YER127W	genemark-flattened_line_0-processed-gene-3.111-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.111&CDS=1-1020
OG0001376	YER134C	genemark-flattened_line_68-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.45&CDS=1-501
OG0001377	YER139C	genemark-flattened_line_2-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.55&CDS=1-717
OG0001378	YER141W	augustus_masked-flattened_line_2-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.28&CDS=1-2829
OG0001379	YER142C	genemark-flattened_line_68-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.50&CDS=1-978
OG0001380	YER143W	genemark-flattened_line_68-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.40&CDS=1-1293
OG0001381	YER145C	maker-flattened_line_14-snap-gene-1.73-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.73&CDS=1-2295
OG0001382	YER146W	genemark-flattened_line_68-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.39&CDS=1-303
OG0001383	YER148W	genemark-flattened_line_2-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.61&CDS=1-705
OG0001384	YER150W	genemark-flattened_line_12-processed-gene-2.132-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.132&CDS=1-642
OG0001385	YER151C	snap_masked-flattened_line_2-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.143&CDS=1-2199
OG0001386	YER152C	genemark-flattened_line_12-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.134&CDS=1-1263
OG0001387	YER154W	genemark-flattened_line_12-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.109&CDS=1-1134
OG0001388	YER155C	snap_masked-flattened_line_12-processed-gene-3.48-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.48&CDS=1-5418
OG0001389	YER156C	snap_masked-flattened_line_12-processed-gene-3.49-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.49&CDS=1-996
OG0001390	YER162C	genemark-flattened_line_0-processed-gene-6.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.100&CDS=1-3009
OG0001391	YER163C	genemark-flattened_line_0-processed-gene-7.122-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.122&CDS=1-708
OG0001392	YER164W	genemark-flattened_line_6-processed-gene-1.35-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.35&CDS=1-4422
OG0001393	YER165W	genemark-flattened_line_0-processed-gene-7.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.120&CDS=1-1929
OG0001394	YER168C	genemark-flattened_line_38-processed-gene-0.219-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.219&CDS=1-1515
OG0001395	YER169W	genemark-flattened_line_38-processed-gene-0.209-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.209&CDS=1-2373
OG0001396	YER171W	genemark-flattened_line_38-processed-gene-0.220-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.220&CDS=1-2331
OG0001397	YER173W	genemark-flattened_line_38-processed-gene-0.168-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.168&CDS=1-1806
OG0001398	YER176W	genemark-flattened_line_16-processed-gene-3.220-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.220&CDS=1-3300
OG0001399	YER177W	genemark-flattened_line_16-processed-gene-3.222-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.222&CDS=1-780
OG0001400	YER178W	genemark-flattened_line_16-processed-gene-3.263-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.263&CDS=1-1227
OG0001401	YER179W	maker-flattened_line_12-snap-gene-3.103-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-3.103&CDS=1-981
OG0001402	YER180C-A	snap_masked-flattened_line_50-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.6&CDS=1-204
OG0001403	YER182W	augustus_masked-flattened_line_6-processed-gene-5.306-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-5.306&CDS=1-561
OG0001404	YER183C	genemark-flattened_line_6-processed-gene-5.48-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.48&CDS=1-636
OG0001405	YFL001W	genemark-flattened_line_30-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.128&CDS=1-1185
OG0001406	YFL002C	augustus_masked-flattened_line_30-processed-gene-0.312-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.312&CDS=1-1767
OG0001407	YFL004W	genemark-flattened_line_16-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.161&CDS=1-2334
OG0001408	YFL005W	genemark-flattened_line_36-processed-gene-0.292-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.292&CDS=1-609
OG0001409	YFL007W	snap_masked-flattened_line_4-processed-gene-4.42-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.42&CDS=1-6333
OG0001410	YFL008W	genemark-flattened_line_16-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.96&CDS=1-3591
OG0001411	YFL010C	genemark-flattened_line_36-processed-gene-0.252-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.252&CDS=1-564
OG0001412	YFL013C	genemark-flattened_line_16-processed-gene-0.162-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.162&CDS=1-1443
OG0001413	YFL014W	genemark-flattened_line_2-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.50&CDS=1-375
OG0001414	YFL016C	genemark-flattened_line_14-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.53&CDS=1-1488
OG0001415	YFL017W-A	genemark-flattened_line_16-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.134&CDS=1-210
OG0001416	YFL018C	genemark-flattened_line_4-processed-gene-6.211-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.211&CDS=1-1482
OG0001417	YFL022C	genemark-flattened_line_2-processed-gene-4.123-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.123&CDS=1-1488
OG0001418	YFL023W	augustus_masked-flattened_line_71-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_71-processed-gene-0.34&CDS=1-2244
OG0001419	YFL024C	genemark-flattened_line_20-processed-gene-3.217-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.217&CDS=1-2058
OG0001420	YFL025C	genemark-flattened_line_4-processed-gene-6.152-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.152&CDS=1-3018
OG0001421	YFL026W	genemark-flattened_line_4-processed-gene-6.195-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.195&CDS=1-1155
OG0001422	YFL027C	genemark-flattened_line_60-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.17&CDS=1-1209
OG0001423	YFL028C	genemark-flattened_line_60-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.18&CDS=1-948
OG0001424	YFL029C	genemark-flattened_line_60-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.31&CDS=1-987
OG0001425	YFL030W	genemark-flattened_line_0-processed-gene-3.64-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.64&CDS=1-1143
OG0001426	YFL033C	genemark-flattened_line_2-processed-gene-4.128-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.128&CDS=1-4431
OG0001427	YFL034C-B	genemark-flattened_line_6-processed-gene-5.81-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.81&CDS=1-789
OG0001428	YFL034W	genemark-flattened_line_36-processed-gene-0.293-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.293&CDS=1-2847
OG0001429	YFL036W	genemark-flattened_line_6-processed-gene-5.26-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.26&CDS=1-3840
OG0001430	YFL037W	maker-flattened_line_4-augustus-gene-3.3-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.3&CDS=1-1335
OG0001431	YFL038C	genemark-flattened_line_4-processed-gene-3.158-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.158&CDS=1-615
OG0001432	YFL044C	genemark-flattened_line_2-processed-gene-7.114-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.114&CDS=1-936
OG0001433	YFL045C	genemark-flattened_line_2-processed-gene-7.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.116&CDS=1-750
OG0001434	YFL046W	genemark-flattened_line_2-processed-gene-7.136-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.136&CDS=1-582
OG0001435	YFL049W	genemark-flattened_line_2-processed-gene-6.39-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.39&CDS=1-1584
