	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0000960	XP_001548951.1	YNL088W
OG0000961	XP_001548970.1	YGL155W
OG0000962	XP_001548973.1	YHR116W
OG0000963	XP_001548980.1	YOR145C
OG0000964	XP_001548981.2	YHR194W
OG0000965	XP_001548988.2	YOR241W
OG0000966	XP_001548996.1	YPR167C
OG0000967	XP_001548999.1	YGR208W
OG0000968	XP_001549005.2	YIL124W
OG0000969	XP_001549011.1	YJR010W
OG0000970	XP_001549012.1	YER048W-A
OG0000971	XP_001549029.1	YDR311W
OG0000972	XP_001549031.2	YIL125W
OG0000973	XP_001549033.1	YKL150W
OG0000974	XP_001549037.1	YDL140C
OG0000975	XP_001549045.1	YKL099C
OG0000976	XP_001549059.1	YJR084W
OG0000977	XP_001549061.1	YPL147W
OG0000978	XP_001549065.1	YER019C-A
OG0000979	XP_001549074.1	YOL108C
OG0000980	XP_001549090.2	YKL134C
OG0000981	XP_001549097.1	YPR103W
OG0000982	XP_001549104.2	YPL010W
OG0000983	XP_001549107.1	YDR465C
OG0000984	XP_001549109.1	YGL253W
OG0000985	XP_001549110.1	YJL002C
OG0000986	XP_001549119.1	YDR013W
OG0000987	XP_001549133.2	YLR321C
OG0000988	XP_001549137.2	YOL057W
OG0000989	XP_001549138.1	YLR056W
OG0000990	XP_001549139.1	YCR084C
OG0000991	XP_001549144.1	YPL043W
OG0000992	XP_001549190.1	YMR203W
OG0000993	XP_001549197.1	YPL169C
OG0000994	XP_001549229.1	YDR334W
OG0000995	XP_001549236.1	YGR074W
OG0000996	XP_001549237.1	YDR140W
OG0000997	XP_001549238.1	YDR511W
OG0000998	XP_001549241.1	YOR157C
OG0000999	XP_001549242.1	YIL115C
OG0001000	XP_001549250.2	YLR340W
OG0001001	XP_001549251.1	YHR120W
OG0001002	XP_001549278.2	YBL055C
OG0001003	XP_001549287.1	YGR062C
OG0001004	XP_001549288.1	YER070W
OG0001005	XP_001549300.2	YCL047C
OG0001006	XP_001549316.1	YHL036W
OG0001007	XP_001549321.1	YER091C
OG0001008	XP_001549323.1	YDL144C
OG0001009	XP_001549330.1	YJR097W
OG0001010	XP_001549338.2	YDR221W
OG0001011	XP_001549387.2	YNL054W
OG0001012	XP_001549406.1	YML079W
OG0001013	XP_001549420.1	YJR154W
OG0001014	XP_001549431.1	YBL050W
OG0001015	XP_001549468.1	YDR477W
OG0001016	XP_001549470.1	YPR035W
OG0001017	XP_001549473.1	YML012W
OG0001018	XP_001549545.1	YBR227C
OG0001019	XP_001549613.1	YAL009W
OG0001020	XP_001549614.1	YGR110W
OG0001021	XP_001549629.1	YJR045C
OG0001022	XP_001549630.1	YDR429C
OG0001023	XP_001549643.1	YDL087C
OG0001024	XP_001549657.1	YJL143W
OG0001025	XP_001549685.1	YKR062W
OG0001026	XP_001549722.2	YGR203W
OG0001027	XP_001549728.1	YBR159W
OG0001028	XP_001549729.1	YER044C
OG0001029	XP_001549741.1	YCL005W-A
OG0001030	XP_001549743.1	YJL071W
OG0001031	XP_001549782.1	YAL046C
OG0001032	XP_001549800.1	YLR423C
OG0001033	XP_001549813.2	YIL046W
OG0001034	XP_001549845.1	YOL133W
OG0001035	XP_001549849.1	YOL127W
OG0001036	XP_001549850.1	YBR141C
OG0001037	XP_001549852.1	YJR001W
OG0001038	XP_001549874.1	YDL205C
OG0001039	XP_001549875.1	YAL044C
OG0001040	XP_001549877.1	YML064C
OG0001041	XP_001549886.1	YHR169W
OG0001042	XP_001549891.1	YOR243C
OG0001043	XP_001549894.1	YOR369C
OG0001044	XP_001549916.2	YLR085C
OG0001045	XP_001549917.2	YLR287C
OG0001046	XP_001549924.1	YAL039C
OG0001047	XP_001549941.1	YNR015W
OG0001048	XP_001549961.1	YHR007C
OG0001049	XP_001549962.1	YLR023C
OG0001050	XP_001549974.1	YOR361C
OG0001051	XP_001549976.1	YHR079C
OG0001052	XP_001550002.1	YAL034W-A
OG0001053	XP_001550007.1	YMR059W
OG0001054	XP_001550008.1	YBL049W
OG0001055	XP_001550012.2	YMR012W
OG0001056	XP_001550018.1	YPR128C
OG0001057	XP_001550019.1	YFR032C-A
OG0001058	XP_001550020.1	YOR359W
OG0001059	XP_001550035.1	YDR495C
OG0001060	XP_001550036.1	YKL179C
OG0001061	XP_001550040.1	YIL126W
OG0001062	XP_001550058.2	YKR083C
OG0001063	XP_001550076.1	YGR147C
OG0001064	XP_001550077.1	YJR153W
OG0001065	XP_001550080.1	YLR319C
OG0001066	XP_001550098.2	YMR290C
OG0001067	XP_001550114.2	YLR147C
OG0001068	XP_001550141.1	YMR281W
OG0001069	XP_001550157.1	YJL003W
OG0001070	XP_001550183.1	YPR021C
OG0001071	XP_001550184.1	YDL155W
OG0001072	XP_001550193.2	YPL012W
OG0001073	XP_001550199.1	YIL068C
OG0001074	XP_001550209.1	YDR398W
OG0001075	XP_001550233.1	YDL182W
OG0001076	XP_001550237.1	YLL027W
OG0001077	XP_001550247.1	YOL154W
OG0001078	XP_001550258.2	YBR046C
OG0001079	XP_001550259.1	YBR019C
OG0001080	XP_001550271.1	YDL063C
OG0001081	XP_001550275.1	YNL312W
OG0001082	XP_001550290.1	YJL049W
OG0001083	XP_001550296.2	YDR108W
OG0001084	XP_001550314.1	YDR164C
OG0001085	XP_001550317.1	YNL181W
OG0001086	XP_001550324.1	YLR126C
OG0001087	XP_001550336.1	YML022W
OG0001088	XP_001550341.1	YDL103C
OG0001089	XP_001550352.1	YMR276W
OG0001090	XP_001550360.1	YFR048W
OG0001091	XP_001550368.1	YCR042C
OG0001092	XP_001550377.1	YBR135W
OG0001093	XP_001550379.1	YML130C
OG0001094	XP_001550380.2	YHR204W
OG0001095	XP_001550389.1	YPL119C
OG0001096	XP_001550391.1	YPR137W
OG0001097	XP_001550403.1	YER006W
OG0001098	XP_001550407.1	YBR056W
OG0001099	XP_001550410.1	YBR105C
OG0001100	XP_001550415.1	YDR087C
OG0001101	XP_001550422.1	YAR018C
OG0001102	XP_001550423.1	YIL001W
OG0001103	XP_001550430.2	YDR128W
OG0001104	XP_001550431.1	YDR092W
OG0001105	XP_001550443.1	YDR229W
OG0001106	XP_001550456.1	YPR002W
OG0001107	XP_001550466.1	YBR248C
OG0001108	XP_001550496.1	YOL030W
OG0001109	XP_001550504.1	YER061C
OG0001110	XP_001550536.1	YDL052C
OG0001111	XP_001550543.1	YBL003C
OG0001112	XP_001550547.1	YNL223W
OG0001113	XP_001550562.1	YHR089C
OG0001114	XP_001550563.1	YIL078W
OG0001115	XP_001550569.1	YDL146W
OG0001116	XP_001550591.1	YOL022C
OG0001117	XP_001550603.1	YFL018C
OG0001118	XP_001550640.1	YHR122W
OG0001119	XP_001550643.1	YPL028W
OG0001120	XP_001550645.1	YPR200C
OG0001121	XP_001550646.1	YFL017W-A
OG0001122	XP_001550713.1	YJL207C
OG0001123	XP_001550715.1	YDR079W
OG0001124	XP_001550717.1	YDR482C
OG0001125	XP_001550737.1	YKL170W
OG0001126	XP_001550743.1	YPL210C
OG0001127	XP_001550747.2	YHR132C
OG0001128	XP_001550759.2	YFR006W
OG0001129	XP_001550764.1	YKL028W
OG0001130	XP_001550765.1	YPL212C
OG0001131	XP_001550776.1	YGR080W
OG0001132	XP_001550836.1	YOR115C
OG0001133	XP_001550857.2	YFR044C
OG0001134	XP_001550869.2	YOR116C
OG0001135	XP_001550885.1	YER107C
OG0001136	XP_001550886.2	YGL203C
OG0001137	XP_001550890.2	YER156C
OG0001138	XP_001550894.1	YKR071C
OG0001139	XP_001550905.1	YBR222C
OG0001140	XP_001550911.2	YDR529C
OG0001141	XP_001550923.1	YPR011C
OG0001142	XP_001550932.2	YOR022C
OG0001143	XP_001550943.1	YDL148C
OG0001144	XP_001550949.1	YCL029C
OG0001145	XP_001550991.1	YMR221C
OG0001146	XP_001550994.1	YGL194C
OG0001147	XP_001551003.1	YMR287C
OG0001148	XP_001551015.2	YGL163C
OG0001149	XP_001551029.2	YOR001W
OG0001150	XP_001551077.2	YNL262W
OG0001151	XP_001551106.2	YLR188W
OG0001152	XP_001551107.1	YDR168W
OG0001153	XP_001551158.1	YKL175W
OG0001154	XP_001551161.1	YJL208C
OG0001155	XP_001551173.1	YPL214C
OG0001156	XP_001551174.1	YPR041W
OG0001157	XP_001551181.2	YBR035C
OG0001158	XP_001551188.1	YMR026C
OG0001159	XP_001551203.1	YIL023C
OG0001160	XP_001551261.1	YOR101W
OG0001161	XP_001551281.1	YOR340C
OG0001162	XP_001551292.1	YOR063W
OG0001163	XP_001551302.1	YDR079C-A
OG0001164	XP_001551303.2	YBL038W
OG0001165	XP_001551311.1	YDL067C
OG0001166	XP_001551313.1	YNL218W
OG0001167	XP_001551314.1	YMR116C
OG0001168	XP_001551325.2	YOR046C
OG0001169	XP_001551326.1	YHR114W
OG0001170	XP_001551360.1	YPR168W
OG0001171	XP_001551361.1	YIL064W
OG0001172	XP_001551363.1	YLR060W
OG0001173	XP_001551364.1	YJR110W
OG0001174	XP_001551365.1	YNL178W
OG0001175	XP_001551369.1	YFR051C
OG0001176	XP_001551374.1	YPR098C
OG0001177	XP_001551384.1	YMR318C
OG0001178	XP_001551426.1	YLR008C
OG0001179	XP_001551449.1	YDR083W
OG0001180	XP_001551451.1	YDR071C
OG0001181	XP_001551460.1	YLR087C
OG0001182	XP_001551477.1	YPL094C
OG0001183	XP_001551507.1	YEL055C
OG0001184	XP_001551508.1	YAL035W
OG0001185	XP_001551510.1	YFL027C
OG0001186	XP_001551514.1	YGL161C
OG0001187	XP_001551516.1	YMR015C
OG0001188	XP_001551530.2	YGL127C
OG0001189	XP_001551539.1	YOL152W
OG0001190	XP_001551540.1	YOR370C
OG0001191	XP_001551558.2	YLR109W
OG0001192	XP_001551596.1	YHR039C
OG0001193	XP_001551608.1	YKL016C
OG0001194	XP_001551633.2	YER050C
OG0001195	XP_001551634.1	YHR148W
OG0001196	XP_001551643.2	YHR144C
OG0001197	XP_001551694.1	YMR250W
OG0001198	XP_001551695.1	YDR292C
OG0001199	XP_001551699.1	YBL057C
OG0001200	XP_001551737.1	YIR031C
OG0001201	XP_001551776.2	YJL180C
OG0001202	XP_001551808.2	YNL045W
OG0001203	XP_001551813.1	YGL030W
OG0001204	XP_001551814.1	YLR075W
OG0001205	XP_001551822.1	YBR295W
OG0001206	XP_001551851.1	YJR016C
OG0001207	XP_001551856.1	YDR196C
OG0001208	XP_001551892.1	YLR175W
OG0001209	XP_001551894.2	YDR159W
OG0001210	XP_001551895.1	YKL143W
OG0001211	XP_001551896.1	YGL099W
OG0001212	XP_001551964.1	YOL033W
OG0001213	XP_001551966.1	YOR058C
OG0001214	XP_001551993.1	YNL305C
OG0001215	XP_001552033.1	YPR089W
OG0001216	XP_001552034.1	YIR029W
OG0001217	XP_001552045.1	YGR088W
OG0001218	XP_001552054.2	YDL045W-A
OG0001219	XP_001552059.1	YGL116W
OG0001220	XP_001552060.1	YOR194C
OG0001221	XP_001552063.2	YLL040C
OG0001222	XP_001552073.1	YIR006C
OG0001223	XP_001552076.1	YKL021C
OG0001224	XP_001552102.1	YPL211W
OG0001225	XP_001552103.1	YLR002C
OG0001226	XP_001552108.2	YLR106C
OG0001227	XP_001552110.1	YGL068W
OG0001228	XP_001552114.1	YNR021W
OG0001229	XP_001552123.1	YBR109C
OG0001230	XP_001552124.2	YOL018C
OG0001231	XP_001552127.1	YAL022C
OG0001232	XP_001552156.1	YLR290C
OG0001233	XP_001552157.1	YNL107W
OG0001234	XP_001552177.1	YLR259C
OG0001235	XP_001552180.1	YNL061W
OG0001236	XP_001552184.1	YOL077C
OG0001237	XP_001552186.1	YPL235W
OG0001238	XP_001552208.1	YNL185C
OG0001239	XP_001552212.1	YOR020C
OG0001240	XP_001552215.2	YKR054C
OG0001241	XP_001552216.1	YGR082W
OG0001242	XP_001552218.2	YDL134C
OG0001243	XP_001552220.1	YPL207W
OG0001244	XP_001552231.1	YPL146C
OG0001245	XP_001552234.2	YJR137C
OG0001246	XP_001552249.1	YDR173C
OG0001247	XP_001552250.1	YOR250C
OG0001248	XP_001552252.1	YKR025W
OG0001249	XP_001552263.1	YGL091C
OG0001250	XP_001552297.1	YDL105W
OG0001251	XP_001552306.1	YHR202W
OG0001252	XP_001552309.1	YBR026C
OG0001253	XP_001552312.2	YGR165W
OG0001254	XP_001552316.1	YBR221C
OG0001255	XP_001552341.1	YLR377C
OG0001256	XP_001552345.1	YDR487C
OG0001257	XP_001552401.1	YDL119C
OG0001258	XP_001552408.1	YDL201W
OG0001259	XP_001552410.1	YJR139C
OG0001260	XP_001552412.1	YHR154W
OG0001261	XP_001552416.2	YPL103C
OG0001262	XP_001552419.1	YIL144W
OG0001263	XP_001552422.2	YML126C
OG0001264	XP_001552435.1	YML095C
OG0001265	XP_001552447.1	YKL001C
OG0001266	XP_001552450.1	YDR060W
OG0001267	XP_001552505.1	YGR282C
OG0001268	XP_001552515.2	YGR083C
OG0001269	XP_001552517.1	YNL231C
OG0001270	XP_001552518.1	YDR472W
OG0001271	XP_001552533.2	YKR063C
OG0001272	XP_001552539.1	YLL036C
OG0001273	XP_001552542.2	YMR131C
OG0001274	XP_001552546.1	YNL284C
OG0001275	XP_001552552.1	YOR360C
OG0001276	XP_001552589.1	YOR298C-A
OG0001277	XP_001552593.1	YDL100C
OG0001278	XP_001552615.2	YER151C
OG0001279	XP_001552616.1	YGL012W
OG0001280	XP_001552617.1	YGL207W
OG0001281	XP_001552658.1	YMR214W
OG0001282	XP_001552681.1	YPR006C
OG0001283	XP_001552687.1	YDR403W
OG0001284	XP_001552696.1	YML131W
OG0001285	XP_001552712.1	YIR027C
OG0001286	XP_001552716.1	YNL051W
OG0001287	XP_001552739.2	YBR003W
OG0001288	XP_001552779.1	YOR336W
OG0001289	XP_001552780.1	YDL145C
OG0001290	XP_001552790.2	YOR278W
OG0001291	XP_001552791.1	YPL196W
OG0001292	XP_001552793.1	YDL017W
OG0001293	XP_001552794.1	YGL103W
OG0001294	XP_001552817.1	YMR114C
OG0001295	XP_001552826.1	YOR052C
OG0001296	XP_001552828.2	YNL242W
OG0001297	XP_001552832.2	YDR479C
OG0001298	XP_001552905.1	YNL124W
OG0001299	XP_001552993.1	YKL009W
OG0001300	XP_001553002.1	YPL129W
OG0001301	XP_001553003.1	YDR002W
OG0001302	XP_001553013.2	YJL035C
OG0001303	XP_001553015.2	YMR048W
OG0001304	XP_001553016.1	YLR398C
OG0001305	XP_001553047.1	YIR012W
OG0001306	XP_001553081.2	YNL292W
OG0001307	XP_001553096.1	YLR063W
OG0001308	XP_001553115.1	YGL205W
OG0001309	XP_001553180.1	YML067C
OG0001310	XP_001553211.1	YBR153W
OG0001311	XP_001553218.1	YBR287W
OG0001312	XP_001553232.1	YDL091C
OG0001313	XP_001553260.1	YKL100C
OG0001314	XP_001553289.1	YLR347C
OG0001315	XP_001553290.1	YNL104C
OG0001316	XP_001553295.1	YFR011C
OG0001317	XP_001553326.1	YAL025C
OG0001318	XP_001553328.1	YNL102W
OG0001319	XP_001553343.1	YJL055W
OG0001320	XP_001553344.2	YMR314W
OG0001321	XP_001553346.1	YNR033W
OG0001322	XP_001553355.1	YFL028C
OG0001323	XP_001553356.1	YGR200C
OG0001324	XP_001553357.1	YIL008W
OG0001325	XP_001553365.1	YHR187W
OG0001326	XP_001553366.1	YPR055W
OG0001327	XP_001553370.1	YBR101C
OG0001328	XP_001553373.1	YOL129W
OG0001329	XP_001553374.1	YLL031C
OG0001330	XP_001553377.1	YGL027C
OG0001331	XP_001553481.1	YDR049W
OG0001332	XP_001553496.1	YML008C
OG0001333	XP_001553497.1	YBR065C
OG0001334	XP_001553500.1	YGR285C
OG0001335	XP_001553503.1	YGR119C
OG0001336	XP_001553504.1	YIR042C
OG0001337	XP_001553507.2	YMR189W
OG0001338	XP_001553547.1	YOR362C
OG0001339	XP_001553553.1	YJL001W
OG0001340	XP_001553569.2	YHL030W
OG0001341	XP_001553600.1	YBL041W
OG0001342	XP_001553607.1	YKL024C
OG0001343	XP_001553647.1	YOR008C
OG0001344	XP_001553653.2	YMR301C
OG0001345	XP_001553658.1	YDR188W
OG0001346	XP_001553683.1	YBR286W
OG0001347	XP_001553716.1	YGL190C
OG0001348	XP_001553717.1	YHR072W-A
OG0001349	XP_001553718.1	YOR056C
OG0001350	XP_001553724.1	YGR276C
OG0001351	XP_001553728.1	YOR165W
OG0001352	XP_001553735.1	YJL096W
OG0001353	XP_001553738.1	YPL078C
OG0001354	XP_001553739.2	YPR144C
OG0001355	XP_001553748.1	YGR005C
OG0001356	XP_001553749.1	YHR076W
OG0001357	XP_001553759.1	YDR245W
OG0001358	XP_001553762.1	YDL028C
OG0001359	XP_001553770.1	YBL058W
OG0001360	XP_001553771.1	YOL026C
OG0001361	XP_001553777.1	YDL030W
OG0001362	XP_001553784.1	YGL112C
OG0001363	XP_001553785.1	YJR057W
OG0001364	XP_001553786.1	YGR267C
OG0001365	XP_001553811.1	YAL043C
OG0001366	XP_001553814.1	YOL041C
OG0001367	XP_001553815.1	YIL110W
OG0001368	XP_001553822.1	YOL040C
OG0001369	XP_001553828.1	YAL012W
OG0001370	XP_001553831.1	YKL144C
OG0001371	XP_001553833.2	YOL031C
OG0001372	XP_001553835.2	YMR137C
OG0001373	XP_001553849.1	YKL085W
OG0001374	XP_001553859.1	YHR201C
OG0001375	XP_001553867.2	YDR416W
OG0001376	XP_001553879.2	YPR060C
OG0001377	XP_001553899.1	YJL130C
OG0001378	XP_001553918.1	YBL105C
OG0001379	XP_001553920.1	YDR212W
OG0001380	XP_001553921.1	YEL024W
OG0001381	XP_001553931.1	YMR220W
OG0001382	XP_001553932.1	YGL105W
OG0001383	XP_001553941.2	YNL294C
OG0001384	XP_001553945.1	YCL032W
OG0001385	XP_001553950.1	YDL126C
OG0001386	XP_001553952.1	YMR145C
OG0001387	XP_001553964.2	YLR371W
OG0001388	XP_001553965.1	YJL097W
OG0001389	XP_001553998.2	YJR075W
OG0001390	XP_001554026.2	YMR229C
OG0001391	XP_001554031.1	YML001W
OG0001392	XP_001554063.1	YAL032C
OG0001393	XP_001554067.2	YJL145W
OG0001394	XP_001554074.2	YER014W
OG0001395	XP_001554093.1	YGR255C
OG0001396	XP_001554094.1	YOL006C
OG0001397	XP_001554096.1	YBR039W
OG0001398	XP_001554098.1	YER074W-A
OG0001399	XP_001554109.1	YLR396C
OG0001400	XP_001554114.1	YPL162C
OG0001401	XP_001554124.1	YMR319C
OG0001402	XP_001554145.1	YER183C
OG0001403	XP_001554146.2	YMR200W
OG0001404	XP_001554147.1, XP_024549848.1	
OG0001405	XP_001554148.1	YOR136W
OG0001406	XP_001554149.1	YDR166C
OG0001407	XP_001554171.1	YBR122C
OG0001408	XP_001554185.1	YMR171C
OG0001409	XP_001554192.2	YNL308C
OG0001410	XP_001554197.1	YGL248W
OG0001411	XP_001554198.1	YOR093C
OG0001412	XP_001554222.1	YPL051W
OG0001413	XP_001554227.1	YOL049W
OG0001414	XP_001554229.1	YCR028C-A
OG0001415	XP_001554261.1	YPL154C
OG0001416	XP_001554263.1	YLR058C
OG0001417	XP_001554266.1	YMR265C
OG0001418	XP_001554270.1	YDR211W
OG0001419	XP_001554275.1	YOL093W
OG0001420	XP_001554294.1	YEL063C
OG0001421	XP_001554333.1	YOR006C
OG0001422	XP_001554337.1	YJL010C
OG0001423	XP_001554347.1	YOR289W
OG0001424	XP_001554379.1	YDR129C
OG0001425	XP_001554380.1	YKL215C
OG0001426	XP_001554424.1	YLR303W
OG0001427	XP_001554426.1	YGL008C
OG0001428	XP_001554452.1	YIL010W
OG0001429	XP_001554457.1	YGL195W
OG0001430	XP_001554467.1	YER125W
OG0001431	XP_001554477.2	YOR023C
OG0001432	XP_001554492.1	YDR190C
OG0001433	XP_001554494.2	YNL213C
OG0001434	XP_001554499.1	YIL021W
OG0001435	XP_001554506.1	YPR047W
OG0001436	XP_001554518.1	YDR298C
OG0001437	XP_001554520.2	YDR137W
OG0001438	XP_001554527.2	YOR232W
OG0001439	XP_001554529.1	YDR030C
OG0001440	XP_001554558.2	YOL097C
OG0001441	XP_001554559.2	YLR193C
OG0001442	XP_001554573.1	YMR315W
OG0001443	XP_001554580.1	YER082C
OG0001444	XP_001554581.1	YDL060W
OG0001445	XP_001554582.2	YPL266W
OG0001446	XP_001554594.1	YOR327C
OG0001447	XP_001554597.1	YKL046C
OG0001448	XP_001554600.1	YGL187C
OG0001449	XP_001554614.1	YDR481C
OG0001450	XP_001554616.1	YLR032W
OG0001451	XP_001554617.2	YOR322C
OG0001452	XP_001554621.1	YCL045C
OG0001453	XP_001554654.1	YDR322W
OG0001454	XP_001554659.2	YDR036C
OG0001455	XP_001554661.1	YML070W
OG0001456	XP_001554662.1	YNL232W
OG0001457	XP_001554674.1	YKR035W-A
OG0001458	XP_001554679.1	YGL247W
OG0001459	XP_001554680.2	YMR216C
OG0001460	XP_001554686.2	YLR309C
OG0001461	XP_001554714.1	YER073W
OG0001462	XP_001554737.1	YBR062C
OG0001463	XP_001554738.2	YNL111C
OG0001464	XP_001554739.1	YKL007W
OG0001465	XP_001554746.1	YMR083W
OG0001466	XP_001554749.1	YOR035C
OG0001467	XP_001554750.1	YPR056W
OG0001468	XP_001554752.1	YJR065C
OG0001469	XP_001554754.1	YBR251W
OG0001470	XP_001554799.1	YOR091W
OG0001471	XP_001554817.1	YDL047W
OG0001472	XP_001554861.2	YER112W
OG0001473	XP_001554881.1	YGR093W
OG0001474	XP_001554892.1	YER019W
OG0001475	XP_001554912.1	YKL114C
OG0001476	XP_001554921.1	YGR184C
OG0001477	XP_001554991.1	YHR088W
OG0001478	XP_001555004.1	YDR054C
OG0001479	XP_001555007.1	YBR060C
OG0001480	XP_001555013.1	YLL048C
OG0001481	XP_001555020.1	YMR062C
OG0001482	XP_001555030.1	YNL316C
OG0001483	XP_001555041.1	YDL209C
OG0001484	XP_001555048.1	YJR105W
OG0001485	XP_001555053.1	YML077W
OG0001486	XP_001555069.1	YNL291C
OG0001487	XP_001555070.1	YPR028W
OG0001488	XP_001555073.1	YER052C
OG0001489	XP_001555083.1	YOR077W
OG0001490	XP_001555093.1	YDR037W
OG0001491	XP_001555171.1	YDR339C
OG0001492	XP_001555173.1	YDR412W
OG0001493	XP_001555181.1	YFL055W
OG0001494	XP_001555182.1	YOR272W
OG0001495	XP_001555194.1	YLR222C
OG0001496	XP_001555199.1	YMR288W
OG0001497	XP_001555200.1	YNR035C
OG0001498	XP_001555201.1	YLR129W
OG0001499	XP_001555223.2	YNR047W
OG0001500	XP_001555227.1	YNR037C
OG0001501	XP_001555228.1	YDR167W
OG0001502	XP_001555229.1	YGL120C
OG0001503	XP_001555237.1	YEL019C
OG0001504	XP_001555247.1	YOL147C
OG0001505	XP_001555249.2	YOR153W
OG0001506	XP_001555261.1	YDL054C
OG0001507	XP_001555272.1	YPL046C
OG0001508	XP_001555275.1	YKL117W
OG0001509	XP_001555276.2	YKL041W
OG0001510	XP_001555288.2	YDR390C
OG0001511	XP_001555292.1	YCR090C
OG0001512	XP_001555293.1	YPR182W
OG0001513	XP_001555311.2	YER110C
OG0001514	XP_001555369.1	YKL190W
OG0001515	XP_001555373.1	YKR038C
OG0001516	XP_001555375.1	YDL166C
OG0001517	XP_001555378.2	YOR326W
OG0001518	XP_001555380.1	YKR048C
OG0001519	XP_001555385.1	YPR161C
OG0001520	XP_001555389.1	YLR441C
OG0001521	XP_001555390.1	YER081W
OG0001522	XP_001555393.1	YKL160W
OG0001523	XP_001555417.1	YLL039C
OG0001524	XP_001555446.1	YPL088W
OG0001525	XP_001555450.1	YGL211W
OG0001526	XP_001555452.2	YER010C
OG0001527	XP_001555479.2	YEL042W
OG0001528	XP_001555497.1	YMR038C
OG0001529	XP_001555498.1	YOR150W
OG0001530	XP_001555507.1	YMR309C
OG0001531	XP_001555535.1	YGL123W
OG0001532	XP_001555541.1	YDR324C
OG0001533	XP_001555546.1	YPL096W
OG0001534	XP_001555569.1	YPL040C
OG0001535	XP_001555575.1	YDR120C
OG0001536	XP_001555614.1	YGL054C
OG0001537	XP_001555615.1	YDR364C
OG0001538	XP_001555643.1	YKL212W
OG0001539	XP_001555699.1	YOL062C
OG0001540	XP_001555700.1	YOR142W
OG0001541	XP_001555701.1	YPL086C
OG0001542	XP_001555725.1	YPL031C
OG0001543	XP_001555732.1	YNL069C
OG0001544	XP_001555738.1	YJR090C
OG0001545	XP_001555743.2	YHR063C
OG0001546	XP_001555765.1	YPR131C
OG0001547	XP_001555776.1	YIL096C
OG0001548	XP_001555820.2	YJL125C
OG0001549	XP_001555821.2	YNL247W
OG0001550	XP_001555872.1	YMR022W
OG0001551	XP_001555896.1	YOR057W
OG0001552	XP_001555925.1	YML085C
OG0001553	XP_001555927.1	YNL290W
OG0001554	XP_001555946.1	YDR320C
OG0001555	XP_001555953.2	YPL239W
OG0001556	XP_001555974.1	YDL160C
OG0001557	XP_001555976.2	YIR008C
OG0001558	XP_001555980.2	YPR061C
OG0001559	XP_001556000.1	YLR073C
OG0001560	XP_001556008.1	YPL111W
OG0001561	XP_001556023.1	YER021W
OG0001562	XP_001556039.1	YHR011W
OG0001563	XP_001556045.1	YNR011C
OG0001564	XP_001556048.2	YOR239W
OG0001565	XP_001556090.1	YLL056C
OG0001566	XP_001556175.1	YOR132W
OG0001567	XP_001556200.1	YLR196W
OG0001568	XP_001556201.1	YKR086W
OG0001569	XP_001556212.1	YPL050C
OG0001570	XP_001556216.1	YGR095C
OG0001571	XP_001556217.1	YPL152W
OG0001572	XP_001556240.1	YPL015C
OG0001573	XP_001556266.1	YOR281C
OG0001574	XP_001556285.1	YOL060C
OG0001575	XP_001556291.1	YOL135C
OG0001576	XP_001556307.1	YFR030W
OG0001577	XP_001556310.1	YER004W
OG0001578	XP_001556312.1	YHR040W
OG0001579	XP_001556330.1	YEL040W
OG0001580	XP_001556348.2	YML005W
OG0001581	XP_001556350.1	YLR250W
OG0001582	XP_001556362.2	YDR017C
OG0001583	XP_001556367.2	YLR359W
OG0001584	XP_001556382.2	YHL007C
OG0001585	XP_001556392.2	YIL044C
OG0001586	XP_001556393.2	YCL033C
OG0001587	XP_001556405.1	YML127W
OG0001588	XP_001556414.2	YPR169W
OG0001589	XP_001556425.1	YJR102C
OG0001590	XP_001556451.2	YNL288W
OG0001591	XP_001556452.1	YDL206W
OG0001592	XP_001556462.1	YBR202W
OG0001593	XP_001556463.1	YKL197C
OG0001594	XP_001556472.1	YKR065C
OG0001595	XP_001556484.1	YGL129C
OG0001596	XP_001556485.1	YOR294W
OG0001597	XP_001556506.1	YOR065W
OG0001598	XP_001556507.1	YDR035W
OG0001599	XP_001556509.1	YPR184W
OG0001600	XP_001556539.1	YGR277C
OG0001601	XP_001556540.1	YPL247C
OG0001602	XP_001556552.1	YJL092W
OG0001603	XP_001556621.1	YDR496C
OG0001604	XP_001556623.1	YDR161W
OG0001605	XP_001556626.1	YER095W
OG0001606	XP_001556629.1	YJR022W
OG0001607	XP_001556646.2	YGR091W
OG0001608	XP_001556647.1	YLR117C
OG0001609	XP_001556654.1	YOL002C
OG0001610	XP_001556657.2	YPR183W
OG0001611	XP_001556666.1	YPL170W
OG0001612	XP_001556673.1	YJL154C
OG0001613	XP_001556679.1	YGR266W
OG0001614	XP_001556681.2	YGR101W
OG0001615	XP_001556699.1	YDR386W
OG0001616	XP_001556700.1	YBR034C
OG0001617	XP_001556701.1	YGR246C
OG0001618	XP_001556728.2	YKL054C
OG0001619	XP_001556741.2	YMR105C
OG0001620	XP_001556757.1	YIL022W
OG0001621	XP_001556758.1	YNL306W
OG0001622	XP_001556769.1	YOR007C
OG0001623	XP_001556811.1	YMR108W
OG0001624	XP_001556818.1	YKL060C
