	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0001457	maker-LCTY01000003.1-augustus-gene-8.41-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-8.41&CDS=1-1221	YHL022C
OG0001458	snap_masked-LCTY01000003.1-processed-gene-8.51-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-8.51&CDS=1-762	YNL282W
OG0001459	augustus_masked-LCTY01000003.1-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.114&CDS=1-2232	YOL095C
OG0001460	genemark-LCTY01000003.1-processed-gene-8.5-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-8.5&CDS=1-1074	YPL031C
OG0001461	augustus_masked-LCTY01000003.1-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.116&CDS=1-621	YPL067C
OG0001462	augustus_masked-LCTY01000003.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.96&CDS=1-4389	YBR235W
OG0001463	augustus_masked-LCTY01000003.1-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.118&CDS=1-933	YDL230W
OG0001464	augustus_masked-LCTY01000003.1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.99&CDS=1-525	YKL117W
OG0001465	augustus_masked-LCTY01000003.1-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.120&CDS=1-1947	YFL041W
OG0001466	augustus_masked-LCTY01000003.1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.121&CDS=1-1281	YNL207W
OG0001467	augustus_masked-LCTY01000003.1-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.122&CDS=1-1845	YNL209W
OG0001468	augustus_masked-LCTY01000003.1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.101&CDS=1-2103	YNL094W
OG0001469	augustus_masked-LCTY01000003.1-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.123&CDS=1-1068	YOR091W
OG0001470	augustus_masked-LCTY01000003.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.102&CDS=1-1713	YOR090C
OG0001471	augustus_masked-LCTY01000003.1-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.124&CDS=1-648	YOR089C
OG0001472	augustus_masked-LCTY01000003.1-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.103&CDS=1-3552	YPR122W
OG0001473	augustus_masked-LCTY01000003.1-processed-gene-8.125-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.125&CDS=1-1248	YNL092W
OG0001474	augustus_masked-LCTY01000003.1-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.126&CDS=1-1953	YOR087W
OG0001475	augustus_masked-LCTY01000003.1-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.105&CDS=1-1491	YNL206C
OG0001476	augustus_masked-LCTY01000003.1-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.128&CDS=1-2622	YPR194C
OG0001477	snap_masked-LCTY01000003.1-processed-gene-8.87-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-8.87&CDS=1-1539	YMR023C
OG0001478	snap_masked-LCTY01000003.1-processed-gene-8.88-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-8.88&CDS=1-579	YNL090W
OG0001479	augustus_masked-LCTY01000003.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.108&CDS=1-657	YEL024W
OG0001480	augustus_masked-LCTY01000003.1-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.109&CDS=1-2841	YJR040W
OG0001481	augustus_masked-LCTY01000003.1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.110&CDS=1-1515	YDR256C
OG0001482	augustus_masked-LCTY01000003.1-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.112&CDS=1-1038	YBR187W
OG0001483	augustus_masked-LCTY01000003.1-processed-gene-9.46-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.46&CDS=1-651	YFL046W
OG0001484	augustus_masked-LCTY01000003.1-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.50&CDS=1-756	YFL045C
OG0001485	maker-LCTY01000003.1-snap-gene-9.137-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-9.137&CDS=1-1269	YJL145W
OG0001486	genemark-LCTY01000003.1-processed-gene-9.93-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-9.93&CDS=1-5328	YFL033C
OG0001487	augustus_masked-LCTY01000003.1-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.74&CDS=1-1413	YGL065C
OG0001488	augustus_masked-LCTY01000003.1-processed-gene-9.51-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.51&CDS=1-1329	YCR095C
OG0001489	augustus_masked-LCTY01000003.1-processed-gene-9.52-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.52&CDS=1-1341	YNR050C
OG0001490	augustus_masked-LCTY01000003.1-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.55&CDS=1-1095	YDR158W
OG0001491	augustus_masked-LCTY01000003.1-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.75&CDS=1-2001	YBR102C
OG0001492	augustus_masked-LCTY01000003.1-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.57&CDS=1-1473	YOR250C
OG0001493	augustus_masked-LCTY01000003.1-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.77&CDS=1-633	YJL004C
OG0001494	augustus_masked-LCTY01000003.1-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.58&CDS=1-3798	YMR076C
OG0001495	augustus_masked-LCTY01000003.1-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.78&CDS=1-1782	YMR075W
OG0001496	augustus_masked-LCTY01000003.1-processed-gene-9.59-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.59&CDS=1-1302	YMR062C
OG0001497	maker-LCTY01000003.1-snap-gene-9.139-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-9.139&CDS=1-2643	YBR289W
OG0001498	augustus_masked-LCTY01000003.1-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.79&CDS=1-885	YBR291C
OG0001499	augustus_masked-LCTY01000003.1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.80&CDS=1-2037	YLR214W
OG0001500	augustus_masked-LCTY01000003.1-processed-gene-9.81-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.81&CDS=1-1707	YKL028W
OG0001501	augustus_masked-LCTY01000003.1-processed-gene-9.63-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.63&CDS=1-1497	YHR009C
OG0001502	augustus_masked-LCTY01000003.1-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.64&CDS=1-1239	YDR346C
OG0001503	augustus_masked-LCTY01000003.1-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.82&CDS=1-1572	YLR212C
OG0001504	augustus_masked-LCTY01000003.1-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.66&CDS=1-2847	YBR229C
OG0001505	augustus_masked-LCTY01000003.1-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.83&CDS=1-468	YHR175W
OG0001506	augustus_masked-LCTY01000003.1-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.85&CDS=1-1596	YDR470C
OG0001507	augustus_masked-LCTY01000003.1-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.69&CDS=1-762	YHR192W
OG0001508	augustus_masked-LCTY01000003.1-processed-gene-9.86-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.86&CDS=1-591	YHR193C
OG0001509	augustus_masked-LCTY01000003.1-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.71&CDS=1-1434	YBL082C
OG0001510	maker-LCTY01000003.1-snap-gene-9.140-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-9.140&CDS=1-1746	YER109C
OG0001511	augustus_masked-LCTY01000003.1-processed-gene-9.87-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.87&CDS=1-1113	YER107C
OG0001512	augustus_masked-LCTY01000003.1-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.88&CDS=1-3258	YBL076C
OG0001513	augustus_masked-LCTY01000003.1-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-9.73&CDS=1-1371	YPL138C
OG0001514	augustus_masked-LCTY01000003.1-processed-gene-10.1-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.1&CDS=1-1227	YJL026W
OG0001515	augustus_masked-LCTY01000003.1-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.2&CDS=1-3324	YER110C
OG0001516	augustus_masked-LCTY01000003.1-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.5&CDS=1-915	YGR231C
OG0001517	augustus_masked-LCTY01000003.1-processed-gene-10.3-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.3&CDS=1-786	YGR232W
OG0001518	augustus_masked-LCTY01000003.1-processed-gene-10.4-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.4&CDS=1-1512	YGR211W
OG0001519	augustus_masked-LCTY01000003.1-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.20&CDS=1-7509	YGR217W
OG0001520	augustus_masked-LCTY01000003.1-processed-gene-10.21-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.21&CDS=1-369	YKL137W
OG0001521	maker-LCTY01000003.1-augustus-gene-10.79-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-10.79&CDS=1-603	YMR117C
OG0001522	augustus_masked-LCTY01000003.1-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.22&CDS=1-330	YKL138C
OG0001523	augustus_masked-LCTY01000003.1-processed-gene-10.7-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.7&CDS=1-4041	YDR293C
OG0001524	maker-LCTY01000003.1-augustus-gene-10.80-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-10.80&CDS=1-7326	YDR150W
OG0001525	augustus_masked-LCTY01000003.1-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.9&CDS=1-531	YNL260C
OG0001526	augustus_masked-LCTY01000003.1-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.25&CDS=1-1473	YNL261W
OG0001527	maker-LCTY01000003.1-augustus-gene-10.82-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-10.82&CDS=1-3339	YLR222C
OG0001528	maker-LCTY01000003.1-snap-gene-10.87-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-10.87&CDS=1-2658	YDR223W
OG0001529	maker-LCTY01000003.1-snap-gene-10.88-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-10.88&CDS=1-2592	YOR356W
OG0001530	snap_masked-LCTY01000003.1-processed-gene-10.71-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-10.71&CDS=1-2280	YAL041W
OG0001531	augustus_masked-LCTY01000003.1-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.32&CDS=1-1236	YAL042W
OG0001532	augustus_masked-LCTY01000003.1-processed-gene-10.33-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.33&CDS=1-2118	YNL251C
OG0001533	augustus_masked-LCTY01000003.1-processed-gene-10.16-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.16&CDS=1-1038	YLR377C
OG0001534	augustus_masked-LCTY01000003.1-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.17&CDS=1-1440	YLR378C
OG0001535	augustus_masked-LCTY01000003.1-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.18&CDS=1-669	YNL107W
OG0001536	augustus_masked-LCTY01000003.1-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.19&CDS=1-1824	YKL047W
OG0001537	augustus_masked-LCTY01000003.1-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.38&CDS=1-837	YAL039C
OG0001538	augustus_masked-LCTY01000003.1-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.81&CDS=1-963	YHL013C
OG0001539	snap_masked-LCTY01000003.1-processed-gene-11.63-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-11.63&CDS=1-1620	YNL073W
OG0001540	maker-LCTY01000003.1-augustus-gene-11.41-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-11.41&CDS=1-1176	YHL004W
OG0001541	snap_masked-LCTY01000003.1-processed-gene-11.65-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-11.65&CDS=1-951	YFR052W
OG0001542	augustus_masked-LCTY01000003.1-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.86&CDS=1-3042	YMR080C
OG0001543	augustus_masked-LCTY01000003.1-processed-gene-11.87-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.87&CDS=1-936	YBR149W
OG0001544	augustus_masked-LCTY01000003.1-processed-gene-11.102-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.102&CDS=1-1545	YDR004W
OG0001545	genemark-LCTY01000003.1-processed-gene-11.22-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-11.22&CDS=1-1467	YDR005C
OG0001546	augustus_masked-LCTY01000003.1-processed-gene-11.88-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.88&CDS=1-2682	YOL084W
OG0001547	snap_masked-LCTY01000003.1-processed-gene-11.52-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-11.52&CDS=1-855	YBR011C
OG0001548	augustus_masked-LCTY01000003.1-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.104&CDS=1-735	YDR007W
OG0001549	augustus_masked-LCTY01000003.1-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.91&CDS=1-6573	YFL007W
OG0001550	augustus_masked-LCTY01000003.1-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.105&CDS=1-1125	YGL211W
OG0001551	augustus_masked-LCTY01000003.1-processed-gene-11.93-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.93&CDS=1-1359	YMR238W
OG0001552	augustus_masked-LCTY01000003.1-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.108&CDS=1-783	YMR130W
OG0001553	augustus_masked-LCTY01000003.1-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.109&CDS=1-915	YOR064C
OG0001554	augustus_masked-LCTY01000003.1-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.110&CDS=1-918	YOR065W
OG0001555	augustus_masked-LCTY01000003.1-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.94&CDS=1-912	YOR074C
OG0001556	augustus_masked-LCTY01000003.1-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.95&CDS=1-336	YKR083C
OG0001557	augustus_masked-LCTY01000003.1-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.112&CDS=1-2130	YOR112W
OG0001558	augustus_masked-LCTY01000003.1-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.113&CDS=1-1872	YDL185W
OG0001559	augustus_masked-LCTY01000003.1-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.97&CDS=1-1446	YGL059W
OG0001560	augustus_masked-LCTY01000003.1-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.98&CDS=1-1500	YBR215W
OG0001561	augustus_masked-LCTY01000003.1-processed-gene-12.197-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.197&CDS=1-879	YIL124W
OG0001562	augustus_masked-LCTY01000003.1-processed-gene-12.163-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.163&CDS=1-1062	YGL198W
OG0001563	maker-LCTY01000003.1-snap-gene-12.73-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-12.73&CDS=1-1245	YBR279W
OG0001564	augustus_masked-LCTY01000003.1-processed-gene-12.164-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.164&CDS=1-1872	YJL090C
OG0001565	augustus_masked-LCTY01000003.1-processed-gene-12.201-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.201&CDS=1-1101	YPR191W
OG0001566	augustus_masked-LCTY01000003.1-processed-gene-12.166-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.166&CDS=1-2112	YPR190C
OG0001567	maker-LCTY01000003.1-snap-gene-12.74-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-12.74&CDS=1-2592	YPR185W
OG0001568	augustus_masked-LCTY01000003.1-processed-gene-12.203-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.203&CDS=1-4440	YPR189W
OG0001569	augustus_masked-LCTY01000003.1-processed-gene-12.204-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.204&CDS=1-432	YPR187W
OG0001570	augustus_masked-LCTY01000003.1-processed-gene-12.168-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.168&CDS=1-1512	YPR186C
OG0001571	snap_masked-LCTY01000003.1-processed-gene-12.90-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-12.90&CDS=1-690	YGR129W
OG0001572	snap_masked-LCTY01000003.1-processed-gene-12.91-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-12.91&CDS=1-4581	YGR116W
OG0001573	augustus_masked-LCTY01000003.1-processed-gene-12.171-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.171&CDS=1-2358	YER047C
OG0001574	augustus_masked-LCTY01000003.1-processed-gene-12.205-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.205&CDS=1-1464	YER048C
OG0001575	augustus_masked-LCTY01000003.1-processed-gene-12.206-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.206&CDS=1-906	YBR146W
OG0001576	augustus_masked-LCTY01000003.1-processed-gene-12.207-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.207&CDS=1-483	YOL086W-A
OG0001577	augustus_masked-LCTY01000003.1-processed-gene-12.208-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.208&CDS=1-2964	YOL078W
OG0001578	augustus_masked-LCTY01000003.1-processed-gene-12.173-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.173&CDS=1-210	YOL077W-A
OG0001579	augustus_masked-LCTY01000003.1-processed-gene-12.209-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.209&CDS=1-882	YOL077C
OG0001580	augustus_masked-LCTY01000003.1-processed-gene-12.177-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.177&CDS=1-9174	YOR341W
OG0001581	augustus_masked-LCTY01000003.1-processed-gene-12.211-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.211&CDS=1-972	YGL091C
OG0001582	augustus_masked-LCTY01000003.1-processed-gene-12.178-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.178&CDS=1-3297	YBR245C
OG0001583	augustus_masked-LCTY01000003.1-processed-gene-12.179-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.179&CDS=1-483	YIR037W
OG0001584	augustus_masked-LCTY01000003.1-processed-gene-12.212-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.212&CDS=1-1098	YBL033C
OG0001585	snap_masked-LCTY01000003.1-processed-gene-12.103-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-12.103&CDS=1-954	YGL106W
OG0001586	augustus_masked-LCTY01000003.1-processed-gene-12.213-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.213&CDS=1-1038	YBR246W
OG0001587	maker-LCTY01000003.1-snap-gene-12.75-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-12.75&CDS=1-1752	YBR239C
OG0001588	maker-LCTY01000003.1-snap-gene-12.71-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-12.71&CDS=1-2241	YNL001W
OG0001589	augustus_masked-LCTY01000003.1-processed-gene-12.185-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.185&CDS=1-441	YGL103W
OG0001590	augustus_masked-LCTY01000003.1-processed-gene-12.216-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.216&CDS=1-1350	YBR243C
OG0001591	augustus_masked-LCTY01000003.1-processed-gene-12.187-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.187&CDS=1-1986	YGL110C
OG0001592	augustus_masked-LCTY01000003.1-processed-gene-12.217-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.217&CDS=1-1218	YGL111W
OG0001593	augustus_masked-LCTY01000003.1-processed-gene-12.218-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.218&CDS=1-969	YGL100W
OG0001594	augustus_masked-LCTY01000003.1-processed-gene-12.189-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.189&CDS=1-2721	YBR073W
OG0001595	augustus_masked-LCTY01000003.1-processed-gene-12.221-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.221&CDS=1-1884	YDR049W
OG0001596	augustus_masked-LCTY01000003.1-processed-gene-12.191-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.191&CDS=1-1086	YCR016W
OG0001597	maker-LCTY01000003.1-snap-gene-12.72-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-12.72&CDS=1-2493	YOR322C
OG0001598	augustus_masked-LCTY01000003.1-processed-gene-12.194-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.194&CDS=1-843	YIL043C
OG0001599	augustus_masked-LCTY01000003.1-processed-gene-12.224-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.224&CDS=1-1698	YER052C
OG0001600	augustus_masked-LCTY01000003.1-processed-gene-12.225-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.225&CDS=1-816	YPL065W
OG0001601	genemark-LCTY01000003.1-processed-gene-12.67-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-12.67&CDS=1-2823	YNL049C
OG0001602	augustus_masked-LCTY01000003.1-processed-gene-12.195-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.195&CDS=1-324	YER048W-A
OG0001603	augustus_masked-LCTY01000003.1-processed-gene-12.228-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.228&CDS=1-1458	YHR137W
OG0001604	augustus_masked-LCTY01000004.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.60&CDS=1-621	YOL008W
OG0001605	augustus_masked-LCTY01000004.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.44&CDS=1-1869	YOR175C
OG0001606	augustus_masked-LCTY01000004.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.61&CDS=1-858	YOR174W
OG0001607	maker-LCTY01000004.1-augustus-gene-0.5-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-0.5&CDS=1-1908	YMR004W
OG0001608	augustus_masked-LCTY01000004.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.62&CDS=1-1101	YOL010W
OG0001609	augustus_masked-LCTY01000004.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.46&CDS=1-1014	YMR005W
OG0001610	augustus_masked-LCTY01000004.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.63&CDS=1-795	YKL095W
OG0001611	augustus_masked-LCTY01000004.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.47&CDS=1-3429	YLR272C
OG0001612	augustus_masked-LCTY01000004.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.64&CDS=1-1107	YOR176W
OG0001613	maker-LCTY01000004.1-snap-gene-0.1-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-0.1&CDS=1-1260	YOL009C
OG0001614	snap_masked-LCTY01000004.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-0.98&CDS=1-510	YJR025C
OG0001615	augustus_masked-LCTY01000004.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.50&CDS=1-1131	YKR080W
OG0001616	augustus_masked-LCTY01000004.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.51&CDS=1-957	YIL145C
OG0001617	augustus_masked-LCTY01000004.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.66&CDS=1-2994	YKR086W
OG0001618	augustus_masked-LCTY01000004.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.53&CDS=1-1707	YDR120C
OG0001619	augustus_masked-LCTY01000004.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-1.58&CDS=1-351	YLR099W-A
