	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0000901	YDR308C	SPBC1604.10_pep
OG0000902	YDR311W	SPAC16E8.11c_pep
OG0000903	YDR313C	SPBC36B7.05c_pep
OG0000904	YDR316W	SPBC3B9.04_pep
OG0000905	YDR320C	SPAC17A5.12_pep
OG0000906	YDR320C-A	SPBC3B9.22c_pep
OG0000907	YDR322W	SPBC2F12.10_pep
OG0000908	YDR323C	SPAC17G6.08_pep
OG0000909	YDR324C	SPBC19F5.02c_pep
OG0000910	YDR325W	SPCC188.03_pep
OG0000911	YDR328C	SPBC409.05_pep
OG0000912	YDR330W	SPAC2C4.15c_pep
OG0000913	YDR331W	SPCC11E10.02c_pep
OG0000914	YDR332W	SPBC11C11.11c_pep
OG0000915	YDR333C	SPAC1142.01_pep
OG0000916	YDR334W	SPAC11E3.01c_pep
OG0000917	YDR335W	SPAC328.01c_pep
OG0000918	YDR337W	SPBC11B10.04c_pep
OG0000919	YDR339C	SPBC32H8.04c_pep
OG0000920	YDR341C	SPBC25B2.09c_pep
OG0000921	YDR346C	SPCC584.11c_pep
OG0000922	YDR353W	SPBC3F6.03_pep
OG0000923	YDR354W	SPBC16G5.08_pep
OG0000924	YDR359C	SPCC1795.08c_pep
OG0000925	YDR361C	SPCC613.08_pep
OG0000926	YDR363W-A	SPAC3G6.02_pep
OG0000927	YDR364C	SPBC6B1.10_pep
OG0000928	YDR365C	SPBC1734.01c_pep
OG0000929	YDR367W	SPAC26H5.13c_pep
OG0000930	YDR372C	SPAC5D6.13_pep
OG0000931	YDR373W	SPAC18B11.04_pep
OG0000932	YDR375C	SPAC644.07_pep
OG0000933	YDR376W	SPBC3B8.01c_pep
OG0000934	YDR377W	SPBC1604.11_pep
OG0000935	YDR379C-A	SPAC664.12c_pep
OG0000936	YDR381W	SPBC1D7.04_pep
OG0000937	YDR386W	SPCC4G3.05c_pep
OG0000938	YDR388W	SPBC21D10.12_pep
OG0000939	YDR390C	SPBC16H5.03c_pep
OG0000940	YDR392W	SPCC61.02_pep
OG0000941	YDR393W	SPAC823.13c_pep
OG0000942	YDR394W	SPCC576.10c_pep
OG0000943	YDR397C	SPBC30D10.02_pep
OG0000944	YDR398W	SPAC20H4.01_pep
OG0000945	YDR404C	SPACUNK4.06c_pep
OG0000946	YDR405W	SPAC31A2.08_pep
OG0000947	YDR407C	SPAC6G10.05c_pep
OG0000948	YDR408C	SPCC569.08c_pep
OG0000949	YDR410C	SPAC10F6.12c_pep
OG0000950	YDR412W	SPAC29A4.09_pep
OG0000951	YDR416W	SPBC211.02c_pep
OG0000952	YDR419W	SPBC16A3.11_pep
OG0000953	YDR424C	SPAC926.07c_pep
OG0000954	YDR425W	SPBC14F5.11c_pep
OG0000955	YDR427W	SPAC607.05_pep
OG0000956	YDR429C	SPBC18H10.03_pep
OG0000957	YDR430C	SPBC119.17_pep
OG0000958	YDR432W	SPAC16.02c_pep
OG0000959	YDR434W	SPAC1F12.09_pep
OG0000960	YDR435C	SPBP8B7.08c_pep
OG0000961	YDR448W	SPCC24B10.08c_pep
OG0000962	YDR449C	SPBC244.02c_pep
OG0000963	YDR452W	SPBC713.07c_pep
OG0000964	YDR454C	SPBC1198.05_pep
OG0000965	YDR456W	SPAC15A10.06_pep
OG0000966	YDR457W	SPAC19D5.04_pep
OG0000967	YDR459C	SPBC691.01_pep
OG0000968	YDR460W	SPBC776.18c_pep
OG0000969	YDR462W	SPAC4F8.05c_pep
OG0000970	YDR465C	SPAC26A3.17c_pep
OG0000971	YDR468C	SPBC36B7.07_pep
OG0000972	YDR469W	SPCC18.11c_pep
OG0000973	YDR470C	SPAC1B2.02c_pep
OG0000974	YDR472W	SPBC1718.05_pep
OG0000975	YDR473C	SPAC29E6.02_pep
OG0000976	YDR477W	SPCC74.03c_pep
OG0000977	YDR479C	SPCC737.05_pep
OG0000978	YDR481C	SPBC14F5.13c_pep
OG0000979	YDR484W	SPBC336.11_pep
OG0000980	YDR486C	SPCC162.06c_pep
OG0000981	YDR487C	SPBC23E6.06c_pep
OG0000982	YDR489W	SPBP4H10.21c_pep
OG0000983	YDR490C	SPCC576.15c_pep
OG0000984	YDR493W	SPBC30D10.21_pep
OG0000985	YDR496C	SPCP1E11.11_pep
OG0000986	YDR502C	SPBC14F5.05c_pep
OG0000987	YDR510W	SPBC365.06_pep
OG0000988	YDR511W	SPBP23A10.03c_pep
OG0000989	YDR517W	SPAC1D4.02c_pep
OG0000990	YDR523C	SPAC2C4.14c_pep
OG0000991	YDR527W	SPBC947.13_pep
OG0000992	YDR529C	SPCC737.02c_pep
OG0000993	YDR531W	SPBC4B4.01c_pep
OG0000994	YEL002C	SPCC338.15_pep
OG0000995	YEL003W	SPAC227.10_pep
OG0000996	YEL004W	SPBC1734.09_pep
OG0000997	YEL012W	SPBC211.07c_pep
OG0000998	YEL013W	SPBC354.14c_pep
OG0000999	YEL019C	SPAC16A10.06c_pep
OG0001000	YEL020C	SPBC725.04_pep
OG0001001	YEL020W-A	SPCC24B10.05_pep
OG0001002	YEL021W	SPCC330.05c_pep
OG0001003	YEL024W	SPBC16H5.06_pep
OG0001004	YEL026W	SPAC607.03c_pep
OG0001005	YEL027W	SPAC1B3.14_pep
OG0001006	YEL031W	SPACUNK4.07c_pep
OG0001007	YEL032W	SPCC1682.02c_pep
OG0001008	YEL036C	SPBC1734.04_pep
OG0001009	YEL037C	SPBC2D10.12_pep
OG0001010	YEL038W	SPAC644.08_pep
OG0001011	YEL042W	SPAC824.08_pep
OG0001012	YEL044W	SPAC222.04c_pep
OG0001013	YEL046C	SPAC23H3.09c_pep
OG0001014	YEL050C	SPCC16C4.15_pep
OG0001015	YEL051W	SPCC965.03_pep
OG0001016	YEL052W	SPBC115.02c_pep
OG0001017	YEL055C	SPBC14C8.14c_pep
OG0001018	YEL058W	SPAC13C5.05c_pep
OG0001019	YEL062W	SPAC23H3.03c_pep
OG0001020	YER003C	SPBC2G2.16_pep
OG0001021	YER005W	SPCC11E10.05c_pep
OG0001022	YER006W	SPBC26H8.08c_pep
OG0001023	YER007C-A	SPBC31F10.12_pep
OG0001024	YER007W	SPAC22H10.10_pep
OG0001025	YER009W	SPAC15F9.03c_pep
OG0001026	YER012W	SPAC31A2.04c_pep
OG0001027	YER013W	SPAC10F6.02c_pep
OG0001028	YER014W	SPAC1F5.07c_pep
OG0001029	YER016W	SPAC18G6.15_pep
OG0001030	YER019W	SPBC32F12.01c_pep
OG0001031	YER020W	SPAC23H3.13c_pep
OG0001032	YER021W	SPBC119.01_pep
OG0001033	YER022W	SPBC31F10.04c_pep
OG0001034	YER023W	SPAPYUG7.05_pep
OG0001035	YER025W	SPBC17G9.09_pep
OG0001036	YER026C	SPCC1442.12_pep
OG0001037	YER029C	SPAC26A3.08_pep
OG0001038	YER036C	SPBC16H5.08c_pep
OG0001039	YER042W	SPAC29E6.05c_pep
OG0001040	YER043C	SPBC8D2.18c_pep
OG0001041	YER044C	SPBC337.09_pep
OG0001042	YER046W	SPAC1296.04_pep
OG0001043	YER048W-A	SPBC13G1.06c_pep
OG0001044	YER049W	SPBC6B1.08c_pep
OG0001045	YER050C	SPCC18B5.04_pep
OG0001046	YER051W	SPCC622.16c_pep
OG0001047	YER052C	SPBC19F5.04_pep
OG0001048	YER053C	SPBC1703.13c_pep
OG0001049	YER055C	SPAC25G10.05c_pep
OG0001050	YER061C	SPBC887.13c_pep
OG0001051	YER065C	SPBC1683.11c_pep
OG0001052	YER068W	SPAC16C9.04c_pep
OG0001053	YER069W	SPAC4G9.09c_pep
OG0001054	YER070W	SPAC1F7.05_pep
OG0001055	YER072W	SPBC21B10.04c_pep
OG0001056	YER073W	SPAC9E9.09c_pep
OG0001057	YER074W-A	SPAC19A8.09_pep
OG0001058	YER078C	SPAC12B10.05_pep
OG0001059	YER082C	SPAC959.03c_pep
OG0001060	YER086W	SPBC1677.03c_pep
OG0001061	YER087W	SPBC24C6.03_pep
OG0001062	YER090W	SPCC1442.09_pep
OG0001063	YER091C	SPAC9.09_pep
OG0001064	YER093C	SPBC12C2.02c_pep
OG0001065	YER094C	SPCC63.12c_pep
OG0001066	YER095W	SPAC644.14c_pep
OG0001067	YER100W	SPAC10F6.05c_pep
OG0001068	YER107C	SPBC16A3.05c_pep
OG0001069	YER110C	SPBC14F5.03c_pep
OG0001070	YER112W	SPBC30D10.06_pep
OG0001071	YER122C	SPAC22E12.17c_pep
OG0001072	YER125W	SPAC11G7.02_pep
OG0001073	YER126C	SPCP1E11.08_pep
OG0001074	YER127W	SPAC18B11.06_pep
OG0001075	YER133W	SPBC776.02c_pep
OG0001076	YER134C	SPBP8B7.31_pep
OG0001077	YER136W	SPAC22H10.12c_pep
OG0001078	YER140W	SPBC13G1.05_pep
OG0001079	YER141W	SPAC22E12.10c_pep
OG0001080	YER143W	SPAC56F8.08_pep
OG0001081	YER145C	SPAC1F7.07c_pep
OG0001082	YER146W	SPBC20F10.09_pep
OG0001083	YER148W	SPAC29E6.08_pep
OG0001084	YER151C	SPBP8B7.21_pep
OG0001085	YER156C	SPAC694.04c_pep
OG0001086	YER157W	SPBC1539.05_pep
OG0001087	YER159C	SPAC17G8.03c_pep
OG0001088	YER162C	SPAC12B10.12c_pep
OG0001089	YER163C	SPBC31F10.03_pep
OG0001090	YER164W	SPAC3G6.01_pep
OG0001091	YER165W	SPAC57A7.04c_pep
OG0001092	YER166W	SPAC24B11.12c_pep
OG0001093	YER168C	SPCC645.10_pep
OG0001094	YER171W	SPAC1D4.12_pep
OG0001095	YER172C	SPAC9.03c_pep
OG0001096	YER173W	SPAC14C4.13_pep
OG0001097	YER177W	SPAC8E11.02c_pep
OG0001098	YER178W	SPAC26F1.03_pep
OG0001099	YER179W	SPAC8E11.03c_pep
OG0001100	YER182W	SPAC3A12.08_pep
OG0001101	YFL001W	SPAC25B8.05_pep
OG0001102	YFL002C	SPBC24C6.02_pep
OG0001103	YFL005W	SPAC9E9.07c_pep
OG0001104	YFL008W	SPBC29A10.04_pep
OG0001105	YFL016C	SPCC4G3.14_pep
OG0001106	YFL017C	SPAC16E8.03_pep
OG0001107	YFL017W-A	SPBC4B4.05_pep
OG0001108	YFL018C	SPAC1002.09c_pep
OG0001109	YFL022C	SPAC3G9.06_pep
OG0001110	YFL024C	SPCC830.05c_pep
OG0001111	YFL025C	SPAC824.02_pep
OG0001112	YFL026W	SPAC11H11.04_pep
OG0001113	YFL027C	SPBC651.03c_pep
OG0001114	YFL028C	SPAC20G4.01_pep
OG0001115	YFL034C-B	SPCC970.04c_pep
OG0001116	YFL034W	SPAC6F6.13c_pep
OG0001117	YFL036W	SPAC26H5.12_pep
OG0001118	YFL037W	SPBC26H8.07c_pep
OG0001119	YFL038C	SPBC1703.10_pep
OG0001120	YFL039C	SPBC32H8.12c_pep
OG0001121	YFL044C	SPAC24C9.14_pep
OG0001122	YFL045C	SPAC1556.07_pep
OG0001123	YFL046W	SPAC2C4.09_pep
OG0001124	YFL047W	SPAC13A11.01c_pep
OG0001125	YFL053W	SPAC977.16c_pep
OG0001126	YFL054C	SPAC977.17_pep
OG0001127	YFL055W	SPCC965.11c_pep
OG0001128	YFR002W	SPCC1620.11_pep
OG0001129	YFR004W	SPAC31G5.13_pep
OG0001130	YFR005C	SPBC577.07_pep
OG0001131	YFR007W	SPAC227.14_pep
OG0001132	YFR009W	SPBC29A3.09c_pep
OG0001133	YFR010W	SPAC6G9.08_pep
OG0001134	YFR019W	SPBC3E7.01_pep
OG0001135	YFR021W	SPAC589.07c_pep
OG0001136	YFR025C	SPCC1672.01_pep
OG0001137	YFR028C	SPAC1782.09c_pep
OG0001138	YFR030W	SPCC584.01c_pep
OG0001139	YFR031C	SPBP4H10.06c_pep
OG0001140	YFR032C-A	SPBC776.01_pep
OG0001141	YFR033C	SPBC16C6.08c_pep
OG0001142	YFR037C	SPAC23H3.10_pep
OG0001143	YFR041C	SPAC2E1P5.03_pep
OG0001144	YFR044C	SPBC1198.08_pep
OG0001145	YFR048W	SPAC12G12.15_pep
OG0001146	YFR050C	SPBC577.10_pep
OG0001147	YFR051C	SPCC285.08_pep
OG0001148	YFR052W	SPBC16G5.01_pep
OG0001149	YGL001C	SPBC3F6.02c_pep
OG0001150	YGL006W	SPAPB2B4.04c_pep
OG0001151	YGL008C	SPAC1071.10c_pep
OG0001152	YGL009C	SPAC9E9.03_pep
OG0001153	YGL010W	SPAC16E8.02_pep
OG0001154	YGL011C	SPBC646.16_pep
OG0001155	YGL012W	SPAC20G4.07c_pep
OG0001156	YGL017W	SPAC3C7.07c_pep
OG0001157	YGL018C	SPAC144.08_pep
OG0001158	YGL022W	SPBC1271.02_pep
OG0001159	YGL023C	SPBC9B6.03_pep
OG0001160	YGL026C	SPAC19A8.15_pep
OG0001161	YGL027C	SPAC6G10.09_pep
OG0001162	YGL033W	SPAC222.15_pep
OG0001163	YGL035C	SPBC1D7.02c_pep
OG0001164	YGL037C	SPBC365.20c_pep
OG0001165	YGL040C	SPAC1805.06c_pep
OG0001166	YGL043W	SPAC20H4.03c_pep
OG0001167	YGL047W	SPAC56E4.02c_pep
OG0001168	YGL048C	SPBC23G7.12c_pep
OG0001169	YGL050W	SPAC25B8.15c_pep
OG0001170	YGL055W	SPCC1281.06c_pep
OG0001171	YGL058W	SPAC18B11.07c_pep
OG0001172	YGL062W	SPBC17G9.11c_pep
OG0001173	YGL065C	SPBC11B10.01_pep
OG0001174	YGL066W	SPCC126.04c_pep
OG0001175	YGL067W	SPBC1778.03c_pep
OG0001176	YGL068W	SPCC4B3.09c_pep
OG0001177	YGL070C	SPAPYUG7.04c_pep
OG0001178	YGL073W	SPAC2E12.02_pep
OG0001179	YGL078C	SPBC17D1.06_pep
OG0001180	YGL080W	SPCC1235.11_pep
OG0001181	YGL083W	SPBP23A10.10_pep
OG0001182	YGL085W	SPBC19F8.04c_pep
OG0001183	YGL086W	SPBC3D6.04c_pep
OG0001184	YGL087C	SPCC338.05c_pep
OG0001185	YGL091C	SPAC637.08_pep
OG0001186	YGL092W	SPAC1486.05_pep
OG0001187	YGL093W	SPCC1020.02_pep
OG0001188	YGL094C	SPAC22G7.04_pep
OG0001189	YGL095C	SPAC2G11.03c_pep
OG0001190	YGL097W	SPBC557.03c_pep
OG0001191	YGL099W	SPAC3F10.16c_pep
OG0001192	YGL100W	SPAC15F9.02_pep
OG0001193	YGL105W	SPAC30C2.04_pep
OG0001194	YGL106W	SPAP8A3.08_pep
OG0001195	YGL110C	SPCC1906.02c_pep
OG0001196	YGL111W	SPBC83.15_pep
OG0001197	YGL112C	SPCC16C4.18c_pep
OG0001198	YGL115W	SPAC1556.08c_pep
OG0001199	YGL116W	SPAC821.08c_pep
OG0001200	YGL119W	SPBC2D10.18_pep
OG0001201	YGL120C	SPBC16H5.10c_pep
OG0001202	YGL123W	SPCC576.08c_pep
OG0001203	YGL124C	SPAC1D4.03c_pep
OG0001204	YGL125W	SPAC56F8.10_pep
OG0001205	YGL126W	SPBC543.08_pep
OG0001206	YGL127C	SPCP31B10.03c_pep
OG0001207	YGL129C	SPBC29A3.15c_pep
OG0001208	YGL130W	SPBC2F12.08c_pep
OG0001209	YGL131C	SPAC3H1.12c_pep
OG0001210	YGL136C	SPBC2G2.15c_pep
OG0001211	YGL137W	SPBC16C6.13c_pep
OG0001212	YGL140C	SPAC26F1.08c_pep
OG0001213	YGL141W	SPAC167.07c_pep
OG0001214	YGL142C	SPCC16A11.06c_pep
OG0001215	YGL143C	SPAC2F7.17_pep
OG0001216	YGL148W	SPCC1223.14_pep
OG0001217	YGL150C	SPAC29B12.01_pep
OG0001218	YGL153W	SPBC13G1.03c_pep
OG0001219	YGL155W	SPAC2E1P5.04c_pep
OG0001220	YGL156W	SPAC513.05_pep
OG0001221	YGL163C	SPAC15A10.03c_pep
OG0001222	YGL164C	SPAC31A2.10_pep
OG0001223	YGL166W	SPCC584.02_pep
OG0001224	YGL167C	SPBC31E1.02c_pep
OG0001225	YGL169W	SPCC895.03c_pep
OG0001226	YGL171W	SPAC22F3.08c_pep
OG0001227	YGL172W	SPAC22G7.09c_pep
OG0001228	YGL173C	SPAC17A5.14_pep
OG0001229	YGL174W	SPCC1620.10_pep
OG0001230	YGL179C	SPCC297.03_pep
OG0001231	YGL180W	SPCC63.08c_pep
OG0001232	YGL183C	SPAC13A11.03_pep
OG0001233	YGL184C	SPCC11E10.01_pep
OG0001234	YGL187C	SPAC1296.02_pep
OG0001235	YGL190C	SPAC227.07c_pep
OG0001236	YGL191W	SPCC1739.09c_pep
OG0001237	YGL194C	SPAC3G9.07c_pep
OG0001238	YGL195W	SPAC18G6.05c_pep
OG0001239	YGL196W	SPAC1039.06_pep
OG0001240	YGL200C	SPCC24B10.17_pep
OG0001241	YGL201C	SPBC211.04c_pep
OG0001242	YGL203C	SPBC16G5.09_pep
OG0001243	YGL206C	SPAC26A3.05_pep
OG0001244	YGL207W	SPBP8B7.19_pep
OG0001245	YGL211W	SPBC2G5.03_pep
OG0001246	YGL215W	SPBC1D7.03_pep
OG0001247	YGL220W	SPAC8C9.11_pep
OG0001248	YGL221C	SPCC126.12_pep
OG0001249	YGL224C	SPAC24B11.05_pep
OG0001250	YGL225W	SPAC144.18_pep
OG0001251	YGL227W	SPCC1259.12c_pep
OG0001252	YGL231C	SPCC1281.03c_pep
OG0001253	YGL232W	SPBC25H2.10c_pep
OG0001254	YGL234W	SPBC405.01_pep
OG0001255	YGL236C	SPBC30B4.06c_pep
OG0001256	YGL237C	SPBC725.11c_pep
OG0001257	YGL238W	SPBC30B4.05_pep
OG0001258	YGL240W	SPBC1A4.01_pep
OG0001259	YGL241W	SPAC22H10.03c_pep
OG0001260	YGL242C	SPAC105.02c_pep
OG0001261	YGL243W	SPBC16A3.06_pep
OG0001262	YGL244W	SPBC651.09c_pep
OG0001263	YGL245W	SPAC17A5.15c_pep
OG0001264	YGL246C	SPAC19D5.06c_pep
OG0001265	YGL248W	SPCC285.09c_pep
OG0001266	YGL250W	SPCC1442.04c_pep
OG0001267	YGL255W	SPBC16D10.06_pep
OG0001268	YGL256W	SPAC5H10.06c_pep
OG0001269	YGR002C	SPAC9G1.13c_pep
OG0001270	YGR003W	SPAC24H6.03_pep
OG0001271	YGR005C	SPBC1198.13c_pep
OG0001272	YGR006W	SPCC126.14_pep
OG0001273	YGR007W	SPAC15E1.05c_pep
OG0001274	YGR009C	SPBC26H8.02c_pep
OG0001275	YGR012W	SPAC3A12.17c_pep
OG0001276	YGR019W	SPAC19D5.07_pep
OG0001277	YGR020C	SPBC3B9.18c_pep
OG0001278	YGR021W	SPBC8D2.12c_pep
OG0001279	YGR024C	SPCC63.07_pep
OG0001280	YGR028W	SPCC24B10.10c_pep
OG0001281	YGR029W	SPAC3G6.08_pep
OG0001282	YGR031W	SPAC22H12.03_pep
OG0001283	YGR032W	SPCC1840.02c_pep
OG0001284	YGR036C	SPBC530.12c_pep
OG0001285	YGR037C	SPBC1539.06_pep
OG0001286	YGR040W	SPAC31G5.09c_pep
OG0001287	YGR046W	SPBC1A4.06c_pep
OG0001288	YGR047C	SPCC16C4.14c_pep
OG0001289	YGR048W	SPBC16A3.09c_pep
OG0001290	YGR054W	SPBC4B4.04_pep
OG0001291	YGR060W	SPAC630.08c_pep
OG0001292	YGR061C	SPAC6F12.10c_pep
OG0001293	YGR063C	SPBC21C3.16c_pep
OG0001294	YGR074W	SPAC27D7.07c_pep
OG0001295	YGR076C	SPAC1952.14c_pep
OG0001296	YGR078C	SPAC3H8.07c_pep
OG0001297	YGR080W	SPCC126.06_pep
OG0001298	YGR082W	SPAC6F12.07_pep
OG0001299	YGR083C	SPAC21E11.06_pep
OG0001300	YGR090W	SPBC776.08c_pep
OG0001301	YGR091W	SPBC119.13c_pep
OG0001302	YGR093W	SPAC1F3.09_pep
OG0001303	YGR094W	SPBC1709.02c_pep
OG0001304	YGR095C	SPBC115.01c_pep
OG0001305	YGR096W	SPBC1604.04_pep
OG0001306	YGR098C	SPCC5E4.04_pep
OG0001307	YGR099W	SPAC458.03_pep
OG0001308	YGR100W	SPBC215.01_pep
OG0001309	YGR101W	SPBC13E7.11_pep
OG0001310	YGR103W	SPBC19F5.05c_pep
OG0001311	YGR105W	SPCC1235.16_pep
OG0001312	YGR110W	SPAC6G10.03c_pep
OG0001313	YGR112W	SPBC1215.01_pep
OG0001314	YGR116W	SPAC1F7.01c_pep
OG0001315	YGR119C	SPBC19G7.15_pep
OG0001316	YGR123C	SPBC3F6.01c_pep
OG0001317	YGR124W	SPBC119.10_pep
OG0001318	YGR125W	SPAC24H6.11c_pep
OG0001319	YGR132C	SPAC1782.06c_pep
OG0001320	YGR135W	SPAC13C5.01c_pep
OG0001321	YGR144W	SPBC26H8.01_pep
OG0001322	YGR145W	SPCC330.09_pep
OG0001323	YGR147C	SPBC106.07c_pep
OG0001324	YGR149W	SPBC776.05_pep
OG0001325	YGR150C	SPBC19G7.07c_pep
OG0001326	YGR157W	SPBC26H8.03_pep
OG0001327	YGR159C	SPAC140.02_pep
OG0001328	YGR163W	SPCC777.05_pep
OG0001329	YGR167W	SPBC9B6.08_pep
OG0001330	YGR170W	SPAC31G5.15_pep
OG0001331	YGR171C	SPAC27E2.06c_pep
OG0001332	YGR172C	SPCC61.04c_pep
OG0001333	YGR173W	SPBC354.01_pep
OG0001334	YGR174C	SPBC27B12.14_pep
OG0001335	YGR175C	SPBC713.12_pep
OG0001336	YGR178C	SPBC21B10.03c_pep
OG0001337	YGR181W	SPAC17C9.09c_pep
OG0001338	YGR185C	SPCC1672.05c_pep
OG0001339	YGR186W	SPCC1620.09c_pep
OG0001340	YGR187C	SPAC26F1.12c_pep
OG0001341	YGR188C	SPCC1322.12c_pep
OG0001342	YGR193C	SPCC1259.09c_pep
OG0001343	YGR194C	SPCPJ732.02c_pep
OG0001344	YGR195W	SPAC3G9.10c_pep
OG0001345	YGR200C	SPCC895.06_pep
OG0001346	YGR202C	SPCC1827.02c_pep
OG0001347	YGR204W	SPBC839.16_pep
OG0001348	YGR205W	SPAC630.09c_pep
OG0001349	YGR207C	SPAC1805.02c_pep
OG0001350	YGR208W	SPBC3H7.07c_pep
OG0001351	YGR210C	SPBC428.15_pep
OG0001352	YGR211W	SPAC15A10.04c_pep
OG0001353	YGR215W	SPBC30D10.12c_pep
OG0001354	YGR216C	SPBC30D10.11_pep
OG0001355	YGR217W	SPAC6F6.01_pep
OG0001356	YGR218W	SPAC1805.17_pep
OG0001357	YGR220C	SPAC644.17c_pep
OG0001358	YGR223C	SPAC458.06_pep
OG0001359	YGR227W	SPAC56F8.06c_pep
OG0001360	YGR229C	SPBC30D10.17c_pep
OG0001361	YGR231C	SPCC1322.16_pep
OG0001362	YGR232W	SPAC6C3.08_pep
OG0001363	YGR234W	SPAC869.02c_pep
OG0001364	YGR244C	SPCC1620.08_pep
OG0001365	YGR245C	SPBC106.14c_pep
OG0001366	YGR246C	SPBC13E7.10c_pep
OG0001367	YGR252W	SPAC1952.05_pep
OG0001368	YGR253C	SPAC323.02c_pep
OG0001369	YGR255C	SPBC146.12_pep
OG0001370	YGR257C	SPBP23A10.06_pep
OG0001371	YGR258C	SPBC3E7.08c_pep
OG0001372	YGR261C	SPAC23H3.06_pep
OG0001373	YGR262C	SPAP27G11.07c_pep
OG0001374	YGR264C	SPBC17A3.04c_pep
OG0001375	YGR267C	SPAC17A5.13_pep
OG0001376	YGR268C	SPAC17A5.10_pep
OG0001377	YGR270W	SPAC31G5.19_pep
OG0001378	YGR271C-A	SPAC12G12.02_pep
OG0001379	YGR271W	SPBC13G1.10c_pep
OG0001380	YGR274C	SPAC2G11.14_pep
OG0001381	YGR276C	SPAC637.09_pep
OG0001382	YGR277C	SPAC1F12.08_pep
OG0001383	YGR278W	SPBC13E7.01_pep
OG0001384	YGR280C	SPAC890.05_pep
OG0001385	YGR282C	SPAC26H5.08c_pep
OG0001386	YGR284C	SPCC970.06_pep
OG0001387	YGR285C	SPBC1778.01c_pep
OG0001388	YGR286C	SPCC1235.02_pep
OG0001389	YHL002W	SPBC1734.08_pep
OG0001390	YHL004W	SPAC24C9.10c_pep
OG0001391	YHL007C	SPBC1604.14c_pep
OG0001392	YHL010C	SPAC16E8.13_pep
OG0001393	YHL013C	SPAC1952.03_pep
OG0001394	YHL015W	SPCC576.09_pep
OG0001395	YHL016C	SPBC23G7.13c_pep
OG0001396	YHL022C	SPAC17A5.11_pep
OG0001397	YHL023C	SPBC543.04_pep
OG0001398	YHL024W	SPAC13G7.13c_pep
OG0001399	YHL026C	SPCC594.02c_pep
OG0001400	YHL030W	SPAC1782.01_pep
OG0001401	YHL031C	SPAC4G8.10_pep
OG0001402	YHR002W	SPAC17H9.08_pep
OG0001403	YHR004C	SPBC3B8.10c_pep
OG0001404	YHR005C-A	SPAC222.03c_pep
OG0001405	YHR007C	SPAC13A11.02c_pep
OG0001406	YHR008C	SPAC1486.01_pep
OG0001407	YHR009C	SPAC1F5.03c_pep
OG0001408	YHR011W	SPAC25B8.06c_pep
OG0001409	YHR012W	SPAC15E1.06_pep
OG0001410	YHR013C	SPAC15E1.08_pep
OG0001411	YHR016C	SPAPJ696.02_pep
OG0001412	YHR019C	SPBC1773.10c_pep
OG0001413	YHR020W	SPBC19C7.06_pep
OG0001414	YHR023W	SPCC645.05c_pep
OG0001415	YHR024C	SPBC18E5.12c_pep
OG0001416	YHR025W	SPBC4C3.03_pep
OG0001417	YHR026W	SPAC2C4.13_pep
OG0001418	YHR027C	SPBP19A11.03c_pep
OG0001419	YHR028C	SPACUNK4.08_pep
OG0001420	YHR029C	SPBPB21E7.07_pep
OG0001421	YHR030C	SPBC119.08_pep
OG0001422	YHR037W	SPBC24C6.04_pep
OG0001423	YHR039C	SPBC21C3.15c_pep
OG0001424	YHR039C-A	SPBC1289.05c_pep
OG0001425	YHR042W	SPBC29A10.01_pep
OG0001426	YHR051W	SPAC1B2.04_pep
OG0001427	YHR058C	SPAC1002.15c_pep
OG0001428	YHR062C	SPAC3A12.04c_pep
OG0001429	YHR063C	SPBPB2B2.09c_pep
OG0001430	YHR064C	SPAC57A7.12_pep
OG0001431	YHR065C	SPAC823.08c_pep
OG0001432	YHR068W	SPBC1271.04c_pep
OG0001433	YHR069C	SPAC2F7.14c_pep
OG0001434	YHR070W	SPAPB18E9.01_pep
OG0001435	YHR071W	SPAC19E9.03_pep
OG0001436	YHR072W	SPAC13G7.01c_pep
OG0001437	YHR072W-A	SPAP27G11.13c_pep
OG0001438	YHR073W	SPAC23H4.01c_pep
OG0001439	YHR074W	SPCC553.02_pep
OG0001440	YHR075C	SPBP4H10.17c_pep
OG0001441	YHR076W	SPAC1556.03_pep
OG0001442	YHR077C	SPAC19A8.08_pep
OG0001443	YHR079C	SPAC167.01_pep
OG0001444	YHR082C	SPBC16E9.13_pep
OG0001445	YHR085W	SPCC1393.06c_pep
OG0001446	YHR087W	SPBC21C3.19_pep
OG0001447	YHR088W	SPAC4F8.04_pep
OG0001448	YHR089C	SPBC20F10.01_pep
OG0001449	YHR090C	SPAC3G9.08_pep
OG0001450	YHR098C	SPBC4.03c_pep
OG0001451	YHR099W	SPBP16F5.03c_pep
OG0001452	YHR100C	SPCC645.02_pep
OG0001453	YHR107C	SPAC9G1.11c_pep
OG0001454	YHR111W	SPAC2G11.10c_pep
OG0001455	YHR112C	SPAC23A1.14c_pep
OG0001456	YHR113W	SPAC4F10.02_pep
OG0001457	YHR114W	SPBC12C2.05c_pep
OG0001458	YHR119W	SPCC306.04c_pep
OG0001459	YHR120W	SPAC13F5.01c_pep
OG0001460	YHR122W	SPAC144.16_pep
OG0001461	YHR128W	SPAC1B3.01c_pep
OG0001462	YHR132C	SPBC337.07c_pep
