	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0001941	genemark-Deha2E-processed-gene-6.34-mRNA-1_1&gene=genemark-Deha2E-processed-gene-6.34&CDS=1-735	YGR235C
OG0001942	augustus_masked-Deha2E-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.61&CDS=1-2391	YKL155C
OG0001943	maker-Deha2E-augustus-gene-6.149-mRNA-1_1&gene=maker-Deha2E-augustus-gene-6.149&CDS=1-3930	YDR306C
OG0001944	augustus_masked-Deha2E-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.83&CDS=1-519	YDR308C
OG0001945	augustus_masked-Deha2E-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.63&CDS=1-1116	YDR313C
OG0001946	augustus_masked-Deha2E-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.84&CDS=1-1431	YHR065C
OG0001947	augustus_masked-Deha2E-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.86&CDS=1-1062	YLR151C
OG0001948	augustus_masked-Deha2E-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.89&CDS=1-1086	YKL151C
OG0001949	augustus_masked-Deha2E-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.65&CDS=1-897	YKL150W
OG0001950	genemark-Deha2E-processed-gene-6.18-mRNA-1_1&gene=genemark-Deha2E-processed-gene-6.18&CDS=1-1539	YKL149C
OG0001951	augustus_masked-Deha2E-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.67&CDS=1-1263	YGR117C
OG0001952	augustus_masked-Deha2E-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.68&CDS=1-1023	YPR128C
OG0001953	augustus_masked-Deha2E-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.90&CDS=1-1212	YPR133C
OG0001954	augustus_masked-Deha2E-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.70&CDS=1-975	YPR129W
OG0001955	augustus_masked-Deha2E-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.92&CDS=1-1359	YHR176W
OG0001956	augustus_masked-Deha2E-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.71&CDS=1-2682	YPR135W
OG0001957	augustus_masked-Deha2E-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.72&CDS=1-585	YPR131C
OG0001958	augustus_masked-Deha2E-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.95&CDS=1-1956	YIL155C
OG0001959	augustus_masked-Deha2E-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.75&CDS=1-1776	YML013W
OG0001960	genemark-Deha2E-processed-gene-6.49-mRNA-1_1&gene=genemark-Deha2E-processed-gene-6.49&CDS=1-1215	YDL013W
OG0001961	augustus_masked-Deha2E-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-6.97&CDS=1-987	YDL014W
OG0001962	genemark-Deha2E-processed-gene-7.5-mRNA-1_1&gene=genemark-Deha2E-processed-gene-7.5&CDS=1-4092	YBR173C
OG0001963	augustus_masked-Deha2E-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.61&CDS=1-3237	YOR069W
OG0001964	augustus_masked-Deha2E-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.80&CDS=1-807	YEL051W
OG0001965	augustus_masked-Deha2E-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.62&CDS=1-2550	YDR416W
OG0001966	augustus_masked-Deha2E-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.82&CDS=1-1470	YEL052W
OG0001967	augustus_masked-Deha2E-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.83&CDS=1-2511	YPR185W
OG0001968	snap_masked-Deha2E-processed-gene-7.146-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-7.146&CDS=1-4239	YPR189W
OG0001969	augustus_masked-Deha2E-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.63&CDS=1-1818	YPR190C
OG0001970	augustus_masked-Deha2E-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.86&CDS=1-555	YBL090W
OG0001971	augustus_masked-Deha2E-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.87&CDS=1-2556	YIL143C
OG0001972	augustus_masked-Deha2E-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.88&CDS=1-1059	YKR092C
OG0001973	augustus_masked-Deha2E-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.66&CDS=1-936	YIL145C
OG0001974	augustus_masked-Deha2E-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.91&CDS=1-3552	YKR086W
OG0001975	augustus_masked-Deha2E-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.92&CDS=1-1812	YGR119C
OG0001976	maker-Deha2E-augustus-gene-7.111-mRNA-1_1&gene=maker-Deha2E-augustus-gene-7.111&CDS=1-1329	YGR120C
OG0001977	augustus_masked-Deha2E-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.68&CDS=1-1167	YPR065W
OG0001978	augustus_masked-Deha2E-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.94&CDS=1-1017	YKR071C
OG0001979	augustus_masked-Deha2E-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.69&CDS=1-1950	YIL144W
OG0001980	augustus_masked-Deha2E-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.97&CDS=1-546	YKR085C
OG0001981	augustus_masked-Deha2E-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.98&CDS=1-1605	YNL152W
OG0001982	augustus_masked-Deha2E-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.71&CDS=1-678	YNL151C
OG0001983	augustus_masked-Deha2E-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.99&CDS=1-1623	YPR137W
OG0001984	augustus_masked-Deha2E-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.100&CDS=1-375	YNL149C
OG0001985	augustus_masked-Deha2E-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.101&CDS=1-747	YNL148C
OG0001986	maker-Deha2E-augustus-gene-7.110-mRNA-1_1&gene=maker-Deha2E-augustus-gene-7.110&CDS=1-366	YNL147W
OG0001987	augustus_masked-Deha2E-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.73&CDS=1-654	YHR128W
OG0001988	augustus_masked-Deha2E-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.74&CDS=1-504	YPR188C
OG0001989	augustus_masked-Deha2E-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.103&CDS=1-474	YPR187W
OG0001990	augustus_masked-Deha2E-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.104&CDS=1-1128	YPR191W
OG0001991	augustus_masked-Deha2E-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.105&CDS=1-1287	YLR459W
OG0001992	augustus_masked-Deha2E-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.75&CDS=1-303	YPR182W
OG0001993	augustus_masked-Deha2E-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.106&CDS=1-1287	YPR173C
OG0001994	augustus_masked-Deha2E-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.107&CDS=1-669	YJR123W
OG0001995	augustus_masked-Deha2E-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.110&CDS=1-1353	YJR124C
OG0001996	augustus_masked-Deha2E-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.108&CDS=1-4398	YER025W
OG0001997	augustus_masked-Deha2E-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.135&CDS=1-2097	YLR452C
OG0001998	augustus_masked-Deha2E-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.136&CDS=1-2088	YPR162C
OG0001999	snap_masked-Deha2E-processed-gene-8.60-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-8.60&CDS=1-984	YNL027W
OG0002000	augustus_masked-Deha2E-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.114&CDS=1-1386	YJR122W
OG0002001	augustus_masked-Deha2E-processed-gene-8.115-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.115&CDS=1-936	YJR046W
OG0002002	augustus_masked-Deha2E-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.137&CDS=1-3624	YEL031W
OG0002003	maker-Deha2E-augustus-gene-8.152-mRNA-1_1&gene=maker-Deha2E-augustus-gene-8.152&CDS=1-948	YGR096W
OG0002004	augustus_masked-Deha2E-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.118&CDS=1-2178	YPL164C
OG0002005	augustus_masked-Deha2E-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.123&CDS=1-2052	YLR396C
OG0002006	snap_masked-Deha2E-processed-gene-8.90-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-8.90&CDS=1-183	YDL067C
OG0002007	augustus_masked-Deha2E-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.124&CDS=1-243	YLR395C
OG0002008	augustus_masked-Deha2E-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.126&CDS=1-3963	YNL041C
OG0002009	augustus_masked-Deha2E-processed-gene-8.140-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.140&CDS=1-1260	YIL103W
OG0002010	augustus_masked-Deha2E-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.127&CDS=1-1557	YIL104C
OG0002011	genemark-Deha2E-processed-gene-8.43-mRNA-1_1&gene=genemark-Deha2E-processed-gene-8.43&CDS=1-1425	YNL042W
OG0002012	augustus_masked-Deha2E-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.129&CDS=1-1341	YCR079W
OG0002013	augustus_masked-Deha2E-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.143&CDS=1-273	YNR037C
OG0002014	augustus_masked-Deha2E-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.130&CDS=1-2037	YNR038W
OG0002015	maker-Deha2E-augustus-gene-8.154-mRNA-1_1&gene=maker-Deha2E-augustus-gene-8.154&CDS=1-4227	YJR035W
OG0002016	genemark-Deha2E-processed-gene-8.33-mRNA-1_1&gene=genemark-Deha2E-processed-gene-8.33&CDS=1-1779	YKL043W
OG0002017	maker-Deha2E-augustus-gene-8.155-mRNA-1_1&gene=maker-Deha2E-augustus-gene-8.155&CDS=1-3621	YKL064W
OG0002018	augustus_masked-Deha2E-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.145&CDS=1-405	YMR039C
OG0002019	augustus_masked-Deha2E-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.146&CDS=1-1089	YMR041C
OG0002020	augustus_masked-Deha2E-processed-gene-8.132-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.132&CDS=1-1344	YMR034C
OG0002021	augustus_masked-Deha2E-processed-gene-8.149-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.149&CDS=1-2973	YNL267W
OG0002022	augustus_masked-Deha2E-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.134&CDS=1-1713	YKR002W
OG0002023	augustus_masked-Deha2E-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.6&CDS=1-1329	YOL065C
OG0002024	augustus_masked-Deha2E-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.2&CDS=1-1554	YDL030W
OG0002025	augustus_masked-Deha2E-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.3&CDS=1-1746	YOL066C
OG0002026	augustus_masked-Deha2E-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.7&CDS=1-1611	YNL294C
OG0002027	augustus_masked-Deha2E-processed-gene-9.4-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.4&CDS=1-1707	YNL293W
OG0002028	augustus_masked-Deha2E-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.27&CDS=1-2412	YDL040C
OG0002029	augustus_masked-Deha2E-processed-gene-9.28-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.28&CDS=1-1713	YOR027W
OG0002030	augustus_masked-Deha2E-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.29&CDS=1-924	YHL009C
OG0002031	maker-Deha2E-augustus-gene-9.85-mRNA-1_1&gene=maker-Deha2E-augustus-gene-9.85&CDS=1-3756	YNL256W
OG0002032	augustus_masked-Deha2E-processed-gene-9.32-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.32&CDS=1-1965	YNL251C
OG0002033	augustus_masked-Deha2E-processed-gene-9.13-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.13&CDS=1-819	YNL252C
OG0002034	augustus_masked-Deha2E-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.33&CDS=1-1206	YAL042W
OG0002035	augustus_masked-Deha2E-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.15&CDS=1-2460	YAL041W
OG0002036	augustus_masked-Deha2E-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.16&CDS=1-1953	YOR356W
OG0002037	augustus_masked-Deha2E-processed-gene-9.34-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.34&CDS=1-1542	YOR355W
OG0002038	augustus_masked-Deha2E-processed-gene-9.17-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.17&CDS=1-903	YHL013C
OG0002039	augustus_masked-Deha2E-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.18&CDS=1-801	YAL039C
OG0002040	snap_masked-Deha2E-processed-gene-9.59-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-9.59&CDS=1-1956	YNL292W
OG0002041	augustus_masked-Deha2E-processed-gene-9.20-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.20&CDS=1-4869	YKR001C
OG0002042	augustus_masked-Deha2E-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.21&CDS=1-1302	YOL052C
OG0002043	augustus_masked-Deha2E-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.38&CDS=1-903	YBR085W
OG0002044	augustus_masked-Deha2E-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.39&CDS=1-5142	YER166W
OG0002045	augustus_masked-Deha2E-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.40&CDS=1-453	YDR092W
OG0002046	augustus_masked-Deha2E-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.42&CDS=1-2955	YMR080C
OG0002047	augustus_masked-Deha2E-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.24&CDS=1-3477	YKL092C
OG0002048	augustus_masked-Deha2E-processed-gene-9.25-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.25&CDS=1-903	YMR079W
OG0002049	genemark-Deha2E-processed-gene-10.6-mRNA-1_1&gene=genemark-Deha2E-processed-gene-10.6&CDS=1-2502	YMR078C
OG0002050	augustus_masked-Deha2E-processed-gene-10.115-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.115&CDS=1-690	YKL002W
OG0002051	augustus_masked-Deha2E-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.133&CDS=1-597	YKL001C
OG0002052	augustus_masked-Deha2E-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.116&CDS=1-360	YKL003C
OG0002053	augustus_masked-Deha2E-processed-gene-10.134-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.134&CDS=1-1533	YKL004W
OG0002054	augustus_masked-Deha2E-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.117&CDS=1-906	YMR099C
OG0002055	augustus_masked-Deha2E-processed-gene-10.136-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.136&CDS=1-3369	YLR071C
OG0002056	augustus_masked-Deha2E-processed-gene-10.137-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.137&CDS=1-1692	YKL116C
OG0002057	augustus_masked-Deha2E-processed-gene-10.138-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.138&CDS=1-1566	YOL070C
OG0002058	augustus_masked-Deha2E-processed-gene-10.121-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.121&CDS=1-2418	YDR257C
OG0002059	augustus_masked-Deha2E-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.139&CDS=1-4683	YDL045W-A
OG0002060	augustus_masked-Deha2E-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.140&CDS=1-864	YNL289W
OG0002061	augustus_masked-Deha2E-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.122&CDS=1-3897	YNL273W
OG0002062	augustus_masked-Deha2E-processed-gene-10.142-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.142&CDS=1-1491	YEL064C
OG0002063	augustus_masked-Deha2E-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.124&CDS=1-471	YLR068W
OG0002064	snap_masked-Deha2E-processed-gene-10.98-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-10.98&CDS=1-4905	YLR253W
OG0002065	augustus_masked-Deha2E-processed-gene-10.125-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.125&CDS=1-318	YLR147C
OG0002066	augustus_masked-Deha2E-processed-gene-10.145-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.145&CDS=1-2775	YPL091W
OG0002067	augustus_masked-Deha2E-processed-gene-10.128-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.128&CDS=1-837	YOL067C
OG0002068	augustus_masked-Deha2E-processed-gene-10.149-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.149&CDS=1-1536	YDL045C
OG0002069	augustus_masked-Deha2E-processed-gene-10.129-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.129&CDS=1-2196	YLR182W
OG0002070	augustus_masked-Deha2E-processed-gene-10.150-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.150&CDS=1-573	YDR373W
OG0002071	augustus_masked-Deha2E-processed-gene-10.130-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.130&CDS=1-426	YOL071W
OG0002072	augustus_masked-Deha2E-processed-gene-10.131-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.131&CDS=1-1299	YLR181C
OG0002073	augustus_masked-Deha2E-processed-gene-11.42-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.42&CDS=1-3174	YLR187W
OG0002074	augustus_masked-Deha2E-processed-gene-11.43-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.43&CDS=1-1248	YCL027W
OG0002075	augustus_masked-Deha2E-processed-gene-11.62-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.62&CDS=1-279	YDR510W
OG0002076	genemark-Deha2E-processed-gene-11.97-mRNA-1_1&gene=genemark-Deha2E-processed-gene-11.97&CDS=1-1935	YNL279W
OG0002077	augustus_masked-Deha2E-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.64&CDS=1-2211	YDR499W
OG0002078	augustus_masked-Deha2E-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.48&CDS=1-747	YLR186W
OG0002079	augustus_masked-Deha2E-processed-gene-11.50-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.50&CDS=1-1080	YCL059C
OG0002080	genemark-Deha2E-processed-gene-11.117-mRNA-1_1&gene=genemark-Deha2E-processed-gene-11.117&CDS=1-3753	YCL061C
OG0002081	augustus_masked-Deha2E-processed-gene-11.52-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.52&CDS=1-1149	YDR502C
OG0002082	augustus_masked-Deha2E-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.69&CDS=1-1698	YML123C
OG0002083	augustus_masked-Deha2E-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.53&CDS=1-1941	YNL272C
OG0002084	augustus_masked-Deha2E-processed-gene-11.54-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.54&CDS=1-5265	YNL271C
OG0002085	augustus_masked-Deha2E-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.55&CDS=1-912	YGL161C
OG0002086	augustus_masked-Deha2E-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.56&CDS=1-3384	YLR067C
OG0002087	augustus_masked-Deha2E-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.72&CDS=1-570	YLR066W
OG0002088	augustus_masked-Deha2E-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.73&CDS=1-2295	YNL247W
OG0002089	augustus_masked-Deha2E-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.74&CDS=1-2307	YLR069C
OG0002090	augustus_masked-Deha2E-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.76&CDS=1-3525	YBR023C
OG0002091	augustus_masked-Deha2E-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.78&CDS=1-1173	YDR058C
OG0002092	augustus_masked-Deha2E-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.79&CDS=1-1476	YGR255C
OG0002093	augustus_masked-Deha2E-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.80&CDS=1-1038	YPR086W
OG0002094	augustus_masked-Deha2E-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.81&CDS=1-843	YNL246W
OG0002095	augustus_masked-Deha2E-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.82&CDS=1-1245	YNL248C
OG0002096	augustus_masked-Deha2E-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-11.61&CDS=1-396	YJR097W
OG0002097	genemark-Deha2E-processed-gene-11.134-mRNA-1_1&gene=genemark-Deha2E-processed-gene-11.134&CDS=1-2130	YJR098C
OG0002098	augustus_masked-Deha2E-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.1&CDS=1-2967	YMR089C
OG0002099	augustus_masked-Deha2E-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.2&CDS=1-1410	YMR091C
OG0002100	augustus_masked-Deha2E-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.22&CDS=1-1464	YOL069W
OG0002101	augustus_masked-Deha2E-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.23&CDS=1-750	YOR125C
OG0002102	augustus_masked-Deha2E-processed-gene-12.24-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.24&CDS=1-801	YDR374C
OG0002103	augustus_masked-Deha2E-processed-gene-12.10-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.10&CDS=1-1866	YDR477W
OG0002104	augustus_masked-Deha2E-processed-gene-12.11-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.11&CDS=1-2763	YOR025W
OG0002105	augustus_masked-Deha2E-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.25&CDS=1-558	YDR478W
OG0002106	augustus_masked-Deha2E-processed-gene-12.26-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.26&CDS=1-2715	YCL045C
OG0002107	snap_masked-Deha2E-processed-gene-12.49-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-12.49&CDS=1-246	YDR525W-A
OG0002108	augustus_masked-Deha2E-processed-gene-12.27-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.27&CDS=1-1431	YDR527W
OG0002109	snap_masked-Deha2E-processed-gene-12.65-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-12.65&CDS=1-981	YDR459C
OG0002110	augustus_masked-Deha2E-processed-gene-12.13-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.13&CDS=1-1035	YDR460W
OG0002111	augustus_masked-Deha2E-processed-gene-12.14-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.14&CDS=1-591	YML036W
OG0002112	maker-Deha2E-augustus-gene-12.76-mRNA-1_1&gene=maker-Deha2E-augustus-gene-12.76&CDS=1-4275	YDR523C
OG0002113	augustus_masked-Deha2E-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.15&CDS=1-1632	YER168C
OG0002114	maker-Deha2E-snap-gene-12.81-mRNA-1_1&gene=maker-Deha2E-snap-gene-12.81&CDS=1-4683	YDR127W
OG0002115	snap_masked-Deha2E-processed-gene-12.70-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-12.70&CDS=1-14988	YLR106C
OG0002116	augustus_masked-Deha2E-processed-gene-12.20-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.20&CDS=1-2463	YDR264C
OG0002117	augustus_masked-Deha2E-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.21&CDS=1-1551	YLR107W
OG0002118	genemark-Deha2E-processed-gene-13.1-mRNA-1_1&gene=genemark-Deha2E-processed-gene-13.1&CDS=1-3678	YDR097C
OG0002119	augustus_masked-Deha2E-processed-gene-13.59-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-13.59&CDS=1-504	YPR098C
