	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
OG0001829	snap_masked-CANI0S09-processed-gene-4.32-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.32&CDS=1-2277	YDR264C
OG0001830	snap_masked-CANI0S09-processed-gene-4.7-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.7&CDS=1-999	YDR265W
OG0001831	snap_masked-CANI0S09-processed-gene-4.33-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.33&CDS=1-1956	YDR266C
OG0001832	snap_masked-CANI0S09-processed-gene-4.34-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.34&CDS=1-1014	YDR267C
OG0001833	snap_masked-CANI0S09-processed-gene-4.8-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.8&CDS=1-1134	YDR268W
OG0001834	snap_masked-CANI0S09-processed-gene-4.9-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.9&CDS=1-3042	YDR270W
OG0001835	augustus_masked-CANI0S09-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.96&CDS=1-2058	YKL162C
OG0001836	snap_masked-CANI0S09-processed-gene-4.13-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.13&CDS=1-2763	YKL165C
OG0001837	maker-CANI0S09-snap-gene-4.45-mRNA-1_1&gene=maker-CANI0S09-snap-gene-4.45&CDS=1-1620	YJL163C
OG0001838	augustus_masked-CANI0S09-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.101&CDS=1-396	YKL167C
OG0001839	augustus_masked-CANI0S09-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.121&CDS=1-414	YKL170W
OG0001840	snap_masked-CANI0S09-processed-gene-4.36-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.36&CDS=1-2751	YKL171W
OG0001841	genemark-CANI0S09-processed-gene-4.83-mRNA-1_1&gene=genemark-CANI0S09-processed-gene-4.83&CDS=1-2967	YKL173W
OG0001842	augustus_masked-CANI0S09-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.103&CDS=1-1977	YKL174C
OG0001843	augustus_masked-CANI0S09-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-4.125&CDS=1-1746	YKL175W
OG0001844	snap_masked-CANI0S09-processed-gene-4.19-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.19&CDS=1-2691	YKL176C
OG0001845	snap_masked-CANI0S09-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.20&CDS=1-1191	YJL171C
OG0001846	snap_masked-CANI0S09-processed-gene-4.21-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.21&CDS=1-1284	YKL178C
OG0001847	snap_masked-CANI0S09-processed-gene-4.22-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.22&CDS=1-1962	YKL179C
OG0001848	snap_masked-CANI0S09-processed-gene-5.98-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.98&CDS=1-2535	YJR030C
OG0001849	snap_masked-CANI0S09-processed-gene-5.97-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.97&CDS=1-1167	YJR032W
OG0001850	snap_masked-CANI0S09-processed-gene-5.100-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.100&CDS=1-4203	YJR033C
OG0001851	snap_masked-CANI0S09-processed-gene-5.101-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.101&CDS=1-324	YJR034W
OG0001852	snap_masked-CANI0S09-processed-gene-5.102-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.102&CDS=1-1149	YGL090W
OG0001853	snap_masked-CANI0S09-processed-gene-5.128-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.128&CDS=1-414	YGL087C
OG0001854	augustus_masked-CANI0S09-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-5.55&CDS=1-2724	YGL085W
OG0001855	snap_masked-CANI0S09-processed-gene-5.129-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.129&CDS=1-1725	YGL084C
OG0001856	snap_masked-CANI0S09-processed-gene-5.106-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.106&CDS=1-2403	YGL083W
OG0001857	snap_masked-CANI0S09-processed-gene-5.107-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.107&CDS=1-2223	YPL190C
OG0001858	snap_masked-CANI0S09-processed-gene-5.110-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.110&CDS=1-375	YGL080W
OG0001859	snap_masked-CANI0S09-processed-gene-5.111-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.111&CDS=1-597	YGL079W
OG0001860	snap_masked-CANI0S09-processed-gene-5.130-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.130&CDS=1-1557	YGL078C
OG0001861	snap_masked-CANI0S09-processed-gene-5.131-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.131&CDS=1-1623	YGL077C
OG0001862	snap_masked-CANI0S09-processed-gene-5.112-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.112&CDS=1-1959	YGL073W
OG0001863	snap_masked-CANI0S09-processed-gene-5.133-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.133&CDS=1-366	YGL070C
OG0001864	genemark-CANI0S09-processed-gene-5.17-mRNA-1_1&gene=genemark-CANI0S09-processed-gene-5.17&CDS=1-528	YGL068W
OG0001865	snap_masked-CANI0S09-processed-gene-5.134-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.134&CDS=1-1482	YPL204W
OG0001866	maker-CANI0S09-augustus-gene-5.145-mRNA-1_1&gene=maker-CANI0S09-augustus-gene-5.145&CDS=1-2445	YNL012W
OG0001867	snap_masked-CANI0S09-processed-gene-5.135-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.135&CDS=1-1473	YNL011C
OG0001868	snap_masked-CANI0S09-processed-gene-5.136-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.136&CDS=1-1278	YMR208W
OG0001869	augustus_masked-CANI0S09-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-5.66&CDS=1-1593	YMR215W
OG0001870	snap_masked-CANI0S09-processed-gene-5.137-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.137&CDS=1-1968	YMR216C
OG0001871	snap_masked-CANI0S09-processed-gene-5.118-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.118&CDS=1-1575	YMR217W
OG0001872	snap_masked-CANI0S09-processed-gene-5.138-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.138&CDS=1-3303	YMR218C
OG0001873	snap_masked-CANI0S09-processed-gene-5.120-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.120&CDS=1-1335	YMR220W
OG0001874	snap_masked-CANI0S09-processed-gene-5.139-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.139&CDS=1-1515	YMR221C
OG0001875	snap_masked-CANI0S09-processed-gene-5.121-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.121&CDS=1-2004	YBR216C
OG0001876	augustus_masked-CANI0S09-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-5.88&CDS=1-1284	YBR215W
OG0001877	snap_masked-CANI0S09-processed-gene-5.142-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.142&CDS=1-2196	YBR212W
OG0001878	snap_masked-CANI0S09-processed-gene-5.122-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.122&CDS=1-945	YBR211C
OG0001879	snap_masked-CANI0S09-processed-gene-5.143-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.143&CDS=1-666	YDR472W
OG0001880	augustus_masked-CANI0S09-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-5.73&CDS=1-1542	YDR470C
OG0001881	snap_masked-CANI0S09-processed-gene-5.144-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.144&CDS=1-645	YDR469W
OG0001882	snap_masked-CANI0S09-processed-gene-5.126-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-5.126&CDS=1-687	YDR468C
OG0001883	snap_masked-CANI0S09-processed-gene-6.86-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.86&CDS=1-2880	YDR466W
OG0001884	snap_masked-CANI0S09-processed-gene-6.85-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.85&CDS=1-1218	YDR465C
OG0001885	snap_masked-CANI0S09-processed-gene-6.87-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.87&CDS=1-5205	YDR464W
OG0001886	snap_masked-CANI0S09-processed-gene-6.106-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.106&CDS=1-423	YDR462W
OG0001887	augustus_masked-CANI0S09-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.23&CDS=1-969	YDR460W
OG0001888	augustus_masked-CANI0S09-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.3&CDS=1-1059	YDR459C
OG0001889	snap_masked-CANI0S09-processed-gene-6.108-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.108&CDS=1-9912	YDR457W
OG0001890	snap_masked-CANI0S09-processed-gene-6.89-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.89&CDS=1-555	YDR454C
OG0001891	augustus_masked-CANI0S09-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.25&CDS=1-1950	YDR452W
OG0001892	snap_masked-CANI0S09-processed-gene-6.110-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.110&CDS=1-420	YPR100W
OG0001893	snap_masked-CANI0S09-processed-gene-6.92-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.92&CDS=1-483	YPR098C
OG0001894	snap_masked-CANI0S09-processed-gene-6.93-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.93&CDS=1-2781	YKR069W
OG0001895	snap_masked-CANI0S09-processed-gene-6.111-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.111&CDS=1-1017	YKR071C
OG0001896	augustus_masked-CANI0S09-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.30&CDS=1-1422	YOR056C
OG0001897	maker-CANI0S09-augustus-gene-6.84-mRNA-1_1&gene=maker-CANI0S09-augustus-gene-6.84&CDS=1-1410	YOR061W
OG0001898	snap_masked-CANI0S09-processed-gene-6.95-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.95&CDS=1-1161	YOR063W
OG0001899	snap_masked-CANI0S09-processed-gene-6.96-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.96&CDS=1-1098	YKR076W
OG0001900	snap_masked-CANI0S09-processed-gene-6.115-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.115&CDS=1-2502	YKR079C
OG0001901	augustus_masked-CANI0S09-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.15&CDS=1-972	YKR080W
OG0001902	snap_masked-CANI0S09-processed-gene-6.100-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.100&CDS=1-3450	YKR082W
OG0001903	snap_masked-CANI0S09-processed-gene-6.116-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.116&CDS=1-378	YKR083C
OG0001904	snap_masked-CANI0S09-processed-gene-6.117-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.117&CDS=1-1779	YKR084C
OG0001905	snap_masked-CANI0S09-processed-gene-6.118-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.118&CDS=1-627	YKR085C
OG0001906	augustus_masked-CANI0S09-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.36&CDS=1-1041	YKR087C
OG0001907	snap_masked-CANI0S09-processed-gene-6.120-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.120&CDS=1-999	YKR088C
OG0001908	snap_masked-CANI0S09-processed-gene-6.102-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.102&CDS=1-2223	YKR090W
OG0001909	augustus_masked-CANI0S09-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-6.39&CDS=1-1071	YKR092C
OG0001910	snap_masked-CANI0S09-processed-gene-6.104-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.104&CDS=1-1800	YKR093W
OG0001911	snap_masked-CANI0S09-processed-gene-7.86-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.86&CDS=1-5313	YKR095W
OG0001912	maker-CANI0S09-snap-gene-7.82-mRNA-1_1&gene=maker-CANI0S09-snap-gene-7.82&CDS=1-1998	YKR099W
OG0001913	snap_masked-CANI0S09-processed-gene-7.103-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.103&CDS=1-1023	YKR100C
OG0001914	snap_masked-CANI0S09-processed-gene-7.107-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.107&CDS=1-1080	YKL060C
OG0001915	augustus_masked-CANI0S09-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-7.6&CDS=1-954	YEL009C
OG0001916	augustus_masked-CANI0S09-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-7.9&CDS=1-333	YEL003W
OG0001917	genemark-CANI0S09-processed-gene-7.65-mRNA-1_1&gene=genemark-CANI0S09-processed-gene-7.65&CDS=1-1266	YEL002C
OG0001918	snap_masked-CANI0S09-processed-gene-7.110-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.110&CDS=1-663	YEL001C
OG0001919	snap_masked-CANI0S09-processed-gene-7.111-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.111&CDS=1-615	YKL001C
OG0001920	snap_masked-CANI0S09-processed-gene-7.112-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.112&CDS=1-2127	YKR001C
OG0001921	snap_masked-CANI0S09-processed-gene-7.93-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.93&CDS=1-1701	YKR002W
OG0001922	augustus_masked-CANI0S09-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-7.29&CDS=1-1491	YKR006C
OG0001923	snap_masked-CANI0S09-processed-gene-7.94-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.94&CDS=1-498	YKR007W
OG0001924	snap_masked-CANI0S09-processed-gene-7.95-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.95&CDS=1-1677	YKR008W
OG0001925	snap_masked-CANI0S09-processed-gene-7.116-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.116&CDS=1-2697	YKR009C
OG0001926	snap_masked-CANI0S09-processed-gene-7.117-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.117&CDS=1-1443	YBR288C
OG0001927	snap_masked-CANI0S09-processed-gene-7.96-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.96&CDS=1-3045	YBR289W
OG0001928	snap_masked-CANI0S09-processed-gene-7.97-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.97&CDS=1-930	YBR290W
OG0001929	maker-CANI0S09-augustus-gene-7.85-mRNA-1_1&gene=maker-CANI0S09-augustus-gene-7.85&CDS=1-2337	YBR291C
OG0001930	snap_masked-CANI0S09-processed-gene-7.98-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.98&CDS=1-1947	YKL029C
OG0001931	augustus_masked-CANI0S09-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-7.16&CDS=1-549	YBR047W
OG0001932	snap_masked-CANI0S09-processed-gene-7.125-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.125&CDS=1-1032	YBR053C
OG0001933	snap_masked-CANI0S09-processed-gene-7.126-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.126&CDS=1-2541	YBR055C
OG0001934	snap_masked-CANI0S09-processed-gene-7.101-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.101&CDS=1-1473	YBR056W
OG0001935	snap_masked-CANI0S09-processed-gene-7.102-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.102&CDS=1-1116	YDR035W
OG0001936	snap_masked-CANI0S09-processed-gene-8.114-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.114&CDS=1-1350	YBR057C
OG0001937	snap_masked-CANI0S09-processed-gene-8.115-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.115&CDS=1-2343	YBR058C
OG0001938	snap_masked-CANI0S09-processed-gene-8.113-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.113&CDS=1-4530	YJR092W
OG0001939	genemark-CANI0S09-processed-gene-8.33-mRNA-1_1&gene=genemark-CANI0S09-processed-gene-8.33&CDS=1-1005	YJR093C
OG0001940	snap_masked-CANI0S09-processed-gene-8.118-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.118&CDS=1-1023	YJR095W
OG0001941	snap_masked-CANI0S09-processed-gene-8.119-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.119&CDS=1-861	YJR096W
OG0001942	snap_masked-CANI0S09-processed-gene-8.120-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.120&CDS=1-534	YJR097W
OG0001943	snap_masked-CANI0S09-processed-gene-8.148-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.148&CDS=1-2166	YJR098C
OG0001944	snap_masked-CANI0S09-processed-gene-8.121-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.121&CDS=1-699	YJR099W
OG0001945	snap_masked-CANI0S09-processed-gene-8.149-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.149&CDS=1-984	YJR100C
OG0001946	snap_masked-CANI0S09-processed-gene-8.122-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.122&CDS=1-807	YJR101W
OG0001947	snap_masked-CANI0S09-processed-gene-8.150-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.150&CDS=1-519	YJR102C
OG0001948	snap_masked-CANI0S09-processed-gene-8.151-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.151&CDS=1-462	YJR104C
OG0001949	snap_masked-CANI0S09-processed-gene-8.152-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.152&CDS=1-819	YJR115W
OG0001950	augustus_masked-CANI0S09-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-8.68&CDS=1-837	YJR113C
OG0001951	augustus_masked-CANI0S09-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-8.95&CDS=1-1041	YJR112W
OG0001952	snap_masked-CANI0S09-processed-gene-8.124-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.124&CDS=1-873	YJR111C
OG0001953	maker-CANI0S09-snap-gene-8.0-mRNA-1_1&gene=maker-CANI0S09-snap-gene-8.0&CDS=1-1920	YJR110W
OG0001954	snap_masked-CANI0S09-processed-gene-8.155-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.155&CDS=1-1092	YJR107W
OG0001955	snap_masked-CANI0S09-processed-gene-8.156-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.156&CDS=1-1542	YJR106W
OG0001956	snap_masked-CANI0S09-processed-gene-8.157-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.157&CDS=1-1014	YJR105W
OG0001957	snap_masked-CANI0S09-processed-gene-8.158-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.158&CDS=1-3168	YAR019C
OG0001958	snap_masked-CANI0S09-processed-gene-8.159-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.159&CDS=1-2112	YOL057W
OG0001959	snap_masked-CANI0S09-processed-gene-8.160-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.160&CDS=1-1260	YOL058W
OG0001960	snap_masked-CANI0S09-processed-gene-8.130-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.130&CDS=1-1932	YOL060C
OG0001961	snap_masked-CANI0S09-processed-gene-8.162-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.162&CDS=1-1458	YOL061W
OG0001962	snap_masked-CANI0S09-processed-gene-8.131-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.131&CDS=1-1428	YOL062C
OG0001963	snap_masked-CANI0S09-processed-gene-8.132-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.132&CDS=1-2634	YOL063C
OG0001964	snap_masked-CANI0S09-processed-gene-8.133-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.133&CDS=1-1071	YOL064C
OG0001965	snap_masked-CANI0S09-processed-gene-8.134-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.134&CDS=1-1113	YOL065C
OG0001966	snap_masked-CANI0S09-processed-gene-8.136-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.136&CDS=1-2520	YDL040C
OG0001967	snap_masked-CANI0S09-processed-gene-8.137-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.137&CDS=1-609	YOL067C
OG0001968	augustus_masked-CANI0S09-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-8.105&CDS=1-1383	YOL069W
OG0001969	augustus_masked-CANI0S09-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-8.107&CDS=1-2196	YMR001C
OG0001970	snap_masked-CANI0S09-processed-gene-8.141-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.141&CDS=1-477	YMR002W
OG0001971	snap_masked-CANI0S09-processed-gene-8.142-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.142&CDS=1-1545	YMR004W
OG0001972	snap_masked-CANI0S09-processed-gene-8.143-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.143&CDS=1-1023	YMR005W
OG0001973	augustus_masked-CANI0S09-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-8.109&CDS=1-1551	YML043C
OG0001974	snap_masked-CANI0S09-processed-gene-8.168-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.168&CDS=1-825	YML041C
OG0001975	snap_masked-CANI0S09-processed-gene-8.169-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.169&CDS=1-1977	YML042W
OG0001976	snap_masked-CANI0S09-processed-gene-8.145-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.145&CDS=1-1113	YEL050C
OG0001977	snap_masked-CANI0S09-processed-gene-8.170-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.170&CDS=1-789	YEL051W
OG0001978	snap_masked-CANI0S11-processed-gene-0.2-mRNA-1_1&gene=snap_masked-CANI0S11-processed-gene-0.2&CDS=1-990	YCL055W
OG0001979	snap_masked-CANI0S15-processed-gene-0.84-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.84&CDS=1-1938	YEL062W
OG0001980	augustus_masked-CANI0S15-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.21&CDS=1-669	YLR079W
OG0001981	augustus_masked-CANI0S15-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.1&CDS=1-699	YLR078C
OG0001982	augustus_masked-CANI0S15-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.22&CDS=1-1707	YLR077W
OG0001983	snap_masked-CANI0S15-processed-gene-0.85-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.85&CDS=1-594	YLR073C
OG0001984	augustus_masked-CANI0S15-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.3&CDS=1-3036	YLR071C
OG0001985	snap_masked-CANI0S15-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.87&CDS=1-2259	YLR069C
OG0001986	snap_masked-CANI0S15-processed-gene-0.106-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.106&CDS=1-441	YLR068W
OG0001987	augustus_masked-CANI0S15-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.5&CDS=1-2907	YLR067C
OG0001988	snap_masked-CANI0S15-processed-gene-0.107-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.107&CDS=1-645	YLR066W
OG0001989	snap_masked-CANI0S15-processed-gene-0.89-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.89&CDS=1-525	YLR065C
OG0001990	snap_masked-CANI0S15-processed-gene-0.108-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.108&CDS=1-936	YLR063W
OG0001991	maker-CANI0S15-snap-gene-0.80-mRNA-1_1&gene=maker-CANI0S15-snap-gene-0.80&CDS=1-360	YLR061W
OG0001992	snap_masked-CANI0S15-processed-gene-0.110-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.110&CDS=1-1785	YLR060W
OG0001993	snap_masked-CANI0S15-processed-gene-0.91-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.91&CDS=1-708	YLR059C
OG0001994	augustus_masked-CANI0S15-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.29&CDS=1-2472	YLR057W
OG0001995	snap_masked-CANI0S15-processed-gene-0.112-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.112&CDS=1-1092	YLR056W
OG0001996	snap_masked-CANI0S15-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.93&CDS=1-1815	YLR055C
OG0001997	snap_masked-CANI0S15-processed-gene-0.94-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.94&CDS=1-2391	YLR054C
OG0001998	augustus_masked-CANI0S15-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-0.32&CDS=1-945	YLR052W
OG0001999	snap_masked-CANI0S15-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.96&CDS=1-675	YLR051C
OG0002000	snap_masked-CANI0S15-processed-gene-0.115-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.115&CDS=1-1479	YFL018C
OG0002001	snap_masked-CANI0S15-processed-gene-0.116-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.116&CDS=1-1284	YLR049C
OG0002002	snap_masked-CANI0S15-processed-gene-0.98-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.98&CDS=1-2823	YEL032W
OG0002003	snap_masked-CANI0S15-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.99&CDS=1-3639	YEL031W
OG0002004	snap_masked-CANI0S15-processed-gene-0.121-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.121&CDS=1-1836	YML046W
OG0002005	snap_masked-CANI0S15-processed-gene-0.122-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-0.122&CDS=1-1146	YML048W
