	Candida_intermedia	Saccharomyces_cerevisiae
OG0001361	-processed-gene-7.102-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.102&CDS=1-537	YOR252W
OG0001362	-processed-gene-7.105-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.105&CDS=1-2583	YER069W
OG0001363	-processed-gene-7.106-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.106&CDS=1-1251	YCR095C
OG0001364	-processed-gene-7.107-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.107&CDS=1-1920	YDR194C
OG0001365	-processed-gene-7.126-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.126&CDS=1-2202	YOR154W
OG0001366	-processed-gene-7.108-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.108&CDS=1-1164	YGL246C
OG0001367	-processed-gene-7.109-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.109&CDS=1-1455	YDR256C
OG0001368	-processed-gene-7.114-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-7.114&CDS=1-975	YDL209C
OG0001369	-processed-gene-8.5-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.5&CDS=1-3096	YDR243C
OG0001370	-processed-gene-8.51-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.51&CDS=1-1611	YMR300C
OG0001371	-processed-gene-8.52-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.52&CDS=1-1587	YDL160C
OG0001372	-processed-gene-8.96-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.96&CDS=1-3129	YNL163C
OG0001373	-processed-gene-8.103-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.103&CDS=1-1461	YPL262W
OG0001374	-processed-gene-8.104-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.104&CDS=1-1518	YPL214C
OG0001375	-processed-gene-8.105-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.105&CDS=1-1512	YHR134W
OG0001376	-processed-gene-8.108-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.108&CDS=1-1320	YHR111W
OG0001377	-processed-gene-8.130-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.130&CDS=1-624	YBL102W
OG0001378	-processed-gene-8.131-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.131&CDS=1-450	YDL125C
OG0001379	-processed-gene-8.110-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.110&CDS=1-2478	YDL126C
OG0001380	-processed-gene-8.135-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.135&CDS=1-378	YOR122C
OG0001381	-processed-gene-8.136-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.136&CDS=1-1770	YDR390C
OG0001382	-processed-gene-8.137-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.137&CDS=1-714	YPR183W
OG0001383	-processed-gene-8.138-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.138&CDS=1-2001	YDL167C
OG0001384	-processed-gene-8.117-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.117&CDS=1-705	YJR099W
OG0001385	-processed-gene-8.141-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.141&CDS=1-1302	YPR045C
OG0001386	-snap-gene-8.2-mRNA-1_1&gene=maker-gi|1002316278|dbj|BCGD01000005.1|-snap-gene-8.2&CDS=1-1779	YBR007C
OG0001387	-processed-gene-8.119-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.119&CDS=1-1866	YNL045W
OG0001388	-processed-gene-8.120-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.120&CDS=1-525	YNL044W
OG0001389	-processed-gene-8.143-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-8.143&CDS=1-198	YJL189W
OG0001390	-processed-gene-9.2-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.2&CDS=1-8319	YCR032W
OG0001391	-processed-gene-9.0-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.0&CDS=1-3744	YJL197W
OG0001392	-processed-gene-9.20-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.20&CDS=1-1068	YCR035C
OG0001393	-processed-gene-9.3-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.3&CDS=1-6378	YDL171C
OG0001394	-processed-gene-9.21-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.21&CDS=1-1779	YHR108W
OG0001395	-processed-gene-9.6-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.6&CDS=1-321	YDR357C
OG0001396	-processed-gene-9.23-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.23&CDS=1-954	YDR204W
OG0001397	-processed-gene-9.7-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.7&CDS=1-492	YDR201W
OG0001398	-processed-gene-9.25-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.25&CDS=1-897	YLR239C
OG0001399	-processed-gene-9.10-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.10&CDS=1-1098	YLR246W
OG0001400	-processed-gene-9.58-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.58&CDS=1-4584	YDR180W
OG0001401	-processed-gene-9.59-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.59&CDS=1-1422	YDR182W
OG0001402	-processed-gene-9.29-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.29&CDS=1-2484	YLR166C
OG0001403	-processed-gene-9.30-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.30&CDS=1-450	YLR167W
OG0001404	-processed-gene-9.31-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.31&CDS=1-639	YDR183W
OG0001405	-processed-gene-9.13-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.13&CDS=1-1395	YLR163C
OG0001406	-processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.34&CDS=1-1908	YDR176W
OG0001407	-processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.35&CDS=1-921	YDR175C
OG0001408	-processed-gene-9.36-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.36&CDS=1-1242	YMR114C
OG0001409	-processed-gene-9.39-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.39&CDS=1-2349	YBR080C
OG0001410	-processed-gene-9.16-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.16&CDS=1-537	YDR305C
OG0001411	-processed-gene-9.17-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.17&CDS=1-813	YHR058C
OG0001412	-processed-gene-9.88-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.88&CDS=1-621	YDR304C
OG0001413	-processed-gene-9.41-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.41&CDS=1-474	YHR059W
OG0001414	-processed-gene-9.42-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.42&CDS=1-972	YOR142W
OG0001415	-processed-gene-9.43-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.43&CDS=1-2463	YOR141C
OG0001416	-processed-gene-9.18-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.18&CDS=1-1128	YDR346C
OG0001417	-processed-gene-9.93-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.93&CDS=1-3039	YCR011C
OG0001418	-processed-gene-9.94-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.94&CDS=1-3783	YOR124C
OG0001419	-processed-gene-9.19-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-9.19&CDS=1-1332	YDR375C
OG0001420	-processed-gene-10.96-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.96&CDS=1-2238	YDR006C
OG0001421	-processed-gene-10.97-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.97&CDS=1-492	YML030W
OG0001422	-processed-gene-10.98-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.98&CDS=1-885	YOR143C
OG0001423	-processed-gene-10.103-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.103&CDS=1-582	YJR069C
OG0001424	-processed-gene-10.119-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.119&CDS=1-570	YDR339C
OG0001425	-processed-gene-10.105-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.105&CDS=1-1809	YDR341C
OG0001426	-processed-gene-10.122-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.122&CDS=1-519	YDR404C
OG0001427	-processed-gene-10.107-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.107&CDS=1-522	YOR150W
OG0001428	-processed-gene-10.123-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.123&CDS=1-3696	YOR151C
OG0001429	-processed-gene-10.108-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.108&CDS=1-918	YDR405W
OG0001430	-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.10&CDS=1-219	YNL259C
OG0001431	-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.26&CDS=1-2256	YNL258C
OG0001432	-processed-gene-10.109-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.109&CDS=1-2544	YNL127W
OG0001433	-processed-gene-10.110-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.110&CDS=1-423	YNL131W
OG0001434	-processed-gene-10.128-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.128&CDS=1-1191	YNL130C
OG0001435	-processed-gene-10.111-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.111&CDS=1-606	YHR121W
OG0001436	-processed-gene-10.129-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.129&CDS=1-1107	YNL128W
OG0001437	-processed-gene-10.112-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.112&CDS=1-417	YNL135C
OG0001438	-processed-gene-10.113-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.113&CDS=1-618	YHR122W
OG0001439	-processed-gene-10.114-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.114&CDS=1-1146	YBL086C
OG0001440	-snap-gene-10.95-mRNA-1_1&gene=maker-gi|1002316278|dbj|BCGD01000005.1|-snap-gene-10.95&CDS=1-363	YER112W
OG0001441	-processed-gene-10.135-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.135&CDS=1-2091	YLR258W
OG0001442	-processed-gene-10.136-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.136&CDS=1-2817	YCR057C
OG0001443	-processed-gene-10.137-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.137&CDS=1-858	YCR059C
OG0001444	-processed-gene-10.139-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.139&CDS=1-1182	YCR045C
OG0001445	-processed-gene-10.140-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-10.140&CDS=1-6636	YNR016C
OG0001446	-processed-gene-11.1-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.1&CDS=1-627	YNR017W
OG0001447	-processed-gene-11.4-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.4&CDS=1-1209	YNR015W
OG0001448	-processed-gene-11.5-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.5&CDS=1-1077	YAL034W-A
OG0001449	-processed-gene-11.151-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.151&CDS=1-2730	YAL031C
OG0001450	-processed-gene-11.7-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.7&CDS=1-900	YOR340C
OG0001451	-processed-gene-11.40-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.40&CDS=1-1221	YOR334W
OG0001452	-processed-gene-11.41-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.41&CDS=1-678	YOR332W
OG0001453	-processed-gene-11.42-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.42&CDS=1-840	YOR100C
OG0001454	-processed-gene-11.43-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.43&CDS=1-2580	YNL126W
OG0001455	-processed-gene-11.44-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.44&CDS=1-1710	YDR232W
OG0001456	-processed-gene-11.9-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.9&CDS=1-1485	YDR376W
OG0001457	-processed-gene-11.193-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.193&CDS=1-1050	YJR107W
OG0001458	-processed-gene-11.194-mRNA-1_1&gene=snap_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.194&CDS=1-249	YKL053C-A
OG0001459	-processed-gene-11.11-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.11&CDS=1-402	YDR379C-A
OG0001460	-processed-gene-11.47-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.47&CDS=1-1377	YEL036C
OG0001461	-processed-gene-11.12-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.12&CDS=1-3510	YFR031C
OG0001462	-processed-gene-11.48-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.48&CDS=1-1428	YLR324W
OG0001463	-processed-gene-11.13-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.13&CDS=1-852	YLR325C
OG0001464	-processed-gene-11.49-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.49&CDS=1-1170	YGR005C
OG0001465	-processed-gene-11.14-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.14&CDS=1-1404	YGL017W
OG0001466	-processed-gene-11.16-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.16&CDS=1-408	YGL191W
OG0001467	-processed-gene-11.50-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.50&CDS=1-1515	YGL190C
OG0001468	-augustus-gene-11.228-mRNA-1_1&gene=maker-gi|1002316278|dbj|BCGD01000005.1|-augustus-gene-11.228&CDS=1-468	YGL187C
OG0001469	-processed-gene-11.19-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.19&CDS=1-3684	YBL007C
OG0001470	-snap-gene-11.235-mRNA-1_1&gene=maker-gi|1002316278|dbj|BCGD01000005.1|-snap-gene-11.235&CDS=1-1641	YGL192W
OG0001471	-processed-gene-11.52-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.52&CDS=1-570	YGL010W
OG0001472	-processed-gene-11.53-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.53&CDS=1-2238	YGL022W
OG0001473	-processed-gene-11.54-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.54&CDS=1-2283	YGL023C
OG0001474	-processed-gene-11.130-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.130&CDS=1-363	YKL137W
OG0001475	-processed-gene-11.57-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.57&CDS=1-339	YKL138C
OG0001476	-processed-gene-11.133-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.133&CDS=1-540	YGR016W
OG0001477	-processed-gene-11.23-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.23&CDS=1-3441	YGR014W
OG0001478	-processed-gene-11.134-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.134&CDS=1-1686	YGR013W
OG0001479	-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.98&CDS=1-2217	YML046W
OG0001480	-processed-gene-11.61-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.61&CDS=1-1863	YJR052W
OG0001481	-processed-gene-11.62-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.62&CDS=1-804	YGR024C
OG0001482	-processed-gene-11.26-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.26&CDS=1-3501	YPR010C
OG0001483	-processed-gene-11.27-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.27&CDS=1-960	YGL154C
OG0001484	-processed-gene-11.28-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.28&CDS=1-1143	YGL155W
OG0001485	-processed-gene-11.29-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.29&CDS=1-933	YDL119C
OG0001486	-processed-gene-11.30-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.30&CDS=1-1185	YGL153W
OG0001487	-processed-gene-11.34-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.34&CDS=1-3234	YDL102W
OG0001488	-processed-gene-11.35-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.35&CDS=1-939	YMR161W
OG0001489	-processed-gene-11.36-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.36&CDS=1-858	YNL202W
OG0001490	-processed-gene-11.69-mRNA-1_1&gene=genemark-gi|1002316278|dbj|BCGD01000005.1|-processed-gene-11.69&CDS=1-915	YIL164C
OG0001491	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.83&CDS=1-807	YMR234W
OG0001492	-processed-gene-0.84-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.84&CDS=1-1635	YAR018C
OG0001493	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.101&CDS=1-912	YAR015W
OG0001494	-processed-gene-0.85-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.85&CDS=1-597	YKL001C
OG0001495	-processed-gene-0.104-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.104&CDS=1-6453	YJL207C
OG0001496	-processed-gene-0.105-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.105&CDS=1-1533	YDR539W
OG0001497	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.86&CDS=1-795	YDR538W
OG0001498	-augustus-gene-0.82-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-augustus-gene-0.82&CDS=1-2868	YDR026C
OG0001499	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.87&CDS=1-2886	YDR166C
OG0001500	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.8&CDS=1-252	YLR038C
OG0001501	-processed-gene-0.109-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.109&CDS=1-690	YMR132C
OG0001502	-processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.12&CDS=1-6690	YCR093W
OG0001503	-processed-gene-0.94-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.94&CDS=1-657	YDR177W
OG0001504	-processed-gene-0.112-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.112&CDS=1-519	YBL090W
OG0001505	-processed-gene-0.113-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.113&CDS=1-2532	YIL143C
OG0001506	-processed-gene-0.114-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.114&CDS=1-888	YJR096W
OG0001507	-snap-gene-0.80-mRNA-1_1&gene=maker-gi|1002316279|dbj|BCGD01000004.1|-snap-gene-0.80&CDS=1-1017	YKR092C
OG0001508	-processed-gene-0.37-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.37&CDS=1-237	YCR020C-A
OG0001509	-processed-gene-0.119-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.119&CDS=1-522	YCR046C
OG0001510	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-0.120&CDS=1-807	YCR047C
OG0001511	-processed-gene-1.51-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.51&CDS=1-699	YNR020C
OG0001512	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.47&CDS=1-621	YCR051W
OG0001513	-processed-gene-1.48-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.48&CDS=1-1119	YNR021W
OG0001514	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.97&CDS=1-1113	YHR040W
OG0001515	-processed-gene-1.50-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.50&CDS=1-678	YOR319W
OG0001516	-processed-gene-1.75-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.75&CDS=1-2217	YPR022C
OG0001517	-processed-gene-1.57-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.57&CDS=1-999	YBR046C
OG0001518	-processed-gene-1.58-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.58&CDS=1-1419	YNR023W
OG0001519	-processed-gene-1.60-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.60&CDS=1-756	YNL312W
OG0001520	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.79&CDS=1-5154	YLR247C
OG0001521	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.80&CDS=1-1509	YLR248W
OG0001522	-processed-gene-1.61-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.61&CDS=1-723	YNL010W
OG0001523	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.62&CDS=1-1530	YOL122C
OG0001524	-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.110&CDS=1-1311	YPL203W
OG0001525	-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.130&CDS=1-336	YGL070C
OG0001526	-processed-gene-1.64-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.64&CDS=1-495	YGL068W
OG0001527	-processed-gene-1.66-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.66&CDS=1-717	YKL206C
OG0001528	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.87&CDS=1-1572	YDL178W
OG0001529	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.88&CDS=1-627	YDL177C
OG0001530	-processed-gene-1.69-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.69&CDS=1-396	YKL170W
OG0001531	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.70&CDS=1-2157	YIL078W
OG0001532	-processed-gene-1.23-mRNA-1_1&gene=snap_masked-gi|1002316279|dbj|BCGD01000004.1|-processed-gene-1.23&CDS=1-2178	YOR022C
