	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0001927	snap_masked-JFAV02000171.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-JFAV02000171.1-processed-gene-0.8&CDS=1-2739	YOR066W
OG0001928	augustus_masked-JFAV02000171.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.79&CDS=1-1701	YOR067C
OG0001929	snap_masked-JFAV02000171.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000171.1-processed-gene-0.9&CDS=1-2070	YOR069W
OG0001930	augustus_masked-JFAV02000171.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.80&CDS=1-2508	YKR079C
OG0001931	augustus_masked-JFAV02000171.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.81&CDS=1-1773	YOR070C
OG0001932	augustus_masked-JFAV02000171.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.82&CDS=1-837	YOR065W
OG0001933	augustus_masked-JFAV02000171.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-JFAV02000171.1-processed-gene-0.83&CDS=1-1161	YOR063W
OG0001934	augustus_masked-JFAV02000172.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000172.1-processed-gene-0.6&CDS=1-1449	YOR046C
OG0001935	genemark-JFAV02000172.1-processed-gene-0.2-mRNA-1_1&gene=genemark-JFAV02000172.1-processed-gene-0.2&CDS=1-150	YDR276C
OG0001936	augustus_masked-JFAV02000174.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.26&CDS=1-663	YFL031W
OG0001937	augustus_masked-JFAV02000174.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.27&CDS=1-888	YLR351C
OG0001938	augustus_masked-JFAV02000174.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.20&CDS=1-1167	YGR040W
OG0001939	augustus_masked-JFAV02000174.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.22&CDS=1-1005	YPR127W
OG0001940	augustus_masked-JFAV02000174.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.29&CDS=1-1008	YLR354C
OG0001941	maker-JFAV02000174.1-augustus-gene-0.36-mRNA-1_1&gene=maker-JFAV02000174.1-augustus-gene-0.36&CDS=1-3024	YPR004C
OG0001942	augustus_masked-JFAV02000174.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.30&CDS=1-1581	YFR006W
OG0001943	maker-JFAV02000174.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000174.1-snap-gene-0.0&CDS=1-1383	YFR005C
OG0001944	augustus_masked-JFAV02000174.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.31&CDS=1-924	YFR004W
OG0001945	augustus_masked-JFAV02000174.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.32&CDS=1-3075	YFR002W
OG0001946	augustus_masked-JFAV02000174.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.33&CDS=1-642	YFR001W
OG0001947	augustus_masked-JFAV02000174.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-JFAV02000174.1-processed-gene-0.35&CDS=1-1932	YFL002C
OG0001948	augustus_masked-JFAV02000175.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000175.1-processed-gene-0.6&CDS=1-1467	YFL001W
OG0001949	snap_masked-JFAV02000175.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-JFAV02000175.1-processed-gene-0.5&CDS=1-828	YPL002C
OG0001950	augustus_masked-JFAV02000175.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000175.1-processed-gene-0.7&CDS=1-2391	YLL043W
OG0001951	augustus_masked-JFAV02000176.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.1&CDS=1-834	YMR087W
OG0001952	augustus_masked-JFAV02000176.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.23&CDS=1-1725	YMR088C
OG0001953	augustus_masked-JFAV02000176.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.25&CDS=1-1434	YMR091C
OG0001954	snap_masked-JFAV02000176.1-processed-gene-0.73-mRNA-1_1&gene=snap_masked-JFAV02000176.1-processed-gene-0.73&CDS=1-1221	YKL098W
OG0001955	augustus_masked-JFAV02000176.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.2&CDS=1-780	YKL099C
OG0001956	augustus_masked-JFAV02000176.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.3&CDS=1-2076	YMR106C
OG0001957	augustus_masked-JFAV02000176.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.5&CDS=1-2004	YKL125W
OG0001958	augustus_masked-JFAV02000176.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.7&CDS=1-1791	YKL124W
OG0001959	augustus_masked-JFAV02000176.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.8&CDS=1-972	YKL120W
OG0001960	snap_masked-JFAV02000176.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-JFAV02000176.1-processed-gene-0.55&CDS=1-1236	YMR101C
OG0001961	augustus_masked-JFAV02000176.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.28&CDS=1-687	YKL119C
OG0001962	snap_masked-JFAV02000176.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-JFAV02000176.1-processed-gene-0.58&CDS=1-435	YMR107W
OG0001963	augustus_masked-JFAV02000176.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.12&CDS=1-861	YKL128C
OG0001964	augustus_masked-JFAV02000176.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.13&CDS=1-2070	YMR108W
OG0001965	augustus_masked-JFAV02000176.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.14&CDS=1-3756	YMR109W
OG0001966	augustus_masked-JFAV02000176.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.15&CDS=1-870	YKL130C
OG0001967	augustus_masked-JFAV02000176.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.30&CDS=1-1233	YMR111C
OG0001968	snap_masked-JFAV02000176.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-JFAV02000176.1-processed-gene-0.64&CDS=1-1608	YMR115W
OG0001969	augustus_masked-JFAV02000176.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.18&CDS=1-2331	YKL134C
OG0001970	maker-JFAV02000176.1-augustus-gene-0.43-mRNA-1_1&gene=maker-JFAV02000176.1-augustus-gene-0.43&CDS=1-954	YMR116C
OG0001971	augustus_masked-JFAV02000176.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.19&CDS=1-2082	YKL135C
OG0001972	augustus_masked-JFAV02000176.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.33&CDS=1-312	YKL137W
OG0001973	augustus_masked-JFAV02000176.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.20&CDS=1-393	YKL138C
OG0001974	augustus_masked-JFAV02000176.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.21&CDS=1-312	YKL138C-A
OG0001975	genemark-JFAV02000176.1-processed-gene-0.125-mRNA-1_1&gene=genemark-JFAV02000176.1-processed-gene-0.125&CDS=1-1659	YKL140W
OG0001976	augustus_masked-JFAV02000176.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.36&CDS=1-597	YKL141W
OG0001977	augustus_masked-JFAV02000176.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.38&CDS=1-729	YLR025W
OG0001978	augustus_masked-JFAV02000176.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.39&CDS=1-1041	YLR026C
OG0001979	augustus_masked-JFAV02000176.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.40&CDS=1-1251	YLR027C
OG0001980	augustus_masked-JFAV02000176.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.41&CDS=1-1788	YMR120C
OG0001981	maker-JFAV02000177.1-augustus-gene-0.129-mRNA-1_1&gene=maker-JFAV02000177.1-augustus-gene-0.129&CDS=1-3309	YKL170W
OG0001982	maker-JFAV02000177.1-augustus-gene-0.130-mRNA-1_1&gene=maker-JFAV02000177.1-augustus-gene-0.130&CDS=1-1326	YJL167W
OG0001983	augustus_masked-JFAV02000177.1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.109&CDS=1-1317	YKL172W
OG0001984	augustus_masked-JFAV02000177.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.110&CDS=1-2790	YKL173W
OG0001985	augustus_masked-JFAV02000177.1-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.111&CDS=1-1923	YKL175W
OG0001986	augustus_masked-JFAV02000177.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.88&CDS=1-3348	YKL176C
OG0001987	augustus_masked-JFAV02000177.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.89&CDS=1-3297	YJL168C
OG0001988	maker-JFAV02000177.1-snap-gene-0.83-mRNA-1_1&gene=maker-JFAV02000177.1-snap-gene-0.83&CDS=1-2568	YJL171C
OG0001989	augustus_masked-JFAV02000177.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.91&CDS=1-1374	YKL178C
OG0001990	augustus_masked-JFAV02000177.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.92&CDS=1-456	YJL173C
OG0001991	augustus_masked-JFAV02000177.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.93&CDS=1-3021	YJL176C
OG0001992	snap_masked-JFAV02000177.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000177.1-processed-gene-0.9&CDS=1-2769	YJL178C
OG0001993	augustus_masked-JFAV02000177.1-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.117&CDS=1-360	YJL179W
OG0001994	augustus_masked-JFAV02000177.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.96&CDS=1-1020	YJL180C
OG0001995	augustus_masked-JFAV02000177.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.118&CDS=1-1266	YJL183W
OG0001996	augustus_masked-JFAV02000177.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.119&CDS=1-1680	YCR028C
OG0001997	augustus_masked-JFAV02000177.1-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.120&CDS=1-381	YJL184W
OG0001998	genemark-JFAV02000177.1-processed-gene-0.74-mRNA-1_1&gene=genemark-JFAV02000177.1-processed-gene-0.74&CDS=1-363	YCR028C-A
OG0001999	augustus_masked-JFAV02000177.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.122&CDS=1-2679	YCR030C
OG0002000	augustus_masked-JFAV02000177.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.98&CDS=1-3279	YJL187C
OG0002001	augustus_masked-JFAV02000177.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.100&CDS=1-714	YJL192C
OG0002002	augustus_masked-JFAV02000177.1-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.101&CDS=1-5151	YCR032W
OG0002003	genemark-JFAV02000177.1-processed-gene-0.77-mRNA-1_1&gene=genemark-JFAV02000177.1-processed-gene-0.77&CDS=1-1059	YJL193W
OG0002004	augustus_masked-JFAV02000177.1-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.125&CDS=1-1935	YJL194W
OG0002005	augustus_masked-JFAV02000177.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.102&CDS=1-4872	YCR033W
OG0002006	augustus_masked-JFAV02000177.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.103&CDS=1-1017	YCR034W
OG0002007	augustus_masked-JFAV02000177.1-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.126&CDS=1-1092	YCR035C
OG0002008	augustus_masked-JFAV02000177.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.104&CDS=1-1002	YCR036W
OG0002009	maker-JFAV02000177.1-snap-gene-0.84-mRNA-1_1&gene=maker-JFAV02000177.1-snap-gene-0.84&CDS=1-3666	YJL197W
OG0002010	augustus_masked-JFAV02000178.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000178.1-processed-gene-0.4&CDS=1-6114	YDR170C
OG0002011	augustus_masked-JFAV02000178.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000178.1-processed-gene-0.1&CDS=1-1542	YDR171W
OG0002012	augustus_masked-JFAV02000178.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000178.1-processed-gene-0.2&CDS=1-2148	YDR172W
OG0002013	augustus_masked-JFAV02000178.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000178.1-processed-gene-0.5&CDS=1-1014	YDR173C
OG0002014	genemark-JFAV02000181.1-processed-gene-0.0-mRNA-1_1&gene=genemark-JFAV02000181.1-processed-gene-0.0&CDS=1-753	YDR174W
OG0002015	augustus_masked-JFAV02000181.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000181.1-processed-gene-0.18&CDS=1-876	YDR175C
OG0002016	genemark-JFAV02000181.1-processed-gene-0.1-mRNA-1_1&gene=genemark-JFAV02000181.1-processed-gene-0.1&CDS=1-2223	YDR176W
OG0002017	augustus_masked-JFAV02000181.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000181.1-processed-gene-0.19&CDS=1-1446	YLR163C
OG0002018	snap_masked-JFAV02000181.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-JFAV02000181.1-processed-gene-0.25&CDS=1-1632	YDR179W-A
OG0002019	snap_masked-JFAV02000181.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-JFAV02000181.1-processed-gene-0.26&CDS=1-4653	YDR180W
OG0002020	snap_masked-JFAV02000181.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-JFAV02000181.1-processed-gene-0.29&CDS=1-1194	YDR181C
OG0002021	augustus_masked-JFAV02000181.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000181.1-processed-gene-0.17&CDS=1-1536	YDR182W
OG0002022	snap_masked-JFAV02000181.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-JFAV02000181.1-processed-gene-0.30&CDS=1-2727	YLR166C
OG0002023	augustus_masked-JFAV02000182.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.0&CDS=1-675	YDR183W
OG0002024	snap_masked-JFAV02000182.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-JFAV02000182.1-processed-gene-0.34&CDS=1-300	YLR246W
OG0002025	augustus_masked-JFAV02000182.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.10&CDS=1-3042	YDR186C
OG0002026	augustus_masked-JFAV02000182.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.1&CDS=1-1383	YDR190C
OG0002027	augustus_masked-JFAV02000182.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.11&CDS=1-1977	YDR189W
OG0002028	augustus_masked-JFAV02000182.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.12&CDS=1-1674	YDR188W
OG0002029	augustus_masked-JFAV02000182.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.13&CDS=1-1107	YLR244C
OG0002030	genemark-JFAV02000182.1-processed-gene-0.67-mRNA-1_1&gene=genemark-JFAV02000182.1-processed-gene-0.67&CDS=1-663	YLR245C
OG0002031	augustus_masked-JFAV02000182.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.2&CDS=1-1647	YDR191W
OG0002032	augustus_masked-JFAV02000182.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.15&CDS=1-813	YLR243W
OG0002033	genemark-JFAV02000182.1-processed-gene-0.53-mRNA-1_1&gene=genemark-JFAV02000182.1-processed-gene-0.53&CDS=1-801	YLR242C
OG0002034	augustus_masked-JFAV02000182.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.17&CDS=1-2370	YLR241W
OG0002035	augustus_masked-JFAV02000182.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.18&CDS=1-2871	YLR240W
OG0002036	augustus_masked-JFAV02000182.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.19&CDS=1-2157	YDR194C
OG0002037	augustus_masked-JFAV02000182.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.3&CDS=1-1602	YDR195W
OG0002038	augustus_masked-JFAV02000182.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.20&CDS=1-738	YDR196C
OG0002039	augustus_masked-JFAV02000182.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.4&CDS=1-1212	YDR197W
OG0002040	augustus_masked-JFAV02000182.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.5&CDS=1-954	YLR239C
OG0002041	augustus_masked-JFAV02000182.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.22&CDS=1-1179	YDR202C
OG0002042	augustus_masked-JFAV02000182.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.6&CDS=1-957	YDR204W
OG0002043	augustus_masked-JFAV02000182.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.7&CDS=1-1845	YDR205W
OG0002044	augustus_masked-JFAV02000182.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000182.1-processed-gene-0.23&CDS=1-2154	YLR234W
OG0002045	snap_masked-JFAV02000183.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000183.1-processed-gene-0.3&CDS=1-2679	YDR207C
OG0002046	genemark-JFAV02000184.1-processed-gene-0.3-mRNA-1_1&gene=genemark-JFAV02000184.1-processed-gene-0.3&CDS=1-2811	YDR208W
OG0002047	augustus_masked-JFAV02000185.1-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.159&CDS=1-2169	YDR211W
OG0002048	augustus_masked-JFAV02000185.1-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.160&CDS=1-573	YLR229C
OG0002049	augustus_masked-JFAV02000185.1-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.161&CDS=1-1683	YDR212W
OG0002050	augustus_masked-JFAV02000185.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.163&CDS=1-1089	YDR214W
OG0002051	snap_masked-JFAV02000185.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.122&CDS=1-3525	YDR217C
OG0002052	augustus_masked-JFAV02000185.1-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.203&CDS=1-1425	YLR226W
OG0002053	genemark-JFAV02000185.1-processed-gene-0.14-mRNA-1_1&gene=genemark-JFAV02000185.1-processed-gene-0.14&CDS=1-2034	YDR221W
OG0002054	snap_masked-JFAV02000185.1-processed-gene-0.90-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.90&CDS=1-4209	YLR223C
OG0002055	augustus_masked-JFAV02000185.1-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.167&CDS=1-2502	YLR222C
OG0002056	augustus_masked-JFAV02000185.1-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.168&CDS=1-591	YLR221C
OG0002057	genemark-JFAV02000185.1-processed-gene-0.54-mRNA-1_1&gene=genemark-JFAV02000185.1-processed-gene-0.54&CDS=1-891	YLR220W
OG0002058	augustus_masked-JFAV02000185.1-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.170&CDS=1-687	YDR226W
OG0002059	augustus_masked-JFAV02000185.1-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.209&CDS=1-2085	YDR228C
OG0002060	augustus_masked-JFAV02000185.1-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.173&CDS=1-840	YDL198C
OG0002061	augustus_masked-JFAV02000185.1-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.174&CDS=1-840	YDL201W
OG0002062	augustus_masked-JFAV02000185.1-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.211&CDS=1-759	YDL202W
OG0002063	snap_masked-JFAV02000185.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.100&CDS=1-1359	YDR229W
OG0002064	augustus_masked-JFAV02000185.1-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.212&CDS=1-615	YDR231C
OG0002065	snap_masked-JFAV02000185.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.101&CDS=1-1512	YDL203C
OG0002066	augustus_masked-JFAV02000185.1-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.177&CDS=1-1698	YDR232W
OG0002067	augustus_masked-JFAV02000185.1-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.178&CDS=1-2889	YDR238C
OG0002068	augustus_masked-JFAV02000185.1-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.214&CDS=1-864	YDR237W
OG0002069	augustus_masked-JFAV02000185.1-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.179&CDS=1-1614	YDL207W
OG0002070	augustus_masked-JFAV02000185.1-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.180&CDS=1-585	YDR236C
OG0002071	augustus_masked-JFAV02000185.1-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.181&CDS=1-1914	YDL206W
OG0002072	snap_masked-JFAV02000185.1-processed-gene-0.135-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.135&CDS=1-1737	YDR235W
OG0002073	augustus_masked-JFAV02000185.1-processed-gene-0.216-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.216&CDS=1-2109	YDR234W
OG0002074	snap_masked-JFAV02000185.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.106&CDS=1-783	YDR233C
OG0002075	snap_masked-JFAV02000185.1-processed-gene-0.138-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.138&CDS=1-2817	YDR239C
OG0002076	snap_masked-JFAV02000185.1-processed-gene-0.139-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.139&CDS=1-2079	YDR240C
OG0002077	augustus_masked-JFAV02000185.1-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.219&CDS=1-465	YDL208W
OG0002078	augustus_masked-JFAV02000185.1-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.220&CDS=1-1749	YGL186C
OG0002079	augustus_masked-JFAV02000185.1-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.183&CDS=1-1059	YDL209C
OG0002080	augustus_masked-JFAV02000185.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.184&CDS=1-1824	YDR244W
OG0002081	augustus_masked-JFAV02000185.1-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.185&CDS=1-984	YDR245W
OG0002082	snap_masked-JFAV02000185.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.110&CDS=1-4308	YPL016W
OG0002083	augustus_masked-JFAV02000185.1-processed-gene-0.222-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.222&CDS=1-3393	YPL022W
OG0002084	augustus_masked-JFAV02000185.1-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.187&CDS=1-2055	YPL023C
OG0002085	snap_masked-JFAV02000185.1-processed-gene-0.144-mRNA-1_1&gene=snap_masked-JFAV02000185.1-processed-gene-0.144&CDS=1-825	YPL024W
OG0002086	augustus_masked-JFAV02000185.1-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.188&CDS=1-642	YDR246W
OG0002087	augustus_masked-JFAV02000185.1-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.224&CDS=1-777	YDR248C
OG0002088	augustus_masked-JFAV02000185.1-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-JFAV02000185.1-processed-gene-0.225&CDS=1-1200	YPL028W
