	Saccharomyces_cerevisiae	yHMPu5000034890_Ogataea_ramenticola
OG0001681	YGR207C	maker-NODE_8_length_531287_cov_107.001_ID_15-augustus-gene-0.131-mRNA-1_1&gene=maker-NODE_8_length_531287_cov_107.001_ID_15-augustus-gene-0.131&CDS=1-780
OG0001682	YGR208W	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.71&CDS=1-966
OG0001683	YGR210C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.63&CDS=1-1257
OG0001684	YGR211W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.28&CDS=1-1518
OG0001685	YGR215W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.34&CDS=1-372
OG0001686	YGR216C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.16&CDS=1-1902
OG0001687	YGR217W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.10&CDS=1-6660
OG0001688	YGR218W	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-0.122&CDS=1-3216
OG0001689	YGR220C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-0.137&CDS=1-876
OG0001690	YGR223C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.45&CDS=1-1089
OG0001691	YGR225W	maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-4.1-mRNA-1_1&gene=maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-4.1&CDS=1-4164
OG0001692	YGR227W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.31&CDS=1-1566
OG0001693	YGR231C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.11&CDS=1-924
OG0001694	YGR232W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-4.29&CDS=1-780
OG0001695	YGR233C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.15&CDS=1-3498
OG0001696	YGR244C	augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.67&CDS=1-1299
OG0001697	YGR245C	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-2.17&CDS=1-2379
OG0001698	YGR246C	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.67&CDS=1-1767
OG0001699	YGR252W	augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.97&CDS=1-1536
OG0001700	YGR253C	augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.68&CDS=1-765
OG0001701	YGR254W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.170-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.170&CDS=1-1311
OG0001702	YGR255C	genemark-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.49-mRNA-1_1&gene=genemark-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.49&CDS=1-1416
OG0001703	YGR257C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-3.36&CDS=1-1209
OG0001704	YGR258C	maker-NODE_24_length_187661_cov_169.262_ID_47-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_24_length_187661_cov_169.262_ID_47-snap-gene-0.4&CDS=1-3045
OG0001705	YGR261C	augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.31&CDS=1-2727
OG0001706	YGR262C	maker-NODE_4_length_655877_cov_104.434_ID_7-snap-gene-0.135-mRNA-1_1&gene=maker-NODE_4_length_655877_cov_104.434_ID_7-snap-gene-0.135&CDS=1-1608
OG0001707	YGR264C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-0.116&CDS=1-2274
OG0001708	YGR266W	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.98&CDS=1-2097
OG0001709	YGR267C	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-1.29&CDS=1-1002
OG0001710	YGR268C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-0.45&CDS=1-759
OG0001711	YGR270W	snap_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.153-mRNA-1_1&gene=snap_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.153&CDS=1-4011
OG0001712	YGR271C-A	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.208-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.208&CDS=1-759
OG0001713	YGR271W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.182-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.182&CDS=1-5925
OG0001714	YGR274C	maker-NODE_5_length_615619_cov_117.552_ID_9-augustus-gene-4.52-mRNA-1_1&gene=maker-NODE_5_length_615619_cov_117.552_ID_9-augustus-gene-4.52&CDS=1-3930
OG0001715	YGR276C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.17&CDS=1-2046
OG0001716	YGR277C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.95&CDS=1-897
OG0001717	YGR278W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.76&CDS=1-2040
OG0001718	YGR280C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.65&CDS=1-843
OG0001719	YGR282C	augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.90&CDS=1-936
OG0001720	YGR284C	augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.92&CDS=1-993
OG0001721	YGR285C	augustus_masked-NODE_48_length_21290_cov_100.928_ID_95-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_48_length_21290_cov_100.928_ID_95-processed-gene-0.20&CDS=1-1296
OG0001722	YGR286C	augustus_masked-NODE_42_length_43318_cov_220.768_ID_83-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_42_length_43318_cov_220.768_ID_83-processed-gene-0.12&CDS=1-1203
OG0001723	YHL002W	augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.37&CDS=1-1212
OG0001724	YHL004W	augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.36&CDS=1-1419
OG0001725	YHL008C	maker-NODE_9_length_520025_cov_100.229_ID_17-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_9_length_520025_cov_100.229_ID_17-snap-gene-0.38&CDS=1-1827
OG0001726	YHL009C	maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-0.93-mRNA-1_1&gene=maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-0.93&CDS=1-1206
OG0001727	YHL010C	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.64&CDS=1-2169
OG0001728	YHL013C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-1.5&CDS=1-945
OG0001729	YHL015W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.88&CDS=1-363
OG0001730	YHL016C	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.111&CDS=1-2121
OG0001731	YHL018W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.90&CDS=1-369
OG0001732	YHL020C	snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.70&CDS=1-2139
OG0001733	YHL022C	augustus_masked-NODE_54_length_8854_cov_82.2728_ID_107-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_54_length_8854_cov_82.2728_ID_107-processed-gene-0.4&CDS=1-1494
OG0001734	YHL024W	augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.93&CDS=1-2853
OG0001735	YHL027W	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-1.70&CDS=1-2052
OG0001736	YHL028W	maker-NODE_8_length_531287_cov_107.001_ID_15-snap-gene-0.134-mRNA-1_1&gene=maker-NODE_8_length_531287_cov_107.001_ID_15-snap-gene-0.134&CDS=1-1329
OG0001737	YHL029C	maker-NODE_36_length_89563_cov_110.668_ID_71-snap-gene-0.71-mRNA-1_1&gene=maker-NODE_36_length_89563_cov_110.668_ID_71-snap-gene-0.71&CDS=1-2190
OG0001738	YHL030W	augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.77&CDS=1-5763
OG0001739	YHL031C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-6.117&CDS=1-708
OG0001740	YHL032C	augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_21_length_225364_cov_160.608_ID_41-processed-gene-1.137&CDS=1-2049
OG0001741	YHL039W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.47&CDS=1-1806
OG0001742	YHR001W-A	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-8.86&CDS=1-234
OG0001743	YHR002W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.61&CDS=1-1167
OG0001744	YHR004C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.12&CDS=1-1809
OG0001745	YHR005C	genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.5&CDS=1-1353
OG0001746	YHR007C	augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.162-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-4.162&CDS=1-1593
OG0001747	YHR008C	augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-4.86&CDS=1-672
OG0001748	YHR009C	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-3.125&CDS=1-1626
OG0001749	YHR011W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-2.114&CDS=1-1449
OG0001750	YHR012W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.42&CDS=1-927
OG0001751	YHR013C	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.14&CDS=1-702
OG0001752	YHR018C	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.84&CDS=1-1392
OG0001753	YHR020W	maker-NODE_1_length_936193_cov_107.414_ID_1-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_1_length_936193_cov_107.414_ID_1-snap-gene-0.43&CDS=1-5067
OG0001754	YHR023W	maker-NODE_27_length_147020_cov_188.923_ID_53-augustus-gene-0.198-mRNA-1_1&gene=maker-NODE_27_length_147020_cov_188.923_ID_53-augustus-gene-0.198&CDS=1-5328
OG0001755	YHR024C	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.188&CDS=1-1515
OG0001756	YHR025W	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.161&CDS=1-1071
OG0001757	YHR026W	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.162&CDS=1-588
OG0001758	YHR027C	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.189&CDS=1-3108
OG0001759	YHR030C	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.165&CDS=1-1521
OG0001760	YHR034C	augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_9_length_520025_cov_100.229_ID_17-processed-gene-4.81&CDS=1-1128
OG0001761	YHR037W	augustus_masked-NODE_32_length_101364_cov_129.138_ID_63-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_32_length_101364_cov_129.138_ID_63-processed-gene-0.102&CDS=1-1695
OG0001762	YHR038W	snap_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.115&CDS=1-816
OG0001763	YHR039C	augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.125&CDS=1-1902
OG0001764	YHR039C-A	genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.40&CDS=1-342
OG0001765	YHR040W	snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.62&CDS=1-1326
OG0001766	YHR042W	augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.95&CDS=1-2091
OG0001767	YHR045W	snap_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.72&CDS=1-1584
OG0001768	YHR048W	maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-5.132-mRNA-1_1&gene=maker-NODE_2_length_729701_cov_103.929_ID_3-snap-gene-5.132&CDS=1-3321
OG0001769	YHR051W	augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_27_length_147020_cov_188.923_ID_53-processed-gene-0.159&CDS=1-444
OG0001770	YHR052W	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-4.7&CDS=1-1239
OG0001771	YHR058C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.35&CDS=1-855
OG0001772	YHR059W	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-1.20&CDS=1-474
OG0001773	YHR060W	snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.73-mRNA-1_1&gene=snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-1.73&CDS=1-579
OG0001774	YHR062C	augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-2.46&CDS=1-906
OG0001775	YHR063C	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-3.73&CDS=1-1098
OG0001776	YHR064C	augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.112&CDS=1-1599
OG0001777	YHR067W	snap_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_36_length_89563_cov_110.668_ID_71-processed-gene-0.30&CDS=1-1011
OG0001778	YHR068W	augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.194&CDS=1-1116
OG0001779	YHR069C	snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.7&CDS=1-1065
OG0001780	YHR070W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-2.66&CDS=1-1413
OG0001781	YHR071W	genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.6&CDS=1-936
OG0001782	YHR072W	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.53&CDS=1-2175
OG0001783	YHR072W-A	snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_10_length_504736_cov_103.515_ID_19-processed-gene-2.33&CDS=1-186
OG0001784	YHR073W	augustus_masked-NODE_45_length_24831_cov_124.003_ID_89-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_45_length_24831_cov_124.003_ID_89-processed-gene-0.24&CDS=1-3678
OG0001785	YHR074W	maker-NODE_4_length_655877_cov_104.434_ID_7-augustus-gene-5.218-mRNA-1_1&gene=maker-NODE_4_length_655877_cov_104.434_ID_7-augustus-gene-5.218&CDS=1-3906
OG0001786	YHR075C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.192-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.192&CDS=1-1383
OG0001787	YHR076W	genemark-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.78-mRNA-1_1&gene=genemark-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.78&CDS=1-1653
OG0001788	YHR077C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.179-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-5.179&CDS=1-3183
OG0001789	YHR078W	snap_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.71-mRNA-1_1&gene=snap_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-3.71&CDS=1-1674
OG0001790	YHR079C	augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-0.27&CDS=1-3720
OG0001791	YHR079C-A	augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.46&CDS=1-414
OG0001792	YHR081W	genemark-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_40_length_46518_cov_262.413_ID_79-processed-gene-0.1&CDS=1-588
OG0001793	YHR082C	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.64&CDS=1-2823
OG0001794	YHR083W	snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-4.85&CDS=1-1128
OG0001795	YHR084W	augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.63&CDS=1-2100
OG0001796	YHR085W	snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-0.84&CDS=1-1209
OG0001797	YHR087W	augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.52&CDS=1-345
OG0001798	YHR088W	augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_19_length_231626_cov_146.684_ID_37-processed-gene-1.74&CDS=1-891
OG0001799	YHR089C	augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_11_length_468069_cov_102.835_ID_21-processed-gene-0.38&CDS=1-615
OG0001800	YHR090C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.113&CDS=1-1158
OG0001801	YHR098C	augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-4.119&CDS=1-2871
OG0001802	YHR099W	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.57&CDS=1-11439
OG0001803	YHR100C	augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_2_length_729701_cov_103.929_ID_3-processed-gene-2.73&CDS=1-597
OG0001804	YHR104W	augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-0.81&CDS=1-966
OG0001805	YHR107C	maker-NODE_21_length_225364_cov_160.608_ID_41-augustus-gene-0.72-mRNA-1_1&gene=maker-NODE_21_length_225364_cov_160.608_ID_41-augustus-gene-0.72&CDS=1-1179
