	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0001517	genemark-Contig005807-processed-gene-8.4-mRNA-1_1&gene=genemark-Contig005807-processed-gene-8.4&CDS=1-8997	YOR341W
OG0001518	snap_masked-Contig005807-processed-gene-8.71-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.71&CDS=1-666	YAL008W
OG0001519	snap_masked-Contig005807-processed-gene-8.72-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.72&CDS=1-489	YIL098C
OG0001520	snap_masked-Contig005807-processed-gene-8.52-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.52&CDS=1-1095	YNL037C
OG0001521	snap_masked-Contig005807-processed-gene-8.53-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.53&CDS=1-1284	YNL220W
OG0001522	snap_masked-Contig005807-processed-gene-8.54-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.54&CDS=1-2373	YKL213C
OG0001523	snap_masked-Contig005807-processed-gene-8.73-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.73&CDS=1-1854	YKL211C
OG0001524	snap_masked-Contig005807-processed-gene-8.74-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.74&CDS=1-2910	YKL165C
OG0001525	snap_masked-Contig005807-processed-gene-8.76-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.76&CDS=1-549	YHR148W
OG0001526	maker-Contig005807-augustus-gene-8.42-mRNA-1_1&gene=maker-Contig005807-augustus-gene-8.42&CDS=1-1443	YHR147C
OG0001527	snap_masked-Contig005807-processed-gene-8.77-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.77&CDS=1-3237	YGR218W
OG0001528	maker-Contig005807-augustus-gene-8.43-mRNA-1_1&gene=maker-Contig005807-augustus-gene-8.43&CDS=1-2157	YBR003W
OG0001529	augustus_masked-Contig005807-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-8.97&CDS=1-3810	YGR233C
OG0001530	snap_masked-Contig005807-processed-gene-8.79-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.79&CDS=1-2142	YDL146W
OG0001531	augustus_masked-Contig005807-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-8.98&CDS=1-2679	YLR241W
OG0001532	snap_masked-Contig005807-processed-gene-8.70-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-8.70&CDS=1-855	YOL067C
OG0001533	augustus_masked-Contig005807-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-8.118&CDS=1-1476	YDL045C
OG0001534	snap_masked-Contig005807-processed-gene-9.0-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.0&CDS=1-2127	YLR182W
OG0001535	snap_masked-Contig005807-processed-gene-9.5-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.5&CDS=1-573	YDR373W
OG0001536	snap_masked-Contig005807-processed-gene-9.1-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.1&CDS=1-462	YOL071W
OG0001537	snap_masked-Contig005807-processed-gene-9.2-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.2&CDS=1-1290	YLR181C
OG0001538	augustus_masked-Contig005807-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-9.53&CDS=1-2742	YCR057C
OG0001539	maker-Contig005807-snap-gene-9.90-mRNA-1_1&gene=maker-Contig005807-snap-gene-9.90&CDS=1-861	YCR059C
OG0001540	snap_masked-Contig005807-processed-gene-9.4-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.4&CDS=1-888	YCR060W
OG0001541	maker-Contig005807-augustus-gene-9.148-mRNA-1_1&gene=maker-Contig005807-augustus-gene-9.148&CDS=1-9090	YNR016C
OG0001542	snap_masked-Contig005807-processed-gene-9.29-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.29&CDS=1-633	YIL016W
OG0001543	maker-Contig005807-snap-gene-9.93-mRNA-1_1&gene=maker-Contig005807-snap-gene-9.93&CDS=1-3072	YNL045W
OG0001544	snap_masked-Contig005807-processed-gene-9.8-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.8&CDS=1-1338	YER051W
OG0001545	snap_masked-Contig005807-processed-gene-9.31-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.31&CDS=1-1248	YOL058W
OG0001546	snap_masked-Contig005807-processed-gene-9.10-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.10&CDS=1-1062	YIL110W
OG0001547	snap_masked-Contig005807-processed-gene-9.32-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.32&CDS=1-1449	YBL103C
OG0001548	snap_masked-Contig005807-processed-gene-9.12-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.12&CDS=1-633	YBL102W
OG0001549	snap_masked-Contig005807-processed-gene-9.33-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.33&CDS=1-456	YDL125C
OG0001550	snap_masked-Contig005807-processed-gene-9.13-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.13&CDS=1-2439	YDL126C
OG0001551	snap_masked-Contig005807-processed-gene-9.14-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.14&CDS=1-1206	YNL051W
OG0001552	augustus_masked-Contig005807-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-9.80&CDS=1-1659	YDR481C
OG0001553	snap_masked-Contig005807-processed-gene-9.39-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.39&CDS=1-1053	YGL159W
OG0001554	snap_masked-Contig005807-processed-gene-9.16-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.16&CDS=1-2763	YIL109C
OG0001555	maker-Contig005807-snap-gene-9.89-mRNA-1_1&gene=maker-Contig005807-snap-gene-9.89&CDS=1-2352	YGR149W
OG0001556	maker-Contig005807-augustus-gene-9.146-mRNA-1_1&gene=maker-Contig005807-augustus-gene-9.146&CDS=1-5133	YDR390C
OG0001557	snap_masked-Contig005807-processed-gene-9.23-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.23&CDS=1-378	YOR122C
OG0001558	genemark-Contig005807-processed-gene-9.143-mRNA-1_1&gene=genemark-Contig005807-processed-gene-9.143&CDS=1-5883	YNL050C
OG0001559	snap_masked-Contig005807-processed-gene-10.54-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.54&CDS=1-1932	YMR284W
OG0001560	snap_masked-Contig005807-processed-gene-10.51-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.51&CDS=1-435	YJR058C
OG0001561	snap_masked-Contig005807-processed-gene-10.55-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.55&CDS=1-681	YJR057W
OG0001562	snap_masked-Contig005807-processed-gene-10.78-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.78&CDS=1-2262	YNL101W
OG0001563	snap_masked-Contig005807-processed-gene-10.83-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.83&CDS=1-1689	YMR250W
OG0001564	snap_masked-Contig005807-processed-gene-10.60-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.60&CDS=1-1824	YKL212W
OG0001565	snap_masked-Contig005807-processed-gene-10.87-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.87&CDS=1-1797	YNR055C
OG0001566	maker-Contig005807-augustus-gene-10.43-mRNA-1_1&gene=maker-Contig005807-augustus-gene-10.43&CDS=1-3537	YAL021C
OG0001567	genemark-Contig005807-processed-gene-10.15-mRNA-1_1&gene=genemark-Contig005807-processed-gene-10.15&CDS=1-2904	YLR129W
OG0001568	genemark-Contig005807-processed-gene-10.16-mRNA-1_1&gene=genemark-Contig005807-processed-gene-10.16&CDS=1-3132	YOL051W
OG0001569	maker-Contig005807-snap-gene-10.46-mRNA-1_1&gene=maker-Contig005807-snap-gene-10.46&CDS=1-504	YPR073C
OG0001570	snap_masked-Contig005807-processed-gene-10.68-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.68&CDS=1-1941	YIL038C
OG0001571	snap_masked-Contig005807-processed-gene-10.70-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.70&CDS=1-2043	YBR117C
OG0001572	snap_masked-Contig005807-processed-gene-10.71-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.71&CDS=1-1599	YER014W
OG0001573	snap_masked-Contig005807-processed-gene-10.72-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.72&CDS=1-3954	YAR042W
OG0001574	snap_masked-Contig005807-processed-gene-10.91-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.91&CDS=1-1122	YJL145W
OG0001575	snap_masked-Contig005807-processed-gene-10.73-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.73&CDS=1-519	YMR071C
OG0001576	snap_masked-Contig005807-processed-gene-10.75-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.75&CDS=1-2211	YLR047C
OG0001577	snap_masked-Contig005807-processed-gene-10.76-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.76&CDS=1-1089	YGR112W
OG0001578	snap_masked-Contig005807-processed-gene-11.3-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.3&CDS=1-894	YER083C
OG0001579	maker-Contig005807-augustus-gene-11.119-mRNA-1_1&gene=maker-Contig005807-augustus-gene-11.119&CDS=1-2079	YKL216W
OG0001580	snap_masked-Contig005807-processed-gene-11.0-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.0&CDS=1-1569	YER082C
OG0001581	snap_masked-Contig005807-processed-gene-11.1-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.1&CDS=1-4146	YPR189W
OG0001582	genemark-Contig005807-processed-gene-11.84-mRNA-1_1&gene=genemark-Contig005807-processed-gene-11.84&CDS=1-1431	YPL203W
OG0001583	snap_masked-Contig005807-processed-gene-11.34-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.34&CDS=1-2103	YKL188C
OG0001584	snap_masked-Contig005807-processed-gene-11.12-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.12&CDS=1-924	YJR077C
OG0001585	snap_masked-Contig005807-processed-gene-11.14-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.14&CDS=1-735	YJL148W
OG0001586	snap_masked-Contig005807-processed-gene-11.16-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.16&CDS=1-744	YER010C
OG0001587	snap_masked-Contig005807-processed-gene-11.36-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.36&CDS=1-2865	YIL075C
OG0001588	snap_masked-Contig005807-processed-gene-11.37-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.37&CDS=1-1389	YER081W
OG0001589	snap_masked-Contig005807-processed-gene-11.39-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.39&CDS=1-438	YPR168W
OG0001590	augustus_masked-Contig005807-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-11.67&CDS=1-1977	YPR169W
OG0001591	snap_masked-Contig005807-processed-gene-11.29-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.29&CDS=1-2358	YJR110W
OG0001592	snap_masked-Contig005807-processed-gene-11.30-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-11.30&CDS=1-1143	YNL072W
OG0001593	augustus_masked-Contig005807-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-11.70&CDS=1-3009	YNL071W
OG0001594	snap_masked-Contig005807-processed-gene-12.0-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.0&CDS=1-1575	YNL073W
OG0001595	augustus_masked-Contig005807-processed-gene-12.38-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.38&CDS=1-1704	YCL004W
OG0001596	snap_masked-Contig005807-processed-gene-12.5-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.5&CDS=1-1068	YCL010C
OG0001597	augustus_masked-Contig005807-processed-gene-12.43-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.43&CDS=1-462	YCL012C
OG0001598	augustus_masked-Contig005807-processed-gene-12.44-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.44&CDS=1-2061	YLR429W
OG0001599	snap_masked-Contig005807-processed-gene-12.24-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.24&CDS=1-4587	YPL242C
OG0001600	snap_masked-Contig005807-processed-gene-12.25-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.25&CDS=1-702	YPL233W
OG0001601	snap_masked-Contig005807-processed-gene-12.8-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.8&CDS=1-489	YPL234C
OG0001602	augustus_masked-Contig005807-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.61&CDS=1-1485	YPL235W
OG0001603	snap_masked-Contig005807-processed-gene-12.9-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.9&CDS=1-1512	YCL017C
OG0001604	snap_masked-Contig005807-processed-gene-12.10-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.10&CDS=1-1119	YCL018W
OG0001605	augustus_masked-Contig005807-processed-gene-12.63-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.63&CDS=1-3906	YCL014W
OG0001606	augustus_masked-Contig005807-processed-gene-12.48-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.48&CDS=1-333	YAL046C
OG0001607	snap_masked-Contig005807-processed-gene-12.29-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.29&CDS=1-2130	YOR361C
OG0001608	snap_masked-Contig005807-processed-gene-12.30-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.30&CDS=1-363	YLR364W
OG0001609	snap_masked-Contig005807-processed-gene-12.31-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.31&CDS=1-792	YNL005C
OG0001610	snap_masked-Contig005807-processed-gene-12.32-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.32&CDS=1-495	YBR137W
OG0001611	snap_masked-Contig005807-processed-gene-12.11-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.11&CDS=1-981	YNL288W
OG0001612	snap_masked-Contig005807-processed-gene-12.33-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.33&CDS=1-672	YBL064C
OG0001613	genemark-Contig005807-processed-gene-12.108-mRNA-1_1&gene=genemark-Contig005807-processed-gene-12.108&CDS=1-1302	YOL003C
OG0001614	augustus_masked-Contig005807-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-12.50&CDS=1-795	YOR362C
OG0001615	snap_masked-Contig005807-processed-gene-12.36-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.36&CDS=1-3033	YBR038W
OG0001616	snap_masked-Contig005807-processed-gene-12.15-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.15&CDS=1-744	YML015C
OG0001617	genemark-Contig005807-processed-gene-12.90-mRNA-1_1&gene=genemark-Contig005807-processed-gene-12.90&CDS=1-576	YCL001W
OG0001618	snap_masked-Contig005807-processed-gene-12.17-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.17&CDS=1-3120	YNL243W
OG0001619	snap_masked-Contig005807-processed-gene-12.18-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-12.18&CDS=1-1878	YLL035W
OG0001620	snap_masked-Contig005807-processed-gene-13.2-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.2&CDS=1-2922	YOL084W
OG0001621	snap_masked-Contig005807-processed-gene-13.3-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.3&CDS=1-531	YPR028W
OG0001622	augustus_masked-Contig005807-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-13.89&CDS=1-1380	YKL082C
OG0001623	snap_masked-Contig005807-processed-gene-13.5-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.5&CDS=1-1137	YKL080W
OG0001624	snap_masked-Contig005807-processed-gene-13.20-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.20&CDS=1-801	YGL247W
OG0001625	snap_masked-Contig005807-processed-gene-13.7-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.7&CDS=1-633	YJR073C
OG0001626	snap_masked-Contig005807-processed-gene-13.22-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.22&CDS=1-942	YOR352W
OG0001627	snap_masked-Contig005807-processed-gene-13.9-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.9&CDS=1-1104	YBR290W
OG0001628	augustus_masked-Contig005807-processed-gene-13.108-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-13.108&CDS=1-3363	YBR291C
OG0001629	snap_masked-Contig005807-processed-gene-13.10-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.10&CDS=1-1101	YDR282C
OG0001630	snap_masked-Contig005807-processed-gene-13.25-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.25&CDS=1-1722	YGR124W
OG0001631	augustus_masked-Contig005807-processed-gene-13.97-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-13.97&CDS=1-2391	YBR083W
OG0001632	snap_masked-Contig005807-processed-gene-13.15-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.15&CDS=1-1710	YOR128C
OG0001633	snap_masked-Contig005807-processed-gene-13.30-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.30&CDS=1-318	YBL028C
OG0001634	snap_masked-Contig005807-processed-gene-13.31-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.31&CDS=1-1767	YOR301W
OG0001635	augustus_masked-Contig005807-processed-gene-13.114-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-13.114&CDS=1-3399	YDR060W
OG0001636	snap_masked-Contig005807-processed-gene-13.17-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.17&CDS=1-2442	YPR031W
OG0001637	maker-Contig005807-augustus-gene-13.41-mRNA-1_1&gene=maker-Contig005807-augustus-gene-13.41&CDS=1-5178	YBL104C
OG0001638	snap_masked-Contig005807-processed-gene-13.18-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.18&CDS=1-858	YMR244W
OG0001639	snap_masked-Contig005807-processed-gene-14.78-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.78&CDS=1-5670	YJR042W
OG0001640	augustus_masked-Contig005807-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-14.46&CDS=1-480	YEL027W
OG0001641	snap_masked-Contig005807-processed-gene-14.79-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.79&CDS=1-378	YEL026W
OG0001642	snap_masked-Contig005807-processed-gene-14.80-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.80&CDS=1-3399	YJR041C
OG0001643	snap_masked-Contig005807-processed-gene-14.81-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.81&CDS=1-2298	YJR040W
OG0001644	snap_masked-Contig005807-processed-gene-14.82-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.82&CDS=1-1473	YGR212W
OG0001645	snap_masked-Contig005807-processed-gene-14.85-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.85&CDS=1-4362	YNL102W
OG0001646	augustus_masked-Contig005807-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-14.52&CDS=1-2736	YBR011C
OG0001647	snap_masked-Contig005807-processed-gene-14.90-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.90&CDS=1-1167	YDR005C
OG0001648	snap_masked-Contig005807-processed-gene-14.92-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.92&CDS=1-984	YBR149W
OG0001649	snap_masked-Contig005807-processed-gene-14.107-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.107&CDS=1-1302	YML080W
OG0001650	snap_masked-Contig005807-processed-gene-14.108-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.108&CDS=1-2640	YNL082W
OG0001651	augustus_masked-Contig005807-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-14.56&CDS=1-699	YIL139C
OG0001652	snap_masked-Contig005807-processed-gene-14.109-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.109&CDS=1-1671	YNL083W
OG0001653	snap_masked-Contig005807-processed-gene-14.110-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.110&CDS=1-1578	YIL142W
OG0001654	snap_masked-Contig005807-processed-gene-14.95-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.95&CDS=1-483	YNL213C
OG0001655	snap_masked-Contig005807-processed-gene-14.99-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.99&CDS=1-3312	YFR030W
OG0001656	maker-Contig005807-augustus-gene-14.42-mRNA-1_1&gene=maker-Contig005807-augustus-gene-14.42&CDS=1-2226	YIL049W
OG0001657	snap_masked-Contig005807-processed-gene-14.104-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.104&CDS=1-789	YPL065W
OG0001658	snap_masked-Contig005807-processed-gene-14.116-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-14.116&CDS=1-831	YFR052W
OG0001659	genemark-Contig005807-processed-gene-15.74-mRNA-1_1&gene=genemark-Contig005807-processed-gene-15.74&CDS=1-390	YNR046W
OG0001660	genemark-Contig005807-processed-gene-15.75-mRNA-1_1&gene=genemark-Contig005807-processed-gene-15.75&CDS=1-2562	YCR091W
OG0001661	snap_masked-Contig005807-processed-gene-15.35-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.35&CDS=1-1884	YMR068W
OG0001662	snap_masked-Contig005807-processed-gene-15.36-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.36&CDS=1-3027	YCR092C
OG0001663	augustus_masked-Contig005807-processed-gene-15.6-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-15.6&CDS=1-1092	YEL009C
OG0001664	snap_masked-Contig005807-processed-gene-15.41-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.41&CDS=1-708	YEL001C
OG0001665	snap_masked-Contig005807-processed-gene-15.44-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.44&CDS=1-2967	YIL002C
OG0001666	snap_masked-Contig005807-processed-gene-15.58-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.58&CDS=1-1389	YEL036C
OG0001667	snap_masked-Contig005807-processed-gene-15.59-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.59&CDS=1-3513	YFR031C
OG0001668	snap_masked-Contig005807-processed-gene-15.45-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.45&CDS=1-3630	YMR287C
OG0001669	snap_masked-Contig005807-processed-gene-15.61-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.61&CDS=1-1506	YMR093W
OG0001670	snap_masked-Contig005807-processed-gene-15.47-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.47&CDS=1-2427	YJL128C
OG0001671	snap_masked-Contig005807-processed-gene-15.62-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.62&CDS=1-1647	YPL086C
OG0001672	snap_masked-Contig005807-processed-gene-15.48-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.48&CDS=1-894	YBR185C
OG0001673	snap_masked-Contig005807-processed-gene-15.63-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.63&CDS=1-1686	YPL054W
OG0001674	augustus_masked-Contig005807-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-15.16&CDS=1-1782	YKR072C
OG0001675	genemark-Contig005807-processed-gene-16.76-mRNA-1_1&gene=genemark-Contig005807-processed-gene-16.76&CDS=1-2715	YOR058C
OG0001676	snap_masked-Contig005807-processed-gene-16.36-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.36&CDS=1-636	YDR352W
OG0001677	snap_masked-Contig005807-processed-gene-16.37-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.37&CDS=1-1752	YDR294C
OG0001678	maker-Contig005807-snap-gene-16.127-mRNA-1_1&gene=maker-Contig005807-snap-gene-16.127&CDS=1-2874	YIR038C
OG0001679	snap_masked-Contig005807-processed-gene-16.40-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.40&CDS=1-1392	YOR056C
OG0001680	snap_masked-Contig005807-processed-gene-16.42-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.42&CDS=1-2193	YDR295C
OG0001681	genemark-Contig005807-processed-gene-16.85-mRNA-1_1&gene=genemark-Contig005807-processed-gene-16.85&CDS=1-1623	YNL154C
OG0001682	snap_masked-Contig005807-processed-gene-16.46-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.46&CDS=1-837	YER100W
OG0001683	snap_masked-Contig005807-processed-gene-16.47-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.47&CDS=1-2388	YBL061C
OG0001684	augustus_masked-Contig005807-processed-gene-16.20-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.20&CDS=1-2820	YGL216W
OG0001685	snap_masked-Contig005807-processed-gene-16.65-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.65&CDS=1-1209	YNL025C
OG0001686	augustus_masked-Contig005807-processed-gene-16.10-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.10&CDS=1-1032	YIL083C
OG0001687	augustus_masked-Contig005807-processed-gene-16.23-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.23&CDS=1-1506	YNL026W
OG0001688	snap_masked-Contig005807-processed-gene-16.69-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.69&CDS=1-1173	YML005W
OG0001689	augustus_masked-Contig005807-processed-gene-16.12-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.12&CDS=1-4263	YDL122W
OG0001690	snap_masked-Contig005807-processed-gene-16.70-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.70&CDS=1-1449	YIL097W
OG0001691	augustus_masked-Contig005807-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.29&CDS=1-1278	YPL083C
OG0001692	snap_masked-Contig005807-processed-gene-16.54-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.54&CDS=1-330	YPL047W
OG0001693	snap_masked-Contig005807-processed-gene-17.1-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-17.1&CDS=1-2586	YLL032C
OG0001694	maker-Contig005807-snap-gene-17.80-mRNA-1_1&gene=maker-Contig005807-snap-gene-17.80&CDS=1-2832	YDR142C
OG0001695	snap_masked-Contig005807-processed-gene-17.23-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-17.23&CDS=1-1476	YLR403W
OG0001696	genemark-Contig005807-processed-gene-17.47-mRNA-1_1&gene=genemark-Contig005807-processed-gene-17.47&CDS=1-11874	YPL231W
OG0001697	snap_masked-Contig005807-processed-gene-17.9-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-17.9&CDS=1-1797	YHR150W
OG0001698	snap_masked-Contig005807-processed-gene-17.24-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-17.24&CDS=1-1449	YML068W
OG0001699	snap_masked-Contig005807-processed-gene-17.10-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-17.10&CDS=1-1053	YML067C
