	Saccharomyces_cerevisiae	yHAB158_Kazachstania_viticola
OG0001648	YGL117W	snap_masked-scf7180000050143-processed-gene-0.104-mRNA-1_1&gene=snap_masked-scf7180000050143-processed-gene-0.104&CDS=1-810
OG0001649	YGL119W	genemark-scf7180000050143-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000050143-processed-gene-0.13&CDS=1-1653
OG0001650	YGL120C	augustus_masked-scf7180000050143-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.85&CDS=1-2313
OG0001651	YGL121C	snap_masked-scf7180000050143-processed-gene-0.128-mRNA-1_1&gene=snap_masked-scf7180000050143-processed-gene-0.128&CDS=1-438
OG0001652	YGL122C	augustus_masked-scf7180000050143-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.83&CDS=1-1629
OG0001653	YGL123W	augustus_masked-scf7180000050143-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.58&CDS=1-756
OG0001654	YGL124C	augustus_masked-scf7180000050143-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.82&CDS=1-1947
OG0001655	YGL125W	augustus_masked-scf7180000050143-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.57&CDS=1-1836
OG0001656	YGL126W	maker-scf7180000050143-snap-gene-0.45-mRNA-1_1&gene=maker-scf7180000050143-snap-gene-0.45&CDS=1-333
OG0001657	YGL127C	augustus_masked-scf7180000050143-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000050143-processed-gene-0.81&CDS=1-342
OG0001658	YGL128C	snap_masked-scf7180000050334-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000050334-processed-gene-0.48&CDS=1-756
OG0001659	YGL129C	augustus_masked-scf7180000050302-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.69&CDS=1-1329
OG0001660	YGL130W	augustus_masked-scf7180000050302-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.89&CDS=1-1365
OG0001661	YGL131C	augustus_masked-scf7180000050302-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.70&CDS=1-4248
OG0001662	YGL133W	augustus_masked-scf7180000050302-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.90&CDS=1-3543
OG0001663	YGL136C	augustus_masked-scf7180000050302-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.71&CDS=1-867
OG0001664	YGL137W	augustus_masked-scf7180000050302-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-0.92&CDS=1-2610
OG0001665	YGL138C	augustus_masked-scf7180000050302-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-scf7180000050302-processed-gene-1.0&CDS=1-819
OG0001666	YGL140C	augustus_masked-scf7180000050358-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.17&CDS=1-3618
OG0001667	YGL141W	augustus_masked-scf7180000050339-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.68&CDS=1-2793
OG0001668	YGL142C	maker-scf7180000050339-augustus-gene-0.43-mRNA-1_1&gene=maker-scf7180000050339-augustus-gene-0.43&CDS=1-1245
OG0001669	YGL143C	augustus_masked-scf7180000050339-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.90&CDS=1-1209
OG0001670	YGL144C	augustus_masked-scf7180000050339-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.89&CDS=1-2013
OG0001671	YGL145W	augustus_masked-scf7180000050339-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.66&CDS=1-2007
OG0001672	YGL146C	snap_masked-scf7180000050339-processed-gene-0.132-mRNA-1_1&gene=snap_masked-scf7180000050339-processed-gene-0.132&CDS=1-669
OG0001673	YGL148W	augustus_masked-scf7180000050339-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.65&CDS=1-1128
OG0001674	YGL150C	augustus_masked-scf7180000050339-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.86&CDS=1-4509
OG0001675	YGL151W	augustus_masked-scf7180000050339-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.64&CDS=1-3300
OG0001676	YGL153W	augustus_masked-scf7180000050339-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.63&CDS=1-1005
OG0001677	YGL154C	augustus_masked-scf7180000050339-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.85&CDS=1-801
OG0001678	YGL155W	augustus_masked-scf7180000050339-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.62&CDS=1-1101
OG0001679	YGL156W	maker-scf7180000050339-augustus-gene-0.40-mRNA-1_1&gene=maker-scf7180000050339-augustus-gene-0.40&CDS=1-4839
OG0001680	YGL160W	augustus_masked-scf7180000050339-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000050339-processed-gene-0.60&CDS=1-1479
OG0001681	YGL161C	augustus_masked-scf7180000050303-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000050303-processed-gene-0.36&CDS=1-930
OG0001682	YGL163C	augustus_masked-scf7180000050303-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-scf7180000050303-processed-gene-0.37&CDS=1-2748
OG0001683	YGL166W	augustus_masked-scf7180000050303-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050303-processed-gene-0.40&CDS=1-753
OG0001684	YGL167C	augustus_masked-scf7180000050304-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000050304-processed-gene-0.55&CDS=1-2826
OG0001685	YGL169W	augustus_masked-scf7180000050303-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000050303-processed-gene-0.39&CDS=1-1245
OG0001686	YGL170C	augustus_masked-scf7180000050097-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.125&CDS=1-930
OG0001687	YGL171W	augustus_masked-scf7180000050304-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000050304-processed-gene-0.61&CDS=1-1740
OG0001688	YGL172W	augustus_masked-scf7180000050097-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.88&CDS=1-1398
OG0001689	YGL173C	augustus_masked-scf7180000050097-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.121&CDS=1-4482
OG0001690	YGL174W	augustus_masked-scf7180000050097-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.87&CDS=1-741
OG0001691	YGL175C	snap_masked-scf7180000050097-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000050097-processed-gene-0.55&CDS=1-2136
OG0001692	YGL178W	augustus_masked-scf7180000050097-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.86&CDS=1-1902
OG0001693	YGL180W	augustus_masked-scf7180000050097-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.85&CDS=1-2577
OG0001694	YGL181W	augustus_masked-scf7180000050097-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.84&CDS=1-1146
OG0001695	YGL183C	augustus_masked-scf7180000050097-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.118&CDS=1-603
OG0001696	YGL186C	augustus_masked-scf7180000050097-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.117&CDS=1-1644
OG0001697	YGL187C	augustus_masked-scf7180000050097-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.116&CDS=1-501
OG0001698	YGL190C	augustus_masked-scf7180000050097-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.114&CDS=1-1638
OG0001699	YGL192W	maker-scf7180000050097-snap-gene-0.130-mRNA-1_1&gene=maker-scf7180000050097-snap-gene-0.130&CDS=1-1992
OG0001700	YGL194C	augustus_masked-scf7180000050097-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.113&CDS=1-1344
OG0001701	YGL195W	maker-scf7180000050097-augustus-gene-0.137-mRNA-1_1&gene=maker-scf7180000050097-augustus-gene-0.137&CDS=1-12597
OG0001702	YGL198W	augustus_masked-scf7180000050097-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scf7180000050097-processed-gene-0.79&CDS=1-744
OG0001703	YGL200C	snap_masked-scf7180000050097-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000050097-processed-gene-0.49&CDS=1-1263
OG0001704	YGL201C	genemark-scf7180000049438-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000049438-processed-gene-0.10&CDS=1-3372
OG0001705	YGL202W	augustus_masked-scf7180000049438-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000049438-processed-gene-0.63&CDS=1-1494
OG0001706	YGL203C	augustus_masked-scf7180000050356-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.58&CDS=1-1914
OG0001707	YGL205W	maker-scf7180000050356-augustus-gene-0.36-mRNA-1_1&gene=maker-scf7180000050356-augustus-gene-0.36&CDS=1-3063
OG0001708	YGL206C	augustus_masked-scf7180000050213-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.75&CDS=1-4965
OG0001709	YGL207W	maker-scf7180000050213-augustus-gene-0.108-mRNA-1_1&gene=maker-scf7180000050213-augustus-gene-0.108&CDS=1-4338
OG0001710	YGL209W	augustus_masked-scf7180000050213-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.89&CDS=1-1194
OG0001711	YGL211W	maker-scf7180000050213-augustus-gene-0.109-mRNA-1_1&gene=maker-scf7180000050213-augustus-gene-0.109&CDS=1-1650
OG0001712	YGL212W	snap_masked-scf7180000050213-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000050213-processed-gene-0.55&CDS=1-1068
OG0001713	YGL213C	augustus_masked-scf7180000050213-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.76&CDS=1-1239
OG0001714	YGL215W	augustus_masked-scf7180000050213-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.92&CDS=1-1356
OG0001715	YGL216W	snap_masked-scf7180000050213-processed-gene-0.57-mRNA-1_1&gene=snap_masked-scf7180000050213-processed-gene-0.57&CDS=1-2043
OG0001716	YGL219C	augustus_masked-scf7180000050213-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.77&CDS=1-1407
OG0001717	YGL221C	augustus_masked-scf7180000050213-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000050213-processed-gene-0.78&CDS=1-1584
OG0001718	YGL223C	snap_masked-scf7180000050356-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scf7180000050356-processed-gene-0.100&CDS=1-1161
OG0001719	YGL225W	augustus_masked-scf7180000050356-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.56&CDS=1-999
OG0001720	YGL226C-A	augustus_masked-scf7180000050356-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.66&CDS=1-258
OG0001721	YGL226W	snap_masked-scf7180000050356-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scf7180000050356-processed-gene-0.87&CDS=1-408
OG0001722	YGL227W	snap_masked-scf7180000050356-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scf7180000050356-processed-gene-0.86&CDS=1-2850
OG0001723	YGL228W	snap_masked-scf7180000050356-processed-gene-0.84-mRNA-1_1&gene=snap_masked-scf7180000050356-processed-gene-0.84&CDS=1-1632
OG0001724	YGL231C	augustus_masked-scf7180000050356-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.65&CDS=1-561
OG0001725	YGL233W	maker-scf7180000050356-augustus-gene-0.35-mRNA-1_1&gene=maker-scf7180000050356-augustus-gene-0.35&CDS=1-3591
OG0001726	YGL234W	augustus_masked-scf7180000050356-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.51&CDS=1-2370
OG0001727	YGL236C	augustus_masked-scf7180000050356-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.64&CDS=1-1971
OG0001728	YGL237C	augustus_masked-scf7180000050356-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.63&CDS=1-1038
OG0001729	YGL238W	augustus_masked-scf7180000050356-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.50&CDS=1-2871
OG0001730	YGL240W	augustus_masked-scf7180000050356-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.49&CDS=1-750
OG0001731	YGL241W	augustus_masked-scf7180000050196-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.92&CDS=1-3843
OG0001732	YGL242C	augustus_masked-scf7180000050196-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scf7180000050196-processed-gene-0.67&CDS=1-531
OG0001733	YGL243W	augustus_masked-scf7180000050356-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.48&CDS=1-1161
OG0001734	YGL244W	augustus_masked-scf7180000050356-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.47&CDS=1-1686
OG0001735	YGL245W	augustus_masked-scf7180000050356-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.46&CDS=1-2124
OG0001736	YGL246C	augustus_masked-scf7180000050356-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.62&CDS=1-1122
OG0001737	YGL247W	snap_masked-scf7180000050196-processed-gene-0.142-mRNA-1_1&gene=snap_masked-scf7180000050196-processed-gene-0.142&CDS=1-612
OG0001738	YGL248W	augustus_masked-scf7180000050356-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.45&CDS=1-1146
OG0001739	YGL249W	augustus_masked-scf7180000050356-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.43&CDS=1-2208
OG0001740	YGL250W	augustus_masked-scf7180000050356-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.42&CDS=1-879
OG0001741	YGL251C	genemark-scf7180000050356-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000050356-processed-gene-0.24&CDS=1-3615
OG0001742	YGL252C	augustus_masked-scf7180000050356-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.60&CDS=1-1752
OG0001743	YGL253W	augustus_masked-scf7180000050356-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.41&CDS=1-1458
OG0001744	YGL254W	augustus_masked-scf7180000050356-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000050356-processed-gene-0.40&CDS=1-867
OG0001745	YGR001C	augustus_masked-scf7180000050400-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.82&CDS=1-741
OG0001746	YGR002C	maker-scf7180000050400-snap-gene-0.75-mRNA-1_1&gene=maker-scf7180000050400-snap-gene-0.75&CDS=1-1923
OG0001747	YGR003W	augustus_masked-scf7180000050400-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.84&CDS=1-2256
OG0001748	YGR004W	augustus_masked-scf7180000050400-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.85&CDS=1-1431
OG0001749	YGR005C	augustus_masked-scf7180000050400-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.117&CDS=1-1173
OG0001750	YGR007W	augustus_masked-scf7180000050400-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.87&CDS=1-978
OG0001751	YGR009C	augustus_masked-scf7180000050367-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000050367-processed-gene-0.26&CDS=1-2184
OG0001752	YGR010W	augustus_masked-scf7180000050397-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000050397-processed-gene-0.30&CDS=1-1203
OG0001753	YGR012W	augustus_masked-scf7180000050400-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.109&CDS=1-1158
OG0001754	YGR013W	snap_masked-scf7180000050397-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scf7180000050397-processed-gene-0.59&CDS=1-1803
OG0001755	YGR014W	augustus_masked-scf7180000050400-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.108&CDS=1-3240
OG0001756	YGR015C	augustus_masked-scf7180000050400-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.76&CDS=1-852
OG0001757	YGR016W	augustus_masked-scf7180000050400-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scf7180000050400-processed-gene-0.107&CDS=1-561
OG0001758	YGR017W	genemark-scf7180000050367-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000050367-processed-gene-0.60&CDS=1-864
OG0001759	YGR019W	augustus_masked-scf7180000050367-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000050367-processed-gene-0.31&CDS=1-1431
OG0001760	YGR020C	augustus_masked-scf7180000050367-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000050367-processed-gene-0.22&CDS=1-354
OG0001761	YGR024C	augustus_masked-scf7180000050349-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000050349-processed-gene-0.11&CDS=1-711
OG0001762	YGR026W	augustus_masked-scf7180000050349-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000050349-processed-gene-0.10&CDS=1-837
OG0001763	YGR028W	augustus_masked-scf7180000050227-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000050227-processed-gene-0.9&CDS=1-1110
OG0001764	YGR030C	augustus_masked-scf7180000050227-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000050227-processed-gene-0.6&CDS=1-489
OG0001765	YGR031W	maker-scf7180000050104-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000050104-snap-gene-0.5&CDS=1-864
OG0001766	YGR033C	augustus_masked-scf7180000050357-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.125&CDS=1-729
OG0001767	YGR037C	augustus_masked-scf7180000050357-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.124&CDS=1-258
OG0001768	YGR040W	augustus_masked-scf7180000050357-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.159&CDS=1-1131
OG0001769	YGR042W	augustus_masked-scf7180000050357-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.157&CDS=1-924
OG0001770	YGR043C	augustus_masked-scf7180000050357-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.123&CDS=1-1008
OG0001771	YGR044C	augustus_masked-scf7180000050357-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.122&CDS=1-1452
OG0001772	YGR046W	augustus_masked-scf7180000050338-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000050338-processed-gene-0.59&CDS=1-1194
OG0001773	YGR047C	augustus_masked-scf7180000050358-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000050358-processed-gene-0.18&CDS=1-3111
OG0001774	YGR048W	augustus_masked-scf7180000050095-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000050095-processed-gene-0.59&CDS=1-1014
OG0001775	YGR049W	snap_masked-scf7180000050357-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scf7180000050357-processed-gene-1.75&CDS=1-669
OG0001776	YGR052W	augustus_masked-scf7180000050357-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.155&CDS=1-1113
OG0001777	YGR053C	augustus_masked-scf7180000050357-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.121&CDS=1-765
OG0001778	YGR054W	augustus_masked-scf7180000050335-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000050335-processed-gene-0.81&CDS=1-1908
OG0001779	YGR057C	augustus_masked-scf7180000050357-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.120&CDS=1-729
OG0001780	YGR058W	augustus_masked-scf7180000050357-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.152&CDS=1-1146
OG0001781	YGR059W	snap_masked-scf7180000050357-processed-gene-1.70-mRNA-1_1&gene=snap_masked-scf7180000050357-processed-gene-1.70&CDS=1-1491
OG0001782	YGR060W	augustus_masked-scf7180000050357-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.150&CDS=1-927
OG0001783	YGR061C	augustus_masked-scf7180000050357-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.119&CDS=1-4077
OG0001784	YGR063C	maker-scf7180000050357-augustus-gene-1.84-mRNA-1_1&gene=maker-scf7180000050357-augustus-gene-1.84&CDS=1-1230
OG0001785	YGR065C	augustus_masked-scf7180000050357-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-scf7180000050357-processed-gene-1.117&CDS=1-1794
OG0001786	YGR068C	maker-scf7180000050357-augustus-gene-1.83-mRNA-1_1&gene=maker-scf7180000050357-augustus-gene-1.83&CDS=1-1065
OG0001787	YGR072W	snap_masked-scf7180000050319-processed-gene-1.14-mRNA-1_1&gene=snap_masked-scf7180000050319-processed-gene-1.14&CDS=1-1245
OG0001788	YGR074W	augustus_masked-scf7180000050315-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scf7180000050315-processed-gene-0.60&CDS=1-438
OG0001789	YGR075C	augustus_masked-scf7180000050319-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-scf7180000050319-processed-gene-1.111&CDS=1-693
OG0001790	YGR076C	augustus_masked-scf7180000050315-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000050315-processed-gene-0.53&CDS=1-462
OG0001791	YGR077C	snap_masked-scf7180000050319-processed-gene-1.46-mRNA-1_1&gene=snap_masked-scf7180000050319-processed-gene-1.46&CDS=1-1758
OG0001792	YGR078C	augustus_masked-scf7180000050315-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000050315-processed-gene-0.52&CDS=1-594
OG0001793	YGR079W	snap_masked-scf7180000050331-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000050331-processed-gene-0.141&CDS=1-1092
OG0001794	YGR080W	augustus_masked-scf7180000050331-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.214&CDS=1-969
OG0001795	YGR081C	augustus_masked-scf7180000050331-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.174&CDS=1-603
OG0001796	YGR082W	augustus_masked-scf7180000050331-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.213&CDS=1-549
OG0001797	YGR083C	augustus_masked-scf7180000050331-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.173&CDS=1-1905
OG0001798	YGR084C	augustus_masked-scf7180000050331-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.172&CDS=1-963
OG0001799	YGR089W	augustus_masked-scf7180000050331-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.211&CDS=1-2730
OG0001800	YGR090W	augustus_masked-scf7180000050331-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.210&CDS=1-3693
OG0001801	YGR091W	augustus_masked-scf7180000050337-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.62&CDS=1-1464
OG0001802	YGR094W	augustus_masked-scf7180000050331-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-scf7180000050331-processed-gene-0.195&CDS=1-3180
OG0001803	YGR095C	augustus_masked-scf7180000050337-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.44&CDS=1-666
OG0001804	YGR098C	augustus_masked-scf7180000050337-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.43&CDS=1-5280
OG0001805	YGR099W	augustus_masked-scf7180000050337-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.58&CDS=1-2034
OG0001806	YGR100W	augustus_masked-scf7180000050337-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.57&CDS=1-2826
OG0001807	YGR101W	augustus_masked-scf7180000050337-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.56&CDS=1-1008
OG0001808	YGR102C	augustus_masked-scf7180000050337-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.42&CDS=1-534
OG0001809	YGR103W	genemark-scf7180000050337-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000050337-processed-gene-0.16&CDS=1-1773
OG0001810	YGR104C	augustus_masked-scf7180000050337-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.41&CDS=1-849
OG0001811	YGR105W	augustus_masked-scf7180000050337-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000050337-processed-gene-0.54&CDS=1-231
OG0001812	YGR110W	augustus_masked-scf7180000050391-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.35&CDS=1-1260
OG0001813	YGR111W	augustus_masked-scf7180000050391-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.4&CDS=1-1194
OG0001814	YGR112W	augustus_masked-scf7180000050391-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000050391-processed-gene-0.5&CDS=1-1110
OG0001815	YGR113W	snap_masked-scf7180000050391-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scf7180000050391-processed-gene-0.77&CDS=1-1062
OG0001816	YGR116W	genemark-scf7180000050331-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000050331-processed-gene-0.81&CDS=1-5508
OG0001817	YGR117C	snap_masked-scf7180000050391-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scf7180000050391-processed-gene-0.111&CDS=1-1392
