	Saccharomyces_cerevisiae	yHMPu5000026124_Ogataea_henricii
OG0001587	YGR271W	genemark-flattened_line_82-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.112&CDS=1-5913
OG0001588	YGR274C	genemark-flattened_line_96-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.21&CDS=1-3348
OG0001589	YGR276C	augustus_masked-flattened_line_58-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.9&CDS=1-2640
OG0001590	YGR277C	genemark-flattened_line_6-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.93&CDS=1-876
OG0001591	YGR278W	genemark-flattened_line_6-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.110&CDS=1-1695
OG0001592	YGR279C	genemark-flattened_line_8-processed-gene-2.95-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.95&CDS=1-1173
OG0001593	YGR280C	genemark-flattened_line_26-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.29&CDS=1-882
OG0001594	YGR282C	snap_masked-flattened_line_0-processed-gene-6.66-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.66&CDS=1-942
OG0001595	YGR284C	genemark-flattened_line_0-processed-gene-6.103-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.103&CDS=1-972
OG0001596	YGR285C	genemark-flattened_line_18-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.39&CDS=1-1284
OG0001597	YHL002W	genemark-flattened_line_38-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.98&CDS=1-1425
OG0001598	YHL004W	genemark-flattened_line_38-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.78&CDS=1-1266
OG0001599	YHL007C	genemark-flattened_line_10-processed-gene-2.118-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.118&CDS=1-3000
OG0001600	YHL009C	genemark-flattened_line_14-processed-gene-2.174-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.174&CDS=1-1047
OG0001601	YHL010C	genemark-flattened_line_44-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.33&CDS=1-1899
OG0001602	YHL013C	genemark-flattened_line_34-processed-gene-1.97-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.97&CDS=1-888
OG0001603	YHL014C	genemark-flattened_line_34-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.42&CDS=1-1242
OG0001604	YHL015W	genemark-flattened_line_0-processed-gene-2.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.68&CDS=1-345
OG0001605	YHL016C	maker-flattened_line_92-augustus-gene-0.37-mRNA-1_1&gene=maker-flattened_line_92-augustus-gene-0.37&CDS=1-2154
OG0001606	YHL018W	genemark-flattened_line_88-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.37&CDS=1-309
OG0001607	YHL023C	genemark-flattened_line_0-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.41&CDS=1-2505
OG0001608	YHL024W	genemark-flattened_line_12-processed-gene-3.139-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.139&CDS=1-2196
OG0001609	YHL027W	augustus_masked-flattened_line_62-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.46&CDS=1-2244
OG0001610	YHL028W	maker-flattened_line_62-snap-gene-0.12-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.12&CDS=1-1614
OG0001611	YHL029C	genemark-flattened_line_12-processed-gene-3.108-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.108&CDS=1-1986
OG0001612	YHL030W	snap_masked-flattened_line_12-processed-gene-3.24-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.24&CDS=1-5472
OG0001613	YHL031C	snap_masked-flattened_line_22-processed-gene-1.25-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.25&CDS=1-657
OG0001614	YHL032C	genemark-flattened_line_108-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.9&CDS=1-1869
OG0001615	YHR001W-A	genemark-flattened_line_78-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.27&CDS=1-234
OG0001616	YHR002W	genemark-flattened_line_46-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.80&CDS=1-1104
OG0001617	YHR004C	genemark-flattened_line_72-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.75&CDS=1-1488
OG0001618	YHR005C	maker-flattened_line_22-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-0.8&CDS=1-3081
OG0001619	YHR005C-A	augustus_masked-flattened_line_68-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.156&CDS=1-279
OG0001620	YHR007C	genemark-flattened_line_28-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.63&CDS=1-1569
OG0001621	YHR008C	genemark-flattened_line_4-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.109&CDS=1-687
OG0001622	YHR009C	genemark-flattened_line_80-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.13&CDS=1-1671
OG0001623	YHR011W	genemark-flattened_line_24-processed-gene-1.176-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.176&CDS=1-1452
OG0001624	YHR012W	maker-flattened_line_16-snap-gene-1.2-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.2&CDS=1-1059
OG0001625	YHR013C	genemark-flattened_line_16-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.53&CDS=1-651
OG0001626	YHR018C	genemark-flattened_line_4-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.101&CDS=1-1395
OG0001627	YHR020W	maker-flattened_line_24-snap-gene-1.300-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-1.300&CDS=1-5115
OG0001628	YHR023W	maker-flattened_line_32-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.47&CDS=1-3999
OG0001629	YHR024C	genemark-flattened_line_90-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.72&CDS=1-1506
OG0001630	YHR025W	genemark-flattened_line_60-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.73&CDS=1-1071
OG0001631	YHR026W	genemark-flattened_line_60-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.46&CDS=1-588
OG0001632	YHR027C	genemark-flattened_line_4-processed-gene-1.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.127&CDS=1-2754
OG0001633	YHR030C	genemark-flattened_line_4-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.104&CDS=1-1365
OG0001634	YHR032W	genemark-flattened_line_72-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.85&CDS=1-1803
OG0001635	YHR034C	genemark-flattened_line_70-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.16&CDS=1-1104
OG0001636	YHR037W	genemark-flattened_line_24-processed-gene-1.142-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.142&CDS=1-1794
OG0001637	YHR038W	genemark-flattened_line_46-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.141&CDS=1-807
OG0001638	YHR039C	genemark-flattened_line_46-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.94&CDS=1-1938
OG0001639	YHR040W	augustus_masked-flattened_line_88-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.25&CDS=1-1002
OG0001640	YHR041C	genemark-flattened_line_62-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.93&CDS=1-837
OG0001641	YHR042W	augustus_masked-flattened_line_30-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.131&CDS=1-2964
OG0001642	YHR045W	snap_masked-flattened_line_28-processed-gene-1.266-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.266&CDS=1-1434
OG0001643	YHR051W	genemark-flattened_line_32-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.115&CDS=1-447
OG0001644	YHR052W	genemark-flattened_line_20-processed-gene-2.155-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.155&CDS=1-1179
OG0001645	YHR058C	maker-flattened_line_26-snap-gene-1.328-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.328&CDS=1-1056
OG0001646	YHR059W	genemark-flattened_line_26-processed-gene-1.134-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.134&CDS=1-498
OG0001647	YHR062C	genemark-flattened_line_2-processed-gene-3.104-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.104&CDS=1-897
OG0001648	YHR063C	genemark-flattened_line_114-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.13&CDS=1-1007
OG0001649	YHR064C	genemark-flattened_line_132-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.3&CDS=1-1587
OG0001650	YHR065C	maker-flattened_line_58-snap-gene-0.138-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.138&CDS=1-3039
OG0001651	YHR068W	genemark-flattened_line_8-processed-gene-4.35-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.35&CDS=1-1116
OG0001652	YHR069C	genemark-flattened_line_72-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.52&CDS=1-1065
OG0001653	YHR070W	augustus_masked-flattened_line_26-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.57&CDS=1-1356
OG0001654	YHR071W	augustus_masked-flattened_line_28-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.70&CDS=1-780
OG0001655	YHR072W	genemark-flattened_line_28-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.121&CDS=1-2166
OG0001656	YHR072W-A	snap_masked-flattened_line_16-processed-gene-2.6-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.6&CDS=1-177
OG0001657	YHR073W	genemark-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.58&CDS=1-3468
OG0001658	YHR074W	genemark-flattened_line_70-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.39&CDS=1-2130
OG0001659	YHR075C	genemark-flattened_line_70-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.13&CDS=1-1341
OG0001660	YHR076W	maker-flattened_line_4-augustus-gene-2.72-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.72&CDS=1-1365
OG0001661	YHR077C	genemark-flattened_line_4-processed-gene-2.23-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.23&CDS=1-3195
OG0001662	YHR079C	genemark-flattened_line_16-processed-gene-2.169-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.169&CDS=1-3546
OG0001663	YHR083W	genemark-flattened_line_4-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.99&CDS=1-1002
OG0001664	YHR084W	genemark-flattened_line_24-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.97&CDS=1-2247
OG0001665	YHR085W	genemark-flattened_line_88-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.39&CDS=1-1125
OG0001666	YHR087W	genemark-flattened_line_46-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.142&CDS=1-348
OG0001667	YHR089C	genemark-flattened_line_68-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.92&CDS=1-588
OG0001668	YHR098C	genemark-flattened_line_4-processed-gene-2.7-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.7&CDS=1-2838
OG0001669	YHR099W	snap_masked-flattened_line_78-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.95&CDS=1-10776
OG0001670	YHR100C	genemark-flattened_line_120-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.27&CDS=1-606
OG0001671	YHR104W	genemark-flattened_line_8-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.44&CDS=1-954
OG0001672	YHR107C	maker-flattened_line_2-augustus-gene-2.157-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.157&CDS=1-1152
OG0001673	YHR109W	maker-flattened_line_12-augustus-gene-1.152-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-1.152&CDS=1-1992
OG0001674	YHR110W	genemark-flattened_line_20-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.33&CDS=1-645
OG0001675	YHR111W	augustus_masked-flattened_line_20-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.75&CDS=1-1299
OG0001676	YHR112C	genemark-flattened_line_20-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.10&CDS=1-1128
OG0001677	YHR113W	maker-flattened_line_16-snap-gene-1.1-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.1&CDS=1-5913
OG0001678	YHR114W	maker-flattened_line_4-snap-gene-3.14-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.14&CDS=1-4230
OG0001679	YHR116W	genemark-flattened_line_0-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.59&CDS=1-378
OG0001680	YHR118C	snap_masked-flattened_line_8-processed-gene-3.16-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.16&CDS=1-1116
OG0001681	YHR119W	genemark-flattened_line_8-processed-gene-3.72-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.72&CDS=1-3141
OG0001682	YHR120W	maker-flattened_line_8-augustus-gene-3.154-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-3.154&CDS=1-2868
OG0001683	YHR121W	genemark-flattened_line_8-processed-gene-3.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.78&CDS=1-630
OG0001684	YHR122W	genemark-flattened_line_8-processed-gene-3.76-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.76&CDS=1-678
OG0001685	YHR124W	augustus_masked-flattened_line_8-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.147&CDS=1-1248
OG0001686	YHR128W	augustus_masked-flattened_line_46-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.74&CDS=1-1761
OG0001687	YHR132C	genemark-flattened_line_40-processed-gene-1.66-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.66&CDS=1-1455
OG0001688	YHR137W	augustus_masked-flattened_line_50-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.99&CDS=1-1476
OG0001689	YHR140W	genemark-flattened_line_40-processed-gene-1.65-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.65&CDS=1-654
OG0001690	YHR142W	genemark-flattened_line_48-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.120&CDS=1-924
OG0001691	YHR143W-A	snap_masked-flattened_line_42-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.96&CDS=1-216
OG0001692	YHR144C	genemark-flattened_line_40-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.100&CDS=1-942
OG0001693	YHR147C	genemark-flattened_line_14-processed-gene-2.175-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.175&CDS=1-663
OG0001694	YHR148W	genemark-flattened_line_14-processed-gene-2.128-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.128&CDS=1-549
OG0001695	YHR151C	genemark-flattened_line_86-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.78&CDS=1-1554
OG0001696	YHR154W	snap_masked-flattened_line_8-processed-gene-4.155-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.155&CDS=1-2106
OG0001697	YHR156C	genemark-flattened_line_0-processed-gene-1.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.98&CDS=1-1188
OG0001698	YHR164C	genemark-flattened_line_36-processed-gene-1.31-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.31&CDS=1-4560
OG0001699	YHR165C	maker-flattened_line_4-augustus-gene-4.173-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.173&CDS=1-8916
OG0001700	YHR168W	genemark-flattened_line_18-processed-gene-1.36-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.36&CDS=1-1716
OG0001701	YHR169W	genemark-flattened_line_18-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.13&CDS=1-1314
OG0001702	YHR170W	genemark-flattened_line_90-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.41&CDS=1-1539
OG0001703	YHR171W	genemark-flattened_line_90-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.42&CDS=1-1917
OG0001704	YHR172W	snap_masked-flattened_line_18-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.102&CDS=1-2109
OG0001705	YHR175W	genemark-flattened_line_80-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.32&CDS=1-492
OG0001706	YHR178W	augustus_masked-flattened_line_2-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.65&CDS=1-2508
OG0001707	YHR181W	genemark-flattened_line_70-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.42&CDS=1-693
OG0001708	YHR183W	augustus_masked-flattened_line_50-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.136&CDS=1-1473
OG0001709	YHR186C	genemark-flattened_line_0-processed-gene-3.126-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.126&CDS=1-4194
OG0001710	YHR187W	genemark-flattened_line_20-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.103&CDS=1-885
OG0001711	YHR188C	genemark-flattened_line_20-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.41&CDS=1-1887
OG0001712	YHR189W	genemark-flattened_line_8-processed-gene-2.58-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.58&CDS=1-663
OG0001713	YHR190W	maker-flattened_line_64-augustus-gene-0.9-mRNA-1_1&gene=maker-flattened_line_64-augustus-gene-0.9&CDS=1-1338
OG0001714	YHR191C	genemark-flattened_line_48-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.149&CDS=1-459
OG0001715	YHR192W	genemark-flattened_line_48-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.109&CDS=1-819
OG0001716	YHR193C	genemark-flattened_line_48-processed-gene-0.150-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.150&CDS=1-555
OG0001717	YHR194W	genemark-flattened_line_36-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.18&CDS=1-1737
OG0001718	YHR197W	augustus_masked-flattened_line_34-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.129&CDS=1-2229
OG0001719	YHR198C	genemark-flattened_line_0-processed-gene-6.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.117&CDS=1-936
OG0001720	YHR200W	genemark-flattened_line_38-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.112&CDS=1-816
OG0001721	YHR201C	genemark-flattened_line_4-processed-gene-4.11-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.11&CDS=1-1107
OG0001722	YHR204W	genemark-flattened_line_82-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.110&CDS=1-2706
OG0001723	YHR205W	genemark-flattened_line_82-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.111&CDS=1-2160
OG0001724	YHR206W	genemark-flattened_line_96-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.14&CDS=1-1632
OG0001725	YHR207C	genemark-flattened_line_30-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.67&CDS=1-1467
OG0001726	YHR208W	genemark-flattened_line_8-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.77&CDS=1-1113
OG0001727	YIL001W	genemark-flattened_line_4-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.115&CDS=1-1584
OG0001728	YIL003W	genemark-flattened_line_58-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.87&CDS=1-822
OG0001729	YIL004C	genemark-flattened_line_90-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.50&CDS=1-528
OG0001730	YIL005W	genemark-flattened_line_18-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.30&CDS=1-2235
OG0001731	YIL007C	genemark-flattened_line_4-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.114&CDS=1-645
OG0001732	YIL008W	genemark-flattened_line_4-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.94&CDS=1-309
OG0001733	YIL010W	genemark-flattened_line_6-processed-gene-2.61-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.61&CDS=1-654
OG0001734	YIL017C	genemark-flattened_line_52-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.18&CDS=1-2472
OG0001735	YIL019W	genemark-flattened_line_6-processed-gene-3.9-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.9&CDS=1-723
OG0001736	YIL020C	genemark-flattened_line_6-processed-gene-3.34-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.34&CDS=1-771
OG0001737	YIL021W	genemark-flattened_line_6-processed-gene-3.33-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.33&CDS=1-981
OG0001738	YIL022W	genemark-flattened_line_0-processed-gene-5.110-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.110&CDS=1-1236
OG0001739	YIL023C	genemark-flattened_line_24-processed-gene-1.198-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.198&CDS=1-1782
OG0001740	YIL026C	genemark-flattened_line_24-processed-gene-1.153-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.153&CDS=1-3486
OG0001741	YIL030C	snap_masked-flattened_line_6-processed-gene-1.100-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.100&CDS=1-3654
OG0001742	YIL031W	snap_masked-flattened_line_0-processed-gene-5.26-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.26&CDS=1-3516
OG0001743	YIL033C	genemark-flattened_line_34-processed-gene-1.16-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.16&CDS=1-1359
OG0001744	YIL034C	genemark-flattened_line_34-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.17&CDS=1-837
OG0001745	YIL039W	snap_masked-flattened_line_66-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.103&CDS=1-1410
OG0001746	YIL041W	genemark-flattened_line_0-processed-gene-5.93-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.93&CDS=1-978
OG0001747	YIL042C	genemark-flattened_line_0-processed-gene-6.167-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.167&CDS=1-1344
OG0001748	YIL043C	genemark-flattened_line_28-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.79&CDS=1-840
OG0001749	YIL044C	genemark-flattened_line_18-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.59&CDS=1-1053
OG0001750	YIL046W	genemark-flattened_line_12-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.56&CDS=1-2037
OG0001751	YIL047C	genemark-flattened_line_10-processed-gene-3.134-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.134&CDS=1-3240
OG0001752	YIL048W	augustus_masked-flattened_line_10-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.17&CDS=1-4242
OG0001753	YIL049W	genemark-flattened_line_8-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.103&CDS=1-852
OG0001754	YIL061C	augustus_masked-flattened_line_18-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.82&CDS=1-2685
OG0001755	YIL062C	maker-flattened_line_62-snap-gene-0.15-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.15&CDS=1-906
OG0001756	YIL063C	augustus_masked-flattened_line_126-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.13&CDS=1-1182
OG0001757	YIL064W	genemark-flattened_line_126-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_126-processed-gene-0.24&CDS=1-711
OG0001758	YIL065C	genemark-flattened_line_22-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.84&CDS=1-468
OG0001759	YIL067C	genemark-flattened_line_0-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.100&CDS=1-2055
OG0001760	YIL070C	genemark-flattened_line_22-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.100&CDS=1-768
OG0001761	YIL072W	genemark-flattened_line_60-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.54&CDS=1-1671
OG0001762	YIL075C	genemark-flattened_line_54-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.9&CDS=1-2895
OG0001763	YIL078W	genemark-flattened_line_60-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.47&CDS=1-2193
OG0001764	YIL083C	genemark-flattened_line_32-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.105&CDS=1-1023
OG0001765	YIL087C	genemark-flattened_line_32-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.99&CDS=1-447
OG0001766	YIL088C	genemark-flattened_line_32-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.124&CDS=1-1338
