	Saccharomyces_cerevisiae	yHMPu5000034886_Ogataea_trehalophila
OG0001282	YER030W	genemark-NODE_60_length_72684_cov_14.121_ID_119-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_60_length_72684_cov_14.121_ID_119-processed-gene-0.71&CDS=1-477
OG0001283	YER036C	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.104-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.104&CDS=1-1824
OG0001284	YER041W	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.21-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.21&CDS=1-2676
OG0001285	YER042W	genemark-NODE_78_length_50721_cov_13.3598_ID_155-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_78_length_50721_cov_13.3598_ID_155-processed-gene-0.28&CDS=1-606
OG0001286	YER043C	genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.45&CDS=1-1344
OG0001287	YER044C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.38-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.38&CDS=1-423
OG0001288	YER046W	genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-2.56&CDS=1-1287
OG0001289	YER047C	genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-0.108&CDS=1-2211
OG0001290	YER048C	genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-0.82&CDS=1-1362
OG0001291	YER048W-A	snap_masked-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.229-mRNA-1_1&gene=snap_masked-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.229&CDS=1-249
OG0001292	YER049W	genemark-NODE_63_length_67103_cov_12.8034_ID_125-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_63_length_67103_cov_12.8034_ID_125-processed-gene-0.44&CDS=1-2013
OG0001293	YER050C	genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-0.44&CDS=1-507
OG0001294	YER051W	genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-0.61&CDS=1-1692
OG0001295	YER052C	genemark-NODE_83_length_47479_cov_12.2302_ID_165-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_83_length_47479_cov_12.2302_ID_165-processed-gene-0.57&CDS=1-1587
OG0001296	YER061C	genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.147-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.147&CDS=1-1302
OG0001297	YER063W	genemark-NODE_66_length_65680_cov_13.561_ID_131-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_66_length_65680_cov_13.561_ID_131-processed-gene-0.32&CDS=1-648
OG0001298	YER065C	genemark-NODE_66_length_65680_cov_13.561_ID_131-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_66_length_65680_cov_13.561_ID_131-processed-gene-0.46&CDS=1-1647
OG0001299	YER068W	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-1.26&CDS=1-1923
OG0001300	YER069W	snap_masked-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.270-mRNA-1_1&gene=snap_masked-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.270&CDS=1-2628
OG0001301	YER072W	maker-NODE_21_length_214908_cov_18.2348_ID_41-snap-gene-0.79-mRNA-1_1&gene=maker-NODE_21_length_214908_cov_18.2348_ID_41-snap-gene-0.79&CDS=1-2664
OG0001302	YER074W-A	genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-2.57&CDS=1-315
OG0001303	YER077C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.147-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.147&CDS=1-1377
OG0001304	YER078C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.148-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.148&CDS=1-1485
OG0001305	YER080W	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.37&CDS=1-1926
OG0001306	YER082C	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.20&CDS=1-1593
OG0001307	YER083C	genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.2&CDS=1-993
OG0001308	YER086W	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.96-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-4.96&CDS=1-1689
OG0001309	YER087W	snap_masked-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.184-mRNA-1_1&gene=snap_masked-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.184&CDS=1-3078
OG0001310	YER090W	genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.46&CDS=1-1569
OG0001311	YER091C	genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.48&CDS=1-2295
OG0001312	YER094C	genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.62&CDS=1-615
OG0001313	YER095W	genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.109&CDS=1-1095
OG0001314	YER100W	genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.112&CDS=1-783
OG0001315	YER107C	genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.77&CDS=1-1128
OG0001316	YER110C	genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.109&CDS=1-3288
OG0001317	YER112W	genemark-NODE_77_length_50813_cov_12.8302_ID_153-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_77_length_50813_cov_12.8302_ID_153-processed-gene-0.37&CDS=1-498
OG0001318	YER113C	genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_28_length_177010_cov_14.6467_ID_55-processed-gene-0.103&CDS=1-2034
OG0001319	YER114C	genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-0.79&CDS=1-2871
OG0001320	YER118C	genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.103&CDS=1-930
OG0001321	YER120W	genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.58&CDS=1-750
OG0001322	YER122C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-0.65&CDS=1-1353
OG0001323	YER124C	genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.134-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.134&CDS=1-1782
OG0001324	YER125W	genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.98&CDS=1-2346
OG0001325	YER126C	genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.58&CDS=1-783
OG0001326	YER127W	genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.29&CDS=1-1149
OG0001327	YER134C	genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_5_length_345753_cov_13.3743_ID_9-processed-gene-2.102&CDS=1-588
OG0001328	YER136W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.123-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.123&CDS=1-1347
OG0001329	YER140W	genemark-NODE_74_length_57065_cov_22.7306_ID_147-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_74_length_57065_cov_22.7306_ID_147-processed-gene-0.43&CDS=1-2148
OG0001330	YER141W	maker-NODE_57_length_77705_cov_13.3156_ID_113-snap-gene-0.93-mRNA-1_1&gene=maker-NODE_57_length_77705_cov_13.3156_ID_113-snap-gene-0.93&CDS=1-1860
OG0001331	YER142C	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.158-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.158&CDS=1-1032
OG0001332	YER143W	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.121&CDS=1-1314
OG0001333	YER146W	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.120&CDS=1-279
OG0001334	YER148W	genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.2&CDS=1-771
OG0001335	YER149C	genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.150-mRNA-1_1&gene=genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.150&CDS=1-1524
OG0001336	YER150W	genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.57&CDS=1-357
OG0001337	YER151C	snap_masked-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.18&CDS=1-2208
OG0001338	YER152C	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.131-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.131&CDS=1-1314
OG0001339	YER154W	genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_25_length_183651_cov_12.6735_ID_49-processed-gene-0.99&CDS=1-1167
OG0001340	YER155C	genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.116&CDS=1-6168
OG0001341	YER156C	genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_49_length_90231_cov_11.5931_ID_97-processed-gene-0.97&CDS=1-1038
OG0001342	YER157W	maker-NODE_37_length_147543_cov_13.8681_ID_73-augustus-gene-0.115-mRNA-1_1&gene=maker-NODE_37_length_147543_cov_13.8681_ID_73-augustus-gene-0.115&CDS=1-4500
OG0001343	YER159C	genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.18&CDS=1-375
OG0001344	YER162C	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.108&CDS=1-4512
OG0001345	YER163C	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.110-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-0.110&CDS=1-750
OG0001346	YER164W	genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.151-mRNA-1_1&gene=genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.151&CDS=1-4293
OG0001347	YER165W	genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.152-mRNA-1_1&gene=genemark-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.152&CDS=1-1896
OG0001348	YER168C	augustus_masked-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.29&CDS=1-3072
OG0001349	YER170W	genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-2.77-mRNA-1_1&gene=genemark-NODE_8_length_322607_cov_12.9308_ID_15-processed-gene-2.77&CDS=1-678
OG0001350	YER171W	maker-NODE_70_length_60666_cov_13.5245_ID_139-augustus-gene-0.35-mRNA-1_1&gene=maker-NODE_70_length_60666_cov_13.5245_ID_139-augustus-gene-0.35&CDS=1-2343
OG0001351	YER175C	genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.119-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.119&CDS=1-891
OG0001352	YER176W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.50-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.50&CDS=1-2667
OG0001353	YER177W	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-1.46&CDS=1-762
OG0001354	YER178W	genemark-NODE_70_length_60666_cov_13.5245_ID_139-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_70_length_60666_cov_13.5245_ID_139-processed-gene-0.17&CDS=1-1188
OG0001355	YER179W	genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.16&CDS=1-1011
OG0001356	YER182W	genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.68&CDS=1-918
OG0001357	YER183C	genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.28&CDS=1-732
OG0001358	YFL001W	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.53&CDS=1-1371
OG0001359	YFL002C	genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-0.41&CDS=1-1830
OG0001360	YFL003C	snap_masked-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_31_length_174203_cov_12.9361_ID_61-processed-gene-0.51&CDS=1-2673
OG0001361	YFL005W	genemark-NODE_87_length_42962_cov_12.9754_ID_173-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_87_length_42962_cov_12.9754_ID_173-processed-gene-0.29&CDS=1-615
OG0001362	YFL007W	genemark-NODE_29_length_175933_cov_13.7951_ID_57-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_29_length_175933_cov_13.7951_ID_57-processed-gene-0.9&CDS=1-6528
OG0001363	YFL008W	genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.3&CDS=1-3699
OG0001364	YFL013C	genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.5&CDS=1-2565
OG0001365	YFL014W	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.80-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.80&CDS=1-348
OG0001366	YFL017C	genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.15&CDS=1-456
OG0001367	YFL017W-A	augustus_masked-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_81_length_48773_cov_11.9544_ID_161-processed-gene-0.56&CDS=1-255
OG0001368	YFL018C	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.106-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.106&CDS=1-1467
OG0001369	YFL022C	genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.146&CDS=1-1485
OG0001370	YFL023W	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.61&CDS=1-2958
OG0001371	YFL024C	genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.136-mRNA-1_1&gene=genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.136&CDS=1-2616
OG0001372	YFL025C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.42&CDS=1-3249
OG0001373	YFL026W	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.44&CDS=1-1233
OG0001374	YFL027C	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.148-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.148&CDS=1-1728
OG0001375	YFL028C	genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.47&CDS=1-933
OG0001376	YFL029C	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-1.117&CDS=1-1017
OG0001377	YFL030W	augustus_masked-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-2.2&CDS=1-1239
OG0001378	YFL033C	maker-NODE_21_length_214908_cov_18.2348_ID_41-snap-gene-1.54-mRNA-1_1&gene=maker-NODE_21_length_214908_cov_18.2348_ID_41-snap-gene-1.54&CDS=1-5901
OG0001379	YFL034C-B	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.32&CDS=1-933
OG0001380	YFL034W	maker-NODE_87_length_42962_cov_12.9754_ID_173-snap-gene-0.38-mRNA-1_1&gene=maker-NODE_87_length_42962_cov_12.9754_ID_173-snap-gene-0.38&CDS=1-4188
OG0001381	YFL036W	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.17&CDS=1-4137
OG0001382	YFL037W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.136-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.136&CDS=1-1341
OG0001383	YFL038C	genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.104&CDS=1-609
OG0001384	YFL039C	genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_35_length_153980_cov_18.4772_ID_69-processed-gene-0.106&CDS=1-1128
OG0001385	YFL045C	genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.124-mRNA-1_1&gene=genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.124&CDS=1-753
OG0001386	YFL046W	genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.121-mRNA-1_1&gene=genemark-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.121&CDS=1-663
OG0001387	YFL047W	genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_36_length_148855_cov_16.1715_ID_71-processed-gene-0.59&CDS=1-2619
OG0001388	YFL053W	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.53&CDS=1-1830
OG0001389	YFL055W	genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.107-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-2.107&CDS=1-1611
OG0001390	YFR001W	genemark-NODE_52_length_86934_cov_22.2393_ID_103-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_52_length_86934_cov_22.2393_ID_103-processed-gene-0.49&CDS=1-609
OG0001391	YFR002W	genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.181-mRNA-1_1&gene=genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-2.181&CDS=1-2838
OG0001392	YFR004W	genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.69&CDS=1-933
OG0001393	YFR005C	genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.46&CDS=1-1398
OG0001394	YFR006W	genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_47_length_94609_cov_23.3353_ID_93-processed-gene-0.68&CDS=1-1431
OG0001395	YFR007W	genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_26_length_180113_cov_12.8975_ID_51-processed-gene-0.86&CDS=1-1176
OG0001396	YFR009W	genemark-NODE_27_length_178000_cov_13.0861_ID_53-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_27_length_178000_cov_13.0861_ID_53-processed-gene-0.10&CDS=1-2250
OG0001397	YFR010W	genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.13&CDS=1-1449
OG0001398	YFR011C	genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_16_length_259366_cov_13.0174_ID_31-processed-gene-1.47&CDS=1-429
OG0001399	YFR015C	genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-1.82&CDS=1-2079
OG0001400	YFR016C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.45&CDS=1-2034
OG0001401	YFR019W	maker-NODE_5_length_345753_cov_13.3743_ID_9-snap-gene-2.85-mRNA-1_1&gene=maker-NODE_5_length_345753_cov_13.3743_ID_9-snap-gene-2.85&CDS=1-6285
OG0001402	YFR021W	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-3.51&CDS=1-1695
OG0001403	YFR024C-A	genemark-NODE_84_length_45592_cov_19.2858_ID_167-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_84_length_45592_cov_19.2858_ID_167-processed-gene-0.41&CDS=1-1185
OG0001404	YFR025C	genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-1.64&CDS=1-957
OG0001405	YFR027W	genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_15_length_262862_cov_12.7655_ID_29-processed-gene-0.67&CDS=1-1158
OG0001406	YFR028C	genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_48_length_90375_cov_13.3603_ID_95-processed-gene-0.44&CDS=1-1713
OG0001407	YFR029W	augustus_masked-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_39_length_130376_cov_20.4769_ID_77-processed-gene-0.135&CDS=1-2046
OG0001408	YFR030W	genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-1.3-mRNA-1_1&gene=genemark-NODE_11_length_300117_cov_13.091_ID_21-processed-gene-1.3&CDS=1-3225
OG0001409	YFR031C	genemark-NODE_104_length_12653_cov_17.569_ID_207-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_104_length_12653_cov_17.569_ID_207-processed-gene-0.9&CDS=1-3513
