	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0001806	snap_masked-CABR0S21-processed-gene-0.72-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.72&CDS=1-2436	YMR309C
OG0001807	snap_masked-CABR0S21-processed-gene-0.73-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.73&CDS=1-3273	YMR308C
OG0001808	genemark-CABR0S21-processed-gene-0.22-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-0.22&CDS=1-3570	YMR304W
OG0001809	snap_masked-CABR0S21-processed-gene-0.75-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.75&CDS=1-2520	YMR302C
OG0001810	snap_masked-CABR0S21-processed-gene-0.78-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.78&CDS=1-2148	YMR301C
OG0001811	snap_masked-CABR0S21-processed-gene-0.79-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.79&CDS=1-1533	YMR300C
OG0001812	snap_masked-CABR0S21-processed-gene-0.80-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.80&CDS=1-1134	YMR299C
OG0001813	maker-CABR0S21-augustus-gene-0.108-mRNA-1_1&gene=maker-CABR0S21-augustus-gene-0.108&CDS=1-1983	YMR297W
OG0001814	snap_masked-CABR0S21-processed-gene-0.81-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.81&CDS=1-567	YMR295C
OG0001815	snap_masked-CABR0S21-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.99&CDS=1-1035	YMR294W
OG0001816	snap_masked-CABR0S21-processed-gene-0.82-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.82&CDS=1-1407	YMR293C
OG0001817	snap_masked-CABR0S21-processed-gene-0.100-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.100&CDS=1-414	YMR292W
OG0001818	snap_masked-CABR0S21-processed-gene-0.101-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.101&CDS=1-1860	YMR291W
OG0001819	snap_masked-CABR0S21-processed-gene-0.83-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.83&CDS=1-1482	YMR290C
OG0001820	snap_masked-CABR0S21-processed-gene-0.102-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.102&CDS=1-1110	YMR289W
OG0001821	snap_masked-CABR0S21-processed-gene-0.103-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.103&CDS=1-2751	YMR288W
OG0001822	snap_masked-CABR0S21-processed-gene-0.84-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.84&CDS=1-2070	YHR188C
OG0001823	genemark-CABR0S21-processed-gene-0.29-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-0.29&CDS=1-921	YHR187W
OG0001824	genemark-CABR0S21-processed-gene-0.15-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-0.15&CDS=1-4635	YHR186C
OG0001825	snap_masked-CABR0S21-processed-gene-0.86-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.86&CDS=1-786	YHR185C
OG0001826	snap_masked-CABR0S21-processed-gene-0.104-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.104&CDS=1-1785	YHR184W
OG0001827	snap_masked-CABR0S21-processed-gene-0.105-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.105&CDS=1-1467	YHR183W
OG0001828	genemark-CABR0S21-processed-gene-0.32-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-0.32&CDS=1-651	YHR181W
OG0001829	snap_masked-CABR0S21-processed-gene-0.88-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.88&CDS=1-456	YKL067W
OG0001830	snap_masked-CABR0S21-processed-gene-0.107-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-0.107&CDS=1-627	YKL065C
OG0001831	snap_masked-CABR0S21-processed-gene-1.0-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.0&CDS=1-3342	YKL064W
OG0001832	snap_masked-CABR0S21-processed-gene-1.5-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.5&CDS=1-621	YKL063C
OG0001833	snap_masked-CABR0S21-processed-gene-1.2-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.2&CDS=1-1854	YKL048C
OG0001834	snap_masked-CABR0S21-processed-gene-1.3-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.3&CDS=1-738	YKL049C
OG0001835	augustus_masked-CABR0S21-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-1.60&CDS=1-831	YKL053C-A
OG0001836	snap_masked-CABR0S21-processed-gene-1.8-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.8&CDS=1-1863	YKL054C
OG0001837	snap_masked-CABR0S21-processed-gene-1.9-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.9&CDS=1-798	YKL055C
OG0001838	snap_masked-CABR0S21-processed-gene-1.10-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.10&CDS=1-2172	YIL078W
OG0001839	snap_masked-CABR0S21-processed-gene-1.11-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.11&CDS=1-885	YIL076W
OG0001840	augustus_masked-CABR0S21-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-1.81&CDS=1-1317	YKL216W
OG0001841	snap_masked-CABR0S21-processed-gene-1.29-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.29&CDS=1-2832	YIL075C
OG0001842	snap_masked-CABR0S21-processed-gene-1.31-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.31&CDS=1-2967	YIL073C
OG0001843	snap_masked-CABR0S21-processed-gene-1.12-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.12&CDS=1-1782	YIL072W
OG0001844	snap_masked-CABR0S21-processed-gene-1.33-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.33&CDS=1-1344	YIL071C
OG0001845	snap_masked-CABR0S21-processed-gene-1.34-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.34&CDS=1-807	YIL070C
OG0001846	genemark-CABR0S21-processed-gene-1.139-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-1.139&CDS=1-372	YER072W
OG0001847	augustus_masked-CABR0S21-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-1.89&CDS=1-2484	YIL067C
OG0001848	genemark-CABR0S21-processed-gene-1.115-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-1.115&CDS=1-690	YIL064W
OG0001849	snap_masked-CABR0S21-processed-gene-1.38-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.38&CDS=1-906	YIL063C
OG0001850	snap_masked-CABR0S21-processed-gene-1.39-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.39&CDS=1-459	YIL062C
OG0001851	snap_masked-CABR0S21-processed-gene-1.40-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.40&CDS=1-873	YIL061C
OG0001852	genemark-CABR0S21-processed-gene-1.116-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-1.116&CDS=1-2124	YIL056W
OG0001853	maker-CABR0S21-snap-gene-1.158-mRNA-1_1&gene=maker-CABR0S21-snap-gene-1.158&CDS=1-1482	YIL055C
OG0001854	snap_masked-CABR0S21-processed-gene-1.46-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.46&CDS=1-429	YIL051C
OG0001855	snap_masked-CABR0S21-processed-gene-1.17-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.17&CDS=1-744	YIL049W
OG0001856	snap_masked-CABR0S21-processed-gene-1.18-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.18&CDS=1-3417	YIL048W
OG0001857	snap_masked-CABR0S21-processed-gene-1.19-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.19&CDS=1-1368	YMR243C
OG0001858	genemark-CABR0S21-processed-gene-1.149-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-1.149&CDS=1-927	YMR241W
OG0001859	genemark-CABR0S21-processed-gene-1.124-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-1.124&CDS=1-1395	YMR240C
OG0001860	snap_masked-CABR0S21-processed-gene-1.23-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.23&CDS=1-1335	YMR239C
OG0001861	snap_masked-CABR0S21-processed-gene-1.48-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.48&CDS=1-1344	YMR238W
OG0001862	snap_masked-CABR0S21-processed-gene-1.49-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.49&CDS=1-2193	YMR237W
OG0001863	snap_masked-CABR0S21-processed-gene-1.50-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.50&CDS=1-543	YMR236W
OG0001864	snap_masked-CABR0S21-processed-gene-1.24-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.24&CDS=1-453	YOR298C-A
OG0001865	snap_masked-CABR0S21-processed-gene-1.25-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.25&CDS=1-1206	YMR235C
OG0001866	snap_masked-CABR0S21-processed-gene-1.51-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.51&CDS=1-720	YMR233W
OG0001867	snap_masked-CABR0S21-processed-gene-1.52-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.52&CDS=1-1554	YMR232W
OG0001868	snap_masked-CABR0S21-processed-gene-2.1-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.1&CDS=1-3096	YMR231W
OG0001869	snap_masked-CABR0S21-processed-gene-2.0-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.0&CDS=1-5112	YMR229C
OG0001870	snap_masked-CABR0S21-processed-gene-2.21-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.21&CDS=1-699	YOR289W
OG0001871	maker-CABR0S21-augustus-gene-2.40-mRNA-1_1&gene=maker-CABR0S21-augustus-gene-2.40&CDS=1-1863	YOR288C
OG0001872	maker-CABR0S21-augustus-gene-2.41-mRNA-1_1&gene=maker-CABR0S21-augustus-gene-2.41&CDS=1-882	YOR286W
OG0001873	augustus_masked-CABR0S21-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-2.65&CDS=1-2850	YLR148W
OG0001874	snap_masked-CABR0S21-processed-gene-2.6-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.6&CDS=1-297	YLR147C
OG0001875	snap_masked-CABR0S21-processed-gene-2.7-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.7&CDS=1-894	YLR146C
OG0001876	genemark-CABR0S21-processed-gene-2.107-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-2.107&CDS=1-609	YLR145W
OG0001877	snap_masked-CABR0S21-processed-gene-2.8-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.8&CDS=1-2310	YLR144C
OG0001878	snap_masked-CABR0S21-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.28&CDS=1-2094	YLR143W
OG0001879	snap_masked-CABR0S21-processed-gene-2.29-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.29&CDS=1-1425	YLR142W
OG0001880	augustus_masked-CABR0S21-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-2.71&CDS=1-1719	YLR141W
OG0001881	snap_masked-CABR0S21-processed-gene-2.9-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.9&CDS=1-2112	YLR139C
OG0001882	snap_masked-CABR0S21-processed-gene-2.31-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.31&CDS=1-2811	YLR138W
OG0001883	genemark-CABR0S21-processed-gene-2.113-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-2.113&CDS=1-1041	YLR137W
OG0001884	augustus_masked-CABR0S21-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-2.74&CDS=1-2142	YLR135W
OG0001885	snap_masked-CABR0S21-processed-gene-2.34-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.34&CDS=1-1806	YLR133W
OG0001886	augustus_masked-CABR0S21-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-2.51&CDS=1-837	YLR132C
OG0001887	snap_masked-CABR0S21-processed-gene-2.11-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.11&CDS=1-2091	YLR131C
OG0001888	snap_masked-CABR0S21-processed-gene-2.35-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.35&CDS=1-2826	YLR129W
OG0001889	snap_masked-CABR0S21-processed-gene-2.36-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.36&CDS=1-834	YLR128W
OG0001890	augustus_masked-CABR0S21-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-2.54&CDS=1-2367	YLR127C
OG0001891	snap_masked-CABR0S21-processed-gene-2.14-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.14&CDS=1-768	YLR126C
OG0001892	snap_masked-CABR0S21-processed-gene-2.16-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.16&CDS=1-4908	YMR162C
OG0001893	snap_masked-CABR0S21-processed-gene-2.37-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.37&CDS=1-723	YMR161W
OG0001894	genemark-CABR0S21-processed-gene-2.99-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-2.99&CDS=1-393	YBL092W
OG0001895	snap_masked-CABR0S21-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.18&CDS=1-453	YBL090W
OG0001896	snap_masked-CABR0S21-processed-gene-2.38-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-2.38&CDS=1-8325	YBL088C
OG0001897	maker-CABR0S21-snap-gene-2.124-mRNA-1_1&gene=maker-CABR0S21-snap-gene-2.124&CDS=1-1293	YBL086C
OG0001898	snap_masked-CABR0S21-processed-gene-3.3-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.3&CDS=1-2304	YBL084C
OG0001899	snap_masked-CABR0S21-processed-gene-3.4-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.4&CDS=1-1173	YGL246C
OG0001900	snap_masked-CABR0S21-processed-gene-3.2-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.2&CDS=1-2118	YGL245W
OG0001901	snap_masked-CABR0S21-processed-gene-3.5-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.5&CDS=1-1806	YFR048W
OG0001902	genemark-CABR0S21-processed-gene-3.106-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.106&CDS=1-1005	YFR045W
OG0001903	snap_masked-CABR0S21-processed-gene-3.32-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.32&CDS=1-354	YGR020C
OG0001904	genemark-CABR0S21-processed-gene-3.107-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.107&CDS=1-846	YGR021W
OG0001905	snap_masked-CABR0S21-processed-gene-3.33-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.33&CDS=1-2061	YHR042W
OG0001906	snap_masked-CABR0S21-processed-gene-3.9-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.9&CDS=1-624	YHR041C
OG0001907	snap_masked-CABR0S21-processed-gene-3.34-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.34&CDS=1-1077	YHR040W
OG0001908	genemark-CABR0S21-processed-gene-3.110-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.110&CDS=1-342	YHR039C-A
OG0001909	genemark-CABR0S21-processed-gene-3.111-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.111&CDS=1-1905	YHR039C
OG0001910	snap_masked-CABR0S21-processed-gene-3.35-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.35&CDS=1-690	YHR038W
OG0001911	snap_masked-CABR0S21-processed-gene-3.37-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.37&CDS=1-579	YGR016W
OG0001912	augustus_masked-CABR0S21-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-3.61&CDS=1-975	YGR015C
OG0001913	snap_masked-CABR0S21-processed-gene-3.39-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.39&CDS=1-1581	YGR013W
OG0001914	snap_masked-CABR0S21-processed-gene-3.40-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.40&CDS=1-1155	YGR012W
OG0001915	snap_masked-CABR0S21-processed-gene-3.13-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.13&CDS=1-258	YLR327C
OG0001916	snap_masked-CABR0S21-processed-gene-3.41-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.41&CDS=1-957	YGR007W
OG0001917	genemark-CABR0S21-processed-gene-3.140-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.140&CDS=1-555	YGR006W
OG0001918	snap_masked-CABR0S21-processed-gene-3.14-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.14&CDS=1-1179	YGR005C
OG0001919	snap_masked-CABR0S21-processed-gene-3.43-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.43&CDS=1-1497	YGR004W
OG0001920	augustus_masked-CABR0S21-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-3.93&CDS=1-2259	YGR003W
OG0001921	genemark-CABR0S21-processed-gene-3.115-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.115&CDS=1-1527	YGR002C
OG0001922	augustus_masked-CABR0S21-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-3.94&CDS=1-513	YLR315W
OG0001923	snap_masked-CABR0S21-processed-gene-3.44-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.44&CDS=1-1299	YLR321C
OG0001924	snap_masked-CABR0S21-processed-gene-3.17-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.17&CDS=1-624	YAL003W
OG0001925	snap_masked-CABR0S21-processed-gene-3.18-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.18&CDS=1-738	YGR001C
OG0001926	snap_masked-CABR0S21-processed-gene-3.19-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.19&CDS=1-1047	YGL001C
OG0001927	snap_masked-CABR0S21-processed-gene-3.20-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.20&CDS=1-1620	YAR002W
OG0001928	genemark-CABR0S21-processed-gene-3.120-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.120&CDS=1-1326	YAR003W
OG0001929	snap_masked-CABR0S21-processed-gene-3.46-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.46&CDS=1-1878	YAR007C
OG0001930	augustus_masked-CABR0S21-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-3.70&CDS=1-870	YAR008W
OG0001931	maker-CABR0S21-snap-gene-3.151-mRNA-1_1&gene=maker-CABR0S21-snap-gene-3.151&CDS=1-846	YLR329W
OG0001932	snap_masked-CABR0S21-processed-gene-3.25-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.25&CDS=1-1791	YLR330W
OG0001933	genemark-CABR0S21-processed-gene-3.123-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.123&CDS=1-510	YLR332W
OG0001934	snap_masked-CABR0S21-processed-gene-3.26-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.26&CDS=1-2169	YLR335W
OG0001935	maker-CABR0S21-augustus-gene-3.1-mRNA-1_1&gene=maker-CABR0S21-augustus-gene-3.1&CDS=1-3210	YLR336C
OG0001936	genemark-CABR0S21-processed-gene-3.125-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.125&CDS=1-402	YGR029W
OG0001937	maker-CABR0S21-snap-gene-3.153-mRNA-1_1&gene=maker-CABR0S21-snap-gene-3.153&CDS=1-1926	YLR337C
OG0001938	genemark-CABR0S21-processed-gene-3.126-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-3.126&CDS=1-939	YLR340W
OG0001939	snap_masked-CABR0S21-processed-gene-3.31-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.31&CDS=1-1605	YLR345W
OG0001940	snap_masked-CABR0S21-processed-gene-4.72-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.72&CDS=1-2583	YLR347C
OG0001941	genemark-CABR0S21-processed-gene-4.5-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-4.5&CDS=1-888	YLR348C
OG0001942	snap_masked-CABR0S21-processed-gene-4.73-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.73&CDS=1-861	YLR351C
OG0001943	snap_masked-CABR0S21-processed-gene-4.70-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.70&CDS=1-2598	YLR352W
OG0001944	snap_masked-CABR0S21-processed-gene-4.96-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.96&CDS=1-1002	YLR354C
OG0001945	snap_masked-CABR0S21-processed-gene-4.97-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.97&CDS=1-1182	YLR355C
OG0001946	snap_masked-CABR0S21-processed-gene-4.75-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.75&CDS=1-1926	YPL263C
OG0001947	snap_masked-CABR0S21-processed-gene-4.98-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.98&CDS=1-1593	YPL272C
OG0001948	snap_masked-CABR0S21-processed-gene-4.78-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.78&CDS=1-1827	YPL269W
OG0001949	snap_masked-CABR0S21-processed-gene-4.79-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.79&CDS=1-2637	YPL268W
OG0001950	snap_masked-CABR0S21-processed-gene-4.81-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.81&CDS=1-1716	YPL265W
OG0001951	snap_masked-CABR0S21-processed-gene-4.99-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.99&CDS=1-1626	YCR098C
OG0001952	snap_masked-CABR0S21-processed-gene-4.86-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.86&CDS=1-1380	YGL025C
OG0001953	snap_masked-CABR0S21-processed-gene-4.87-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.87&CDS=1-2130	YGL026C
OG0001954	snap_masked-CABR0S21-processed-gene-4.88-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.88&CDS=1-2460	YGL027C
OG0001955	snap_masked-CABR0S21-processed-gene-4.101-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.101&CDS=1-321	YGL030W
OG0001956	snap_masked-CABR0S21-processed-gene-4.92-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.92&CDS=1-255	YGL032C
OG0001957	genemark-CABR0S21-processed-gene-4.30-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-4.30&CDS=1-660	YGL033W
OG0001958	snap_masked-CABR0S21-processed-gene-4.93-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.93&CDS=1-1272	YGL035C
OG0001959	genemark-CABR0S21-processed-gene-4.32-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-4.32&CDS=1-2079	YGR009C
OG0001960	augustus_masked-CABR0S21-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-4.65&CDS=1-1701	YGL036W
OG0001961	snap_masked-CABR0S21-processed-gene-4.95-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.95&CDS=1-633	YGL037C
OG0001962	snap_masked-CABR0S21-processed-gene-5.3-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.3&CDS=1-2811	YHR098C
OG0001963	snap_masked-CABR0S21-processed-gene-5.5-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.5&CDS=1-11259	YHR099W
OG0001964	snap_masked-CABR0S21-processed-gene-5.33-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.33&CDS=1-1650	YJL111W
OG0001965	genemark-CABR0S21-processed-gene-5.138-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-5.138&CDS=1-2142	YJL112W
OG0001966	snap_masked-CABR0S21-processed-gene-5.36-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.36&CDS=1-4107	YDR301W
OG0001967	snap_masked-CABR0S21-processed-gene-5.37-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.37&CDS=1-1605	YDR299W
OG0001968	genemark-CABR0S21-processed-gene-5.113-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-5.113&CDS=1-615	YDR298C
OG0001969	genemark-CABR0S21-processed-gene-5.141-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-5.141&CDS=1-1005	YDR297W
OG0001970	snap_masked-CABR0S21-processed-gene-5.38-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.38&CDS=1-609	YDR296W
OG0001971	snap_masked-CABR0S21-processed-gene-5.11-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.11&CDS=1-2304	YDR295C
OG0001972	snap_masked-CABR0S21-processed-gene-5.12-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.12&CDS=1-1686	YDR294C
OG0001973	snap_masked-CABR0S21-processed-gene-5.13-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.13&CDS=1-3867	YDR293C
OG0001974	snap_masked-CABR0S21-processed-gene-5.14-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.14&CDS=1-1797	YDR292C
OG0001975	snap_masked-CABR0S21-processed-gene-5.39-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.39&CDS=1-3291	YDR291W
OG0001976	augustus_masked-CABR0S21-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-5.68&CDS=1-1212	YDR289C
OG0001977	snap_masked-CABR0S21-processed-gene-5.40-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.40&CDS=1-4992	YDR283C
OG0001978	snap_masked-CABR0S21-processed-gene-5.41-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.41&CDS=1-888	YDR284C
OG0001979	snap_masked-CABR0S21-processed-gene-5.42-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.42&CDS=1-354	YDR286C
OG0001980	snap_masked-CABR0S21-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.17&CDS=1-876	YDR287W
OG0001981	augustus_masked-CABR0S21-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-5.71&CDS=1-897	YDR288W
OG0001982	genemark-CABR0S21-processed-gene-5.123-mRNA-1_1&gene=genemark-CABR0S21-processed-gene-5.123&CDS=1-1173	YDR282C
OG0001983	snap_masked-CABR0S21-processed-gene-5.43-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.43&CDS=1-1125	YDR279W
OG0001984	snap_masked-CABR0S21-processed-gene-5.20-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-5.20&CDS=1-588	YKL159C
