	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
OG0001059	augustus_masked-NC_027861.1-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.109&CDS=1-255	YOR159C
OG0001060	augustus_masked-NC_027861.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.83&CDS=1-2874	YOR160W
OG0001061	augustus_masked-NC_027861.1-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.87&CDS=1-2094	YLL004W
OG0001062	augustus_masked-NC_027861.1-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.111&CDS=1-3546	YER006W
OG0001063	augustus_masked-NC_027861.1-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.112&CDS=1-537	YER007C-A
OG0001064	augustus_masked-NC_027861.1-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.113&CDS=1-966	YHL009C
OG0001065	augustus_masked-NC_027861.1-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.114&CDS=1-636	YHR147C
OG0001066	augustus_masked-NC_027861.1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.90&CDS=1-549	YHR148W
OG0001067	augustus_masked-NC_027861.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.92&CDS=1-1494	YMR110C
OG0001068	augustus_masked-NC_027861.1-processed-gene-6.115-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.115&CDS=1-474	YMR112C
OG0001069	maker-NC_027861.1-augustus-gene-6.194-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-6.194&CDS=1-960	YMR116C
OG0001070	augustus_masked-NC_027861.1-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.94&CDS=1-3675	YMR092C
OG0001071	augustus_masked-NC_027861.1-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.117&CDS=1-861	YKL098W
OG0001072	augustus_masked-NC_027861.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.95&CDS=1-762	YKL099C
OG0001073	augustus_masked-NC_027861.1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.64&CDS=1-651	YMR202W
OG0001074	snap_masked-NC_027861.1-processed-gene-7.5-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-7.5&CDS=1-1392	YNR012W
OG0001075	augustus_masked-NC_027861.1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.95&CDS=1-2799	YMR203W
OG0001076	augustus_masked-NC_027861.1-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.69&CDS=1-1521	YAL038W
OG0001077	augustus_masked-NC_027861.1-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.70&CDS=1-2112	YDR264C
OG0001078	augustus_masked-NC_027861.1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.72&CDS=1-2781	YBL008W
OG0001079	augustus_masked-NC_027861.1-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.97&CDS=1-459	YLR323C
OG0001080	augustus_masked-NC_027861.1-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.73&CDS=1-234	YLR325C
OG0001081	augustus_masked-NC_027861.1-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.98&CDS=1-933	YFL031W
OG0001082	augustus_masked-NC_027861.1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.99&CDS=1-765	YGR006W
OG0001083	augustus_masked-NC_027861.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.74&CDS=1-1218	YGR005C
OG0001084	augustus_masked-NC_027861.1-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.75&CDS=1-1563	YLR324W
OG0001085	augustus_masked-NC_027861.1-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.77&CDS=1-1398	YDL098C
OG0001086	augustus_masked-NC_027861.1-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.100&CDS=1-762	YMR157C
OG0001087	augustus_masked-NC_027861.1-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.78&CDS=1-2337	YMR158W
OG0001088	augustus_masked-NC_027861.1-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.79&CDS=1-813	YGR096W
OG0001089	augustus_masked-NC_027861.1-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.101&CDS=1-1608	YPR144C
OG0001090	augustus_masked-NC_027861.1-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.102&CDS=1-2118	YHR197W
OG0001091	augustus_masked-NC_027861.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.80&CDS=1-666	YGR095C
OG0001092	augustus_masked-NC_027861.1-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.103&CDS=1-3135	YGR094W
OG0001093	augustus_masked-NC_027861.1-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.81&CDS=1-1401	YGR091W
OG0001094	augustus_masked-NC_027861.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.83&CDS=1-1896	YJL001W
OG0001095	augustus_masked-NC_027861.1-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.84&CDS=1-2259	YLL001W
OG0001096	snap_masked-NC_027861.1-processed-gene-7.30-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-7.30&CDS=1-2112	YER041W
OG0001097	augustus_masked-NC_027861.1-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.86&CDS=1-1545	YOR161C
OG0001098	augustus_masked-NC_027861.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.88&CDS=1-3804	YDR044W
OG0001099	augustus_masked-NC_027861.1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.105&CDS=1-2802	YFR025C
OG0001100	augustus_masked-NC_027861.1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.89&CDS=1-1686	YJR122W
OG0001101	augustus_masked-NC_027861.1-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.106&CDS=1-279	YOL108C
OG0001102	augustus_masked-NC_027861.1-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.90&CDS=1-1014	YOL107W
OG0001103	augustus_masked-NC_027861.1-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.107&CDS=1-1293	YJL183W
OG0001104	augustus_masked-NC_027861.1-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.91&CDS=1-327	YJL179W
OG0001105	augustus_masked-NC_027861.1-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.108&CDS=1-798	YJL178C
OG0001106	snap_masked-NC_027861.1-processed-gene-7.41-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-7.41&CDS=1-2748	YGL251C
OG0001107	augustus_masked-NC_027861.1-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.92&CDS=1-567	YJL140W
OG0001108	augustus_masked-NC_027861.1-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.93&CDS=1-4164	YJL141C
OG0001109	maker-NC_027861.1-augustus-gene-8.6-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-8.6&CDS=1-837	YIL034C
OG0001110	augustus_masked-NC_027861.1-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.89&CDS=1-348	YER044C
OG0001111	augustus_masked-NC_027861.1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.96&CDS=1-1326	YIL033C
OG0001112	augustus_masked-NC_027861.1-processed-gene-8.97-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.97&CDS=1-891	YBR228W
OG0001113	augustus_masked-NC_027861.1-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.91&CDS=1-1383	YOL069W
OG0001114	augustus_masked-NC_027861.1-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.98&CDS=1-4824	YGL114W
OG0001115	augustus_masked-NC_027861.1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.99&CDS=1-771	YDR087C
OG0001116	augustus_masked-NC_027861.1-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.100&CDS=1-198	YDR086C
OG0001117	augustus_masked-NC_027861.1-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.127&CDS=1-2463	YER162C
OG0001118	maker-NC_027861.1-snap-gene-8.16-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-8.16&CDS=1-888	YDR411C
OG0001119	maker-NC_027861.1-snap-gene-8.9-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-8.9&CDS=1-2235	YML055W
OG0001120	augustus_masked-NC_027861.1-processed-gene-8.131-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.131&CDS=1-1665	YDR145W
OG0001121	augustus_masked-NC_027861.1-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.105&CDS=1-1569	YML056C
OG0001122	augustus_masked-NC_027861.1-processed-gene-8.133-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.133&CDS=1-768	YLR441C
OG0001123	genemark-NC_027861.1-processed-gene-8.38-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-8.38&CDS=1-654	YML064C
OG0001124	augustus_masked-NC_027861.1-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.134&CDS=1-2205	YML065W
OG0001125	augustus_masked-NC_027861.1-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.107&CDS=1-1236	YML066C
OG0001126	augustus_masked-NC_027861.1-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.135&CDS=1-504	YKL186C
OG0001127	augustus_masked-NC_027861.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.108&CDS=1-1335	YKL185W
OG0001128	snap_masked-NC_027861.1-processed-gene-8.170-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-8.170&CDS=1-2172	YKL184W
OG0001129	augustus_masked-NC_027861.1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.110&CDS=1-3033	YJL157C
OG0001130	augustus_masked-NC_027861.1-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.116&CDS=1-2391	YDL052C
OG0001131	augustus_masked-NC_027861.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.117&CDS=1-1818	YLR427W
OG0001132	augustus_masked-NC_027861.1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.138&CDS=1-759	YOR077W
OG0001133	augustus_masked-NC_027861.1-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.139&CDS=1-414	YDR308C
OG0001134	augustus_masked-NC_027861.1-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.119&CDS=1-1191	YMR026C
OG0001135	snap_masked-NC_027861.1-processed-gene-8.203-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-8.203&CDS=1-1722	YKL125W
OG0001136	augustus_masked-NC_027861.1-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.145&CDS=1-1470	YNL193W
OG0001137	maker-NC_027861.1-augustus-gene-8.4-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-8.4&CDS=1-2121	YKL114C
OG0001138	augustus_masked-NC_027861.1-processed-gene-8.146-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.146&CDS=1-1908	YJR131W
OG0001139	maker-NC_027861.1-snap-gene-8.17-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-8.17&CDS=1-183	YML081C-A
OG0001140	snap_masked-NC_027861.1-processed-gene-9.133-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-9.133&CDS=1-1713	YER080W
OG0001141	maker-NC_027861.1-augustus-gene-9.0-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-9.0&CDS=1-1038	YIL072W
OG0001142	snap_masked-NC_027861.1-processed-gene-9.137-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-9.137&CDS=1-330	YPR063C
OG0001143	augustus_masked-NC_027861.1-processed-gene-9.103-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.103&CDS=1-1023	YPR056W
OG0001144	augustus_masked-NC_027861.1-processed-gene-9.105-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.105&CDS=1-1065	YPL236C
OG0001145	augustus_masked-NC_027861.1-processed-gene-9.87-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.87&CDS=1-1395	YPL235W
OG0001146	augustus_masked-NC_027861.1-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.106&CDS=1-414	YPL234C
OG0001147	maker-NC_027861.1-snap-gene-9.66-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-9.66&CDS=1-1377	YPL246C
OG0001148	maker-NC_027861.1-augustus-gene-9.2-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-9.2&CDS=1-3051	YER070W
OG0001149	augustus_masked-NC_027861.1-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.93&CDS=1-882	YNL320W
OG0001150	augustus_masked-NC_027861.1-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.111&CDS=1-3300	YDR489W
OG0001151	augustus_masked-NC_027861.1-processed-gene-9.112-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.112&CDS=1-1446	YDL003W
OG0001152	augustus_masked-NC_027861.1-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.114&CDS=1-1758	YBL051C
OG0001153	augustus_masked-NC_027861.1-processed-gene-9.95-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.95&CDS=1-264	YER019C-A
OG0001154	augustus_masked-NC_027861.1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.115&CDS=1-1608	YER087W
OG0001155	augustus_masked-NC_027861.1-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.119&CDS=1-1272	YNL217W
OG0001156	augustus_masked-NC_027861.1-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.121&CDS=1-693	YGL037C
OG0001157	augustus_masked-NC_027861.1-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.122&CDS=1-3276	YMR308C
OG0001158	augustus_masked-NC_027861.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.99&CDS=1-726	YGR280C
OG0001159	augustus_masked-NC_027861.1-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.100&CDS=1-1416	YHR070W
OG0001160	augustus_masked-NC_027861.1-processed-gene-9.125-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.125&CDS=1-1698	YIL099W
OG0001161	genemark-NC_027861.1-processed-gene-9.64-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-9.64&CDS=1-2157	YJL132W
OG0001162	augustus_masked-NC_027861.1-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.101&CDS=1-939	YLR308W
OG0001163	snap_masked-NC_027861.1-processed-gene-10.4-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.4&CDS=1-615	YKR043C
OG0001164	maker-NC_027861.1-snap-gene-10.122-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-10.122&CDS=1-2490	YDL097C
OG0001165	snap_masked-NC_027861.1-processed-gene-10.31-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.31&CDS=1-2343	YDL116W
OG0001166	snap_masked-NC_027861.1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.7&CDS=1-1572	YLR330W
OG0001167	snap_masked-NC_027861.1-processed-gene-10.32-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.32&CDS=1-357	YGR020C
OG0001168	snap_masked-NC_027861.1-processed-gene-10.8-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.8&CDS=1-657	YGR021W
OG0001169	augustus_masked-NC_027861.1-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.66&CDS=1-219	YPR010C-A
OG0001170	maker-NC_027861.1-snap-gene-10.124-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-10.124&CDS=1-2229	YGR178C
OG0001171	augustus_masked-NC_027861.1-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.67&CDS=1-2670	YOR261C
OG0001172	snap_masked-NC_027861.1-processed-gene-10.10-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.10&CDS=1-1575	YNL169C
OG0001173	snap_masked-NC_027861.1-processed-gene-10.11-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.11&CDS=1-351	YGR017W
OG0001174	genemark-NC_027861.1-processed-gene-10.85-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-10.85&CDS=1-1413	YGR019W
OG0001175	snap_masked-NC_027861.1-processed-gene-10.13-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.13&CDS=1-3549	YFL036W
OG0001176	snap_masked-NC_027861.1-processed-gene-10.37-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-10.37&CDS=1-855	YFL034C-B
OG0001177	augustus_masked-NC_027861.1-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.68&CDS=1-3279	YPL160W
OG0001178	augustus_masked-NC_027861.1-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.69&CDS=1-1260	YOL144W
OG0001179	augustus_masked-NC_027861.1-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.56&CDS=1-3150	YOL145C
OG0001180	augustus_masked-NC_027861.1-processed-gene-10.70-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.70&CDS=1-4803	YOL143C
OG0001181	augustus_masked-NC_027861.1-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.57&CDS=1-1473	YDL101C
OG0001182	augustus_masked-NC_027861.1-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.71&CDS=1-915	YDL108W
OG0001183	augustus_masked-NC_027861.1-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.59&CDS=1-1242	YMR171C
OG0001184	augustus_masked-NC_027861.1-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.72&CDS=1-2130	YDL117W
OG0001185	augustus_masked-NC_027861.1-processed-gene-10.60-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.60&CDS=1-1983	YJR057W
OG0001186	augustus_masked-NC_027861.1-processed-gene-10.73-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.73&CDS=1-939	YEL017W
OG0001187	augustus_masked-NC_027861.1-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.74&CDS=1-1080	YNL097C
OG0001188	augustus_masked-NC_027861.1-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.62&CDS=1-1578	YMR217W
OG0001189	augustus_masked-NC_027861.1-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.63&CDS=1-1248	YMR209C
OG0001190	augustus_masked-NC_027861.1-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.76&CDS=1-1338	YOR272W
OG0001191	augustus_masked-NC_027861.1-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.10&CDS=1-750	YLR022C
OG0001192	genemark-NC_027861.1-processed-gene-11.161-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-11.161&CDS=1-2571	YER086W
OG0001193	augustus_masked-NC_027861.1-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.13&CDS=1-588	YNR018W
OG0001194	augustus_masked-NC_027861.1-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.41&CDS=1-1101	YNR015W
OG0001195	augustus_masked-NC_027861.1-processed-gene-11.42-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.42&CDS=1-2079	YMR301C
OG0001196	augustus_masked-NC_027861.1-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.16&CDS=1-1809	YLR399C
OG0001197	augustus_masked-NC_027861.1-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.18&CDS=1-2424	YLR001C
OG0001198	augustus_masked-NC_027861.1-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.44&CDS=1-1455	YLR023C
OG0001199	snap_masked-NC_027861.1-processed-gene-11.85-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.85&CDS=1-2436	YNL039W
OG0001200	augustus_masked-NC_027861.1-processed-gene-11.46-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.46&CDS=1-2166	YOR361C
OG0001201	snap_masked-NC_027861.1-processed-gene-11.89-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.89&CDS=1-483	YDL004W
OG0001202	augustus_masked-NC_027861.1-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.48&CDS=1-1875	YJL176C
OG0001203	augustus_masked-NC_027861.1-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.26&CDS=1-684	YBL095W
OG0001204	snap_masked-NC_027861.1-processed-gene-11.91-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.91&CDS=1-759	YGR033C
OG0001205	augustus_masked-NC_027861.1-processed-gene-11.28-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.28&CDS=1-684	YBR256C
OG0001206	augustus_masked-NC_027861.1-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.51&CDS=1-1212	YIR012W
OG0001207	augustus_masked-NC_027861.1-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.29&CDS=1-1248	YPL151C
OG0001208	augustus_masked-NC_027861.1-processed-gene-11.52-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.52&CDS=1-1017	YNR007C
OG0001209	augustus_masked-NC_027861.1-processed-gene-11.30-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.30&CDS=1-831	YER023W
OG0001210	augustus_masked-NC_027861.1-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.53&CDS=1-561	YJR118C
OG0001211	genemark-NC_027861.1-processed-gene-12.0-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-12.0&CDS=1-3816	YJR121W
OG0001212	augustus_masked-NC_027861.1-processed-gene-12.118-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.118&CDS=1-1344	YJR117W
OG0001213	genemark-NC_027861.1-processed-gene-12.4-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-12.4&CDS=1-393	YNL328C
OG0001214	snap_masked-NC_027861.1-processed-gene-12.59-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.59&CDS=1-1020	YPL244C
OG0001215	augustus_masked-NC_027861.1-processed-gene-12.122-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.122&CDS=1-2664	YNR008W
OG0001216	augustus_masked-NC_027861.1-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.120&CDS=1-1662	YER022W
OG0001217	snap_masked-NC_027861.1-processed-gene-12.91-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.91&CDS=1-1593	YPL133C
OG0001218	augustus_masked-NC_027861.1-processed-gene-12.125-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.125&CDS=1-891	YHR189W
OG0001219	augustus_masked-NC_027861.1-processed-gene-12.145-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.145&CDS=1-1098	YKL193C
OG0001220	augustus_masked-NC_027861.1-processed-gene-12.126-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.126&CDS=1-2055	YDL074C
OG0001221	augustus_masked-NC_027861.1-processed-gene-12.127-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.127&CDS=1-5490	YBR208C
OG0001222	snap_masked-NC_027861.1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.98&CDS=1-1245	YPL188W
OG0001223	augustus_masked-NC_027861.1-processed-gene-12.152-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.152&CDS=1-1794	YDL167C
OG0001224	augustus_masked-NC_027861.1-processed-gene-12.154-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.154&CDS=1-1158	YLR097C
OG0001225	augustus_masked-NC_027861.1-processed-gene-12.133-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.133&CDS=1-1056	YDR124W
OG0001226	augustus_masked-NC_027861.1-processed-gene-12.155-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-12.155&CDS=1-3330	YKR079C
OG0001227	genemark-NC_027861.1-processed-gene-12.23-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-12.23&CDS=1-4977	YMR229C
OG0001228	snap_masked-NC_027861.1-processed-gene-12.80-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.80&CDS=1-1782	YHL010C
OG0001229	snap_masked-NC_027861.1-processed-gene-12.81-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.81&CDS=1-1434	YPR045C
