	Saccharomyces_cerevisiae	Spathaspora_arborariae
OG0001719	YHR085W	augustus_masked-KI547137.1-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-5.102&CDS=1-1647
OG0001720	YHR087W	snap_masked-KI547155.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-KI547155.1-processed-gene-0.48&CDS=1-342
OG0001721	YHR088W	genemark-KI547139.1-processed-gene-3.106-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.106&CDS=1-894
OG0001722	YHR089C	genemark-KI547135.1-processed-gene-6.90-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.90&CDS=1-603
OG0001723	YHR090C	genemark-KI547140.1-processed-gene-5.77-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.77&CDS=1-906
OG0001724	YHR098C	genemark-KI547140.1-processed-gene-5.78-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.78&CDS=1-3105
OG0001725	YHR099W	augustus_masked-KI547138.1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-2.110&CDS=1-13170
OG0001726	YHR100C	genemark-KI547138.1-processed-gene-2.89-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-2.89&CDS=1-606
OG0001727	YHR102W	genemark-KI547136.1-processed-gene-6.88-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-6.88&CDS=1-2508
OG0001728	YHR104W	genemark-KI547146.1-processed-gene-3.12-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.12&CDS=1-954
OG0001729	YHR107C	maker-KI547134.1-augustus-gene-7.143-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-7.143&CDS=1-1188
OG0001730	YHR108W	genemark-KI547134.1-processed-gene-6.149-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.149&CDS=1-1695
OG0001731	YHR109W	genemark-KI547142.1-processed-gene-1.108-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.108&CDS=1-1800
OG0001732	YHR110W	genemark-KI547135.1-processed-gene-12.216-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.216&CDS=1-648
OG0001733	YHR111W	genemark-KI547135.1-processed-gene-12.215-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.215&CDS=1-1299
OG0001734	YHR112C	genemark-KI547142.1-processed-gene-3.59-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-3.59&CDS=1-1173
OG0001735	YHR113W	genemark-KI547135.1-processed-gene-12.176-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.176&CDS=1-1485
OG0001736	YHR114W	genemark-KI547147.1-processed-gene-2.43-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-2.43&CDS=1-1818
OG0001737	YHR116W	genemark-KI547137.1-processed-gene-1.45-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.45&CDS=1-450
OG0001738	YHR118C	genemark-KI547134.1-processed-gene-11.68-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-11.68&CDS=1-1107
OG0001739	YHR119W	augustus_masked-KI547134.1-processed-gene-11.128-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-11.128&CDS=1-3141
OG0001740	YHR120W	genemark-KI547137.1-processed-gene-6.93-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-6.93&CDS=1-3708
OG0001741	YHR121W	genemark-KI547151.1-processed-gene-0.54-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-0.54&CDS=1-663
OG0001742	YHR122W	genemark-KI547151.1-processed-gene-0.57-mRNA-1_1&gene=genemark-KI547151.1-processed-gene-0.57&CDS=1-600
OG0001743	YHR128W	genemark-KI547143.1-processed-gene-4.41-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.41&CDS=1-654
OG0001744	YHR132C	augustus_masked-KI547141.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-3.25&CDS=1-1917
OG0001745	YHR140W	genemark-KI547143.1-processed-gene-0.83-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.83&CDS=1-705
OG0001746	YHR142W	genemark-KI547134.1-processed-gene-0.106-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.106&CDS=1-936
OG0001747	YHR144C	genemark-KI547135.1-processed-gene-1.57-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.57&CDS=1-1062
OG0001748	YHR147C	augustus_masked-KI547152.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-KI547152.1-processed-gene-0.100&CDS=1-1461
OG0001749	YHR148W	genemark-KI547152.1-processed-gene-0.45-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.45&CDS=1-549
OG0001750	YHR150W	genemark-KI547141.1-processed-gene-4.63-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-4.63&CDS=1-1503
OG0001751	YHR156C	augustus_masked-KI547148.1-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-KI547148.1-processed-gene-3.149&CDS=1-1200
OG0001752	YHR164C	augustus_masked-KI547138.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-0.106&CDS=1-4317
OG0001753	YHR165C	genemark-KI547142.1-processed-gene-4.174-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.174&CDS=1-7122
OG0001754	YHR166C	genemark-KI547142.1-processed-gene-4.175-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-4.175&CDS=1-1605
OG0001755	YHR168W	genemark-KI547148.1-processed-gene-3.87-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.87&CDS=1-1575
OG0001756	YHR169W	genemark-KI547148.1-processed-gene-3.116-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.116&CDS=1-1296
OG0001757	YHR170W	genemark-KI547148.1-processed-gene-3.81-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.81&CDS=1-1548
OG0001758	YHR171W	maker-KI547148.1-snap-gene-3.54-mRNA-1_1&gene=maker-KI547148.1-snap-gene-3.54&CDS=1-4500
OG0001759	YHR175W	genemark-KI547135.1-processed-gene-12.172-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.172&CDS=1-480
OG0001760	YHR178W	genemark-KI547134.1-processed-gene-12.94-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.94&CDS=1-1872
OG0001761	YHR181W	genemark-KI547135.1-processed-gene-6.94-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.94&CDS=1-651
OG0001762	YHR182W	genemark-KI547138.1-processed-gene-3.127-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.127&CDS=1-2595
OG0001763	YHR183W	genemark-KI547135.1-processed-gene-2.7-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-2.7&CDS=1-1533
OG0001764	YHR186C	genemark-KI547139.1-processed-gene-5.90-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-5.90&CDS=1-4290
OG0001765	YHR187W	genemark-KI547139.1-processed-gene-3.114-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.114&CDS=1-846
OG0001766	YHR188C	genemark-KI547139.1-processed-gene-3.131-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.131&CDS=1-1710
OG0001767	YHR189W	genemark-KI547138.1-processed-gene-5.135-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-5.135&CDS=1-678
OG0001768	YHR190W	genemark-KI547153.1-processed-gene-0.261-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.261&CDS=1-1332
OG0001769	YHR191C	genemark-KI547143.1-processed-gene-4.13-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.13&CDS=1-444
OG0001770	YHR193C	genemark-KI547141.1-processed-gene-4.46-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-4.46&CDS=1-528
OG0001771	YHR194W	genemark-KI547134.1-processed-gene-10.16-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-10.16&CDS=1-1749
OG0001772	YHR197W	genemark-KI547144.1-processed-gene-3.66-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.66&CDS=1-2190
OG0001773	YHR200W	genemark-KI547136.1-processed-gene-0.89-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.89&CDS=1-846
OG0001774	YHR201C	genemark-KI547136.1-processed-gene-0.60-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.60&CDS=1-1236
OG0001775	YHR205W	genemark-KI547136.1-processed-gene-3.60-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.60&CDS=1-2259
OG0001776	YHR206W	genemark-KI547143.1-processed-gene-0.116-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.116&CDS=1-1695
OG0001777	YHR207C	genemark-KI547157.1-processed-gene-0.133-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.133&CDS=1-1428
OG0001778	YIL001W	genemark-KI547159.1-processed-gene-0.65-mRNA-1_1&gene=genemark-KI547159.1-processed-gene-0.65&CDS=1-1848
OG0001779	YIL002C	genemark-KI547150.1-processed-gene-2.71-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.71&CDS=1-2967
OG0001780	YIL003W	genemark-KI547150.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.66&CDS=1-831
OG0001781	YIL004C	genemark-KI547150.1-processed-gene-2.39-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.39&CDS=1-417
OG0001782	YIL007C	genemark-KI547134.1-processed-gene-0.98-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.98&CDS=1-690
OG0001783	YIL008W	genemark-KI547134.1-processed-gene-0.120-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-0.120&CDS=1-303
OG0001784	YIL010W	genemark-KI547147.1-processed-gene-3.20-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.20&CDS=1-729
OG0001785	YIL019W	genemark-KI547144.1-processed-gene-2.77-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.77&CDS=1-969
OG0001786	YIL020C	genemark-KI547144.1-processed-gene-2.57-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.57&CDS=1-816
OG0001787	YIL021W	genemark-KI547144.1-processed-gene-2.78-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.78&CDS=1-906
OG0001788	YIL022W	genemark-KI547147.1-processed-gene-3.29-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.29&CDS=1-1293
OG0001789	YIL026C	genemark-KI547135.1-processed-gene-1.75-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-1.75&CDS=1-3195
OG0001790	YIL030C	augustus_masked-KI547149.1-processed-gene-2.226-mRNA-1_1&gene=augustus_masked-KI547149.1-processed-gene-2.226&CDS=1-4113
OG0001791	YIL031W	genemark-KI547147.1-processed-gene-3.26-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.26&CDS=1-4026
OG0001792	YIL033C	genemark-KI547141.1-processed-gene-5.118-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.118&CDS=1-1356
OG0001793	YIL034C	genemark-KI547134.1-processed-gene-3.65-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.65&CDS=1-855
OG0001794	YIL039W	genemark-KI547147.1-processed-gene-3.51-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.51&CDS=1-1452
OG0001795	YIL041W	genemark-KI547144.1-processed-gene-2.62-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.62&CDS=1-969
OG0001796	YIL042C	genemark-KI547152.1-processed-gene-0.41-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-0.41&CDS=1-1284
OG0001797	YIL043C	genemark-KI547144.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.66&CDS=1-855
OG0001798	YIL044C	genemark-KI547150.1-processed-gene-2.32-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.32&CDS=1-1047
OG0001799	YIL046W	genemark-KI547134.1-processed-gene-11.77-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-11.77&CDS=1-1950
OG0001800	YIL047C	snap_masked-KI547134.1-processed-gene-5.30-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-5.30&CDS=1-2838
OG0001801	YIL048W	maker-KI547134.1-augustus-gene-5.141-mRNA-1_1&gene=maker-KI547134.1-augustus-gene-5.141&CDS=1-3888
OG0001802	YIL049W	augustus_masked-KI547150.1-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-KI547150.1-processed-gene-2.155&CDS=1-2172
OG0001803	YIL061C	maker-KI547136.1-augustus-gene-0.135-mRNA-1_1&gene=maker-KI547136.1-augustus-gene-0.135&CDS=1-891
OG0001804	YIL062C	genemark-KI547148.1-processed-gene-2.71-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-2.71&CDS=1-468
OG0001805	YIL063C	genemark-KI547136.1-processed-gene-0.53-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.53&CDS=1-1092
OG0001806	YIL064W	genemark-KI547136.1-processed-gene-0.79-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-0.79&CDS=1-732
OG0001807	YIL067C	augustus_masked-KI547139.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-KI547139.1-processed-gene-0.110&CDS=1-3957
OG0001808	YIL068C	augustus_masked-KI547147.1-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-KI547147.1-processed-gene-3.161&CDS=1-5031
OG0001809	YIL070C	augustus_masked-KI547151.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-KI547151.1-processed-gene-1.35&CDS=1-816
OG0001810	YIL072W	genemark-KI547134.1-processed-gene-12.93-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.93&CDS=1-1668
OG0001811	YIL078W	genemark-KI547143.1-processed-gene-0.85-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.85&CDS=1-2199
OG0001812	YIL083C	genemark-KI547140.1-processed-gene-4.74-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.74&CDS=1-1035
OG0001813	YIL084C	genemark-KI547148.1-processed-gene-1.66-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.66&CDS=1-1008
OG0001814	YIL087C	genemark-KI547148.1-processed-gene-1.63-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.63&CDS=1-417
OG0001815	YIL090W	genemark-KI547148.1-processed-gene-1.59-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.59&CDS=1-1425
OG0001816	YIL091C	genemark-KI547148.1-processed-gene-1.62-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-1.62&CDS=1-2157
OG0001817	YIL093C	genemark-KI547135.1-processed-gene-8.3-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.3&CDS=1-801
OG0001818	YIL094C	genemark-KI547137.1-processed-gene-1.57-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-1.57&CDS=1-1128
OG0001819	YIL096C	augustus_masked-KI547140.1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-4.112&CDS=1-936
OG0001820	YIL097W	genemark-KI547140.1-processed-gene-4.95-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.95&CDS=1-1485
OG0001821	YIL098C	genemark-KI547135.1-processed-gene-8.29-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.29&CDS=1-447
OG0001822	YIL099W	genemark-KI547158.1-processed-gene-0.86-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.86&CDS=1-1635
OG0001823	YIL101C	genemark-KI547136.1-processed-gene-7.92-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.92&CDS=1-1647
OG0001824	YIL103W	genemark-KI547136.1-processed-gene-7.131-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.131&CDS=1-1266
OG0001825	YIL104C	genemark-KI547136.1-processed-gene-7.96-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.96&CDS=1-1470
OG0001826	YIL106W	augustus_masked-KI547138.1-processed-gene-6.189-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-6.189&CDS=1-849
OG0001827	YIL107C	genemark-KI547135.1-processed-gene-7.128-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.128&CDS=1-3009
OG0001828	YIL108W	snap_masked-KI547141.1-processed-gene-2.139-mRNA-1_1&gene=snap_masked-KI547141.1-processed-gene-2.139&CDS=1-2139
OG0001829	YIL109C	genemark-KI547135.1-processed-gene-7.98-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.98&CDS=1-2868
OG0001830	YIL110W	genemark-KI547135.1-processed-gene-7.111-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-7.111&CDS=1-1044
OG0001831	YIL115C	genemark-KI547140.1-processed-gene-0.57-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-0.57&CDS=1-3249
OG0001832	YIL116W	maker-KI547145.1-augustus-gene-3.3-mRNA-1_1&gene=maker-KI547145.1-augustus-gene-3.3&CDS=1-2007
OG0001833	YIL118W	augustus_masked-KI547136.1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-6.32&CDS=1-675
OG0001834	YIL124W	maker-KI547141.1-augustus-gene-0.1-mRNA-1_1&gene=maker-KI547141.1-augustus-gene-0.1&CDS=1-2910
OG0001835	YIL125W	genemark-KI547147.1-processed-gene-0.106-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-0.106&CDS=1-2991
OG0001836	YIL128W	genemark-KI547147.1-processed-gene-1.74-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.74&CDS=1-3006
OG0001837	YIL129C	genemark-KI547147.1-processed-gene-1.52-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.52&CDS=1-7950
OG0001838	YIL130W	genemark-KI547137.1-processed-gene-4.33-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.33&CDS=1-2928
OG0001839	YIL134W	genemark-KI547149.1-processed-gene-0.105-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-0.105&CDS=1-906
OG0001840	YIL137C	genemark-KI547138.1-processed-gene-6.11-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.11&CDS=1-2640
OG0001841	YIL140W	genemark-KI547144.1-processed-gene-4.38-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.38&CDS=1-2232
OG0001842	YIL142W	genemark-KI547153.1-processed-gene-0.200-mRNA-1_1&gene=genemark-KI547153.1-processed-gene-0.200&CDS=1-1578
OG0001843	YIL143C	genemark-KI547137.1-processed-gene-3.70-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.70&CDS=1-2514
OG0001844	YIL144W	genemark-KI547137.1-processed-gene-3.81-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.81&CDS=1-1992
OG0001845	YIL145C	genemark-KI547137.1-processed-gene-3.85-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-3.85&CDS=1-921
OG0001846	YIL147C	genemark-KI547137.1-processed-gene-0.79-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.79&CDS=1-3627
OG0001847	YIL150C	genemark-KI547135.1-processed-gene-6.101-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.101&CDS=1-1596
OG0001848	YIL153W	genemark-KI547152.1-processed-gene-1.46-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-1.46&CDS=1-1185
OG0001849	YIL155C	genemark-KI547144.1-processed-gene-1.52-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.52&CDS=1-1902
OG0001850	YIL156W-B	augustus_masked-KI547141.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-KI547141.1-processed-gene-2.7&CDS=1-213
OG0001851	YIL157C	genemark-KI547144.1-processed-gene-4.13-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-4.13&CDS=1-549
OG0001852	YIR002C	maker-KI547144.1-augustus-gene-4.108-mRNA-1_1&gene=maker-KI547144.1-augustus-gene-4.108&CDS=1-4926
OG0001853	YIR004W	maker-KI547135.1-augustus-gene-7.2-mRNA-1_1&gene=maker-KI547135.1-augustus-gene-7.2&CDS=1-3774
OG0001854	YIR005W	genemark-KI547134.1-processed-gene-6.132-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.132&CDS=1-600
OG0001855	YIR006C	genemark-KI547140.1-processed-gene-5.79-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.79&CDS=1-4029
OG0001856	YIR007W	augustus_masked-KI547146.1-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-KI547146.1-processed-gene-0.118&CDS=1-2520
OG0001857	YIR008C	genemark-KI547146.1-processed-gene-0.95-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.95&CDS=1-1344
OG0001858	YIR009W	genemark-KI547135.1-processed-gene-8.43-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.43&CDS=1-318
OG0001859	YIR011C	genemark-KI547135.1-processed-gene-9.73-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.73&CDS=1-1008
OG0001860	YIR012W	genemark-KI547146.1-processed-gene-0.96-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.96&CDS=1-1248
OG0001861	YIR015W	genemark-KI547137.1-processed-gene-6.114-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-6.114&CDS=1-393
OG0001862	YIR022W	genemark-KI547137.1-processed-gene-0.95-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.95&CDS=1-498
OG0001863	YIR023W	genemark-KI547137.1-processed-gene-0.84-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-0.84&CDS=1-2589
OG0001864	YIR026C	augustus_masked-KI547137.1-processed-gene-4.173-mRNA-1_1&gene=augustus_masked-KI547137.1-processed-gene-4.173&CDS=1-2451
OG0001865	YIR027C	genemark-KI547147.1-processed-gene-3.33-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.33&CDS=1-1386
OG0001866	YIR029W	genemark-KI547156.1-processed-gene-0.236-mRNA-1_1&gene=genemark-KI547156.1-processed-gene-0.236&CDS=1-1017
OG0001867	YIR032C	genemark-KI547139.1-processed-gene-2.84-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-2.84&CDS=1-606
OG0001868	YIR034C	genemark-KI547144.1-processed-gene-3.43-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.43&CDS=1-1104
OG0001869	YIR038C	genemark-KI547140.1-processed-gene-4.66-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-4.66&CDS=1-1464
OG0001870	YJL001W	genemark-KI547147.1-processed-gene-2.67-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-2.67&CDS=1-651
OG0001871	YJL002C	genemark-KI547147.1-processed-gene-2.66-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-2.66&CDS=1-1470
OG0001872	YJL003W	maker-KI547142.1-snap-gene-0.94-mRNA-1_1&gene=maker-KI547142.1-snap-gene-0.94&CDS=1-885
OG0001873	YJL004C	genemark-KI547149.1-processed-gene-2.148-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.148&CDS=1-444
OG0001874	YJL005W	maker-KI547149.1-snap-gene-2.96-mRNA-1_1&gene=maker-KI547149.1-snap-gene-2.96&CDS=1-8697
OG0001875	YJL006C	augustus_masked-KI547134.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-6.12&CDS=1-1143
OG0001876	YJL008C	genemark-KI547134.1-processed-gene-12.182-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.182&CDS=1-1650
OG0001877	YJL010C	genemark-KI547134.1-processed-gene-6.115-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.115&CDS=1-2058
OG0001878	YJL011C	genemark-KI547146.1-processed-gene-1.121-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-1.121&CDS=1-468
OG0001879	YJL012C	genemark-KI547139.1-processed-gene-3.104-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.104&CDS=1-2163
OG0001880	YJL014W	genemark-KI547146.1-processed-gene-0.106-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-0.106&CDS=1-1578
OG0001881	YJL020C	genemark-KI547134.1-processed-gene-1.71-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-1.71&CDS=1-2901
OG0001882	YJL024C	augustus_masked-KI547135.1-processed-gene-12.91-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-12.91&CDS=1-516
OG0001883	YJL025W	genemark-KI547136.1-processed-gene-7.157-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.157&CDS=1-1422
OG0001884	YJL026W	genemark-KI547136.1-processed-gene-7.169-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.169&CDS=1-1257
OG0001885	YJL029C	genemark-KI547134.1-processed-gene-12.137-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-12.137&CDS=1-2316
OG0001886	YJL030W	genemark-KI547134.1-processed-gene-6.134-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.134&CDS=1-600
OG0001887	YJL031C	genemark-KI547134.1-processed-gene-6.113-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-6.113&CDS=1-1086
OG0001888	YJL033W	augustus_masked-KI547134.1-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-4.51&CDS=1-2934
OG0001889	YJL035C	genemark-KI547140.1-processed-gene-5.66-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.66&CDS=1-822
OG0001890	YJL036W	genemark-KI547141.1-processed-gene-5.108-mRNA-1_1&gene=genemark-KI547141.1-processed-gene-5.108&CDS=1-1839
OG0001891	YJL039C	genemark-KI547152.1-processed-gene-1.58-mRNA-1_1&gene=genemark-KI547152.1-processed-gene-1.58&CDS=1-5883
OG0001892	YJL041W	genemark-KI547140.1-processed-gene-5.44-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.44&CDS=1-2376
OG0001893	YJL042W	genemark-KI547148.1-processed-gene-3.63-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.63&CDS=1-4176
OG0001894	YJL044C	genemark-KI547148.1-processed-gene-3.67-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.67&CDS=1-1452
OG0001895	YJL046W	genemark-KI547138.1-processed-gene-5.145-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-5.145&CDS=1-1143
OG0001896	YJL050W	maker-KI547149.1-augustus-gene-2.260-mRNA-1_1&gene=maker-KI547149.1-augustus-gene-2.260&CDS=1-5445
OG0001897	YJL053W	genemark-KI547158.1-processed-gene-0.74-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.74&CDS=1-957
OG0001898	YJL055W	genemark-KI547158.1-processed-gene-0.69-mRNA-1_1&gene=genemark-KI547158.1-processed-gene-0.69&CDS=1-687
OG0001899	YJL056C	genemark-KI547144.1-processed-gene-3.55-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.55&CDS=1-1881
OG0001900	YJL059W	genemark-KI547134.1-processed-gene-4.36-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.36&CDS=1-1215
OG0001901	YJL060W	genemark-KI547136.1-processed-gene-7.149-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-7.149&CDS=1-1296
OG0001902	YJL062W	genemark-KI547134.1-processed-gene-4.42-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.42&CDS=1-2664
OG0001903	YJL062W-A	genemark-KI547154.1-processed-gene-0.246-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.246&CDS=1-258
