	Saccharomyces_cerevisiae	yHMPu5000035699_Cyberlindnera_maclurae
OG0001961	YIL118W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.179&CDS=1-624
OG0001962	YIL124W	augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.45&CDS=1-879
OG0001963	YIL125W	augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.58&CDS=1-2988
OG0001964	YIL127C	augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.22&CDS=1-552
OG0001965	YIL128W	augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.7&CDS=1-3003
OG0001966	YIL129C	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.269-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.269&CDS=1-7209
OG0001967	YIL134W	augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.170&CDS=1-849
OG0001968	YIL139C	snap_masked-NODE_16_length_149625_cov_65.2659_ID_9360-processed-gene-0.179-mRNA-1_1&gene=snap_masked-NODE_16_length_149625_cov_65.2659_ID_9360-processed-gene-0.179&CDS=1-618
OG0001969	YIL140W	augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.12&CDS=1-2436
OG0001970	YIL142W	augustus_masked-NODE_28_length_117157_cov_73.4509_ID_37618-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_28_length_117157_cov_73.4509_ID_37618-processed-gene-0.35&CDS=1-1575
OG0001971	YIL143C	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.225-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.225&CDS=1-2433
OG0001972	YIL144W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.193-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.193&CDS=1-1971
OG0001973	YIL145C	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.159&CDS=1-897
OG0001974	YIL147C	augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.92&CDS=1-3171
OG0001975	YIL150C	augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_35_length_98922_cov_66.4517_ID_8995-processed-gene-0.93&CDS=1-1776
OG0001976	YIL153W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.187&CDS=1-1338
OG0001977	YIL154C	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.162&CDS=1-1257
OG0001978	YIL155C	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.163&CDS=1-1842
OG0001979	YIL156W	augustus_masked-NODE_51_length_72690_cov_65.5169_ID_40178-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_51_length_72690_cov_65.5169_ID_40178-processed-gene-0.113&CDS=1-2700
OG0001980	YIL156W-B	snap_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.64&CDS=1-228
OG0001981	YIL157C	augustus_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-NODE_29_length_116936_cov_67.5382_ID_8641-processed-gene-0.199&CDS=1-546
OG0001982	YIL160C	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.164&CDS=1-1260
OG0001983	YIL162W	augustus_masked-NODE_73_length_45021_cov_131.984_ID_40679-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_73_length_45021_cov_131.984_ID_40679-processed-gene-0.81&CDS=1-1599
OG0001984	YIR001C	augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.9&CDS=1-447
OG0001985	YIR002C	augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.33&CDS=1-3642
OG0001986	YIR003W	augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_80_length_41130_cov_71.5706_ID_11982-processed-gene-0.23&CDS=1-2028
OG0001987	YIR005W	augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_93_length_30723_cov_59.9404_ID_13190-processed-gene-0.34&CDS=1-684
OG0001988	YIR007W	augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.36&CDS=1-2247
OG0001989	YIR008C	augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.14&CDS=1-1380
OG0001990	YIR009W	augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_23_length_132539_cov_60.5332_ID_9991-processed-gene-0.169&CDS=1-291
OG0001991	YIR011C	augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.9&CDS=1-921
OG0001992	YIR012W	augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.15&CDS=1-1239
OG0001993	YIR015W	snap_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.85&CDS=1-372
OG0001994	YIR022W	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.68&CDS=1-504
OG0001995	YIR023W	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.20&CDS=1-2514
OG0001996	YIR024C	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.2&CDS=1-519
OG0001997	YIR026C	augustus_masked-NODE_96_length_28391_cov_69.85_ID_13561-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_96_length_28391_cov_69.85_ID_13561-processed-gene-0.12&CDS=1-996
OG0001998	YIR027C	augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-0.25&CDS=1-1716
OG0001999	YIR029W	augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.163-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.163&CDS=1-1023
OG0002000	YIR030C	augustus_masked-NODE_88_length_34808_cov_82.877_ID_12554-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_88_length_34808_cov_82.877_ID_12554-processed-gene-0.3&CDS=1-681
OG0002001	YIR032C	augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-1.7&CDS=1-1026
OG0002002	YIR034C	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.247-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.247&CDS=1-1122
OG0002003	YIR035C	maker-NODE_11_length_189733_cov_60.009_ID_29483-augustus-gene-0.116-mRNA-1_1&gene=maker-NODE_11_length_189733_cov_60.009_ID_29483-augustus-gene-0.116&CDS=1-756
OG0002004	YIR037W	augustus_masked-NODE_144_length_5721_cov_89.9365_ID_29518-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_144_length_5721_cov_89.9365_ID_29518-processed-gene-0.0&CDS=1-483
OG0002005	YIR038C	maker-NODE_27_length_126968_cov_70.5322_ID_38987-augustus-gene-0.86-mRNA-1_1&gene=maker-NODE_27_length_126968_cov_70.5322_ID_38987-augustus-gene-0.86&CDS=1-714
OG0002006	YJL001W	snap_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.280-mRNA-1_1&gene=snap_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.280&CDS=1-636
OG0002007	YJL002C	augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.129&CDS=1-1374
OG0002008	YJL003W	augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.171&CDS=1-354
OG0002009	YJL004C	augustus_masked-NODE_94_length_29740_cov_61.8892_ID_13423-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_94_length_29740_cov_61.8892_ID_13423-processed-gene-0.6&CDS=1-546
OG0002010	YJL005W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-2.157-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-2.157&CDS=1-4422
OG0002011	YJL006C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.5&CDS=1-861
OG0002012	YJL008C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.31&CDS=1-1647
OG0002013	YJL010C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.30&CDS=1-1932
OG0002014	YJL011C	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.258-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.258&CDS=1-447
OG0002015	YJL012C	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.212&CDS=1-2124
OG0002016	YJL014W	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.211&CDS=1-1581
OG0002017	YJL019W	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.217&CDS=1-1590
OG0002018	YJL023C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.50&CDS=1-714
OG0002019	YJL024C	maker-NODE_104_length_24762_cov_65.9696_ID_15482-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_104_length_24762_cov_65.9696_ID_15482-augustus-gene-0.0&CDS=1-540
OG0002020	YJL025W	augustus_masked-NODE_136_length_7911_cov_82.6692_ID_16975-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_136_length_7911_cov_82.6692_ID_16975-processed-gene-0.2&CDS=1-1476
OG0002021	YJL026W	augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.17&CDS=1-1230
OG0002022	YJL029C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.11&CDS=1-2397
OG0002023	YJL030W	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.6&CDS=1-588
OG0002024	YJL031C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.10&CDS=1-984
OG0002025	YJL033W	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.22&CDS=1-2286
OG0002026	YJL035C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.2&CDS=1-738
OG0002027	YJL036W	maker-NODE_5_length_240785_cov_63.9891_ID_41060-augustus-gene-0.82-mRNA-1_1&gene=maker-NODE_5_length_240785_cov_63.9891_ID_41060-augustus-gene-0.82&CDS=1-1311
OG0002028	YJL039C	augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.43&CDS=1-4953
OG0002029	YJL041W	augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.60&CDS=1-1773
OG0002030	YJL046W	augustus_masked-NODE_64_length_57922_cov_62.9653_ID_44090-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_64_length_57922_cov_62.9653_ID_44090-processed-gene-0.24&CDS=1-1191
OG0002031	YJL049W	augustus_masked-NODE_108_length_20801_cov_69.4749_ID_14660-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_108_length_20801_cov_69.4749_ID_14660-processed-gene-0.39&CDS=1-1248
OG0002032	YJL050W	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.156&CDS=1-3183
OG0002033	YJL053W	augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.90&CDS=1-867
OG0002034	YJL054W	augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.283-mRNA-1_1&gene=augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-1.283&CDS=1-1467
OG0002035	YJL055W	augustus_masked-NODE_63_length_58116_cov_58.6921_ID_15712-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_63_length_58116_cov_58.6921_ID_15712-processed-gene-0.74&CDS=1-672
OG0002036	YJL057C	snap_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.112&CDS=1-1452
OG0002037	YJL059W	genemark-NODE_84_length_39392_cov_122.834_ID_42304-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_84_length_39392_cov_122.834_ID_42304-processed-gene-0.25&CDS=1-1803
OG0002038	YJL060W	augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.2&CDS=1-1275
OG0002039	YJL062W	augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_104_length_24762_cov_65.9696_ID_15482-processed-gene-0.7&CDS=1-4758
OG0002040	YJL062W-A	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.32&CDS=1-249
OG0002041	YJL063C	augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.176&CDS=1-627
OG0002042	YJL065C	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.12&CDS=1-660
OG0002043	YJL068C	maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.104-mRNA-1_1&gene=maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.104&CDS=1-1116
OG0002044	YJL069C	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.14&CDS=1-1629
OG0002045	YJL071W	snap_masked-NODE_64_length_57922_cov_62.9653_ID_44090-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_64_length_57922_cov_62.9653_ID_44090-processed-gene-0.81&CDS=1-1509
OG0002046	YJL072C	maker-NODE_64_length_57922_cov_62.9653_ID_44090-augustus-gene-0.109-mRNA-1_1&gene=maker-NODE_64_length_57922_cov_62.9653_ID_44090-augustus-gene-0.109&CDS=1-597
OG0002047	YJL074C	augustus_masked-NODE_106_length_22568_cov_65.9212_ID_14572-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_106_length_22568_cov_65.9212_ID_14572-processed-gene-0.26&CDS=1-3612
OG0002048	YJL080C	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.30&CDS=1-3501
OG0002049	YJL081C	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.33&CDS=1-1407
OG0002050	YJL083W	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.64&CDS=1-1587
OG0002051	YJL084C	augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-0.88&CDS=1-2658
OG0002052	YJL085W	augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_3_length_267281_cov_69.2695_ID_38578-processed-gene-0.64&CDS=1-1812
OG0002053	YJL087C	augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-0.68&CDS=1-2403
OG0002054	YJL088W	maker-NODE_2_length_314945_cov_63.3908_ID_37428-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_2_length_314945_cov_63.3908_ID_37428-snap-gene-0.123&CDS=1-1884
OG0002055	YJL090C	maker-NODE_2_length_314945_cov_63.3908_ID_37428-augustus-gene-0.132-mRNA-1_1&gene=maker-NODE_2_length_314945_cov_63.3908_ID_37428-augustus-gene-0.132&CDS=1-1866
OG0002056	YJL091C	augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.88&CDS=1-1440
OG0002057	YJL094C	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.0&CDS=1-2103
OG0002058	YJL097W	augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.69&CDS=1-1122
OG0002059	YJL100W	augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-0.55&CDS=1-1857
OG0002060	YJL101C	augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.167&CDS=1-1986
OG0002061	YJL102W	augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.220&CDS=1-2259
OG0002062	YJL104W	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.33&CDS=1-387
OG0002063	YJL106W	augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_49_length_76212_cov_61.5883_ID_10760-processed-gene-0.36&CDS=1-2055
OG0002064	YJL108C	snap_masked-NODE_146_length_5155_cov_59.4623_ID_39240-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_146_length_5155_cov_59.4623_ID_39240-processed-gene-0.6&CDS=1-2967
OG0002065	YJL109C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.80&CDS=1-5244
OG0002066	YJL111W	augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.143&CDS=1-1653
OG0002067	YJL112W	augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_21_length_140531_cov_64.6559_ID_42067-processed-gene-0.144&CDS=1-1938
OG0002068	YJL115W	augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.110&CDS=1-831
OG0002069	YJL117W	augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.63&CDS=1-915
OG0002070	YJL121C	augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.51&CDS=1-702
OG0002071	YJL122W	augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.10&CDS=1-465
OG0002072	YJL123C	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.278-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.278&CDS=1-1140
OG0002073	YJL124C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.24&CDS=1-477
OG0002074	YJL125C	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.26&CDS=1-1080
OG0002075	YJL126W	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.228&CDS=1-897
OG0002076	YJL127C	maker-NODE_11_length_189733_cov_60.009_ID_29483-snap-gene-0.107-mRNA-1_1&gene=maker-NODE_11_length_189733_cov_60.009_ID_29483-snap-gene-0.107&CDS=1-2217
OG0002077	YJL127C-B	maker-NODE_121_length_11989_cov_58.3095_ID_29961-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_121_length_11989_cov_58.3095_ID_29961-snap-gene-0.15&CDS=1-180
OG0002078	YJL128C	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.272-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.272&CDS=1-1779
OG0002079	YJL131C	augustus_masked-NODE_121_length_11989_cov_58.3095_ID_29961-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_121_length_11989_cov_58.3095_ID_29961-processed-gene-0.22&CDS=1-960
OG0002080	YJL132W	snap_masked-NODE_121_length_11989_cov_58.3095_ID_29961-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_121_length_11989_cov_58.3095_ID_29961-processed-gene-0.7&CDS=1-2073
