	Saccharomyces_cerevisiae	yHMPu5000034986_Candida_oregonensis
OG0001904	YJL094C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.85-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.85&CDS=1-2241
OG0001905	YJL096W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-6.70&CDS=1-453
OG0001906	YJL097W	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.35&CDS=1-657
OG0001907	YJL100W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-4.104-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-4.104&CDS=1-2007
OG0001908	YJL101C	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.26&CDS=1-2235
OG0001909	YJL102W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-4.96-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-4.96&CDS=1-2508
OG0001910	YJL104W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.68-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.68&CDS=1-366
OG0001911	YJL106W	genemark-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.111&CDS=1-1443
OG0001912	YJL109C	maker-NODE_12_length_341755_cov_65.6313_ID_23-augustus-gene-0.99-mRNA-1_1&gene=maker-NODE_12_length_341755_cov_65.6313_ID_23-augustus-gene-0.99&CDS=1-5922
OG0001913	YJL111W	augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.130&CDS=1-1617
OG0001914	YJL115W	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.44&CDS=1-720
OG0001915	YJL117W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.110-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.110&CDS=1-999
OG0001916	YJL121C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.6-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.6&CDS=1-693
OG0001917	YJL122W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.23&CDS=1-483
OG0001918	YJL123C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.105-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.105&CDS=1-1239
OG0001919	YJL125C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.148&CDS=1-1125
OG0001920	YJL126W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-6.76&CDS=1-975
OG0001921	YJL127C	maker-NODE_11_length_428817_cov_65.7073_ID_21-snap-gene-2.93-mRNA-1_1&gene=maker-NODE_11_length_428817_cov_65.7073_ID_21-snap-gene-2.93&CDS=1-2115
OG0001922	YJL128C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-4.102&CDS=1-1782
OG0001923	YJL130C	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.23-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.23&CDS=1-6621
OG0001924	YJL131C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-12.116-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-12.116&CDS=1-1137
OG0001925	YJL140W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.30&CDS=1-573
OG0001926	YJL141C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.31&CDS=1-1986
OG0001927	YJL143W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.32&CDS=1-456
OG0001928	YJL145W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.49&CDS=1-1047
OG0001929	YJL148W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.40-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.40&CDS=1-639
OG0001930	YJL153C	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-5.98&CDS=1-1551
OG0001931	YJL154C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.45&CDS=1-2763
OG0001932	YJL156C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.83&CDS=1-2337
OG0001933	YJL166W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.5-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.5&CDS=1-282
OG0001934	YJL167W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.3&CDS=1-1050
OG0001935	YJL168C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.66-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-4.66&CDS=1-2097
OG0001936	YJL171C	genemark-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.134-mRNA-1_1&gene=genemark-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.134&CDS=1-1215
OG0001937	YJL176C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-5.7&CDS=1-2160
OG0001938	YJL179W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.54-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.54&CDS=1-357
OG0001939	YJL180C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.36-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.36&CDS=1-1023
OG0001940	YJL183W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.50-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.50&CDS=1-1293
OG0001941	YJL184W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-8.35&CDS=1-318
OG0001942	YJL187C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.163-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.163&CDS=1-2739
OG0001943	YJL189W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.66&CDS=1-321
OG0001944	YJL194W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.6-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.6&CDS=1-1470
OG0001945	YJL197W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.84&CDS=1-3756
OG0001946	YJL200C	augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-0.24&CDS=1-6495
OG0001947	YJL201W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-1.68&CDS=1-1542
OG0001948	YJL204C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.86&CDS=1-2445
OG0001949	YJL207C	snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.57&CDS=1-6489
OG0001950	YJL208C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.11&CDS=1-966
OG0001951	YJL209W	augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.132&CDS=1-1587
OG0001952	YJL212C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.136-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.136&CDS=1-2301
OG0001953	YJR001W	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.150-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.150&CDS=1-1743
OG0001954	YJR002W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-2.37&CDS=1-1818
OG0001955	YJR003C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.5&CDS=1-1464
OG0001956	YJR006W	augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.151&CDS=1-1374
OG0001957	YJR007W	snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.56&CDS=1-900
OG0001958	YJR008W	snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.16&CDS=1-930
OG0001959	YJR010W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.77&CDS=1-1602
OG0001960	YJR013W	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.80-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.80&CDS=1-1212
OG0001961	YJR014W	snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_14_length_238715_cov_71.2307_ID_27-processed-gene-1.125&CDS=1-606
OG0001962	YJR016C	maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-8.260-mRNA-1_1&gene=maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-8.260&CDS=1-2700
OG0001963	YJR017C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.125-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.125&CDS=1-522
OG0001964	YJR019C	maker-NODE_5_length_957844_cov_53.4892_ID_9-snap-gene-6.101-mRNA-1_1&gene=maker-NODE_5_length_957844_cov_53.4892_ID_9-snap-gene-6.101&CDS=1-2814
OG0001965	YJR024C	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.31&CDS=1-744
OG0001966	YJR025C	snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.98&CDS=1-510
OG0001967	YJR032W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.65-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-2.65&CDS=1-1026
OG0001968	YJR033C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.91-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.91&CDS=1-4074
OG0001969	YJR034W	maker-NODE_5_length_957844_cov_53.4892_ID_9-snap-gene-7.122-mRNA-1_1&gene=maker-NODE_5_length_957844_cov_53.4892_ID_9-snap-gene-7.122&CDS=1-366
OG0001970	YJR035W	maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-6.103-mRNA-1_1&gene=maker-NODE_5_length_957844_cov_53.4892_ID_9-augustus-gene-6.103&CDS=1-4203
OG0001971	YJR036C	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.55&CDS=1-2595
OG0001972	YJR040W	augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.95&CDS=1-2169
OG0001973	YJR041C	augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.113&CDS=1-3315
OG0001974	YJR042W	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.74-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-0.74&CDS=1-2217
OG0001975	YJR044C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.54-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.54&CDS=1-441
OG0001976	YJR045C	snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.59&CDS=1-1923
OG0001977	YJR050W	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.47&CDS=1-657
OG0001978	YJR052W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.55&CDS=1-1827
OG0001979	YJR055W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.129&CDS=1-405
OG0001980	YJR057W	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.76-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.76&CDS=1-615
OG0001981	YJR058C	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-3.116&CDS=1-441
OG0001982	YJR060W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.136-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.136&CDS=1-720
OG0001983	YJR062C	snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.109-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.109&CDS=1-978
OG0001984	YJR063W	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.75&CDS=1-369
OG0001985	YJR064W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.33&CDS=1-1647
OG0001986	YJR065C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.32&CDS=1-1257
OG0001987	YJR068W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.191-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-15.191&CDS=1-1023
OG0001988	YJR069C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-6.20&CDS=1-579
OG0001989	YJR070C	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-0.7&CDS=1-954
OG0001990	YJR072C	snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.59&CDS=1-1143
OG0001991	YJR073C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.65-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.65&CDS=1-609
OG0001992	YJR074W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.91-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-5.91&CDS=1-546
OG0001993	YJR076C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-5.57-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-5.57&CDS=1-1170
OG0001994	YJR077C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.42&CDS=1-918
OG0001995	YJR078W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.122-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-7.122&CDS=1-1344
OG0001996	YJR082C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-8.83&CDS=1-429
OG0001997	YJR084W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.91-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.91&CDS=1-1281
OG0001998	YJR085C	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.129-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.129&CDS=1-318
OG0001999	YJR086W	snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_16_length_131685_cov_45.3429_ID_31-processed-gene-0.102&CDS=1-255
OG0002000	YJR088C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.92-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.92&CDS=1-897
OG0002001	YJR090C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.67-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.67&CDS=1-2160
OG0002002	YJR092W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-10.104-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-10.104&CDS=1-4965
OG0002003	YJR093C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.65&CDS=1-726
OG0002004	YJR095W	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.135-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.135&CDS=1-933
OG0002005	YJR096W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.1&CDS=1-957
OG0002006	YJR097W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.7&CDS=1-450
OG0002007	YJR098C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-0.27&CDS=1-1872
OG0002008	YJR099W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.93-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.93&CDS=1-711
OG0002009	YJR100C	snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.136-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.136&CDS=1-1065
OG0002010	YJR101W	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.93-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.93&CDS=1-768
OG0002011	YJR102C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.69-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-10.69&CDS=1-561
OG0002012	YJR104C	snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-3.63&CDS=1-462
OG0002013	YJR105W	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.10&CDS=1-1041
OG0002014	YJR109C	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.63-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.63&CDS=1-3423
OG0002015	YJR110W	augustus_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.69&CDS=1-6216
OG0002016	YJR112W	snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.62&CDS=1-576
OG0002017	YJR113C	snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-2.152-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-2.152&CDS=1-756
OG0002018	YJR117W	augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-0.55&CDS=1-1359
OG0002019	YJR118C	snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-2.9&CDS=1-492
OG0002020	YJR119C	snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-1.14&CDS=1-2409
OG0002021	YJR121W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-1.56-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-snap-gene-1.56&CDS=1-1509
OG0002022	YJR122W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.131-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.131&CDS=1-1254
OG0002023	YJR123W	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.137-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.137&CDS=1-675
OG0002024	YJR124C	snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.127-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.127&CDS=1-1326
OG0002025	YJR125C	maker-NODE_12_length_341755_cov_65.6313_ID_23-snap-gene-2.89-mRNA-1_1&gene=maker-NODE_12_length_341755_cov_65.6313_ID_23-snap-gene-2.89&CDS=1-1260
OG0002026	YJR131W	genemark-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.77&CDS=1-1872
OG0002027	YJR132W	snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.171-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.171&CDS=1-3084
