	Metschnikowia_borealis	Saccharomyces_cerevisiae
OG0001361	maker-bor_s323-augustus-gene-0.269-mRNA-1_1&gene=maker-bor_s323-augustus-gene-0.269&CDS=1-201	YDR086C
OG0001362	augustus_masked-bor_s323-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.203&CDS=1-1134	YBR234C
OG0001363	augustus_masked-bor_s323-processed-gene-0.254-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.254&CDS=1-984	YOL053W
OG0001364	augustus_masked-bor_s323-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.205&CDS=1-1659	YBR196C
OG0001365	augustus_masked-bor_s323-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.206&CDS=1-417	YML108W
OG0001366	augustus_masked-bor_s323-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.207&CDS=1-465	YIL062C
OG0001367	augustus_masked-bor_s323-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.208&CDS=1-954	YHR104W
OG0001368	augustus_masked-bor_s323-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.209&CDS=1-1953	YFL027C
OG0001369	augustus_masked-bor_s323-processed-gene-0.258-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.258&CDS=1-1908	YLR055C
OG0001370	augustus_masked-bor_s323-processed-gene-0.259-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.259&CDS=1-456	YKL067W
OG0001371	augustus_masked-bor_s323-processed-gene-0.260-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.260&CDS=1-951	YFL028C
OG0001372	augustus_masked-bor_s323-processed-gene-0.261-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.261&CDS=1-2940	YMR125W
OG0001373	augustus_masked-bor_s323-processed-gene-0.262-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.262&CDS=1-1803	YCR061W
OG0001374	augustus_masked-bor_s323-processed-gene-0.263-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.263&CDS=1-2262	YNL161W
OG0001375	augustus_masked-bor_s323-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.212&CDS=1-1479	YDR470C
OG0001376	augustus_masked-bor_s323-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.213&CDS=1-1581	YOR132W
OG0001377	augustus_masked-bor_s323-processed-gene-0.264-mRNA-1_1&gene=augustus_masked-bor_s323-processed-gene-0.264&CDS=1-675	YHR008C
OG0001378	augustus_masked-bor_s324-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s324-processed-gene-0.27&CDS=1-1755	YJR016C
OG0001379	augustus_masked-bor_s324-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s324-processed-gene-0.25&CDS=1-3702	YBL007C
OG0001380	augustus_masked-bor_s324-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s324-processed-gene-0.26&CDS=1-1557	YGL192W
OG0001381	augustus_masked-bor_s324-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bor_s324-processed-gene-0.28&CDS=1-564	YGL010W
OG0001382	augustus_masked-bor_s324-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-bor_s324-processed-gene-0.29&CDS=1-2232	YGL022W
OG0001383	genemark-bor_s325-processed-gene-0.7-mRNA-1_1&gene=genemark-bor_s325-processed-gene-0.7&CDS=1-2904	YFR009W
OG0001384	snap_masked-bor_s325-processed-gene-0.25-mRNA-1_1&gene=snap_masked-bor_s325-processed-gene-0.25&CDS=1-1488	YNL042W
OG0001385	augustus_masked-bor_s325-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.60&CDS=1-1518	YIL104C
OG0001386	snap_masked-bor_s325-processed-gene-0.26-mRNA-1_1&gene=snap_masked-bor_s325-processed-gene-0.26&CDS=1-1248	YIL103W
OG0001387	augustus_masked-bor_s325-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.61&CDS=1-2280	YNL041C
OG0001388	augustus_masked-bor_s325-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.62&CDS=1-1704	YIL101C
OG0001389	augustus_masked-bor_s325-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.64&CDS=1-249	YLR395C
OG0001390	snap_masked-bor_s325-processed-gene-0.29-mRNA-1_1&gene=snap_masked-bor_s325-processed-gene-0.29&CDS=1-183	YDL067C
OG0001391	augustus_masked-bor_s325-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.65&CDS=1-2106	YLR396C
OG0001392	augustus_masked-bor_s325-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.55&CDS=1-906	YGR096W
OG0001393	augustus_masked-bor_s325-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bor_s325-processed-gene-0.56&CDS=1-3627	YEL031W
OG0001394	augustus_masked-bor_s326-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s326-processed-gene-0.1&CDS=1-855	YOR065W
OG0001395	augustus_masked-bor_s327-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s327-processed-gene-0.21&CDS=1-2679	YNL051W
OG0001396	augustus_masked-bor_s330-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s330-processed-gene-0.7&CDS=1-477	YPR073C
OG0001397	augustus_masked-bor_s338-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s338-processed-gene-0.7&CDS=1-1584	YOR161C
OG0001398	augustus_masked-bor_s338-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s338-processed-gene-0.8&CDS=1-900	YHR012W
OG0001399	augustus_masked-bor_s338-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s338-processed-gene-0.13&CDS=1-582	YDL165W
OG0001400	augustus_masked-bor_s338-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s338-processed-gene-0.10&CDS=1-615	YDL166C
OG0001401	augustus_masked-bor_s340-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s340-processed-gene-0.2&CDS=1-2022	YPR074C
OG0001402	snap_masked-bor_s342-processed-gene-0.29-mRNA-1_1&gene=snap_masked-bor_s342-processed-gene-0.29&CDS=1-1779	YKL062W
OG0001403	augustus_masked-bor_s342-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bor_s342-processed-gene-0.7&CDS=1-468	YBL059W
OG0001404	augustus_masked-bor_s342-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s342-processed-gene-0.9&CDS=1-1356	YMR033W
OG0001405	augustus_masked-bor_s342-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s342-processed-gene-0.2&CDS=1-2217	YDL164C
OG0001406	augustus_masked-bor_s342-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s342-processed-gene-0.3&CDS=1-2709	YKR009C
OG0001407	snap_masked-bor_s342-processed-gene-0.43-mRNA-1_1&gene=snap_masked-bor_s342-processed-gene-0.43&CDS=1-1818	YMR036C
OG0001408	maker-bor_s344-augustus-gene-0.67-mRNA-1_1&gene=maker-bor_s344-augustus-gene-0.67&CDS=1-2811	YGR231C
OG0001409	augustus_masked-bor_s344-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.72&CDS=1-891	YCL009C
OG0001410	augustus_masked-bor_s344-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.74&CDS=1-1689	YBR200W
OG0001411	augustus_masked-bor_s344-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.77&CDS=1-1173	YLR105C
OG0001412	augustus_masked-bor_s344-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.78&CDS=1-504	YER159C
OG0001413	augustus_masked-bor_s344-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.79&CDS=1-2262	YDR109C
OG0001414	augustus_masked-bor_s344-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.93&CDS=1-1737	YKR056W
OG0001415	augustus_masked-bor_s344-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.81&CDS=1-1380	YBR162C
OG0001416	augustus_masked-bor_s344-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.84&CDS=1-1020	YDL134C
OG0001417	augustus_masked-bor_s344-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.86&CDS=1-1851	YDL185W
OG0001418	augustus_masked-bor_s344-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.97&CDS=1-1092	YDL183C
OG0001419	augustus_masked-bor_s344-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.87&CDS=1-1152	YDL133W
OG0001420	augustus_masked-bor_s344-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bor_s344-processed-gene-0.88&CDS=1-1392	YDL132W
OG0001421	augustus_masked-bor_s345-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.0&CDS=1-1728	YKR016W
OG0001422	augustus_masked-bor_s345-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.2&CDS=1-1827	YMR092C
OG0001423	augustus_masked-bor_s345-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.3&CDS=1-2091	YEL011W
OG0001424	augustus_masked-bor_s345-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.4&CDS=1-1938	YMR106C
OG0001425	augustus_masked-bor_s345-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.18&CDS=1-1101	YMR097C
OG0001426	augustus_masked-bor_s345-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.5&CDS=1-864	YKL110C
OG0001427	augustus_masked-bor_s345-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.19&CDS=1-738	YKL099C
OG0001428	augustus_masked-bor_s345-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.6&CDS=1-1806	YMR098C
OG0001429	augustus_masked-bor_s345-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.20&CDS=1-1512	YKR023W
OG0001430	augustus_masked-bor_s345-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.10&CDS=1-951	YGR127W
OG0001431	augustus_masked-bor_s345-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.11&CDS=1-996	YPR147C
OG0001432	maker-bor_s345-augustus-gene-0.25-mRNA-1_1&gene=maker-bor_s345-augustus-gene-0.25&CDS=1-2502	YBR034C
OG0001433	augustus_masked-bor_s345-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.14&CDS=1-381	YCL033C
OG0001434	augustus_masked-bor_s345-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.21&CDS=1-945	YDL015C
OG0001435	augustus_masked-bor_s345-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s345-processed-gene-0.15&CDS=1-450	YOR298C-A
OG0001436	genemark-bor_s345-processed-gene-0.51-mRNA-1_1&gene=genemark-bor_s345-processed-gene-0.51&CDS=1-4485	YJL109C
OG0001437	augustus_masked-bor_s346-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bor_s346-processed-gene-0.27&CDS=1-1638	YBL020W
OG0001438	augustus_masked-bor_s346-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-bor_s346-processed-gene-0.21&CDS=1-750	YBL021C
OG0001439	augustus_masked-bor_s346-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bor_s346-processed-gene-0.22&CDS=1-2148	YBL024W
OG0001440	augustus_masked-bor_s346-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s346-processed-gene-0.24&CDS=1-3357	YBL022C
OG0001441	augustus_masked-bor_s347-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s347-processed-gene-0.12&CDS=1-5634	YPL231W
OG0001442	augustus_masked-bor_s347-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s347-processed-gene-0.13&CDS=1-5568	YDR170C
OG0001443	snap_masked-bor_s347-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bor_s347-processed-gene-0.8&CDS=1-729	YLR150W
OG0001444	augustus_masked-bor_s347-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s347-processed-gene-0.15&CDS=1-2076	YDR169C
OG0001445	augustus_masked-bor_s347-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s347-processed-gene-0.16&CDS=1-2346	YBR202W
OG0001446	augustus_masked-bor_s348-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s348-processed-gene-0.3&CDS=1-2292	YLR069C
OG0001447	augustus_masked-bor_s35-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s35-processed-gene-0.13&CDS=1-963	YOR006C
OG0001448	snap_masked-bor_s35-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bor_s35-processed-gene-0.2&CDS=1-3771	YML002W
OG0001449	augustus_masked-bor_s35-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bor_s35-processed-gene-0.16&CDS=1-1125	YOR007C
OG0001450	augustus_masked-bor_s350-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.1&CDS=1-636	YBL040C
OG0001451	augustus_masked-bor_s350-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.24&CDS=1-723	YBL041W
OG0001452	augustus_masked-bor_s350-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.25&CDS=1-294	YGR181W
OG0001453	maker-bor_s350-augustus-gene-0.40-mRNA-1_1&gene=maker-bor_s350-augustus-gene-0.40&CDS=1-2238	YPL109C
OG0001454	augustus_masked-bor_s350-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.4&CDS=1-720	YAL049C
OG0001455	augustus_masked-bor_s350-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.6&CDS=1-1095	YGR187C
OG0001456	augustus_masked-bor_s350-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.26&CDS=1-1710	YGR186W
OG0001457	augustus_masked-bor_s350-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.8&CDS=1-1230	YJR013W
OG0001458	augustus_masked-bor_s350-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.9&CDS=1-732	YGR195W
OG0001459	augustus_masked-bor_s350-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.10&CDS=1-999	YGR284C
OG0001460	augustus_masked-bor_s350-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.11&CDS=1-750	YKL087C
OG0001461	augustus_masked-bor_s350-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.30&CDS=1-1317	YMR220W
OG0001462	augustus_masked-bor_s350-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.12&CDS=1-1347	YBR166C
OG0001463	augustus_masked-bor_s350-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.31&CDS=1-555	YBR164C
OG0001464	augustus_masked-bor_s350-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.13&CDS=1-621	YMR311C
OG0001465	augustus_masked-bor_s350-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.32&CDS=1-1272	YGR285C
OG0001466	augustus_masked-bor_s350-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.14&CDS=1-1779	YBR158W
OG0001467	snap_masked-bor_s350-processed-gene-0.119-mRNA-1_1&gene=snap_masked-bor_s350-processed-gene-0.119&CDS=1-2271	YOL076W
OG0001468	augustus_masked-bor_s350-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.35&CDS=1-678	YOR283W
OG0001469	augustus_masked-bor_s350-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.38&CDS=1-1725	YNL115C
OG0001470	augustus_masked-bor_s350-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.20&CDS=1-1002	YGL212W
OG0001471	augustus_masked-bor_s350-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-0.39&CDS=1-1299	YER152C
OG0001472	augustus_masked-bor_s350-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.77&CDS=1-1452	YNL206C
OG0001473	augustus_masked-bor_s350-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.79&CDS=1-2298	YNL221C
OG0001474	augustus_masked-bor_s350-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.95&CDS=1-675	YNL222W
OG0001475	augustus_masked-bor_s350-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.96&CDS=1-1152	YNL223W
OG0001476	augustus_masked-bor_s350-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.80&CDS=1-2313	YNL224C
OG0001477	snap_masked-bor_s350-processed-gene-1.60-mRNA-1_1&gene=snap_masked-bor_s350-processed-gene-1.60&CDS=1-1746	YNL227C
OG0001478	augustus_masked-bor_s350-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.82&CDS=1-1674	YER087W
OG0001479	augustus_masked-bor_s350-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.100&CDS=1-273	YER019C-A
OG0001480	augustus_masked-bor_s350-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.84&CDS=1-2073	YBL051C
OG0001481	augustus_masked-bor_s350-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.101&CDS=1-1203	YBL055C
OG0001482	maker-bor_s350-augustus-gene-1.112-mRNA-1_1&gene=maker-bor_s350-augustus-gene-1.112&CDS=1-1509	YJR121W
OG0001483	augustus_masked-bor_s350-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.103&CDS=1-2391	YJR119C
OG0001484	augustus_masked-bor_s350-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.88&CDS=1-828	YER023W
OG0001485	maker-bor_s350-augustus-gene-1.111-mRNA-1_1&gene=maker-bor_s350-augustus-gene-1.111&CDS=1-1296	YDL084W
OG0001486	augustus_masked-bor_s350-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.90&CDS=1-1311	YLR303W
OG0001487	snap_masked-bor_s350-processed-gene-1.70-mRNA-1_1&gene=snap_masked-bor_s350-processed-gene-1.70&CDS=1-1629	YML066C
OG0001488	genemark-bor_s350-processed-gene-1.16-mRNA-1_1&gene=genemark-bor_s350-processed-gene-1.16&CDS=1-1290	YLR438W
OG0001489	augustus_masked-bor_s350-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.110&CDS=1-2505	YLR138W
OG0001490	augustus_masked-bor_s350-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-bor_s350-processed-gene-1.93&CDS=1-864	YER163C
OG0001491	augustus_masked-bor_s351-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.78&CDS=1-1878	YAL016W
OG0001492	genemark-bor_s351-processed-gene-0.177-mRNA-1_1&gene=genemark-bor_s351-processed-gene-0.177&CDS=1-654	YPR067W
OG0001493	augustus_masked-bor_s351-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.79&CDS=1-894	YPL131W
OG0001494	maker-bor_s351-augustus-gene-0.73-mRNA-1_1&gene=maker-bor_s351-augustus-gene-0.73&CDS=1-900	YHL031C
OG0001495	augustus_masked-bor_s351-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.114&CDS=1-726	YPR037C
OG0001496	augustus_masked-bor_s351-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.83&CDS=1-417	YCR028C-A
OG0001497	augustus_masked-bor_s351-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.116&CDS=1-1200	YDR415C
OG0001498	augustus_masked-bor_s351-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.117&CDS=1-699	YDR020C
OG0001499	augustus_masked-bor_s351-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.85&CDS=1-1191	YDR021W
OG0001500	augustus_masked-bor_s351-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.86&CDS=1-3309	YER110C
OG0001501	augustus_masked-bor_s351-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.87&CDS=1-1083	YKL178C
OG0001502	augustus_masked-bor_s351-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.118&CDS=1-1500	YBL080C
OG0001503	augustus_masked-bor_s351-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.88&CDS=1-396	YBL078C
OG0001504	augustus_masked-bor_s351-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.120&CDS=1-1062	YNL141W
OG0001505	augustus_masked-bor_s351-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.121&CDS=1-549	YDL217C
OG0001506	augustus_masked-bor_s351-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.122&CDS=1-1125	YPR023C
OG0001507	augustus_masked-bor_s351-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.124&CDS=1-2337	YER125W
OG0001508	augustus_masked-bor_s351-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.126&CDS=1-1209	YDR083W
OG0001509	augustus_masked-bor_s351-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.128&CDS=1-1026	YER142C
OG0001510	genemark-bor_s351-processed-gene-0.164-mRNA-1_1&gene=genemark-bor_s351-processed-gene-0.164&CDS=1-987	YNL230C
OG0001511	augustus_masked-bor_s351-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.130&CDS=1-945	YHR062C
OG0001512	maker-bor_s351-augustus-gene-0.74-mRNA-1_1&gene=maker-bor_s351-augustus-gene-0.74&CDS=1-1428	YMR035W
OG0001513	augustus_masked-bor_s351-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.132&CDS=1-705	YGR057C
OG0001514	augustus_masked-bor_s351-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.134&CDS=1-2232	YBR198C
OG0001515	augustus_masked-bor_s351-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.135&CDS=1-825	YPL076W
OG0001516	snap_masked-bor_s351-processed-gene-0.28-mRNA-1_1&gene=snap_masked-bor_s351-processed-gene-0.28&CDS=1-420	YOL026C
OG0001517	augustus_masked-bor_s351-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.136&CDS=1-387	YIR015W
OG0001518	augustus_masked-bor_s351-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.103&CDS=1-750	YOL038W
OG0001519	genemark-bor_s351-processed-gene-0.203-mRNA-1_1&gene=genemark-bor_s351-processed-gene-0.203&CDS=1-4083	YKL113C
OG0001520	augustus_masked-bor_s351-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.104&CDS=1-2451	YGR099W
OG0001521	augustus_masked-bor_s351-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.142&CDS=1-2385	YJR126C
OG0001522	augustus_masked-bor_s351-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.143&CDS=1-807	YDR538W
OG0001523	augustus_masked-bor_s351-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-bor_s351-processed-gene-0.107&CDS=1-1533	YDR539W
OG0001524	genemark-bor_s352-processed-gene-0.22-mRNA-1_1&gene=genemark-bor_s352-processed-gene-0.22&CDS=1-897	YJR007W
OG0001525	genemark-bor_s352-processed-gene-0.16-mRNA-1_1&gene=genemark-bor_s352-processed-gene-0.16&CDS=1-921	YJR008W
OG0001526	augustus_masked-bor_s352-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bor_s352-processed-gene-0.9&CDS=1-3615	YDR291W
OG0001527	augustus_masked-bor_s352-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bor_s352-processed-gene-0.4&CDS=1-1506	YBR056W
OG0001528	augustus_masked-bor_s352-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bor_s352-processed-gene-0.5&CDS=1-1209	YPL154C
OG0001529	maker-bor_s352-augustus-gene-0.13-mRNA-1_1&gene=maker-bor_s352-augustus-gene-0.13&CDS=1-1434	YOL116W
OG0001530	snap_masked-bor_s356-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s356-processed-gene-0.7&CDS=1-3867	YPL006W
OG0001531	augustus_masked-bor_s356-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bor_s356-processed-gene-0.12&CDS=1-1119	YHR144C
OG0001532	augustus_masked-bor_s356-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bor_s356-processed-gene-0.15&CDS=1-693	YNL168C
OG0001533	genemark-bor_s361-processed-gene-0.14-mRNA-1_1&gene=genemark-bor_s361-processed-gene-0.14&CDS=1-402	YGL187C
OG0001534	augustus_masked-bor_s361-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bor_s361-processed-gene-0.26&CDS=1-2931	YIL047C
OG0001535	snap_masked-bor_s361-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bor_s361-processed-gene-0.7&CDS=1-3573	YIL048W
OG0001536	augustus_masked-bor_s364-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bor_s364-processed-gene-0.1&CDS=1-4311	YHR186C
OG0001537	augustus_masked-bor_s364-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bor_s364-processed-gene-0.2&CDS=1-1290	YGR257C
OG0001538	augustus_masked-bor_s364-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bor_s364-processed-gene-0.11&CDS=1-645	YGR235C
OG0001539	augustus_masked-bor_s364-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bor_s364-processed-gene-0.3&CDS=1-2397	YKL155C
