	Lachancea_mirantina	Saccharomyces_cerevisiae
OG0002327	genemark-LAMI0F-processed-gene-3.61-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.61&CDS=1-1182	YPR163C
OG0002328	genemark-LAMI0F-processed-gene-3.66-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.66&CDS=1-1971	YKL025C
OG0002329	genemark-LAMI0F-processed-gene-3.62-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.62&CDS=1-771	YIR036C
OG0002330	genemark-LAMI0F-processed-gene-3.63-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.63&CDS=1-855	YKL024C
OG0002331	genemark-LAMI0F-processed-gene-3.88-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.88&CDS=1-2151	YKL022C
OG0002332	genemark-LAMI0F-processed-gene-3.68-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.68&CDS=1-1119	YIR034C
OG0002333	genemark-LAMI0F-processed-gene-3.89-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.89&CDS=1-1182	YKL021C
OG0002334	augustus_masked-LAMI0F-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.147&CDS=1-3120	YKL020C
OG0002335	genemark-LAMI0F-processed-gene-3.69-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.69&CDS=1-963	YKL019W
OG0002336	genemark-LAMI0F-processed-gene-3.70-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.70&CDS=1-1053	YIR026C
OG0002337	snap_masked-LAMI0F-processed-gene-3.34-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-3.34&CDS=1-339	YIL156W-B
OG0002338	genemark-LAMI0F-processed-gene-3.71-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.71&CDS=1-984	YKL018W
OG0002339	maker-LAMI0F-augustus-gene-3.174-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-3.174&CDS=1-2475	YKL017C
OG0002340	augustus_masked-LAMI0F-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.130&CDS=1-1374	YPL172C
OG0002341	genemark-LAMI0F-processed-gene-3.94-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.94&CDS=1-1494	YOR260W
OG0002342	genemark-LAMI0F-processed-gene-3.73-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.73&CDS=1-1281	YOR259C
OG0002343	genemark-LAMI0F-processed-gene-3.95-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.95&CDS=1-642	YOR258W
OG0002344	maker-LAMI0F-augustus-gene-3.175-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-3.175&CDS=1-2892	YPL175W
OG0002345	genemark-LAMI0F-processed-gene-3.75-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.75&CDS=1-450	YPL170W
OG0002346	snap_masked-LAMI0F-processed-gene-3.41-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-3.41&CDS=1-1014	YOR255W
OG0002347	genemark-LAMI0F-processed-gene-3.100-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.100&CDS=1-1752	YPL169C
OG0002348	genemark-LAMI0F-processed-gene-3.76-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.76&CDS=1-1971	YOR254C
OG0002349	genemark-LAMI0F-processed-gene-3.101-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.101&CDS=1-492	YOR253W
OG0002350	augustus_masked-LAMI0F-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.135&CDS=1-1200	YPL168W
OG0002351	augustus_masked-LAMI0F-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.156&CDS=1-4776	YPL167C
OG0002352	genemark-LAMI0F-processed-gene-3.104-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.104&CDS=1-1149	YPL165C
OG0002353	genemark-LAMI0F-processed-gene-3.79-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.79&CDS=1-906	YOR251C
OG0002354	genemark-LAMI0F-processed-gene-3.80-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.80&CDS=1-1323	YOR250C
OG0002355	augustus_masked-LAMI0F-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.138&CDS=1-1998	YOR249C
OG0002356	augustus_masked-LAMI0F-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.158&CDS=1-2154	YPL164C
OG0002357	genemark-LAMI0F-processed-gene-3.107-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.107&CDS=1-783	YPL162C
OG0002358	augustus_masked-LAMI0F-processed-gene-3.161-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.161&CDS=1-1782	YPL161C
OG0002359	genemark-LAMI0F-processed-gene-3.82-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.82&CDS=1-1017	YOR246C
OG0002360	genemark-LAMI0F-processed-gene-3.83-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.83&CDS=1-3282	YPL160W
OG0002361	genemark-LAMI0F-processed-gene-3.109-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.109&CDS=1-882	YHL009C
OG0002362	genemark-LAMI0F-processed-gene-3.110-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.110&CDS=1-558	YPL159C
OG0002363	genemark-LAMI0F-processed-gene-3.84-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.84&CDS=1-1326	YMR210W
OG0002364	snap_masked-LAMI0F-processed-gene-3.53-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-3.53&CDS=1-1827	YPL158C
OG0002365	genemark-LAMI0F-processed-gene-3.85-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.85&CDS=1-843	YPL157W
OG0002366	snap_masked-LAMI0F-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-3.54&CDS=1-744	YPL156C
OG0002367	genemark-LAMI0F-processed-gene-3.113-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.113&CDS=1-1968	YPL155C
OG0002368	augustus_masked-LAMI0F-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-3.167&CDS=1-3600	YPL153C
OG0002369	maker-LAMI0F-augustus-gene-3.173-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-3.173&CDS=1-1350	YOR245C
OG0002370	genemark-LAMI0F-processed-gene-3.87-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.87&CDS=1-1056	YPL152W
OG0002371	genemark-LAMI0F-processed-gene-3.118-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.118&CDS=1-1314	YPL151C
OG0002372	genemark-LAMI0F-processed-gene-4.1-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.1&CDS=1-2028	YOR243C
OG0002373	augustus_masked-LAMI0F-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.98&CDS=1-1242	YOR242C
OG0002374	genemark-LAMI0F-processed-gene-4.5-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.5&CDS=1-1470	YOR241W
OG0002375	genemark-LAMI0F-processed-gene-4.3-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.3&CDS=1-2568	YPL150W
OG0002376	augustus_masked-LAMI0F-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.100&CDS=1-909	YPL149W
OG0002377	genemark-LAMI0F-processed-gene-4.22-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.22&CDS=1-987	YOR239W
OG0002378	snap_masked-LAMI0F-processed-gene-4.70-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.70&CDS=1-513	YPL148C
OG0002379	genemark-LAMI0F-processed-gene-4.7-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.7&CDS=1-2487	YPL147W
OG0002380	snap_masked-LAMI0F-processed-gene-4.73-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.73&CDS=1-882	YOR238W
OG0002381	genemark-LAMI0F-processed-gene-4.28-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.28&CDS=1-1317	YPL146C
OG0002382	genemark-LAMI0F-processed-gene-4.29-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.29&CDS=1-1251	YPL145C
OG0002383	genemark-LAMI0F-processed-gene-4.8-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.8&CDS=1-1878	YLL043W
OG0002384	genemark-LAMI0F-processed-gene-4.30-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.30&CDS=1-642	YHL031C
OG0002385	snap_masked-LAMI0F-processed-gene-4.77-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.77&CDS=1-480	YLL042C
OG0002386	snap_masked-LAMI0F-processed-gene-4.78-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.78&CDS=1-798	YLL041C
OG0002387	snap_masked-LAMI0F-processed-gene-4.79-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.79&CDS=1-9303	YLL040C
OG0002388	augustus_masked-LAMI0F-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.105&CDS=1-5517	YHL030W
OG0002389	genemark-LAMI0F-processed-gene-4.33-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.33&CDS=1-756	YLL038C
OG0002390	genemark-LAMI0F-processed-gene-4.34-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.34&CDS=1-1590	YLL036C
OG0002391	genemark-LAMI0F-processed-gene-4.35-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.35&CDS=1-1668	YHL029C
OG0002392	maker-LAMI0F-snap-gene-4.0-mRNA-1_1&gene=maker-LAMI0F-snap-gene-4.0&CDS=1-1458	YHL028W
OG0002393	snap_masked-LAMI0F-processed-gene-4.56-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.56&CDS=1-1230	YHL027W
OG0002394	augustus_masked-LAMI0F-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.108&CDS=1-1941	YLL035W
OG0002395	genemark-LAMI0F-processed-gene-4.37-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.37&CDS=1-2496	YLL034C
OG0002396	genemark-LAMI0F-processed-gene-4.12-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.12&CDS=1-441	YLL033W
OG0002397	genemark-LAMI0F-processed-gene-4.13-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.13&CDS=1-2367	YAL053W
OG0002398	snap_masked-LAMI0F-processed-gene-4.88-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.88&CDS=1-1992	YAL048C
OG0002399	genemark-LAMI0F-processed-gene-4.15-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.15&CDS=1-834	YOR362C
OG0002400	augustus_masked-LAMI0F-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.131&CDS=1-2268	YAL047C
OG0002401	genemark-LAMI0F-processed-gene-4.16-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.16&CDS=1-2214	YOR361C
OG0002402	snap_masked-LAMI0F-processed-gene-4.90-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-4.90&CDS=1-261	YAL046C
OG0002403	augustus_masked-LAMI0F-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.113&CDS=1-351	YAL044W-A
OG0002404	genemark-LAMI0F-processed-gene-4.41-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.41&CDS=1-519	YAL044C
OG0002405	genemark-LAMI0F-processed-gene-4.18-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.18&CDS=1-1506	YOR360C
OG0002406	genemark-LAMI0F-processed-gene-4.42-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.42&CDS=1-1209	YOR359W
OG0002407	genemark-LAMI0F-processed-gene-4.43-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.43&CDS=1-2178	YAL043C
OG0002408	genemark-LAMI0F-processed-gene-4.44-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.44&CDS=1-411	YOR358W
OG0002409	augustus_masked-LAMI0F-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-4.115&CDS=1-3909	YAL042W
OG0002410	genemark-LAMI0F-processed-gene-4.45-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.45&CDS=1-1962	YOR356W
OG0002411	genemark-LAMI0F-processed-gene-4.46-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.46&CDS=1-1221	YOR355W
OG0002412	genemark-LAMI0F-processed-gene-5.39-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.39&CDS=1-1281	YAL040C
OG0002413	snap_masked-LAMI0F-processed-gene-5.76-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.76&CDS=1-2016	YOR354C
OG0002414	augustus_masked-LAMI0F-processed-gene-5.4-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-5.4&CDS=1-825	YAL039C
OG0002415	snap_masked-LAMI0F-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.81&CDS=1-3093	YOR349W
OG0002416	snap_masked-LAMI0F-processed-gene-5.99-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.99&CDS=1-1674	YOR350C
OG0002417	maker-LAMI0F-snap-gene-5.118-mRNA-1_1&gene=maker-LAMI0F-snap-gene-5.118&CDS=1-1446	YOR351C
OG0002418	genemark-LAMI0F-processed-gene-5.43-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.43&CDS=1-888	YOR352W
OG0002419	genemark-LAMI0F-processed-gene-5.62-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.62&CDS=1-2268	YOR353C
OG0002420	genemark-LAMI0F-processed-gene-5.44-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.44&CDS=1-1503	YAL038W
OG0002421	genemark-LAMI0F-processed-gene-5.63-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.63&CDS=1-3060	YOR346W
OG0002422	genemark-LAMI0F-processed-gene-5.45-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.45&CDS=1-954	YOR344C
OG0002423	snap_masked-LAMI0F-processed-gene-5.85-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.85&CDS=1-825	YOR342C
OG0002424	genemark-LAMI0F-processed-gene-5.64-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.64&CDS=1-1104	YAL036C
OG0002425	genemark-LAMI0F-processed-gene-5.47-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.47&CDS=1-2988	YAL035W
OG0002426	genemark-LAMI0F-processed-gene-5.65-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.65&CDS=1-4938	YOR341W
OG0002427	genemark-LAMI0F-processed-gene-5.49-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.49&CDS=1-879	YOR340C
OG0002428	maker-LAMI0F-augustus-gene-5.121-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-5.121&CDS=1-1374	YOR339C
OG0002429	genemark-LAMI0F-processed-gene-5.66-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.66&CDS=1-1053	YOR338W
OG0002430	snap_masked-LAMI0F-processed-gene-5.107-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.107&CDS=1-3978	YOR336W
OG0002431	genemark-LAMI0F-processed-gene-5.52-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.52&CDS=1-2871	YOR335C
OG0002432	genemark-LAMI0F-processed-gene-5.53-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.53&CDS=1-489	YAL033W
OG0002433	snap_masked-LAMI0F-processed-gene-5.108-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.108&CDS=1-1146	YAL032C
OG0002434	snap_masked-LAMI0F-processed-gene-5.109-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-5.109&CDS=1-2364	YAL031C
OG0002435	genemark-LAMI0F-processed-gene-5.70-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.70&CDS=1-1284	YOR334W
OG0002436	genemark-LAMI0F-processed-gene-5.71-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.71&CDS=1-690	YOR332W
OG0002437	genemark-LAMI0F-processed-gene-5.54-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.54&CDS=1-3723	YOR330C
OG0002438	genemark-LAMI0F-processed-gene-5.55-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.55&CDS=1-1878	YOR329C
OG0002439	genemark-LAMI0F-processed-gene-5.56-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.56&CDS=1-327	YOR327C
OG0002440	genemark-LAMI0F-processed-gene-5.73-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.73&CDS=1-4674	YOR326W
OG0002441	augustus_masked-LAMI0F-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-5.19&CDS=1-684	YAL027W
OG0002442	genemark-LAMI0F-processed-gene-5.59-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.59&CDS=1-1368	YOR323C
OG0002443	genemark-LAMI0F-processed-gene-5.74-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.74&CDS=1-3945	YAL026C
OG0002444	genemark-LAMI0F-processed-gene-5.75-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.75&CDS=1-4911	YAL024C
OG0002445	genemark-LAMI0F-processed-gene-6.96-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.96&CDS=1-2238	YOR322C
OG0002446	genemark-LAMI0F-processed-gene-6.98-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.98&CDS=1-1287	YAL022C
OG0002447	genemark-LAMI0F-processed-gene-6.124-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.124&CDS=1-2238	YAL021C
OG0002448	snap_masked-LAMI0F-processed-gene-6.76-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.76&CDS=1-1023	YAL020C
OG0002449	genemark-LAMI0F-processed-gene-6.99-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.99&CDS=1-3099	YAL019W
OG0002450	genemark-LAMI0F-processed-gene-6.100-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.100&CDS=1-3390	YOL051W
OG0002451	genemark-LAMI0F-processed-gene-6.101-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.101&CDS=1-1449	YOL049W
OG0002452	augustus_masked-LAMI0F-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-6.29&CDS=1-777	YOL048C
OG0002453	snap_masked-LAMI0F-processed-gene-6.79-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.79&CDS=1-1008	YAL018C
OG0002454	genemark-LAMI0F-processed-gene-6.102-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.102&CDS=1-3486	YOL045W
OG0002455	genemark-LAMI0F-processed-gene-6.104-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.104&CDS=1-1866	YAL016W
OG0002456	genemark-LAMI0F-processed-gene-6.129-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.129&CDS=1-1149	YOL043C
OG0002457	genemark-LAMI0F-processed-gene-6.105-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.105&CDS=1-1146	YOL042W
OG0002458	snap_masked-LAMI0F-processed-gene-6.81-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.81&CDS=1-786	YAL014C
OG0002459	genemark-LAMI0F-processed-gene-6.131-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.131&CDS=1-1440	YOL041C
OG0002460	genemark-LAMI0F-processed-gene-6.106-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.106&CDS=1-1614	YAL013W
OG0002461	genemark-LAMI0F-processed-gene-6.132-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.132&CDS=1-426	YOL040C
OG0002462	genemark-LAMI0F-processed-gene-6.107-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.107&CDS=1-324	YOL039W
OG0002463	genemark-LAMI0F-processed-gene-6.108-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.108&CDS=1-1170	YAL012W
OG0002464	augustus_masked-LAMI0F-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-6.13&CDS=1-1182	YOL031C
OG0002465	genemark-LAMI0F-processed-gene-6.133-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.133&CDS=1-708	YOL032W
OG0002466	genemark-LAMI0F-processed-gene-6.134-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.134&CDS=1-1638	YOL033W
OG0002467	genemark-LAMI0F-processed-gene-6.135-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.135&CDS=1-3270	YOL034W
OG0002468	genemark-LAMI0F-processed-gene-6.110-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.110&CDS=1-1746	YAL011W
OG0002469	genemark-LAMI0F-processed-gene-6.136-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.136&CDS=1-1413	YAL010C
OG0002470	snap_masked-LAMI0F-processed-gene-6.62-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.62&CDS=1-960	YAL009W
OG0002471	snap_masked-LAMI0F-processed-gene-6.63-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.63&CDS=1-1926	YOR014W
OG0002472	genemark-LAMI0F-processed-gene-6.112-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.112&CDS=1-501	YAL008W
OG0002473	genemark-LAMI0F-processed-gene-6.113-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.113&CDS=1-624	YPR107C
OG0002474	genemark-LAMI0F-processed-gene-6.115-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.115&CDS=1-2445	YPR105C
OG0002475	genemark-LAMI0F-processed-gene-6.116-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.116&CDS=1-2508	YPR104C
OG0002476	genemark-LAMI0F-processed-gene-6.137-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.137&CDS=1-861	YPR103W
OG0002477	snap_masked-LAMI0F-processed-gene-6.89-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.89&CDS=1-639	YPR101W
OG0002478	augustus_masked-LAMI0F-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-6.22&CDS=1-978	YGR084C
OG0002479	genemark-LAMI0F-processed-gene-6.120-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.120&CDS=1-1818	YGR083C
OG0002480	genemark-LAMI0F-processed-gene-6.139-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.139&CDS=1-426	YPR100W
OG0002481	genemark-LAMI0F-processed-gene-6.121-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.121&CDS=1-489	YPR098C
OG0002482	genemark-LAMI0F-processed-gene-6.140-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.140&CDS=1-585	YGR082W
OG0002483	snap_masked-LAMI0F-processed-gene-6.73-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.73&CDS=1-591	YGR081C
OG0002484	genemark-LAMI0F-processed-gene-6.141-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.141&CDS=1-3036	YPR097W
OG0002485	genemark-LAMI0F-processed-gene-6.123-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.123&CDS=1-618	YPL178W
OG0002486	snap_masked-LAMI0F-processed-gene-6.92-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.92&CDS=1-759	YPL177C
OG0002487	snap_masked-LAMI0F-processed-gene-6.93-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-6.93&CDS=1-1551	YBR250W
OG0002488	maker-LAMI0F-snap-gene-7.108-mRNA-1_1&gene=maker-LAMI0F-snap-gene-7.108&CDS=1-2700	YBR248C
OG0002489	genemark-LAMI0F-processed-gene-7.117-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.117&CDS=1-1449	YGL097W
OG0002490	genemark-LAMI0F-processed-gene-7.115-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.115&CDS=1-1404	YBR247C
OG0002491	augustus_masked-LAMI0F-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-7.25&CDS=1-792	YGL098W
OG0002492	genemark-LAMI0F-processed-gene-7.140-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.140&CDS=1-1920	YGL099W
OG0002493	genemark-LAMI0F-processed-gene-7.119-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.119&CDS=1-888	YKL107W
OG0002494	genemark-LAMI0F-processed-gene-7.141-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.141&CDS=1-1122	YBR246W
OG0002495	genemark-LAMI0F-processed-gene-7.142-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.142&CDS=1-483	YIR037W
OG0002496	genemark-LAMI0F-processed-gene-7.143-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.143&CDS=1-1008	YGL100W
OG0002497	genemark-LAMI0F-processed-gene-7.121-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.121&CDS=1-1338	YBR243C
OG0002498	genemark-LAMI0F-processed-gene-7.144-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.144&CDS=1-732	YGL101W
OG0002499	snap_masked-LAMI0F-processed-gene-7.84-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-7.84&CDS=1-447	YGL103W
OG0002500	genemark-LAMI0F-processed-gene-7.122-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.122&CDS=1-1527	YBR241C
OG0002501	snap_masked-LAMI0F-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-7.62&CDS=1-1209	YBR240C
OG0002502	genemark-LAMI0F-processed-gene-7.146-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.146&CDS=1-1116	YGL105W
OG0002503	genemark-LAMI0F-processed-gene-7.124-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.124&CDS=1-1362	YBR239C
OG0002504	genemark-LAMI0F-processed-gene-7.147-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.147&CDS=1-429	YGL106W
OG0002505	maker-LAMI0F-augustus-gene-7.104-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-7.104&CDS=1-2118	YBR238C
OG0002506	genemark-LAMI0F-processed-gene-7.148-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.148&CDS=1-2472	YBR237W
OG0002507	genemark-LAMI0F-processed-gene-7.127-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.127&CDS=1-1269	YBR236C
OG0002508	genemark-LAMI0F-processed-gene-7.149-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.149&CDS=1-3372	YBR235W
OG0002509	augustus_masked-LAMI0F-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-LAMI0F-processed-gene-7.15&CDS=1-1740	YGL110C
