	Lachancea_fermentati	Saccharomyces_cerevisiae
OG0001900	maker-LAFE0E-augustus-gene-3.6-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-3.6&CDS=1-2802	YDR017C
OG0001901	snap_masked-LAFE0E-processed-gene-3.81-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.81&CDS=1-873	YBR039W
OG0001902	maker-LAFE0E-augustus-gene-3.1-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-3.1&CDS=1-2730	YBR041W
OG0001903	snap_masked-LAFE0E-processed-gene-3.100-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.100&CDS=1-1203	YBR042C
OG0001904	snap_masked-LAFE0E-processed-gene-3.101-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.101&CDS=1-1938	YBR043C
OG0001905	snap_masked-LAFE0E-processed-gene-3.102-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.102&CDS=1-1761	YPL274W
OG0001906	augustus_masked-LAFE0E-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.157&CDS=1-2880	YDR019C
OG0001907	snap_masked-LAFE0E-processed-gene-3.105-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.105&CDS=1-627	YDR020C
OG0001908	snap_masked-LAFE0E-processed-gene-3.84-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.84&CDS=1-1194	YDR021W
OG0001909	snap_masked-LAFE0E-processed-gene-3.85-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.85&CDS=1-1380	YDR023W
OG0001910	augustus_masked-LAFE0E-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.159&CDS=1-1770	YBR045C
OG0001911	snap_masked-LAFE0E-processed-gene-3.107-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.107&CDS=1-999	YBR046C
OG0001912	snap_masked-LAFE0E-processed-gene-3.86-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.86&CDS=1-522	YBR047W
OG0001913	snap_masked-LAFE0E-processed-gene-3.110-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.110&CDS=1-1761	YBR049C
OG0001914	augustus_masked-LAFE0E-processed-gene-3.164-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.164&CDS=1-6225	YDR027C
OG0001915	snap_masked-LAFE0E-processed-gene-3.88-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.88&CDS=1-333	YDR031W
OG0001916	snap_masked-LAFE0E-processed-gene-3.114-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.114&CDS=1-594	YDR032C
OG0001917	augustus_masked-LAFE0E-processed-gene-3.166-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.166&CDS=1-1023	YBR053C
OG0001918	snap_masked-LAFE0E-processed-gene-3.117-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.117&CDS=1-2307	YDR034C
OG0001919	snap_masked-LAFE0E-processed-gene-3.118-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.118&CDS=1-2715	YBR055C
OG0001920	snap_masked-LAFE0E-processed-gene-3.91-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.91&CDS=1-1479	YBR056W
OG0001921	snap_masked-LAFE0E-processed-gene-3.92-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.92&CDS=1-1116	YDR035W
OG0001922	augustus_masked-LAFE0E-processed-gene-3.170-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.170&CDS=1-804	YBR057C
OG0001923	augustus_masked-LAFE0E-processed-gene-3.171-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-3.171&CDS=1-3651	YBR058C
OG0001924	snap_masked-LAFE0E-processed-gene-3.122-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.122&CDS=1-255	YBR058C-A
OG0001925	snap_masked-LAFE0E-processed-gene-3.124-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.124&CDS=1-1677	YBR060C
OG0001926	snap_masked-LAFE0E-processed-gene-3.94-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.94&CDS=1-300	YDR045C
OG0001927	snap_masked-LAFE0E-processed-gene-3.125-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-3.125&CDS=1-1020	YDR044W
OG0001928	snap_masked-LAFE0E-processed-gene-4.41-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.41&CDS=1-1035	YBR065C
OG0001929	snap_masked-LAFE0E-processed-gene-4.42-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.42&CDS=1-456	YBR062C
OG0001930	snap_masked-LAFE0E-processed-gene-4.44-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.44&CDS=1-606	YDR041W
OG0001931	snap_masked-LAFE0E-processed-gene-4.43-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.43&CDS=1-909	YBR061C
OG0001932	snap_masked-LAFE0E-processed-gene-4.45-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.45&CDS=1-1776	YDR037W
OG0001933	augustus_masked-LAFE0E-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-4.4&CDS=1-924	YDR051C
OG0001934	snap_masked-LAFE0E-processed-gene-4.47-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.47&CDS=1-744	YDR050C
OG0001935	snap_masked-LAFE0E-processed-gene-4.63-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.63&CDS=1-684	YBR070C
OG0001936	snap_masked-LAFE0E-processed-gene-4.48-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.48&CDS=1-513	YBR071W
OG0001937	snap_masked-LAFE0E-processed-gene-4.49-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.49&CDS=1-639	YBR072W
OG0001938	snap_masked-LAFE0E-processed-gene-4.50-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.50&CDS=1-2706	YBR073W
OG0001939	snap_masked-LAFE0E-processed-gene-4.64-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.64&CDS=1-1842	YDR049W
OG0001940	snap_masked-LAFE0E-processed-gene-4.65-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.65&CDS=1-1104	YDR047W
OG0001941	snap_masked-LAFE0E-processed-gene-4.51-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.51&CDS=1-2886	YBR074W
OG0001942	snap_masked-LAFE0E-processed-gene-4.76-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.76&CDS=1-369	YMR252C
OG0001943	augustus_masked-LAFE0E-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-4.32&CDS=1-972	YOL053W
OG0001944	snap_masked-LAFE0E-processed-gene-4.79-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.79&CDS=1-180	YMR256C
OG0001945	snap_masked-LAFE0E-processed-gene-4.80-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.80&CDS=1-867	YOL054W
OG0001946	snap_masked-LAFE0E-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.81&CDS=1-2352	YMR257C
OG0001947	snap_masked-LAFE0E-processed-gene-4.82-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.82&CDS=1-1647	YMR258C
OG0001948	snap_masked-LAFE0E-processed-gene-4.83-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.83&CDS=1-4194	YMR259C
OG0001949	snap_masked-LAFE0E-processed-gene-4.84-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.84&CDS=1-459	YMR260C
OG0001950	snap_masked-LAFE0E-processed-gene-4.85-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.85&CDS=1-3351	YMR261C
OG0001951	augustus_masked-LAFE0E-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-4.19&CDS=1-1887	YMR262W
OG0001952	snap_masked-LAFE0E-processed-gene-4.86-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.86&CDS=1-1536	YML102W
OG0001953	snap_masked-LAFE0E-processed-gene-4.61-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.61&CDS=1-1182	YOR266W
OG0001954	snap_masked-LAFE0E-processed-gene-4.87-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.87&CDS=1-1695	YOR267C
OG0001955	snap_masked-LAFE0E-processed-gene-5.48-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.48&CDS=1-1410	YOR269W
OG0001956	snap_masked-LAFE0E-processed-gene-5.49-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.49&CDS=1-1245	YMR208W
OG0001957	snap_masked-LAFE0E-processed-gene-5.52-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.52&CDS=1-981	YOR271C
OG0001958	snap_masked-LAFE0E-processed-gene-5.50-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.50&CDS=1-1338	YOR272W
OG0001959	maker-LAFE0E-augustus-gene-5.108-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-5.108&CDS=1-2964	YOR273C
OG0001960	snap_masked-LAFE0E-processed-gene-5.54-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.54&CDS=1-1512	YMR211W
OG0001961	augustus_masked-LAFE0E-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-5.7&CDS=1-1290	YOR274W
OG0001962	genemark-LAFE0E-processed-gene-5.139-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-5.139&CDS=1-1907	YOR275C
OG0001963	snap_masked-LAFE0E-processed-gene-5.80-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.80&CDS=1-2157	YMR212C
OG0001964	snap_masked-LAFE0E-processed-gene-5.56-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.56&CDS=1-1725	YMR213W
OG0001965	snap_masked-LAFE0E-processed-gene-5.57-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.57&CDS=1-468	YOR276W
OG0001966	snap_masked-LAFE0E-processed-gene-5.58-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.58&CDS=1-1110	YMR214W
OG0001967	snap_masked-LAFE0E-processed-gene-5.59-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.59&CDS=1-1518	YMR215W
OG0001968	snap_masked-LAFE0E-processed-gene-5.81-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.81&CDS=1-1743	YMR216C
OG0001969	snap_masked-LAFE0E-processed-gene-5.60-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.60&CDS=1-1575	YMR217W
OG0001970	snap_masked-LAFE0E-processed-gene-5.61-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.61&CDS=1-786	YOR278W
OG0001971	augustus_masked-LAFE0E-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-5.32&CDS=1-3285	YMR218C
OG0001972	snap_masked-LAFE0E-processed-gene-5.62-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.62&CDS=1-4428	YMR219W
OG0001973	snap_masked-LAFE0E-processed-gene-5.63-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.63&CDS=1-1347	YMR220W
OG0001974	augustus_masked-LAFE0E-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-5.33&CDS=1-996	YOR279C
OG0001975	snap_masked-LAFE0E-processed-gene-5.85-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.85&CDS=1-1584	YMR221C
OG0001976	snap_masked-LAFE0E-processed-gene-5.86-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.86&CDS=1-771	YOR280C
OG0001977	snap_masked-LAFE0E-processed-gene-5.64-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.64&CDS=1-1140	YMR223W
OG0001978	snap_masked-LAFE0E-processed-gene-5.87-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.87&CDS=1-828	YOR281C
OG0001979	snap_masked-LAFE0E-processed-gene-5.88-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.88&CDS=1-1986	YMR224C
OG0001980	snap_masked-LAFE0E-processed-gene-5.65-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.65&CDS=1-684	YOR283W
OG0001981	snap_masked-LAFE0E-processed-gene-5.66-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.66&CDS=1-399	YOR285W
OG0001982	snap_masked-LAFE0E-processed-gene-5.67-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.67&CDS=1-417	YOR286W
OG0001983	snap_masked-LAFE0E-processed-gene-5.89-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.89&CDS=1-966	YOR287C
OG0001984	maker-LAFE0E-augustus-gene-5.109-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-5.109&CDS=1-294	YMR225C
OG0001985	genemark-LAFE0E-processed-gene-5.150-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-5.150&CDS=1-939	YOR288C
OG0001986	snap_masked-LAFE0E-processed-gene-5.68-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.68&CDS=1-699	YOR289W
OG0001987	snap_masked-LAFE0E-processed-gene-5.69-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.69&CDS=1-801	YMR226C
OG0001988	snap_masked-LAFE0E-processed-gene-5.93-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.93&CDS=1-1668	YMR227C
OG0001989	snap_masked-LAFE0E-processed-gene-5.71-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.71&CDS=1-1014	YMR228W
OG0001990	snap_masked-LAFE0E-processed-gene-5.94-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.94&CDS=1-5175	YMR229C
OG0001991	snap_masked-LAFE0E-processed-gene-5.72-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.72&CDS=1-4398	YOR291W
OG0001992	snap_masked-LAFE0E-processed-gene-5.95-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.95&CDS=1-999	YOR292C
OG0001993	maker-LAFE0E-augustus-gene-5.107-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-5.107&CDS=1-1074	YGR058W
OG0001994	snap_masked-LAFE0E-processed-gene-5.96-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.96&CDS=1-678	YLR363C
OG0001995	snap_masked-LAFE0E-processed-gene-5.75-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.75&CDS=1-927	YGR060W
OG0001996	snap_masked-LAFE0E-processed-gene-5.97-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.97&CDS=1-4044	YGR061C
OG0001997	snap_masked-LAFE0E-processed-gene-5.76-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.76&CDS=1-258	YLR363W-A
OG0001998	snap_masked-LAFE0E-processed-gene-5.98-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.98&CDS=1-996	YGR062C
OG0001999	snap_masked-LAFE0E-processed-gene-5.99-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.99&CDS=1-303	YGR063C
OG0002000	snap_masked-LAFE0E-processed-gene-5.77-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-5.77&CDS=1-327	YLR364W
OG0002001	snap_masked-LAFE0E-processed-gene-6.3-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.3&CDS=1-1833	YGR065C
OG0002002	augustus_masked-LAFE0E-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.49&CDS=1-1719	YGR067C
OG0002003	snap_masked-LAFE0E-processed-gene-6.5-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.5&CDS=1-2073	YGR068C
OG0002004	snap_masked-LAFE0E-processed-gene-6.27-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.27&CDS=1-528	YLR370C
OG0002005	snap_masked-LAFE0E-processed-gene-6.6-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.6&CDS=1-3732	YLR371W
OG0002006	snap_masked-LAFE0E-processed-gene-6.7-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.7&CDS=1-1023	YLR372W
OG0002007	snap_masked-LAFE0E-processed-gene-6.29-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.29&CDS=1-765	YDL051W
OG0002008	augustus_masked-LAFE0E-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.72&CDS=1-699	YLR376C
OG0002009	snap_masked-LAFE0E-processed-gene-6.9-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.9&CDS=1-933	YDL052C
OG0002010	snap_masked-LAFE0E-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.31&CDS=1-1041	YLR377C
OG0002011	maker-LAFE0E-augustus-gene-6.129-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-6.129&CDS=1-2793	YLR378C
OG0002012	augustus_masked-LAFE0E-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.57&CDS=1-1083	YDL055C
OG0002013	augustus_masked-LAFE0E-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.74&CDS=1-2223	YDL056W
OG0002014	snap_masked-LAFE0E-processed-gene-6.33-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.33&CDS=1-1839	YDL057W
OG0002015	snap_masked-LAFE0E-processed-gene-6.15-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.15&CDS=1-1305	YLR380W
OG0002016	snap_masked-LAFE0E-processed-gene-6.16-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.16&CDS=1-2088	YLR381W
OG0002017	snap_masked-LAFE0E-processed-gene-6.34-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.34&CDS=1-2628	YLR382C
OG0002018	snap_masked-LAFE0E-processed-gene-6.17-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.17&CDS=1-3297	YLR383W
OG0002019	snap_masked-LAFE0E-processed-gene-6.35-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.35&CDS=1-4941	YDL058W
OG0002020	snap_masked-LAFE0E-processed-gene-6.18-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.18&CDS=1-603	YDL059C
OG0002021	maker-LAFE0E-augustus-gene-6.130-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-6.130&CDS=1-4353	YLR384C
OG0002022	snap_masked-LAFE0E-processed-gene-6.19-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.19&CDS=1-2652	YLR386W
OG0002023	augustus_masked-LAFE0E-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.79&CDS=1-3579	YDL060W
OG0002024	snap_masked-LAFE0E-processed-gene-6.39-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.39&CDS=1-2895	YLR389C
OG0002025	augustus_masked-LAFE0E-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-6.64&CDS=1-2046	YDL063C
OG0002026	snap_masked-LAFE0E-processed-gene-6.40-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.40&CDS=1-465	YDL064W
OG0002027	snap_masked-LAFE0E-processed-gene-6.22-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.22&CDS=1-870	YDL065C
OG0002028	snap_masked-LAFE0E-processed-gene-6.23-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.23&CDS=1-753	YLR390W-A
OG0002029	snap_masked-LAFE0E-processed-gene-6.24-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.24&CDS=1-828	YLR393W
OG0002030	snap_masked-LAFE0E-processed-gene-6.43-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.43&CDS=1-219	YLR395C
OG0002031	snap_masked-LAFE0E-processed-gene-6.25-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.25&CDS=1-180	YDL067C
OG0002032	snap_masked-LAFE0E-processed-gene-6.44-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.44&CDS=1-1950	YLR396C
OG0002033	snap_masked-LAFE0E-processed-gene-6.45-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.45&CDS=1-2325	YLR397C
OG0002034	snap_masked-LAFE0E-processed-gene-7.48-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.48&CDS=1-3789	YLR398C
OG0002035	snap_masked-LAFE0E-processed-gene-7.49-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.49&CDS=1-1695	YLR399C
OG0002036	snap_masked-LAFE0E-processed-gene-7.45-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.45&CDS=1-525	YDL072C
OG0002037	snap_masked-LAFE0E-processed-gene-7.50-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.50&CDS=1-1962	YLR401C
OG0002038	maker-LAFE0E-snap-gene-7.91-mRNA-1_1&gene=maker-LAFE0E-snap-gene-7.91&CDS=1-1638	YLR403W
OG0002039	augustus_masked-LAFE0E-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-7.2&CDS=1-834	YLR404W
OG0002040	snap_masked-LAFE0E-processed-gene-7.51-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.51&CDS=1-3138	YDL073W
OG0002041	maker-LAFE0E-augustus-gene-7.94-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-7.94&CDS=1-2814	YLR405W
OG0002042	snap_masked-LAFE0E-processed-gene-7.54-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.54&CDS=1-828	YDL076C
OG0002043	snap_masked-LAFE0E-processed-gene-7.55-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.55&CDS=1-645	YLR407W
OG0002044	snap_masked-LAFE0E-processed-gene-7.76-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.76&CDS=1-318	YLR408C
OG0002045	snap_masked-LAFE0E-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.56&CDS=1-3048	YDL077C
OG0002046	snap_masked-LAFE0E-processed-gene-7.77-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.77&CDS=1-2823	YLR409C
OG0002047	snap_masked-LAFE0E-processed-gene-7.57-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.57&CDS=1-3333	YLR410W
OG0002048	snap_masked-LAFE0E-processed-gene-7.58-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.58&CDS=1-741	YLR411W
OG0002049	snap_masked-LAFE0E-processed-gene-7.78-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.78&CDS=1-1278	YKL181W
OG0002050	augustus_masked-LAFE0E-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-7.13&CDS=1-840	YLR412W
OG0002051	snap_masked-LAFE0E-processed-gene-7.79-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.79&CDS=1-6165	YKL182W
OG0002052	snap_masked-LAFE0E-processed-gene-7.81-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.81&CDS=1-840	YKL183W
OG0002053	snap_masked-LAFE0E-processed-gene-7.82-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.82&CDS=1-1344	YKL184W
OG0002054	snap_masked-LAFE0E-processed-gene-7.83-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.83&CDS=1-1569	YKL185W
OG0002055	snap_masked-LAFE0E-processed-gene-7.59-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.59&CDS=1-507	YKL186C
OG0002056	snap_masked-LAFE0E-processed-gene-7.62-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.62&CDS=1-1848	YKL188C
OG0002057	snap_masked-LAFE0E-processed-gene-7.63-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.63&CDS=1-1563	YLR417W
OG0002058	snap_masked-LAFE0E-processed-gene-7.84-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.84&CDS=1-1089	YKL189W
OG0002059	genemark-LAFE0E-processed-gene-7.116-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-7.116&CDS=1-2460	YGR089W
OG0002060	snap_masked-LAFE0E-processed-gene-7.65-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.65&CDS=1-3678	YGR090W
OG0002061	snap_masked-LAFE0E-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.66&CDS=1-897	YPR109W
OG0002062	snap_masked-LAFE0E-processed-gene-7.85-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.85&CDS=1-1002	YPR110C
OG0002063	snap_masked-LAFE0E-processed-gene-7.67-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.67&CDS=1-1422	YGR091W
OG0002064	snap_masked-LAFE0E-processed-gene-7.86-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.86&CDS=1-2643	YPR112C
OG0002065	snap_masked-LAFE0E-processed-gene-7.70-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.70&CDS=1-3174	YGR094W
OG0002066	snap_masked-LAFE0E-processed-gene-7.87-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.87&CDS=1-672	YGR095C
OG0002067	snap_masked-LAFE0E-processed-gene-7.71-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.71&CDS=1-915	YGR096W
OG0002068	snap_masked-LAFE0E-processed-gene-7.72-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.72&CDS=1-657	YFR033C
OG0002069	snap_masked-LAFE0E-processed-gene-7.73-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.73&CDS=1-816	YHL034C
OG0002070	maker-LAFE0E-snap-gene-7.93-mRNA-1_1&gene=maker-LAFE0E-snap-gene-7.93&CDS=1-2553	YDL090C
OG0002071	snap_masked-LAFE0E-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.88&CDS=1-405	YDL092W
OG0002072	augustus_masked-LAFE0E-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-7.29&CDS=1-1932	YMR155W
OG0002073	augustus_masked-LAFE0E-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-7.44&CDS=1-2517	YDL095W
OG0002074	snap_masked-LAFE0E-processed-gene-8.0-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-8.0&CDS=1-1260	YDL097C
OG0002075	snap_masked-LAFE0E-processed-gene-8.5-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-8.5&CDS=1-765	YMR156C
OG0002076	snap_masked-LAFE0E-processed-gene-8.1-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-8.1&CDS=1-576	YDL098C
