	Candida_tenuis	Saccharomyces_cerevisiae
OG0001292	snap_masked-scaffold_00009-processed-gene-8.153-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-8.153&CDS=1-291	YBR111W-A
OG0001293	genemark-scaffold_00009-processed-gene-8.69-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.69&CDS=1-627	YBR111C
OG0001294	genemark-scaffold_00009-processed-gene-8.98-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.98&CDS=1-909	YER118C
OG0001295	augustus_masked-scaffold_00009-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-8.24&CDS=1-5679	YMR038C
OG0001296	genemark-scaffold_00009-processed-gene-8.102-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.102&CDS=1-3156	YNL014W
OG0001297	snap_masked-scaffold_00009-processed-gene-8.161-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-8.161&CDS=1-231	YCR020C-A
OG0001298	augustus_masked-scaffold_00009-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-8.46&CDS=1-3669	YCR047C
OG0001299	genemark-scaffold_00009-processed-gene-8.82-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.82&CDS=1-678	YCR051W
OG0001300	genemark-scaffold_00009-processed-gene-8.83-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.83&CDS=1-1095	YNR021W
OG0001301	genemark-scaffold_00009-processed-gene-8.84-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.84&CDS=1-1008	YHR040W
OG0001302	genemark-scaffold_00009-processed-gene-8.86-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.86&CDS=1-1431	YNR023W
OG0001303	genemark-scaffold_00009-processed-gene-9.219-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.219&CDS=1-753	YNL312W
OG0001304	snap_masked-scaffold_00009-processed-gene-9.114-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-9.114&CDS=1-4965	YLR247C
OG0001305	genemark-scaffold_00009-processed-gene-9.223-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.223&CDS=1-726	YNL010W
OG0001306	genemark-scaffold_00009-processed-gene-9.273-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.273&CDS=1-336	YGL070C
OG0001307	genemark-scaffold_00009-processed-gene-9.226-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.226&CDS=1-513	YGL068W
OG0001308	augustus_masked-scaffold_00009-processed-gene-9.7-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.7&CDS=1-2070	YKL206C
OG0001309	genemark-scaffold_00009-processed-gene-9.230-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.230&CDS=1-369	YJR063W
OG0001310	genemark-scaffold_00009-processed-gene-9.276-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.276&CDS=1-915	YJR070C
OG0001311	augustus_masked-scaffold_00009-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.10&CDS=1-10341	YKL203C
OG0001312	genemark-scaffold_00009-processed-gene-9.277-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.277&CDS=1-1095	YOL010W
OG0001313	genemark-scaffold_00009-processed-gene-9.234-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.234&CDS=1-1227	YMR005W
OG0001314	augustus_masked-scaffold_00009-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.12&CDS=1-6258	YLR272C
OG0001315	augustus_masked-scaffold_00009-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.14&CDS=1-5448	YDR334W
OG0001316	genemark-scaffold_00009-processed-gene-9.280-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.280&CDS=1-1839	YHR039C
OG0001317	genemark-scaffold_00009-processed-gene-9.281-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.281&CDS=1-2127	YDR333C
OG0001318	genemark-scaffold_00009-processed-gene-9.282-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.282&CDS=1-339	YHR087W
OG0001319	genemark-scaffold_00009-processed-gene-9.283-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.283&CDS=1-2151	YGL245W
OG0001320	maker-scaffold_00009-snap-gene-9.97-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-9.97&CDS=1-3576	YFR048W
OG0001321	genemark-scaffold_00009-processed-gene-9.285-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.285&CDS=1-3498	YPR010C
OG0001322	genemark-scaffold_00009-processed-gene-9.247-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.247&CDS=1-732	YGR024C
OG0001323	genemark-scaffold_00009-processed-gene-9.287-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.287&CDS=1-2364	YOR168W
OG0001324	augustus_masked-scaffold_00009-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.21&CDS=1-954	YER142C
OG0001325	genemark-scaffold_00009-processed-gene-9.251-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.251&CDS=1-1173	YDR083W
OG0001326	genemark-scaffold_00009-processed-gene-9.291-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.291&CDS=1-1062	YNL141W
OG0001327	genemark-scaffold_00009-processed-gene-9.292-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.292&CDS=1-543	YDL217C
OG0001328	genemark-scaffold_00009-processed-gene-9.293-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.293&CDS=1-930	YPR023C
OG0001329	augustus_masked-scaffold_00009-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.64&CDS=1-2574	YER125W
OG0001330	genemark-scaffold_00009-processed-gene-9.295-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.295&CDS=1-1848	YER124C
OG0001331	genemark-scaffold_00009-processed-gene-9.296-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.296&CDS=1-444	YBL078C
OG0001332	genemark-scaffold_00009-processed-gene-9.257-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.257&CDS=1-1500	YBL080C
OG0001333	genemark-scaffold_00009-processed-gene-9.297-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.297&CDS=1-1245	YKL178C
OG0001334	maker-scaffold_00009-augustus-gene-9.337-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-9.337&CDS=1-4512	YER110C
OG0001335	genemark-scaffold_00009-processed-gene-9.258-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.258&CDS=1-687	YDR020C
OG0001336	snap_masked-scaffold_00009-processed-gene-9.189-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-9.189&CDS=1-4044	YBL079W
OG0001337	genemark-scaffold_00009-processed-gene-9.301-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.301&CDS=1-393	YCR028C-A
OG0001338	maker-scaffold_00009-snap-gene-9.98-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-9.98&CDS=1-1932	YBR283C
OG0001339	genemark-scaffold_00009-processed-gene-9.262-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.262&CDS=1-420	YMR002W
OG0001340	genemark-scaffold_00009-processed-gene-9.307-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.307&CDS=1-2244	YOL006C
OG0001341	genemark-scaffold_00009-processed-gene-9.263-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.263&CDS=1-2049	YMR001C
OG0001342	genemark-scaffold_00009-processed-gene-9.308-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.308&CDS=1-363	YOL005C
OG0001343	maker-scaffold_00009-snap-gene-9.99-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-9.99&CDS=1-4365	YOL004W
OG0001344	genemark-scaffold_00009-processed-gene-9.309-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.309&CDS=1-4737	YOR296W
OG0001345	augustus_masked-scaffold_00009-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-9.79&CDS=1-2526	YAL048C
OG0001346	genemark-scaffold_00009-processed-gene-9.265-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.265&CDS=1-354	YAL046C
OG0001347	genemark-scaffold_00009-processed-gene-9.312-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.312&CDS=1-2151	YOR361C
OG0001348	maker-scaffold_00009-snap-gene-9.107-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-9.107&CDS=1-777	YOR362C
OG0001349	maker-scaffold_00009-snap-gene-9.101-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-9.101&CDS=1-1242	YOL003C
OG0001350	genemark-scaffold_00009-processed-gene-9.315-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.315&CDS=1-1863	YPR175W
OG0001351	genemark-scaffold_00010-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_00010-processed-gene-0.7&CDS=1-3207	YER093C
OG0001352	genemark-scaffold_00010-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_00010-processed-gene-0.8&CDS=1-735	YJL115W
OG0001353	genemark-scaffold_00010-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_00010-processed-gene-0.13&CDS=1-1266	YKR041W
OG0001354	maker-scaffold_00010-snap-gene-0.21-mRNA-1_1&gene=maker-scaffold_00010-snap-gene-0.21&CDS=1-1842	YBR287W
OG0001355	genemark-scaffold_00014-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_00014-processed-gene-0.3&CDS=1-963	YDR044W
OG0001356	genemark-scaffold_00015-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.94&CDS=1-1323	YOL016C
OG0001357	genemark-scaffold_00015-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.96&CDS=1-1635	YNL308C
OG0001358	augustus_masked-scaffold_00015-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-0.4&CDS=1-3249	YOL054W
OG0001359	genemark-scaffold_00015-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.82&CDS=1-1635	YMR258C
OG0001360	snap_masked-scaffold_00015-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-0.65&CDS=1-675	YDR043C
OG0001361	snap_masked-scaffold_00015-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-0.66&CDS=1-3726	YMR190C
OG0001362	snap_masked-scaffold_00015-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-0.48&CDS=1-8382	YGL195W
OG0001363	genemark-scaffold_00015-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.85&CDS=1-1518	YHL024W
OG0001364	genemark-scaffold_00015-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.89&CDS=1-1776	YNL186W
OG0001365	genemark-scaffold_00015-processed-gene-0.103-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.103&CDS=1-543	YBL049W
OG0001366	genemark-scaffold_00015-processed-gene-0.104-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.104&CDS=1-813	YNL177C
OG0001367	genemark-scaffold_00015-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.105&CDS=1-684	YDL212W
OG0001368	genemark-scaffold_00015-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.106&CDS=1-621	YDL213C
OG0001369	genemark-scaffold_00015-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.107&CDS=1-1401	YNL182C
OG0001370	genemark-scaffold_00015-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-0.92&CDS=1-1353	YNL181W
OG0001371	genemark-scaffold_00015-processed-gene-1.48-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.48&CDS=1-444	YNL185C
OG0001372	snap_masked-scaffold_00015-processed-gene-1.96-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-1.96&CDS=1-4275	YMR189W
OG0001373	genemark-scaffold_00015-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.51&CDS=1-1668	YJL090C
OG0001374	genemark-scaffold_00015-processed-gene-1.74-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.74&CDS=1-3003	YOR048C
OG0001375	snap_masked-scaffold_00015-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-1.119&CDS=1-5445	YIL149C
OG0001376	genemark-scaffold_00015-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.77&CDS=1-1086	YNL037C
OG0001377	genemark-scaffold_00015-processed-gene-1.56-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.56&CDS=1-420	YIL098C
OG0001378	genemark-scaffold_00015-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.79&CDS=1-4875	YOR341W
OG0001379	snap_masked-scaffold_00015-processed-gene-1.126-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-1.126&CDS=1-540	YDL120W
OG0001380	genemark-scaffold_00015-processed-gene-1.59-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.59&CDS=1-741	YIL093C
OG0001381	genemark-scaffold_00015-processed-gene-1.61-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.61&CDS=1-1950	YOL060C
OG0001382	genemark-scaffold_00015-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.84&CDS=1-2301	YBR080C
OG0001383	genemark-scaffold_00015-processed-gene-1.67-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.67&CDS=1-528	YDR305C
OG0001384	genemark-scaffold_00015-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.68&CDS=1-594	YHR058C
OG0001385	augustus_masked-scaffold_00015-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-1.38&CDS=1-639	YDR304C
OG0001386	augustus_masked-scaffold_00015-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-1.42&CDS=1-2079	YGL181W
OG0001387	genemark-scaffold_00015-processed-gene-1.69-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.69&CDS=1-735	YPR016C
OG0001388	genemark-scaffold_00015-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.70&CDS=1-5727	YLR305C
OG0001389	genemark-scaffold_00015-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.71&CDS=1-2370	YAL053W
OG0001390	genemark-scaffold_00015-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.56&CDS=1-1314	YDR148C
OG0001391	augustus_masked-scaffold_00015-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-2.25&CDS=1-1749	YGL148W
OG0001392	genemark-scaffold_00015-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.85&CDS=1-1248	YLR027C
OG0001393	genemark-scaffold_00015-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.86&CDS=1-591	YGL200C
OG0001394	genemark-scaffold_00015-processed-gene-2.87-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.87&CDS=1-1128	YBL016W
OG0001395	genemark-scaffold_00015-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.88&CDS=1-546	YMR295C
OG0001396	genemark-scaffold_00015-processed-gene-2.89-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.89&CDS=1-1641	YHR064C
OG0001397	maker-scaffold_00015-snap-gene-2.52-mRNA-1_1&gene=maker-scaffold_00015-snap-gene-2.52&CDS=1-216	YDR320C-A
OG0001398	snap_masked-scaffold_00015-processed-gene-2.142-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-2.142&CDS=1-231	YHR072W-A
OG0001399	genemark-scaffold_00015-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.66&CDS=1-2349	YDR320C
OG0001400	augustus_masked-scaffold_00015-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-2.32&CDS=1-1797	YAL058W
OG0001401	genemark-scaffold_00015-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.67&CDS=1-1878	YML096W
OG0001402	genemark-scaffold_00015-processed-gene-2.96-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.96&CDS=1-2541	YGL083W
OG0001403	genemark-scaffold_00015-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.70&CDS=1-615	YPL178W
OG0001404	genemark-scaffold_00015-processed-gene-2.97-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.97&CDS=1-2421	YGR264C
OG0001405	genemark-scaffold_00015-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.71&CDS=1-1401	YMR293C
OG0001406	genemark-scaffold_00015-processed-gene-2.98-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.98&CDS=1-840	YGR267C
OG0001407	genemark-scaffold_00015-processed-gene-2.99-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.99&CDS=1-3720	YDR293C
OG0001408	augustus_masked-scaffold_00015-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-2.40&CDS=1-1434	YJR006W
OG0001409	maker-scaffold_00015-snap-gene-2.55-mRNA-1_1&gene=maker-scaffold_00015-snap-gene-2.55&CDS=1-1749	YMR290C
OG0001410	genemark-scaffold_00015-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.72&CDS=1-5793	YGR271W
OG0001411	genemark-scaffold_00015-processed-gene-2.102-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.102&CDS=1-705	YGR271C-A
OG0001412	genemark-scaffold_00015-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.73&CDS=1-1104	YGR173W
OG0001413	genemark-scaffold_00015-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.74&CDS=1-939	YLR340W
OG0001414	genemark-scaffold_00015-processed-gene-2.103-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.103&CDS=1-399	YPL013C
OG0001415	genemark-scaffold_00015-processed-gene-2.104-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.104&CDS=1-3588	YPL012W
OG0001416	genemark-scaffold_00015-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.80&CDS=1-759	YLR290C
OG0001417	maker-scaffold_00015-augustus-gene-2.167-mRNA-1_1&gene=maker-scaffold_00015-augustus-gene-2.167&CDS=1-3480	YGL167C
OG0001418	genemark-scaffold_00015-processed-gene-2.110-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-2.110&CDS=1-1131	YGL169W
OG0001419	genemark-scaffold_00015-processed-gene-3.75-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.75&CDS=1-3183	YGL241W
OG0001420	augustus_masked-scaffold_00015-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-3.130&CDS=1-1230	YIL065C
OG0001421	genemark-scaffold_00015-processed-gene-3.76-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.76&CDS=1-540	YGL242C
OG0001422	genemark-scaffold_00015-processed-gene-3.72-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.72&CDS=1-723	YJL121C
OG0001423	augustus_masked-scaffold_00015-processed-gene-3.136-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-3.136&CDS=1-2577	YJL122W
OG0001424	genemark-scaffold_00015-processed-gene-3.73-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.73&CDS=1-1152	YFL030W
OG0001425	genemark-scaffold_00015-processed-gene-3.80-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.80&CDS=1-4416	YNL088W
OG0001426	maker-scaffold_00015-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_00015-snap-gene-3.0&CDS=1-6210	YBR235W
OG0001427	augustus_masked-scaffold_00015-processed-gene-3.140-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-3.140&CDS=1-846	YDR087C
OG0001428	augustus_masked-scaffold_00015-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-3.143&CDS=1-3312	YKL150W
OG0001429	genemark-scaffold_00015-processed-gene-3.92-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.92&CDS=1-957	YPR128C
OG0001430	genemark-scaffold_00015-processed-gene-3.114-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.114&CDS=1-1191	YPR133C
OG0001431	genemark-scaffold_00015-processed-gene-3.94-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.94&CDS=1-804	YPR129W
OG0001432	genemark-scaffold_00015-processed-gene-3.95-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.95&CDS=1-2487	YPR135W
OG0001433	genemark-scaffold_00015-processed-gene-3.96-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.96&CDS=1-591	YPR131C
OG0001434	snap_masked-scaffold_00015-processed-gene-3.59-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-3.59&CDS=1-1956	YIL155C
OG0001435	genemark-scaffold_00015-processed-gene-3.98-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.98&CDS=1-1923	YEL065W
OG0001436	genemark-scaffold_00015-processed-gene-3.117-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.117&CDS=1-879	YBL050W
OG0001437	genemark-scaffold_00015-processed-gene-3.118-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.118&CDS=1-2190	YHR072W
OG0001438	augustus_masked-scaffold_00015-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-3.151&CDS=1-5322	YGR090W
OG0001439	genemark-scaffold_00015-processed-gene-3.119-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.119&CDS=1-633	YDL018C
OG0001440	genemark-scaffold_00015-processed-gene-3.120-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.120&CDS=1-969	YGR165W
OG0001441	genemark-scaffold_00015-processed-gene-3.102-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.102&CDS=1-1725	YDL017W
OG0001442	genemark-scaffold_00015-processed-gene-3.124-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.124&CDS=1-666	YOR077W
OG0001443	genemark-scaffold_00015-processed-gene-3.125-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.125&CDS=1-1020	YKR087C
OG0001444	genemark-scaffold_00015-processed-gene-3.127-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.127&CDS=1-582	YIL157C
OG0001445	genemark-scaffold_00015-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.106&CDS=1-1821	YDR311W
OG0001446	genemark-scaffold_00015-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.107&CDS=1-516	YAL059W
OG0001447	genemark-scaffold_00015-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.96&CDS=1-1377	YFL016C
OG0001448	genemark-scaffold_00015-processed-gene-4.97-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.97&CDS=1-1572	YBL015W
OG0001449	genemark-scaffold_00015-processed-gene-4.98-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.98&CDS=1-2223	YFL023W
OG0001450	snap_masked-scaffold_00015-processed-gene-4.42-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-4.42&CDS=1-288	YOR265W
OG0001451	genemark-scaffold_00015-processed-gene-4.99-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.99&CDS=1-1050	YOR262W
OG0001452	maker-scaffold_00015-snap-gene-4.148-mRNA-1_1&gene=maker-scaffold_00015-snap-gene-4.148&CDS=1-2238	YPL172C
OG0001453	genemark-scaffold_00015-processed-gene-4.129-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.129&CDS=1-999	YOR246C
OG0001454	augustus_masked-scaffold_00015-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-4.12&CDS=1-864	YLR348C
OG0001455	genemark-scaffold_00015-processed-gene-4.130-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.130&CDS=1-378	YDR529C
OG0001456	genemark-scaffold_00015-processed-gene-4.133-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.133&CDS=1-2457	YCL054W
OG0001457	genemark-scaffold_00015-processed-gene-4.134-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.134&CDS=1-3273	YLR148W
OG0001458	genemark-scaffold_00015-processed-gene-4.106-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.106&CDS=1-1956	YDR129C
OG0001459	maker-scaffold_00015-snap-gene-4.150-mRNA-1_1&gene=maker-scaffold_00015-snap-gene-4.150&CDS=1-651	YKL009W
OG0001460	genemark-scaffold_00015-processed-gene-4.135-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.135&CDS=1-1419	YKL089W
OG0001461	genemark-scaffold_00015-processed-gene-4.136-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.136&CDS=1-2262	YOL063C
OG0001462	genemark-scaffold_00015-processed-gene-4.110-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.110&CDS=1-507	YKL069W
OG0001463	genemark-scaffold_00015-processed-gene-4.137-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.137&CDS=1-1224	YBL032W
OG0001464	snap_masked-scaffold_00015-processed-gene-4.61-mRNA-1_1&gene=snap_masked-scaffold_00015-processed-gene-4.61&CDS=1-1542	YKL100C
OG0001465	genemark-scaffold_00015-processed-gene-4.112-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.112&CDS=1-1662	YPR088C
OG0001466	genemark-scaffold_00015-processed-gene-4.138-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.138&CDS=1-369	YKL160W
OG0001467	augustus_masked-scaffold_00015-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-4.20&CDS=1-1854	YBR241C
OG0001468	genemark-scaffold_00015-processed-gene-4.139-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.139&CDS=1-993	YBL033C
OG0001469	genemark-scaffold_00015-processed-gene-4.140-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.140&CDS=1-516	YGR029W
OG0001470	genemark-scaffold_00015-processed-gene-4.121-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.121&CDS=1-1593	YIL166C
OG0001471	genemark-scaffold_00015-processed-gene-4.122-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-4.122&CDS=1-2580	YIL130W
