	Candida_albicans	Saccharomyces_cerevisiae
OG0001076	C3_00180C_A	YIR027C
OG0001077	C3_00280C_A	YIL031W
OG0001078	CR_02790C_A	YPL227C
OG0001079	C1_12600C_A	YGL171W
OG0001080	C3_05020W_A	YHR151C
OG0001081	C3_03300C_A	YLR116W
OG0001082	C7_01000C_A	YLR339C
OG0001083	C2_03530W_A	YGL160W
OG0001084	C2_02180W_A	YKL175W
OG0001085	C3_00240C_A	YER122C
OG0001086	CR_03350C_A	YMR098C
OG0001087	C2_08680W_A	YCR092C
OG0001088	C5_03240W_A	YOR026W
OG0001089	C5_02120C_A	YLL034C
OG0001090	CR_04930W_A	YGL153W
OG0001091	C6_04100W_A	YER120W
OG0001092	C2_01780W_A	YGR014W
OG0001093	C1_12320C_A	YOL077W-A
OG0001094	C4_05090C_A	YCR081W
OG0001095	C2_02740C_A	YDR399W
OG0001096	C4_02770C_A	YLR215C
OG0001097	CR_10440W_A	YOR144C
OG0001098	C5_02230W_A	YFR050C
OG0001099	C5_02490C_A	YPR041W
OG0001100	C1_01690C_A	YOR142W
OG0001101	C1_04000C_A	YBR199W
OG0001102	CR_02520W_A	YNL113W
OG0001103	C4_05320W_A	YIR034C
OG0001104	C3_02860W_A	YPL214C
OG0001105	C3_04670C_A	YOL040C
OG0001106	CR_05150W_A	YMR225C
OG0001107	C3_04540C_A	YPR031W
OG0001108	C1_01650W_A	YOR155C
OG0001109	C1_04780C_A	YGL083W
OG0001110	C2_04680W_A	YJL143W
OG0001111	C1_04640W_A	YBR204C
OG0001112	CR_03680C_A	YFL008W
OG0001113	C3_02450W_A	YOL133W
OG0001114	C6_01390W_A	YJR075W
OG0001115	C7_03720C_A	YBR248C
OG0001116	C5_00150C_A	YNL189W
OG0001117	C2_02400W_A	YLR152C
OG0001118	C3_00490W_A	YOR244W
OG0001119	CR_01610C_A	YBL058W
OG0001120	C7_01700W_A	YOR220W
OG0001121	C1_12590W_A	YPR020W
OG0001122	C2_10680W_A	YML114C
OG0001123	C4_02430W_A	YDR301W
OG0001124	C4_01500W_A	YGL211W
OG0001125	C3_05380W_A	YJL163C
OG0001126	C4_01930C_A	YPL107W
OG0001127	CR_06760C_A	YGR244C
OG0001128	C1_02030C_A	YMR073C
OG0001129	C2_07410W_A	YMR210W
OG0001130	C1_12810W_A	YBR153W
OG0001131	C1_06910C_A	YGR134W
OG0001132	C7_03370C_A	YJL123C
OG0001133	C2_07360W_A	YPL157W
OG0001134	C5_04870W_A	YGR268C
OG0001135	C5_04970C_A	YLR014C
OG0001136	C7_00780W_A	YAL043C
OG0001137	CR_03490W_A	YBR163W
OG0001138	C1_08590C_A	YGR175C
OG0001139	C3_02960C_A	YOR336W
OG0001140	C4_00310C_A	YDR245W
OG0001141	C2_01860C_A	YEL038W
OG0001142	C1_03260W_A	YNL218W
OG0001143	C6_00130C_A	YNL212W
OG0001144	C3_06020W_A	YPL050C
OG0001145	C1_05300C_A	YCL057W
OG0001146	C3_00690C_A	YAR003W
OG0001147	C1_13830C_A	YGR193C
OG0001148	C5_05150C_A	YDR198C
OG0001149	C1_11500C_A	YPR060C
OG0001150	C4_04180C_A	YGL126W
OG0001151	C5_03570W_A	YMR264W
OG0001152	CR_03940W_A	YHR085W
OG0001153	CR_07030C_A	YOR287C
OG0001154	C1_01190C_A	YHR176W
OG0001155	C2_06480W_A	YOL093W
OG0001156	C4_00510C_A	YLR009W
OG0001157	C3_07800C_A	YLR051C
OG0001158	C6_01700W_A	YBL092W
OG0001159	CR_02640W_A	YPR065W
OG0001160	C1_11340W_A	YNL279W
OG0001161	C1_01770W_A	YCR019W
OG0001162	C4_05670W_A	YPR024W
OG0001163	C2_02370C_A	YDR158W
OG0001164	C2_05440W_A	YNL329C
OG0001165	C5_03990W_A	YNL291C
OG0001166	C1_09810W_A	YGR210C
OG0001167	C3_01080W_A	YMR286W
OG0001168	C3_03910W_A	YDR225W
OG0001169	C5_05200C_A	YHR045W
OG0001170	C1_09490C_A	YMR217W
OG0001171	C4_04730W_A	YKR099W
OG0001172	C1_11560C_A	YDR336W
OG0001173	CR_07860C_A	YJL115W
OG0001174	CR_00180C_A	YLR286C
OG0001175	C2_04200W_A	YPL128C
OG0001176	CR_04270C_A	YER137C
OG0001177	C1_01870C_A	YGR155W
OG0001178	C5_03560W_A	YMR263W
OG0001179	C1_00910W_A	YMR233W
OG0001180	C3_05890W_A	YML005W
OG0001181	CR_00900W_A	YDR120C
OG0001182	C4_02360W_A	YGL156W
OG0001183	C5_02820C_A	YJR024C
OG0001184	C1_02320C_A	YLR345W
OG0001185	CR_08070W_A	YDL230W
OG0001186	C2_06660W_A	YGR095C
OG0001187	C3_06420C_A	YML018C
OG0001188	CR_09300C_A	YBR037C
OG0001189	C5_04890C_A	YMR294W
OG0001190	C1_08430W_A	YFL028C
OG0001191	C2_02800W_A	YER074W-A
OG0001192	C1_10260C_A	YJL148W
OG0001193	C2_07520C_A	YHR086W
OG0001194	C3_03790W_A	YLR017W
OG0001195	C2_06620W_A	YML071C
OG0001196	C1_13370W_A	YDR161W
OG0001197	C4_01910W_A	YBR123C
OG0001198	CR_09930W_A	YDR124W
OG0001199	C7_02650W_A	YNL128W
OG0001200	CR_08180C_A	YML014W
OG0001201	C5_01900C_A	YJL205C
OG0001202	C5_03120W_A	YLR459W
OG0001203	C1_08770W_A	YGL159W
OG0001204	CR_09310W_A	YPL208W
OG0001205	C5_00680W_A	YDR465C
OG0001206	C2_05790C_A	YOR217W
OG0001207	C1_02350W_A	YGR033C
OG0001208	C4_05740C_A	YGL131C
OG0001209	C7_03890C_A	YKL124W
OG0001210	C1_05240C_A	YKL145W
OG0001211	C4_06370C_A	YNL275W
OG0001212	C3_05740C_A	YNL025C
OG0001213	CR_06710C_A	YGR252W
OG0001214	C2_06240W_A	YLR275W
OG0001215	C1_13140C_A	YOR344C
OG0001216	C2_07950W_A	YGL100W
OG0001217	C3_02180C_A	YHR068W
OG0001218	C7_01970C_A	YMR203W
OG0001219	CR_09660W_A	YLR287C
OG0001220	C1_14200W_A	YKR030W
OG0001221	CR_08860W_A	YIL042C
OG0001222	C6_01720C_A	YML052W
OG0001223	C6_00780W_A	YPR055W
OG0001224	C1_10240C_A	YER010C
OG0001225	CR_02200C_A	YER095W
OG0001226	C4_01080W_A	YOR048C
OG0001227	C7_02510W_A	YER112W
OG0001228	CR_02970C_A	YIL143C
OG0001229	C4_02090C_A	YGR195W
OG0001230	CR_08820C_A	YLR154W-C
OG0001231	C1_14080W_A	YJL109C
OG0001232	C2_09270C_A	YOR057W
OG0001233	C4_02280W_A	YPL117C
OG0001234	C5_03090W_A	YPR173C
OG0001235	C6_01890C_A	YLR276C
OG0001236	C3_04990W_A	YDL189W
OG0001237	C3_05720C_A	YGL216W
OG0001238	C4_03290W_B&Allele&of&C4_03290W_A	YNL085W
OG0001239	C4_00320C_A	YDR265W
OG0001240	C3_02040C_A	YFR001W
OG0001241	C3_07350W_A	YGL198W
OG0001242	C1_02160W_A	YDR246W
OG0001243	C3_07450C_A	YMR262W
OG0001244	CR_03230W_A	YNL224C
OG0001245	C2_04130W_A	YAL013W
OG0001246	CR_04910W_A	YGL155W
OG0001247	C1_13540W_A	YGL084C
OG0001248	C3_05150W_A	YOL123W
OG0001249	C4_02170C_A	YOR059C
OG0001250	C2_04760W_A	YHR102W
OG0001251	CR_05390W_A	YDR032C
OG0001252	C2_00170C_A	YKL027W
OG0001253	C2_04800C_A	YAL010C
OG0001254	C5_04600C_A	YJR090C
OG0001255	C6_03750C_A	YKL117W
OG0001256	C7_00740W_A	YFL033C
OG0001257	C1_14450C_A	YFR006W
OG0001258	C6_01840C_A	YOL096C
OG0001259	C4_05010W_A	YCR072C
OG0001260	C2_09840W_A	YAL034W-A
OG0001261	C1_03610C_A	YMR150C
OG0001262	C2_02810C_A	YDR397C
OG0001263	C4_02500C_B&Allele&of&C4_02500C_A	YDR216W
OG0001264	C3_00380C_A	YOR080W
OG0001265	C7_01250W_A	YMR116C
OG0001266	C5_01930W_A	YDL030W
OG0001267	CR_08120C_A	YNL118C
OG0001268	C5_03110C_A	YPR182W
OG0001269	C2_06260W_A	YLR281C
OG0001270	C1_09660W_A	YKL213C
OG0001271	C4_06070C_A	YBL013W
OG0001272	C6_00510C_A	YML032C
OG0001273	C5_05320C_A	YER055C
OG0001274	C3_02440C_A	YOL135C
OG0001275	C2_09660W_A	YER002W
OG0001276	CR_08320W_A	YAL020C
OG0001277	CR_07660C_A	YKL154W
OG0001278	C4_05790W_A	YMR218C
OG0001279	CR_10260W_A	YGL136C
OG0001280	C4_03140C_A	YHR187W
OG0001281	C4_04440W_A	YBR171W
OG0001282	C6_02590C_A	YIL106W
OG0001283	C6_00870C_A	YLR355C
OG0001284	C7_00560C_A	YGR024C
OG0001285	C7_03390C_A	YER094C
OG0001286	C2_04060C_A	YDR160W
OG0001287	C3_02840W_A	YAL033W
OG0001288	C1_09530W_A	YKL019W
OG0001289	C6_03650C_A	YNR052C
OG0001290	C2_09620W_A	YIL005W
OG0001291	C6_02850W_A	YDR202C
OG0001292	C1_09120W_A	YDR072C
OG0001293	C5_03060C_A	YGR260W
OG0001294	C5_02530W_A	YDL103C
OG0001295	CR_03360W_A	YKL099C
OG0001296	C1_04890W_A	YBR025C
OG0001297	C2_05230C_A	YKR081C
OG0001298	C1_07600W_A	YKL016C
OG0001299	C3_00390W_A	YOR079C
OG0001300	C4_03740W_A	YHR069C
OG0001301	C4_00660W_A	YMR188C
OG0001302	C2_06110W_A	YHR201C
OG0001303	CR_06840W_B&Allele&of&CR_06840W_A	YIL091C
OG0001304	CR_09800C_A	YML093W
OG0001305	C2_00320W_A	YGL020C
OG0001306	C3_02210C_A	YEL053C
OG0001307	C3_00520W_A	YLR306W
OG0001308	C5_05340W_A	YIR012W
OG0001309	C5_05410C_A	YJR016C
OG0001310	C7_03980W_A	YGL231C
OG0001311	C6_00670W_A	YFR028C
OG0001312	C1_09380W_A	YOR275C
OG0001313	C3_01880W_A	YOR067C
OG0001314	CR_03870W_A	YDL157C
OG0001315	CR_05690W_A	YOR221C
OG0001316	C5_01080C_A	YOR355W
OG0001317	C2_04210W_A	YOR212W
OG0001318	C1_04840C_A	YPR079W
OG0001319	C2_08530C_A	YML096W
OG0001320	C1_12770W_A	YBR079C
OG0001321	C5_02750C_A	YOR038C
OG0001322	CR_00860C_A	YKL056C
OG0001323	C1_09520C_A	YMR209C
OG0001324	C4_02900C_A	YGR189C
OG0001325	C3_05340W_A	YGR227W
OG0001326	C2_04190C_A	YGR019W
OG0001327	C4_02890C_A	YGR183C
OG0001328	C4_05540W_A	YER052C
OG0001329	C1_03630W_A	YKL033W
OG0001330	CR_01430W_A	YNL038W
OG0001331	C6_03780C_A	YBR280C
OG0001332	C1_07280C_A	YDR079C-A
OG0001333	CR_01780W_A	YLR063W
OG0001334	C4_03090W_A	YOR194C
OG0001335	CR_01550C_A	YBL055C
OG0001336	C7_01550W_A	YER155C
OG0001337	C4_07110C_A	YER178W
OG0001338	C5_03170C_A	YOL070C
OG0001339	C4_02850W_A	YGR200C
OG0001340	CR_05630W_A	YHR169W
OG0001341	C1_07850C_A	YGL240W
OG0001342	C1_03900W_A	YMR059W
OG0001343	C4_07100C_A	YER172C
OG0001344	C2_06540C_A	YEL031W
OG0001345	C2_04180C_A	YPR011C
OG0001346	C2_09890W_A	YNR015W
OG0001347	C7_00580C_A	YFR007W
OG0001348	C2_10760C_A	YBR060C
OG0001349	C1_13760W_A	YEL058W
OG0001350	C5_03470C_A	YMR221C
OG0001351	C1_10690W_A	YGR031W
OG0001352	C2_06920C_A	YPL199C
OG0001353	C1_03130C_A	YHR108W
OG0001354	CR_06330C_A	YML108W
OG0001355	C1_06880C_A	YIL073C
OG0001356	C3_00130C_A	YGR178C
OG0001357	C7_03450C_A	YBR272C
OG0001358	C2_07500C_A	YOR174W
OG0001359	C1_09710C_A	YER082C
OG0001360	C1_13400C_A	YPR021C
OG0001361	CR_04050C_A	YPL169C
OG0001362	C2_03760C_B&Allele&of&C2_03760C_A	YKL171W
OG0001363	C2_06960W_A	YPR069C
OG0001364	C2_08730W_A	YDL233W
OG0001365	C3_02230C_A	YDR325W
OG0001366	C3_00900C_A	YIL124W
OG0001367	C5_03620W_A	YPL069C
OG0001368	C2_08610W_A	YHR190W
OG0001369	C2_09600C_A	YCR090C
OG0001370	C2_04870C_A	YNL139C
OG0001371	CR_07010W_A	YBR084W
OG0001372	C2_04650C_B&Allele&of&C2_04650C_A	YJL140W
OG0001373	C1_12780W_A	YCR036W
OG0001374	CR_06970C_A	YHR156C
OG0001375	C3_06050C_A	YBR185C
OG0001376	CR_03150W_A	YLR309C
OG0001377	C1_02040C_A	YPL072W
OG0001378	C5_02070C_A	YNR054C
OG0001379	CR_04780W_A	YOR224C
OG0001380	CR_09980W_A	YBR081C
OG0001381	C4_00780C_A	YGR198W
OG0001382	C5_02280C_A	YCR054C
OG0001383	C5_03080C_B&Allele&of&C5_03080C_A	YNL125C
OG0001384	C4_02630C_A	YER159C
OG0001385	C2_02440W_A	YDL077C
OG0001386	C5_04730C_B&Allele&of&C5_04730C_A	YDR293C
OG0001387	C1_07190W_A	YOR353C
OG0001388	C4_06800W_A	YDR190C
OG0001389	C5_04920C_A	YGR271W
OG0001390	C1_00480C_A	YFR009W
OG0001391	C2_06640C_A	YGR094W
OG0001392	C1_00070W_A	YNR043W
OG0001393	C3_04000C_A	YER024W
OG0001394	CR_04080C_A	YOR254C
OG0001395	C1_11860W_A	YJL080C
OG0001396	C1_02590C_A	YMR096W
OG0001397	C3_04660C_A	YOR130C
OG0001398	C1_03430W_A	YDR058C
OG0001399	C1_06080C_A	YNR035C
OG0001400	C4_00330C_A	YDR322C-A
OG0001401	CR_06540W_A	YEL061C
OG0001402	C1_08560W_A	YDR212W
OG0001403	C6_01590W_A	YLR455W
OG0001404	C2_02630W_A	YJL025W
OG0001405	CR_02560C_A	YIL130W
OG0001406	C1_03110W_A	YML073C
OG0001407	C2_07930C_A	YLR337C
OG0001408	C5_01420W_A	YDR525W-A
OG0001409	C7_01830W_A	YPL233W
OG0001410	CR_03760W_A	YLR285W
OG0001411	C1_04530C_A	YPL030W
OG0001412	C1_00220W_A	YMR307W
OG0001413	C1_03730C_A	YJR131W
OG0001414	C4_01900C_A	YKL085W
OG0001415	C1_08730W_A	YNL051W
OG0001416	C7_01850C_A	YLR429W
OG0001417	C5_00820W_A	YNL252C
OG0001418	C3_00290W_A	YDL007W
OG0001419	C4_04710W_A	YOR070C
OG0001420	C5_04640C_A	YGR270W
OG0001421	C4_06760W_A	YIL155C
OG0001422	C7_00420C_A	YCL012C
OG0001423	CR_08060C_A	YOR089C
OG0001424	C1_12230W_A	YCR033W
OG0001425	C2_07210C_A	YPL203W
OG0001426	C2_00740C_A	YKL140W
OG0001427	C4_01280C_A	YJL203W
OG0001428	C3_00450C_A	YEL050C
OG0001429	C6_02770W_A	YKL009W
OG0001430	C6_03730C_A	YHL004W
OG0001431	C2_05220C_A	YKR082W
OG0001432	C4_01410W_A	YBR200W
OG0001433	CR_07950W_A	YNL075W
OG0001434	C1_11300C_A	YDR243C
OG0001435	C4_00210W_A	YPL034W
OG0001436	C1_08920W_A	YIL093C
OG0001437	CR_10300W_A	YOR157C
OG0001438	C2_00190C_A	YLR324W
OG0001439	C1_05160C_A	YKR070W
OG0001440	C7_00390W_A	YCL017C
OG0001441	C7_02930C_A	YOL022C
OG0001442	C1_14330W_A	YDL033C
OG0001443	CR_04040C_A	YPL175W
OG0001444	C1_01740W_A	YAR035W
OG0001445	C1_05320C_A	YGR166W
OG0001446	C2_06310C_A	YLR293C
OG0001447	C1_07070C_A	YDL160C
OG0001448	C2_02020W_A	YBR058C
OG0001449	C2_07510W_A	YLR271W
OG0001450	C2_06490W_A	YPL096W
OG0001451	C1_05630C_A	YER110C
OG0001452	CR_10120C_A	YOR305W
OG0001453	C4_06930C_A	YDL087C
OG0001454	C1_09760C_A	YGR112W
OG0001455	C6_02860W_A	YLR389C
OG0001456	C6_03720W_A	YOR335C
OG0001457	C1_14090W_A	YOR020C
OG0001458	C1_02780W_A	YDL086W
OG0001459	C7_00160C_A	YJL122W
OG0001460	C6_01380C_A	YJR074W
OG0001461	C2_00450C_A	YGL003C
OG0001462	C2_07880W_A	YOL062C
OG0001463	C1_04040C_A	YJL010C
OG0001464	CR_10550W_A	YLL008W
OG0001465	C5_03920C_A	YDR339C
OG0001466	CR_06450W_A	YLL035W
OG0001467	C1_10820C_A	YHR113W
OG0001468	C5_04160W_A	YDR469W
OG0001469	C1_00210C_A	YML048W
OG0001470	CR_08210C_A	YLR304C
OG0001471	C7_02670W_B&Allele&of&C7_02670W_A	YNL127W
OG0001472	C4_05650W_A	YIL019W
OG0001473	C5_01350W_A	YDR479C
OG0001474	C6_00600C_A	YMR241W
OG0001475	C4_02470C_A	YBL041W
OG0001476	C1_04100C_A	YNL055C
OG0001477	C1_14310W_A	YHR144C
OG0001478	C1_00400W_A	YDR346C
OG0001479	C5_00590W_A	YBR085W
OG0001480	C3_07250W_A	YGR083C
OG0001481	C6_02040W_A	YKL150W
OG0001482	C5_00440C_A	YKL002W
OG0001483	CR_05910W_A	YKL160W
OG0001484	C7_02960C_A	YNR029C
OG0001485	C5_00620W_A	YML036W
OG0001486	C3_04560W_A	YDR060W
OG0001487	C2_01990C_A	YFR019W
OG0001488	C3_06750W_A	YDR086C
OG0001489	C1_05700W_A	YBL078C
OG0001490	C3_04830C_A	YPL231W
OG0001491	C1_12050W_A	YIL075C
OG0001492	C1_12560C_A	YER179W
OG0001493	CR_09100C_A	YPR127W
OG0001494	C5_02770W_A	YDR268W
OG0001495	C1_08480C_A	YJL024C
OG0001496	C2_07820C_A	YJL117W
OG0001497	C1_06050C_A	YHR001W-A
OG0001498	C6_01780C_A	YHL008C
OG0001499	C7_00940W_A	YGL203C
OG0001500	C3_06950W_A	YDR089W
OG0001501	C2_07920W_A	YBR246W
OG0001502	C2_00610C_A	YML081C-A
OG0001503	C5_02620C_A	YKL005C
OG0001504	C6_02130C_A	YDR318W
OG0001505	C7_00980W_A	YDR452W
OG0001506	C7_02980C_A	YLL003W
OG0001507	C7_03590C_A	YHR032W
OG0001508	C2_01830W_B&Allele&of&C2_01830W_A	YML046W
OG0001509	C3_05860C_A	YIL096C
OG0001510	CR_07390C_A	YJL063C
OG0001511	C7_03790W_A	YNL005C
OG0001512	CR_08870W_A	YLR191W
OG0001513	C1_08880W_A	YER014W
OG0001514	C1_00870W_A	YNR008W
OG0001515	C1_12380C_A	YOL097C
OG0001516	C1_10700C_A	YLR351C
OG0001517	C7_00490C_A	YBR261C
OG0001518	C4_07090C_A	YDR354W
OG0001519	C4_04700W_A	YHR064C
OG0001520	C5_00940C_A	YOR358W
OG0001521	C2_03360W_A	YML035C
OG0001522	C6_03640W_A	YNR053C
OG0001523	C3_04710W_A	YLR242C
OG0001524	C1_13940W_A	YKR042W
OG0001525	C3_01200W_B&Allele&of&C3_01200W_A	YBL004W
OG0001526	C2_01680C_A	YGL023C
OG0001527	C2_06250C_A	YLR274W
OG0001528	C7_01210C_A	YKR025W
OG0001529	C5_03160W_A	YLR071C
OG0001530	C1_14300C_A	YPL006W
OG0001531	C2_10050W_A	YMR304W
OG0001532	C1_01590C_A	YOR151C
OG0001533	C4_05450C_A	YIL043C
OG0001534	C5_03150W_A	YKL116C
OG0001535	C7_03640C_A	YCR024C
OG0001536	C1_13190W_A	YPR098C
OG0001537	CR_05720W_A	YBR126C
OG0001538	C1_08860C_A	YJR110W
OG0001539	C1_00740C_A	YKL184W
OG0001540	C1_05110C_A	YBR249C
OG0001541	CR_04630C_A	YDR402C
OG0001542	C1_07930C_A	YDR414C
OG0001543	C7_01340W_A	YMR224C
OG0001544	C1_06550W_A	YDL171C
OG0001545	C1_07700C_A	YGL225W
OG0001546	CR_04890W_A	YGL154C
OG0001547	C4_04310W_A	YPL132W
OG0001548	CR_08680C_A	YHL023C
OG0001549	C4_01660W_A	YKL057C
OG0001550	C3_00660W_A	YML049C
OG0001551	C1_02180W_A	YBR018C
OG0001552	C6_00430C_A	YBR288C
OG0001553	C6_01770W_A	YCR066W
OG0001554	C2_04100W_A	YLR283W
OG0001555	C4_03750C_A	YGL143C
OG0001556	C6_02800W_A	YKL069W
OG0001557	C3_07710W_A	YBR236C
OG0001558	CR_01540W_A	YBL052C
OG0001559	C7_01360C_A	YNL310C
OG0001560	C3_04490W_A	YOR301W
OG0001561	CR_03430W_A	YMR123W
OG0001562	C4_03040W_A	YOR210W
OG0001563	C3_02170C_A	YKL103C
OG0001564	C2_01310W_A	YDR425W
OG0001565	C7_03520W_A	YGL037C
OG0001566	C1_01040W_A	YCL033C
OG0001567	CR_05460W_A	YOR223W
OG0001568	C1_01180C_A	YIL072W
OG0001569	CR_05920C_A	YJL042W
OG0001570	C5_04080C_A	YNL245C
OG0001571	C1_07250C_A	YNL219C
OG0001572	CR_04190W_A	YNL138W
OG0001573	CR_04360C_A	YDL208W
OG0001574	C1_03290W_A	YDR176W
OG0001575	C7_02380C_A	YDR155C
OG0001576	C3_04380C_A	YEL026W
OG0001577	C4_06490C_A	YKL045W
OG0001578	C2_03000C_A	YOR006C
OG0001579	C1_12920C_A	YGL161C
OG0001580	C4_03110W_B&Allele&of&C4_03110W_A	YMR162C
OG0001581	C5_00190C_A	YKL182W
OG0001582	C4_03810W_A	YDL113C
OG0001583	C1_02930C_A	YKL194C
OG0001584	C4_04870C_A	YCR077C
OG0001585	CR_10450C_A	YDR392W
OG0001586	C1_06210W_A	YEL029C
OG0001587	C1_07490C_A	YBL035C
OG0001588	C2_06850W_A	YGR081C
OG0001589	CR_08030C_A	YDR320C
OG0001590	C4_06100W_A	YGL027C
OG0001591	C3_01150C_A	YBR151W
OG0001592	C3_02530W_A	YBR162W-A
OG0001593	C1_03870C_A	YNL234W
OG0001594	C5_04650C_A	YGR171C
OG0001595	C4_05310W_A	YJR003C
OG0001596	C3_01450C_A	YIL128W
OG0001597	C6_01300W_A	YBR042C
OG0001598	C1_05670W_A	YDR415C
OG0001599	C5_00300C_A	YLR086W
OG0001600	C5_01250W_A	YDL035C
OG0001601	C7_02460C_A	YJR072C
OG0001602	C5_05350W_A	YIR008C
OG0001603	C2_00710W_A	YMR091C
OG0001604	C1_11980W_A	YPR168W
OG0001605	C3_02780W_A	YDR023W
OG0001606	C1_13120C_A	YNL297C
OG0001607	C6_02350C_A	YPL212C
OG0001608	C1_11930W_B&Allele&of&C1_11930W_A	YLR187W
OG0001609	C3_06250W_A	YML012W
OG0001610	C6_02150C_A	YPL060W
OG0001611	C1_07520C_A	YBR086C
OG0001612	CR_03390C_A	YMR106C
OG0001613	C1_07980C_A	YHR079C-A
OG0001614	CR_10370W_A	YLR192C
OG0001615	C1_05050C_A	YOR001W
OG0001616	C2_00370W_A	YGL016W
OG0001617	C1_08670W_A	YLR182W
OG0001618	C3_06290W_A	YML020W
OG0001619	C2_00620C_A	YJR129C
OG0001620	C6_00340C_A	YKL134C
OG0001621	C1_11220C_A	YPL063W
OG0001622	C2_02150C_A	YMR061W
OG0001623	C6_02230W_A	YGL099W
OG0001624	C3_06400C_A	YML021C
OG0001625	C1_11570W_A	YJR112W-A
OG0001626	C2_04570W_A	YKL172W
OG0001627	C2_04790C_A	YPL118W
OG0001628	C1_08600C_A	YDR211W
OG0001629	C2_07290W_A	YJR070C
OG0001630	CR_05010W_A	YER041W
OG0001631	C2_04260W_A	YPL042C
OG0001632	C1_10420C_A	YOR322C
OG0001633	CR_08490W_A	YDL060W
OG0001634	CR_09940W_A	YOR313C
OG0001635	CR_02380C_A	YIL027C
OG0001636	C6_02370C_A	YGL129C
OG0001637	C1_10930C_A	YHR111W
OG0001638	C6_01010W_A	YMR065W
OG0001639	C3_00800W_A	YMR036C
OG0001640	CR_06900C_A	YOR002W
OG0001641	C5_00200C_A	YLR399C
OG0001642	C1_03690W_A	YDR517W
OG0001643	C3_05430W_A	YKR051W
OG0001644	C4_03840C_A	YDL111C
OG0001645	C7_01450C_A	YOR361C
OG0001646	C7_03910W_A	YML060W
OG0001647	C2_04880C_A	YDR376W
OG0001648	C3_00610W_A	YGL005C
OG0001649	C1_02820W_A	YBR115C
OG0001650	C2_04980C_A	YOR061W
OG0001651	C7_01890C_A	YNL070W
OG0001652	C2_06130W_A	YMR048W
OG0001653	CR_02710W_A	YPR137W
OG0001654	C1_10320W_A	YMR281W
OG0001655	CR_10540C_A	YDL003W
OG0001656	CR_00120C_A	YHR030C
OG0001657	C1_07630W_A	YPL059W
OG0001658	C5_00180W_A	YLR410W
OG0001659	C4_05290W_A	YNR033W
OG0001660	C1_05780W_A	YML127W
OG0001661	C3_04760C_A	YLR430W
OG0001662	C2_03080W_A	YOR136W
OG0001663	C6_04330W_A	YOL144W
OG0001664	C7_00430W_A	YOL152W
OG0001665	CR_08400C_A	YNL081C
OG0001666	C4_05160C_A	YJL049W
OG0001667	C2_00200W_A	YGR006W
OG0001668	C4_03800C_A	YDL116W
OG0001669	C2_04620W_B&Allele&of&C2_04620W_A	YJL176C
OG0001670	C6_03810W_A	YOL001W
OG0001671	CR_09640C_A	YLR262C-A
OG0001672	C3_05120C_A	YGR078C
OG0001673	CR_04230W_A	YNL129W
OG0001674	C2_00850W_A	YPR047W
OG0001675	C4_04810C_A	YDL201W
OG0001676	CR_00250W_A	YDR377W
OG0001677	CR_01100C_A	YHR116W
OG0001678	C1_09040C_B&Allele&of&C1_09040C_A	YIL110W
OG0001679	C1_11600W_A	YHR181W
OG0001680	C1_13360C_A	YLR145W
OG0001681	C1_02480W_A	YFL045C
OG0001682	C2_10320C_A	YOR242C
OG0001683	C5_01060C_A	YCR047C
OG0001684	C2_00830C_A	YKR008W
OG0001685	C1_02190W_A	YOR239W
OG0001686	C2_07320W_A	YJR065C
OG0001687	C1_05020C_A	YJL071W
OG0001688	C6_03430C_A	YOR093C
OG0001689	CR_03570C_A	YIR026C
OG0001690	C2_05480C_A	YMR194C-B
OG0001691	C2_03300W_A	YGL040C
OG0001692	C3_05680W_A	YER100W
OG0001693	C2_04860W_A	YPR186C
OG0001694	C5_02710W_A	YDR353W
OG0001695	C3_06300W_A	YDR440W
OG0001696	C5_00430W_A	YKL001C
OG0001697	CR_05950C_A	YCR011C
OG0001698	C4_06830C_A	YDR188W
OG0001699	C2_01470W_A	YDR443C
OG0001700	C4_05750C_A	YPL213W
OG0001701	C2_02090W_A	YLR363C
OG0001702	C2_00430C_A	YDR121W
OG0001703	C1_03650C_A	YBR282W
OG0001704	C3_02130W_A	YDR324C
OG0001705	C4_07140W_A	YLR168C
OG0001706	C7_00520W_A	YOL145C
OG0001707	CR_00480W_A	YHR147C
OG0001708	C1_00520W_A	YOR283W
OG0001709	CR_08900C_A	YGR156W
OG0001710	C2_02410W_A	YDL072C
OG0001711	C6_04470C_A	YKL034W
OG0001712	C6_00910C_A	YFR016C
OG0001713	C4_00280W_A	YJR117W
OG0001714	C2_01090C_A	YER044C
OG0001715	C1_04660W_A	YBR208C
OG0001716	C7_00380W_A	YNL003C
OG0001717	C1_06540C_A	YCR035C
OG0001718	C1_08130C_A	YLR318W
OG0001719	C3_05440C_A	YJL131C
OG0001720	C4_00030C_A	YOR368W
OG0001721	C1_00770C_A	YMR200W
OG0001722	C2_02460W_A	YHR072W
OG0001723	C1_00470C_A	YPL103C
OG0001724	CR_06860C_A	YDR380W
OG0001725	C1_05010C_A	YOL002C
OG0001726	C7_01750W_A	YOR228C
OG0001727	C3_01550C_B&Allele&of&C3_01550C_A	YBR162C
OG0001728	C1_05380C_A	YBR275C
OG0001729	C2_01440C_A	YDR424C
OG0001730	C1_10440W_A	YEL043W
