	Lachancea_waltii	Saccharomyces_cerevisiae
OG0001509	snap_masked-AADM01000092.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.27&CDS=1-957	YMR116C
OG0001510	augustus_masked-AADM01000092.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-AADM01000092.1-processed-gene-0.15&CDS=1-318	YMR107W
OG0001511	snap_masked-AADM01000092.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.29&CDS=1-2037	YMR108W
OG0001512	snap_masked-AADM01000092.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.30&CDS=1-3750	YMR109W
OG0001513	snap_masked-AADM01000092.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.35&CDS=1-1572	YMR110C
OG0001514	snap_masked-AADM01000092.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.31&CDS=1-708	YKL130C
OG0001515	snap_masked-AADM01000092.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.36&CDS=1-1152	YMR111C
OG0001516	snap_masked-AADM01000092.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.37&CDS=1-333	YMR112C
OG0001517	snap_masked-AADM01000092.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000092.1-processed-gene-0.32&CDS=1-1260	YMR113W
OG0001518	genemark-AADM01000092.1-processed-gene-0.12-mRNA-1_1&gene=genemark-AADM01000092.1-processed-gene-0.12&CDS=1-741	YMR114C
OG0001519	maker-AADM01000093.1-augustus-gene-0.95-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-0.95&CDS=1-3756	YKL134C
OG0001520	snap_masked-AADM01000093.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.2&CDS=1-1806	YMR106C
OG0001521	snap_masked-AADM01000093.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.3&CDS=1-1710	YMR105C
OG0001522	maker-AADM01000093.1-augustus-gene-0.97-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-0.97&CDS=1-1830	YKL125W
OG0001523	snap_masked-AADM01000093.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.26&CDS=1-1695	YMR100W
OG0001524	snap_masked-AADM01000093.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.6&CDS=1-606	YKL119C
OG0001525	snap_masked-AADM01000093.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.27&CDS=1-1074	YMR101C
OG0001526	snap_masked-AADM01000093.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.28&CDS=1-975	YKL120W
OG0001527	snap_masked-AADM01000093.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.29&CDS=1-2229	YMR102C
OG0001528	snap_masked-AADM01000093.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.8&CDS=1-606	YKL117W
OG0001529	maker-AADM01000093.1-augustus-gene-0.99-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-0.99&CDS=1-2439	YMR099C
OG0001530	augustus_masked-AADM01000093.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-0.84&CDS=1-2139	YKL113C
OG0001531	snap_masked-AADM01000093.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.9&CDS=1-1578	YKL112W
OG0001532	snap_masked-AADM01000093.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.10&CDS=1-1791	YMR098C
OG0001533	snap_masked-AADM01000093.1-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.36&CDS=1-930	YKL110C
OG0001534	snap_masked-AADM01000093.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.11&CDS=1-1044	YMR097C
OG0001535	snap_masked-AADM01000093.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.38&CDS=1-1224	YMR094W
OG0001536	augustus_masked-AADM01000093.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-0.65&CDS=1-978	YKL108W
OG0001537	snap_masked-AADM01000093.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.39&CDS=1-1521	YMR093W
OG0001538	snap_masked-AADM01000093.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.16&CDS=1-1833	YMR092C
OG0001539	snap_masked-AADM01000093.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.17&CDS=1-1335	YMR091C
OG0001540	snap_masked-AADM01000093.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.19&CDS=1-1677	YMR088C
OG0001541	snap_masked-AADM01000093.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.20&CDS=1-1266	YKL106W
OG0001542	snap_masked-AADM01000093.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.40&CDS=1-2307	YMR086W
OG0001543	snap_masked-AADM01000093.1-processed-gene-0.42-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.42&CDS=1-1533	YKL103C
OG0001544	snap_masked-AADM01000093.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.44&CDS=1-750	YKL099C
OG0001545	snap_masked-AADM01000093.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.22&CDS=1-858	YKL098W
OG0001546	snap_masked-AADM01000093.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.23&CDS=1-798	YKL096W
OG0001547	snap_masked-AADM01000093.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.24&CDS=1-798	YKL095W
OG0001548	snap_masked-AADM01000093.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-0.25&CDS=1-942	YKL094W
OG0001549	snap_masked-AADM01000093.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.1&CDS=1-2895	YMR080C
OG0001550	snap_masked-AADM01000093.1-processed-gene-1.2-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.2&CDS=1-2100	YMR078C
OG0001551	snap_masked-AADM01000093.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.3&CDS=1-873	YHL009C
OG0001552	maker-AADM01000093.1-augustus-gene-1.157-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-1.157&CDS=1-3003	YKL089W
OG0001553	snap_masked-AADM01000093.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.40&CDS=1-2865	YHL007C
OG0001554	snap_masked-AADM01000093.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.41&CDS=1-4347	YKL010C
OG0001555	snap_masked-AADM01000093.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.8&CDS=1-714	YKL009W
OG0001556	augustus_masked-AADM01000093.1-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.122&CDS=1-459	YHL006C
OG0001557	snap_masked-AADM01000093.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.9&CDS=1-1215	YHL004W
OG0001558	augustus_masked-AADM01000093.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.123&CDS=1-1266	YHL003C
OG0001559	snap_masked-AADM01000093.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.10&CDS=1-1596	YHL002W
OG0001560	snap_masked-AADM01000093.1-processed-gene-1.11-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.11&CDS=1-795	YKL007W
OG0001561	augustus_masked-AADM01000093.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.126&CDS=1-1560	YKL005C
OG0001562	genemark-AADM01000093.1-processed-gene-1.177-mRNA-1_1&gene=genemark-AADM01000093.1-processed-gene-1.177&CDS=1-1236	YKL004W
OG0001563	snap_masked-AADM01000093.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.47&CDS=1-387	YKL003C
OG0001564	maker-AADM01000093.1-snap-gene-1.79-mRNA-1_1&gene=maker-AADM01000093.1-snap-gene-1.79&CDS=1-687	YKL002W
OG0001565	maker-AADM01000093.1-snap-gene-1.82-mRNA-1_1&gene=maker-AADM01000093.1-snap-gene-1.82&CDS=1-594	YKL001C
OG0001566	snap_masked-AADM01000093.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.49&CDS=1-2073	YKR001C
OG0001567	snap_masked-AADM01000093.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.15&CDS=1-1785	YKR002W
OG0001568	snap_masked-AADM01000093.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.16&CDS=1-1311	YHR001W
OG0001569	snap_masked-AADM01000093.1-processed-gene-1.50-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.50&CDS=1-1098	YKR004C
OG0001570	augustus_masked-AADM01000093.1-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.129&CDS=1-747	YKR006C
OG0001571	snap_masked-AADM01000093.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.17&CDS=1-588	YKR007W
OG0001572	snap_masked-AADM01000093.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.18&CDS=1-1653	YKR008W
OG0001573	snap_masked-AADM01000093.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.19&CDS=1-234	YHR001W-A
OG0001574	snap_masked-AADM01000093.1-processed-gene-1.52-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.52&CDS=1-2691	YKR009C
OG0001575	snap_masked-AADM01000093.1-processed-gene-1.53-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.53&CDS=1-1368	YBR288C
OG0001576	augustus_masked-AADM01000093.1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.103&CDS=1-2991	YBR290W
OG0001577	augustus_masked-AADM01000093.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.132&CDS=1-891	YBR291C
OG0001578	genemark-AADM01000093.1-processed-gene-1.186-mRNA-1_1&gene=genemark-AADM01000093.1-processed-gene-1.186&CDS=1-1074	YHR002W
OG0001579	snap_masked-AADM01000093.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.55&CDS=1-1344	YKL027W
OG0001580	snap_masked-AADM01000093.1-processed-gene-1.56-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.56&CDS=1-1416	YKL028W
OG0001581	snap_masked-AADM01000093.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.24&CDS=1-1959	YKL029C
OG0001582	snap_masked-AADM01000093.1-processed-gene-1.58-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.58&CDS=1-2346	YJL212C
OG0001583	snap_masked-AADM01000093.1-processed-gene-1.59-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.59&CDS=1-1239	YHR004C
OG0001584	snap_masked-AADM01000093.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.25&CDS=1-720	YMR069W
OG0001585	snap_masked-AADM01000093.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.26&CDS=1-1521	YMR070W
OG0001586	augustus_masked-AADM01000093.1-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.139&CDS=1-531	YMR071C
OG0001587	snap_masked-AADM01000093.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.28&CDS=1-1230	YKL032C
OG0001588	snap_masked-AADM01000093.1-processed-gene-1.62-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.62&CDS=1-594	YMR073C
OG0001589	genemark-AADM01000093.1-processed-gene-1.224-mRNA-1_1&gene=genemark-AADM01000093.1-processed-gene-1.224&CDS=1-411	YMR074C
OG0001590	snap_masked-AADM01000093.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.29&CDS=1-1893	YMR075W
OG0001591	snap_masked-AADM01000093.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.65&CDS=1-3801	YMR076C
OG0001592	snap_masked-AADM01000093.1-processed-gene-1.66-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.66&CDS=1-1914	YHL008C
OG0001593	snap_masked-AADM01000093.1-processed-gene-1.67-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.67&CDS=1-3123	YKL033W
OG0001594	augustus_masked-AADM01000093.1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.110&CDS=1-708	YKL033W-A
OG0001595	snap_masked-AADM01000093.1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.68&CDS=1-960	YHL011C
OG0001596	augustus_masked-AADM01000093.1-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-AADM01000093.1-processed-gene-1.147&CDS=1-1560	YHL010C
OG0001597	snap_masked-AADM01000093.1-processed-gene-1.70-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.70&CDS=1-2250	YKL034W
OG0001598	snap_masked-AADM01000093.1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.71&CDS=1-1497	YKL035W
OG0001599	snap_masked-AADM01000093.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.72&CDS=1-2910	YKL038W
OG0001600	maker-AADM01000093.1-augustus-gene-1.160-mRNA-1_1&gene=maker-AADM01000093.1-augustus-gene-1.160&CDS=1-2127	YHL014C
OG0001601	snap_masked-AADM01000093.1-processed-gene-1.73-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.73&CDS=1-354	YHL015W
OG0001602	snap_masked-AADM01000093.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.35&CDS=1-2163	YHL016C
OG0001603	snap_masked-AADM01000093.1-processed-gene-1.74-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.74&CDS=1-1458	YKL039W
OG0001604	snap_masked-AADM01000093.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.36&CDS=1-744	YKL040C
OG0001605	snap_masked-AADM01000093.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.75&CDS=1-327	YHL018W
OG0001606	snap_masked-AADM01000093.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.37&CDS=1-1515	YHL019C
OG0001607	snap_masked-AADM01000093.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.38&CDS=1-1119	YHL020C
OG0001608	snap_masked-AADM01000093.1-processed-gene-1.77-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.77&CDS=1-666	YKL041W
OG0001609	snap_masked-AADM01000093.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.39&CDS=1-3687	YMR012W
OG0001610	snap_masked-AADM01000093.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-AADM01000093.1-processed-gene-1.78&CDS=1-1500	YMR013C
OG0001611	snap_masked-AADM01000094.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000094.1-processed-gene-0.1&CDS=1-1479	YMR014W
OG0001612	snap_masked-AADM01000095.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000095.1-processed-gene-0.0&CDS=1-966	YMR015C
OG0001613	genemark-AADM01000096.1-processed-gene-0.3-mRNA-1_1&gene=genemark-AADM01000096.1-processed-gene-0.3&CDS=1-1764	YKL043W
OG0001614	snap_masked-AADM01000097.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000097.1-processed-gene-0.2&CDS=1-972	YKL042W
OG0001615	snap_masked-AADM01000098.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.0&CDS=1-1956	YMR019W
OG0001616	snap_masked-AADM01000098.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.7&CDS=1-1518	YKL045W
OG0001617	snap_masked-AADM01000098.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.1&CDS=1-1506	YMR020W
OG0001618	augustus_masked-AADM01000098.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-AADM01000098.1-processed-gene-0.36&CDS=1-1089	YMR021C
OG0001619	snap_masked-AADM01000098.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.9&CDS=1-1875	YKL047W
OG0001620	snap_masked-AADM01000098.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.3&CDS=1-333	YKL061W
OG0001621	snap_masked-AADM01000098.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.10&CDS=1-1476	YMR023C
OG0001622	snap_masked-AADM01000098.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.5&CDS=1-1119	YMR024W
OG0001623	snap_masked-AADM01000098.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.6&CDS=1-738	YMR025W
OG0001624	snap_masked-AADM01000098.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.11&CDS=1-1158	YMR026C
OG0001625	snap_masked-AADM01000098.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000098.1-processed-gene-0.12&CDS=1-1080	YKL060C
OG0001626	snap_masked-AADM01000099.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.22&CDS=1-1377	YMR027W
OG0001627	snap_masked-AADM01000099.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.24&CDS=1-1197	YKL059C
OG0001628	snap_masked-AADM01000099.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.23&CDS=1-1389	YMR028W
OG0001629	snap_masked-AADM01000099.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.25&CDS=1-3066	YKL057C
OG0001630	snap_masked-AADM01000099.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.26&CDS=1-1845	YMR029C
OG0001631	snap_masked-AADM01000099.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.27&CDS=1-501	YKL056C
OG0001632	snap_masked-AADM01000099.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.28&CDS=1-801	YKL055C
OG0001633	snap_masked-AADM01000099.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000099.1-processed-gene-0.29&CDS=1-2178	YKL054C
OG0001634	maker-AADM01000099.1-augustus-gene-0.11-mRNA-1_1&gene=maker-AADM01000099.1-augustus-gene-0.11&CDS=1-1011	YKL053C-A
OG0001635	snap_masked-AADM01000100.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.15&CDS=1-954	YKL051W
OG0001636	snap_masked-AADM01000100.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.21&CDS=1-2688	YMR031C
OG0001637	augustus_masked-AADM01000100.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-AADM01000100.1-processed-gene-0.30&CDS=1-1881	YMR032W
OG0001638	snap_masked-AADM01000100.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.22&CDS=1-222	YKL049C
OG0001639	snap_masked-AADM01000100.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.17&CDS=1-1368	YMR033W
OG0001640	augustus_masked-AADM01000100.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-AADM01000100.1-processed-gene-0.35&CDS=1-1266	YMR034C
OG0001641	genemark-AADM01000100.1-processed-gene-0.3-mRNA-1_1&gene=genemark-AADM01000100.1-processed-gene-0.3&CDS=1-528	YMR035W
OG0001642	snap_masked-AADM01000100.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.24&CDS=1-1617	YMR036C
OG0001643	snap_masked-AADM01000100.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.25&CDS=1-1776	YKL048C
OG0001644	snap_masked-AADM01000100.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.19&CDS=1-624	YKL063C
OG0001645	snap_masked-AADM01000100.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.27&CDS=1-3348	YKL064W
OG0001646	snap_masked-AADM01000100.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000100.1-processed-gene-0.28&CDS=1-801	YMR039C
OG0001647	augustus_masked-AADM01000100.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AADM01000100.1-processed-gene-0.33&CDS=1-1014	YMR041C
OG0001648	augustus_masked-AADM01000100.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-AADM01000100.1-processed-gene-0.42&CDS=1-615	YKL065C
OG0001649	augustus_masked-AADM01000101.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-AADM01000101.1-processed-gene-0.19&CDS=1-954	YNL097C
OG0001650	snap_masked-AADM01000101.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.11&CDS=1-876	YOR101W
OG0001651	augustus_masked-AADM01000101.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-AADM01000101.1-processed-gene-0.24&CDS=1-378	YOR103C
OG0001652	snap_masked-AADM01000101.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.12&CDS=1-615	YNL099C
OG0001653	snap_masked-AADM01000101.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.13&CDS=1-642	YOR104W
OG0001654	snap_masked-AADM01000101.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.15&CDS=1-717	YNL100W
OG0001655	snap_masked-AADM01000101.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.16&CDS=1-2160	YNL101W
OG0001656	snap_masked-AADM01000101.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.17&CDS=1-4374	YNL102W
OG0001657	snap_masked-AADM01000101.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.14&CDS=1-780	YOR106W
OG0001658	snap_masked-AADM01000101.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000101.1-processed-gene-0.18&CDS=1-1689	YNL103W
OG0001659	augustus_masked-AADM01000102.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-AADM01000102.1-processed-gene-0.29&CDS=1-1050	YOR107W
OG0001660	snap_masked-AADM01000102.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.1&CDS=1-1824	YNL104C
OG0001661	snap_masked-AADM01000102.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.2&CDS=1-3438	YOR109W
OG0001662	augustus_masked-AADM01000102.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-AADM01000102.1-processed-gene-0.45&CDS=1-642	YNL107W
OG0001663	augustus_masked-AADM01000102.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-AADM01000102.1-processed-gene-0.32&CDS=1-1254	YNL108C
OG0001664	snap_masked-AADM01000102.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.4&CDS=1-669	YOR111W
OG0001665	snap_masked-AADM01000102.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.5&CDS=1-657	YNL110C
OG0001666	snap_masked-AADM01000102.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.6&CDS=1-369	YNL111C
OG0001667	snap_masked-AADM01000102.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.7&CDS=1-2166	YOR112W
OG0001668	augustus_masked-AADM01000102.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-AADM01000102.1-processed-gene-0.46&CDS=1-2070	YNL112W
OG0001669	snap_masked-AADM01000102.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.17&CDS=1-972	YPL111W
OG0001670	snap_masked-AADM01000102.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.8&CDS=1-1191	YPL112C
OG0001671	snap_masked-AADM01000102.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.9&CDS=1-1152	YPL113C
OG0001672	snap_masked-AADM01000102.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.18&CDS=1-693	YOR194C
OG0001673	snap_masked-AADM01000102.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.10&CDS=1-2175	YOR195W
OG0001674	snap_masked-AADM01000102.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.11&CDS=1-3267	YPL115C
OG0001675	snap_masked-AADM01000102.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.19&CDS=1-1110	YOR196C
OG0001676	snap_masked-AADM01000102.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.22&CDS=1-2124	YPL116W
OG0001677	snap_masked-AADM01000102.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000102.1-processed-gene-0.12&CDS=1-1305	YOR197W
