	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0001492	snap_masked-NC_016451.1-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.90&CDS=1-1449	YNL062C
OG0001493	snap_masked-NC_016451.1-processed-gene-5.63-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.63&CDS=1-1818	YNL061W
OG0001494	snap_masked-NC_016451.1-processed-gene-5.91-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.91&CDS=1-2238	YNL059C
OG0001495	snap_masked-NC_016451.1-processed-gene-5.64-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.64&CDS=1-672	YIL118W
OG0001496	maker-NC_016451.1-snap-gene-5.1-mRNA-1_1&gene=maker-NC_016451.1-snap-gene-5.1&CDS=1-1686	YIL116W
OG0001497	snap_masked-NC_016451.1-processed-gene-5.92-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.92&CDS=1-4200	YIL115C
OG0001498	snap_masked-NC_016451.1-processed-gene-5.93-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.93&CDS=1-843	YNL055C
OG0001499	augustus_masked-NC_016451.1-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-5.23&CDS=1-3270	YNL054W
OG0001500	snap_masked-NC_016451.1-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.73&CDS=1-1140	YIL110W
OG0001501	snap_masked-NC_016451.1-processed-gene-5.74-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.74&CDS=1-1161	YNL051W
OG0001502	genemark-NC_016451.1-processed-gene-5.147-mRNA-1_1&gene=genemark-NC_016451.1-processed-gene-5.147&CDS=1-3348	YIL109C
OG0001503	snap_masked-NC_016451.1-processed-gene-5.75-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.75&CDS=1-2064	YIL108W
OG0001504	snap_masked-NC_016451.1-processed-gene-5.96-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.96&CDS=1-1878	YIL107C
OG0001505	augustus_masked-NC_016451.1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-5.29&CDS=1-894	YIL106W
OG0001506	augustus_masked-NC_016451.1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-5.30&CDS=1-1638	YNL048W
OG0001507	snap_masked-NC_016451.1-processed-gene-5.98-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.98&CDS=1-1821	YIL105C
OG0001508	snap_masked-NC_016451.1-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-5.78&CDS=1-2256	YNL045W
OG0001509	snap_masked-NC_016451.1-processed-gene-6.4-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.4&CDS=1-1128	YNL042W
OG0001510	snap_masked-NC_016451.1-processed-gene-6.6-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.6&CDS=1-1521	YIL104C
OG0001511	snap_masked-NC_016451.1-processed-gene-6.5-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.5&CDS=1-1281	YIL103W
OG0001512	snap_masked-NC_016451.1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.7&CDS=1-2436	YNL041C
OG0001513	snap_masked-NC_016451.1-processed-gene-6.8-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.8&CDS=1-2184	YIL101C
OG0001514	augustus_masked-NC_016451.1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-6.90&CDS=1-651	YNL036W
OG0001515	augustus_masked-NC_016451.1-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-6.65&CDS=1-1800	YIL099W
OG0001516	snap_masked-NC_016451.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.41&CDS=1-504	YIL098C
OG0001517	snap_masked-NC_016451.1-processed-gene-6.12-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.12&CDS=1-1086	YNL037C
OG0001518	snap_masked-NC_016451.1-processed-gene-6.13-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.13&CDS=1-1551	YIL097W
OG0001519	snap_masked-NC_016451.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.42&CDS=1-951	YIL096C
OG0001520	snap_masked-NC_016451.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.43&CDS=1-1722	YNL039W
OG0001521	snap_masked-NC_016451.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.44&CDS=1-1227	YNL035C
OG0001522	snap_masked-NC_016451.1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.14&CDS=1-216	YNL017C
OG0001523	snap_masked-NC_016451.1-processed-gene-6.45-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.45&CDS=1-2118	YNL021W
OG0001524	snap_masked-NC_016451.1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.16&CDS=1-1449	YNL022C
OG0001525	snap_masked-NC_016451.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.46&CDS=1-1098	YIL094C
OG0001526	snap_masked-NC_016451.1-processed-gene-6.17-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.17&CDS=1-2778	YNL023C
OG0001527	snap_masked-NC_016451.1-processed-gene-6.18-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.18&CDS=1-762	YNL024C
OG0001528	snap_masked-NC_016451.1-processed-gene-6.47-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.47&CDS=1-774	YIL093C
OG0001529	snap_masked-NC_016451.1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.19&CDS=1-216	YNL024C-A
OG0001530	snap_masked-NC_016451.1-processed-gene-6.48-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.48&CDS=1-2124	YIL091C
OG0001531	snap_masked-NC_016451.1-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.20&CDS=1-1641	YIL090W
OG0001532	genemark-NC_016451.1-processed-gene-6.121-mRNA-1_1&gene=genemark-NC_016451.1-processed-gene-6.121&CDS=1-1002	YNL025C
OG0001533	snap_masked-NC_016451.1-processed-gene-6.23-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.23&CDS=1-789	YNL032W
OG0001534	genemark-NC_016451.1-processed-gene-6.150-mRNA-1_1&gene=genemark-NC_016451.1-processed-gene-6.150&CDS=1-945	YIL084C
OG0001535	snap_masked-NC_016451.1-processed-gene-6.25-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.25&CDS=1-1680	YNL027W
OG0001536	snap_masked-NC_016451.1-processed-gene-6.26-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.26&CDS=1-1485	YNL026W
OG0001537	snap_masked-NC_016451.1-processed-gene-6.53-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.53&CDS=1-1080	YIL083C
OG0001538	snap_masked-NC_016451.1-processed-gene-6.27-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.27&CDS=1-1263	YNL016W
OG0001539	augustus_masked-NC_016451.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-6.79&CDS=1-2118	YDL122W
OG0001540	snap_masked-NC_016451.1-processed-gene-6.54-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.54&CDS=1-396	YDL121C
OG0001541	snap_masked-NC_016451.1-processed-gene-6.30-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.30&CDS=1-420	YDL120W
OG0001542	snap_masked-NC_016451.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.31&CDS=1-228	YNL015W
OG0001543	snap_masked-NC_016451.1-processed-gene-6.32-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.32&CDS=1-3255	YGL156W
OG0001544	snap_masked-NC_016451.1-processed-gene-6.33-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.33&CDS=1-1077	YGL155W
OG0001545	snap_masked-NC_016451.1-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.55&CDS=1-882	YDL119C
OG0001546	snap_masked-NC_016451.1-processed-gene-6.56-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.56&CDS=1-783	YGL154C
OG0001547	snap_masked-NC_016451.1-processed-gene-6.34-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.34&CDS=1-1029	YGL153W
OG0001548	augustus_masked-NC_016451.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-6.85&CDS=1-3294	YGL151W
OG0001549	snap_masked-NC_016451.1-processed-gene-6.57-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.57&CDS=1-4446	YGL150C
OG0001550	snap_masked-NC_016451.1-processed-gene-6.36-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.36&CDS=1-468	YDL110C
OG0001551	snap_masked-NC_016451.1-processed-gene-6.37-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.37&CDS=1-741	YGL146C
OG0001552	snap_masked-NC_016451.1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.38&CDS=1-786	YDL111C
OG0001553	snap_masked-NC_016451.1-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-6.58&CDS=1-4227	YDL112W
OG0001554	genemark-NC_016451.1-processed-gene-6.137-mRNA-1_1&gene=genemark-NC_016451.1-processed-gene-6.137&CDS=1-1935	YDL113C
OG0001555	augustus_masked-NC_016451.1-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-6.107&CDS=1-942	YDL114W
OG0001556	augustus_masked-NC_016451.1-processed-gene-7.54-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.54&CDS=1-1017	YDL115C
OG0001557	snap_masked-NC_016451.1-processed-gene-7.8-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.8&CDS=1-2178	YDL116W
OG0001558	snap_masked-NC_016451.1-processed-gene-7.9-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.9&CDS=1-2718	YDL117W
OG0001559	snap_masked-NC_016451.1-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.10&CDS=1-1128	YGL148W
OG0001560	augustus_masked-NC_016451.1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.60&CDS=1-2007	YGL145W
OG0001561	snap_masked-NC_016451.1-processed-gene-7.12-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.12&CDS=1-918	YDL108W
OG0001562	snap_masked-NC_016451.1-processed-gene-7.13-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.13&CDS=1-1164	YDL107W
OG0001563	snap_masked-NC_016451.1-processed-gene-7.37-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.37&CDS=1-1788	YGL142C
OG0001564	augustus_masked-NC_016451.1-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.63&CDS=1-4404	YMR171C
OG0001565	snap_masked-NC_016451.1-processed-gene-7.38-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.38&CDS=1-1473	YDL106C
OG0001566	augustus_masked-NC_016451.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.65&CDS=1-1794	YMR168C
OG0001567	augustus_masked-NC_016451.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.88&CDS=1-5598	YMR167W
OG0001568	snap_masked-NC_016451.1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.17&CDS=1-1008	YKL019W
OG0001569	snap_masked-NC_016451.1-processed-gene-7.18-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.18&CDS=1-1068	YIR026C
OG0001570	snap_masked-NC_016451.1-processed-gene-7.19-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.19&CDS=1-981	YKL018W
OG0001571	maker-NC_016451.1-augustus-gene-7.107-mRNA-1_1&gene=maker-NC_016451.1-augustus-gene-7.107&CDS=1-2526	YKL017C
OG0001572	snap_masked-NC_016451.1-processed-gene-7.20-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.20&CDS=1-2541	YKL015W
OG0001573	augustus_masked-NC_016451.1-processed-gene-7.92-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.92&CDS=1-5109	YKL014C
OG0001574	augustus_masked-NC_016451.1-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.70&CDS=1-681	YIR024C
OG0001575	snap_masked-NC_016451.1-processed-gene-7.44-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.44&CDS=1-3036	YIR023W
OG0001576	snap_masked-NC_016451.1-processed-gene-7.45-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.45&CDS=1-513	YKL013C
OG0001577	snap_masked-NC_016451.1-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.21&CDS=1-1725	YKL012W
OG0001578	snap_masked-NC_016451.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.46&CDS=1-504	YIR022W
OG0001579	snap_masked-NC_016451.1-processed-gene-7.22-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.22&CDS=1-678	YMR090W
OG0001580	augustus_masked-NC_016451.1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.96&CDS=1-1167	YKL011C
OG0001581	augustus_masked-NC_016451.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.74&CDS=1-1710	YKL088W
OG0001582	snap_masked-NC_016451.1-processed-gene-7.25-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.25&CDS=1-264	YHR005C-A
OG0001583	maker-NC_016451.1-snap-gene-7.4-mRNA-1_1&gene=maker-NC_016451.1-snap-gene-7.4&CDS=1-717	YKL087C
OG0001584	snap_masked-NC_016451.1-processed-gene-7.26-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.26&CDS=1-1368	YHR005C
OG0001585	snap_masked-NC_016451.1-processed-gene-7.28-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.28&CDS=1-408	YKL084W
OG0001586	snap_masked-NC_016451.1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.49&CDS=1-1308	YMR068W
OG0001587	augustus_masked-NC_016451.1-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.78&CDS=1-1257	YMR067C
OG0001588	augustus_masked-NC_016451.1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-7.99&CDS=1-2610	YMR066W
OG0001589	snap_masked-NC_016451.1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.51&CDS=1-1290	YKL082C
OG0001590	maker-NC_016451.1-augustus-gene-7.104-mRNA-1_1&gene=maker-NC_016451.1-augustus-gene-7.104&CDS=1-1224	YPL048W
OG0001591	snap_masked-NC_016451.1-processed-gene-7.31-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.31&CDS=1-1176	YKL080W
OG0001592	snap_masked-NC_016451.1-processed-gene-7.33-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.33&CDS=1-870	YJL208C
OG0001593	snap_masked-NC_016451.1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.52&CDS=1-1428	YMR065W
OG0001594	snap_masked-NC_016451.1-processed-gene-7.53-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.53&CDS=1-723	YMR063W
OG0001595	snap_masked-NC_016451.1-processed-gene-8.55-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.55&CDS=1-1656	YDR536W
OG0001596	snap_masked-NC_016451.1-processed-gene-8.56-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.56&CDS=1-1332	YMR062C
OG0001597	snap_masked-NC_016451.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.59&CDS=1-1989	YMR061W
OG0001598	augustus_masked-NC_016451.1-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.108&CDS=1-882	YMR060C
OG0001599	snap_masked-NC_016451.1-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.60&CDS=1-330	YMR059W
OG0001600	snap_masked-NC_016451.1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.58&CDS=1-1167	YKL077W
OG0001601	snap_masked-NC_016451.1-processed-gene-8.89-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.89&CDS=1-1284	YKL075C
OG0001602	snap_masked-NC_016451.1-processed-gene-8.61-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.61&CDS=1-924	YMR055C
OG0001603	augustus_masked-NC_016451.1-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.136&CDS=1-1815	YKL074C
OG0001604	snap_masked-NC_016451.1-processed-gene-8.62-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.62&CDS=1-1677	YBR132C
OG0001605	snap_masked-NC_016451.1-processed-gene-8.92-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.92&CDS=1-2004	YBR131W
OG0001606	snap_masked-NC_016451.1-processed-gene-8.64-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.64&CDS=1-1608	YPR088C
OG0001607	snap_masked-NC_016451.1-processed-gene-8.65-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.65&CDS=1-1458	YBR130C
OG0001608	augustus_masked-NC_016451.1-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.116&CDS=1-1059	YBR129C
OG0001609	augustus_masked-NC_016451.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.117&CDS=1-1167	YPR085C
OG0001610	augustus_masked-NC_016451.1-processed-gene-8.138-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.138&CDS=1-1395	YPR084W
OG0001611	augustus_masked-NC_016451.1-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.118&CDS=1-2376	YBR127C
OG0001612	augustus_masked-NC_016451.1-processed-gene-8.139-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.139&CDS=1-1638	YPR083W
OG0001613	snap_masked-NC_016451.1-processed-gene-8.70-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.70&CDS=1-1500	YBR126C
OG0001614	snap_masked-NC_016451.1-processed-gene-8.71-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.71&CDS=1-1296	YBR125C
OG0001615	snap_masked-NC_016451.1-processed-gene-8.72-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.72&CDS=1-1830	YBR123C
OG0001616	snap_masked-NC_016451.1-processed-gene-8.73-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.73&CDS=1-513	YBR122C
OG0001617	snap_masked-NC_016451.1-processed-gene-8.74-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.74&CDS=1-429	YPR082C
OG0001618	snap_masked-NC_016451.1-processed-gene-8.75-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.75&CDS=1-1974	YBR121C
OG0001619	snap_masked-NC_016451.1-processed-gene-8.76-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.76&CDS=1-468	YBR120C
OG0001620	snap_masked-NC_016451.1-processed-gene-8.95-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.95&CDS=1-915	YBR119W
OG0001621	maker-NC_016451.1-snap-gene-8.51-mRNA-1_1&gene=maker-NC_016451.1-snap-gene-8.51&CDS=1-1110	YPR079W
OG0001622	augustus_masked-NC_016451.1-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.126&CDS=1-1128	YPR075C
OG0001623	snap_masked-NC_016451.1-processed-gene-8.80-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.80&CDS=1-2040	YPR074C
OG0001624	snap_masked-NC_016451.1-processed-gene-8.81-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.81&CDS=1-471	YPR073C
OG0001625	snap_masked-NC_016451.1-processed-gene-8.97-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.97&CDS=1-1524	YPR072W
OG0001626	snap_masked-NC_016451.1-processed-gene-8.82-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.82&CDS=1-4167	YBR115C
OG0001627	snap_masked-NC_016451.1-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.98&CDS=1-2304	YBR114W
OG0001628	augustus_masked-NC_016451.1-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-8.130&CDS=1-3345	YBR112C
OG0001629	snap_masked-NC_016451.1-processed-gene-8.99-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.99&CDS=1-297	YBR111W-A
OG0001630	snap_masked-NC_016451.1-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.84&CDS=1-633	YBR111C
OG0001631	snap_masked-NC_016451.1-processed-gene-8.100-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.100&CDS=1-1308	YPR070W
OG0001632	snap_masked-NC_016451.1-processed-gene-8.101-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.101&CDS=1-1338	YBR110W
OG0001633	snap_masked-NC_016451.1-processed-gene-8.86-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.86&CDS=1-441	YBR109C
OG0001634	snap_masked-NC_016451.1-processed-gene-9.40-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.40&CDS=1-1020	YBR105C
OG0001635	snap_masked-NC_016451.1-processed-gene-9.41-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.41&CDS=1-336	YPR063C
OG0001636	snap_masked-NC_016451.1-processed-gene-9.42-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.42&CDS=1-759	YPR061C
OG0001637	snap_masked-NC_016451.1-processed-gene-9.43-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.43&CDS=1-765	YPR060C
OG0001638	snap_masked-NC_016451.1-processed-gene-9.46-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.46&CDS=1-969	YPR057W
OG0001639	augustus_masked-NC_016451.1-processed-gene-9.92-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.92&CDS=1-2502	YPR056W
OG0001640	snap_masked-NC_016451.1-processed-gene-9.45-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.45&CDS=1-2097	YBR102C
OG0001641	snap_masked-NC_016451.1-processed-gene-9.49-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.49&CDS=1-867	YBR101C
OG0001642	snap_masked-NC_016451.1-processed-gene-9.67-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.67&CDS=1-2217	YBR098W
OG0001643	augustus_masked-NC_016451.1-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.111&CDS=1-3012	YPR055W
OG0001644	snap_masked-NC_016451.1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.69&CDS=1-4233	YBR097W
OG0001645	snap_masked-NC_016451.1-processed-gene-9.50-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.50&CDS=1-1116	YBR095C
OG0001646	augustus_masked-NC_016451.1-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.114&CDS=1-2214	YBR094W
OG0001647	snap_masked-NC_016451.1-processed-gene-9.51-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.51&CDS=1-306	YBR091C
OG0001648	augustus_masked-NC_016451.1-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.96&CDS=1-4521	YIL068C
OG0001649	augustus_masked-NC_016451.1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.115&CDS=1-360	YER071C
OG0001650	snap_masked-NC_016451.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.54&CDS=1-372	YER072W
OG0001651	maker-NC_016451.1-snap-gene-9.124-mRNA-1_1&gene=maker-NC_016451.1-snap-gene-9.124&CDS=1-249	YER074W-A
OG0001652	snap_masked-NC_016451.1-processed-gene-9.72-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.72&CDS=1-2436	YER075C
OG0001653	augustus_masked-NC_016451.1-processed-gene-9.100-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.100&CDS=1-246	YER180C-A
OG0001654	augustus_masked-NC_016451.1-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.117&CDS=1-915	YDR106W
OG0001655	snap_masked-NC_016451.1-processed-gene-9.59-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.59&CDS=1-1236	YDR105C
OG0001656	maker-NC_016451.1-augustus-gene-9.86-mRNA-1_1&gene=maker-NC_016451.1-augustus-gene-9.86&CDS=1-2784	YER179W
OG0001657	snap_masked-NC_016451.1-processed-gene-9.60-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.60&CDS=1-1236	YER178W
OG0001658	augustus_masked-NC_016451.1-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.104&CDS=1-2457	YDR103W
OG0001659	augustus_masked-NC_016451.1-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.119&CDS=1-3612	YDR104C
OG0001660	snap_masked-NC_016451.1-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.77&CDS=1-423	YDR100W
OG0001661	augustus_masked-NC_016451.1-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-9.120&CDS=1-753	YER177W
OG0001662	snap_masked-NC_016451.1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.62&CDS=1-735	YDR098C
OG0001663	snap_masked-NC_016451.1-processed-gene-9.79-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-9.79&CDS=1-1908	YER173W
