	Metschnikowia_proteae	Saccharomyces_cerevisiae
OG0001496	genemark-proT_s16-processed-gene-0.44-mRNA-1_1&gene=genemark-proT_s16-processed-gene-0.44&CDS=1-1494	YPR133C
OG0001497	snap_masked-proT_s16-processed-gene-0.75-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.75&CDS=1-867	YPR129W
OG0001498	snap_masked-proT_s16-processed-gene-0.80-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.80&CDS=1-630	YOR115C
OG0001499	snap_masked-proT_s16-processed-gene-0.117-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.117&CDS=1-1050	YDL115C
OG0001500	snap_masked-proT_s16-processed-gene-0.82-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.82&CDS=1-837	YDL114W
OG0001501	snap_masked-proT_s16-processed-gene-0.119-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.119&CDS=1-1290	YMR062C
OG0001502	snap_masked-proT_s16-processed-gene-0.83-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.83&CDS=1-444	YKL167C
OG0001503	augustus_masked-proT_s16-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-proT_s16-processed-gene-0.194&CDS=1-2073	YMR075W
OG0001504	snap_masked-proT_s16-processed-gene-0.85-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.85&CDS=1-780	YEL021W
OG0001505	snap_masked-proT_s16-processed-gene-0.122-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.122&CDS=1-1002	YJL053W
OG0001506	snap_masked-proT_s16-processed-gene-0.87-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.87&CDS=1-4032	YLR309C
OG0001507	snap_masked-proT_s16-processed-gene-0.88-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.88&CDS=1-831	YGL050W
OG0001508	snap_masked-proT_s16-processed-gene-0.125-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.125&CDS=1-1158	YNR041C
OG0001509	snap_masked-proT_s16-processed-gene-0.126-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.126&CDS=1-381	YDL008W
OG0001510	snap_masked-proT_s16-processed-gene-0.127-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.127&CDS=1-2061	YDL141W
OG0001511	snap_masked-proT_s16-processed-gene-0.90-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.90&CDS=1-1062	YHR034C
OG0001512	snap_masked-proT_s16-processed-gene-0.92-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.92&CDS=1-1365	YKL143W
OG0001513	snap_masked-proT_s16-processed-gene-0.94-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.94&CDS=1-1092	YLR216C
OG0001514	snap_masked-proT_s16-processed-gene-0.128-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.128&CDS=1-561	YOL008W
OG0001515	genemark-proT_s16-processed-gene-0.60-mRNA-1_1&gene=genemark-proT_s16-processed-gene-0.60&CDS=1-2871	YBL015W
OG0001516	snap_masked-proT_s16-processed-gene-0.98-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.98&CDS=1-288	YOR265W
OG0001517	genemark-proT_s16-processed-gene-0.62-mRNA-1_1&gene=genemark-proT_s16-processed-gene-0.62&CDS=1-972	YOR262W
OG0001518	snap_masked-proT_s16-processed-gene-0.99-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.99&CDS=1-963	YOR261C
OG0001519	augustus_masked-proT_s16-processed-gene-0.174-mRNA-1_1&gene=augustus_masked-proT_s16-processed-gene-0.174&CDS=1-2379	YNL085W
OG0001520	snap_masked-proT_s16-processed-gene-0.134-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.134&CDS=1-2037	YHR042W
OG0001521	genemark-proT_s16-processed-gene-0.32-mRNA-1_1&gene=genemark-proT_s16-processed-gene-0.32&CDS=1-2595	YER070W
OG0001522	snap_masked-proT_s16-processed-gene-0.103-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.103&CDS=1-2319	YJL212C
OG0001523	maker-proT_s16-augustus-gene-0.144-mRNA-1_1&gene=maker-proT_s16-augustus-gene-0.144&CDS=1-2073	YIL067C
OG0001524	snap_masked-proT_s16-processed-gene-0.136-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.136&CDS=1-1173	YJR076C
OG0001525	snap_masked-proT_s16-processed-gene-0.106-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.106&CDS=1-690	YJR144W
OG0001526	snap_masked-proT_s16-processed-gene-0.107-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.107&CDS=1-546	YGR082W
OG0001527	snap_masked-proT_s16-processed-gene-0.108-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.108&CDS=1-1071	YJR139C
OG0001528	genemark-proT_s16-processed-gene-0.67-mRNA-1_1&gene=genemark-proT_s16-processed-gene-0.67&CDS=1-5361	YJR138W
OG0001529	augustus_masked-proT_s16-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-proT_s16-processed-gene-0.211&CDS=1-4659	YAL024C
OG0001530	snap_masked-proT_s16-processed-gene-0.110-mRNA-1_1&gene=snap_masked-proT_s16-processed-gene-0.110&CDS=1-2847	YPR104C
OG0001531	snap_masked-proT_s170-processed-gene-0.55-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.55&CDS=1-1212	YPL001W
OG0001532	snap_masked-proT_s170-processed-gene-0.56-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.56&CDS=1-5475	YBR208C
OG0001533	snap_masked-proT_s170-processed-gene-0.57-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.57&CDS=1-2139	YHL016C
OG0001534	snap_masked-proT_s170-processed-gene-0.58-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.58&CDS=1-1803	YLR417W
OG0001535	snap_masked-proT_s170-processed-gene-0.40-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.40&CDS=1-1026	YKL189W
OG0001536	genemark-proT_s170-processed-gene-0.99-mRNA-1_1&gene=genemark-proT_s170-processed-gene-0.99&CDS=1-1191	YJR148W
OG0001537	augustus_masked-proT_s170-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-proT_s170-processed-gene-0.23&CDS=1-2364	YHR204W
OG0001538	maker-proT_s170-augustus-gene-0.39-mRNA-1_1&gene=maker-proT_s170-augustus-gene-0.39&CDS=1-3237	YNL256W
OG0001539	snap_masked-proT_s170-processed-gene-0.41-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.41&CDS=1-1350	YFR034C
OG0001540	genemark-proT_s170-processed-gene-0.83-mRNA-1_1&gene=genemark-proT_s170-processed-gene-0.83&CDS=1-789	YKL144C
OG0001541	genemark-proT_s170-processed-gene-0.103-mRNA-1_1&gene=genemark-proT_s170-processed-gene-0.103&CDS=1-1335	YKL145W
OG0001542	snap_masked-proT_s170-processed-gene-0.69-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.69&CDS=1-690	YDR296W
OG0001543	snap_masked-proT_s170-processed-gene-0.44-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.44&CDS=1-1731	YHR078W
OG0001544	snap_masked-proT_s170-processed-gene-0.46-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.46&CDS=1-1962	YBR121C
OG0001545	snap_masked-proT_s170-processed-gene-0.70-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.70&CDS=1-2118	YCL057W
OG0001546	snap_masked-proT_s170-processed-gene-0.72-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.72&CDS=1-1488	YPL092W
OG0001547	snap_masked-proT_s170-processed-gene-0.48-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.48&CDS=1-4275	YHR186C
OG0001548	snap_masked-proT_s170-processed-gene-0.49-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.49&CDS=1-1113	YGR257C
OG0001549	snap_masked-proT_s170-processed-gene-0.75-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.75&CDS=1-654	YGR235C
OG0001550	snap_masked-proT_s170-processed-gene-0.50-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.50&CDS=1-2463	YKL155C
OG0001551	snap_masked-proT_s170-processed-gene-0.51-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.51&CDS=1-1005	YDR306C
OG0001552	genemark-proT_s170-processed-gene-0.112-mRNA-1_1&gene=genemark-proT_s170-processed-gene-0.112&CDS=1-480	YDR308C
OG0001553	snap_masked-proT_s170-processed-gene-0.53-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.53&CDS=1-570	YDR313C
OG0001554	snap_masked-proT_s170-processed-gene-0.78-mRNA-1_1&gene=snap_masked-proT_s170-processed-gene-0.78&CDS=1-1443	YHR065C
OG0001555	snap_masked-proT_s188-processed-gene-0.61-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.61&CDS=1-1656	YIL166C
OG0001556	augustus_masked-proT_s188-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-0.16&CDS=1-2406	YDR402C
OG0001557	snap_masked-proT_s188-processed-gene-0.63-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.63&CDS=1-1689	YLL035W
OG0001558	snap_masked-proT_s188-processed-gene-0.79-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.79&CDS=1-2607	YCR030C
OG0001559	snap_masked-proT_s188-processed-gene-0.65-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.65&CDS=1-1518	YNL142W
OG0001560	maker-proT_s188-augustus-gene-0.91-mRNA-1_1&gene=maker-proT_s188-augustus-gene-0.91&CDS=1-5796	YGL130W
OG0001561	snap_masked-proT_s188-processed-gene-0.80-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.80&CDS=1-390	YNL153C
OG0001562	snap_masked-proT_s188-processed-gene-0.81-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.81&CDS=1-1251	YGR111W
OG0001563	snap_masked-proT_s188-processed-gene-0.70-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.70&CDS=1-1749	YML054C
OG0001564	snap_masked-proT_s188-processed-gene-0.83-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.83&CDS=1-1674	YDR536W
OG0001565	snap_masked-proT_s188-processed-gene-0.84-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.84&CDS=1-1842	YLR023C
OG0001566	snap_masked-proT_s188-processed-gene-0.86-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.86&CDS=1-2796	YPR097W
OG0001567	maker-proT_s188-snap-gene-0.0-mRNA-1_1&gene=maker-proT_s188-snap-gene-0.0&CDS=1-1617	YNR053C
OG0001568	genemark-proT_s188-processed-gene-0.57-mRNA-1_1&gene=genemark-proT_s188-processed-gene-0.57&CDS=1-1482	YNR052C
OG0001569	snap_masked-proT_s188-processed-gene-0.89-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.89&CDS=1-1806	YPR190C
OG0001570	snap_masked-proT_s188-processed-gene-0.73-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.73&CDS=1-4170	YPR189W
OG0001571	snap_masked-proT_s188-processed-gene-0.74-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.74&CDS=1-2256	YPR185W
OG0001572	snap_masked-proT_s188-processed-gene-0.75-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.75&CDS=1-1479	YEL052W
OG0001573	snap_masked-proT_s188-processed-gene-0.76-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.76&CDS=1-1683	YGR002C
OG0001574	snap_masked-proT_s188-processed-gene-1.108-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.108&CDS=1-2535	YAR002W
OG0001575	snap_masked-proT_s188-processed-gene-1.109-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.109&CDS=1-1050	YGL001C
OG0001576	snap_masked-proT_s188-processed-gene-1.113-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.113&CDS=1-873	YGR280C
OG0001577	snap_masked-proT_s188-processed-gene-1.114-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.114&CDS=1-3663	YAL001C
OG0001578	snap_masked-proT_s188-processed-gene-1.111-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.111&CDS=1-714	YGR001C
OG0001579	maker-proT_s188-snap-gene-1.52-mRNA-1_1&gene=maker-proT_s188-snap-gene-1.52&CDS=1-630	YAL003W
OG0001580	snap_masked-proT_s188-processed-gene-1.116-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.116&CDS=1-1929	YER005W
OG0001581	snap_masked-proT_s188-processed-gene-1.118-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.118&CDS=1-1515	YER006W
OG0001582	snap_masked-proT_s188-processed-gene-1.119-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.119&CDS=1-1398	YER007W
OG0001583	snap_masked-proT_s188-processed-gene-1.138-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.138&CDS=1-543	YER007C-A
OG0001584	snap_masked-proT_s188-processed-gene-1.139-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.139&CDS=1-2997	YIR002C
OG0001585	snap_masked-proT_s188-processed-gene-1.141-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.141&CDS=1-2841	YOR005C
OG0001586	snap_masked-proT_s188-processed-gene-1.142-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.142&CDS=1-1659	YOR067C
OG0001587	snap_masked-proT_s188-processed-gene-1.123-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.123&CDS=1-1083	YGL243W
OG0001588	snap_masked-proT_s188-processed-gene-1.143-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.143&CDS=1-504	YGL242C
OG0001589	snap_masked-proT_s188-processed-gene-1.124-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.124&CDS=1-696	YJL121C
OG0001590	snap_masked-proT_s188-processed-gene-1.144-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.144&CDS=1-471	YJL122W
OG0001591	snap_masked-proT_s188-processed-gene-1.145-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.145&CDS=1-630	YOL032W
OG0001592	snap_masked-proT_s188-processed-gene-1.146-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.146&CDS=1-1071	YAL020C
OG0001593	snap_masked-proT_s188-processed-gene-1.126-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.126&CDS=1-3090	YAL019W
OG0001594	snap_masked-proT_s188-processed-gene-1.129-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.129&CDS=1-1158	YPL146C
OG0001595	snap_masked-proT_s188-processed-gene-1.150-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.150&CDS=1-2808	YOR217W
OG0001596	snap_masked-proT_s188-processed-gene-1.151-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.151&CDS=1-2577	YOR216C
OG0001597	snap_masked-proT_s188-processed-gene-1.154-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.154&CDS=1-1431	YJL091C
OG0001598	snap_masked-proT_s188-processed-gene-1.130-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.130&CDS=1-1002	YAL009W
OG0001599	genemark-proT_s188-processed-gene-1.22-mRNA-1_1&gene=genemark-proT_s188-processed-gene-1.22&CDS=1-624	YPR107C
OG0001600	snap_masked-proT_s188-processed-gene-1.155-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.155&CDS=1-2580	YPR105C
OG0001601	genemark-proT_s188-processed-gene-1.47-mRNA-1_1&gene=genemark-proT_s188-processed-gene-1.47&CDS=1-1464	YNL239W
OG0001602	snap_masked-proT_s188-processed-gene-1.156-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.156&CDS=1-1323	YOL041C
OG0001603	snap_masked-proT_s188-processed-gene-1.133-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.133&CDS=1-1791	YAL013W
OG0001604	snap_masked-proT_s188-processed-gene-1.134-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.134&CDS=1-1554	YLR330W
OG0001605	snap_masked-proT_s188-processed-gene-1.157-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.157&CDS=1-372	YGR020C
OG0001606	snap_masked-proT_s188-processed-gene-1.135-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.135&CDS=1-822	YGR021W
OG0001607	genemark-proT_s188-processed-gene-1.50-mRNA-1_1&gene=genemark-proT_s188-processed-gene-1.50&CDS=1-1218	YPR011C
OG0001608	snap_masked-proT_s188-processed-gene-1.160-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.160&CDS=1-1410	YGR019W
OG0001609	snap_masked-proT_s188-processed-gene-1.136-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-1.136&CDS=1-2193	YPL128C
OG0001610	genemark-proT_s188-processed-gene-1.28-mRNA-1_1&gene=genemark-proT_s188-processed-gene-1.28&CDS=1-1182	YOR212W
OG0001611	snap_masked-proT_s188-processed-gene-2.54-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.54&CDS=1-720	YPL129W
OG0001612	snap_masked-proT_s188-processed-gene-2.55-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.55&CDS=1-513	YOR215C
OG0001613	snap_masked-proT_s188-processed-gene-2.56-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.56&CDS=1-615	YOR236W
OG0001614	genemark-proT_s188-processed-gene-2.105-mRNA-1_1&gene=genemark-proT_s188-processed-gene-2.105&CDS=1-876	YPL127C
OG0001615	snap_masked-proT_s188-processed-gene-2.53-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.53&CDS=1-258	YER058W
OG0001616	maker-proT_s188-augustus-gene-2.49-mRNA-1_1&gene=maker-proT_s188-augustus-gene-2.49&CDS=1-2151	YER016W
OG0001617	genemark-proT_s188-processed-gene-2.129-mRNA-1_1&gene=genemark-proT_s188-processed-gene-2.129&CDS=1-810	YER050C
OG0001618	snap_masked-proT_s188-processed-gene-2.83-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.83&CDS=1-2127	YPL043W
OG0001619	snap_masked-proT_s188-processed-gene-2.62-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.62&CDS=1-1380	YDR254W
OG0001620	snap_masked-proT_s188-processed-gene-2.84-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.84&CDS=1-2799	YPL045W
OG0001621	snap_masked-proT_s188-processed-gene-2.63-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.63&CDS=1-282	YPL046C
OG0001622	snap_masked-proT_s188-processed-gene-2.64-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.64&CDS=1-1719	YDR255C
OG0001623	snap_masked-proT_s188-processed-gene-2.65-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.65&CDS=1-1656	YPL030W
OG0001624	snap_masked-proT_s188-processed-gene-2.66-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.66&CDS=1-1251	YPL031C
OG0001625	snap_masked-proT_s188-processed-gene-2.86-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.86&CDS=1-1653	YER065C
OG0001626	snap_masked-proT_s188-processed-gene-2.67-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.67&CDS=1-915	YMR010W
OG0001627	snap_masked-proT_s188-processed-gene-2.87-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.87&CDS=1-1329	YDL020C
OG0001628	snap_masked-proT_s188-processed-gene-2.68-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.68&CDS=1-645	YPL067C
OG0001629	snap_masked-proT_s188-processed-gene-2.93-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.93&CDS=1-1929	YLL024C
OG0001630	snap_masked-proT_s188-processed-gene-2.94-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.94&CDS=1-801	YLL023C
OG0001631	maker-proT_s188-augustus-gene-2.51-mRNA-1_1&gene=maker-proT_s188-augustus-gene-2.51&CDS=1-1854	YLR314C
OG0001632	genemark-proT_s188-processed-gene-2.118-mRNA-1_1&gene=genemark-proT_s188-processed-gene-2.118&CDS=1-792	YLR421C
OG0001633	snap_masked-proT_s188-processed-gene-2.71-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.71&CDS=1-3279	YGL179C
OG0001634	snap_masked-proT_s188-processed-gene-2.97-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.97&CDS=1-2490	YGL180W
OG0001635	snap_masked-proT_s188-processed-gene-2.72-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.72&CDS=1-9330	YLL040C
OG0001636	augustus_masked-proT_s188-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-2.41&CDS=1-1047	YBL013W
OG0001637	snap_masked-proT_s188-processed-gene-2.76-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.76&CDS=1-2103	YGL026C
OG0001638	snap_masked-proT_s188-processed-gene-2.77-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.77&CDS=1-3087	YDL095W
OG0001639	snap_masked-proT_s188-processed-gene-2.78-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-2.78&CDS=1-3498	YIL030C
OG0001640	genemark-proT_s188-processed-gene-2.146-mRNA-1_1&gene=genemark-proT_s188-processed-gene-2.146&CDS=1-1050	YGL047W
OG0001641	augustus_masked-proT_s188-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-3.0&CDS=1-10452	YML080W
OG0001642	maker-proT_s188-augustus-gene-3.134-mRNA-1_1&gene=maker-proT_s188-augustus-gene-3.134&CDS=1-1383	YNR054C
OG0001643	genemark-proT_s188-processed-gene-3.140-mRNA-1_1&gene=genemark-proT_s188-processed-gene-3.140&CDS=1-3297	YLL034C
OG0001644	snap_masked-proT_s188-processed-gene-3.106-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.106&CDS=1-900	YLR351C
OG0001645	snap_masked-proT_s188-processed-gene-3.76-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.76&CDS=1-1845	YPL222W
OG0001646	snap_masked-proT_s188-processed-gene-3.109-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.109&CDS=1-870	YER118C
OG0001647	snap_masked-proT_s188-processed-gene-3.112-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.112&CDS=1-1239	YBL091C
OG0001648	snap_masked-proT_s188-processed-gene-3.78-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.78&CDS=1-1800	YNL048W
OG0001649	snap_masked-proT_s188-processed-gene-3.79-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.79&CDS=1-2703	YGL137W
OG0001650	snap_masked-proT_s188-processed-gene-3.115-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.115&CDS=1-1455	YKR072C
OG0001651	maker-proT_s188-snap-gene-3.62-mRNA-1_1&gene=maker-proT_s188-snap-gene-3.62&CDS=1-1227	YPL048W
OG0001652	snap_masked-proT_s188-processed-gene-3.84-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.84&CDS=1-1107	YPL050C
OG0001653	snap_masked-proT_s188-processed-gene-3.85-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.85&CDS=1-1908	YPL093W
OG0001654	snap_masked-proT_s188-processed-gene-3.87-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.87&CDS=1-312	YGL080W
OG0001655	snap_masked-proT_s188-processed-gene-3.88-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.88&CDS=1-690	YIR030C
OG0001656	snap_masked-proT_s188-processed-gene-3.89-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.89&CDS=1-879	YPL196W
OG0001657	snap_masked-proT_s188-processed-gene-3.117-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.117&CDS=1-1818	YGL125W
OG0001658	snap_masked-proT_s188-processed-gene-3.118-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.118&CDS=1-4281	YOR336W
OG0001659	snap_masked-proT_s188-processed-gene-3.90-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.90&CDS=1-2910	YGR047C
OG0001660	snap_masked-proT_s188-processed-gene-3.91-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.91&CDS=1-519	YAL033W
OG0001661	snap_masked-proT_s188-processed-gene-3.93-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.93&CDS=1-1410	YMR283C
OG0001662	maker-proT_s188-augustus-gene-3.133-mRNA-1_1&gene=maker-proT_s188-augustus-gene-3.133&CDS=1-2388	YBR236C
OG0001663	augustus_masked-proT_s188-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-3.51&CDS=1-1272	YOL065C
OG0001664	snap_masked-proT_s188-processed-gene-3.96-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.96&CDS=1-1515	YDL030W
OG0001665	snap_masked-proT_s188-processed-gene-3.97-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.97&CDS=1-1731	YOL066C
OG0001666	augustus_masked-proT_s188-processed-gene-3.52-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-3.52&CDS=1-1551	YNL294C
OG0001667	snap_masked-proT_s188-processed-gene-3.122-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.122&CDS=1-2277	YDL040C
OG0001668	snap_masked-proT_s188-processed-gene-3.124-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.124&CDS=1-1719	YOR027W
OG0001669	snap_masked-proT_s188-processed-gene-3.125-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.125&CDS=1-1011	YHL009C
OG0001670	snap_masked-proT_s188-processed-gene-3.100-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.100&CDS=1-1164	YIL044C
OG0001671	snap_masked-proT_s188-processed-gene-3.127-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.127&CDS=1-915	YER053C
OG0001672	snap_masked-proT_s188-processed-gene-3.128-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.128&CDS=1-318	YBL001C
OG0001673	snap_masked-proT_s188-processed-gene-3.129-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.129&CDS=1-1098	YCR002C
OG0001674	snap_masked-proT_s188-processed-gene-3.102-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.102&CDS=1-588	YCR003W
OG0001675	augustus_masked-proT_s188-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-proT_s188-processed-gene-3.35&CDS=1-675	YBR035C
OG0001676	snap_masked-proT_s188-processed-gene-3.130-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-3.130&CDS=1-600	YDR032C
OG0001677	snap_masked-proT_s19-processed-gene-0.28-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.28&CDS=1-1533	YDR539W
OG0001678	snap_masked-proT_s19-processed-gene-0.4-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.4&CDS=1-777	YDR538W
