	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
OG0002044	YHR113W	snap_masked-scf7180000049473-processed-gene-0.133-mRNA-1_1&gene=snap_masked-scf7180000049473-processed-gene-0.133&CDS=1-1440
OG0002045	YHR114W	augustus_masked-scf7180000049473-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.23&CDS=1-1920
OG0002046	YHR115C	augustus_masked-scf7180000049473-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.47&CDS=1-1548
OG0002047	YHR116W	augustus_masked-scf7180000049473-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.24&CDS=1-405
OG0002048	YHR118C	augustus_masked-scf7180000049473-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049473-processed-gene-0.48&CDS=1-1452
OG0002049	YHR119W	maker-scf7180000049473-snap-gene-0.103-mRNA-1_1&gene=maker-scf7180000049473-snap-gene-0.103&CDS=1-3081
OG0002050	YHR120W	genemark-scf7180000049473-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000049473-processed-gene-0.76&CDS=1-2868
OG0002051	YHR121W	augustus_masked-scf7180000049585-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-3.20&CDS=1-519
OG0002052	YHR122W	snap_masked-scf7180000049473-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scf7180000049473-processed-gene-0.130&CDS=1-720
OG0002053	YHR124W	snap_masked-scf7180000049473-processed-gene-0.132-mRNA-1_1&gene=snap_masked-scf7180000049473-processed-gene-0.132&CDS=1-1689
OG0002054	YHR128W	augustus_masked-scf7180000049513-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049513-processed-gene-0.3&CDS=1-648
OG0002055	YHR132C	augustus_masked-scf7180000049501-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.29&CDS=1-1362
OG0002056	YHR132W-A	augustus_masked-scf7180000049501-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.1&CDS=1-411
OG0002057	YHR134W	augustus_masked-scf7180000049501-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.2&CDS=1-762
OG0002058	YHR137W	augustus_masked-scf7180000049501-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.4&CDS=1-1479
OG0002059	YHR138C	augustus_masked-scf7180000049501-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.33&CDS=1-285
OG0002060	YHR140W	augustus_masked-scf7180000049501-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.5&CDS=1-720
OG0002061	YHR142W	genemark-scf7180000049501-processed-gene-0.57-mRNA-1_1&gene=genemark-scf7180000049501-processed-gene-0.57&CDS=1-918
OG0002062	YHR143W	snap_masked-scf7180000049574-processed-gene-0.110-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.110&CDS=1-768
OG0002063	YHR143W-A	snap_masked-scf7180000049574-processed-gene-0.109-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-0.109&CDS=1-216
OG0002064	YHR144C	augustus_masked-scf7180000049574-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.14&CDS=1-951
OG0002065	YHR146W	augustus_masked-scf7180000049574-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-0.32&CDS=1-1263
OG0002066	YHR147C	augustus_masked-scf7180000049581-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.52&CDS=1-648
OG0002067	YHR148W	augustus_masked-scf7180000049581-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.38&CDS=1-549
OG0002068	YHR149C	augustus_masked-scf7180000049581-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.53&CDS=1-2007
OG0002069	YHR150W	augustus_masked-scf7180000049581-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.39&CDS=1-1530
OG0002070	YHR151C	augustus_masked-scf7180000049581-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.54&CDS=1-1617
OG0002071	YHR152W	snap_masked-scf7180000049530-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000049530-processed-gene-0.83&CDS=1-222
OG0002072	YHR158C	augustus_masked-scf7180000049530-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-scf7180000049530-processed-gene-1.53&CDS=1-3621
OG0002073	YHR159W	augustus_masked-scf7180000049581-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.41&CDS=1-1569
OG0002074	YHR161C	augustus_masked-scf7180000049581-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.56&CDS=1-1743
OG0002075	YHR162W	augustus_masked-scf7180000049581-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.42&CDS=1-378
OG0002076	YHR163W	augustus_masked-scf7180000049581-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.43&CDS=1-738
OG0002077	YHR164C	snap_masked-scf7180000049581-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-0.30&CDS=1-4221
OG0002078	YHR165C	maker-scf7180000049581-snap-gene-0.2-mRNA-1_1&gene=maker-scf7180000049581-snap-gene-0.2&CDS=1-9216
OG0002079	YHR167W	augustus_masked-scf7180000049581-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.44&CDS=1-759
OG0002080	YHR168W	augustus_masked-scf7180000049581-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.45&CDS=1-1632
OG0002081	YHR169W	augustus_masked-scf7180000049530-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scf7180000049530-processed-gene-1.58&CDS=1-1293
OG0002082	YHR171W	augustus_masked-scf7180000049581-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-0.47&CDS=1-1887
OG0002083	YHR172W	maker-scf7180000049581-augustus-gene-0.65-mRNA-1_1&gene=maker-scf7180000049581-augustus-gene-0.65&CDS=1-2424
OG0002084	YHR176W	maker-scf7180000049581-augustus-gene-0.66-mRNA-1_1&gene=maker-scf7180000049581-augustus-gene-0.66&CDS=1-1776
OG0002085	YHR178W	snap_masked-scf7180000049581-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-0.21&CDS=1-2238
OG0002086	YHR181W	augustus_masked-scf7180000049557-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-1.84&CDS=1-696
OG0002087	YHR182W	snap_masked-scf7180000049557-processed-gene-1.150-mRNA-1_1&gene=snap_masked-scf7180000049557-processed-gene-1.150&CDS=1-1737
OG0002088	YHR184W	snap_masked-scf7180000049557-processed-gene-1.152-mRNA-1_1&gene=snap_masked-scf7180000049557-processed-gene-1.152&CDS=1-1536
OG0002089	YHR185C	snap_masked-scf7180000049557-processed-gene-1.175-mRNA-1_1&gene=snap_masked-scf7180000049557-processed-gene-1.175&CDS=1-759
OG0002090	YHR186C	augustus_masked-scf7180000049557-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-1.113&CDS=1-4614
OG0002091	YHR187W	augustus_masked-scf7180000049557-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-1.88&CDS=1-906
OG0002092	YHR188C	augustus_masked-scf7180000049557-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-scf7180000049557-processed-gene-1.114&CDS=1-1872
OG0002093	YHR189W	augustus_masked-scf7180000049558-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scf7180000049558-processed-gene-0.107&CDS=1-693
OG0002094	YHR190W	augustus_masked-scf7180000049558-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000049558-processed-gene-0.108&CDS=1-1335
OG0002095	YHR191C	augustus_masked-scf7180000049581-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.97&CDS=1-423
OG0002096	YHR192W	augustus_masked-scf7180000049581-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.126&CDS=1-843
OG0002097	YHR193C	augustus_masked-scf7180000049581-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.96&CDS=1-513
OG0002098	YHR194W	augustus_masked-scf7180000049581-processed-gene-4.125-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.125&CDS=1-1758
OG0002099	YHR196W	augustus_masked-scf7180000049425-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049425-processed-gene-0.18&CDS=1-1737
OG0002100	YHR197W	augustus_masked-scf7180000049581-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.123&CDS=1-2370
OG0002101	YHR198C	snap_masked-scf7180000049581-processed-gene-4.32-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-4.32&CDS=1-936
OG0002102	YHR200W	augustus_masked-scf7180000049581-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.122&CDS=1-813
OG0002103	YHR201C	snap_masked-scf7180000049581-processed-gene-4.29-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-4.29&CDS=1-1146
OG0002104	YHR204W	augustus_masked-scf7180000049581-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-scf7180000049581-processed-gene-4.120&CDS=1-2586
OG0002105	YHR205W	genemark-scf7180000049581-processed-gene-4.185-mRNA-1_1&gene=genemark-scf7180000049581-processed-gene-4.185&CDS=1-2490
OG0002106	YHR206W	snap_masked-scf7180000049336-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049336-processed-gene-0.2&CDS=1-2016
OG0002107	YHR207C	augustus_masked-scf7180000049336-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049336-processed-gene-0.23&CDS=1-1317
OG0002108	YHR209W	augustus_masked-scf7180000049426-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000049426-processed-gene-0.15&CDS=1-867
OG0002109	YIL001W	snap_masked-scf7180000049504-processed-gene-0.43-mRNA-1_1&gene=snap_masked-scf7180000049504-processed-gene-0.43&CDS=1-1545
OG0002110	YIL002C	augustus_masked-scf7180000049504-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049504-processed-gene-0.25&CDS=1-2838
OG0002111	YIL003W	augustus_masked-scf7180000049439-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049439-processed-gene-0.8&CDS=1-849
OG0002112	YIL004C	snap_masked-scf7180000049504-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000049504-processed-gene-0.41&CDS=1-417
OG0002113	YIL008W	augustus_masked-scf7180000049538-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.108&CDS=1-297
OG0002114	YIL009C-A	snap_masked-scf7180000049538-processed-gene-1.161-mRNA-1_1&gene=snap_masked-scf7180000049538-processed-gene-1.161&CDS=1-276
OG0002115	YIL010W	snap_masked-scf7180000049504-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000049504-processed-gene-0.49&CDS=1-606
OG0002116	YIL011W	augustus_masked-scf7180000049504-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049504-processed-gene-0.29&CDS=1-684
OG0002117	YIL014W	augustus_masked-scf7180000049504-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049504-processed-gene-0.30&CDS=1-1947
OG0002118	YIL015W	genemark-scf7180000049587-processed-gene-0.61-mRNA-1_1&gene=genemark-scf7180000049587-processed-gene-0.61&CDS=1-1239
OG0002119	YIL016W	snap_masked-scf7180000049587-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-0.26&CDS=1-369
OG0002120	YIL017C	augustus_masked-scf7180000049587-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.83&CDS=1-2568
OG0002121	YIL019W	augustus_masked-scf7180000049465-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000049465-processed-gene-0.44&CDS=1-1068
OG0002122	YIL020C	augustus_masked-scf7180000049587-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.84&CDS=1-783
OG0002123	YIL021W	augustus_masked-scf7180000049587-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.97&CDS=1-930
OG0002124	YIL022W	augustus_masked-scf7180000049587-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.98&CDS=1-1284
OG0002125	YIL023C	augustus_masked-scf7180000049587-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.87&CDS=1-1008
OG0002126	YIL024C	snap_masked-scf7180000049587-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-0.34&CDS=1-618
OG0002127	YIL026C	augustus_masked-scf7180000049465-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-scf7180000049465-processed-gene-0.43&CDS=1-3483
OG0002128	YIL027C	snap_masked-scf7180000049587-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-0.33&CDS=1-432
OG0002129	YIL030C	genemark-scf7180000049587-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000049587-processed-gene-0.67&CDS=1-3873
OG0002130	YIL031W	augustus_masked-scf7180000049587-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.85&CDS=1-3249
OG0002131	YIL033C	augustus_masked-scf7180000049587-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-scf7180000049587-processed-gene-0.101&CDS=1-1500
OG0002132	YIL034C	snap_masked-scf7180000049587-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-0.18&CDS=1-828
OG0002133	YIL035C	snap_masked-scf7180000049587-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-0.19&CDS=1-1101
OG0002134	YIL036W	snap_masked-scf7180000049587-processed-gene-1.3-mRNA-1_1&gene=snap_masked-scf7180000049587-processed-gene-1.3&CDS=1-1950
OG0002135	YIL038C	augustus_masked-scf7180000049563-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049563-processed-gene-0.22&CDS=1-2442
OG0002136	YIL039W	snap_masked-scf7180000049563-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scf7180000049563-processed-gene-0.70&CDS=1-1434
OG0002137	YIL041W	augustus_masked-scf7180000049443-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049443-processed-gene-0.7&CDS=1-1092
OG0002138	YIL042C	snap_masked-scf7180000049443-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000049443-processed-gene-0.17&CDS=1-1254
OG0002139	YIL043C	snap_masked-scf7180000049443-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000049443-processed-gene-0.16&CDS=1-966
OG0002140	YIL044C	augustus_masked-scf7180000049443-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049443-processed-gene-0.8&CDS=1-954
OG0002141	YIL046W	augustus_masked-scf7180000049585-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-4.32&CDS=1-1938
OG0002142	YIL047C	augustus_masked-scf7180000049585-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.132&CDS=1-3156
OG0002143	YIL048W	augustus_masked-scf7180000049585-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.133&CDS=1-3447
OG0002144	YIL049W	snap_masked-scf7180000049585-processed-gene-5.2-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.2&CDS=1-405
OG0002145	YIL051C	augustus_masked-scf7180000049585-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.135&CDS=1-429
OG0002146	YIL055C	augustus_masked-scf7180000049585-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.137&CDS=1-1572
OG0002147	YIL057C	augustus_masked-scf7180000049585-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.139&CDS=1-519
OG0002148	YIL061C	augustus_masked-scf7180000049561-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049561-processed-gene-0.27&CDS=1-846
OG0002149	YIL062C	augustus_masked-scf7180000049561-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000049561-processed-gene-0.29&CDS=1-459
OG0002150	YIL063C	augustus_masked-scf7180000049585-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.140&CDS=1-915
OG0002151	YIL064W	augustus_masked-scf7180000049585-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.167&CDS=1-678
OG0002152	YIL065C	augustus_masked-scf7180000049585-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.141&CDS=1-465
OG0002153	YIL067C	genemark-scf7180000049585-processed-gene-5.79-mRNA-1_1&gene=genemark-scf7180000049585-processed-gene-5.79&CDS=1-2106
OG0002154	YIL068C	augustus_masked-scf7180000049561-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000049561-processed-gene-0.31&CDS=1-2418
OG0002155	YIL070C	snap_masked-scf7180000049585-processed-gene-5.15-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.15&CDS=1-807
OG0002156	YIL071C	snap_masked-scf7180000049585-processed-gene-5.16-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-5.16&CDS=1-1197
OG0002157	YIL072W	augustus_masked-scf7180000049585-processed-gene-5.168-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.168&CDS=1-1806
OG0002158	YIL073C	augustus_masked-scf7180000049585-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.148&CDS=1-2961
OG0002159	YIL075C	augustus_masked-scf7180000049585-processed-gene-5.150-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.150&CDS=1-2820
OG0002160	YIL076W	augustus_masked-scf7180000049585-processed-gene-5.169-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.169&CDS=1-897
OG0002161	YIL077C	augustus_masked-scf7180000049585-processed-gene-5.151-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.151&CDS=1-1020
OG0002162	YIL078W	augustus_masked-scf7180000049585-processed-gene-5.170-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-5.170&CDS=1-2202
OG0002163	YIL083C	snap_masked-scf7180000049496-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000049496-processed-gene-0.4&CDS=1-1083
OG0002164	YIL084C	maker-scf7180000049459-snap-gene-0.21-mRNA-1_1&gene=maker-scf7180000049459-snap-gene-0.21&CDS=1-954
OG0002165	YIL088C	genemark-scf7180000049459-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000049459-processed-gene-0.14&CDS=1-1221
OG0002166	YIL090W	augustus_masked-scf7180000049459-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049459-processed-gene-0.8&CDS=1-1437
OG0002167	YIL091C	augustus_masked-scf7180000049459-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000049459-processed-gene-0.5&CDS=1-2976
OG0002168	YIL094C	augustus_masked-scf7180000049459-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000049459-processed-gene-0.6&CDS=1-1116
OG0002169	YIL096C	augustus_masked-scf7180000049491-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.72&CDS=1-987
OG0002170	YIL097W	augustus_masked-scf7180000049491-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.52&CDS=1-1545
OG0002171	YIL098C	snap_masked-scf7180000049491-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000049491-processed-gene-0.28&CDS=1-495
OG0002172	YIL099W	augustus_masked-scf7180000049520-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.44&CDS=1-1791
OG0002173	YIL103W	augustus_masked-scf7180000049520-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scf7180000049520-processed-gene-0.45&CDS=1-1296
OG0002174	YIL104C	augustus_masked-scf7180000049491-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.68&CDS=1-1587
OG0002175	YIL105C	maker-scf7180000049520-snap-gene-0.154-mRNA-1_1&gene=maker-scf7180000049520-snap-gene-0.154&CDS=1-1950
OG0002176	YIL106W	augustus_masked-scf7180000049491-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.50&CDS=1-906
OG0002177	YIL108W	augustus_masked-scf7180000049491-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.49&CDS=1-2100
OG0002178	YIL109C	augustus_masked-scf7180000049539-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scf7180000049539-processed-gene-0.100&CDS=1-2727
OG0002179	YIL110W	augustus_masked-scf7180000049491-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.48&CDS=1-1107
OG0002180	YIL112W	genemark-scf7180000049523-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000049523-processed-gene-0.35&CDS=1-3927
OG0002181	YIL113W	augustus_masked-scf7180000049583-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.102&CDS=1-1152
OG0002182	YIL115C	snap_masked-scf7180000049523-processed-gene-0.121-mRNA-1_1&gene=snap_masked-scf7180000049523-processed-gene-0.121&CDS=1-4317
OG0002183	YIL116W	augustus_masked-scf7180000049523-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.92&CDS=1-1161
OG0002184	YIL118W	augustus_masked-scf7180000049523-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.93&CDS=1-708
OG0002185	YIL122W	snap_masked-scf7180000049523-processed-gene-0.154-mRNA-1_1&gene=snap_masked-scf7180000049523-processed-gene-0.154&CDS=1-1143
OG0002186	YIL124W	augustus_masked-scf7180000049523-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.97&CDS=1-888
OG0002187	YIL125W	augustus_masked-scf7180000049523-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-scf7180000049523-processed-gene-0.98&CDS=1-3033
OG0002188	YIL127C	augustus_masked-scf7180000049583-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.127&CDS=1-645
OG0002189	YIL128W	augustus_masked-scf7180000049583-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000049583-processed-gene-0.96&CDS=1-3138
OG0002190	YIL129C	augustus_masked-scf7180000049586-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.73&CDS=1-7116
OG0002191	YIL130W	augustus_masked-scf7180000049586-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.57&CDS=1-2706
OG0002192	YIL132C	snap_masked-scf7180000049586-processed-gene-2.32-mRNA-1_1&gene=snap_masked-scf7180000049586-processed-gene-2.32&CDS=1-597
OG0002193	YIL133C	snap_masked-scf7180000049586-processed-gene-2.31-mRNA-1_1&gene=snap_masked-scf7180000049586-processed-gene-2.31&CDS=1-600
OG0002194	YIL134W	augustus_masked-scf7180000049586-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.56&CDS=1-939
OG0002195	YIL135C	augustus_masked-scf7180000049586-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.70&CDS=1-1599
OG0002196	YIL136W	augustus_masked-scf7180000049586-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.55&CDS=1-999
OG0002197	YIL137C	augustus_masked-scf7180000049586-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.69&CDS=1-2778
OG0002198	YIL139C	genemark-scf7180000049586-processed-gene-2.108-mRNA-1_1&gene=genemark-scf7180000049586-processed-gene-2.108&CDS=1-552
OG0002199	YIL140W	augustus_masked-scf7180000049586-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.54&CDS=1-2433
OG0002200	YIL142W	augustus_masked-scf7180000049586-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scf7180000049586-processed-gene-2.53&CDS=1-1581
OG0002201	YIL143C	augustus_masked-scf7180000049568-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.201&CDS=1-2463
OG0002202	YIL144W	snap_masked-scf7180000049568-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000049568-processed-gene-0.9&CDS=1-2235
OG0002203	YIL145C	augustus_masked-scf7180000049568-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.200&CDS=1-915
OG0002204	YIL146C	snap_masked-scf7180000049568-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000049568-processed-gene-0.48&CDS=1-1812
OG0002205	YIL147C	snap_masked-scf7180000049568-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scf7180000049568-processed-gene-0.47&CDS=1-3642
OG0002206	YIL150C	augustus_masked-scf7180000049568-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.197&CDS=1-1767
OG0002207	YIL153W	genemark-scf7180000049568-processed-gene-0.90-mRNA-1_1&gene=genemark-scf7180000049568-processed-gene-0.90&CDS=1-1230
OG0002208	YIL154C	augustus_masked-scf7180000049568-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.196&CDS=1-1302
OG0002209	YIL155C	augustus_masked-scf7180000049568-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.195&CDS=1-2049
OG0002210	YIL156W	augustus_masked-scf7180000049568-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.165&CDS=1-3630
OG0002211	YIL156W-B	snap_masked-scf7180000048736-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000048736-processed-gene-0.0&CDS=1-210
OG0002212	YIL159W	augustus_masked-scf7180000049568-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.163&CDS=1-4305
OG0002213	YIL160C	augustus_masked-scf7180000049579-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-scf7180000049579-processed-gene-1.158&CDS=1-1257
OG0002214	YIL161W	augustus_masked-scf7180000049568-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.162&CDS=1-798
