	Candida_carpophila	Saccharomyces_cerevisiae
OG0001115	-processed-gene-3.65-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.65&CDS=1-2778	YLR148W
OG0001116	-processed-gene-3.66-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.66&CDS=1-2139	YCL054W
OG0001117	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.69&CDS=1-378	YDR529C
OG0001118	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.89&CDS=1-813	YLR348C
OG0001119	-processed-gene-3.16-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.16&CDS=1-717	YDL002C
OG0001120	-processed-gene-3.39-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.39&CDS=1-7485	YBL004W
OG0001121	-processed-gene-3.72-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.72&CDS=1-1239	YDL001W
OG0001122	-processed-gene-3.40-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.40&CDS=1-2229	YDR208W
OG0001123	-processed-gene-3.74-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.74&CDS=1-921	YBR151W
OG0001124	-processed-gene-3.75-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.75&CDS=1-348	YDR286C
OG0001125	-augustus-gene-3.54-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-augustus-gene-3.54&CDS=1-6300	YIL125W
OG0001126	-processed-gene-3.79-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.79&CDS=1-1854	YLR352W
OG0001127	-processed-gene-3.82-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.82&CDS=1-1272	YGL181W
OG0001128	-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.123&CDS=1-3399	YLL026W
OG0001129	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.85&CDS=1-5739	YLR305C
OG0001130	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-3.86&CDS=1-2280	YAL053W
OG0001131	-processed-gene-4.51-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.51&CDS=1-1266	YDR148C
OG0001132	-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.6&CDS=1-1950	YGL148W
OG0001133	-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.28&CDS=1-1263	YLR027C
OG0001134	-processed-gene-4.87-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.87&CDS=1-597	YGL200C
OG0001135	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.88&CDS=1-1071	YBL016W
OG0001136	-processed-gene-4.89-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.89&CDS=1-552	YMR295C
OG0001137	-processed-gene-4.90-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.90&CDS=1-2175	YDR320C
OG0001138	-processed-gene-4.126-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.126&CDS=1-183	YHR072W-A
OG0001139	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.91&CDS=1-216	YDR320C-A
OG0001140	-processed-gene-4.61-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.61&CDS=1-705	YNL110C
OG0001141	-processed-gene-4.62-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.62&CDS=1-366	YNL111C
OG0001142	-processed-gene-4.63-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.63&CDS=1-1116	YJR149W
OG0001143	-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.35&CDS=1-1116	YHR112C
OG0001144	-processed-gene-4.93-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.93&CDS=1-747	YBR261C
OG0001145	-processed-gene-4.65-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.65&CDS=1-516	YOL146W
OG0001146	-processed-gene-4.94-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.94&CDS=1-3222	YOL145C
OG0001147	-processed-gene-4.160-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.160&CDS=1-2271	YGL093W
OG0001148	-processed-gene-4.66-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.66&CDS=1-687	YOL147C
OG0001149	-processed-gene-4.67-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.67&CDS=1-1857	YOL144W
OG0001150	-processed-gene-4.68-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.68&CDS=1-1425	YBL082C
OG0001151	-processed-gene-4.96-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.96&CDS=1-1887	YER109C
OG0001152	-processed-gene-4.97-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.97&CDS=1-1101	YER107C
OG0001153	-processed-gene-4.100-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.100&CDS=1-1227	YJL046W
OG0001154	-processed-gene-4.138-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.138&CDS=1-849	YBR257W
OG0001155	-snap-gene-4.1-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-4.1&CDS=1-5235	YGL012W
OG0001156	-processed-gene-4.102-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.102&CDS=1-741	YGL011C
OG0001157	-processed-gene-4.78-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.78&CDS=1-1983	YMR036C
OG0001158	-processed-gene-4.103-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.103&CDS=1-2691	YKR009C
OG0001159	-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.46&CDS=1-3441	YDL164C
OG0001160	-processed-gene-4.175-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.175&CDS=1-1701	YOR002W
OG0001161	-processed-gene-4.82-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.82&CDS=1-1065	YPL096W
OG0001162	-processed-gene-4.109-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.109&CDS=1-2490	YKL078W
OG0001163	-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.27&CDS=1-1560	YPL097W
OG0001164	-processed-gene-4.110-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-4.110&CDS=1-1074	YOL064C
OG0001165	-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.64&CDS=1-963	YMR063W
OG0001166	-processed-gene-5.111-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.111&CDS=1-714	YMR065W
OG0001167	-processed-gene-5.116-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.116&CDS=1-1158	YHR052W
OG0001168	-processed-gene-5.117-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.117&CDS=1-645	YKL159C
OG0001169	-processed-gene-5.118-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.118&CDS=1-2181	YDL234C
OG0001170	-processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.119&CDS=1-1095	YNL217W
OG0001171	-processed-gene-5.120-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.120&CDS=1-1617	YNL216W
OG0001172	-processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.121&CDS=1-3837	YMR304W
OG0001173	-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.93&CDS=1-882	YGR277C
OG0001174	-processed-gene-5.42-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.42&CDS=1-2628	YER077C
OG0001175	-processed-gene-5.123-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.123&CDS=1-747	YOR281C
OG0001176	-processed-gene-5.124-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.124&CDS=1-1533	YMR223W
OG0001177	-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.96&CDS=1-1443	YLR306W
OG0001178	-processed-gene-5.126-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.126&CDS=1-1173	YPL151C
OG0001179	-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.97&CDS=1-2658	YOR244W
OG0001180	-processed-gene-5.127-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.127&CDS=1-1071	YPL152W
OG0001181	-processed-gene-5.152-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.152&CDS=1-1476	YOR250C
OG0001182	-processed-gene-5.128-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.128&CDS=1-1002	YLR019W
OG0001183	-processed-gene-5.129-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.129&CDS=1-1389	YLL011W
OG0001184	-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.81&CDS=1-1944	YOR267C
OG0001185	-processed-gene-5.30-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.30&CDS=1-687	YNL265C
OG0001186	-processed-gene-5.31-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.31&CDS=1-1527	YOR269W
OG0001187	-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.100&CDS=1-2916	YOR243C
OG0001188	-snap-gene-5.5-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-5.5&CDS=1-3966	YPL153C
OG0001189	-processed-gene-5.157-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.157&CDS=1-999	YLR017W
OG0001190	-processed-gene-5.158-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.158&CDS=1-1875	YOR245C
OG0001191	-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.85&CDS=1-1833	YLL004W
OG0001192	-processed-gene-5.164-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.164&CDS=1-651	YJL001W
OG0001193	-processed-gene-5.165-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.165&CDS=1-1419	YJL002C
OG0001194	-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.109&CDS=1-1962	YKL024C
OG0001195	-processed-gene-6.40-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.40&CDS=1-1932	YLL019C
OG0001196	-processed-gene-6.44-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.44&CDS=1-438	YBR217W
OG0001197	-processed-gene-6.45-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.45&CDS=1-882	YBR291C
OG0001198	-processed-gene-6.46-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.46&CDS=1-1035	YKL028W
OG0001199	-processed-gene-6.43-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.43&CDS=1-1602	YCR065W
OG0001200	-processed-gene-6.47-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.47&CDS=1-441	YCR063W
OG0001201	-processed-gene-6.48-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.48&CDS=1-2286	YOR112W
OG0001202	-processed-gene-6.50-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.50&CDS=1-1380	YGR159C
OG0001203	-processed-gene-6.51-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.51&CDS=1-2130	YGL045W
OG0001204	-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.13&CDS=1-3009	YJL029C
OG0001205	-processed-gene-6.71-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.71&CDS=1-1656	YJL008C
OG0001206	-processed-gene-6.54-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.54&CDS=1-1860	YNL272C
OG0001207	-processed-gene-6.55-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.55&CDS=1-5121	YNL271C
OG0001208	-processed-gene-6.117-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.117&CDS=1-555	YLR066W
OG0001209	-processed-gene-6.74-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.74&CDS=1-2280	YNL247W
OG0001210	-augustus-gene-6.130-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-augustus-gene-6.130&CDS=1-3540	YLR069C
OG0001211	-processed-gene-6.77-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.77&CDS=1-3456	YBR023C
OG0001212	-processed-gene-6.122-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.122&CDS=1-4722	YNL297C
OG0001213	-processed-gene-6.60-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.60&CDS=1-1239	YCR079W
OG0001214	-processed-gene-6.123-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.123&CDS=1-273	YNR037C
OG0001215	-processed-gene-6.61-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.61&CDS=1-1944	YNR038W
OG0001216	-processed-gene-6.62-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.62&CDS=1-3282	YJR035W
OG0001217	-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.37&CDS=1-3024	YKL064W
OG0001218	-processed-gene-6.82-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.82&CDS=1-300	YMR039C
OG0001219	-processed-gene-6.83-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-6.83&CDS=1-981	YMR041C
OG0001220	-processed-gene-7.41-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.41&CDS=1-2040	YMR032W
OG0001221	-processed-gene-7.40-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.40&CDS=1-1290	YMR034C
OG0001222	-processed-gene-7.90-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.90&CDS=1-2268	YNL041C
OG0001223	-processed-gene-7.43-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.43&CDS=1-1167	YIL101C
OG0001224	-processed-gene-7.115-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.115&CDS=1-240	YLR395C
OG0001225	-processed-gene-7.94-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.94&CDS=1-183	YDL067C
OG0001226	-processed-gene-7.67-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.67&CDS=1-2046	YLR396C
OG0001227	-processed-gene-7.97-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.97&CDS=1-14706	YLR106C
OG0001228	-augustus-gene-7.138-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-augustus-gene-7.138&CDS=1-6237	YDR127W
OG0001229	-processed-gene-7.49-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.49&CDS=1-2823	YDR524C
OG0001230	-processed-gene-7.50-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.50&CDS=1-1242	YDR523C
OG0001231	-processed-gene-7.73-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.73&CDS=1-567	YML036W
OG0001232	-processed-gene-7.74-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.74&CDS=1-963	YDR460W
OG0001233	-processed-gene-7.103-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.103&CDS=1-1209	YDR459C
OG0001234	-processed-gene-7.55-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.55&CDS=1-1347	YDR527W
OG0001235	-processed-gene-7.124-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.124&CDS=1-231	YDR525W-A
OG0001236	-processed-gene-7.56-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.56&CDS=1-1101	YMR152W
OG0001237	-snap-gene-7.0-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-7.0&CDS=1-4662	YLR362W
OG0001238	-processed-gene-7.60-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.60&CDS=1-1878	YLR143W
OG0001239	-processed-gene-7.78-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.78&CDS=1-309	YOL108C
OG0001240	-processed-gene-7.133-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.133&CDS=1-915	YJR062C
OG0001241	-processed-gene-7.62-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.62&CDS=1-405	YGL191W
OG0001242	-processed-gene-7.82-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.82&CDS=1-1473	YGL190C
OG0001243	-snap-gene-7.1-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-7.1&CDS=1-849	YGL187C
OG0001244	-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.24&CDS=1-6186	YGL192W
OG0001245	-processed-gene-8.1-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.1&CDS=1-573	YGL010W
OG0001246	-processed-gene-8.2-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.2&CDS=1-2256	YGL022W
OG0001247	-processed-gene-8.4-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.4&CDS=1-4896	YOR341W
OG0001248	-processed-gene-8.24-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.24&CDS=1-801	YIL093C
OG0001249	-processed-gene-8.7-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.7&CDS=1-516	YDL120W
OG0001250	-processed-gene-8.9-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.9&CDS=1-1881	YOL060C
OG0001251	-processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.10&CDS=1-1587	YDL025C
OG0001252	-processed-gene-8.11-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.11&CDS=1-1551	YKR051W
OG0001253	-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.74&CDS=1-2628	YNL240C
OG0001254	-processed-gene-8.28-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.28&CDS=1-1314	YNL237W
OG0001255	-processed-gene-8.12-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.12&CDS=1-2535	YNL238W
OG0001256	-processed-gene-8.13-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.13&CDS=1-1503	YNL241C
OG0001257	-processed-gene-8.14-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.14&CDS=1-1191	YGL111W
OG0001258	-processed-gene-8.29-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.29&CDS=1-1035	YGL100W
OG0001259	-processed-gene-8.15-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.15&CDS=1-1482	YBR243C
OG0001260	-snap-gene-8.95-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-snap-gene-8.95&CDS=1-1812	YLR337C
OG0001261	-augustus-gene-8.100-mRNA-1_1&gene=maker-gi|1002316125|dbj|BCGK01000005.1|-augustus-gene-8.100&CDS=1-4134	YDL215C
OG0001262	-processed-gene-8.31-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.31&CDS=1-1401	YOL061W
OG0001263	-processed-gene-8.32-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.32&CDS=1-1392	YOL062C
OG0001264	-processed-gene-8.33-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.33&CDS=1-1836	YGL110C
OG0001265	-processed-gene-8.17-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.17&CDS=1-1023	YJL117W
OG0001266	-processed-gene-8.35-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.35&CDS=1-339	YBR120C
OG0001267	-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.67&CDS=1-1740	YKR043C
OG0001268	-processed-gene-8.38-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.38&CDS=1-1002	YNL274C
OG0001269	-processed-gene-8.39-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.39&CDS=1-1524	YBR286W
OG0001270	-processed-gene-8.41-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.41&CDS=1-1203	YGL048C
OG0001271	-processed-gene-8.45-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.45&CDS=1-1098	YNL213C
OG0001272	-processed-gene-8.21-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.21&CDS=1-2406	YNL212W
OG0001273	-processed-gene-8.148-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.148&CDS=1-240	YNL211C
OG0001274	-processed-gene-8.124-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.124&CDS=1-744	YOR107W
OG0001275	-processed-gene-8.23-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-8.23&CDS=1-3540	YBR218C
OG0001276	-processed-gene-9.103-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.103&CDS=1-357	YGL127C
OG0001277	-processed-gene-9.104-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.104&CDS=1-882	YGL126W
OG0001278	-processed-gene-9.105-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.105&CDS=1-2499	YIL140W
OG0001279	-processed-gene-9.106-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.106&CDS=1-1158	YBR221C
OG0001280	-processed-gene-9.4-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.4&CDS=1-1656	YBR220C
OG0001281	-processed-gene-9.6-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.6&CDS=1-219	YNR032C-A
OG0001282	-processed-gene-9.126-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.126&CDS=1-1056	YNR032W
OG0001283	-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.84&CDS=1-7746	YOL140W
OG0001284	-processed-gene-9.110-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.110&CDS=1-4254	YCR073C
OG0001285	-processed-gene-9.132-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-9.132&CDS=1-378	YCR071C
