	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0001428	augustus_masked-draA_s27-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.10&CDS=1-636	YEL024W
OG0001429	augustus_masked-draA_s27-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.26&CDS=1-897	YDL198C
OG0001430	augustus_masked-draA_s27-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.12&CDS=1-1620	YDR228C
OG0001431	augustus_masked-draA_s27-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.27&CDS=1-741	YDR226W
OG0001432	augustus_masked-draA_s27-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.28&CDS=1-1899	YKL029C
OG0001433	augustus_masked-draA_s27-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-0.14&CDS=1-630	YDR486C
OG0001434	augustus_masked-draA_s27-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.75&CDS=1-3072	YNL132W
OG0001435	genemark-draA_s27-processed-gene-1.9-mRNA-1_1&gene=genemark-draA_s27-processed-gene-1.9&CDS=1-288	YBL026W
OG0001436	augustus_masked-draA_s27-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.107&CDS=1-1530	YBL020W
OG0001437	augustus_masked-draA_s27-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.78&CDS=1-753	YBL021C
OG0001438	augustus_masked-draA_s27-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.79&CDS=1-2082	YBL024W
OG0001439	augustus_masked-draA_s27-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.81&CDS=1-3294	YBL022C
OG0001440	maker-draA_s27-augustus-gene-1.131-mRNA-1_1&gene=maker-draA_s27-augustus-gene-1.131&CDS=1-3597	YBL023C
OG0001441	augustus_masked-draA_s27-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.111&CDS=1-783	YLR285W
OG0001442	augustus_masked-draA_s27-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.112&CDS=1-1776	YJR072C
OG0001443	augustus_masked-draA_s27-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.88&CDS=1-495	YDR231C
OG0001444	augustus_masked-draA_s27-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.89&CDS=1-3183	YKL197C
OG0001445	augustus_masked-draA_s27-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.113&CDS=1-1050	YOL009C
OG0001446	snap_masked-draA_s27-processed-gene-1.194-mRNA-1_1&gene=snap_masked-draA_s27-processed-gene-1.194&CDS=1-360	YMR112C
OG0001447	maker-draA_s27-augustus-gene-1.135-mRNA-1_1&gene=maker-draA_s27-augustus-gene-1.135&CDS=1-951	YMR116C
OG0001448	augustus_masked-draA_s27-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.91&CDS=1-921	YKR026C
OG0001449	snap_masked-draA_s27-processed-gene-1.196-mRNA-1_1&gene=snap_masked-draA_s27-processed-gene-1.196&CDS=1-1665	YDR062W
OG0001450	snap_masked-draA_s27-processed-gene-1.197-mRNA-1_1&gene=snap_masked-draA_s27-processed-gene-1.197&CDS=1-1017	YDR061W
OG0001451	augustus_masked-draA_s27-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.93&CDS=1-2058	YLR006C
OG0001452	augustus_masked-draA_s27-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.94&CDS=1-1197	YER143W
OG0001453	augustus_masked-draA_s27-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.116&CDS=1-2691	YER136W
OG0001454	augustus_masked-draA_s27-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.117&CDS=1-963	YHR083W
OG0001455	augustus_masked-draA_s27-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.118&CDS=1-690	YDR071C
OG0001456	snap_masked-draA_s27-processed-gene-1.172-mRNA-1_1&gene=snap_masked-draA_s27-processed-gene-1.172&CDS=1-990	YPR004C
OG0001457	augustus_masked-draA_s27-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.120&CDS=1-2949	YKL015W
OG0001458	augustus_masked-draA_s27-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.122&CDS=1-2232	YKL017C
OG0001459	maker-draA_s27-augustus-gene-1.137-mRNA-1_1&gene=maker-draA_s27-augustus-gene-1.137&CDS=1-312	YIL156W-B
OG0001460	augustus_masked-draA_s27-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.124&CDS=1-4665	YKL014C
OG0001461	augustus_masked-draA_s27-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.125&CDS=1-471	YPL059W
OG0001462	augustus_masked-draA_s27-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.102&CDS=1-1617	YJL069C
OG0001463	augustus_masked-draA_s27-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.103&CDS=1-264	YJL062W-A
OG0001464	augustus_masked-draA_s27-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.129&CDS=1-2178	YAL043C
OG0001465	augustus_masked-draA_s27-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.104&CDS=1-3258	YBR276C
OG0001466	augustus_masked-draA_s27-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-draA_s27-processed-gene-1.130&CDS=1-1035	YJR068W
OG0001467	augustus_masked-draA_s28-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.41&CDS=1-2151	YPR021C
OG0001468	augustus_masked-draA_s28-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.62&CDS=1-831	YGL174W
OG0001469	augustus_masked-draA_s28-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.63&CDS=1-1392	YGL172W
OG0001470	augustus_masked-draA_s28-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.42&CDS=1-1287	YGL175C
OG0001471	augustus_masked-draA_s28-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.43&CDS=1-2283	YGL178W
OG0001472	augustus_masked-draA_s28-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.64&CDS=1-1044	YER127W
OG0001473	augustus_masked-draA_s28-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.44&CDS=1-783	YER126C
OG0001474	snap_masked-draA_s28-processed-gene-0.22-mRNA-1_1&gene=snap_masked-draA_s28-processed-gene-0.22&CDS=1-3762	YPR022C
OG0001475	augustus_masked-draA_s28-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.67&CDS=1-714	YGL044C
OG0001476	augustus_masked-draA_s28-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.45&CDS=1-867	YGL043W
OG0001477	augustus_masked-draA_s28-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.68&CDS=1-1479	YGR155W
OG0001478	augustus_masked-draA_s28-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.69&CDS=1-2115	YFR029W
OG0001479	augustus_masked-draA_s28-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.47&CDS=1-1461	YEL015W
OG0001480	augustus_masked-draA_s28-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.48&CDS=1-4158	YGL092W
OG0001481	augustus_masked-draA_s28-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.49&CDS=1-975	YGL091C
OG0001482	augustus_masked-draA_s28-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.50&CDS=1-1347	YJL049W
OG0001483	augustus_masked-draA_s28-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.71&CDS=1-1671	YEL013W
OG0001484	genemark-draA_s28-processed-gene-0.113-mRNA-1_1&gene=genemark-draA_s28-processed-gene-0.113&CDS=1-1215	YOR201C
OG0001485	augustus_masked-draA_s28-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.74&CDS=1-660	YOR202W
OG0001486	augustus_masked-draA_s28-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.53&CDS=1-2394	YAL011W
OG0001487	augustus_masked-draA_s28-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.75&CDS=1-2505	YAL010C
OG0001488	augustus_masked-draA_s28-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.55&CDS=1-1245	YKR063C
OG0001489	augustus_masked-draA_s28-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.56&CDS=1-5493	YNL242W
OG0001490	augustus_masked-draA_s28-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.58&CDS=1-2772	YJL154C
OG0001491	augustus_masked-draA_s28-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-draA_s28-processed-gene-0.77&CDS=1-690	YAR008W
OG0001492	augustus_masked-draA_s31-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.62&CDS=1-1191	YPL123C
OG0001493	augustus_masked-draA_s31-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.63&CDS=1-1341	YER043C
OG0001494	augustus_masked-draA_s31-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.69&CDS=1-1443	YFR044C
OG0001495	augustus_masked-draA_s31-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.70&CDS=1-1074	YOR288C
OG0001496	augustus_masked-draA_s31-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.71&CDS=1-1026	YJR100C
OG0001497	augustus_masked-draA_s31-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.72&CDS=1-930	YJR095W
OG0001498	augustus_masked-draA_s31-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.73&CDS=1-1332	YNL237W
OG0001499	augustus_masked-draA_s31-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.52&CDS=1-2598	YNL238W
OG0001500	augustus_masked-draA_s31-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.53&CDS=1-1503	YNL241C
OG0001501	augustus_masked-draA_s31-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.55&CDS=1-2781	YNL049C
OG0001502	augustus_masked-draA_s31-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.58&CDS=1-978	YBL033C
OG0001503	augustus_masked-draA_s31-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.80&CDS=1-1113	YLR113W
OG0001504	augustus_masked-draA_s31-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.59&CDS=1-666	YMR077C
OG0001505	augustus_masked-draA_s31-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.82&CDS=1-1020	YGL040C
OG0001506	augustus_masked-draA_s31-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.84&CDS=1-2559	YJL041W
OG0001507	augustus_masked-draA_s31-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.85&CDS=1-744	YKL152C
OG0001508	augustus_masked-draA_s31-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.87&CDS=1-1878	YHL032C
OG0001509	augustus_masked-draA_s31-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.88&CDS=1-1431	YDL103C
OG0001510	augustus_masked-draA_s31-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.61&CDS=1-4803	YJR092W
OG0001511	genemark-draA_s35-processed-gene-0.2-mRNA-1_1&gene=genemark-draA_s35-processed-gene-0.2&CDS=1-801	YPL199C
OG0001512	augustus_masked-draA_s35-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.163&CDS=1-642	YML001W
OG0001513	augustus_masked-draA_s35-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.134&CDS=1-1269	YBR279W
OG0001514	augustus_masked-draA_s35-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.165&CDS=1-1335	YHR190W
OG0001515	augustus_masked-draA_s35-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.166&CDS=1-978	YML121W
OG0001516	augustus_masked-draA_s35-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.135&CDS=1-1746	YAL067C
OG0001517	augustus_masked-draA_s35-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.167&CDS=1-597	YPL178W
OG0001518	augustus_masked-draA_s35-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.137&CDS=1-2514	YGL083W
OG0001519	augustus_masked-draA_s35-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.168&CDS=1-1887	YKL148C
OG0001520	augustus_masked-draA_s35-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.169&CDS=1-945	YEL051W
OG0001521	snap_masked-draA_s35-processed-gene-0.111-mRNA-1_1&gene=snap_masked-draA_s35-processed-gene-0.111&CDS=1-387	YNR046W
OG0001522	augustus_masked-draA_s35-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.138&CDS=1-711	YEL001C
OG0001523	augustus_masked-draA_s35-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.140&CDS=1-1476	YCR098C
OG0001524	augustus_masked-draA_s35-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.141&CDS=1-852	YBR011C
OG0001525	augustus_masked-draA_s35-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.142&CDS=1-1119	YDR005C
OG0001526	maker-draA_s35-augustus-gene-0.188-mRNA-1_1&gene=maker-draA_s35-augustus-gene-0.188&CDS=1-2022	YHR207C
OG0001527	snap_masked-draA_s35-processed-gene-0.116-mRNA-1_1&gene=snap_masked-draA_s35-processed-gene-0.116&CDS=1-2097	YPL072W
OG0001528	snap_masked-draA_s35-processed-gene-0.85-mRNA-1_1&gene=snap_masked-draA_s35-processed-gene-0.85&CDS=1-339	YAL044W-A
OG0001529	augustus_masked-draA_s35-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.177&CDS=1-1326	YGL164C
OG0001530	maker-draA_s35-augustus-gene-0.192-mRNA-1_1&gene=maker-draA_s35-augustus-gene-0.192&CDS=1-3510	YCR028C
OG0001531	augustus_masked-draA_s35-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.180&CDS=1-1635	YNL189W
OG0001532	maker-draA_s35-snap-gene-0.194-mRNA-1_1&gene=maker-draA_s35-snap-gene-0.194&CDS=1-3753	YHR132C
OG0001533	augustus_masked-draA_s35-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.157&CDS=1-1314	YDR448W
OG0001534	augustus_masked-draA_s35-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.182&CDS=1-639	YHR110W
OG0001535	augustus_masked-draA_s35-processed-gene-0.183-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.183&CDS=1-2040	YDR365C
OG0001536	augustus_masked-draA_s35-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.184&CDS=1-1803	YOR118W
OG0001537	augustus_masked-draA_s35-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.185&CDS=1-690	YDR367W
OG0001538	augustus_masked-draA_s35-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.158&CDS=1-1413	YOR119C
OG0001539	augustus_masked-draA_s35-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.159&CDS=1-1281	YBL103C
OG0001540	augustus_masked-draA_s35-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-draA_s35-processed-gene-0.160&CDS=1-1443	YHR113W
OG0001541	maker-draA_s35-augustus-gene-0.189-mRNA-1_1&gene=maker-draA_s35-augustus-gene-0.189&CDS=1-1890	YHR009C
OG0001542	snap_masked-draA_s37-processed-gene-0.69-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-0.69&CDS=1-177	YFR032C-A
OG0001543	augustus_masked-draA_s37-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.100&CDS=1-267	YJR135W-A
OG0001544	augustus_masked-draA_s37-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.121&CDS=1-1086	YDL055C
OG0001545	maker-draA_s37-augustus-gene-0.145-mRNA-1_1&gene=maker-draA_s37-augustus-gene-0.145&CDS=1-2496	YLR377C
OG0001546	augustus_masked-draA_s37-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.106&CDS=1-267	YER048W-A
OG0001547	augustus_masked-draA_s37-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.107&CDS=1-1029	YJL117W
OG0001548	augustus_masked-draA_s37-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.128&CDS=1-336	YBR120C
OG0001549	augustus_masked-draA_s37-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.108&CDS=1-720	YKR043C
OG0001550	augustus_masked-draA_s37-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.109&CDS=1-1086	YDR400W
OG0001551	snap_masked-draA_s37-processed-gene-0.86-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-0.86&CDS=1-1737	YBR286W
OG0001552	augustus_masked-draA_s37-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.133&CDS=1-1200	YGL048C
OG0001553	maker-draA_s37-augustus-gene-0.146-mRNA-1_1&gene=maker-draA_s37-augustus-gene-0.146&CDS=1-1266	YNL213C
OG0001554	augustus_masked-draA_s37-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.112&CDS=1-1089	YNL212W
OG0001555	augustus_masked-draA_s37-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.138&CDS=1-237	YNL211C
OG0001556	augustus_masked-draA_s37-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.114&CDS=1-3531	YGL062W
OG0001557	maker-draA_s37-snap-gene-0.148-mRNA-1_1&gene=maker-draA_s37-snap-gene-0.148&CDS=1-1323	YGL127C
OG0001558	augustus_masked-draA_s37-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.116&CDS=1-2544	YIL140W
OG0001559	augustus_masked-draA_s37-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.185&CDS=1-1086	YBR221C
OG0001560	augustus_masked-draA_s37-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.186&CDS=1-1683	YBR220C
OG0001561	augustus_masked-draA_s37-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.187&CDS=1-219	YNR032C-A
OG0001562	maker-draA_s37-snap-gene-1.262-mRNA-1_1&gene=maker-draA_s37-snap-gene-1.262&CDS=1-3351	YOL140W
OG0001563	snap_masked-draA_s37-processed-gene-1.97-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.97&CDS=1-4797	YCR081W
OG0001564	augustus_masked-draA_s37-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.216&CDS=1-3765	YMR109W
OG0001565	augustus_masked-draA_s37-processed-gene-1.217-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.217&CDS=1-1542	YCR072C
OG0001566	augustus_masked-draA_s37-processed-gene-1.221-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.221&CDS=1-2433	YCR077C
OG0001567	augustus_masked-draA_s37-processed-gene-1.222-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.222&CDS=1-2283	YNR033W
OG0001568	augustus_masked-draA_s37-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.223&CDS=1-5304	YDL058W
OG0001569	augustus_masked-draA_s37-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.192&CDS=1-555	YDL059C
OG0001570	augustus_masked-draA_s37-processed-gene-1.224-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.224&CDS=1-3984	YLR384C
OG0001571	augustus_masked-draA_s37-processed-gene-1.194-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.194&CDS=1-2277	YHR197W
OG0001572	augustus_masked-draA_s37-processed-gene-1.225-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.225&CDS=1-1911	YKL125W
OG0001573	augustus_masked-draA_s37-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.196&CDS=1-1533	YHR084W
OG0001574	augustus_masked-draA_s37-processed-gene-1.227-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.227&CDS=1-4302	YBL034C
OG0001575	augustus_masked-draA_s37-processed-gene-1.228-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.228&CDS=1-1134	YDR331W
OG0001576	augustus_masked-draA_s37-processed-gene-1.229-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.229&CDS=1-1989	YDR332W
OG0001577	augustus_masked-draA_s37-processed-gene-1.230-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.230&CDS=1-1977	YBL035C
OG0001578	augustus_masked-draA_s37-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.231&CDS=1-768	YDL051W
OG0001579	augustus_masked-draA_s37-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.197&CDS=1-741	YBL036C
OG0001580	snap_masked-draA_s37-processed-gene-1.146-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.146&CDS=1-2532	YBR086C
OG0001581	augustus_masked-draA_s37-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.198&CDS=1-1059	YKL018W
OG0001582	augustus_masked-draA_s37-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.234&CDS=1-2934	YBL037W
OG0001583	augustus_masked-draA_s37-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.236&CDS=1-456	YJL143W
OG0001584	augustus_masked-draA_s37-processed-gene-1.237-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.237&CDS=1-1896	YKL174C
OG0001585	augustus_masked-draA_s37-processed-gene-1.238-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.238&CDS=1-849	YKR060W
OG0001586	snap_masked-draA_s37-processed-gene-1.109-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.109&CDS=1-693	YPL078C
OG0001587	augustus_masked-draA_s37-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.239&CDS=1-1278	YBR195C
OG0001588	augustus_masked-draA_s37-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.201&CDS=1-732	YIL064W
OG0001589	augustus_masked-draA_s37-processed-gene-1.241-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.241&CDS=1-1317	YIL063C
OG0001590	augustus_masked-draA_s37-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.202&CDS=1-1431	YOL054W
OG0001591	snap_masked-draA_s37-processed-gene-1.112-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.112&CDS=1-177	YMR256C
OG0001592	snap_masked-draA_s37-processed-gene-1.113-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-1.113&CDS=1-2481	YMR258C
OG0001593	augustus_masked-draA_s37-processed-gene-1.242-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.242&CDS=1-525	YKL016C
OG0001594	augustus_masked-draA_s37-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.206&CDS=1-282	YJL166W
OG0001595	augustus_masked-draA_s37-processed-gene-1.244-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.244&CDS=1-1050	YJL167W
OG0001596	augustus_masked-draA_s37-processed-gene-1.245-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.245&CDS=1-1194	YKL172W
OG0001597	maker-draA_s37-snap-gene-1.264-mRNA-1_1&gene=maker-draA_s37-snap-gene-1.264&CDS=1-1635	YGL028C
OG0001598	augustus_masked-draA_s37-processed-gene-1.248-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.248&CDS=1-1329	YBR029C
OG0001599	maker-draA_s37-augustus-gene-1.181-mRNA-1_1&gene=maker-draA_s37-augustus-gene-1.181&CDS=1-474	YNL244C
OG0001600	augustus_masked-draA_s37-processed-gene-1.210-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.210&CDS=1-813	YNL245C
OG0001601	augustus_masked-draA_s37-processed-gene-1.250-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.250&CDS=1-1452	YBR133C
OG0001602	maker-draA_s37-augustus-gene-1.182-mRNA-1_1&gene=maker-draA_s37-augustus-gene-1.182&CDS=1-7347	YBR136W
OG0001603	augustus_masked-draA_s37-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.251&CDS=1-3612	YPR091C
OG0001604	augustus_masked-draA_s37-processed-gene-1.255-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.255&CDS=1-1212	YFL046W
OG0001605	augustus_masked-draA_s37-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.213&CDS=1-1893	YLR077W
OG0001606	augustus_masked-draA_s37-processed-gene-1.256-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-1.256&CDS=1-753	YFL045C
