	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
OG0001585	genemark-scaffold_14-processed-gene-2.149-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.149&CDS=1-3309	YDL102W
OG0001586	snap_masked-scaffold_14-processed-gene-2.118-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-2.118&CDS=1-2493	YDR339C
OG0001587	genemark-scaffold_15-processed-gene-0.26-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.26&CDS=1-636	YNR020C
OG0001588	genemark-scaffold_15-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.3&CDS=1-606	YCR051W
OG0001589	maker-scaffold_15-augustus-gene-0.51-mRNA-1_1&gene=maker-scaffold_15-augustus-gene-0.51&CDS=1-1059	YIL145C
OG0001590	genemark-scaffold_15-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.6&CDS=1-1308	YNL330C
OG0001591	genemark-scaffold_15-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.29&CDS=1-915	YIL164C
OG0001592	genemark-scaffold_15-processed-gene-0.32-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.32&CDS=1-639	YDR183W
OG0001593	snap_masked-scaffold_15-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-0.118&CDS=1-1491	YHR183W
OG0001594	genemark-scaffold_15-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.12&CDS=1-2415	YLR166C
OG0001595	genemark-scaffold_15-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.35&CDS=1-1410	YDR182W
OG0001596	genemark-scaffold_15-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.36&CDS=1-711	YLR059C
OG0001597	snap_masked-scaffold_15-processed-gene-0.124-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-0.124&CDS=1-1194	YLR050C
OG0001598	genemark-scaffold_15-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.37&CDS=1-1428	YOL144W
OG0001599	genemark-scaffold_15-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.14&CDS=1-3222	YOL145C
OG0001600	genemark-scaffold_15-processed-gene-0.38-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.38&CDS=1-534	YOL146W
OG0001601	genemark-scaffold_15-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.15&CDS=1-903	YOR074C
OG0001602	genemark-scaffold_15-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.39&CDS=1-1650	YOR073W
OG0001603	genemark-scaffold_15-processed-gene-0.40-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.40&CDS=1-1131	YJR149W
OG0001604	genemark-scaffold_15-processed-gene-0.16-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.16&CDS=1-909	YOR075W
OG0001605	genemark-scaffold_15-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.41&CDS=1-2109	YKR084C
OG0001606	genemark-scaffold_15-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.42&CDS=1-537	YKR085C
OG0001607	maker-scaffold_15-snap-gene-0.159-mRNA-1_1&gene=maker-scaffold_15-snap-gene-0.159&CDS=1-408	YNL328C
OG0001608	genemark-scaffold_15-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.19&CDS=1-3057	YNL329C
OG0001609	genemark-scaffold_15-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.44&CDS=1-1596	YML120C
OG0001610	genemark-scaffold_15-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.45&CDS=1-714	YDR071C
OG0001611	snap_masked-scaffold_15-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-0.130&CDS=1-255	YER146W
OG0001612	genemark-scaffold_15-processed-gene-0.46-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.46&CDS=1-906	YER142C
OG0001613	genemark-scaffold_15-processed-gene-0.23-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.23&CDS=1-1287	YER143W
OG0001614	genemark-scaffold_15-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.47&CDS=1-615	YDR067C
OG0001615	genemark-scaffold_15-processed-gene-0.24-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.24&CDS=1-1137	YDR068W
OG0001616	genemark-scaffold_15-processed-gene-1.2-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.2&CDS=1-747	YOL038W
OG0001617	genemark-scaffold_15-processed-gene-1.0-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.0&CDS=1-369	YIR015W
OG0001618	genemark-scaffold_15-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.3&CDS=1-504	YOL026C
OG0001619	genemark-scaffold_15-processed-gene-1.1-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.1&CDS=1-1704	YGL252C
OG0001620	genemark-scaffold_15-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.5&CDS=1-429	YIL098C
OG0001621	genemark-scaffold_15-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.6&CDS=1-378	YLR099W-A
OG0001622	genemark-scaffold_15-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.7&CDS=1-1209	YPR108W
OG0001623	augustus_masked-scaffold_15-processed-gene-1.232-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.232&CDS=1-5289	YPL242C
OG0001624	augustus_masked-scaffold_15-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.193&CDS=1-4458	YOR191W
OG0001625	genemark-scaffold_15-processed-gene-1.51-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.51&CDS=1-687	YDR007W
OG0001626	genemark-scaffold_15-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.11&CDS=1-1359	YDL030W
OG0001627	genemark-scaffold_15-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.12&CDS=1-405	YGL054C
OG0001628	augustus_masked-scaffold_15-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.235&CDS=1-1770	YBR011C
OG0001629	augustus_masked-scaffold_15-processed-gene-1.236-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.236&CDS=1-2304	YHR190W
OG0001630	snap_masked-scaffold_15-processed-gene-1.155-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.155&CDS=1-1002	YNL326C
OG0001631	augustus_masked-scaffold_15-processed-gene-1.238-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.238&CDS=1-936	YPL244C
OG0001632	genemark-scaffold_15-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.15&CDS=1-1581	YPL243W
OG0001633	genemark-scaffold_15-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.16&CDS=1-1251	YHL021C
OG0001634	maker-scaffold_15-snap-gene-1.272-mRNA-1_1&gene=maker-scaffold_15-snap-gene-1.272&CDS=1-3975	YLL021W
OG0001635	genemark-scaffold_15-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.18&CDS=1-3162	YDR216W
OG0001636	genemark-scaffold_15-processed-gene-1.59-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.59&CDS=1-2805	YDR217C
OG0001637	genemark-scaffold_15-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.64&CDS=1-2034	YPR141C
OG0001638	genemark-scaffold_15-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.21&CDS=1-705	YPR143W
OG0001639	genemark-scaffold_15-processed-gene-1.65-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.65&CDS=1-1140	YPR140W
OG0001640	genemark-scaffold_15-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.22&CDS=1-1617	YIL162W
OG0001641	genemark-scaffold_15-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.24&CDS=1-822	YPR139C
OG0001642	snap_masked-scaffold_15-processed-gene-1.121-mRNA-1_1&gene=snap_masked-scaffold_15-processed-gene-1.121&CDS=1-183	YER180C-A
OG0001643	genemark-scaffold_15-processed-gene-1.71-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.71&CDS=1-1344	YBL098W
OG0001644	genemark-scaffold_15-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.26&CDS=1-627	YDR476C
OG0001645	genemark-scaffold_15-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.27&CDS=1-615	YFR001W
OG0001646	genemark-scaffold_15-processed-gene-1.72-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.72&CDS=1-4023	YHR186C
OG0001647	genemark-scaffold_15-processed-gene-1.28-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.28&CDS=1-1371	YER122C
OG0001648	genemark-scaffold_15-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.31&CDS=1-1626	YGR055W
OG0001649	augustus_masked-scaffold_15-processed-gene-1.253-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.253&CDS=1-1410	YER136W
OG0001650	genemark-scaffold_15-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.33&CDS=1-1869	YDR536W
OG0001651	genemark-scaffold_15-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.75&CDS=1-891	YDL201W
OG0001652	genemark-scaffold_15-processed-gene-1.34-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.34&CDS=1-2157	YHL016C
OG0001653	genemark-scaffold_15-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.35&CDS=1-3756	YLR189C
OG0001654	maker-scaffold_15-snap-gene-1.280-mRNA-1_1&gene=maker-scaffold_15-snap-gene-1.280&CDS=1-2058	YNL277W
OG0001655	genemark-scaffold_15-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.36&CDS=1-1269	YER019W
OG0001656	genemark-scaffold_15-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.37&CDS=1-1566	YNL275W
OG0001657	genemark-scaffold_15-processed-gene-1.78-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.78&CDS=1-984	YCR044C
OG0001658	genemark-scaffold_15-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.81&CDS=1-2049	YLR188W
OG0001659	genemark-scaffold_15-processed-gene-1.83-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.83&CDS=1-1671	YJL019W
OG0001660	genemark-scaffold_15-processed-gene-1.85-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.85&CDS=1-645	YDR302W
OG0001661	genemark-scaffold_15-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.40&CDS=1-3774	YDR301W
OG0001662	genemark-scaffold_15-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.41&CDS=1-864	YHR187W
OG0001663	genemark-scaffold_15-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.86&CDS=1-2529	YHR073W
OG0001664	augustus_masked-scaffold_15-processed-gene-1.266-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.266&CDS=1-3156	YJL012C
OG0001665	genemark-scaffold_15-processed-gene-1.43-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.43&CDS=1-486	YJL011C
OG0001666	genemark-scaffold_15-processed-gene-1.89-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.89&CDS=1-1584	YJL014W
OG0001667	snap_masked-scaffold_16-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-0.2&CDS=1-2412	YNL233W
OG0001668	genemark-scaffold_16-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.99&CDS=1-2085	YGL026C
OG0001669	genemark-scaffold_16-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.100&CDS=1-2301	YBL014C
OG0001670	genemark-scaffold_16-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.86&CDS=1-1545	YER014W
OG0001671	genemark-scaffold_16-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.105&CDS=1-504	YIL016W
OG0001672	genemark-scaffold_16-processed-gene-0.106-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.106&CDS=1-2355	YIL017C
OG0001673	genemark-scaffold_16-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.87&CDS=1-3195	YFR030W
OG0001674	genemark-scaffold_16-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.107&CDS=1-3510	YFR031C
OG0001675	maker-scaffold_16-snap-gene-0.127-mRNA-1_1&gene=maker-scaffold_16-snap-gene-0.127&CDS=1-501	YFR032C-A
OG0001676	genemark-scaffold_16-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.111&CDS=1-1644	YFR034C
OG0001677	genemark-scaffold_16-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.112&CDS=1-954	YIL019W
OG0001678	genemark-scaffold_16-processed-gene-0.89-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.89&CDS=1-636	YPR129W
OG0001679	genemark-scaffold_16-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.90&CDS=1-939	YIL021W
OG0001680	genemark-scaffold_16-processed-gene-0.114-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.114&CDS=1-792	YIL020C
OG0001681	genemark-scaffold_16-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.91&CDS=1-561	YPR131C
OG0001682	genemark-scaffold_16-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.92&CDS=1-891	YPR128C
OG0001683	genemark-scaffold_16-processed-gene-0.116-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.116&CDS=1-1314	YPR133C
OG0001684	genemark-scaffold_16-processed-gene-0.94-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.94&CDS=1-1353	YGR119C
OG0001685	genemark-scaffold_16-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.120&CDS=1-2475	YPR135W
OG0001686	genemark-scaffold_16-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.96&CDS=1-1632	YPR137W
OG0001687	snap_masked-scaffold_16-processed-gene-1.10-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-1.10&CDS=1-1020	YPR065W
OG0001688	genemark-scaffold_16-processed-gene-1.145-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.145&CDS=1-1371	YBR199W
OG0001689	genemark-scaffold_16-processed-gene-1.146-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.146&CDS=1-393	YDL092W
OG0001690	maker-scaffold_16-snap-gene-1.5-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.5&CDS=1-2871	YDL090C
OG0001691	genemark-scaffold_16-processed-gene-1.182-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.182&CDS=1-2625	YDL117W
OG0001692	genemark-scaffold_16-processed-gene-1.147-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.147&CDS=1-4026	YDL112W
OG0001693	genemark-scaffold_16-processed-gene-1.148-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.148&CDS=1-1557	YMR155W
OG0001694	genemark-scaffold_16-processed-gene-1.149-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.149&CDS=1-2148	YDL116W
OG0001695	genemark-scaffold_16-processed-gene-1.184-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.184&CDS=1-1254	YDL097C
OG0001696	genemark-scaffold_16-processed-gene-1.150-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.150&CDS=1-1416	YMR153W
OG0001697	maker-scaffold_16-snap-gene-1.6-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.6&CDS=1-3162	YMR154C
OG0001698	genemark-scaffold_16-processed-gene-1.151-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.151&CDS=1-1326	YER020W
OG0001699	genemark-scaffold_16-processed-gene-1.187-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.187&CDS=1-1038	YJR107W
OG0001700	snap_masked-scaffold_16-processed-gene-1.18-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-1.18&CDS=1-2253	YDL095W
OG0001701	genemark-scaffold_16-processed-gene-1.188-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.188&CDS=1-582	YJR112W
OG0001702	snap_masked-scaffold_16-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-1.19&CDS=1-873	YBL050W
OG0001703	genemark-scaffold_16-processed-gene-1.155-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.155&CDS=1-3522	YJR109C
OG0001704	genemark-scaffold_16-processed-gene-1.189-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.189&CDS=1-3936	YBL047C
OG0001705	genemark-scaffold_16-processed-gene-1.156-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.156&CDS=1-543	YJR112W-A
OG0001706	genemark-scaffold_16-processed-gene-1.190-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.190&CDS=1-711	YJR113C
OG0001707	genemark-scaffold_16-processed-gene-1.191-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.191&CDS=1-1344	YBL045C
OG0001708	genemark-scaffold_16-processed-gene-1.192-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.192&CDS=1-1065	YMR234W
OG0001709	genemark-scaffold_16-processed-gene-1.159-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.159&CDS=1-345	YPR166C
OG0001710	genemark-scaffold_16-processed-gene-1.161-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.161&CDS=1-1938	YDR110W
OG0001711	genemark-scaffold_16-processed-gene-1.194-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.194&CDS=1-342	YBL049W
OG0001712	genemark-scaffold_16-processed-gene-1.162-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.162&CDS=1-1866	YJR110W
OG0001713	genemark-scaffold_16-processed-gene-1.198-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.198&CDS=1-1398	YPR169W
OG0001714	genemark-scaffold_16-processed-gene-1.165-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.165&CDS=1-192	YLR262C-A
OG0001715	genemark-scaffold_16-processed-gene-1.166-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.166&CDS=1-873	YJL068C
OG0001716	snap_masked-scaffold_16-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-1.62&CDS=1-1587	YBR280C
OG0001717	genemark-scaffold_16-processed-gene-1.200-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.200&CDS=1-2559	YBR281C
OG0001718	maker-scaffold_16-augustus-gene-1.141-mRNA-1_1&gene=maker-scaffold_16-augustus-gene-1.141&CDS=1-2910	YJL100W
OG0001719	genemark-scaffold_16-processed-gene-1.204-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.204&CDS=1-1560	YJL153C
OG0001720	genemark-scaffold_16-processed-gene-1.167-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.167&CDS=1-954	YNR052C
OG0001721	genemark-scaffold_16-processed-gene-1.205-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.205&CDS=1-639	YDR177W
OG0001722	maker-scaffold_16-snap-gene-1.9-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.9&CDS=1-7641	YCR093W
OG0001723	augustus_masked-scaffold_16-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-1.95&CDS=1-714	YCR095C
OG0001724	genemark-scaffold_16-processed-gene-1.171-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.171&CDS=1-1347	YNR050C
OG0001725	genemark-scaffold_17-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.79&CDS=1-1641	YBR293W
OG0001726	genemark-scaffold_17-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.83&CDS=1-1863	YHL040C
OG0001727	genemark-scaffold_17-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.85&CDS=1-1089	YLR291C
OG0001728	snap_masked-scaffold_17-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.5&CDS=1-900	YLR288C
OG0001729	maker-scaffold_17-augustus-gene-0.73-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-0.73&CDS=1-3030	YLR289W
OG0001730	genemark-scaffold_17-processed-gene-0.87-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.87&CDS=1-1296	YKL027W
OG0001731	maker-scaffold_17-snap-gene-0.119-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.119&CDS=1-2013	YBR160W
OG0001732	genemark-scaffold_17-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.88&CDS=1-882	YBR291C
OG0001733	genemark-scaffold_17-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.105&CDS=1-1671	YKR002W
OG0001734	augustus_masked-scaffold_17-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.61&CDS=1-3042	YBR289W
OG0001735	genemark-scaffold_17-processed-gene-0.109-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.109&CDS=1-1452	YDR229W
OG0001736	genemark-scaffold_17-processed-gene-0.90-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.90&CDS=1-720	YDL202W
OG0001737	genemark-scaffold_17-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.110&CDS=1-903	YDL198C
OG0001738	genemark-scaffold_17-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.111&CDS=1-417	YGR203W
OG0001739	genemark-scaffold_17-processed-gene-0.112-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.112&CDS=1-1305	YGR202C
OG0001740	genemark-scaffold_17-processed-gene-0.93-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.93&CDS=1-1209	YJL026W
OG0001741	genemark-scaffold_17-processed-gene-0.113-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.113&CDS=1-1575	YLR314C
OG0001742	snap_masked-scaffold_17-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-0.34&CDS=1-2583	YKL157W
OG0001743	maker-scaffold_17-augustus-gene-0.72-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-0.72&CDS=1-486	YJR017C
OG0001744	augustus_masked-scaffold_17-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.52&CDS=1-960	YJR019C
OG0001745	genemark-scaffold_17-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.37&CDS=1-1116	YOR042W
OG0001746	genemark-scaffold_17-processed-gene-1.5-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.5&CDS=1-2652	YEL032W
OG0001747	augustus_masked-scaffold_17-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-1.179&CDS=1-3060	YOR353C
OG0001748	genemark-scaffold_17-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.41&CDS=1-1275	YBR029C
OG0001749	genemark-scaffold_17-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.42&CDS=1-870	YEL051W
OG0001750	genemark-scaffold_17-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.6&CDS=1-2181	YDR416W
OG0001751	genemark-scaffold_17-processed-gene-1.44-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.44&CDS=1-1392	YEL052W
OG0001752	genemark-scaffold_17-processed-gene-1.7-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.7&CDS=1-2181	YEL053C
OG0001753	genemark-scaffold_17-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.9&CDS=1-1161	YDR415C
OG0001754	maker-scaffold_17-snap-gene-1.211-mRNA-1_1&gene=maker-scaffold_17-snap-gene-1.211&CDS=1-1047	YPL069C
OG0001755	genemark-scaffold_17-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.10&CDS=1-849	YBR105C
OG0001756	genemark-scaffold_17-processed-gene-1.11-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.11&CDS=1-1368	YMR014W
OG0001757	genemark-scaffold_17-processed-gene-1.13-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.13&CDS=1-1242	YOL125W
OG0001758	genemark-scaffold_17-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.47&CDS=1-501	YKL056C
OG0001759	genemark-scaffold_17-processed-gene-1.49-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.49&CDS=1-1140	YOL052C
OG0001760	genemark-scaffold_17-processed-gene-1.15-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.15&CDS=1-453	YOR319W
OG0001761	genemark-scaffold_17-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.17&CDS=1-1092	YJR154W
OG0001762	genemark-scaffold_17-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.18&CDS=1-618	YNR057C
OG0001763	genemark-scaffold_17-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.54&CDS=1-858	YDR352W
OG0001764	genemark-scaffold_17-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.19&CDS=1-1605	YDR294C
OG0001765	genemark-scaffold_17-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.21&CDS=1-3144	YNL014W
OG0001766	genemark-scaffold_17-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.22&CDS=1-2418	YMR049C
OG0001767	maker-scaffold_17-augustus-gene-1.69-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-1.69&CDS=1-960	YGL237C
OG0001768	snap_masked-scaffold_17-processed-gene-1.105-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.105&CDS=1-1302	YMR091C
OG0001769	genemark-scaffold_17-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.27&CDS=1-2847	YGL238W
