	Eremothecium_sinecaudum	Saccharomyces_cerevisiae
OG0001674	snap_masked-CP014244.1-processed-gene-2.134-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-2.134&CDS=1-1779	YNL292W
OG0001675	augustus_masked-CP014244.1-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-2.100&CDS=1-1605	YNL291C
OG0001676	augustus_masked-CP014244.1-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.5&CDS=1-996	YNL290W
OG0001677	augustus_masked-CP014244.1-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.6&CDS=1-876	YNL289W
OG0001678	augustus_masked-CP014244.1-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.8&CDS=1-1188	YNL288W
OG0001679	augustus_masked-CP014244.1-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.9&CDS=1-2775	YNL287W
OG0001680	augustus_masked-CP014244.1-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.10&CDS=1-2196	YJL187C
OG0001681	snap_masked-CP014244.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-3.58&CDS=1-2502	YCR030C
OG0001682	augustus_masked-CP014244.1-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.29&CDS=1-912	YJL185C
OG0001683	augustus_masked-CP014244.1-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.12&CDS=1-378	YCR028C-A
OG0001684	augustus_masked-CP014244.1-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.13&CDS=1-381	YJL184W
OG0001685	genemark-CP014244.1-processed-gene-3.112-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-3.112&CDS=1-1530	YCR028C
OG0001686	snap_masked-CP014244.1-processed-gene-3.62-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-3.62&CDS=1-1242	YJL183W
OG0001687	augustus_masked-CP014244.1-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.15&CDS=1-1284	YJR030C
OG0001688	augustus_masked-CP014244.1-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.30&CDS=1-948	YJL180C
OG0001689	augustus_masked-CP014244.1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.16&CDS=1-339	YJL179W
OG0001690	augustus_masked-CP014244.1-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.31&CDS=1-753	YJL178C
OG0001691	maker-CP014244.1-snap-gene-3.50-mRNA-1_1&gene=maker-CP014244.1-snap-gene-3.50&CDS=1-3759	YJL176C
OG0001692	augustus_masked-CP014244.1-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.34&CDS=1-348	YJL173C
OG0001693	augustus_masked-CP014244.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.36&CDS=1-1341	YKL178C
OG0001694	augustus_masked-CP014244.1-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.37&CDS=1-1677	YJL171C
OG0001695	augustus_masked-CP014244.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.38&CDS=1-2052	YJL168C
OG0001696	augustus_masked-CP014244.1-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.39&CDS=1-2091	YKL176C
OG0001697	augustus_masked-CP014244.1-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.19&CDS=1-1281	YKL175W
OG0001698	augustus_masked-CP014244.1-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.40&CDS=1-1746	YKL174C
OG0001699	maker-CP014244.1-augustus-gene-3.3-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-3.3&CDS=1-2886	YKL170W
OG0001700	augustus_masked-CP014244.1-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.43&CDS=1-1473	YJL163C
OG0001701	augustus_masked-CP014244.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.44&CDS=1-4299	YKL165C
OG0001702	augustus_masked-CP014244.1-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.24&CDS=1-1518	YJR121W
OG0001703	augustus_masked-CP014244.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.25&CDS=1-1332	YJR122W
OG0001704	augustus_masked-CP014244.1-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.26&CDS=1-675	YJR123W
OG0001705	augustus_masked-CP014244.1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.46&CDS=1-1314	YJR124C
OG0001706	augustus_masked-CP014244.1-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.27&CDS=1-2574	YLR451W
OG0001707	augustus_masked-CP014244.1-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-3.28&CDS=1-1554	YER025W
OG0001708	augustus_masked-CP014244.1-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.103&CDS=1-2118	YLR452C
OG0001709	augustus_masked-CP014244.1-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.104&CDS=1-2106	YPR161C
OG0001710	genemark-CP014244.1-processed-gene-4.3-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.3&CDS=1-1683	YPR162C
OG0001711	snap_masked-CP014244.1-processed-gene-4.56-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.56&CDS=1-1209	YPR163C
OG0001712	snap_masked-CP014244.1-processed-gene-4.51-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.51&CDS=1-7710	YLR454W
OG0001713	snap_masked-CP014244.1-processed-gene-4.52-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.52&CDS=1-3513	YPR164W
OG0001714	maker-CP014244.1-snap-gene-4.48-mRNA-1_1&gene=maker-CP014244.1-snap-gene-4.48&CDS=1-1251	YPR165W
OG0001715	genemark-CP014244.1-processed-gene-4.31-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.31&CDS=1-345	YPR166C
OG0001716	augustus_masked-CP014244.1-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.106&CDS=1-2190	YPR175W
OG0001717	augustus_masked-CP014244.1-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.129&CDS=1-963	YPR176C
OG0001718	augustus_masked-CP014244.1-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.107&CDS=1-1392	YPR178W
OG0001719	augustus_masked-CP014244.1-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.130&CDS=1-1923	YPR179C
OG0001720	augustus_masked-CP014244.1-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.108&CDS=1-1035	YPR180W
OG0001721	augustus_masked-CP014244.1-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.131&CDS=1-2268	YPR181C
OG0001722	maker-CP014244.1-snap-gene-4.49-mRNA-1_1&gene=maker-CP014244.1-snap-gene-4.49&CDS=1-1344	YLR459W
OG0001723	augustus_masked-CP014244.1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.111&CDS=1-792	YPR183W
OG0001724	augustus_masked-CP014244.1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.112&CDS=1-4554	YPR184W
OG0001725	augustus_masked-CP014244.1-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.113&CDS=1-2007	YPR185W
OG0001726	snap_masked-CP014244.1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.66&CDS=1-1875	YPR171W
OG0001727	augustus_masked-CP014244.1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.115&CDS=1-1011	YLR455W
OG0001728	genemark-CP014244.1-processed-gene-4.16-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.16&CDS=1-579	YPR172W
OG0001729	snap_masked-CP014244.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.89&CDS=1-990	YLR457C
OG0001730	augustus_masked-CP014244.1-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.134&CDS=1-828	YPR167C
OG0001731	augustus_masked-CP014244.1-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.118&CDS=1-468	YPR168W
OG0001732	augustus_masked-CP014244.1-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.119&CDS=1-1491	YPR169W
OG0001733	augustus_masked-CP014244.1-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.120&CDS=1-879	YBL050W
OG0001734	genemark-CP014244.1-processed-gene-4.22-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.22&CDS=1-372	YBL049W
OG0001735	genemark-CP014244.1-processed-gene-4.23-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.23&CDS=1-1986	YJR110W
OG0001736	genemark-CP014244.1-processed-gene-4.40-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.40&CDS=1-888	YJR111C
OG0001737	augustus_masked-CP014244.1-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.122&CDS=1-639	YJR112W
OG0001738	snap_masked-CP014244.1-processed-gene-4.94-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.94&CDS=1-4011	YBL047C
OG0001739	snap_masked-CP014244.1-processed-gene-4.76-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.76&CDS=1-393	YJR112W-A
OG0001740	augustus_masked-CP014244.1-processed-gene-4.138-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.138&CDS=1-792	YJR113C
OG0001741	genemark-CP014244.1-processed-gene-4.25-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-4.25&CDS=1-1293	YBL046W
OG0001742	augustus_masked-CP014244.1-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.139&CDS=1-1332	YBL045C
OG0001743	snap_masked-CP014244.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-4.78&CDS=1-354	YBL043W
OG0001744	augustus_masked-CP014244.1-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.126&CDS=1-723	YBL041W
OG0001745	augustus_masked-CP014244.1-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.140&CDS=1-657	YBL040C
OG0001746	augustus_masked-CP014244.1-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.127&CDS=1-462	YJR104C
OG0001747	augustus_masked-CP014244.1-processed-gene-4.141-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.141&CDS=1-1734	YBL039C
OG0001748	augustus_masked-CP014244.1-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.128&CDS=1-534	YJR102C
OG0001749	augustus_masked-CP014244.1-processed-gene-4.143-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-4.143&CDS=1-762	YJR101W
OG0001750	augustus_masked-CP014244.1-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.1&CDS=1-1740	YPR045C
OG0001751	augustus_masked-CP014244.1-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.3&CDS=1-690	YJR099W
OG0001752	augustus_masked-CP014244.1-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.5&CDS=1-837	YJR096W
OG0001753	augustus_masked-CP014244.1-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.24&CDS=1-963	YJR095W
OG0001754	snap_masked-CP014244.1-processed-gene-5.101-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.101&CDS=1-780	YJR094C
OG0001755	augustus_masked-CP014244.1-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.7&CDS=1-972	YJR093C
OG0001756	snap_masked-CP014244.1-processed-gene-5.123-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.123&CDS=1-3543	YJR092W
OG0001757	augustus_masked-CP014244.1-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.8&CDS=1-3204	YJR091C
OG0001758	snap_masked-CP014244.1-processed-gene-5.104-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.104&CDS=1-894	YER106W
OG0001759	genemark-CP014244.1-processed-gene-5.57-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-5.57&CDS=1-1608	YBL080C
OG0001760	snap_masked-CP014244.1-processed-gene-5.124-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.124&CDS=1-1032	YBL081W
OG0001761	genemark-CP014244.1-processed-gene-5.76-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-5.76&CDS=1-1101	YER107C
OG0001762	augustus_masked-CP014244.1-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.29&CDS=1-1353	YBL082C
OG0001763	augustus_masked-CP014244.1-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.30&CDS=1-3345	YER110C
OG0001764	augustus_masked-CP014244.1-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.31&CDS=1-2844	YER111C
OG0001765	augustus_masked-CP014244.1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.11&CDS=1-534	YER112W
OG0001766	augustus_masked-CP014244.1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.32&CDS=1-2052	YER113C
OG0001767	augustus_masked-CP014244.1-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.12&CDS=1-2049	YBL084C
OG0001768	augustus_masked-CP014244.1-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.33&CDS=1-3030	YBL085W
OG0001769	augustus_masked-CP014244.1-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.13&CDS=1-1317	YBL086C
OG0001770	genemark-CP014244.1-processed-gene-5.84-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-5.84&CDS=1-690	YER116C
OG0001771	augustus_masked-CP014244.1-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.15&CDS=1-8319	YBL088C
OG0001772	augustus_masked-CP014244.1-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.35&CDS=1-1002	YER118C
OG0001773	augustus_masked-CP014244.1-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.36&CDS=1-1359	YER119C
OG0001774	augustus_masked-CP014244.1-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.37&CDS=1-471	YBL090W
OG0001775	augustus_masked-CP014244.1-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.16&CDS=1-1227	YBL091C
OG0001776	augustus_masked-CP014244.1-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.17&CDS=1-729	YER120W
OG0001777	augustus_masked-CP014244.1-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.38&CDS=1-393	YBL092W
OG0001778	augustus_masked-CP014244.1-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.18&CDS=1-651	YBL093C
OG0001779	maker-CP014244.1-augustus-gene-5.46-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-5.46&CDS=1-1920	YER122C
OG0001780	maker-CP014244.1-augustus-gene-5.45-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-5.45&CDS=1-3618	YBL098W
OG0001781	augustus_masked-CP014244.1-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.20&CDS=1-2115	YPR024W
OG0001782	augustus_masked-CP014244.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.40&CDS=1-1125	YPR025C
OG0001783	augustus_masked-CP014244.1-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.41&CDS=1-1641	YBL099W
OG0001784	augustus_masked-CP014244.1-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.21&CDS=1-3645	YPR026W
OG0001785	augustus_masked-CP014244.1-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.22&CDS=1-564	YPR028W
OG0001786	augustus_masked-CP014244.1-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.42&CDS=1-2439	YPR029C
OG0001787	snap_masked-CP014244.1-processed-gene-5.120-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-5.120&CDS=1-2712	YBL101C
OG0001788	augustus_masked-CP014244.1-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-5.43&CDS=1-642	YBL102W
OG0001789	augustus_masked-CP014244.1-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.59&CDS=1-1272	YBL103C
OG0001790	augustus_masked-CP014244.1-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.60&CDS=1-1302	YLR210W
OG0001791	augustus_masked-CP014244.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.62&CDS=1-1776	YDL153C
OG0001792	augustus_masked-CP014244.1-processed-gene-6.61-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.61&CDS=1-3930	YDL149W
OG0001793	augustus_masked-CP014244.1-processed-gene-6.85-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.85&CDS=1-2406	YDL148C
OG0001794	augustus_masked-CP014244.1-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.63&CDS=1-1323	YDL147W
OG0001795	snap_masked-CP014244.1-processed-gene-6.29-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-6.29&CDS=1-639	YLR211C
OG0001796	augustus_masked-CP014244.1-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.64&CDS=1-1344	YDL146W
OG0001797	augustus_masked-CP014244.1-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.87&CDS=1-1410	YLR212C
OG0001798	augustus_masked-CP014244.1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.88&CDS=1-3606	YDL145C
OG0001799	maker-CP014244.1-augustus-gene-6.109-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-6.109&CDS=1-2322	YDL144C
OG0001800	augustus_masked-CP014244.1-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.65&CDS=1-2070	YLR214W
OG0001801	augustus_masked-CP014244.1-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.90&CDS=1-1068	YLR215C
OG0001802	augustus_masked-CP014244.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.66&CDS=1-1587	YDL143W
OG0001803	augustus_masked-CP014244.1-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.91&CDS=1-813	YDL142C
OG0001804	augustus_masked-CP014244.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.67&CDS=1-894	YDL119C
OG0001805	augustus_masked-CP014244.1-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.92&CDS=1-4590	YGL156W
OG0001806	augustus_masked-CP014244.1-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.93&CDS=1-528	YDL120W
OG0001807	augustus_masked-CP014244.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.68&CDS=1-381	YDL121C
OG0001808	augustus_masked-CP014244.1-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.94&CDS=1-2130	YDL122W
OG0001809	augustus_masked-CP014244.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.95&CDS=1-1275	YNL016W
OG0001810	augustus_masked-CP014244.1-processed-gene-6.69-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.69&CDS=1-1059	YIL083C
OG0001811	augustus_masked-CP014244.1-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.96&CDS=1-1485	YNL026W
OG0001812	augustus_masked-CP014244.1-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.97&CDS=1-1644	YNL027W
OG0001813	genemark-CP014244.1-processed-gene-6.126-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-6.126&CDS=1-960	YIL084C
OG0001814	augustus_masked-CP014244.1-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.72&CDS=1-432	YIL087C
OG0001815	augustus_masked-CP014244.1-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.99&CDS=1-792	YNL032W
OG0001816	augustus_masked-CP014244.1-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.73&CDS=1-1419	YIL088C
OG0001817	genemark-CP014244.1-processed-gene-6.159-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-6.159&CDS=1-2088	YNL025C
OG0001818	genemark-CP014244.1-processed-gene-6.160-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-6.160&CDS=1-1185	YIL090W
OG0001819	augustus_masked-CP014244.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.74&CDS=1-2094	YIL091C
OG0001820	augustus_masked-CP014244.1-processed-gene-6.75-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.75&CDS=1-771	YIL093C
OG0001821	genemark-CP014244.1-processed-gene-6.161-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-6.161&CDS=1-2730	YNL023C
OG0001822	genemark-CP014244.1-processed-gene-6.132-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-6.132&CDS=1-1110	YIL094C
OG0001823	augustus_masked-CP014244.1-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.102&CDS=1-1464	YNL022C
OG0001824	augustus_masked-CP014244.1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.77&CDS=1-2121	YNL021W
OG0001825	augustus_masked-CP014244.1-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.78&CDS=1-1200	YNL035C
OG0001826	augustus_masked-CP014244.1-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.79&CDS=1-1668	YNL039W
OG0001827	snap_masked-CP014244.1-processed-gene-6.22-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-6.22&CDS=1-591	YNL038W
OG0001828	augustus_masked-CP014244.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.80&CDS=1-933	YIL096C
OG0001829	maker-CP014244.1-augustus-gene-6.112-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-6.112&CDS=1-2568	YNL037C
OG0001830	augustus_masked-CP014244.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.81&CDS=1-504	YIL098C
OG0001831	augustus_masked-CP014244.1-processed-gene-6.106-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.106&CDS=1-1695	YIL099W
OG0001832	augustus_masked-CP014244.1-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.82&CDS=1-627	YNL036W
OG0001833	augustus_masked-CP014244.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.83&CDS=1-1977	YIL101C
OG0001834	maker-CP014244.1-augustus-gene-6.113-mRNA-1_1&gene=maker-CP014244.1-augustus-gene-6.113&CDS=1-1422	YOR351C
OG0001835	augustus_masked-CP014244.1-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.84&CDS=1-912	YOR352W
OG0001836	augustus_masked-CP014244.1-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-6.108&CDS=1-2253	YOR353C
OG0001837	augustus_masked-CP014244.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.4&CDS=1-888	YAL039C
OG0001838	augustus_masked-CP014244.1-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.8&CDS=1-1995	YOR354C
OG0001839	augustus_masked-CP014244.1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.5&CDS=1-1392	YAL040C
OG0001840	augustus_masked-CP014244.1-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.7&CDS=1-1413	YOR355W
OG0001841	augustus_masked-CP014244.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.9&CDS=1-1953	YOR356W
OG0001842	augustus_masked-CP014244.1-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.31&CDS=1-2430	YAL041W
OG0001843	augustus_masked-CP014244.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.32&CDS=1-1203	YAL042W
OG0001844	augustus_masked-CP014244.1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.33&CDS=1-543	YOR357C
OG0001845	genemark-CP014244.1-processed-gene-7.107-mRNA-1_1&gene=genemark-CP014244.1-processed-gene-7.107&CDS=1-417	YOR358W
OG0001846	snap_masked-CP014244.1-processed-gene-7.59-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-7.59&CDS=1-2445	YAL043C
OG0001847	augustus_masked-CP014244.1-processed-gene-7.11-mRNA-1_1&gene=augustus_masked-CP014244.1-processed-gene-7.11&CDS=1-1545	YOR359W
OG0001848	snap_masked-CP014244.1-processed-gene-7.83-mRNA-1_1&gene=snap_masked-CP014244.1-processed-gene-7.83&CDS=1-1716	YOR360C
