	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0001458	genemark-kam_s167-processed-gene-0.12-mRNA-1_1&gene=genemark-kam_s167-processed-gene-0.12&CDS=1-1629	YNR053C
OG0001459	snap_masked-kam_s167-processed-gene-0.64-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.64&CDS=1-1533	YNR052C
OG0001460	snap_masked-kam_s167-processed-gene-0.67-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.67&CDS=1-1803	YPR190C
OG0001461	snap_masked-kam_s167-processed-gene-0.50-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.50&CDS=1-4170	YPR189W
OG0001462	snap_masked-kam_s167-processed-gene-0.51-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.51&CDS=1-2241	YPR185W
OG0001463	snap_masked-kam_s167-processed-gene-0.52-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.52&CDS=1-1473	YEL052W
OG0001464	snap_masked-kam_s167-processed-gene-0.53-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-0.53&CDS=1-1713	YGR002C
OG0001465	augustus_masked-kam_s167-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-1.82&CDS=1-2541	YAR002W
OG0001466	snap_masked-kam_s167-processed-gene-1.4-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.4&CDS=1-1050	YGL001C
OG0001467	snap_masked-kam_s167-processed-gene-1.7-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.7&CDS=1-834	YGR280C
OG0001468	snap_masked-kam_s167-processed-gene-1.8-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.8&CDS=1-3660	YAL001C
OG0001469	snap_masked-kam_s167-processed-gene-1.9-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.9&CDS=1-714	YGR001C
OG0001470	genemark-kam_s167-processed-gene-1.51-mRNA-1_1&gene=genemark-kam_s167-processed-gene-1.51&CDS=1-630	YAL003W
OG0001471	snap_masked-kam_s167-processed-gene-1.11-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.11&CDS=1-1932	YER005W
OG0001472	snap_masked-kam_s167-processed-gene-1.13-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.13&CDS=1-1527	YER006W
OG0001473	snap_masked-kam_s167-processed-gene-1.14-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.14&CDS=1-1461	YER007W
OG0001474	snap_masked-kam_s167-processed-gene-1.29-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.29&CDS=1-543	YER007C-A
OG0001475	snap_masked-kam_s167-processed-gene-1.30-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.30&CDS=1-3102	YIR002C
OG0001476	snap_masked-kam_s167-processed-gene-1.32-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.32&CDS=1-2844	YOR005C
OG0001477	snap_masked-kam_s167-processed-gene-1.33-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.33&CDS=1-1650	YOR067C
OG0001478	snap_masked-kam_s167-processed-gene-1.18-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.18&CDS=1-1122	YGL243W
OG0001479	snap_masked-kam_s167-processed-gene-1.34-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.34&CDS=1-510	YGL242C
OG0001480	snap_masked-kam_s167-processed-gene-1.19-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.19&CDS=1-696	YJL121C
OG0001481	snap_masked-kam_s167-processed-gene-1.36-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.36&CDS=1-459	YJL122W
OG0001482	augustus_masked-kam_s167-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-1.115&CDS=1-642	YOL032W
OG0001483	snap_masked-kam_s167-processed-gene-1.38-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.38&CDS=1-1080	YAL020C
OG0001484	snap_masked-kam_s167-processed-gene-1.22-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.22&CDS=1-3090	YAL019W
OG0001485	snap_masked-kam_s167-processed-gene-1.25-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.25&CDS=1-1152	YPL146C
OG0001486	snap_masked-kam_s167-processed-gene-1.42-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.42&CDS=1-2790	YOR217W
OG0001487	snap_masked-kam_s167-processed-gene-1.43-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.43&CDS=1-2475	YOR216C
OG0001488	snap_masked-kam_s167-processed-gene-2.109-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.109&CDS=1-1431	YJL091C
OG0001489	augustus_masked-kam_s167-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-2.0&CDS=1-1176	YAL009W
OG0001490	snap_masked-kam_s167-processed-gene-2.105-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.105&CDS=1-624	YPR107C
OG0001491	snap_masked-kam_s167-processed-gene-2.110-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.110&CDS=1-2583	YPR105C
OG0001492	snap_masked-kam_s167-processed-gene-2.129-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.129&CDS=1-1530	YNL239W
OG0001493	snap_masked-kam_s167-processed-gene-2.130-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.130&CDS=1-1278	YOL041C
OG0001494	snap_masked-kam_s167-processed-gene-2.111-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.111&CDS=1-1779	YAL013W
OG0001495	snap_masked-kam_s167-processed-gene-2.112-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.112&CDS=1-1482	YLR330W
OG0001496	snap_masked-kam_s167-processed-gene-2.131-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.131&CDS=1-372	YGR020C
OG0001497	snap_masked-kam_s167-processed-gene-2.113-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.113&CDS=1-822	YGR021W
OG0001498	genemark-kam_s167-processed-gene-2.77-mRNA-1_1&gene=genemark-kam_s167-processed-gene-2.77&CDS=1-1227	YPR011C
OG0001499	genemark-kam_s167-processed-gene-2.62-mRNA-1_1&gene=genemark-kam_s167-processed-gene-2.62&CDS=1-2196	YPL128C
OG0001500	snap_masked-kam_s167-processed-gene-2.115-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.115&CDS=1-1179	YOR212W
OG0001501	snap_masked-kam_s167-processed-gene-2.135-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.135&CDS=1-720	YPL129W
OG0001502	maker-kam_s167-augustus-gene-2.161-mRNA-1_1&gene=maker-kam_s167-augustus-gene-2.161&CDS=1-1149	YOR236W
OG0001503	genemark-kam_s167-processed-gene-2.82-mRNA-1_1&gene=genemark-kam_s167-processed-gene-2.82&CDS=1-705	YPL127C
OG0001504	snap_masked-kam_s167-processed-gene-2.116-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.116&CDS=1-255	YER058W
OG0001505	snap_masked-kam_s167-processed-gene-2.142-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.142&CDS=1-927	YER016W
OG0001506	snap_masked-kam_s167-processed-gene-2.145-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.145&CDS=1-606	YER050C
OG0001507	snap_masked-kam_s167-processed-gene-2.146-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.146&CDS=1-2130	YPL043W
OG0001508	snap_masked-kam_s167-processed-gene-2.118-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.118&CDS=1-1371	YDR254W
OG0001509	snap_masked-kam_s167-processed-gene-2.147-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.147&CDS=1-2790	YPL045W
OG0001510	snap_masked-kam_s167-processed-gene-2.119-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.119&CDS=1-282	YPL046C
OG0001511	snap_masked-kam_s167-processed-gene-2.120-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.120&CDS=1-1728	YDR255C
OG0001512	snap_masked-kam_s167-processed-gene-2.121-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.121&CDS=1-1737	YPL030W
OG0001513	augustus_masked-kam_s167-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-2.18&CDS=1-984	YPL031C
OG0001514	snap_masked-kam_s167-processed-gene-2.149-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.149&CDS=1-1653	YER065C
OG0001515	snap_masked-kam_s167-processed-gene-2.123-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.123&CDS=1-933	YMR010W
OG0001516	snap_masked-kam_s167-processed-gene-2.124-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.124&CDS=1-648	YPL067C
OG0001517	snap_masked-kam_s167-processed-gene-2.154-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.154&CDS=1-1491	YBR004C
OG0001518	snap_masked-kam_s167-processed-gene-2.157-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-2.157&CDS=1-804	YLL023C
OG0001519	genemark-kam_s167-processed-gene-2.72-mRNA-1_1&gene=genemark-kam_s167-processed-gene-2.72&CDS=1-807	YLR421C
OG0001520	snap_masked-kam_s167-processed-gene-3.3-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.3&CDS=1-2472	YGL180W
OG0001521	snap_masked-kam_s167-processed-gene-3.2-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.2&CDS=1-9330	YLL040C
OG0001522	snap_masked-kam_s167-processed-gene-3.26-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.26&CDS=1-1026	YBL013W
OG0001523	augustus_masked-kam_s167-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-3.46&CDS=1-2334	YGL026C
OG0001524	augustus_masked-kam_s167-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-3.65&CDS=1-2571	YBL014C
OG0001525	snap_masked-kam_s167-processed-gene-3.10-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.10&CDS=1-3507	YIL030C
OG0001526	augustus_masked-kam_s167-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-3.67&CDS=1-450	YML098W
OG0001527	snap_masked-kam_s167-processed-gene-3.29-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.29&CDS=1-630	YGL047W
OG0001528	snap_masked-kam_s167-processed-gene-3.12-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.12&CDS=1-1257	YML080W
OG0001529	maker-kam_s167-augustus-gene-3.0-mRNA-1_1&gene=maker-kam_s167-augustus-gene-3.0&CDS=1-5664	YDR141C
OG0001530	snap_masked-kam_s167-processed-gene-3.30-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.30&CDS=1-972	YNR054C
OG0001531	snap_masked-kam_s167-processed-gene-3.31-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.31&CDS=1-357	YFL014W
OG0001532	snap_masked-kam_s167-processed-gene-3.16-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.16&CDS=1-2457	YLL034C
OG0001533	augustus_masked-kam_s167-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-3.55&CDS=1-960	YGR031W
OG0001534	snap_masked-kam_s167-processed-gene-3.32-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.32&CDS=1-900	YLR351C
OG0001535	snap_masked-kam_s167-processed-gene-3.19-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.19&CDS=1-1845	YPL222W
OG0001536	genemark-kam_s167-processed-gene-3.118-mRNA-1_1&gene=genemark-kam_s167-processed-gene-3.118&CDS=1-759	YER120W
OG0001537	snap_masked-kam_s167-processed-gene-3.38-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.38&CDS=1-1275	YBL091C
OG0001538	snap_masked-kam_s167-processed-gene-3.21-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.21&CDS=1-1782	YNL048W
OG0001539	snap_masked-kam_s167-processed-gene-3.22-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-3.22&CDS=1-2703	YGL137W
OG0001540	genemark-kam_s167-processed-gene-4.106-mRNA-1_1&gene=genemark-kam_s167-processed-gene-4.106&CDS=1-1227	YPL048W
OG0001541	snap_masked-kam_s167-processed-gene-4.3-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.3&CDS=1-1107	YPL050C
OG0001542	snap_masked-kam_s167-processed-gene-4.4-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.4&CDS=1-1908	YPL093W
OG0001543	snap_masked-kam_s167-processed-gene-4.6-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.6&CDS=1-312	YGL080W
OG0001544	snap_masked-kam_s167-processed-gene-4.7-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.7&CDS=1-699	YIR030C
OG0001545	snap_masked-kam_s167-processed-gene-4.9-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.9&CDS=1-879	YPL196W
OG0001546	snap_masked-kam_s167-processed-gene-4.33-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.33&CDS=1-4293	YOR336W
OG0001547	augustus_masked-kam_s167-processed-gene-4.65-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-4.65&CDS=1-3354	YGR047C
OG0001548	snap_masked-kam_s167-processed-gene-4.13-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.13&CDS=1-1410	YMR283C
OG0001549	snap_masked-kam_s167-processed-gene-4.14-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.14&CDS=1-762	YHR049W
OG0001550	snap_masked-kam_s167-processed-gene-4.15-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.15&CDS=1-1611	YBR236C
OG0001551	snap_masked-kam_s167-processed-gene-4.35-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.35&CDS=1-1275	YOL065C
OG0001552	augustus_masked-kam_s167-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-4.70&CDS=1-3255	YOL066C
OG0001553	snap_masked-kam_s167-processed-gene-4.36-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.36&CDS=1-1554	YNL294C
OG0001554	snap_masked-kam_s167-processed-gene-4.39-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.39&CDS=1-2277	YDL040C
OG0001555	snap_masked-kam_s167-processed-gene-4.40-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.40&CDS=1-1734	YOR027W
OG0001556	snap_masked-kam_s167-processed-gene-4.43-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.43&CDS=1-915	YER053C
OG0001557	snap_masked-kam_s167-processed-gene-4.44-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.44&CDS=1-1434	YLR004C
OG0001558	snap_masked-kam_s167-processed-gene-4.45-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.45&CDS=1-318	YBL001C
OG0001559	snap_masked-kam_s167-processed-gene-4.46-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.46&CDS=1-1098	YCR002C
OG0001560	snap_masked-kam_s167-processed-gene-4.24-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.24&CDS=1-588	YCR003W
OG0001561	augustus_masked-kam_s167-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-4.78&CDS=1-2322	YBR035C
OG0001562	snap_masked-kam_s167-processed-gene-4.48-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.48&CDS=1-912	YLR308W
OG0001563	snap_masked-kam_s167-processed-gene-4.29-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.29&CDS=1-918	YLR226W
OG0001564	snap_masked-kam_s167-processed-gene-4.50-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.50&CDS=1-1485	YPL011C
OG0001565	snap_masked-kam_s167-processed-gene-4.51-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.51&CDS=1-573	YPL010W
OG0001566	snap_masked-kam_s167-processed-gene-4.30-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.30&CDS=1-1587	YPL020C
OG0001567	snap_masked-kam_s167-processed-gene-4.53-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.53&CDS=1-2580	YMR302C
OG0001568	snap_masked-kam_s167-processed-gene-4.54-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.54&CDS=1-1077	YGR028W
OG0001569	snap_masked-kam_s167-processed-gene-4.31-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-4.31&CDS=1-2913	YLR336C
OG0001570	snap_masked-kam_s167-processed-gene-5.2-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.2&CDS=1-3693	YFL008W
OG0001571	snap_masked-kam_s167-processed-gene-5.4-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.4&CDS=1-951	YEL037C
OG0001572	snap_masked-kam_s167-processed-gene-5.20-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.20&CDS=1-690	YEL038W
OG0001573	snap_masked-kam_s167-processed-gene-5.7-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.7&CDS=1-1194	YGR012W
OG0001574	snap_masked-kam_s167-processed-gene-5.23-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.23&CDS=1-1335	YPL112C
OG0001575	snap_masked-kam_s167-processed-gene-5.24-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.24&CDS=1-1296	YDR531W
OG0001576	snap_masked-kam_s167-processed-gene-5.26-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.26&CDS=1-2490	YJL087C
OG0001577	snap_masked-kam_s167-processed-gene-5.8-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.8&CDS=1-1812	YJL085W
OG0001578	snap_masked-kam_s167-processed-gene-5.9-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.9&CDS=1-591	YGL096W
OG0001579	snap_masked-kam_s167-processed-gene-5.28-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.28&CDS=1-2616	YFL047W
OG0001580	snap_masked-kam_s167-processed-gene-5.12-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.12&CDS=1-825	YLR284C
OG0001581	snap_masked-kam_s167-processed-gene-5.13-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.13&CDS=1-2256	YHL023C
OG0001582	snap_masked-kam_s167-processed-gene-5.30-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.30&CDS=1-7293	YHR165C
OG0001583	snap_masked-kam_s167-processed-gene-5.15-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.15&CDS=1-1692	YMR296C
OG0001584	snap_masked-kam_s167-processed-gene-5.31-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-5.31&CDS=1-1719	YHR166C
OG0001585	snap_masked-kam_s167-processed-gene-6.0-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.0&CDS=1-2097	YMR186W
OG0001586	snap_masked-kam_s167-processed-gene-6.3-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.3&CDS=1-3012	YMR185W
OG0001587	snap_masked-kam_s167-processed-gene-6.2-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.2&CDS=1-594	YPL239W
OG0001588	snap_masked-kam_s167-processed-gene-6.4-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.4&CDS=1-819	YPL237W
OG0001589	snap_masked-kam_s167-processed-gene-6.20-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.20&CDS=1-1059	YPL236C
OG0001590	snap_masked-kam_s167-processed-gene-6.6-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.6&CDS=1-819	YPL246C
OG0001591	snap_masked-kam_s167-processed-gene-6.21-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.21&CDS=1-1155	YMR203W
OG0001592	augustus_masked-kam_s167-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-6.43&CDS=1-1392	YPL235W
OG0001593	snap_masked-kam_s167-processed-gene-6.24-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.24&CDS=1-480	YPL234C
OG0001594	snap_masked-kam_s167-processed-gene-6.17-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.17&CDS=1-609	YJR050W
OG0001595	snap_masked-kam_s167-processed-gene-6.18-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.18&CDS=1-4707	YPL242C
OG0001596	snap_masked-kam_s167-processed-gene-6.26-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.26&CDS=1-1857	YLR429W
OG0001597	snap_masked-kam_s167-processed-gene-6.29-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.29&CDS=1-2157	YNR008W
OG0001598	snap_masked-kam_s167-processed-gene-6.30-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-6.30&CDS=1-960	YNR007C
OG0001599	snap_masked-kam_s167-processed-gene-7.28-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.28&CDS=1-648	YMR202W
OG0001600	genemark-kam_s167-processed-gene-7.65-mRNA-1_1&gene=genemark-kam_s167-processed-gene-7.65&CDS=1-732	YMR200W
OG0001601	snap_masked-kam_s167-processed-gene-7.34-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.34&CDS=1-2367	YNR006W
OG0001602	snap_masked-kam_s167-processed-gene-7.35-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.35&CDS=1-1314	YKL184W
OG0001603	snap_masked-kam_s167-processed-gene-7.36-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.36&CDS=1-1707	YLR433C
OG0001604	augustus_masked-kam_s167-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-7.23&CDS=1-2883	YML065W
OG0001605	snap_masked-kam_s167-processed-gene-7.52-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.52&CDS=1-573	YML064C
OG0001606	snap_masked-kam_s167-processed-gene-7.42-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.42&CDS=1-471	YML073C
OG0001607	snap_masked-kam_s167-processed-gene-7.53-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.53&CDS=1-1311	YDR393W
OG0001608	snap_masked-kam_s167-processed-gene-7.46-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.46&CDS=1-1341	YJL026W
OG0001609	snap_masked-kam_s167-processed-gene-7.47-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.47&CDS=1-978	YOR006C
OG0001610	snap_masked-kam_s167-processed-gene-7.48-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.48&CDS=1-3804	YML002W
OG0001611	snap_masked-kam_s167-processed-gene-7.49-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-7.49&CDS=1-1089	YOR007C
OG0001612	snap_masked-kam_s167-processed-gene-8.2-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.2&CDS=1-2484	YGL216W
OG0001613	snap_masked-kam_s167-processed-gene-8.4-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.4&CDS=1-1617	YBL061C
OG0001614	snap_masked-kam_s167-processed-gene-8.18-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.18&CDS=1-708	YER100W
OG0001615	snap_masked-kam_s167-processed-gene-8.21-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.21&CDS=1-609	YLR250W
OG0001616	snap_masked-kam_s167-processed-gene-8.8-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.8&CDS=1-540	YOR163W
OG0001617	snap_masked-kam_s167-processed-gene-8.23-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.23&CDS=1-945	YOR164C
OG0001618	snap_masked-kam_s167-processed-gene-8.13-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.13&CDS=1-831	YFR050C
OG0001619	snap_masked-kam_s167-processed-gene-8.14-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.14&CDS=1-1086	YGL248W
OG0001620	snap_masked-kam_s167-processed-gene-8.25-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.25&CDS=1-1776	YFR051C
OG0001621	snap_masked-kam_s167-processed-gene-8.15-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-8.15&CDS=1-273	YDL157C
OG0001622	snap_masked-kam_s167-processed-gene-9.54-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.54&CDS=1-1389	YMR140W
OG0001623	snap_masked-kam_s167-processed-gene-9.70-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.70&CDS=1-1098	YDR297W
OG0001624	genemark-kam_s167-processed-gene-9.5-mRNA-1_1&gene=genemark-kam_s167-processed-gene-9.5&CDS=1-567	YKR068C
OG0001625	snap_masked-kam_s167-processed-gene-9.61-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.61&CDS=1-519	YOR052C
OG0001626	snap_masked-kam_s167-processed-gene-9.71-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.71&CDS=1-1434	YOR051C
OG0001627	snap_masked-kam_s167-processed-gene-9.62-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.62&CDS=1-1626	YKR069W
OG0001628	snap_masked-kam_s167-processed-gene-9.63-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.63&CDS=1-1110	YKR070W
OG0001629	snap_masked-kam_s167-processed-gene-9.72-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.72&CDS=1-1653	YML123C
OG0001630	snap_masked-kam_s167-processed-gene-9.75-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.75&CDS=1-1620	YJL111W
OG0001631	snap_masked-kam_s167-processed-gene-9.64-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.64&CDS=1-456	YBR122C
OG0001632	snap_masked-kam_s167-processed-gene-9.77-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-9.77&CDS=1-2478	YJL204C
OG0001633	genemark-kam_s167-processed-gene-9.25-mRNA-1_1&gene=genemark-kam_s167-processed-gene-9.25&CDS=1-2814	YNL267W
OG0001634	snap_masked-kam_s167-processed-gene-10.93-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-10.93&CDS=1-1650	YKR002W
OG0001635	augustus_masked-kam_s167-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-kam_s167-processed-gene-10.2&CDS=1-1482	YHR024C
OG0001636	snap_masked-kam_s167-processed-gene-10.96-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-10.96&CDS=1-1335	YDR465C
OG0001637	maker-kam_s167-augustus-gene-10.88-mRNA-1_1&gene=maker-kam_s167-augustus-gene-10.88&CDS=1-2640	YHR007C
OG0001638	snap_masked-kam_s167-processed-gene-10.100-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-10.100&CDS=1-1377	YJL044C
OG0001639	snap_masked-kam_s167-processed-gene-10.101-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-10.101&CDS=1-363	YKL160W
