	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0001560	genemark-NC_018295.1-processed-gene-18.84-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.84&CDS=1-4371	YHR186C
OG0001561	genemark-NC_018295.1-processed-gene-18.85-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.85&CDS=1-2241	YOL148C
OG0001562	genemark-NC_018295.1-processed-gene-18.86-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.86&CDS=1-477	YOL149W
OG0001563	augustus_masked-NC_018295.1-processed-gene-18.37-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-18.37&CDS=1-531	YOL114C
OG0001564	augustus_masked-NC_018295.1-processed-gene-18.18-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-18.18&CDS=1-5247	YBR275C
OG0001565	genemark-NC_018295.1-processed-gene-18.65-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.65&CDS=1-2145	YJL057C
OG0001566	augustus_masked-NC_018295.1-processed-gene-18.20-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-18.20&CDS=1-1335	YDR306C
OG0001567	snap_masked-NC_018295.1-processed-gene-18.120-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-18.120&CDS=1-1698	YGR166W
OG0001568	genemark-NC_018295.1-processed-gene-18.68-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.68&CDS=1-2046	YCL057W
OG0001569	genemark-NC_018295.1-processed-gene-18.89-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.89&CDS=1-1953	YBR121C
OG0001570	genemark-NC_018295.1-processed-gene-18.69-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.69&CDS=1-723	YDR296W
OG0001571	genemark-NC_018295.1-processed-gene-18.72-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.72&CDS=1-1341	YKL145W
OG0001572	genemark-NC_018295.1-processed-gene-18.90-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.90&CDS=1-585	YKL144C
OG0001573	genemark-NC_018295.1-processed-gene-18.74-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.74&CDS=1-1176	YNR040W
OG0001574	maker-NC_018295.1-augustus-gene-19.0-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-19.0&CDS=1-2457	YKR070W
OG0001575	genemark-NC_018295.1-processed-gene-19.47-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.47&CDS=1-774	YOR238W
OG0001576	genemark-NC_018295.1-processed-gene-19.48-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.48&CDS=1-1014	YOL002C
OG0001577	genemark-NC_018295.1-processed-gene-19.49-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.49&CDS=1-1731	YJL071W
OG0001578	snap_masked-NC_018295.1-processed-gene-19.85-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-19.85&CDS=1-2781	YOR001W
OG0001579	genemark-NC_018295.1-processed-gene-19.34-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.34&CDS=1-1179	YBR267W
OG0001580	genemark-NC_018295.1-processed-gene-19.51-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.51&CDS=1-2679	YJL062W
OG0001581	genemark-NC_018295.1-processed-gene-19.52-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.52&CDS=1-3999	YMR012W
OG0001582	genemark-NC_018295.1-processed-gene-19.40-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.40&CDS=1-2034	YML088W
OG0001583	genemark-NC_018295.1-processed-gene-19.53-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.53&CDS=1-2652	YPL072W
OG0001584	genemark-NC_018295.1-processed-gene-19.44-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.44&CDS=1-993	YCR021C
OG0001585	augustus_masked-NC_018295.1-processed-gene-19.15-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-19.15&CDS=1-924	YLR065C
OG0001586	genemark-NC_018295.1-processed-gene-19.56-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.56&CDS=1-3852	YOL075C
OG0001587	genemark-NC_018295.1-processed-gene-19.57-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-19.57&CDS=1-996	YER156C
OG0001588	snap_masked-NC_018295.1-processed-gene-19.94-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-19.94&CDS=1-282	YBL029C-A
OG0001589	genemark-NC_018295.1-processed-gene-20.0-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.0&CDS=1-2067	YOR360C
OG0001590	genemark-NC_018295.1-processed-gene-20.2-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.2&CDS=1-4200	YBR115C
OG0001591	genemark-NC_018295.1-processed-gene-20.3-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.3&CDS=1-2550	YBR114W
OG0001592	genemark-NC_018295.1-processed-gene-20.4-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.4&CDS=1-1050	YMR146C
OG0001593	genemark-NC_018295.1-processed-gene-20.5-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.5&CDS=1-807	YDL086W
OG0001594	maker-NC_018295.1-augustus-gene-20.152-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-20.152&CDS=1-1299	YDL100C
OG0001595	snap_masked-NC_018295.1-processed-gene-20.110-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-20.110&CDS=1-477	YDR201W
OG0001596	genemark-NC_018295.1-processed-gene-20.26-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.26&CDS=1-1746	YHR108W
OG0001597	genemark-NC_018295.1-processed-gene-20.11-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.11&CDS=1-426	YDR357C
OG0001598	genemark-NC_018295.1-processed-gene-20.28-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.28&CDS=1-972	YDR204W
OG0001599	genemark-NC_018295.1-processed-gene-20.12-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.12&CDS=1-825	YLR239C
OG0001600	maker-NC_018295.1-snap-gene-20.98-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-20.98&CDS=1-3171	YDR421W
OG0001601	maker-NC_018295.1-snap-gene-20.99-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-20.99&CDS=1-1203	YHR107C
OG0001602	genemark-NC_018295.1-processed-gene-20.33-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.33&CDS=1-807	YER177W
OG0001603	genemark-NC_018295.1-processed-gene-20.34-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.34&CDS=1-1689	YDR101C
OG0001604	genemark-NC_018295.1-processed-gene-20.35-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.35&CDS=1-1200	YPL138C
OG0001605	genemark-NC_018295.1-processed-gene-20.14-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.14&CDS=1-1992	YNL218W
OG0001606	maker-NC_018295.1-augustus-gene-20.151-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-20.151&CDS=1-3696	YDR176W
OG0001607	genemark-NC_018295.1-processed-gene-20.36-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.36&CDS=1-1404	YLR163C
OG0001608	snap_masked-NC_018295.1-processed-gene-20.136-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-20.136&CDS=1-1443	YDR036C
OG0001609	augustus_masked-NC_018295.1-processed-gene-20.84-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-20.84&CDS=1-3546	YDR074W
OG0001610	genemark-NC_018295.1-processed-gene-20.40-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.40&CDS=1-1914	YER165W
OG0001611	genemark-NC_018295.1-processed-gene-20.41-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.41&CDS=1-4161	YER164W
OG0001612	genemark-NC_018295.1-processed-gene-20.19-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.19&CDS=1-1860	YDR091C
OG0001613	genemark-NC_018295.1-processed-gene-20.22-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.22&CDS=1-1455	YGR255C
OG0001614	genemark-NC_018295.1-processed-gene-20.23-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.23&CDS=1-1092	YDR058C
OG0001615	genemark-NC_018295.1-processed-gene-20.48-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.48&CDS=1-981	YCR019W
OG0001616	genemark-NC_018295.1-processed-gene-21.7-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.7&CDS=1-1248	YDR517W
OG0001617	maker-NC_018295.1-augustus-gene-21.0-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-21.0&CDS=1-1083	YBR282W
OG0001618	snap_masked-NC_018295.1-processed-gene-21.65-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-21.65&CDS=1-3456	YKL033W
OG0001619	genemark-NC_018295.1-processed-gene-21.30-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.30&CDS=1-828	YMR149W
OG0001620	genemark-NC_018295.1-processed-gene-21.14-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.14&CDS=1-495	YJR118C
OG0001621	maker-NC_018295.1-snap-gene-21.54-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-21.54&CDS=1-1713	YER022W
OG0001622	genemark-NC_018295.1-processed-gene-21.32-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.32&CDS=1-1428	YER021W
OG0001623	genemark-NC_018295.1-processed-gene-21.33-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.33&CDS=1-621	YFL038C
OG0001624	maker-NC_018295.1-augustus-gene-21.3-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-21.3&CDS=1-1677	YJR116W
OG0001625	genemark-NC_018295.1-processed-gene-21.37-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.37&CDS=1-2106	YBR255W
OG0001626	genemark-NC_018295.1-processed-gene-21.17-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.17&CDS=1-1620	YOL027C
OG0001627	snap_masked-NC_018295.1-processed-gene-21.95-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-21.95&CDS=1-1638	YKR056W
OG0001628	genemark-NC_018295.1-processed-gene-21.43-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.43&CDS=1-2004	YOL116W
OG0001629	genemark-NC_018295.1-processed-gene-21.18-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.18&CDS=1-1707	YGL119W
OG0001630	genemark-NC_018295.1-processed-gene-21.20-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.20&CDS=1-1422	YGL122C
OG0001631	genemark-NC_018295.1-processed-gene-21.46-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.46&CDS=1-744	YGL123W
OG0001632	genemark-NC_018295.1-processed-gene-21.47-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.47&CDS=1-687	YHR008C
OG0001633	genemark-NC_018295.1-processed-gene-21.48-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.48&CDS=1-1866	YDR341C
OG0001634	snap_masked-NC_018295.1-processed-gene-21.77-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-21.77&CDS=1-1731	YOR138C
OG0001635	augustus_masked-NC_018295.1-processed-gene-21.122-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-21.122&CDS=1-5508	YOR132W
OG0001636	genemark-NC_018295.1-processed-gene-21.49-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.49&CDS=1-519	YDR404C
OG0001637	genemark-NC_018295.1-processed-gene-21.25-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.25&CDS=1-528	YOR150W
OG0001638	genemark-NC_018295.1-processed-gene-21.50-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.50&CDS=1-3684	YOR151C
OG0001639	genemark-NC_018295.1-processed-gene-21.26-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.26&CDS=1-816	YDR405W
OG0001640	snap_masked-NC_018295.1-processed-gene-21.105-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-21.105&CDS=1-2508	YOR141C
OG0001641	snap_masked-NC_018295.1-processed-gene-21.81-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-21.81&CDS=1-1422	YOR142W
OG0001642	genemark-NC_018295.1-processed-gene-21.29-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-21.29&CDS=1-4347	YGR098C
OG0001643	genemark-NC_018295.1-processed-gene-22.3-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.3&CDS=1-1434	YOR155C
OG0001644	genemark-NC_018295.1-processed-gene-22.2-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.2&CDS=1-1161	YDR346C
OG0001645	genemark-NC_018295.1-processed-gene-22.8-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.8&CDS=1-1767	YCR084C
OG0001646	genemark-NC_018295.1-processed-gene-22.9-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.9&CDS=1-1131	YNR043W
OG0001647	genemark-NC_018295.1-processed-gene-22.26-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.26&CDS=1-747	YDL142C
OG0001648	genemark-NC_018295.1-processed-gene-22.10-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.10&CDS=1-1638	YJL008C
OG0001649	genemark-NC_018295.1-processed-gene-22.27-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.27&CDS=1-723	YDR007W
OG0001650	genemark-NC_018295.1-processed-gene-22.28-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.28&CDS=1-2367	YJL029C
OG0001651	genemark-NC_018295.1-processed-gene-22.29-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.29&CDS=1-2511	YGL045W
OG0001652	genemark-NC_018295.1-processed-gene-22.30-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.30&CDS=1-1494	YGR159C
OG0001653	genemark-NC_018295.1-processed-gene-22.13-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.13&CDS=1-600	YIL133C
OG0001654	genemark-NC_018295.1-processed-gene-22.32-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.32&CDS=1-1368	YML048W
OG0001655	genemark-NC_018295.1-processed-gene-22.15-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.15&CDS=1-1572	YOR161C
OG0001656	snap_masked-NC_018295.1-processed-gene-22.90-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-22.90&CDS=1-942	YHR012W
OG0001657	genemark-NC_018295.1-processed-gene-22.35-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.35&CDS=1-594	YDL165W
OG0001658	genemark-NC_018295.1-processed-gene-22.17-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.17&CDS=1-918	YDL166C
OG0001659	genemark-NC_018295.1-processed-gene-22.18-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.18&CDS=1-489	YBR254C
OG0001660	maker-NC_018295.1-augustus-gene-22.117-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-22.117&CDS=1-3945	YER080W
OG0001661	genemark-NC_018295.1-processed-gene-22.19-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.19&CDS=1-1374	YHR176W
OG0001662	snap_masked-NC_018295.1-processed-gene-22.94-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-22.94&CDS=1-1779	YIL072W
OG0001663	maker-NC_018295.1-augustus-gene-22.116-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-22.116&CDS=1-3078	YOL142W
OG0001664	genemark-NC_018295.1-processed-gene-22.23-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.23&CDS=1-2145	YOL141W
OG0001665	genemark-NC_018295.1-processed-gene-23.53-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.53&CDS=1-2115	YIL046W
OG0001666	genemark-NC_018295.1-processed-gene-23.52-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.52&CDS=1-1494	YGR211W
OG0001667	augustus_masked-NC_018295.1-processed-gene-23.2-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.2&CDS=1-6807	YGR217W
OG0001668	genemark-NC_018295.1-processed-gene-23.88-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.88&CDS=1-588	YGL047W
OG0001669	genemark-NC_018295.1-processed-gene-23.58-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.58&CDS=1-921	YNR007C
OG0001670	augustus_masked-NC_018295.1-processed-gene-23.34-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.34&CDS=1-3987	YNL123W
OG0001671	genemark-NC_018295.1-processed-gene-23.61-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.61&CDS=1-3114	YHR119W
OG0001672	genemark-NC_018295.1-processed-gene-23.62-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.62&CDS=1-1959	YMR001C
OG0001673	genemark-NC_018295.1-processed-gene-23.93-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.93&CDS=1-366	YOL005C
OG0001674	genemark-NC_018295.1-processed-gene-23.63-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.63&CDS=1-4284	YOL004W
OG0001675	genemark-NC_018295.1-processed-gene-23.94-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.94&CDS=1-3732	YOR296W
OG0001676	genemark-NC_018295.1-processed-gene-23.95-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.95&CDS=1-4443	YAL048C
OG0001677	genemark-NC_018295.1-processed-gene-23.96-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.96&CDS=1-2025	YNR008W
OG0001678	augustus_masked-NC_018295.1-processed-gene-23.11-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.11&CDS=1-1401	YBR034C
OG0001679	genemark-NC_018295.1-processed-gene-23.66-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.66&CDS=1-453	YOR298C-A
OG0001680	augustus_masked-NC_018295.1-processed-gene-23.16-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.16&CDS=1-780	YMR200W
OG0001681	genemark-NC_018295.1-processed-gene-23.71-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.71&CDS=1-2229	YNR006W
OG0001682	genemark-NC_018295.1-processed-gene-23.101-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.101&CDS=1-600	YLR435W
OG0001683	genemark-NC_018295.1-processed-gene-23.76-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.76&CDS=1-4329	YOR116C
OG0001684	genemark-NC_018295.1-processed-gene-23.102-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.102&CDS=1-2319	YML065W
OG0001685	genemark-NC_018295.1-processed-gene-23.103-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.103&CDS=1-594	YML064C
OG0001686	genemark-NC_018295.1-processed-gene-23.77-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.77&CDS=1-768	YLR441C
OG0001687	augustus_masked-NC_018295.1-processed-gene-23.47-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.47&CDS=1-3453	YML076C
OG0001688	genemark-NC_018295.1-processed-gene-23.82-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.82&CDS=1-1944	YJR131W
OG0001689	augustus_masked-NC_018295.1-processed-gene-23.27-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.27&CDS=1-5088	YOR188W
OG0001690	maker-NC_018295.1-snap-gene-23.193-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-23.193&CDS=1-4044	YOR187W
OG0001691	genemark-NC_018296.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.53&CDS=1-954	YNL175C
OG0001692	augustus_masked-NC_018296.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-0.89&CDS=1-1905	YHL029C
OG0001693	genemark-NC_018296.1-processed-gene-0.55-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.55&CDS=1-6837	YHL030W
OG0001694	genemark-NC_018296.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.56&CDS=1-3816	YAL026C
OG0001695	genemark-NC_018296.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.38&CDS=1-1302	YOR323C
OG0001696	snap_masked-NC_018296.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-0.20&CDS=1-834	YBR213W
OG0001697	genemark-NC_018296.1-processed-gene-0.39-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.39&CDS=1-1923	YOR370C
OG0001698	genemark-NC_018296.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.40&CDS=1-417	YOR369C
OG0001699	augustus_masked-NC_018296.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-0.93&CDS=1-411	YGL054C
OG0001700	genemark-NC_018296.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.42&CDS=1-2088	YBR212W
OG0001701	snap_masked-NC_018296.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-0.8&CDS=1-2406	YNL330C
OG0001702	genemark-NC_018296.1-processed-gene-0.46-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.46&CDS=1-1299	YPL188W
OG0001703	genemark-NC_018296.1-processed-gene-0.47-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.47&CDS=1-3222	YBR112C
OG0001704	augustus_masked-NC_018296.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-0.98&CDS=1-651	YBR111C
OG0001705	genemark-NC_018296.1-processed-gene-0.48-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.48&CDS=1-306	YBR111W-A
OG0001706	augustus_masked-NC_018296.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-0.99&CDS=1-2580	YPL244C
OG0001707	genemark-NC_018296.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.67&CDS=1-2724	YDR089W
OG0001708	genemark-NC_018296.1-processed-gene-0.51-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.51&CDS=1-1911	YAL016W
OG0001709	genemark-NC_018296.1-processed-gene-0.69-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.69&CDS=1-678	YPR067W
OG0001710	genemark-NC_018296.1-processed-gene-0.70-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.70&CDS=1-2289	YAL023C
OG0001711	genemark-NC_018296.1-processed-gene-1.0-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.0&CDS=1-849	YJR096W
OG0001712	genemark-NC_018296.1-processed-gene-1.4-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.4&CDS=1-3981	YLR419W
OG0001713	genemark-NC_018296.1-processed-gene-1.24-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.24&CDS=1-2415	YLR127C
OG0001714	genemark-NC_018296.1-processed-gene-1.6-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.6&CDS=1-870	YLR128W
OG0001715	genemark-NC_018296.1-processed-gene-1.26-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.26&CDS=1-900	YDR088C
OG0001716	genemark-NC_018296.1-processed-gene-1.27-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.27&CDS=1-837	YDR087C
OG0001717	snap_masked-NC_018296.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-1.106&CDS=1-204	YDR086C
OG0001718	genemark-NC_018296.1-processed-gene-1.9-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.9&CDS=1-1488	YGL112C
OG0001719	snap_masked-NC_018296.1-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-1.110&CDS=1-2976	YGL113W
OG0001720	genemark-NC_018296.1-processed-gene-1.12-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.12&CDS=1-1500	YMR211W
OG0001721	genemark-NC_018296.1-processed-gene-1.36-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.36&CDS=1-1332	YNR050C
OG0001722	augustus_masked-NC_018296.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-1.75&CDS=1-1941	YOR205C
OG0001723	genemark-NC_018296.1-processed-gene-1.39-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.39&CDS=1-816	YCR015C
OG0001724	maker-NC_018296.1-augustus-gene-2.137-mRNA-1_1&gene=maker-NC_018296.1-augustus-gene-2.137&CDS=1-4680	YCR016W
OG0001725	snap_masked-NC_018296.1-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-2.48&CDS=1-1356	YMR283C
OG0001726	augustus_masked-NC_018296.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-2.103&CDS=1-6033	YDR090C
OG0001727	genemark-NC_018296.1-processed-gene-2.8-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.8&CDS=1-801	YHR049W
OG0001728	genemark-NC_018296.1-processed-gene-2.9-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.9&CDS=1-1521	YBR236C
OG0001729	genemark-NC_018296.1-processed-gene-2.15-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.15&CDS=1-1026	YLR377C
OG0001730	genemark-NC_018296.1-processed-gene-2.17-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.17&CDS=1-609	YLR051C
OG0001731	augustus_masked-NC_018296.1-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-2.112&CDS=1-3462	YIL115C
OG0001732	genemark-NC_018296.1-processed-gene-2.19-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.19&CDS=1-1299	YCL029C
OG0001733	genemark-NC_018296.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.20&CDS=1-963	YDR051C
OG0001734	genemark-NC_018296.1-processed-gene-2.21-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.21&CDS=1-744	YDR050C
OG0001735	augustus_masked-NC_018296.1-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-2.129&CDS=1-894	YMR262W
OG0001736	genemark-NC_018296.1-processed-gene-2.22-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.22&CDS=1-2364	YMR277W
OG0001737	augustus_masked-NC_018296.1-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-2.116&CDS=1-2709	YLL036C
OG0001738	genemark-NC_018296.1-processed-gene-2.25-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.25&CDS=1-1875	YMR278W
