	Metschnikowia_matae	Saccharomyces_cerevisiae
OG0001126	maker-mat-_s174-snap-gene-0.47-mRNA-1_1&gene=maker-mat-_s174-snap-gene-0.47&CDS=1-3510	YDR291W
OG0001127	snap_masked-mat-_s174-processed-gene-0.126-mRNA-1_1&gene=snap_masked-mat-_s174-processed-gene-0.126&CDS=1-2067	YJR005W
OG0001128	augustus_masked-mat-_s174-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-mat-_s174-processed-gene-0.82&CDS=1-912	YJR008W
OG0001129	maker-mat-_s174-snap-gene-0.50-mRNA-1_1&gene=maker-mat-_s174-snap-gene-0.50&CDS=1-1074	YPR054W
OG0001130	snap_masked-mat-_s174-processed-gene-0.100-mRNA-1_1&gene=snap_masked-mat-_s174-processed-gene-0.100&CDS=1-900	YJR007W
OG0001131	augustus_masked-mat-_s175-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s175-processed-gene-0.0&CDS=1-849, snap_masked-mat-_s30-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s30-processed-gene-0.4&CDS=1-2517	
OG0001132	snap_masked-mat-_s175-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mat-_s175-processed-gene-0.19&CDS=1-2274	YLL003W
OG0001133	snap_masked-mat-_s175-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mat-_s175-processed-gene-0.26&CDS=1-1854	YNR030W
OG0001134	snap_masked-mat-_s175-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s175-processed-gene-0.20&CDS=1-1233	YNR029C
OG0001135	augustus_masked-mat-_s175-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mat-_s175-processed-gene-0.3&CDS=1-1416	YJL054W
OG0001136	snap_masked-mat-_s176-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mat-_s176-processed-gene-0.18&CDS=1-2019	YPL155C
OG0001137	snap_masked-mat-_s176-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s176-processed-gene-0.20&CDS=1-945	YOR242C
OG0001138	snap_masked-mat-_s176-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s176-processed-gene-0.14&CDS=1-2196	YOR243C
OG0001139	augustus_masked-mat-_s179-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.0&CDS=1-525	YOL129W
OG0001140	snap_masked-mat-_s179-processed-gene-0.59-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.59&CDS=1-1116	YNL307C
OG0001141	maker-mat-_s179-snap-gene-0.33-mRNA-1_1&gene=maker-mat-_s179-snap-gene-0.33&CDS=1-1014	YOL127W
OG0001142	snap_masked-mat-_s179-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.38&CDS=1-2529	YKR090W
OG0001143	snap_masked-mat-_s179-processed-gene-0.61-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.61&CDS=1-891	YKR088C
OG0001144	augustus_masked-mat-_s179-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.6&CDS=1-870	YJL068C
OG0001145	augustus_masked-mat-_s179-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.19&CDS=1-1284	YLR287C
OG0001146	augustus_masked-mat-_s179-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.20&CDS=1-1983	YOR181W
OG0001147	snap_masked-mat-_s179-processed-gene-0.64-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.64&CDS=1-735	YJL063C
OG0001148	augustus_masked-mat-_s179-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.11&CDS=1-1065	YBR265W
OG0001149	genemark-mat-_s179-processed-gene-0.102-mRNA-1_1&gene=genemark-mat-_s179-processed-gene-0.102&CDS=1-903	YLR439W
OG0001150	genemark-mat-_s179-processed-gene-0.89-mRNA-1_1&gene=genemark-mat-_s179-processed-gene-0.89&CDS=1-462	YLR438C-A
OG0001151	snap_masked-mat-_s179-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.74&CDS=1-4686	YML059C
OG0001152	snap_masked-mat-_s18-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s18-processed-gene-0.6&CDS=1-8208	YGL195W
OG0001153	snap_masked-mat-_s180-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.28&CDS=1-1158	YHR002W
OG0001154	snap_masked-mat-_s180-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.43&CDS=1-750	YGR147C
OG0001155	snap_masked-mat-_s180-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.44&CDS=1-1296	YKL027W
OG0001156	snap_masked-mat-_s180-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.45&CDS=1-732	YBR261C
OG0001157	snap_masked-mat-_s180-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.29&CDS=1-522	YOL146W
OG0001158	snap_masked-mat-_s180-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.46&CDS=1-3150	YOL145C
OG0001159	snap_masked-mat-_s180-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.30&CDS=1-1305	YBR143C
OG0001160	snap_masked-mat-_s180-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.48&CDS=1-2562	YBR142W
OG0001161	snap_masked-mat-_s180-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.31&CDS=1-1029	YBR141C
OG0001162	augustus_masked-mat-_s180-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mat-_s180-processed-gene-0.7&CDS=1-1659	YMR105C
OG0001163	snap_masked-mat-_s180-processed-gene-0.37-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.37&CDS=1-324	YKR033C
OG0001164	snap_masked-mat-_s180-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.38&CDS=1-975	YDR337W
OG0001165	snap_masked-mat-_s180-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.52&CDS=1-576	YJR112W
OG0001166	snap_masked-mat-_s180-processed-gene-0.39-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.39&CDS=1-876	YBL050W
OG0001167	snap_masked-mat-_s180-processed-gene-0.53-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.53&CDS=1-3486	YJR109C
OG0001168	snap_masked-mat-_s180-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s180-processed-gene-0.54&CDS=1-2784	YBR017C
OG0001169	augustus_masked-mat-_s181-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-mat-_s181-processed-gene-0.37&CDS=1-783	YLR285W
OG0001170	snap_masked-mat-_s181-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mat-_s181-processed-gene-0.32&CDS=1-2595	YBL023C
OG0001171	snap_masked-mat-_s181-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mat-_s181-processed-gene-0.33&CDS=1-3345	YBL022C
OG0001172	augustus_masked-mat-_s181-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mat-_s181-processed-gene-0.51&CDS=1-2133	YBL024W
OG0001173	snap_masked-mat-_s181-processed-gene-0.36-mRNA-1_1&gene=snap_masked-mat-_s181-processed-gene-0.36&CDS=1-750	YBL021C
OG0001174	augustus_masked-mat-_s181-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-mat-_s181-processed-gene-0.42&CDS=1-1950	YBL020W
OG0001175	snap_masked-mat-_s184-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mat-_s184-processed-gene-0.19&CDS=1-2325	YPL153C
OG0001176	augustus_masked-mat-_s185-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-mat-_s185-processed-gene-0.65&CDS=1-1392	YPL235W
OG0001177	augustus_masked-mat-_s185-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-mat-_s185-processed-gene-0.58&CDS=1-1155	YMR203W
OG0001178	augustus_masked-mat-_s185-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-mat-_s185-processed-gene-0.72&CDS=1-810	YPL246C
OG0001179	snap_masked-mat-_s185-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.33&CDS=1-1062	YPL236C
OG0001180	snap_masked-mat-_s185-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.50&CDS=1-819	YPL237W
OG0001181	snap_masked-mat-_s185-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.51&CDS=1-852	YPL239W
OG0001182	snap_masked-mat-_s185-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.52&CDS=1-2100	YMR186W
OG0001183	maker-mat-_s185-augustus-gene-0.27-mRNA-1_1&gene=maker-mat-_s185-augustus-gene-0.27&CDS=1-1926	YPR069C
OG0001184	genemark-mat-_s189-processed-gene-0.52-mRNA-1_1&gene=genemark-mat-_s189-processed-gene-0.52&CDS=1-1863	YML042W
OG0001185	snap_masked-mat-_s189-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mat-_s189-processed-gene-0.27&CDS=1-3516	YPR049C
OG0001186	snap_masked-mat-_s189-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mat-_s189-processed-gene-0.43&CDS=1-1755	YJR016C
OG0001187	snap_masked-mat-_s189-processed-gene-0.31-mRNA-1_1&gene=snap_masked-mat-_s189-processed-gene-0.31&CDS=1-3828	YBL007C
OG0001188	genemark-mat-_s189-processed-gene-0.59-mRNA-1_1&gene=genemark-mat-_s189-processed-gene-0.59&CDS=1-1557	YGL192W
OG0001189	augustus_masked-mat-_s189-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mat-_s189-processed-gene-0.17&CDS=1-564	YGL010W
OG0001190	augustus_masked-mat-_s189-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mat-_s189-processed-gene-0.18&CDS=1-2241	YGL022W
OG0001191	augustus_masked-mat-_s19-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.0&CDS=1-1848	YLR276C
OG0001192	snap_masked-mat-_s19-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.74&CDS=1-366	YNL281W
OG0001193	snap_masked-mat-_s19-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.87&CDS=1-2361	YDR485C
OG0001194	snap_masked-mat-_s19-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.75&CDS=1-942	YOL096C
OG0001195	snap_masked-mat-_s19-processed-gene-0.89-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.89&CDS=1-1587	YNL138W
OG0001196	augustus_masked-mat-_s19-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.3&CDS=1-2322	YNL059C
OG0001197	snap_masked-mat-_s19-processed-gene-0.90-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.90&CDS=1-1791	YNL061W
OG0001198	snap_masked-mat-_s19-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.77&CDS=1-1431	YNL062C
OG0001199	snap_masked-mat-_s19-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.91&CDS=1-864	YNL063W
OG0001200	snap_masked-mat-_s19-processed-gene-0.92-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.92&CDS=1-1407	YNL137C
OG0001201	snap_masked-mat-_s19-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.94&CDS=1-1650	YEL063C
OG0001202	snap_masked-mat-_s19-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.79&CDS=1-2019	YNL124W
OG0001203	augustus_masked-mat-_s19-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.23&CDS=1-5673	YHR120W
OG0001204	snap_masked-mat-_s19-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.81&CDS=1-2928	YNL123W
OG0001205	genemark-mat-_s19-processed-gene-0.65-mRNA-1_1&gene=genemark-mat-_s19-processed-gene-0.65&CDS=1-3165	YCR017C
OG0001206	maker-mat-_s19-snap-gene-0.111-mRNA-1_1&gene=maker-mat-_s19-snap-gene-0.111&CDS=1-1026	YBR039W
OG0001207	augustus_masked-mat-_s19-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.27&CDS=1-1950	YER113C
OG0001208	snap_masked-mat-_s19-processed-gene-0.102-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.102&CDS=1-2088	YBL084C
OG0001209	snap_masked-mat-_s19-processed-gene-0.103-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.103&CDS=1-2679	YER114C
OG0001210	maker-mat-_s19-augustus-gene-0.37-mRNA-1_1&gene=maker-mat-_s19-augustus-gene-0.37&CDS=1-828	YHR116W
OG0001211	augustus_masked-mat-_s19-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.12&CDS=1-1272	YNL119W
OG0001212	augustus_masked-mat-_s19-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-mat-_s19-processed-gene-0.32&CDS=1-1503	YIR026C
OG0001213	snap_masked-mat-_s191-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mat-_s191-processed-gene-0.14&CDS=1-1161	YOR358W
OG0001214	snap_masked-mat-_s191-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mat-_s191-processed-gene-0.15&CDS=1-627	YLR178C
OG0001215	snap_masked-mat-_s191-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s191-processed-gene-0.23&CDS=1-429	YPR082C
OG0001216	snap_masked-mat-_s191-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mat-_s191-processed-gene-0.17&CDS=1-1062	YLR420W
OG0001217	genemark-mat-_s191-processed-gene-0.42-mRNA-1_1&gene=genemark-mat-_s191-processed-gene-0.42&CDS=1-2967	YAL021C
OG0001218	augustus_masked-mat-_s253-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mat-_s253-processed-gene-0.61&CDS=1-1032, maker-mat-_s200-snap-gene-0.9-mRNA-1_1&gene=maker-mat-_s200-snap-gene-0.9&CDS=1-537	
OG0001219	snap_masked-mat-_s200-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mat-_s200-processed-gene-0.23&CDS=1-1740	YDR481C
OG0001220	augustus_masked-mat-_s200-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mat-_s200-processed-gene-0.15&CDS=1-1041	YGL159W
OG0001221	snap_masked-mat-_s200-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mat-_s200-processed-gene-0.27&CDS=1-2292	YGL009C
OG0001222	snap_masked-mat-_s202-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mat-_s202-processed-gene-0.8&CDS=1-219	YHR143W-A
OG0001223	snap_masked-mat-_s202-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mat-_s202-processed-gene-0.16&CDS=1-3897	YPL006W
OG0001224	maker-mat-_s204-snap-gene-0.125-mRNA-1_1&gene=maker-mat-_s204-snap-gene-0.125&CDS=1-912	YER055C
OG0001225	snap_masked-mat-_s204-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.54&CDS=1-1386	YDL147W
OG0001226	snap_masked-mat-_s204-processed-gene-0.85-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.85&CDS=1-1374	YOL030W
OG0001227	snap_masked-mat-_s204-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.55&CDS=1-1332	YPL259C
OG0001228	snap_masked-mat-_s204-processed-gene-0.89-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.89&CDS=1-777	YBR088C
OG0001229	snap_masked-mat-_s204-processed-gene-0.90-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.90&CDS=1-1173	YBR095C
OG0001230	snap_masked-mat-_s204-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.91&CDS=1-606	YPR051W
OG0001231	snap_masked-mat-_s204-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.56&CDS=1-1074	YKL060C
OG0001232	augustus_masked-mat-_s204-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.29&CDS=1-324	YBR091C
OG0001233	snap_masked-mat-_s204-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.57&CDS=1-2118	YBR094W
OG0001234	snap_masked-mat-_s204-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.60&CDS=1-1362	YMR027W
OG0001235	snap_masked-mat-_s204-processed-gene-0.92-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.92&CDS=1-363	YKL058W
OG0001236	snap_masked-mat-_s204-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.62&CDS=1-1125	YMR028W
OG0001237	snap_masked-mat-_s204-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.63&CDS=1-1329	YKL059C
OG0001238	snap_masked-mat-_s204-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.94&CDS=1-1038	YPR127W
OG0001239	augustus_masked-mat-_s204-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.11&CDS=1-1272	YOR303W
OG0001240	snap_masked-mat-_s204-processed-gene-0.69-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.69&CDS=1-1404	YDR235W
OG0001241	maker-mat-_s204-snap-gene-0.127-mRNA-1_1&gene=maker-mat-_s204-snap-gene-0.127&CDS=1-561	YDR236C
OG0001242	snap_masked-mat-_s204-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.95&CDS=1-966	YLR354C
OG0001243	snap_masked-mat-_s204-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.71&CDS=1-651	YPR113W
OG0001244	snap_masked-mat-_s204-processed-gene-0.100-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.100&CDS=1-1737	YFR021W
OG0001245	augustus_masked-mat-_s204-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.38&CDS=1-444	YFR011C
OG0001246	snap_masked-mat-_s204-processed-gene-0.74-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.74&CDS=1-303	YPL098C
OG0001247	augustus_masked-mat-_s204-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.39&CDS=1-3414	YFR009W
OG0001248	snap_masked-mat-_s204-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.77&CDS=1-1482	YNL042W
OG0001249	snap_masked-mat-_s204-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.105&CDS=1-1515	YIL104C
OG0001250	augustus_masked-mat-_s204-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.20&CDS=1-1410	YIL103W
OG0001251	snap_masked-mat-_s204-processed-gene-0.107-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.107&CDS=1-2292	YNL041C
OG0001252	snap_masked-mat-_s204-processed-gene-0.108-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.108&CDS=1-1707	YIL101C
OG0001253	snap_masked-mat-_s204-processed-gene-0.110-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.110&CDS=1-249	YLR395C
OG0001254	snap_masked-mat-_s204-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.79&CDS=1-183	YDL067C
OG0001255	snap_masked-mat-_s204-processed-gene-0.111-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.111&CDS=1-2103	YLR396C
OG0001256	maker-mat-_s204-snap-gene-0.128-mRNA-1_1&gene=maker-mat-_s204-snap-gene-0.128&CDS=1-2853	YJR019C
OG0001257	snap_masked-mat-_s204-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.81&CDS=1-906	YGR096W
OG0001258	snap_masked-mat-_s204-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s204-processed-gene-0.83&CDS=1-3627	YEL031W
OG0001259	genemark-mat-_s209-processed-gene-0.30-mRNA-1_1&gene=genemark-mat-_s209-processed-gene-0.30&CDS=1-762	YGL161C
OG0001260	snap_masked-mat-_s209-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.17&CDS=1-1542	YJR152W
OG0001261	snap_masked-mat-_s209-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.6&CDS=1-3531	YLR067C
OG0001262	snap_masked-mat-_s209-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.18&CDS=1-570	YLR066W
OG0001263	genemark-mat-_s209-processed-gene-0.45-mRNA-1_1&gene=genemark-mat-_s209-processed-gene-0.45&CDS=1-2253	YNL247W
OG0001264	snap_masked-mat-_s209-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.22&CDS=1-2292	YLR069C
OG0001265	snap_masked-mat-_s209-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.24&CDS=1-3414	YBR023C
OG0001266	snap_masked-mat-_s209-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.25&CDS=1-4575	YNL297C
OG0001267	snap_masked-mat-_s209-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.13&CDS=1-2604	YGR157W
OG0001268	snap_masked-mat-_s209-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mat-_s209-processed-gene-0.27&CDS=1-963	YGR158C
OG0001269	snap_masked-mat-_s210-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.28&CDS=1-1635	YHR194W
OG0001270	snap_masked-mat-_s210-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.30&CDS=1-1440	YKL194C
OG0001271	snap_masked-mat-_s210-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.43&CDS=1-1068	YLR418C
OG0001272	augustus_masked-mat-_s210-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mat-_s210-processed-gene-0.4&CDS=1-2268	YLR424W
OG0001273	snap_masked-mat-_s210-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.34&CDS=1-798	YKL195W
OG0001274	snap_masked-mat-_s210-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.35&CDS=1-597	YKL196C
OG0001275	snap_masked-mat-_s210-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.45&CDS=1-1740	YOR360C
OG0001276	snap_masked-mat-_s210-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.48&CDS=1-4173	YBR115C
OG0001277	augustus_masked-mat-_s210-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mat-_s210-processed-gene-0.21&CDS=1-2838	YBR114W
OG0001278	snap_masked-mat-_s210-processed-gene-0.52-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.52&CDS=1-711	YML025C
OG0001279	genemark-mat-_s210-processed-gene-0.80-mRNA-1_1&gene=genemark-mat-_s210-processed-gene-0.80&CDS=1-1899	YGL203C
OG0001280	snap_masked-mat-_s210-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.55&CDS=1-2691	YPR160W
OG0001281	snap_masked-mat-_s210-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.38&CDS=1-1491	YMR044W
OG0001282	snap_masked-mat-_s210-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-0.40&CDS=1-696	YMR043W
OG0001283	snap_masked-mat-_s210-processed-gene-1.68-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.68&CDS=1-5346	YFL033C
OG0001284	snap_masked-mat-_s210-processed-gene-1.86-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.86&CDS=1-903	YLR059C
OG0001285	snap_masked-mat-_s210-processed-gene-1.69-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.69&CDS=1-474	YLR050C
OG0001286	snap_masked-mat-_s210-processed-gene-1.87-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.87&CDS=1-258	YGR037C
OG0001287	snap_masked-mat-_s210-processed-gene-1.88-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.88&CDS=1-1647	YGL244W
OG0001288	snap_masked-mat-_s210-processed-gene-1.73-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.73&CDS=1-2553	YOR168W
OG0001289	snap_masked-mat-_s210-processed-gene-1.74-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.74&CDS=1-2169	YKL088W
OG0001290	maker-mat-_s210-snap-gene-1.0-mRNA-1_1&gene=maker-mat-_s210-snap-gene-1.0&CDS=1-1818	YDR120C
OG0001291	snap_masked-mat-_s210-processed-gene-1.76-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.76&CDS=1-339	YLR099W-A
OG0001292	snap_masked-mat-_s210-processed-gene-1.78-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.78&CDS=1-3243	YIR023W
OG0001293	genemark-mat-_s210-processed-gene-1.31-mRNA-1_1&gene=genemark-mat-_s210-processed-gene-1.31&CDS=1-2436	YKL013C
OG0001294	snap_masked-mat-_s210-processed-gene-1.96-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.96&CDS=1-3990	YLR084C
OG0001295	augustus_masked-mat-_s210-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-mat-_s210-processed-gene-1.49&CDS=1-1926	YDR108W
OG0001296	snap_masked-mat-_s210-processed-gene-1.97-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.97&CDS=1-2736	YPR019W
OG0001297	snap_masked-mat-_s210-processed-gene-1.98-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.98&CDS=1-1257	YPL101W
OG0001298	genemark-mat-_s210-processed-gene-1.22-mRNA-1_1&gene=genemark-mat-_s210-processed-gene-1.22&CDS=1-1605	YDR105C
OG0001299	snap_masked-mat-_s210-processed-gene-1.85-mRNA-1_1&gene=snap_masked-mat-_s210-processed-gene-1.85&CDS=1-372	YPR020W
OG0001300	snap_masked-mat-_s211-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mat-_s211-processed-gene-0.3&CDS=1-1449	YNL071W
OG0001301	augustus_masked-mat-_s218-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mat-_s218-processed-gene-0.7&CDS=1-1401	YHR109W
