	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0001504	genemark-HG793126-processed-gene-13.137-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.137&CDS=1-1140	YNL084C
OG0001505	genemark-HG793126-processed-gene-13.139-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.139&CDS=1-1464	YFL018C
OG0001506	genemark-HG793126-processed-gene-13.140-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.140&CDS=1-885	YGR031W
OG0001507	genemark-HG793126-processed-gene-13.117-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.117&CDS=1-1155	YMR139W
OG0001508	genemark-HG793126-processed-gene-13.118-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.118&CDS=1-1005	YGR144W
OG0001509	genemark-HG793126-processed-gene-13.119-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.119&CDS=1-1266	YDL097C
OG0001510	augustus_masked-HG793126-processed-gene-13.28-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.28&CDS=1-2370	YDL116W
OG0001511	augustus_masked-HG793126-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.10&CDS=1-3210	YGR189C
OG0001512	genemark-HG793126-processed-gene-13.123-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.123&CDS=1-1059	YLL006W
OG0001513	genemark-HG793126-processed-gene-13.142-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.142&CDS=1-858	YHR187W
OG0001514	maker-HG793126-augustus-gene-13.167-mRNA-1_1&gene=maker-HG793126-augustus-gene-13.167&CDS=1-951	YCR095C
OG0001515	genemark-HG793126-processed-gene-13.124-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.124&CDS=1-1368	YGL065C
OG0001516	genemark-HG793126-processed-gene-13.145-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.145&CDS=1-423	YGR203W
OG0001517	genemark-HG793126-processed-gene-13.146-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.146&CDS=1-1299	YGR202C
OG0001518	augustus_masked-HG793126-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.13&CDS=1-2841	YGR261C
OG0001519	genemark-HG793126-processed-gene-13.147-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.147&CDS=1-3216	YMR288W
OG0001520	genemark-HG793126-processed-gene-13.126-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.126&CDS=1-1812	YHR188C
OG0001521	genemark-HG793126-processed-gene-13.148-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.148&CDS=1-1746	YNL115C
OG0001522	genemark-HG793126-processed-gene-13.149-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.149&CDS=1-1335	YNR050C
OG0001523	augustus_masked-HG793126-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.15&CDS=1-2871	YMR023C
OG0001524	genemark-HG793126-processed-gene-13.151-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.151&CDS=1-1188	YNL206C
OG0001525	genemark-HG793126-processed-gene-13.130-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.130&CDS=1-1866	YHR114W
OG0001526	augustus_masked-HG793126-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.18&CDS=1-4164	YDL112W
OG0001527	genemark-HG793126-processed-gene-13.154-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.154&CDS=1-858	YDL111C
OG0001528	augustus_masked-HG793126-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-13.40&CDS=1-435	YDL110C
OG0001529	genemark-HG793126-processed-gene-13.133-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.133&CDS=1-1188	YGL143C
OG0001530	genemark-HG793126-processed-gene-13.159-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.159&CDS=1-594	YNL090W
OG0001531	genemark-HG793126-processed-gene-13.135-mRNA-1_1&gene=genemark-HG793126-processed-gene-13.135&CDS=1-363	YNL081C
OG0001532	snap_masked-HG793126-processed-gene-14.49-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-14.49&CDS=1-360	YNL111C
OG0001533	genemark-HG793126-processed-gene-14.100-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.100&CDS=1-612	YFL038C
OG0001534	genemark-HG793126-processed-gene-14.101-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.101&CDS=1-525	YLR065C
OG0001535	genemark-HG793126-processed-gene-14.102-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.102&CDS=1-1128	YFL039C
OG0001536	maker-HG793126-augustus-gene-14.148-mRNA-1_1&gene=maker-HG793126-augustus-gene-14.148&CDS=1-4353	YMR189W
OG0001537	genemark-HG793126-processed-gene-14.125-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.125&CDS=1-432	YMR002W
OG0001538	genemark-HG793126-processed-gene-14.127-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.127&CDS=1-2352	YOL006C
OG0001539	genemark-HG793126-processed-gene-14.108-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.108&CDS=1-1959	YMR001C
OG0001540	genemark-HG793126-processed-gene-14.128-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.128&CDS=1-375	YOL005C
OG0001541	genemark-HG793126-processed-gene-14.109-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.109&CDS=1-4098	YOL004W
OG0001542	genemark-HG793126-processed-gene-14.129-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.129&CDS=1-1209	YOL003C
OG0001543	augustus_masked-HG793126-processed-gene-14.11-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-14.11&CDS=1-1140	YKL113C
OG0001544	genemark-HG793126-processed-gene-14.131-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.131&CDS=1-930	YDL114W
OG0001545	genemark-HG793126-processed-gene-14.133-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.133&CDS=1-1314	YGL166W
OG0001546	genemark-HG793126-processed-gene-14.134-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.134&CDS=1-660	YDR489W
OG0001547	augustus_masked-HG793126-processed-gene-14.17-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-14.17&CDS=1-900	YPL206C
OG0001548	genemark-HG793126-processed-gene-14.135-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.135&CDS=1-612	YGR033C
OG0001549	genemark-HG793126-processed-gene-14.137-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.137&CDS=1-1518	YCR028C
OG0001550	genemark-HG793126-processed-gene-14.122-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.122&CDS=1-2157	YOR112W
OG0001551	genemark-HG793126-processed-gene-14.142-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.142&CDS=1-363	YNL113W
OG0001552	genemark-HG793126-processed-gene-14.123-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.123&CDS=1-1905	YOR113W
OG0001553	genemark-HG793126-processed-gene-14.143-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.143&CDS=1-768	YOR095C
OG0001554	genemark-HG793126-processed-gene-14.145-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.145&CDS=1-912	YBR085W
OG0001555	genemark-HG793126-processed-gene-15.0-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.0&CDS=1-600	YIL133C
OG0001556	genemark-HG793126-processed-gene-15.3-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.3&CDS=1-1935	YER103W
OG0001557	genemark-HG793126-processed-gene-15.5-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.5&CDS=1-888	YPL004C
OG0001558	genemark-HG793126-processed-gene-15.29-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.29&CDS=1-1488	YCR098C
OG0001559	genemark-HG793126-processed-gene-15.7-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.7&CDS=1-849	YNL075W
OG0001560	genemark-HG793126-processed-gene-15.32-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.32&CDS=1-645	YNL107W
OG0001561	genemark-HG793126-processed-gene-15.9-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.9&CDS=1-1497	YOR378W
OG0001562	genemark-HG793126-processed-gene-15.33-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.33&CDS=1-327	YGR074W
OG0001563	genemark-HG793126-processed-gene-15.34-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.34&CDS=1-2328	YGR200C
OG0001564	genemark-HG793126-processed-gene-15.13-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.13&CDS=1-3222	YOL138C
OG0001565	genemark-HG793126-processed-gene-15.35-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.35&CDS=1-909	YNL320W
OG0001566	genemark-HG793126-processed-gene-15.36-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.36&CDS=1-477	YGR076C
OG0001567	genemark-HG793126-processed-gene-15.14-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.14&CDS=1-1326	YOL140W
OG0001568	genemark-HG793126-processed-gene-15.37-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.37&CDS=1-2970	YNL321W
OG0001569	genemark-HG793126-processed-gene-15.38-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.38&CDS=1-621	YOL139C
OG0001570	genemark-HG793126-processed-gene-15.16-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.16&CDS=1-1299	YIR008C
OG0001571	genemark-HG793126-processed-gene-15.39-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.39&CDS=1-2205	YIR007W
OG0001572	genemark-HG793126-processed-gene-15.40-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.40&CDS=1-1878	YIL131C
OG0001573	genemark-HG793126-processed-gene-15.42-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.42&CDS=1-2979	YIL130W
OG0001574	genemark-HG793126-processed-gene-15.43-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.43&CDS=1-1809	YIL105C
OG0001575	maker-HG793126-augustus-gene-15.57-mRNA-1_1&gene=maker-HG793126-augustus-gene-15.57&CDS=1-2679	YOR087W
OG0001576	genemark-HG793126-processed-gene-15.19-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.19&CDS=1-1320	YLR303W
OG0001577	augustus_masked-HG793126-processed-gene-15.109-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-15.109&CDS=1-1716	YOR090C
OG0001578	genemark-HG793126-processed-gene-15.49-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.49&CDS=1-1425	YMR137C
OG0001579	genemark-HG793126-processed-gene-15.24-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.24&CDS=1-555	YMR138W
OG0001580	genemark-HG793126-processed-gene-15.25-mRNA-1_1&gene=genemark-HG793126-processed-gene-15.25&CDS=1-1008	YOR091W
OG0001581	augustus_masked-HG793126-processed-gene-15.111-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-15.111&CDS=1-1698	YNL094W
OG0001582	genemark-HG793126-processed-gene-16.172-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.172&CDS=1-1194	YDL090C
OG0001583	snap_masked-HG793126-processed-gene-16.0-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-16.0&CDS=1-2223	YMR154C
OG0001584	maker-HG793126-snap-gene-16.259-mRNA-1_1&gene=maker-HG793126-snap-gene-16.259&CDS=1-2823	YGR258C
OG0001585	genemark-HG793126-processed-gene-16.174-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.174&CDS=1-3684	YDR335W
OG0001586	genemark-HG793126-processed-gene-16.175-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.175&CDS=1-1296	YDR316W
OG0001587	genemark-HG793126-processed-gene-16.176-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.176&CDS=1-864	YER175C
OG0001588	genemark-HG793126-processed-gene-16.177-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.177&CDS=1-696	YGR036C
OG0001589	maker-HG793126-augustus-gene-16.254-mRNA-1_1&gene=maker-HG793126-augustus-gene-16.254&CDS=1-1971	YLR345W
OG0001590	snap_masked-HG793126-processed-gene-16.11-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-16.11&CDS=1-2526	YGR099W
OG0001591	genemark-HG793126-processed-gene-16.219-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.219&CDS=1-339	YGR181W
OG0001592	genemark-HG793126-processed-gene-16.221-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.221&CDS=1-198	YGR183C
OG0001593	genemark-HG793126-processed-gene-16.180-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.180&CDS=1-1101	YGR187C
OG0001594	genemark-HG793126-processed-gene-16.222-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.222&CDS=1-1680	YGR186W
OG0001595	genemark-HG793126-processed-gene-16.181-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.181&CDS=1-333	YLL014W
OG0001596	genemark-HG793126-processed-gene-16.183-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.183&CDS=1-1605	YDR188W
OG0001597	genemark-HG793126-processed-gene-16.184-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.184&CDS=1-987	YGL198W
OG0001598	genemark-HG793126-processed-gene-16.225-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.225&CDS=1-1185	YBR279W
OG0001599	maker-HG793126-snap-gene-16.263-mRNA-1_1&gene=maker-HG793126-snap-gene-16.263&CDS=1-843	YJL003W
OG0001600	genemark-HG793126-processed-gene-16.186-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.186&CDS=1-1347	YAR018C
OG0001601	genemark-HG793126-processed-gene-16.228-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.228&CDS=1-3549	YAR042W
OG0001602	genemark-HG793126-processed-gene-16.229-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.229&CDS=1-684	YLR078C
OG0001603	genemark-HG793126-processed-gene-16.230-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.230&CDS=1-813	YDR302W
OG0001604	genemark-HG793126-processed-gene-16.231-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.231&CDS=1-2517	YJL062W
OG0001605	genemark-HG793126-processed-gene-16.190-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.190&CDS=1-366	YBR269C
OG0001606	genemark-HG793126-processed-gene-16.232-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.232&CDS=1-2559	YBR268W
OG0001607	snap_masked-HG793126-processed-gene-16.24-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-16.24&CDS=1-1761	YJL090C
OG0001608	augustus_masked-HG793126-processed-gene-16.150-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-16.150&CDS=1-1161	YNR043W
OG0001609	genemark-HG793126-processed-gene-16.192-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.192&CDS=1-3210	YIL128W
OG0001610	snap_masked-HG793126-processed-gene-16.70-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-16.70&CDS=1-594	YIL127C
OG0001611	genemark-HG793126-processed-gene-16.193-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.193&CDS=1-3639	YMR190C
OG0001612	genemark-HG793126-processed-gene-16.195-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.195&CDS=1-1737	YLR055C
OG0001613	genemark-HG793126-processed-gene-16.236-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.236&CDS=1-1476	YFL027C
OG0001614	genemark-HG793126-processed-gene-16.196-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.196&CDS=1-972	YFL029C
OG0001615	genemark-HG793126-processed-gene-16.202-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.202&CDS=1-1152	YPL001W
OG0001616	maker-HG793126-snap-gene-16.265-mRNA-1_1&gene=maker-HG793126-snap-gene-16.265&CDS=1-1110	YLR059C
OG0001617	genemark-HG793126-processed-gene-16.203-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.203&CDS=1-258	YGR037C
OG0001618	genemark-HG793126-processed-gene-16.241-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.241&CDS=1-462	YLR050C
OG0001619	genemark-HG793126-processed-gene-16.204-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.204&CDS=1-1059	YJR013W
OG0001620	augustus_masked-HG793126-processed-gene-16.158-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-16.158&CDS=1-2514	YOR211C
OG0001621	snap_masked-HG793126-processed-gene-16.39-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-16.39&CDS=1-1149	YPL138C
OG0001622	genemark-HG793126-processed-gene-16.245-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.245&CDS=1-1194	YPR201W
OG0001623	genemark-HG793127-processed-gene-0.15-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.15&CDS=1-570	YDR373W
OG0001624	augustus_masked-HG793127-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-0.130&CDS=1-663	YOR125C
OG0001625	genemark-HG793127-processed-gene-0.17-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.17&CDS=1-981	YBR053C
OG0001626	genemark-HG793127-processed-gene-0.33-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.33&CDS=1-2400	YPR185W
OG0001627	snap_masked-HG793127-processed-gene-0.80-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-0.80&CDS=1-1872	YPR190C
OG0001628	maker-HG793127-augustus-gene-0.100-mRNA-1_1&gene=maker-HG793127-augustus-gene-0.100&CDS=1-1416	YPR191W
OG0001629	genemark-HG793127-processed-gene-0.35-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.35&CDS=1-1206	YPR186C
OG0001630	genemark-HG793127-processed-gene-0.20-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.20&CDS=1-471	YPR187W
OG0001631	snap_masked-HG793127-processed-gene-0.82-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-0.82&CDS=1-471	YPR188C
OG0001632	genemark-HG793127-processed-gene-0.21-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.21&CDS=1-4161	YPR189W
OG0001633	genemark-HG793127-processed-gene-0.37-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.37&CDS=1-4584	YPR184W
OG0001634	genemark-HG793127-processed-gene-0.39-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.39&CDS=1-3459	YBR081C
OG0001635	genemark-HG793127-processed-gene-0.41-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.41&CDS=1-3627	YOR188W
OG0001636	genemark-HG793127-processed-gene-0.42-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.42&CDS=1-1872	YLR299W
OG0001637	genemark-HG793127-processed-gene-0.23-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.23&CDS=1-624	YOR163W
OG0001638	genemark-HG793127-processed-gene-0.44-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.44&CDS=1-939	YOR164C
OG0001639	genemark-HG793127-processed-gene-0.24-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.24&CDS=1-2370	YOR165W
OG0001640	genemark-HG793127-processed-gene-0.25-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.25&CDS=1-1569	YBR215W
OG0001641	genemark-HG793127-processed-gene-0.26-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.26&CDS=1-540	YBR217W
OG0001642	genemark-HG793127-processed-gene-0.49-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.49&CDS=1-411	YJR044C
OG0001643	genemark-HG793127-processed-gene-0.50-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.50&CDS=1-1941	YJR045C
OG0001644	augustus_masked-HG793127-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.1&CDS=1-1515	YDR004W
OG0001645	genemark-HG793127-processed-gene-1.99-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.99&CDS=1-966	YDR005C
OG0001646	genemark-HG793127-processed-gene-1.100-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.100&CDS=1-1377	YOR375C
OG0001647	genemark-HG793127-processed-gene-1.104-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.104&CDS=1-5241	YJL109C
OG0001648	genemark-HG793127-processed-gene-1.105-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.105&CDS=1-969	YKR030W
OG0001649	augustus_masked-HG793127-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.11&CDS=1-1263	YJR084W
OG0001650	genemark-HG793127-processed-gene-1.108-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.108&CDS=1-1572	YER052C
OG0001651	genemark-HG793127-processed-gene-1.130-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.130&CDS=1-1425	YLR212C
OG0001652	augustus_masked-HG793127-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.33&CDS=1-2364	YPL227C
OG0001653	genemark-HG793127-processed-gene-1.133-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.133&CDS=1-1212	YER048C
OG0001654	genemark-HG793127-processed-gene-1.134-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.134&CDS=1-1845	YER049W
OG0001655	genemark-HG793127-processed-gene-1.113-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.113&CDS=1-1323	YKL004W
OG0001656	augustus_masked-HG793127-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.24&CDS=1-3204	YJR089W
OG0001657	genemark-HG793127-processed-gene-1.139-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.139&CDS=1-1983	YJR090C
OG0001658	genemark-HG793127-processed-gene-1.141-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.141&CDS=1-1161	YLR210W
OG0001659	augustus_masked-HG793127-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-1.26&CDS=1-3978	YJR092W
OG0001660	genemark-HG793127-processed-gene-1.143-mRNA-1_1&gene=genemark-HG793127-processed-gene-1.143&CDS=1-915	YJR093C
OG0001661	maker-HG793127-snap-gene-2.168-mRNA-1_1&gene=maker-HG793127-snap-gene-2.168&CDS=1-903	YPR037C
OG0001662	genemark-HG793127-processed-gene-2.100-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.100&CDS=1-1086	YPR040W
OG0001663	genemark-HG793127-processed-gene-2.103-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.103&CDS=1-951	YJR095W
OG0001664	genemark-HG793127-processed-gene-2.108-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.108&CDS=1-777	YLL041C
OG0001665	genemark-HG793127-processed-gene-2.110-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.110&CDS=1-681	YHL031C
OG0001666	genemark-HG793127-processed-gene-2.135-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.135&CDS=1-1257	YKL143W
OG0001667	genemark-HG793127-processed-gene-2.112-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.112&CDS=1-357	YDL008W
OG0001668	genemark-HG793127-processed-gene-2.113-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.113&CDS=1-1335	YDR300C
OG0001669	genemark-HG793127-processed-gene-2.136-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.136&CDS=1-1443	YGL059W
OG0001670	genemark-HG793127-processed-gene-2.114-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.114&CDS=1-522	YGL058W
OG0001671	augustus_masked-HG793127-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-2.65&CDS=1-225	YDR378C
OG0001672	genemark-HG793127-processed-gene-2.138-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.138&CDS=1-840	YOR004W
OG0001673	genemark-HG793127-processed-gene-2.139-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.139&CDS=1-1299	YER061C
OG0001674	genemark-HG793127-processed-gene-2.116-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.116&CDS=1-2346	YDL148C
OG0001675	genemark-HG793127-processed-gene-2.140-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.140&CDS=1-2499	YDL149W
OG0001676	genemark-HG793127-processed-gene-2.117-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.117&CDS=1-1935	YPR159W
OG0001677	genemark-HG793127-processed-gene-2.118-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.118&CDS=1-753	YGR135W
OG0001678	genemark-HG793127-processed-gene-2.119-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.119&CDS=1-843	YGR132C
OG0001679	genemark-HG793127-processed-gene-2.145-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.145&CDS=1-1047	YOL054W
OG0001680	snap_masked-HG793127-processed-gene-2.46-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-2.46&CDS=1-12390	YKR054C
OG0001681	snap_masked-HG793127-processed-gene-2.22-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-2.22&CDS=1-2535	YMR066W
OG0001682	snap_masked-HG793127-processed-gene-2.47-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-2.47&CDS=1-1440	YMR067C
OG0001683	genemark-HG793127-processed-gene-2.126-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.126&CDS=1-5820	YGR271W
OG0001684	genemark-HG793127-processed-gene-2.149-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.149&CDS=1-690	YGR271C-A
OG0001685	genemark-HG793127-processed-gene-2.150-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.150&CDS=1-417	YMR292W
OG0001686	genemark-HG793127-processed-gene-2.127-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.127&CDS=1-615	YGR268C
OG0001687	snap_masked-HG793127-processed-gene-2.27-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-2.27&CDS=1-2433	YGR198W
OG0001688	genemark-HG793127-processed-gene-2.151-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.151&CDS=1-1200	YGR185C
OG0001689	genemark-HG793127-processed-gene-2.129-mRNA-1_1&gene=genemark-HG793127-processed-gene-2.129&CDS=1-846	YDR051C
OG0001690	genemark-HG793127-processed-gene-3.93-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.93&CDS=1-849	YDR050C
OG0001691	genemark-HG793127-processed-gene-3.97-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.97&CDS=1-2850	YBR074W
OG0001692	genemark-HG793127-processed-gene-3.95-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.95&CDS=1-1089	YDR047W
OG0001693	genemark-HG793127-processed-gene-3.98-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.98&CDS=1-1245	YCR012W
OG0001694	genemark-HG793127-processed-gene-3.99-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.99&CDS=1-2838	YCR017C
OG0001695	genemark-HG793127-processed-gene-3.100-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.100&CDS=1-1395	YNR001C
OG0001696	genemark-HG793127-processed-gene-3.101-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.101&CDS=1-2421	YBR073W
OG0001697	genemark-HG793127-processed-gene-3.123-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.123&CDS=1-1818	YDR049W
OG0001698	genemark-HG793127-processed-gene-3.125-mRNA-1_1&gene=genemark-HG793127-processed-gene-3.125&CDS=1-993	YCR016W
