	Nakazawaea_peltata	Saccharomyces_cerevisiae
OG0001315	-processed-gene-4.90-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.90&CDS=1-588	YER012W
OG0001316	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-4.92&CDS=1-1659	YER014W
OG0001317	-processed-gene-5.108-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.108&CDS=1-354	YIR009W
OG0001318	-processed-gene-5.109-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.109&CDS=1-1185	YLR019W
OG0001319	-processed-gene-5.135-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.135&CDS=1-1389	YLL011W
OG0001320	-processed-gene-5.136-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.136&CDS=1-1443	YNL182C
OG0001321	-processed-gene-5.111-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.111&CDS=1-1278	YNL181W
OG0001322	-processed-gene-5.138-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.138&CDS=1-438	YNL185C
OG0001323	-processed-gene-5.139-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.139&CDS=1-2118	YNL186W
OG0001324	-processed-gene-5.140-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.140&CDS=1-1434	YDL216C
OG0001325	-processed-gene-5.89-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.89&CDS=1-1005	YHL024W
OG0001326	-processed-gene-5.142-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.142&CDS=1-1305	YER020W
OG0001327	-augustus-gene-5.3-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-augustus-gene-5.3&CDS=1-2418	YDL225W
OG0001328	-processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.119&CDS=1-2292	YNL201C
OG0001329	-processed-gene-5.120-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.120&CDS=1-870	YNL202W
OG0001330	-processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.121&CDS=1-1101	YDL226C
OG0001331	-processed-gene-5.146-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.146&CDS=1-945	YDR432W
OG0001332	-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.23&CDS=1-579	YDR428C
OG0001333	-processed-gene-5.147-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.147&CDS=1-855	YDR429C
OG0001334	-processed-gene-5.148-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.148&CDS=1-936	YNL229C
OG0001335	-processed-gene-5.127-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.127&CDS=1-1128	YKL113C
OG0001336	-processed-gene-5.150-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.150&CDS=1-984	YKL094W
OG0001337	-processed-gene-5.151-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.151&CDS=1-966	YDL114W
OG0001338	-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.27&CDS=1-3462	YJR041C
OG0001339	-processed-gene-5.131-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.131&CDS=1-2697	YLL026W
OG0001340	-processed-gene-5.132-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-5.132&CDS=1-2811	YGR100W
OG0001341	-processed-gene-6.94-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.94&CDS=1-618	YPR067W
OG0001342	-processed-gene-6.95-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.95&CDS=1-1650	YAL022C
OG0001343	-snap-gene-6.1-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-snap-gene-6.1&CDS=1-2172	YNL161W
OG0001344	-processed-gene-6.56-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.56&CDS=1-348	YHL015W
OG0001345	-processed-gene-6.57-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.57&CDS=1-1935	YMR032W
OG0001346	-processed-gene-6.58-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.58&CDS=1-3387	YKL064W
OG0001347	-processed-gene-6.79-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.79&CDS=1-336	YMR039C
OG0001348	-processed-gene-6.80-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.80&CDS=1-3921	YKR009C
OG0001349	-processed-gene-6.124-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.124&CDS=1-4053	YLR384C
OG0001350	-processed-gene-6.125-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.125&CDS=1-2085	YLR396C
OG0001351	-processed-gene-6.82-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.82&CDS=1-180	YDL067C
OG0001352	-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.21&CDS=1-240	YLR395C
OG0001353	-processed-gene-6.65-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.65&CDS=1-1296	YDL066W
OG0001354	-processed-gene-6.84-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.84&CDS=1-1536	YKL043W
OG0001355	-processed-gene-6.85-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.85&CDS=1-3036	YGL207W
OG0001356	-augustus-gene-6.3-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-augustus-gene-6.3&CDS=1-2205	YNL227C
OG0001357	-processed-gene-6.88-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.88&CDS=1-255	YEL020W-A
OG0001358	-processed-gene-6.69-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.69&CDS=1-798	YEL021W
OG0001359	-processed-gene-6.70-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.70&CDS=1-1107	YJR032W
OG0001360	-processed-gene-6.71-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.71&CDS=1-3303	YMR308C
OG0001361	-processed-gene-6.72-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-6.72&CDS=1-810	YGR280C
OG0001362	-processed-gene-7.88-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.88&CDS=1-894	YEL019C
OG0001363	-processed-gene-7.163-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.163&CDS=1-3552	YGR233C
OG0001364	-processed-gene-7.92-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.92&CDS=1-3570	YMR218C
OG0001365	-processed-gene-7.196-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.196&CDS=1-831	YOR278W
OG0001366	-processed-gene-7.167-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.167&CDS=1-1206	YML048W
OG0001367	-processed-gene-7.170-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.170&CDS=1-795	YML050W
OG0001368	-processed-gene-7.199-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.199&CDS=1-3564	YML049C
OG0001369	-processed-gene-7.98-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.98&CDS=1-2349	YOL076W
OG0001370	-processed-gene-7.201-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.201&CDS=1-846	YGR132C
OG0001371	-processed-gene-7.202-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.202&CDS=1-744	YGR135W
OG0001372	-processed-gene-7.176-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.176&CDS=1-2073	YMR108W
OG0001373	-processed-gene-7.205-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.205&CDS=1-1110	YHR208W
OG0001374	-processed-gene-7.206-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.206&CDS=1-1383	YMR091C
OG0001375	-processed-gene-7.104-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.104&CDS=1-2007	YLR117C
OG0001376	-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.20&CDS=1-1323	YLR303W
OG0001377	-processed-gene-7.181-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.181&CDS=1-8367	YGL195W
OG0001378	-processed-gene-7.214-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.214&CDS=1-1359	YBR279W
OG0001379	-processed-gene-7.146-mRNA-1_1&gene=snap_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.146&CDS=1-1980	YJL090C
OG0001380	-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.24&CDS=1-285	YBR268W
OG0001381	-processed-gene-7.184-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.184&CDS=1-2160	YJL061W
OG0001382	-processed-gene-7.216-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.216&CDS=1-498	YBR269C
OG0001383	-processed-gene-7.185-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.185&CDS=1-2802	YJL062W
OG0001384	-augustus-gene-7.78-mRNA-1_1&gene=maker-gi|1002316195|dbj|BCGQ01000006.1|-augustus-gene-7.78&CDS=1-3681	YOR001W
OG0001385	-processed-gene-7.219-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.219&CDS=1-1419	YGR002C
OG0001386	-processed-gene-7.186-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.186&CDS=1-2364	YGR003W
OG0001387	-processed-gene-7.187-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.187&CDS=1-2361	YGL009C
OG0001388	-processed-gene-7.221-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.221&CDS=1-3669	YBL007C
OG0001389	-processed-gene-7.222-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.222&CDS=1-597	YGL010W
OG0001390	-processed-gene-7.188-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.188&CDS=1-1533	YGL192W
OG0001391	-processed-gene-7.189-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.189&CDS=1-387	YGL191W
OG0001392	-processed-gene-7.223-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.223&CDS=1-1497	YGL190C
OG0001393	-processed-gene-7.190-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.190&CDS=1-456	YGL187C
OG0001394	-processed-gene-7.192-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.192&CDS=1-1197	YFL027C
OG0001395	-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.67&CDS=1-1959	YLR055C
OG0001396	-processed-gene-7.193-mRNA-1_1&gene=genemark-gi|1002316195|dbj|BCGQ01000006.1|-processed-gene-7.193&CDS=1-690	YFL010C
OG0001397	-snap-gene-0.68-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-snap-gene-0.68&CDS=1-1098	YCL032W
OG0001398	-processed-gene-0.58-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.58&CDS=1-1245	YCR012W
OG0001399	-processed-gene-0.40-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.40&CDS=1-1638	YDL001W
OG0001400	-processed-gene-0.61-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.61&CDS=1-1641	YKL162C
OG0001401	-processed-gene-0.43-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.43&CDS=1-2985	YOR048C
OG0001402	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.28&CDS=1-1614	YIL166C
OG0001403	-processed-gene-0.45-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.45&CDS=1-1200	YLL057C
OG0001404	-processed-gene-0.47-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.47&CDS=1-3936	YLR398C
OG0001405	-processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.65&CDS=1-1371	YBR162C
OG0001406	-augustus-gene-0.69-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-augustus-gene-0.69&CDS=1-186	YBR162W-A
OG0001407	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.15&CDS=1-3408	YIL047C
OG0001408	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.66&CDS=1-3567	YIL048W
OG0001409	-processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-0.67&CDS=1-894	YER055C
OG0001410	-processed-gene-1.97-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.97&CDS=1-267	YER058W
OG0001411	-processed-gene-1.102-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.102&CDS=1-459	YGR133W
OG0001412	-processed-gene-1.100-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.100&CDS=1-1221	YOR049C
OG0001413	-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.7&CDS=1-2850	YGR134W
OG0001414	-processed-gene-1.106-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.106&CDS=1-1890	YIR027C
OG0001415	-processed-gene-1.131-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.131&CDS=1-2781	YBR017C
OG0001416	-processed-gene-1.132-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.132&CDS=1-1596	YAR014C
OG0001417	-processed-gene-1.107-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.107&CDS=1-969	YDL014W
OG0001418	-processed-gene-1.59-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.59&CDS=1-1389	YDL013W
OG0001419	-augustus-gene-1.149-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-augustus-gene-1.149&CDS=1-531	YOL129W
OG0001420	-processed-gene-1.135-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.135&CDS=1-1005	YNL307C
OG0001421	-processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.111&CDS=1-669	YNL306W
OG0001422	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.112&CDS=1-423	YOL127W
OG0001423	-processed-gene-1.136-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.136&CDS=1-1368	YJL213W
OG0001424	-processed-gene-1.115-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.115&CDS=1-2433	YMR049C
OG0001425	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.117&CDS=1-1014	YPL064C
OG0001426	-processed-gene-1.118-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.118&CDS=1-924	YOR065W
OG0001427	-augustus-gene-1.151-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-augustus-gene-1.151&CDS=1-4971	YBL080C
OG0001428	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.22&CDS=1-267	YJR135W-A
OG0001429	-processed-gene-1.123-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.123&CDS=1-1716	YHR166C
OG0001430	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.124&CDS=1-537	YHR193C
OG0001431	-processed-gene-1.125-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.125&CDS=1-459	YHR191C
OG0001432	-processed-gene-1.96-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-1.96&CDS=1-2700	YGL008C
OG0001433	-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.117&CDS=1-3918	YNL233W
OG0001434	-processed-gene-2.33-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.33&CDS=1-1443	YGL012W
OG0001435	-processed-gene-2.34-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.34&CDS=1-747	YGL011C
OG0001436	-processed-gene-2.4-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.4&CDS=1-1395	YGL194C
OG0001437	-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.148&CDS=1-1530	YJL049W
OG0001438	-processed-gene-2.38-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.38&CDS=1-1026	YLR328W
OG0001439	-processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.6&CDS=1-2400	YDR006C
OG0001440	-processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.39&CDS=1-579	YPR051W
OG0001441	-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.152&CDS=1-3447	YPR049C
OG0001442	-processed-gene-2.7-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.7&CDS=1-1143	YBR087W
OG0001443	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.41&CDS=1-672	YBL038W
OG0001444	-snap-gene-2.108-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-snap-gene-2.108&CDS=1-3249	YPR047W
OG0001445	-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.155&CDS=1-1467	YMR023C
OG0001446	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.16&CDS=1-1023	YHL020C
OG0001447	-processed-gene-2.46-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.46&CDS=1-666	YKL041W
OG0001448	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.17&CDS=1-1269	YOR303W
OG0001449	-processed-gene-2.18-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.18&CDS=1-1719	YLR259C
OG0001450	-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.131&CDS=1-2202	YBR094W
OG0001451	-processed-gene-2.47-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.47&CDS=1-1047	YBR095C
OG0001452	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.20&CDS=1-774	YBR088C
OG0001453	-processed-gene-2.48-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.48&CDS=1-2049	YBR007C
OG0001454	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.21&CDS=1-1935	YNL045W
OG0001455	-processed-gene-2.77-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.77&CDS=1-486	YNL044W
OG0001456	-processed-gene-2.52-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.52&CDS=1-192	YJL189W
OG0001457	-augustus-gene-2.106-mRNA-1_1&gene=maker-gi|1002316196|dbj|BCGQ01000005.1|-augustus-gene-2.106&CDS=1-2001	YER009W
OG0001458	-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.141&CDS=1-2028	YIR003W
OG0001459	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-2.30&CDS=1-1383	YOL030W
OG0001460	-processed-gene-3.57-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.57&CDS=1-744	YKL040C
OG0001461	-processed-gene-3.61-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.61&CDS=1-345	YHL018W
OG0001462	-processed-gene-3.62-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.62&CDS=1-1047	YOR007C
OG0001463	-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.116&CDS=1-777	YPR183W
OG0001464	-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.138&CDS=1-3426	YML002W
OG0001465	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.89&CDS=1-993	YOR006C
OG0001466	-processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.64&CDS=1-3156	YOR005C
OG0001467	-processed-gene-3.66-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.66&CDS=1-891	YBR160W
OG0001468	-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.120&CDS=1-513	YBR137W
OG0001469	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.91&CDS=1-699	YKL119C
OG0001470	-processed-gene-3.69-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.69&CDS=1-1344	YNL040W
OG0001471	-processed-gene-3.71-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.71&CDS=1-669	YOR283W
OG0001472	-processed-gene-3.75-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.75&CDS=1-1245	YIL022W
OG0001473	-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.129&CDS=1-2460	YIL031W
OG0001474	-processed-gene-3.96-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.96&CDS=1-462	YJR104C
OG0001475	-processed-gene-3.82-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.82&CDS=1-645	YBL040C
OG0001476	-processed-gene-3.98-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.98&CDS=1-738	YBL041W
OG0001477	-processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.99&CDS=1-957	YJR100C
OG0001478	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.83&CDS=1-777	YJR101W
OG0001479	-processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.84&CDS=1-603	YJR102C
OG0001480	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.85&CDS=1-1728	YBL039C
OG0001481	-processed-gene-3.101-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.101&CDS=1-1122	YGL155W
OG0001482	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.102&CDS=1-3387	YGL156W
OG0001483	-processed-gene-3.47-mRNA-1_1&gene=snap_masked-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.47&CDS=1-1521	YDL119C
OG0001484	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316196|dbj|BCGQ01000005.1|-processed-gene-3.87&CDS=1-1044	YGL153W
