	Candida_apicola	Saccharomyces_cerevisiae
OG0001483	augustus_masked-LBNK01000004.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.71&CDS=1-864	YDR400W
OG0001484	augustus_masked-LBNK01000004.1-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.92&CDS=1-3213	YOL051W
OG0001485	augustus_masked-LBNK01000004.1-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.72&CDS=1-1494	YJL025W
OG0001486	augustus_masked-LBNK01000004.1-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.93&CDS=1-894	YOR074C
OG0001487	augustus_masked-LBNK01000004.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.73&CDS=1-1095	YML060W
OG0001488	augustus_masked-LBNK01000004.1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.74&CDS=1-906	YCL009C
OG0001489	augustus_masked-LBNK01000004.1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.75&CDS=1-864	YLR172C
OG0001490	augustus_masked-LBNK01000004.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-4.76&CDS=1-780	YLR393W
OG0001491	augustus_masked-LBNK01000004.1-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.56&CDS=1-1056	YOR224C
OG0001492	augustus_masked-LBNK01000004.1-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.60&CDS=1-954	YGR046W
OG0001493	augustus_masked-LBNK01000004.1-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.57&CDS=1-777	YIL003W
OG0001494	genemark-LBNK01000004.1-processed-gene-5.119-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-5.119&CDS=1-3984	YML059C
OG0001495	augustus_masked-LBNK01000004.1-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.64&CDS=1-1314	YDL020C
OG0001496	augustus_masked-LBNK01000004.1-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.86&CDS=1-990	YDR296W
OG0001497	augustus_masked-LBNK01000004.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.87&CDS=1-435	YDR511W
OG0001498	augustus_masked-LBNK01000004.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.88&CDS=1-1575	YCL038C
OG0001499	augustus_masked-LBNK01000004.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.66&CDS=1-2295	YMR287C
OG0001500	augustus_masked-LBNK01000004.1-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.67&CDS=1-546	YJR074W
OG0001501	augustus_masked-LBNK01000004.1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.68&CDS=1-1143	YJR075W
OG0001502	genemark-LBNK01000004.1-processed-gene-5.149-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-5.149&CDS=1-2259	YPL147W
OG0001503	augustus_masked-LBNK01000004.1-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.90&CDS=1-1233	YGL112C
OG0001504	augustus_masked-LBNK01000004.1-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.91&CDS=1-513	YKL190W
OG0001505	maker-LBNK01000004.1-augustus-gene-5.172-mRNA-1_1&gene=maker-LBNK01000004.1-augustus-gene-5.172&CDS=1-1656	YPR108W
OG0001506	augustus_masked-LBNK01000004.1-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.94&CDS=1-855	YIL019W
OG0001507	augustus_masked-LBNK01000004.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.74&CDS=1-777	YIL020C
OG0001508	augustus_masked-LBNK01000004.1-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.95&CDS=1-813	YIL021W
OG0001509	augustus_masked-LBNK01000004.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.76&CDS=1-654	YNL148C
OG0001510	augustus_masked-LBNK01000004.1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.97&CDS=1-1113	YLR056W
OG0001511	snap_masked-LBNK01000004.1-processed-gene-5.22-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-5.22&CDS=1-3516	YDR027C
OG0001512	augustus_masked-LBNK01000004.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.99&CDS=1-1986	YLL008W
OG0001513	augustus_masked-LBNK01000004.1-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.78&CDS=1-1272	YNL280C
OG0001514	augustus_masked-LBNK01000004.1-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.100&CDS=1-243	YGR105W
OG0001515	augustus_masked-LBNK01000004.1-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.79&CDS=1-1293	YGR178C
OG0001516	augustus_masked-LBNK01000004.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.101&CDS=1-1575	YMR221C
OG0001517	augustus_masked-LBNK01000004.1-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.102&CDS=1-2832	YOR005C
OG0001518	augustus_masked-LBNK01000004.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.103&CDS=1-867	YBR151W
OG0001519	augustus_masked-LBNK01000004.1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.81&CDS=1-1041	YLR019W
OG0001520	augustus_masked-LBNK01000004.1-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.104&CDS=1-1389	YLL011W
OG0001521	augustus_masked-LBNK01000004.1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.105&CDS=1-750	YPL162C
OG0001522	augustus_masked-LBNK01000004.1-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.82&CDS=1-1965	YPR175W
OG0001523	augustus_masked-LBNK01000004.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.106&CDS=1-1014	YPR176C
OG0001524	augustus_masked-LBNK01000004.1-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.107&CDS=1-1779	YDR294C
OG0001525	augustus_masked-LBNK01000004.1-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.108&CDS=1-996	YPR180W
OG0001526	augustus_masked-LBNK01000004.1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.83&CDS=1-1887	YPR179C
OG0001527	augustus_masked-LBNK01000004.1-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.109&CDS=1-1284	YPR178W
OG0001528	augustus_masked-LBNK01000004.1-processed-gene-5.110-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.110&CDS=1-2292	YPR181C
OG0001529	augustus_masked-LBNK01000004.1-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-5.84&CDS=1-1164	YLR459W
OG0001530	augustus_masked-LBNK01000004.1-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.2&CDS=1-2187	YLR397C
OG0001531	genemark-LBNK01000004.1-processed-gene-6.54-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.54&CDS=1-546	YPL076W
OG0001532	augustus_masked-LBNK01000004.1-processed-gene-6.4-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.4&CDS=1-1110	YIL094C
OG0001533	genemark-LBNK01000004.1-processed-gene-6.57-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.57&CDS=1-1275	YNL022C
OG0001534	augustus_masked-LBNK01000004.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.9&CDS=1-1401	YLR163C
OG0001535	augustus_masked-LBNK01000004.1-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.33&CDS=1-2187	YDR176W
OG0001536	augustus_masked-LBNK01000004.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.12&CDS=1-1485	YFL016C
OG0001537	augustus_masked-LBNK01000004.1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.35&CDS=1-546	YHR100C
OG0001538	genemark-LBNK01000004.1-processed-gene-6.65-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.65&CDS=1-1722	YDR266C
OG0001539	genemark-LBNK01000004.1-processed-gene-6.91-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.91&CDS=1-909	YDR265W
OG0001540	snap_masked-LBNK01000004.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-6.125&CDS=1-3576	YOR296W
OG0001541	genemark-LBNK01000004.1-processed-gene-6.93-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.93&CDS=1-1662	YDR419W
OG0001542	augustus_masked-LBNK01000004.1-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.16&CDS=1-1110	YHR107C
OG0001543	augustus_masked-LBNK01000004.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.40&CDS=1-822	YNR003C
OG0001544	augustus_masked-LBNK01000004.1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.41&CDS=1-966	YDR353W
OG0001545	augustus_masked-LBNK01000004.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.19&CDS=1-738	YGL019W
OG0001546	augustus_masked-LBNK01000004.1-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.43&CDS=1-576	YGL018C
OG0001547	augustus_masked-LBNK01000004.1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.44&CDS=1-819	YKR071C
OG0001548	augustus_masked-LBNK01000004.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.22&CDS=1-1140	YKL004W
OG0001549	genemark-LBNK01000004.1-processed-gene-6.75-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-6.75&CDS=1-1506	YCR008W
OG0001550	augustus_masked-LBNK01000004.1-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.46&CDS=1-2091	YMR108W
OG0001551	augustus_masked-LBNK01000004.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-6.27&CDS=1-672	YJL218W
OG0001552	snap_masked-LBNK01000004.1-processed-gene-6.139-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-6.139&CDS=1-189	YML009C
OG0001553	augustus_masked-LBNK01000004.1-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.61&CDS=1-2961	YML010W
OG0001554	augustus_masked-LBNK01000004.1-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.60&CDS=1-981	YDR414C
OG0001555	augustus_masked-LBNK01000004.1-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.62&CDS=1-681	YDR412W
OG0001556	genemark-LBNK01000004.1-processed-gene-7.8-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-7.8&CDS=1-2760	YHR079C
OG0001557	augustus_masked-LBNK01000004.1-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.64&CDS=1-507	YDL183C
OG0001558	augustus_masked-LBNK01000004.1-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.66&CDS=1-1173	YDR330W
OG0001559	augustus_masked-LBNK01000004.1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.67&CDS=1-681	YPL003W
OG0001560	augustus_masked-LBNK01000004.1-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.87&CDS=1-1824	YFL002C
OG0001561	augustus_masked-LBNK01000004.1-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.68&CDS=1-1287	YFL001W
OG0001562	augustus_masked-LBNK01000004.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.88&CDS=1-816	YNL222W
OG0001563	augustus_masked-LBNK01000004.1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.89&CDS=1-1083	YAL013W
OG0001564	augustus_masked-LBNK01000004.1-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.90&CDS=1-1206	YIL022W
OG0001565	snap_masked-LBNK01000004.1-processed-gene-7.123-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-7.123&CDS=1-2958	YIL031W
OG0001566	augustus_masked-LBNK01000004.1-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.93&CDS=1-1719	YMR278W
OG0001567	augustus_masked-LBNK01000004.1-processed-gene-7.94-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.94&CDS=1-789	YIL084C
OG0001568	augustus_masked-LBNK01000004.1-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.74&CDS=1-1152	YDR030C
OG0001569	augustus_masked-LBNK01000004.1-processed-gene-7.97-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.97&CDS=1-1983	YFR038W
OG0001570	maker-LBNK01000004.1-snap-gene-7.109-mRNA-1_1&gene=maker-LBNK01000004.1-snap-gene-7.109&CDS=1-3606	YML042W
OG0001571	snap_masked-LBNK01000004.1-processed-gene-7.155-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-7.155&CDS=1-270	YHR116W
OG0001572	snap_masked-LBNK01000004.1-processed-gene-7.131-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-7.131&CDS=1-696	YNL119W
OG0001573	augustus_masked-LBNK01000004.1-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.100&CDS=1-570	YFR001W
OG0001574	maker-LBNK01000004.1-augustus-gene-7.1-mRNA-1_1&gene=maker-LBNK01000004.1-augustus-gene-7.1&CDS=1-582	YPR082C
OG0001575	maker-LBNK01000004.1-augustus-gene-7.2-mRNA-1_1&gene=maker-LBNK01000004.1-augustus-gene-7.2&CDS=1-1977	YBR122C
OG0001576	augustus_masked-LBNK01000004.1-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.101&CDS=1-2457	YDR074W
OG0001577	augustus_masked-LBNK01000004.1-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.78&CDS=1-5391	YBR208C
OG0001578	maker-LBNK01000004.1-snap-gene-7.111-mRNA-1_1&gene=maker-LBNK01000004.1-snap-gene-7.111&CDS=1-1350	YGR002C
OG0001579	augustus_masked-LBNK01000004.1-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.102&CDS=1-1323	YBL098W
OG0001580	snap_masked-LBNK01000004.1-processed-gene-7.139-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-7.139&CDS=1-1281	YPR023C
OG0001581	augustus_masked-LBNK01000004.1-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.103&CDS=1-1446	YER124C
OG0001582	augustus_masked-LBNK01000004.1-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.82&CDS=1-354	YBR120C
OG0001583	augustus_masked-LBNK01000004.1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.83&CDS=1-513	YBL057C
OG0001584	augustus_masked-LBNK01000004.1-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.84&CDS=1-1356	YDR448W
OG0001585	augustus_masked-LBNK01000004.1-processed-gene-7.107-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.107&CDS=1-1164	YDR449C
OG0001586	augustus_masked-LBNK01000004.1-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-7.108&CDS=1-372	YDR510W
OG0001587	augustus_masked-LBNK01000004.1-processed-gene-8.2-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.2&CDS=1-3270	YKL101W
OG0001588	augustus_masked-LBNK01000004.1-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.3&CDS=1-1305	YNL097C
OG0001589	augustus_masked-LBNK01000004.1-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.4&CDS=1-630	YOR101W
OG0001590	snap_masked-LBNK01000004.1-processed-gene-8.126-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-8.126&CDS=1-1395	YDL146W
OG0001591	augustus_masked-LBNK01000004.1-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.32&CDS=1-795	YLR097C
OG0001592	augustus_masked-LBNK01000004.1-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.33&CDS=1-510	YKL056C
OG0001593	augustus_masked-LBNK01000004.1-processed-gene-8.34-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.34&CDS=1-1848	YNL209W
OG0001594	augustus_masked-LBNK01000004.1-processed-gene-8.10-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.10&CDS=1-3477	YFR031C
OG0001595	augustus_masked-LBNK01000004.1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.35&CDS=1-1899	YPR125W
OG0001596	augustus_masked-LBNK01000004.1-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.11&CDS=1-3366	YGR090W
OG0001597	augustus_masked-LBNK01000004.1-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.12&CDS=1-1608	YNL115C
OG0001598	augustus_masked-LBNK01000004.1-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.40&CDS=1-1059	YHL013C
OG0001599	augustus_masked-LBNK01000004.1-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.15&CDS=1-1140	YEL037C
OG0001600	augustus_masked-LBNK01000004.1-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.42&CDS=1-696	YEL038W
OG0001601	genemark-LBNK01000004.1-processed-gene-8.77-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-8.77&CDS=1-1608	YJR052W
OG0001602	snap_masked-LBNK01000004.1-processed-gene-8.161-mRNA-1_1&gene=snap_masked-LBNK01000004.1-processed-gene-8.161&CDS=1-1071	YML046W
OG0001603	genemark-LBNK01000004.1-processed-gene-8.104-mRNA-1_1&gene=genemark-LBNK01000004.1-processed-gene-8.104&CDS=1-1686	YEL013W
OG0001604	augustus_masked-LBNK01000004.1-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.17&CDS=1-2427	YIL107C
OG0001605	augustus_masked-LBNK01000004.1-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.18&CDS=1-921	YGR112W
OG0001606	augustus_masked-LBNK01000004.1-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.45&CDS=1-1884	YIL108W
OG0001607	augustus_masked-LBNK01000004.1-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.48&CDS=1-864	YKL098W
OG0001608	augustus_masked-LBNK01000004.1-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.49&CDS=1-2007	YDR194C
OG0001609	augustus_masked-LBNK01000004.1-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.23&CDS=1-2646	YLR241W
OG0001610	augustus_masked-LBNK01000004.1-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.52&CDS=1-1875	YLR234W
OG0001611	augustus_masked-LBNK01000004.1-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.53&CDS=1-966	YGR060W
OG0001612	augustus_masked-LBNK01000004.1-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.54&CDS=1-1245	YLR085C
OG0001613	augustus_masked-LBNK01000004.1-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.27&CDS=1-1479	YKL191W
OG0001614	augustus_masked-LBNK01000004.1-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.55&CDS=1-4800	YPL242C
OG0001615	augustus_masked-LBNK01000004.1-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-LBNK01000004.1-processed-gene-8.56&CDS=1-534	YBR106W
OG0001616	augustus_masked-LBNK01000005.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.61&CDS=1-1395	YJR124C
OG0001617	augustus_masked-LBNK01000005.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.62&CDS=1-369	YGL191W
OG0001618	augustus_masked-LBNK01000005.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.45&CDS=1-1605	YBL099W
OG0001619	snap_masked-LBNK01000005.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-0.10&CDS=1-1125	YFL026W
OG0001620	augustus_masked-LBNK01000005.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.64&CDS=1-2391	YBR080C
OG0001621	augustus_masked-LBNK01000005.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.47&CDS=1-1275	YGL124C
OG0001622	augustus_masked-LBNK01000005.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.48&CDS=1-1500	YBL061C
OG0001623	augustus_masked-LBNK01000005.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.65&CDS=1-1233	YMR208W
OG0001624	augustus_masked-LBNK01000005.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.49&CDS=1-3789	YDL145C
OG0001625	augustus_masked-LBNK01000005.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.50&CDS=1-1140	YOR201C
OG0001626	genemark-LBNK01000005.1-processed-gene-0.90-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-0.90&CDS=1-1221	YGR210C
OG0001627	genemark-LBNK01000005.1-processed-gene-0.105-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-0.105&CDS=1-669	YHR147C
OG0001628	augustus_masked-LBNK01000005.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.68&CDS=1-609	YIL118W
OG0001629	augustus_masked-LBNK01000005.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.52&CDS=1-1398	YIL074C
OG0001630	augustus_masked-LBNK01000005.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.53&CDS=1-1152	YDR427W
OG0001631	augustus_masked-LBNK01000005.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.54&CDS=1-4482	YNL102W
OG0001632	augustus_masked-LBNK01000005.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.73&CDS=1-831	YDL201W
OG0001633	augustus_masked-LBNK01000005.1-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.74&CDS=1-6624	YHR165C
OG0001634	augustus_masked-LBNK01000005.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-0.57&CDS=1-1038	YLR447C
OG0001635	snap_masked-LBNK01000005.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-1.4&CDS=1-2997	YBR083W
OG0001636	augustus_masked-LBNK01000005.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.61&CDS=1-1266	YNL237W
OG0001637	snap_masked-LBNK01000005.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-1.3&CDS=1-1656	YHR084W
OG0001638	augustus_masked-LBNK01000005.1-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.91&CDS=1-2565	YPR029C
OG0001639	augustus_masked-LBNK01000005.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.67&CDS=1-1272	YBR243C
OG0001640	snap_masked-LBNK01000005.1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-1.7&CDS=1-2064	YOL148C
OG0001641	augustus_masked-LBNK01000005.1-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.95&CDS=1-429	YOL114C
OG0001642	genemark-LBNK01000005.1-processed-gene-1.127-mRNA-1_1&gene=genemark-LBNK01000005.1-processed-gene-1.127&CDS=1-429	YOL149W
OG0001643	augustus_masked-LBNK01000005.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.73&CDS=1-1425	YKR017C
OG0001644	augustus_masked-LBNK01000005.1-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-LBNK01000005.1-processed-gene-1.97&CDS=1-1068	YLR113W
OG0001645	snap_masked-LBNK01000005.1-processed-gene-1.14-mRNA-1_1&gene=snap_masked-LBNK01000005.1-processed-gene-1.14&CDS=1-948	YGR091W
