	Clavispora_lusitaniae	Saccharomyces_cerevisiae
OG0001146	genemark-NW_003101574.1-processed-gene-5.117-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.117&CDS=1-1080	YBR087W
OG0001147	genemark-NW_003101574.1-processed-gene-5.118-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.118&CDS=1-657	YKL041W
OG0001148	genemark-NW_003101574.1-processed-gene-5.136-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.136&CDS=1-687	YBL038W
OG0001149	snap_masked-NW_003101574.1-processed-gene-5.45-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-5.45&CDS=1-3057	YPR047W
OG0001150	genemark-NW_003101574.1-processed-gene-5.119-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.119&CDS=1-1683	YKR008W
OG0001151	genemark-NW_003101574.1-processed-gene-5.139-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.139&CDS=1-1383	YMR023C
OG0001152	genemark-NW_003101574.1-processed-gene-6.0-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.0&CDS=1-930	YOR311C
OG0001153	genemark-NW_003101574.1-processed-gene-6.22-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.22&CDS=1-363	YJL104W
OG0001154	genemark-NW_003101574.1-processed-gene-6.3-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.3&CDS=1-2172	YBR030W
OG0001155	genemark-NW_003101574.1-processed-gene-6.4-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.4&CDS=1-1701	YKR017C
OG0001156	genemark-NW_003101574.1-processed-gene-6.6-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.6&CDS=1-918	YKR030W
OG0001157	genemark-NW_003101574.1-processed-gene-6.10-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.10&CDS=1-792	YEL021W
OG0001158	genemark-NW_003101574.1-processed-gene-6.27-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.27&CDS=1-891	YJL053W
OG0001159	maker-NW_003101574.1-snap-gene-6.83-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-6.83&CDS=1-2496	YLR309C
OG0001160	genemark-NW_003101574.1-processed-gene-6.12-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.12&CDS=1-795	YGL050W
OG0001161	genemark-NW_003101574.1-processed-gene-6.30-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.30&CDS=1-1128	YNL084C
OG0001162	genemark-NW_003101574.1-processed-gene-6.31-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.31&CDS=1-1641	YLR196W
OG0001163	genemark-NW_003101574.1-processed-gene-6.14-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.14&CDS=1-1317	YLR195C
OG0001164	genemark-NW_003101574.1-processed-gene-6.15-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.15&CDS=1-1236	YLR097C
OG0001165	snap_masked-NW_003101574.1-processed-gene-6.102-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-6.102&CDS=1-2505	YMR309C
OG0001166	augustus_masked-NW_003101574.1-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-6.58&CDS=1-1095	YGL211W
OG0001167	genemark-NW_003101574.1-processed-gene-6.34-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.34&CDS=1-2376	YOR168W
OG0001168	genemark-NW_003101574.1-processed-gene-6.19-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.19&CDS=1-1650	YGL244W
OG0001169	genemark-NW_003101574.1-processed-gene-6.20-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.20&CDS=1-258	YGR037C
OG0001170	genemark-NW_003101574.1-processed-gene-6.38-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.38&CDS=1-513	YLR050C
OG0001171	genemark-NW_003101574.1-processed-gene-6.21-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.21&CDS=1-849	YLR059C
OG0001172	snap_masked-NW_003101574.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-6.125&CDS=1-4842	YFL033C
OG0001173	genemark-NW_003101574.1-processed-gene-7.2-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.2&CDS=1-714	YMR043W
OG0001174	genemark-NW_003101574.1-processed-gene-7.3-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.3&CDS=1-1482	YMR044W
OG0001175	genemark-NW_003101574.1-processed-gene-7.5-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.5&CDS=1-2643	YPR160W
OG0001176	maker-NW_003101574.1-augustus-gene-7.90-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-7.90&CDS=1-2706	YGL203C
OG0001177	genemark-NW_003101574.1-processed-gene-7.9-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.9&CDS=1-4164	YBR115C
OG0001178	genemark-NW_003101574.1-processed-gene-7.11-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.11&CDS=1-1734	YOR360C
OG0001179	genemark-NW_003101574.1-processed-gene-7.12-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.12&CDS=1-1632	YOR359W
OG0001180	genemark-NW_003101574.1-processed-gene-7.28-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.28&CDS=1-597	YKL196C
OG0001181	genemark-NW_003101574.1-processed-gene-7.29-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.29&CDS=1-690	YKL195W
OG0001182	maker-NW_003101574.1-augustus-gene-7.92-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-7.92&CDS=1-2367	YLR424W
OG0001183	genemark-NW_003101574.1-processed-gene-7.31-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.31&CDS=1-1404	YLR423C
OG0001184	genemark-NW_003101574.1-processed-gene-7.14-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.14&CDS=1-1092	YLR418C
OG0001185	genemark-NW_003101574.1-processed-gene-7.34-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.34&CDS=1-1875	YHR194W
OG0001186	genemark-NW_003101574.1-processed-gene-7.18-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.18&CDS=1-318	YDL081C
OG0001187	snap_masked-NW_003101574.1-processed-gene-7.114-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-7.114&CDS=1-2391	YLR039C
OG0001188	augustus_masked-NW_003101574.1-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-7.81&CDS=1-1314	YFL037W
OG0001189	genemark-NW_003101574.1-processed-gene-7.23-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.23&CDS=1-957	YLR026C
OG0001190	genemark-NW_003101574.1-processed-gene-7.24-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.24&CDS=1-666	YLR025W
OG0001191	genemark-NW_003101574.1-processed-gene-7.25-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.25&CDS=1-3933	YFL036W
OG0001192	genemark-NW_003101574.1-processed-gene-7.38-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.38&CDS=1-876	YFL034C-B
OG0001193	snap_masked-NW_003101574.1-processed-gene-7.131-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-7.131&CDS=1-1782	YNL169C
OG0001194	snap_masked-NW_003101574.1-processed-gene-7.132-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-7.132&CDS=1-4653	YNL172W
OG0001195	genemark-NW_003101574.1-processed-gene-7.40-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.40&CDS=1-1278	YOR187W
OG0001196	genemark-NW_003101574.1-processed-gene-7.43-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.43&CDS=1-1152	YBR155W
OG0001197	genemark-NW_003101574.1-processed-gene-7.27-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-7.27&CDS=1-1878	YLR299W
OG0001198	genemark-NW_003101574.1-processed-gene-8.37-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.37&CDS=1-3729	YOR188W
OG0001199	maker-NW_003101574.1-snap-gene-8.83-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-8.83&CDS=1-1578	YNL167C
OG0001200	genemark-NW_003101574.1-processed-gene-8.39-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.39&CDS=1-2013	YJR131W
OG0001201	maker-NW_003101574.1-snap-gene-8.80-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-8.80&CDS=1-1443	YLR212C
OG0001202	maker-NW_003101574.1-augustus-gene-8.140-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-8.140&CDS=1-2523	YHR137W
OG0001203	genemark-NW_003101574.1-processed-gene-8.65-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.65&CDS=1-1605	YER052C
OG0001204	genemark-NW_003101574.1-processed-gene-8.46-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.46&CDS=1-1863	YER049W
OG0001205	genemark-NW_003101574.1-processed-gene-8.66-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.66&CDS=1-2340	YLL013C
OG0001206	genemark-NW_003101574.1-processed-gene-8.67-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.67&CDS=1-1062	YGR223C
OG0001207	genemark-NW_003101574.1-processed-gene-8.68-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.68&CDS=1-2043	YKL022C
OG0001208	genemark-NW_003101574.1-processed-gene-8.52-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.52&CDS=1-1182	YKL021C
OG0001209	genemark-NW_003101574.1-processed-gene-8.69-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.69&CDS=1-1107	YIR034C
OG0001210	augustus_masked-NW_003101574.1-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-8.29&CDS=1-4410	YGR194C
OG0001211	maker-NW_003101574.1-snap-gene-8.85-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-8.85&CDS=1-4392	YPR184W
OG0001212	snap_masked-NW_003101574.1-processed-gene-8.111-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-8.111&CDS=1-4770	YNL139C
OG0001213	genemark-NW_003101574.1-processed-gene-8.75-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.75&CDS=1-1287	YPR186C
OG0001214	genemark-NW_003101574.1-processed-gene-8.54-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.54&CDS=1-849	YOL007C
OG0001215	genemark-NW_003101574.1-processed-gene-8.56-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.56&CDS=1-456	YDR397C
OG0001216	snap_masked-NW_003101574.1-processed-gene-8.133-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-8.133&CDS=1-276	YER074W-A
OG0001217	genemark-NW_003101574.1-processed-gene-8.76-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.76&CDS=1-561	YDR399W
OG0001218	maker-NW_003101574.1-augustus-gene-8.143-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-8.143&CDS=1-2280	YKL073W
OG0001219	genemark-NW_003101574.1-processed-gene-8.61-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.61&CDS=1-1677	YKL074C
OG0001220	genemark-NW_003101574.1-processed-gene-8.62-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.62&CDS=1-864	YCL031C
OG0001221	snap_masked-NW_003101574.1-processed-gene-8.119-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-8.119&CDS=1-852	YMR289W
OG0001222	genemark-NW_003101574.1-processed-gene-8.77-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.77&CDS=1-915	YGR208W
OG0001223	augustus_masked-NW_003101574.1-processed-gene-9.106-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.106&CDS=1-1443	YJL025W
OG0001224	genemark-NW_003101574.1-processed-gene-9.62-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.62&CDS=1-1860	YDR017C
OG0001225	genemark-NW_003101574.1-processed-gene-9.65-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.65&CDS=1-459	YLR170C
OG0001226	genemark-NW_003101574.1-processed-gene-9.66-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.66&CDS=1-2817	YDL031W
OG0001227	genemark-NW_003101574.1-processed-gene-9.87-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.87&CDS=1-1581	YOL123W
OG0001228	snap_masked-NW_003101574.1-processed-gene-9.19-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-9.19&CDS=1-1326	YOL124C
OG0001229	maker-NW_003101574.1-snap-gene-9.147-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-9.147&CDS=1-879	YGR144W
OG0001230	genemark-NW_003101574.1-processed-gene-9.68-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.68&CDS=1-2391	YLR277C
OG0001231	augustus_masked-NW_003101574.1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.115&CDS=1-3951	YLR289W
OG0001232	genemark-NW_003101574.1-processed-gene-9.88-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.88&CDS=1-1686	YER086W
OG0001233	genemark-NW_003101574.1-processed-gene-9.89-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.89&CDS=1-1422	YGR058W
OG0001234	augustus_masked-NW_003101574.1-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.118&CDS=1-1077	YLR363C
OG0001235	augustus_masked-NW_003101574.1-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.120&CDS=1-1086	YMR228W
OG0001236	genemark-NW_003101574.1-processed-gene-9.92-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.92&CDS=1-2208	YMR061W
OG0001237	genemark-NW_003101574.1-processed-gene-9.76-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.76&CDS=1-1026	YMR060C
OG0001238	genemark-NW_003101574.1-processed-gene-9.77-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.77&CDS=1-1317	YKL077W
OG0001239	genemark-NW_003101574.1-processed-gene-9.96-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.96&CDS=1-612	YFL005W
OG0001240	genemark-NW_003101574.1-processed-gene-9.97-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.97&CDS=1-1746	YLR060W
OG0001241	maker-NW_003101574.1-snap-gene-9.154-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-9.154&CDS=1-2694	YFL034W
OG0001242	augustus_masked-NW_003101574.1-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.126&CDS=1-993	YLR063W
OG0001243	genemark-NW_003101574.1-processed-gene-9.100-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.100&CDS=1-1020	YPL015C
OG0001244	augustus_masked-NW_003101574.1-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.127&CDS=1-2628	YPL009C
OG0001245	genemark-NW_003101574.1-processed-gene-9.101-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.101&CDS=1-966	YNL229C
OG0001246	genemark-NW_003101574.1-processed-gene-9.85-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.85&CDS=1-876	YLR126C
OG0001247	augustus_masked-NW_003101574.1-processed-gene-9.130-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-9.130&CDS=1-1038	YIL061C
OG0001248	genemark-NW_003101574.1-processed-gene-10.66-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.66&CDS=1-1722	YNL308C
OG0001249	genemark-NW_003101574.1-processed-gene-10.89-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.89&CDS=1-714	YDR044W
OG0001250	genemark-NW_003101574.1-processed-gene-10.90-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.90&CDS=1-645	YFR007W
OG0001251	augustus_masked-NW_003101574.1-processed-gene-10.135-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-10.135&CDS=1-3135	YFR048W
OG0001252	genemark-NW_003101574.1-processed-gene-10.71-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.71&CDS=1-2151	YGL245W
OG0001253	maker-NW_003101574.1-augustus-gene-10.0-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-10.0&CDS=1-2376	YDR333C
OG0001254	genemark-NW_003101574.1-processed-gene-10.75-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.75&CDS=1-1848	YHR039C
OG0001255	genemark-NW_003101574.1-processed-gene-10.93-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.93&CDS=1-333	YHR039C-A
OG0001256	maker-NW_003101574.1-augustus-gene-10.3-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-10.3&CDS=1-3660	YDR334W
OG0001257	genemark-NW_003101574.1-processed-gene-10.76-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.76&CDS=1-1386	YHR086W
OG0001258	augustus_masked-NW_003101574.1-processed-gene-10.140-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-10.140&CDS=1-822	YLR271W
OG0001259	genemark-NW_003101574.1-processed-gene-10.77-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.77&CDS=1-993	YOR174W
OG0001260	genemark-NW_003101574.1-processed-gene-10.98-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.98&CDS=1-1119	YOR176W
OG0001261	augustus_masked-NW_003101574.1-processed-gene-10.142-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-10.142&CDS=1-4797	YLR272C
OG0001262	genemark-NW_003101574.1-processed-gene-10.101-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.101&CDS=1-1626	YMR005W
OG0001263	genemark-NW_003101574.1-processed-gene-10.78-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.78&CDS=1-1098	YOL010W
OG0001264	maker-NW_003101574.1-snap-gene-10.63-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-10.63&CDS=1-7257	YKL203C
OG0001265	genemark-NW_003101574.1-processed-gene-10.103-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.103&CDS=1-1260	YJR065C
OG0001266	genemark-NW_003101574.1-processed-gene-10.104-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.104&CDS=1-1647	YJR064W
OG0001267	genemark-NW_003101574.1-processed-gene-10.79-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.79&CDS=1-951	YJR070C
OG0001268	genemark-NW_003101574.1-processed-gene-10.105-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.105&CDS=1-369	YJR063W
OG0001269	genemark-NW_003101574.1-processed-gene-10.80-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.80&CDS=1-915	YOR004W
OG0001270	genemark-NW_003101574.1-processed-gene-10.81-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.81&CDS=1-3753	YMR076C
OG0001271	genemark-NW_003101574.1-processed-gene-10.107-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.107&CDS=1-1473	YDL207W
OG0001272	genemark-NW_003101574.1-processed-gene-10.82-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.82&CDS=1-864	YDR237W
OG0001273	genemark-NW_003101574.1-processed-gene-10.83-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.83&CDS=1-624	YGR042W
OG0001274	genemark-NW_003101574.1-processed-gene-10.84-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.84&CDS=1-1182	YOL001W
OG0001275	snap_masked-NW_003101574.1-processed-gene-10.26-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-10.26&CDS=1-879	YMR178W
OG0001276	genemark-NW_003101574.1-processed-gene-10.109-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.109&CDS=1-2862	YOR335C
OG0001277	genemark-NW_003101574.1-processed-gene-10.87-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.87&CDS=1-1854	YGL073W
OG0001278	augustus_masked-NW_003101574.1-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-11.59&CDS=1-1101	YOL064C
OG0001279	maker-NW_003101574.1-snap-gene-11.57-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-11.57&CDS=1-1728	YPL097W
OG0001280	snap_masked-NW_003101574.1-processed-gene-11.1-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-11.1&CDS=1-2547	YKL078W
OG0001281	genemark-NW_003101574.1-processed-gene-11.107-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.107&CDS=1-1095	YPL096W
OG0001282	augustus_masked-NW_003101574.1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-11.61&CDS=1-981	YOR002W
OG0001283	snap_masked-NW_003101574.1-processed-gene-11.5-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-11.5&CDS=1-1419	YPL120W
OG0001284	genemark-NW_003101574.1-processed-gene-11.110-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.110&CDS=1-588	YHR026W
OG0001285	genemark-NW_003101574.1-processed-gene-11.130-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.130&CDS=1-2835	YHR027C
OG0001286	genemark-NW_003101574.1-processed-gene-11.111-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.111&CDS=1-1797	YJL201W
OG0001287	genemark-NW_003101574.1-processed-gene-11.114-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.114&CDS=1-1149	YDR161W
OG0001288	genemark-NW_003101574.1-processed-gene-11.134-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.134&CDS=1-3975	YLL021W
OG0001289	genemark-NW_003101574.1-processed-gene-11.135-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.135&CDS=1-852	YDL052C
OG0001290	genemark-NW_003101574.1-processed-gene-11.136-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.136&CDS=1-1881	YOR129C
OG0001291	genemark-NW_003101574.1-processed-gene-11.137-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.137&CDS=1-681	YDR381W
OG0001292	genemark-NW_003101574.1-processed-gene-11.117-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.117&CDS=1-1350	YOR301W
OG0001293	genemark-NW_003101574.1-processed-gene-11.118-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.118&CDS=1-1926	YOR128C
OG0001294	augustus_masked-NW_003101574.1-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-11.95&CDS=1-1731	YBR083W
OG0001295	snap_masked-NW_003101574.1-processed-gene-11.42-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-11.42&CDS=1-2181	YPR031W
OG0001296	genemark-NW_003101574.1-processed-gene-11.141-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.141&CDS=1-1107	YDR364C
OG0001297	genemark-NW_003101574.1-processed-gene-11.122-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.122&CDS=1-903	YDR361C
OG0001298	maker-NW_003101574.1-augustus-gene-11.49-mRNA-1_1&gene=maker-NW_003101574.1-augustus-gene-11.49&CDS=1-3546	YCR036W
OG0001299	genemark-NW_003101574.1-processed-gene-11.142-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.142&CDS=1-987	YCR034W
OG0001300	genemark-NW_003101574.1-processed-gene-11.125-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.125&CDS=1-729	YBR153W
OG0001301	genemark-NW_003101574.1-processed-gene-11.143-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-11.143&CDS=1-639	YBR154C
OG0001302	snap_masked-NW_003101574.1-processed-gene-11.47-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-11.47&CDS=1-285	YOL086W-A
OG0001303	genemark-NW_003101574.1-processed-gene-12.42-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.42&CDS=1-1464	YJL194W
OG0001304	snap_masked-NW_003101574.1-processed-gene-12.94-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.94&CDS=1-1986	YCR033W
OG0001305	genemark-NW_003101574.1-processed-gene-12.44-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.44&CDS=1-972	YBR146W
OG0001306	snap_masked-NW_003101574.1-processed-gene-12.98-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.98&CDS=1-1326	YNL040W
OG0001307	genemark-NW_003101574.1-processed-gene-12.45-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.45&CDS=1-633	YKL119C
OG0001308	genemark-NW_003101574.1-processed-gene-12.65-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.65&CDS=1-861	YOL077C
OG0001309	snap_masked-NW_003101574.1-processed-gene-12.118-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.118&CDS=1-201	YOL077W-A
OG0001310	augustus_masked-NW_003101574.1-processed-gene-12.24-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-12.24&CDS=1-3432	YOL080C
OG0001311	genemark-NW_003101574.1-processed-gene-12.52-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.52&CDS=1-1278	YOL097C
OG0001312	genemark-NW_003101574.1-processed-gene-12.53-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.53&CDS=1-609	YDR487C
OG0001313	genemark-NW_003101574.1-processed-gene-12.70-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.70&CDS=1-2934	YOL021C
OG0001314	genemark-NW_003101574.1-processed-gene-12.71-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.71&CDS=1-867	YKL051W
OG0001315	genemark-NW_003101574.1-processed-gene-12.56-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.56&CDS=1-1773	YDR498C
OG0001316	snap_masked-NW_003101574.1-processed-gene-12.125-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.125&CDS=1-999	YMR315W
OG0001317	snap_masked-NW_003101574.1-processed-gene-12.109-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-12.109&CDS=1-2064	YPL190C
OG0001318	augustus_masked-NW_003101574.1-processed-gene-12.30-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-12.30&CDS=1-1641	YDR168W
OG0001319	genemark-NW_003101574.1-processed-gene-12.76-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.76&CDS=1-2193	YML097C
OG0001320	genemark-NW_003101574.1-processed-gene-12.77-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.77&CDS=1-5835	YCR042C
