	Saccharomyces_cerevisiae	yHMPu5000035018_Candida_canberraensis
OG0001339	YER176W	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.80-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-8.80&CDS=1-3330
OG0001340	YER178W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.91-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.91&CDS=1-1185
OG0001341	YER182W	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-0.36&CDS=1-891
OG0001342	YER183C	augustus_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-0.4&CDS=1-627
OG0001343	YFL001W	augustus_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.48&CDS=1-1329
OG0001344	YFL002C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.114&CDS=1-1824
OG0001345	YFL005W	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.34&CDS=1-621
OG0001346	YFL007W	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.65&CDS=1-6618
OG0001347	YFL008W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-4.107&CDS=1-3690
OG0001348	YFL010C	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.13-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.13&CDS=1-756
OG0001349	YFL013C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.76-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.76&CDS=1-2049
OG0001350	YFL016C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.10-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.10&CDS=1-1413
OG0001351	YFL017C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.57-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.57&CDS=1-447
OG0001352	YFL017W-A	maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-7.94-mRNA-1_1&gene=maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-7.94&CDS=1-222
OG0001353	YFL018C	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-1.53&CDS=1-1479
OG0001354	YFL022C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.80-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.80&CDS=1-1491
OG0001355	YFL023W	augustus_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.121&CDS=1-2835
OG0001356	YFL024C	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-0.14&CDS=1-2523
OG0001357	YFL025C	genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.97-mRNA-1_1&gene=genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.97&CDS=1-3564
OG0001358	YFL026W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-0.7&CDS=1-1161
OG0001359	YFL027C	maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-10.89-mRNA-1_1&gene=maker-NODE_1_length_1418990_cov_15.6188_ID_1-snap-gene-10.89&CDS=1-1836
OG0001360	YFL028C	snap_masked-NODE_35_length_22510_cov_14.0666_ID_69-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_35_length_22510_cov_14.0666_ID_69-processed-gene-0.22&CDS=1-966
OG0001361	YFL029C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-1.25&CDS=1-1002
OG0001362	YFL033C	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.121&CDS=1-5277
OG0001363	YFL034C-B	genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.115-mRNA-1_1&gene=genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.115&CDS=1-852
OG0001364	YFL034W	snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-2.36&CDS=1-2724
OG0001365	YFL036W	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.78&CDS=1-3879
OG0001366	YFL037W	genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.116-mRNA-1_1&gene=genemark-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-2.116&CDS=1-1311
OG0001367	YFL038C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.8-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.8&CDS=1-621
OG0001368	YFL039C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.84-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.84&CDS=1-1128
OG0001369	YFL042C	snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.53&CDS=1-2277
OG0001370	YFL044C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.33&CDS=1-951
OG0001371	YFL045C	genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.92-mRNA-1_1&gene=genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-3.92&CDS=1-753
OG0001372	YFL046W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.48&CDS=1-621
OG0001373	YFL053W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.46-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.46&CDS=1-1755
OG0001374	YFL055W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.39&CDS=1-1557
OG0001375	YFR001W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.18-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-2.18&CDS=1-615
OG0001376	YFR002W	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.131-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.131&CDS=1-2910
OG0001377	YFR004W	snap_masked-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.44&CDS=1-936
OG0001378	YFR005C	genemark-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.20&CDS=1-1392
OG0001379	YFR006W	snap_masked-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_33_length_54822_cov_31.3551_ID_65-processed-gene-0.34&CDS=1-1416
OG0001380	YFR007W	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.100&CDS=1-654
OG0001381	YFR009W	snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.84-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.84&CDS=1-2256
OG0001382	YFR010W	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.238-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.238&CDS=1-1461
OG0001383	YFR011C	maker-NODE_6_length_695809_cov_13.1576_ID_11-snap-gene-5.100-mRNA-1_1&gene=maker-NODE_6_length_695809_cov_13.1576_ID_11-snap-gene-5.100&CDS=1-444
OG0001384	YFR015C	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-1.64&CDS=1-2109
OG0001385	YFR016C	snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.65&CDS=1-2880
OG0001386	YFR019W	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.190-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.190&CDS=1-7335
OG0001387	YFR021W	genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.237-mRNA-1_1&gene=genemark-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.237&CDS=1-1812
OG0001388	YFR024C-A	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-9.69&CDS=1-1242
OG0001389	YFR025C	genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.163-mRNA-1_1&gene=genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.163&CDS=1-951
OG0001390	YFR027W	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.126-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.126&CDS=1-762
OG0001391	YFR028C	snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-1.18&CDS=1-1686
OG0001392	YFR029W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.65-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.65&CDS=1-2310
OG0001393	YFR030W	genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.88-mRNA-1_1&gene=genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.88&CDS=1-3342
OG0001394	YFR031C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.143-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.143&CDS=1-3513
OG0001395	YFR032C	maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-5.3-mRNA-1_1&gene=maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-5.3&CDS=1-1017
OG0001396	YFR032C-A	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.25-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-5.25&CDS=1-186
OG0001397	YFR033C	maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-0.62-mRNA-1_1&gene=maker-NODE_2_length_957285_cov_16.5771_ID_3-snap-gene-0.62&CDS=1-408
OG0001398	YFR034C	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-3.60&CDS=1-1743
OG0001399	YFR037C	snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.91&CDS=1-1683
OG0001400	YFR038W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.53&CDS=1-2466
OG0001401	YFR041C	genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.29-mRNA-1_1&gene=genemark-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-6.29&CDS=1-927
OG0001402	YFR043C	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-2.54&CDS=1-786
OG0001403	YFR044C	snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-1.74&CDS=1-1443
OG0001404	YFR047C	snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.157-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.157&CDS=1-900
OG0001405	YFR048W	maker-NODE_10_length_566260_cov_17.1707_ID_19-augustus-gene-2.127-mRNA-1_1&gene=maker-NODE_10_length_566260_cov_17.1707_ID_19-augustus-gene-2.127&CDS=1-3075
OG0001406	YFR049W	snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.85&CDS=1-294
OG0001407	YFR050C	snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.84&CDS=1-825
OG0001408	YFR051C	snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_25_length_210459_cov_14.7801_ID_49-processed-gene-1.64&CDS=1-1626
OG0001409	YFR052W	snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.2-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-1.2&CDS=1-831
OG0001410	YGL001C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.154-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.154&CDS=1-1056
OG0001411	YGL003C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.53&CDS=1-1791
OG0001412	YGL006W	snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-0.49&CDS=1-3540
OG0001413	YGL008C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.31&CDS=1-2691
OG0001414	YGL009C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.70-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.70&CDS=1-2307
OG0001415	YGL011C	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-0.40&CDS=1-741
OG0001416	YGL012W	maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-0.43&CDS=1-5436
OG0001417	YGL016W	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.52&CDS=1-3027
OG0001418	YGL017W	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.126-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.126&CDS=1-1434
OG0001419	YGL018C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.128-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.128&CDS=1-696
OG0001420	YGL019W	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.49-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.49&CDS=1-852
OG0001421	YGL020C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.47-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-4.47&CDS=1-612
OG0001422	YGL022W	maker-NODE_2_length_957285_cov_16.5771_ID_3-augustus-gene-6.51-mRNA-1_1&gene=maker-NODE_2_length_957285_cov_16.5771_ID_3-augustus-gene-6.51&CDS=1-4491
OG0001423	YGL026C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.116&CDS=1-2103
OG0001424	YGL027C	genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.49-mRNA-1_1&gene=genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-3.49&CDS=1-2463
OG0001425	YGL028C	maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-3.30-mRNA-1_1&gene=maker-NODE_9_length_607260_cov_13.454_ID_17-snap-gene-3.30&CDS=1-1656
OG0001426	YGL030W	augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-7.116&CDS=1-333
OG0001427	YGL037C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-0.26&CDS=1-696
OG0001428	YGL038C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-1.89&CDS=1-1125
OG0001429	YGL040C	genemark-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.103-mRNA-1_1&gene=genemark-NODE_5_length_764123_cov_13.2646_ID_9-processed-gene-4.103&CDS=1-1023
OG0001430	YGL043W	genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.138-mRNA-1_1&gene=genemark-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.138&CDS=1-891
OG0001431	YGL044C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.68&CDS=1-693
OG0001432	YGL045W	snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_9_length_607260_cov_13.454_ID_17-processed-gene-1.78&CDS=1-2472
OG0001433	YGL048C	augustus_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.13&CDS=1-2970
OG0001434	YGL050W	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-1.28&CDS=1-822
OG0001435	YGL054C	snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-3.53&CDS=1-411
OG0001436	YGL055W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.132-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.132&CDS=1-1449
OG0001437	YGL058W	maker-NODE_25_length_210459_cov_14.7801_ID_49-snap-gene-1.49-mRNA-1_1&gene=maker-NODE_25_length_210459_cov_14.7801_ID_49-snap-gene-1.49&CDS=1-495
OG0001438	YGL059W	genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.189-mRNA-1_1&gene=genemark-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.189&CDS=1-1371
OG0001439	YGL062W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.71-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-5.71&CDS=1-3528
OG0001440	YGL064C	genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.97-mRNA-1_1&gene=genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.97&CDS=1-1626
OG0001441	YGL065C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.47&CDS=1-1533
OG0001442	YGL066W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.13&CDS=1-1413
OG0001443	YGL067W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-1.29&CDS=1-1284
OG0001444	YGL068W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.49-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.49&CDS=1-498
OG0001445	YGL070C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.94-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-4.94&CDS=1-336
OG0001446	YGL073W	snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-12.23-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-12.23&CDS=1-1995
OG0001447	YGL077C	snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.132-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-3.132&CDS=1-1632
OG0001448	YGL078C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.25-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.25&CDS=1-1623
OG0001449	YGL079W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.122&CDS=1-585
OG0001450	YGL080W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-1.125&CDS=1-342
OG0001451	YGL083W	snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-3.105&CDS=1-2622
OG0001452	YGL084C	genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.40&CDS=1-1686
OG0001453	YGL085W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.75&CDS=1-714
OG0001454	YGL086W	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.78&CDS=1-2007
OG0001455	YGL087C	snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.65-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-2.65&CDS=1-411
OG0001456	YGL091C	genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-0.90&CDS=1-990
OG0001457	YGL092W	snap_masked-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_19_length_335725_cov_15.726_ID_37-processed-gene-0.28&CDS=1-4188
OG0001458	YGL093W	genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.120-mRNA-1_1&gene=genemark-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.120&CDS=1-3168
OG0001459	YGL094C	genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.22-mRNA-1_1&gene=genemark-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-13.22&CDS=1-3567
OG0001460	YGL095C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.34-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.34&CDS=1-1839
OG0001461	YGL097W	maker-NODE_25_length_210459_cov_14.7801_ID_49-augustus-gene-0.29-mRNA-1_1&gene=maker-NODE_25_length_210459_cov_14.7801_ID_49-augustus-gene-0.29&CDS=1-4824
OG0001462	YGL099W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.10-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-6.10&CDS=1-2001
OG0001463	YGL100W	snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.107-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.107&CDS=1-1032
