	Saccharomyces_cerevisiae	yHMPu5000035650_Trigonopsis_variabilis
OG0001504	YGR234W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.127-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-17.127&CDS=1-1206
OG0001505	YGR235C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-16.30-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-16.30&CDS=1-1110
OG0001506	YGR244C	genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.64&CDS=1-1299
OG0001507	YGR245C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-2.113&CDS=1-2139
OG0001508	YGR246C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.151-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.151&CDS=1-1635
OG0001509	YGR247W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-16.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-16.79&CDS=1-513
OG0001510	YGR252W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-6.140-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-6.140&CDS=1-1365
OG0001511	YGR253C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.135&CDS=1-747
OG0001512	YGR255C	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-6.1-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-6.1&CDS=1-1407
OG0001513	YGR257C	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.159-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-16.159&CDS=1-1089
OG0001514	YGR258C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-1.92-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-1.92&CDS=1-3033
OG0001515	YGR261C	genemark-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-1.87&CDS=1-2280
OG0001516	YGR262C	augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-1.152&CDS=1-729
OG0001517	YGR263C	augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-NODE_11_length_507231_cov_47.8977_ID_2584-processed-gene-3.88&CDS=1-1122
OG0001518	YGR264C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.1&CDS=1-2271
OG0001519	YGR266W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.60&CDS=1-2007
OG0001520	YGR267C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.137&CDS=1-900
OG0001521	YGR268C	augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.32&CDS=1-765
OG0001522	YGR270W	genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.143-mRNA-1_1&gene=genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.143&CDS=1-3996
OG0001523	YGR271C-A	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.223-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.223&CDS=1-519
OG0001524	YGR274C	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.155-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-augustus-gene-3.155&CDS=1-3006
OG0001525	YGR276C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.62&CDS=1-1938
OG0001526	YGR277C	genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.45-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.45&CDS=1-1050
OG0001527	YGR278W	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-6.10-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-6.10&CDS=1-2478
OG0001528	YGR280C	snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-1.62&CDS=1-750
OG0001529	YGR281W	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-0.13&CDS=1-4191
OG0001530	YGR282C	snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.176&CDS=1-855
OG0001531	YGR284C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-3.4-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-3.4&CDS=1-927
OG0001532	YGR285C	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-2.79&CDS=1-1302
OG0001533	YGR286C	augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.144&CDS=1-1032
OG0001534	YHL002W	genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.74-mRNA-1_1&gene=genemark-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-5.74&CDS=1-1827
OG0001535	YHL004W	snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.23-mRNA-1_1&gene=snap_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-4.23&CDS=1-1296
OG0001536	YHL010C	augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-NODE_12_length_373926_cov_49.4772_ID_2910-processed-gene-2.155&CDS=1-1668
OG0001537	YHL013C	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-7.158-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-7.158&CDS=1-936
OG0001538	YHL015W	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-6.30-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-6.30&CDS=1-348
OG0001539	YHL022C	augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.14&CDS=1-1338
OG0001540	YHL023C	genemark-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.81-mRNA-1_1&gene=genemark-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.81&CDS=1-2628
OG0001541	YHL024W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-12.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-12.66&CDS=1-1848
OG0001542	YHL027W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.25&CDS=1-1875
OG0001543	YHL028W	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-6.0-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-snap-gene-6.0&CDS=1-1005
OG0001544	YHL029C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.153-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-3.153&CDS=1-1269
OG0001545	YHL030W	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-12.182-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-12.182&CDS=1-5439
OG0001546	YHL031C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-4.23&CDS=1-663
OG0001547	YHL032C	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-16.104-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-16.104&CDS=1-1545
OG0001548	YHR002W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-1.87&CDS=1-1164
OG0001549	YHR004C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.244-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-9.244&CDS=1-1791
OG0001550	YHR005C-A	augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-2.104&CDS=1-282
OG0001551	YHR007C	maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-15.12-mRNA-1_1&gene=maker-NODE_2_length_1838899_cov_46.6078_ID_1253-augustus-gene-15.12&CDS=1-2082
OG0001552	YHR008C	augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_632832_cov_45.1034_ID_1682-processed-gene-1.24&CDS=1-657
OG0001553	YHR009C	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.82&CDS=1-1473
OG0001554	YHR011W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-7.31&CDS=1-1713
OG0001555	YHR012W	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-8.151-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-8.151&CDS=1-888
OG0001556	YHR013C	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.84&CDS=1-705
OG0001557	YHR016C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-5.155-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-5.155&CDS=1-1287
OG0001558	YHR018C	maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-5.68-mRNA-1_1&gene=maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-5.68&CDS=1-1389
OG0001559	YHR019C	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.78&CDS=1-1695
OG0001560	YHR020W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.96&CDS=1-2136
OG0001561	YHR024C	maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-3.100-mRNA-1_1&gene=maker-NODE_7_length_632808_cov_48.2593_ID_2746-augustus-gene-3.100&CDS=1-1404
OG0001562	YHR025W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-1.89&CDS=1-1050
OG0001563	YHR026W	snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.39-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-10.39&CDS=1-609
OG0001564	YHR027C	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-2.51&CDS=1-2715
OG0001565	YHR028C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.103&CDS=1-2553
OG0001566	YHR029C	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.117&CDS=1-870
OG0001567	YHR030C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.119&CDS=1-1134
OG0001568	YHR034C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-10.26&CDS=1-972
OG0001569	YHR036W	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.177-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-3.177&CDS=1-1248
OG0001570	YHR037W	maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-2.73-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-2.73&CDS=1-1704
OG0001571	YHR039C	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-1.110-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-1.110&CDS=1-1773
OG0001572	YHR039C-A	genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.9&CDS=1-345
OG0001573	YHR040W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-4.76&CDS=1-873
OG0001574	YHR041C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-9.10&CDS=1-738
OG0001575	YHR042W	augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-4.206-mRNA-1_1&gene=augustus_masked-NODE_8_length_567177_cov_45.8152_ID_1382-processed-gene-4.206&CDS=1-2091
OG0001576	YHR051W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.89&CDS=1-462
OG0001577	YHR058C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-14.101-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-14.101&CDS=1-690
OG0001578	YHR062C	maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-4.47-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-4.47&CDS=1-759
OG0001579	YHR064C	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-4.110&CDS=1-1599
OG0001580	YHR065C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.146-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-11.146&CDS=1-1401
OG0001581	YHR067W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-0.81&CDS=1-1425
OG0001582	YHR068W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.150-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-6.150&CDS=1-1122
OG0001583	YHR069C	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.5-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-8.5&CDS=1-1062
OG0001584	YHR070W	maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-1.118-mRNA-1_1&gene=maker-NODE_5_length_1057822_cov_57.0665_ID_1593-augustus-gene-1.118&CDS=1-1419
OG0001585	YHR071W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-2.71&CDS=1-1131
OG0001586	YHR072W	augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.20&CDS=1-2181
OG0001587	YHR072W-A	snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_15_length_86975_cov_46.1423_ID_2791-processed-gene-0.113&CDS=1-192
OG0001588	YHR073W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-5.92&CDS=1-2604
OG0001589	YHR074W	maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-2.69-mRNA-1_1&gene=maker-NODE_6_length_632832_cov_45.1034_ID_1682-augustus-gene-2.69&CDS=1-2148
OG0001590	YHR075C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-3.104&CDS=1-951
OG0001591	YHR077C	snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-0.29&CDS=1-3393
OG0001592	YHR078W	snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.23-mRNA-1_1&gene=snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.23&CDS=1-927
OG0001593	YHR081W	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-2.44&CDS=1-549
OG0001594	YHR082C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.138-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.138&CDS=1-1692
OG0001595	YHR084W	maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-5.100-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-snap-gene-5.100&CDS=1-1365
OG0001596	YHR086W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-5.58&CDS=1-1380
OG0001597	YHR087W	augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-1.75&CDS=1-348
OG0001598	YHR088W	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.157-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.157&CDS=1-858
OG0001599	YHR089C	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-10.34&CDS=1-546
OG0001600	YHR090C	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-3.118&CDS=1-804
OG0001601	YHR099W	genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.103-mRNA-1_1&gene=genemark-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-8.103&CDS=1-11196
OG0001602	YHR100C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-3.14&CDS=1-636
OG0001603	YHR111W	augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-NODE_4_length_1082171_cov_45.4179_ID_1480-processed-gene-1.31&CDS=1-1215
OG0001604	YHR112C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.44&CDS=1-1203
OG0001605	YHR113W	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.59-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-12.59&CDS=1-1407
OG0001606	YHR114W	maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-4.159-mRNA-1_1&gene=maker-NODE_1_length_1864488_cov_47.4331_ID_2849-augustus-gene-4.159&CDS=1-1857
OG0001607	YHR116W	genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-11.53-mRNA-1_1&gene=genemark-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-11.53&CDS=1-297
OG0001608	YHR119W	maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-1.15-mRNA-1_1&gene=maker-NODE_4_length_1082171_cov_45.4179_ID_1480-snap-gene-1.15&CDS=1-3234
OG0001609	YHR120W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.41&CDS=1-2958
OG0001610	YHR121W	snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.123-mRNA-1_1&gene=snap_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-1.123&CDS=1-633
OG0001611	YHR122W	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-5.42&CDS=1-585
OG0001612	YHR128W	genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-8.99-mRNA-1_1&gene=genemark-NODE_5_length_1057822_cov_57.0665_ID_1593-processed-gene-8.99&CDS=1-399
OG0001613	YHR132C	augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.131-mRNA-1_1&gene=augustus_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-14.131&CDS=1-1401
OG0001614	YHR134W	augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_7_length_632808_cov_48.2593_ID_2746-processed-gene-2.43&CDS=1-990
OG0001615	YHR138C	snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-12.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-12.110&CDS=1-318
OG0001616	YHR142W	augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-0.88&CDS=1-855
OG0001617	YHR143W-A	genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-7.67-mRNA-1_1&gene=genemark-NODE_1_length_1864488_cov_47.4331_ID_2849-processed-gene-7.67&CDS=1-183
OG0001618	YHR144C	genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.185-mRNA-1_1&gene=genemark-NODE_10_length_526852_cov_45.8755_ID_2249-processed-gene-4.185&CDS=1-1005
OG0001619	YHR147C	augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.83-mRNA-1_1&gene=augustus_masked-NODE_3_length_1312102_cov_45.374_ID_2384-processed-gene-9.83&CDS=1-672
OG0001620	YHR148W	maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-0.138-mRNA-1_1&gene=maker-NODE_3_length_1312102_cov_45.374_ID_2384-augustus-gene-0.138&CDS=1-549
OG0001621	YHR151C	snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-7.63-mRNA-1_1&gene=snap_masked-NODE_2_length_1838899_cov_46.6078_ID_1253-processed-gene-7.63&CDS=1-1782
OG0001622	YHR156C	augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.101&CDS=1-1110
OG0001623	YHR164C	snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.36-mRNA-1_1&gene=snap_masked-NODE_9_length_565101_cov_46.0443_ID_1424-processed-gene-4.36&CDS=1-4428
