	Saccharomyces_cerevisiae	yHMPu5000035297_Priceomyces_castillae
OG0001959	YJR056C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-0.6&CDS=1-768
OG0001960	YJR057W	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.251-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.251&CDS=1-660
OG0001961	YJR060W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.256-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.256&CDS=1-756
OG0001962	YJR062C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.237-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.237&CDS=1-1059
OG0001963	YJR063W	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.45-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.45&CDS=1-369
OG0001964	YJR064W	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.44&CDS=1-1650
OG0001965	YJR065C	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.43&CDS=1-1257
OG0001966	YJR067C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.91&CDS=1-387
OG0001967	YJR068W	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.130-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.130&CDS=1-1095
OG0001968	YJR069C	genemark-NODE_46_length_41125_cov_9.77224_ID_5765-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_46_length_41125_cov_9.77224_ID_5765-processed-gene-0.38&CDS=1-588
OG0001969	YJR070C	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.14-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-2.14&CDS=1-954
OG0001970	YJR072C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.136-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.136&CDS=1-1140
OG0001971	YJR073C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.105-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.105&CDS=1-630
OG0001972	YJR074W	augustus_masked-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.52&CDS=1-531
OG0001973	YJR076C	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.204-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.204&CDS=1-1200
OG0001974	YJR077C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.57-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.57&CDS=1-915
OG0001975	YJR078W	genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-0.55&CDS=1-1362
OG0001976	YJR080C	genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.42&CDS=1-1179
OG0001977	YJR082C	genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-1.39-mRNA-1_1&gene=genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-1.39&CDS=1-444
OG0001978	YJR084W	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.211-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.211&CDS=1-1338
OG0001979	YJR085C	genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-1.170-mRNA-1_1&gene=genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-1.170&CDS=1-330
OG0001980	YJR088C	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.204-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.204&CDS=1-912
OG0001981	YJR090C	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.263-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.263&CDS=1-2097
OG0001982	YJR092W	augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.171&CDS=1-5610
OG0001983	YJR095W	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.87&CDS=1-933
OG0001984	YJR096W	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.73-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.73&CDS=1-846
OG0001985	YJR097W	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.70&CDS=1-507
OG0001986	YJR098C	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.96-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.96&CDS=1-2106
OG0001987	YJR099W	genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-2.95-mRNA-1_1&gene=genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-2.95&CDS=1-714
OG0001988	YJR100C	snap_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-3.80&CDS=1-1035
OG0001989	YJR102C	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.261-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.261&CDS=1-576
OG0001990	YJR104C	augustus_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.51&CDS=1-462
OG0001991	YJR105W	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.49-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.49&CDS=1-1044
OG0001992	YJR107W	maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-2.165-mRNA-1_1&gene=maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-2.165&CDS=1-1932
OG0001993	YJR110W	maker-NODE_1_length_841916_cov_10.51_ID_9517-snap-gene-6.100-mRNA-1_1&gene=maker-NODE_1_length_841916_cov_10.51_ID_9517-snap-gene-6.100&CDS=1-4281
OG0001994	YJR111C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.113-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.113&CDS=1-1017
OG0001995	YJR112W	genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-2.93-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-2.93&CDS=1-603
OG0001996	YJR113C	genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.92&CDS=1-786
OG0001997	YJR117W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.46&CDS=1-1347
OG0001998	YJR118C	genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.51&CDS=1-498
OG0001999	YJR119C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.44&CDS=1-2448
OG0002000	YJR121W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.45&CDS=1-1509
OG0002001	YJR123W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.102-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.102&CDS=1-672
OG0002002	YJR124C	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.104-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.104&CDS=1-1314
OG0002003	YJR126C	genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.64&CDS=1-2424
OG0002004	YJR131W	genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_42_length_49079_cov_9.6444_ID_8662-processed-gene-0.5&CDS=1-1875
OG0002005	YJR133W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.97&CDS=1-621
OG0002006	YJR135W-A	augustus_masked-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.69&CDS=1-270
OG0002007	YJR137C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.121&CDS=1-4284
OG0002008	YJR138W	genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.274-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.274&CDS=1-4347
OG0002009	YJR140C	augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.41&CDS=1-2904
OG0002010	YJR141W	augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.69&CDS=1-1074
OG0002011	YJR142W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.116-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-0.116&CDS=1-924
OG0002012	YJR143C	maker-NODE_4_length_509622_cov_11.013_ID_3510-augustus-gene-0.81-mRNA-1_1&gene=maker-NODE_4_length_509622_cov_11.013_ID_3510-augustus-gene-0.81&CDS=1-3429
OG0002013	YJR144W	augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.131&CDS=1-1527
OG0002014	YJR149W	genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.59&CDS=1-1158
OG0002015	YKL001C	genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.92&CDS=1-600
OG0002016	YKL003C	genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.121&CDS=1-363
OG0002017	YKL004W	genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.91&CDS=1-1506
OG0002018	YKL007W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.64&CDS=1-795
OG0002019	YKL009W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.57&CDS=1-714
OG0002020	YKL010C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.63-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.63&CDS=1-5049
OG0002021	YKL013C	augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.106&CDS=1-2403
OG0002022	YKL014C	genemark-NODE_55_length_14446_cov_11.4771_ID_11459-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_55_length_14446_cov_11.4771_ID_11459-processed-gene-0.12&CDS=1-5223
OG0002023	YKL015W	maker-NODE_55_length_14446_cov_11.4771_ID_11459-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_55_length_14446_cov_11.4771_ID_11459-augustus-gene-0.4&CDS=1-3597
OG0002024	YKL016C	genemark-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.17&CDS=1-525
OG0002025	YKL017C	genemark-NODE_55_length_14446_cov_11.4771_ID_11459-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_55_length_14446_cov_11.4771_ID_11459-processed-gene-0.11&CDS=1-2232
OG0002026	YKL018W	maker-NODE_34_length_91077_cov_10.4631_ID_4292-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_34_length_91077_cov_10.4631_ID_4292-augustus-gene-0.51&CDS=1-1830
OG0002027	YKL019W	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.18-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.18&CDS=1-885
OG0002028	YKL021C	genemark-NODE_36_length_87334_cov_9.16754_ID_6507-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_36_length_87334_cov_9.16754_ID_6507-processed-gene-0.12&CDS=1-1293
OG0002029	YKL022C	genemark-NODE_36_length_87334_cov_9.16754_ID_6507-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_36_length_87334_cov_9.16754_ID_6507-processed-gene-0.27&CDS=1-2064
OG0002030	YKL024C	augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.65&CDS=1-6393
OG0002031	YKL025C	genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.75&CDS=1-2022
OG0002032	YKL027W	maker-NODE_13_length_330562_cov_9.24065_ID_5779-augustus-gene-0.139-mRNA-1_1&gene=maker-NODE_13_length_330562_cov_9.24065_ID_5779-augustus-gene-0.139&CDS=1-1983
OG0002033	YKL029C	augustus_masked-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.97&CDS=1-1890
OG0002034	YKL033W	augustus_masked-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-1.81&CDS=1-3570
OG0002035	YKL033W-A	augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.92&CDS=1-2493
OG0002036	YKL035W	maker-NODE_7_length_448406_cov_9.47533_ID_6842-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_7_length_448406_cov_9.47533_ID_6842-augustus-gene-1.3&CDS=1-1500
OG0002037	YKL040C	genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.171&CDS=1-738
OG0002038	YKL041W	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.103-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.103&CDS=1-669
OG0002039	YKL045W	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.72-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.72&CDS=1-1563
OG0002040	YKL047W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.118&CDS=1-1626
OG0002041	YKL051W	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.68-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.68&CDS=1-1047
OG0002042	YKL052C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.38-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.38&CDS=1-1746
OG0002043	YKL055C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.92-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.92&CDS=1-753
OG0002044	YKL056C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.76-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-3.76&CDS=1-501
OG0002045	YKL057C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.44-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.44&CDS=1-3477
OG0002046	YKL058W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.43-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.43&CDS=1-372
OG0002047	YKL059C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.21-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.21&CDS=1-1413
OG0002048	YKL060C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.34&CDS=1-1080
OG0002049	YKL064W	augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.16&CDS=1-3384
OG0002050	YKL067W	genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.50-mRNA-1_1&gene=genemark-NODE_38_length_81238_cov_9.31503_ID_7687-processed-gene-0.50&CDS=1-453
OG0002051	YKL068W	genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.55&CDS=1-642
OG0002052	YKL069W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.58-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.58&CDS=1-522
OG0002053	YKL070W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.91-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.91&CDS=1-639
OG0002054	YKL073W	augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.54&CDS=1-4401
OG0002055	YKL077W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.111&CDS=1-1314
OG0002056	YKL078W	maker-NODE_4_length_509622_cov_11.013_ID_3510-snap-gene-3.7-mRNA-1_1&gene=maker-NODE_4_length_509622_cov_11.013_ID_3510-snap-gene-3.7&CDS=1-2370
OG0002057	YKL080W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.71-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.71&CDS=1-1113
OG0002058	YKL082C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.88-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.88&CDS=1-1248
OG0002059	YKL085W	genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.83-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-4.83&CDS=1-996
OG0002060	YKL086W	genemark-NODE_56_length_12118_cov_9.42319_ID_11467-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_56_length_12118_cov_9.42319_ID_11467-processed-gene-0.10&CDS=1-402
OG0002061	YKL087C	snap_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.85&CDS=1-216
OG0002062	YKL088W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.103-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.103&CDS=1-1566
OG0002063	YKL089W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.80-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.80&CDS=1-1509
OG0002064	YKL090W	augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-5.95&CDS=1-1281
OG0002065	YKL092C	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.102-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-2.102&CDS=1-3462
OG0002066	YKL094W	genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.60&CDS=1-909
OG0002067	YKL095W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.139-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.139&CDS=1-1005
OG0002068	YKL098W	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.143-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.143&CDS=1-1008
OG0002069	YKL099C	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.55-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.55&CDS=1-744
OG0002070	YKL100C	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.59-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.59&CDS=1-1677
OG0002071	YKL104C	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.37-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.37&CDS=1-2142
OG0002072	YKL108W	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.91-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.91&CDS=1-1263
OG0002073	YKL110C	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.93-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-2.93&CDS=1-876
OG0002074	YKL113C	genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.54&CDS=1-1134
OG0002075	YKL114C	augustus_masked-NODE_59_length_9697_cov_8.84132_ID_7468-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_59_length_9697_cov_8.84132_ID_7468-processed-gene-0.13&CDS=1-1971
OG0002076	YKL116C	augustus_masked-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.158&CDS=1-4644
OG0002077	YKL117W	genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.86&CDS=1-705
OG0002078	YKL119C	augustus_masked-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.94&CDS=1-627
OG0002079	YKL120W	genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.157-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.157&CDS=1-990
OG0002080	YKL125W	maker-NODE_23_length_148614_cov_12.63_ID_5823-augustus-gene-0.9-mRNA-1_1&gene=maker-NODE_23_length_148614_cov_12.63_ID_5823-augustus-gene-0.9&CDS=1-2010
OG0002081	YKL134C	augustus_masked-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.29&CDS=1-3711
OG0002082	YKL137W	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.230-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.230&CDS=1-351
OG0002083	YKL138C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.229-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.229&CDS=1-336
